"Root","Kök dizin"
"Product with SKU '%1' is not linked to product with SKU '%2'","SKU '%1' olan ürün SKU '%2' ürüne bağlı değil"
"Product %1 doesn't have linked %2 as %3","%1 ürünü, %2 ile %3 arasında bağlantı kurmadı"
"Requested product doesn't exist","İstenen ürün mevcut değil"
"Product with SKU ""%1"" does not exist","Öge SKU ""%1"" mevcut değil"
"Invalid product data: %1","Geçersiz ürün verileri: %1"
"Database connection error","Veritabanı bağlantısı hatası"
"Database deadlock found when trying to get lock","Kilitmeye çalışırken veritabanı başarısız oldu"
"Database lock wait timeout exceeded","Veritabanı kilidi zaman aşımını aştı bekleyin"
"Unable to remove product %1","%1 ürünü kaldıramazsınız"
"Requested product does not support images.","İstenilen ürün resimleri desteklemiyor."
"There are not websites for assign to product","Ürün atamak için herhangi bir websitesi yok"
"Could not assign product ""%1"" to websites ""%2""","""%2"" web sitelerine ""%1"" ürünü atamadı"
"Could not save product ""%1"" with websites %2","%2 web siteleriyle ""%1"" ürünü kaydedilemedi"
"We cannot determine the field name.","Alan adını belirleyemiyoruz."
"Attribute '%1' is locked. %2","'%1' niteliği kilitlendi. %2"
"Do not change the scope. %1","Kapsam değiştirme. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","İşlemci %1 BaseSelectProcessorInterface uygulamıyor"
"A product type is not defined for the indexer.","İndeks için bir ürün tipi belirlenmedi."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 şunu genişletmiyor: \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","SKU %1 ürünüyle, SKU %2 ürünü bağlı değil"
"Multiple Select","Çoklu Seçim"
"Dropdown","Açılır Menü"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 şunu genişletmiyor: \Magento\Framework\Filter\Template"
"As low as","En düşük"
"test","dene"
"Some text is here.","Bazı metinler burada."
"Some exception","Bazı özel durum"
"Could not get extension attributes","Uzantı nitelikleri alınamadı"
"message","mesaj"
"fl","fl"
"Lock wait timeout","Kilit bekleme zaman aşımı bitti"
"123","123"
"Images","Resimler"
"Select...","Seçiniz..."
"Advanced Pricing","Gelişmiş Fiyatlandırma"
"Customer Group Price","Müşteri Grup Fiyatımız"
"Customer Group","Müşteri Grupları"
"Special Price From","Özel fiyat"
"To","Bit"
"Done","Yapıldı"
"Product Alerts","Ürün Alarmları"
"Alert stock","Stok uyarı"
"Alert Stock","Stok Uyarı"
"Alert price","Fiyat Uyarı"
"Alert Price","Fiyat Uyarı"
"Add Selected","Seçileni ekle"
"Select Attribute","Özellik seç"
"Create New Attribute","Yeni Ürün Özellik Oluştur"
"Customizable Options","Özelleştirilebilir Seçenekler"
"Custom options let customers choose the product variations they want.","Özel seçenekler, müşterilerin istedikleri ürün varyasyonlarını seçmelerine olanak tanır."
"Add Option","Seçenek Ekle"
"New Option","Yeni Seçenek"
"Select Product","Ürün Seçiniz"
"Option Title","Seçenek Başlığı"
"Add Value","Değer ekleme"
"Title","Başlık"
"Option Type","Seçenek türü"
"Required","zorunlu"
"Price Type","Fiyat Tipi"
"Max Characters","En fazla karakter"
"Compatible File Extensions","Uyumlu dosya uzantıları"
"Enter separated extensions, like: png, jpg, gif.","Uzantıları örnekteki gibi virgülle ayırarak giriniz: png, jpg, gif."
"Maximum Image Size","En yüksek Resim Boyutu"
"Please leave blank if it is not an image.","Lütfen bir resim değilse boş bırakın."
"%1","%1"
"This item has weight","Bu ürünün ağırlığı var"
"This item has no weight","Bu ürünün ağırlığı yok"
"Set Product as New From","Ürünü yeni olarak ayarla"
"Related Products, Up-Sells, and Cross-Sells","İlgili ürünler, Yukarı Satışlar ve Çapraz Satışlar"
"Related products are shown to customers in addition to the item the customer is looking at.","İlgili ürünler, müşterinin aradığı ürünlere ek olarak müşterilere gösterilir."
"Add Related Products","İlgili Ürünleri Ekle"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Müşterinin bakmakta olduğu üründen daha pahalı veya daha kaliteli bir alternatif olarak yukarı satış ürünü sunulur."
"Add Up-Sell Products","Ek Ürün Satışı Ekleme"
"Up-Sell Products","Çok Satan Ürünler"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Bu ""ani satın alma"" ürünleri, zaten alışveriş sepetindeki ögelere çapraz satılık olduğundan alışveriş sepetinin yanında görünür."
"Add Cross-Sell Products","Çapraz Satış Ürünleri Ekle"
"Cross-Sell Products","Çapraz Satış Ürünleri"
"Add Selected Products","Seçili ürünleri ekleyin"
"Remove","Kaldır"
"Thumbnail","Albüm Resim"
"Actions","İşlemler"
"Schedule Update From","Liste Şuradan Güncellenir"
"Product in Websites","Websitelerindeki Ürün"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Magento kurulumunuzda birden fazla web sitesi varsa, ürünü belirli sitelerde kullanmak için içeriği düzenleyebilirsiniz."
"name","isim"
"Copy Data from","Veri kopyalama"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Özel ana kategori yoksa lütfen varsayılan üst kategoriyi kullanın. Kategoriyi istediğiniz zaman <a href=""%1"" target=""_blank""> Ürünler> Kategoriler </a> içinde yeniden atayabilirsiniz."
"This operation can take a long time","Bu işlem uzun sürebilir"
"Collapse All","Hepsini Daralt"
"Expand All","Hepsini Genişlet"
"Please confirm site switching. All data that hasn't been saved will be lost.","Site geçişini onaylayınız. Kaydedilmemiş verileriniz kaybolacak."
"Use Default Value","Varsayılan Değeri Kullan"
"Manage Titles (Size, Color, etc.)","Etiketleri Yönet (Boyut, Renk vb...)"
"Manage Options (Values of Your Attribute)","Seçenekleri Yönet (özniteliğindeki değerler)"
"Is Default","Varsayılan"
"Sort Option","Sıralama Seçeneği"
"Groups","Gruplar"
"Double click on a group to rename it.","Adını değiştirmek istediğiniz gruba çift tıklayınız."
"Unassigned Attributes","Atanmamış Ürün Özellikleri"
"A name is required.","Bir ad gereklidir."
"This group contains system attributes. Please move system attributes to another group and try again.","Bu grup bazı sistem özelliklerini içeriyor. Bu sistem özelliklerini başka gruba kaydırıp tekrar deneyiniz."
"Please select a node.","Lütfen bir ağ seçiniz."
"Please enter a new group name.","Lütfen yeni bir grup adı girin."
"An attribute group named ""/name/"" already exists.","""/Name/"" adlı bir özellik grubu zaten var."
"Sorry, we're unable to complete this request.","Üzügünüz, bu isteğinizi tamamlayamıyoruz."
"You can't remove attributes from this attribute set.","Bu nitelik setindeki nitelikleri kaldıramazsınız."
"Custom Options","Özel Seçenekler"
"This is a required option.","Bu gerekli bir seçenektir."
"The field isn't complete.","Alan tam değil."
"Compatible file extensions to upload","Dosya yüklemek için uyumlu dosya uzantıları"
"Maximum image width","En fazla resim genişliği"
"Maximum image height","En fazla resim yüksekliği"
"Maximum number of characters:","En fazla karakter sayısı:"
"start typing to search template","şablonu aramak için yazmaya başlayın"
"Product online","Ürün çevrimiçi"
"Product offline","Ürün çevrimdışı"
"Product online status","Ürün durumu"
"Manage Stock","Stok Yönetimi"
"Qty","Miktar"
"Out-of-Stock Threshold","Belirtilen stok dışı"
"Minimum Qty Allowed in Shopping Cart","Sepette izin verilen en düşük miktar"
"Maximum Qty Allowed in Shopping Cart","Sepette izin verilen en yüksek miktar"
"Qty Uses Decimals","Miktarda Ondalık Kullan"
"Backorders","Ön Siparişler"
"Notify for Quantity Below","Miktar Aşağısını Bildir"
"Enable Qty Increments","Miktar Arttırımını Aktif et"
"Qty Increments","Miktar Arttırımı"
"Stock Availability","Stok Durumu"
"In Stock","stokta mevcut"
"Out of Stock","Stok mevcut değil"
"Add Product To Websites","Websitelerine Ürün Ekle"
"Remove Product From Websites","Ürünü Websitelerinden Sil"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Bir ürünü katalogda veya arama sonuçlarında gizlemek için durumu ""Devre Dışı"" olarak ayarlayın."
"We can't save custom-defined options for bundles with dynamic pricing.","Dinamik fiyatlandırma paketleri için özel tanımlı seçenekleri kaydedemiyoruz."
"Delete Custom Option","Özel seçeneği Sil"
"Sort Custom Options","Özel Seçenekleri Sırala"
"Input Type","Giriş Tipi"
"%1 <span>x</span> %2 <span>px.</span>","%1<span>x</span>%2<span>px.</span>"
"Sort Custom Option","Özel seçenekleri sırala"
"Item Price","Ürün Fiyatı"
"Action","Eylem"
"and above","ve üstü"
"Delete Tier","Katmanı Sil"
"Product In Websites","Websitelerindeki Ürün"
"(Copy data from: %1)","(Veri kopyalama%1)"
"Browse to find or drag image here","Resmi burada bulmak veya sürüklemek için gözat"
"Delete image","Resmi sil"
"Hidden","Gizli"
"Alt Text","Alt Metin"
"Role","Yetki Sınıfı"
"Image Size","Görüntü boyutu"
"{size}","{boyut}"
"Image Resolution","Görüntü çözünürlüğü"
"{width}^{height} px","{genişlik} ^ {yükseklik} px"
"Hide from Product Page","Ürün Sayfasından gizle"
"Allow Multiple Boxes for Shipping","Nakliye için Birden Çok Kutuya İzin Ver"
"start typing to search attribute","özellikleri aramak için yazmaya başlayın"
"Basic Settings","Temel Ayarlar"
"Advanced Settings","Gelişmiş Ayarlar"
"Changes have been made to this section that have not been saved.","Bu bölümde kaydedilmemiş değişiklikler yapıldı."
"This tab contains invalid data. Please resolve this before saving.","Bu sekmede geçersiz veri var. Lütfen kaydetmeden önce bunu çözün."
"Mass Actions","Toplu Eylemler"
"Select All","Hepsini Seç"
"Unselect All","tüm seçimi kaldır"
"Select Visible","Görünenleri Seç"
"Unselect Visible","Görünenleri Seçimden Kaldır"
"Special Price","Özel Fiyat"
"Regular Price","Normal fiyat"
"Buy %1 for: ","%1 için Al: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Her %2 için %1 alın ve <strong class=""benefit"">kaydet<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Her %2 için %1 Satın Alın"
"Shop By","Ürünleri Filtrele"
"Shopping Options","Alışveriş Seçenekleri"
"Compare Products","Ürünleri Karşılaştır"
"Print This Page","Bu sayfayı yazdır"
"Remove Product","Ürün Sil"
"Add to Cart","Sepete Ekle"
"In stock","stokta mevcut"
"Out of stock","Stok mevcut değil"
"Add to Wish List","İstek Listesine Ekle"
"You have no items to compare.","Karşılaştırılacak ürün eklemediniz."
"Remove This Item","Bu ürünü sil"
"Compare","Karşılaştır"
"Clear All","Hepsini Temizle"
"Prev","Önceki"
"Next","Sonraki"
"We can't find products matching the selection.","Seçime uyan ürün bulunamıyor."
"Learn More","Daha fazla bilgi"
"Add to Compare","Karşılaştırma Listesine Ekle"
"We found other products you might like!","Hoşunuza gidebilecek diğer ürünleri bulduk!"
"More Choices:","Daha fazla seçenek:"
"Check items to add to the cart or","Ürünleri seçip sepete ekleyiniz veya "
"select all","Hepsini Seç"
"Items %1-%2 of %3","Ürünler %3'ün %1-%2'si"
"%1 Item","%1 öğe"
"%1 Items","%1Ögeler"
"Show","Göster"
"per page","sayfa başı"
"Sort By","Sırala"
"Set Ascending Direction","Küçükten Büyüğe Sıralamayı Ayarla"
"Set Descending Direction","Büyükten Küçüğe Sıralamayı Ayarla"
"View as","Listeleme Şekli"
"More Information","Daha Fazla Bilgi"
"Loading...","Yükleniyor..."
"* Required Fields","* Zorunlu Alan"
"Availability","Varlık"
"Warning message","Uyarı mesajı"
"Submit","Gönder"
"We don't recognize or support this file extension type.","Bu dosya uzantısı türü tanınamıyor veya desteklenmiyor."
"Configure Product","Ürünü Yapılandır"
"OK","TAMAM"
"This value does not follow the specified format (for example, 200x300).","Uygulama biçimi (örneğin, 200x300) olmalıdır."
"Select type of option.","Seçenek türünü seçin."
"Please add rows to option.","Lütfen seçeneğe satır ekleyiniz."
"Please select items.","Lütfen kayıtları seçiniz."
"Choose existing category.","Mevcut kategoriyi seçin."
"Image Detail","Resim ayrıntıları"
"Adding...","Ekleniyor..."
"Added","Katma"
"does not implement Storage Interface","depolama Arayüzünü uygulamıyor"
"unselect all","tüm seçimi kaldır"
"Inventory","Envanter"
"Catalog Section","Katalog Bölümü"
"Small","Küçük"
"Main","Ana"
"Custom image","Özel resim"
"Product Fields Auto-Generation","Ürün Alanları Otomatik-Oluşturuldu"
"Mask for SKU","SKU maskesi"
"Use {{name}} as Product Name placeholder","Ürün Adı için Alternatif olarak {{name}} kullanın"
"Mask for Meta Title","Meta Başlığı için Maskele"
"Mask for Meta Keywords","Meta Anahtar Kelimeleri Maskeleme"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Ürün Adı olarak {{Ad}} veya Ürün SKU yer tutucuları olarak {{sku}} kullanın"
"Mask for Meta Description","Meta Açıklama Maskesi"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Ürün İsimi ve Ürün Açıklaması yer tutucuları için {{name}} ve {{description}} kullanın"
"Recently Viewed/Compared Products","En son Görülen/Karşılaştırılan Ürünler"
"Lifetime of products in Recently Viewed Widget","Son Görüntülenen bölmesindeki ürünlerin ömrü"
"Lifetime of products in Recently Compared Widget","Son Karşılaştırılan bölmesindeki ürünlerin ömrü"
"Synchronize widget products with backend storage","Widget ürünlerini arka plan kaydıyla senkronize edin"
"Storefront","Vitrin"
"List Mode","Liste Tipi"
"Products per Page on Grid Allowed Values","Izgara Modunda İzin Verilen Sayfa Başı Ürün Sayısı"
"Comma-separated.","Virgülle ayrılmış."
"Products per Page on Grid Default Value","Izgara Modunda Varsayılan Sayfa Başı Ürün Sayısı"
"Must be in the allowed values list","İzin verilen değerler listesinde olması gerekir"
"Products per Page on List Allowed Values","Liste Modunda İzin Verilen Sayfa Başı Ürün Sayısı"
"Products per Page on List Default Value","Liste Modunda Varsayılan Sayfa Başı Ürün Sayısı"
"Use Flat Catalog Category","Sabit Katalog Kategori Tablosu Kullan"
"Use Flat Catalog Product","Ürünlerde Sabit Katalog Kullan"
"Product Listing Sort by","Ürün Listeleme Sıralaması"
"Allow All Products per Page","Her sayfada 'Tüm Ürünler' bağlantısını göster"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","""Sayfa Başına X göster"" açılır menüsünde ""Tümü"" göster seçeneğinin olup olmayacağı"
"Allow Dynamic Media URLs in Products and Categories","Ürün ve Kategoriler için dinamik medya URL'lerine izin ver"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Örnek: {{media URL=""path/to/image.jpg""}} {{skin URL=""path/to/picture.gif""}}. Dinamik direktif ayrıştırma işlemi katalog performansını etkiler."
"Product Image Placeholders","Ürün Resmi Çerçevesi"
"Search Engine Optimization","Arama Motoru Optimizasyonu"
"Page Title Separator","Sayfa Başlık Ayracı"
"Use Canonical Link Meta Tag For Categories","Kategoriler için sanal link meta etiketi kullan"
"Use Canonical Link Meta Tag For Products","Ürünler için sanal link meta etiketi kullan"
"Catalog Price Scope","Katalog Fiyat Kapsamı"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Bu, temel para birimi kapsamını tanımlar (""Para Birimi Ayarı""> ""Para Birimi Seçenekleri""> ""Para Birimi"")."
"Category Top Navigation","Kategori Üst Gezinme"
"Maximal Depth","En yüksek Derinlik"
"Date & Time Custom Options","Tarih & Saat Özel Seçenekleri"
"Use JavaScript Calendar","JavaScript Takvim Kullan"
"Date Fields Order","Tarih Alanları Sıralaması"
"Time Format","Zaman Biçimi"
"Year Range","Yıl Aralığı"
"Please use a four-digit year format.","Lütfen dört basamaklı yıl biçimi kullanın."
"Use Static URLs for Media Content in WYSIWYG for Catalog","WYSIWYG editöründe resimler için statik URL kullan"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Bu yalnızca Katalog ürünleri ve kategoriler için geçerlidir. Medya içeriği içine belgili tanımlık yayıncı statik bir URL olarak eklenir. Sistem yapılandırma URL değişiklikleri temel medya içeriği güncelleştirilmez."
"Top Level Category","En Üst Kategori"
"Product Info Column","Ürün Bilgi Sütunu"
"Block after Info Column","Bilgi Sütunundan sonra engelle"
"Product Flat Data","Sabit Ürün Tablosu"
"Reorganize EAV product structure to flat structure","EAV ürün yapısını sabit yapıya çevir"
"Category Flat Data","Kategori Sabit Tablosu "
"Reorganize EAV category structure to flat structure","EAV kategori yapısını sabit yapıya çevir"
"Category Products","Kategori Ürünleri"
"Indexed category/products association","Kategori/Ürün eşleşmesi indekslendi"
"Product Categories","Ürün Kategorileri"
"Indexed product/categories association","Dizin oluşturulmuş cinslerine Derneği"
"Product Price","Ürün Fiyatı"
"Index product prices","Ürün fiyatlarını indeksle"
"Product EAV","Ürün EAV"
"Index product EAV","EAV ürünlerini indeksle"
"Catalog New Products List","Katalog Yeni Ürünler Listesi"
"List of Products that are set as New","Yeni olarak işaretlenecek ürün listesi"
"Display Type","Tipi Göster"
"All products - recently added products, New products - products marked as new","Tüm ürünler - henüz eklenmiş ürünler, Yeni ürünler - yeni olarak işaretlenmiş ürünler"
"All products","Tüm ürünler"
"New products","Yeni Ürünler"
"Display Page Control","Sayfa Kontrolü Göster"
"Number of Products per Page","Sayfa başına Ürün Sayısı"
"Number of Products to Display","Gösterilecek Ürün Sayısı"
"Template","Şablon"
"New Products Grid Template","Yeni Ürünler Izgara Görünümü"
"New Products List Template","Yeni Ürünler Liste Görünümü"
"New Products Images and Names Template","Yeni ürün fotoğrafı ve isim şablonu"
"New Products Names Only Template","Sadece Yeni Ürün İsimleri Şablonu"
"New Products Images Only Template","Sadece Yeni Ürün Resimleri Şablonu"
"Cache Lifetime (Seconds)","Ön Bellek Ömrü (Saniye)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","Varsayılan 86400, ayarlanmamışsa. Hemen yenilemek için Blokların HTML Çıktı önbelleğini temizleyin."
"Catalog Product Link","Katalog Ürün Bağlantısı"
"Link to a Specified Product","Belirlenen ürünle ilişkilendir"
"Select Product...","Ürün Seçiniz..."
"Anchor Custom Text","Bağlantı Özel Yazı"
"If empty, we'll use the product name here.","Boş ise, burada ürün adını kullanacağız."
"Anchor Custom Title","Bağlantı Özel Başlığı"
"Product Link Block Template","Ürün Link Blok Şablonu"
"Product Link Inline Template","Ürün Linki İç Şablonu"
"Catalog Category Link","Katalog Kategorisi Bağlantısı"
"Link to a Specified Category","Belirlenen kategoriyle ilişkilendir"
"Select Category...","Kategori Seçiniz..."
"If empty, we'll use the category name here.","Boş ise, burada kategori ismini kullanacağız."
"Category Link Block Template","Kategori Link Blok Şablonu"
"Category Link Inline Template","Kategori Link İnline Şablonu"
"Recently Viewed Products","En son Görülen Ürünler"
"List of Products Recently Viewed by Visitor","Ziyaretçi Tarafından Son Ziyaret Edilen Ürünlerin Listesi"
"UI Component","UI bileşeni"
"Number of Products to display","Gösterilecek Ürün Sayısı"
"Product attributes to show","Ürün özelliklerini göstermek için"
"Image","Resim"
"Learn More Link","Daha Fazla Bağlantı"
"Buttons to show","Düğmeleri göstermek için"
"Add to Wishlist","Takip Listesine Ekle"
"Viewed Products Grid Template","Görülen Ürünler Izgara Şablonu"
"Viewed Products List Template","Ürün Listesi Şablonunu Görüntüle"
"Viewed Products Sidebar Template","Ürün Kenar Çubuğu Şablonunu Görüntüle"
"Recently Compared Products","Son Zamanlardan Karşılaştırılan Ürünler"
"List of Products Recently Compared by Visitor","Son Zamanlarda Ziyaretçi tarafından Karşılaştırılan Ürünlerin Listesi"
"Compared Products Grid Template","Karşılaştırılan Ürünlerin Izgara Şablonu"
"Compared Products List Template","Karşılaştırılan Ürünlerin Liste Şablonu"
"Set","Ayarla"
"Category Information","Kategori Bilgileri"
"Enable Category","Kategori etkinleştir"
"Include in Menu","Menüde dahil"
"Content","İçerik"
"Category Image","Kategori Resmi"
"Description","Açıklama"
"Add CMS Block","CMS Blok Ekle"
"Display Settings","Görüntü Ayarları"
"Display Mode","Görüntü modu"
"Anchor","Çapa"
"Available Product Listing Sort By","Mevcut Ürün Listeleme Şekli Sırala"
"Use All","Hepsini kullan"
"Default Product Listing Sort By","Varsayılan Ürün Listeleme Sırala"
"Layered Navigation Price Step","Katmanlı Navigasyon Fiyat Adımı"
"URL Key","Adres Anahtar Kelimesi"
"Meta Title","Meta Başlığı"
"Meta Keywords","Meta Anahtar Kelimeleri"
"Meta Description","Meta Açıklaması"
"Products in Category","Ürün Kategorileri"
"Design","Tasarım"
"Theme","Tema"
"Layout","Şablon"
"Layout Update XML","Şablon Güncelleme XML"
"Apply Design to Products","Tasarım Ürünler için geçerlidir"
"Schedule Design Update","Tasarım güncelleme planı"
"AttributeSetText","Özellik seti metni"
"StatusText","DurumMetni"
"Product Image Watermarks","Ürün Resmi Kopya Koruması"
"Base","Temel"
"Allowed file types: jpeg, gif, png.","İzin verilen dosya türleri: jpeg, gif, png."
"Image Opacity","Görüntüdeki Opaklık"
"Example format: 200x300.","Örnek biçim: 200x300."
"Image Position","Görüntü konumu"
"Attribute Properties","Öznitelik Özellikleri"
"Attribute Label","Özellik Etiketi"
"Catalog Input Type for Store Owner","Mağaza Sahibi için Katalog Giriş Türü"
"Values","Değerler"
"Add this attribute to the list of column options in the product grid.","Bu özelliği ürün kılavuzundaki sütun seçenekleri listesine ekleyin."
"Add this attribute to the list of filter options in the product grid.","Bu özelliği ürün kılavuzundaki filtre seçenekleri listesine ekleyin."
"System","Sistem"
"All Store Views","Tüm Mağaza Görünümleri"
"Delete selected items?","Seçili öğeler silinsin mi?"
"Delete items","Öğeleri sil"
"Change status","Durumu Değiştir"
"Enable","Aktif et"
"Disable","İptal et"
"Update attributes","Özellikleri Güncelle"
"Overview","Önizleme"
"Skip to the end of the images gallery","Resim galerisinin sonuna git"
"Skip to the beginning of the images gallery","Resim galerisinin başlangıcına git"
"Details","Detaylar"
"Recently Compared","En son karşılaştırılanlar"
"Add To Cart","Sepete Ekle"
"Add To Compare","Karşılaştırma Listesine Ekle"
"Learn more","Daha fazlasını öğren"
"Recently Viewed","En son görülenler"
"Save Category","Kategoriyi kaydet"
"Delete Category","Kategoriyi Sil"
"New Subcategory","Yeni altkategori"
"New Root Category","Yeni kök kategori"
"Set Root Category for Store","Mağaza için ana kök kategorisi"
"Custom Design","Özel tasarım"
"Category Data","Kategori verileri"
"Not shared with other products","Diğer ürünlerle paylaşılmasın"
"Declare attribute value saving scope","Özellik değerinin kaydedileceği kapsamı belirtiniz"
"Depends on design theme","Temaya Bağlı"
"We saved the price alert subscription.","Fiyat ayarı aboneliği kaydedildi."
"We saved the stock notification.","Stok bildirimi kaydedildi."
"Images and Videos","Görüntüler ve Videolar"
"Click here or drag and drop to add images.","Buraya tıklayın ya da görüntü eklemek için sürükleyin ve bırakın."
"Make Base","Temel Oluştur"
"There was a category move error. %1","Bir kategori taşıma hatası vardı. %1"
"You moved the category","Kategoriyi taşıdın"
"This product no longer exists.","Bu ürün kaydına ulaşılamıyor."
"We can't find the image file.","Görüntü dosyasını bulamıyoruz."
"productFactory is already set","productFactory ayarlandı"
"Could not save product option","Ürün seçeneği kaydedilemedi"
"Product option with id %1 does not exist","%1 id li ürün ayarları mevcut değil"
"Are you sure you want to delete this category?","Bu kategoriyi silmek istediğinizden emin misiniz?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Bu mağaza için kök kategorisini <a href=""%1"">yapılandırma</a>da belirleyin."
"Manage Options (values of your attribute)","Seçenekleri Yönet (özelliğindeki değerler)"
"An attribute group named ""/name/"" already exists"".","""/name/"" adlı bir özellik grubu zaten var""."
"Close panel","Paneli kapat"
"Allow Multiple Boxes for Shipping.","Nakliye için Birden Çok Kutuyu İzin Ver."
"Ok","Tamam"
"Watermark Default Size","Resim Kopya Koruması Boyutu"
"Watermark Opacity, Percent","Resim Kopya Koruması Saydamlık, Yüzde"
"Watermark","Resim Kopya Koruması"
"Watermark Position","Resim Kopya Koruma Konumu"
"none","yok"
"File validation failed.","File validation failed."
"text","metin"
"Tier Price","Tier Price"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Magento siteniz birden çok görünüme sahipse kapsamı belirli bir görünüme ayarlayabilirsiniz."
"Sort Products By","Ürünleri Sırala"
"Default Product Sorting","Varsayılan ürün sıralaması"
"Use Parent Category Settings","Üst kategori ayarlarını kullanın"
"Page not found","Sayfa bulunamadı"
"Full file path is expected.","Full file path is expected."
"from","Baş"
"to","Bit"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","You added product %1 to the <a href=""%2"">comparison list</a>."
"Maximum %1 characters","Maximum %1 characters"
"remaining","remaining"
"too many","too many"
"Sending attribute values as package.","Sending attribute values as package."
"This value does not follow the specified format (for example, 200X300).","Bu değer belirtilen biçime uymuyor (örneğin, 200X300)."
"Applies to category pages","Applies to category pages"
"Remember Category Pagination","Remember Category Pagination"
"Changing may affect SEO and cache storage consumption.","Changing may affect SEO and cache storage consumption."
"Images Upload Configuration","Görüntü Yükleme Yapılandırması"
"Quality","Quality"
"Jpeg quality for resized images 1-100%.","Jpeg quality for resized images 1-100%."
"Cost","Tutar"
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Attributes were missing and must be specified.","Attributes were missing and must be specified."
"The value of Admin must be unique. (%1)","The value of Admin must be unique. (%1)"
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The category doesn't contain the specified product.","The category doesn't contain the specified product."
"The %1 value wasn't found in the algorithms.","The %1 value wasn't found in the algorithms."
"The filters are invalid. Set them in an array and try again.","The filters are invalid. Set them in an array and try again."
"The product wasn't registered.","The product wasn't registered."
"The store wasn't registered. Verify the store and try again.","The store wasn't registered. Verify the store and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
"The image content is invalid. Verify the content and try again.","The image content is invalid. Verify the content and try again."
"The product can't be saved.","The product can't be saved."
"The new media gallery entry failed to save.","The new media gallery entry failed to save."
"No image with the provided ID was found. Verify the ID and try again.","No image with the provided ID was found. Verify the ID and try again."
"The product doesn't exist. Verify and try again.","The product doesn't exist. Verify and try again."
"The image doesn't exist. Verify and try again.","The image doesn't exist. Verify and try again."
"The image doesn't exist.","The image doesn't exist."
"The image type for the file is invalid. Enter the correct image type and try again.","The image type for the file is invalid. Enter the correct image type and try again."
"The ""%1"" file couldn't be moved.","The ""%1"" file couldn't be moved."
"The ProductSku is empty. Set the ProductSku and try again.","The ProductSku is empty. Set the ProductSku and try again."
"The custom option couldn't be removed.","The custom option couldn't be removed."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The file options format is invalid. Use a correct format and try again.","The file options format is invalid. Use a correct format and try again."
"The file ""%1"" is empty. Select another file and try again.","The file ""%1"" is empty. Select another file and try again."
