"Root","මූල"
"Invalid attribute %fieldName = %fieldValue.","වලංගු නොවන ගුණාංගය %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","ඉල්ලූ ගබඩාව හමු නොවේ. පේළි හැඳුනුම්පත: SKU = %SKU, ගබඩා ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","වලංගු නොවන ගුණාංග පිරිවැය = %cost. පේළි හැඳුනුම්පත: SKU = %SKU, ගබඩා ID: %storeId."
"Could not save Prices.","මිල සුරැකීමට නොහැකි විය."
"Could not delete Prices","මිල ගණන් මැකීමට නොහැකි විය"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","ඉල්ලූ ගබඩාව හමු නොවේ. පේළි හැඳුනුම්පත: SKU = %SKU, ගබඩා ID: %storeId, මිල සිට: %pසහල් සිට, මිල දක්වා: %pසහල් දක්වා."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","වලංගු නොවන ගුණාංගය %label = %priceTo. පේළි හැඳුනුම්පත: SKU = %SKU, ගබඩා ID: %storeId, මිල සිට: %pසහල් සිට, මිල දක්වා: %pසහල් දක්වා."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","වලංගු නොවන ගුණාංග මිල = %pසහල්. පේළි හැඳුනුම්පත: SKU = %SKU, ගබඩා ID: %storeId, මිල සිට: %pසහල් සිට, මිල දක්වා: %pසහල් දක්වා."
"Could not save Tier Prices","ස්ථර මිල සුරැකීමට නොහැකි විය"
"Could not replace Tier Prices","ස්ථර මිල ප්‍රතිස්ථාපනය කළ නොහැක"
"Could not delete Tier Prices","ස්ථර මිල ගණන් මැකීමට නොහැකි විය"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","වලංගු නොවන ගුණාංගය SKU = %SKU. පේළි ID: SKU = %SKU, වෙබ් අඩවි ID: %websiteId, පාරිභෝගික කණ්ඩායම: %customerGroup, ප්‍රමාණය: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","වලංගු නොවන ගුණාංග මිල = %pසහල්. පේළි ID: SKU = %SKU, වෙබ් අඩවි ID: %websiteId, පාරිභෝගික කණ්ඩායම: %customerGroup, ප්‍රමාණය: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","වලංගු නොවන ගුණාංග මිල වර්ගය = %pසහල් වර්ගය. පේළි ID: SKU = %SKU, වෙබ් අඩවි ID: %websiteId, පාරිභෝගික කණ්ඩායම: %customerGroup, ප්‍රමාණය: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","වලංගු නොවන ගුණාංග ප්‍රමාණය = %qty. පේළි ID: SKU = %SKU, වෙබ් අඩවි ID: %websiteId, පාරිභෝගික කණ්ඩායම: %customerGroup, ප්‍රමාණය: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","වලංගු නොවන ගුණාංග වෙබ් අඩවි ID = %websiteId. පේළි ID: SKU = %SKU, වෙබ් අඩවි ID: %websiteId, පාරිභෝගික කණ්ඩායම: %customerGroup, ප්‍රමාණය: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","අපි අනුපිටපත් වෙබ් අඩවියක්, ස්ථර මිල, පාරිභෝගික කණ්ඩායම සහ ප්‍රමාණය සොයා ගත්තෙමු: පාරිභෝගික කණ්ඩායම = %customerGroup, Website ID = %websiteId, Quantity = %qty. පේළි ID: SKU = %SKU, වෙබ් අඩවි ID: %websiteId, පාරිභෝගික කණ්ඩායම: %customerGroup, ප්‍රමාණය: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","පාරිභෝගික කණ්ඩායම = %customerGroup සමඟ එවැනි ආයතනයක් නොමැත. පේළි ID: SKU = %SKU, වෙබ් අඩවි ID: %websiteId, පාරිභෝගික කණ්ඩායම: %customerGroup, ප්‍රමාණය: %qty."
"This product doesn't have tier price","This product doesn't have tier price"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","නිෂ්පාදනයට එවැනි දත්ත සමඟ කණ්ඩායම් මිලක් නොමැත: customerGroupId = '%1', වෙබ් අඩවිය = %2, qty = %3"
"Invalid data provided for tier_price","Invalid data provided for tier_price"
"Could not save group price","Could not save group price"
"Please provide valid data","Please provide valid data"
"Values of following attributes are invalid: %1","Values of following attributes are invalid: %1"
"We can't create writeable directory ""%1"".","We can't create writeable directory ""%1""."
"The file upload failed.","The file upload failed."
"The product has required options.","The product has required options."
"Something went wrong while processing the request.","ඉල්ලීම සකසන අතරතුර යම් දෙයක් වැරදී ඇත."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 \Magento\Catalog\Model\Product\Type\Abstract Type දිගු නොකරයි"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 \Magento\Catalog\Model\Product\Type\මිල දිගු නොකරයි"
"Not Visible Individually","තනි තනිව නොපෙනේ"
"Search","සොයන්න"
"Catalog, Search","නාමාවලිය, සෙවීම"
"Something went wrong while removing products from the websites.","වෙබ් අඩවිවලින් නිෂ්පාදන ඉවත් කිරීමේදී යම් දෙයක් වැරදී ඇත."
"Something went wrong while adding products to websites.","වෙබ් අඩවිවලට නිෂ්පාදන එක් කිරීමේදී යම් දෙයක් වැරදී ඇත."
"Group with id ""%1"" does not exist.","Group with id ""%1"" does not exist."
"Attribute group that contains system attributes can not be deleted","Attribute group that contains system attributes can not be deleted"
"Collection provider is not registered","Collection provider is not registered"
"Unknown link type: %1","Unknown link type: %1"
"Provided link type ""%1"" does not exist","Provided link type ""%1"" does not exist"
"Invalid data provided for linked products","Invalid data provided for linked products"
"Product with SKU '%1' is not linked to product with SKU '%2'","SKU '%1' සහිත නිෂ්පාදනය SKU '%2' සමඟ ඇති නිෂ්පාදනයට සම්බන්ධ නොවේ"
"Product %1 doesn't have linked %2 as %3","නිෂ්පාදන %1 හි %2 %3ලෙස සම්බන්ධ කර නැත"
"Requested product doesn't exist","Requested product doesn't exist"
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"Invalid product data: %1","වලංගු නොවන නිෂ්පාදන දත්ත: %1"
"Database connection error","දත්ත සමුදා සම්බන්ධතා දෝෂයකි"
"Database deadlock found when trying to get lock","අගුල ලබා ගැනීමට උත්සාහ කරන විට දත්ත සමුදා අවහිරය හමු විය"
"Database lock wait timeout exceeded","දත්ත සමුදා අගුළු පොරොත්තු කාලය ඉක්මවා ඇත"
"Unable to remove product %1","Unable to remove product %1"
"Requested product does not support images.","Requested product does not support images."
"There are not websites for assign to product","නිෂ්පාදනයට පැවරීම සඳහා වෙබ් අඩවි නොමැත"
"Could not assign product ""%1"" to websites ""%2""","""%1"" නිෂ්පාදනය ""%2"" වෙබ් අඩවි වෙත පැවරීමට නොහැකි විය"
"Could not save product ""%1"" with websites %2","වෙබ් අඩවි %2සමඟ නිෂ්පාදන ""%1"" සුරැකීමට නොහැකි විය"
"We cannot determine the field name.","අපට ක්ෂේත්‍ර නාමය තීරණය කළ නොහැක."
"Attribute '%1' is locked. %2","'%1' ගුණාංගය අගුලු දමා ඇත. %2"
"Do not change the scope. %1","විෂය පථය වෙනස් නොකරන්න. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Processor %1 BaseSelectProcessorInterface ක්‍රියාත්මක නොකරයි"
"A product type is not defined for the indexer.","දර්ශක සඳහා නිෂ්පාදන වර්ගයක් අර්ථ දක්වා නැත."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","SKU %1 සමඟ නිෂ්පාදනය SKU %2සමඟ ඇති නිෂ්පාදනයට සම්බන්ධ නොවේ"
"Multiple Select","බහු තේරීම"
"Dropdown","පතන"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 \Magento\Framework\Filter\Template දිගු නොකරයි"
"As low as","තරම් අඩුයි"
"test","test"
"Some text is here.","Some text is here."
"Some exception","Some exception"
"Could not get extension attributes","දිගු ගුණාංග ලබා ගැනීමට නොහැකි විය"
"message","පණිවුඩය"
"fl","fl"
"Lock wait timeout","අගුළු පොරොත්තු කාලය අවසන්"
"123","123"
"Images","රූප"
"Select...","තෝරන්න..."
"Advanced Pricing","උසස් මිලකරණය"
"Customer Group Price","පාරිභෝගික කණ්ඩායම් මිල"
"Customer Group","පාරිභෝගික කණ්ඩායම"
"Special Price From","විශේෂ මිල සිට"
"To","වෙත"
"Done","කළා"
"Product Alerts","නිෂ්පාදන ඇඟවීම්"
"Alert stock","අනතුරු ඇඟවීමේ තොගය"
"Alert Stock","ඇඟවීම් තොගය"
"Alert price","අනතුරු ඇඟවීමේ මිල"
"Alert Price","අනතුරු ඇඟවීමේ මිල"
"Add Selected","තෝරාගත් එකතු කරන්න"
"Select Attribute","Attribute තෝරන්න"
"Create New Attribute","නව ගුණාංගයක් සාදන්න"
"Customizable Options","අභිරුචිකරණය කළ හැකි විකල්ප"
"Custom options let customers choose the product variations they want.","අභිරුචි විකල්ප පාරිභෝගිකයින්ට ඔවුන්ට අවශ්‍ය නිෂ්පාදන වෙනස්කම් තෝරා ගැනීමට ඉඩ දෙයි."
"Add Option","විකල්පය එකතු කරන්න"
"New Option","නව විකල්පය"
"Select Product","නිෂ්පාදනය තෝරන්න"
"Option Title","විකල්ප මාතෘකාව"
"Add Value","අගය එකතු"
"Title","ශීර්ෂය"
"Option Type","විකල්ප වර්ගය"
"Required","අවශ්යයි"
"Price Type","මිල වර්ගය"
"Max Characters","උපරිම චරිත"
"Compatible File Extensions","අනුකූල ගොනු දිගු"
"Enter separated extensions, like: png, jpg, gif.","වෙන් කළ දිගු ඇතුළත් කරන්න, වැනි: png, jpg, gif."
"Maximum Image Size","උපරිම රූප ප්‍රමාණය"
"Please leave blank if it is not an image.","එය රූපයක් නොවේ නම් කරුණාකර හිස්ව තබන්න."
"%1","%1"
"This item has weight","මෙම අයිතමයේ බර ඇත"
"This item has no weight","මෙම අයිතමයට බරක් නොමැත"
"Set Product as New From","නිෂ්පාදනය නව ලෙස සකසන්න"
"Related Products, Up-Sells, and Cross-Sells","අදාළ නිෂ්පාදන, ඉහළ-විකුණුම්, සහ හරස්-විකිණුම්"
"Related products are shown to customers in addition to the item the customer is looking at.","පාරිභෝගිකයා බලන අයිතමයට අමතරව අදාළ නිෂ්පාදන පාරිභෝගිකයින්ට පෙන්වනු ලැබේ."
"Add Related Products","අදාළ නිෂ්පාදන එකතු කරන්න"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","පාරිභෝගිකයා බලා සිටින නිෂ්පාදනයට වඩා මිල අධික හෝ උසස් තත්ත්වයේ විකල්පයක් ලෙස ඉහළ-විකිණුම් අයිතමයක් පාරිභෝගිකයාට පිරිනමනු ලැබේ."
"Add Up-Sell Products","ඉහළ විකුණුම් නිෂ්පාදන එකතු කරන්න"
"Up-Sell Products","ඉහළ විකුණුම් නිෂ්පාදන"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","මෙම ""ආවේගය-මිලදී ගැනීම"" නිෂ්පාදන දැනටමත් සාප්පු කරත්තයේ ඇති අයිතමවලට හරස් ලෙස විකුණන ලෙස සාප්පු කරත්තය අසල දිස්වේ."
"Add Cross-Sell Products","හරස් විකුණුම් නිෂ්පාදන එකතු කරන්න"
"Cross-Sell Products","හරස් විකුණුම් නිෂ්පාදන"
"Add Selected Products","තෝරාගත් නිෂ්පාදන එකතු කරන්න"
"Remove","ඉවත් කරන්න"
"Thumbnail","සිඟිති රුව"
"Actions","ක්රියාවන්"
"Schedule Update From","සිට යාවත්කාලීන කාලසටහන"
"Product in Websites","වෙබ් අඩවි වල නිෂ්පාදන"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","ඔබේ Magento ස්ථාපනයට වෙබ් අඩවි කිහිපයක් තිබේ නම්, ඔබට නිශ්චිත වෙබ් අඩවිවල නිෂ්පාදනය භාවිතා කිරීමට විෂය පථය සංස්කරණය කළ හැක."
"name","නාමය"
"Copy Data from","වෙතින් දත්ත පිටපත් කරන්න"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","අභිරුචි මාපිය ප්‍රවර්ග නොමැති නම්, කරුණාකර පෙරනිමි මාපිය ප්‍රවර්ගය භාවිතා කරන්න. ඔබට ඕනෑම වේලාවක නිෂ්පාදන <a href=""%1"" target=""_blank""> &gt; ප්‍රවර්ග</a>තුළ ප්‍රවර්ගය නැවත පැවරිය හැක."
"This operation can take a long time","මෙම මෙහෙයුම දිගු කාලයක් ගත විය හැකිය"
"Collapse All","සියල්ල හකුලන්න"
"Expand All","සියල්ල පුළුල් කරන්න"
"Please confirm site switching. All data that hasn't been saved will be lost.","කරුණාකර අඩවි මාරු කිරීම තහවුරු කරන්න. සුරැකී නැති සියලුම දත්ත නැති වී යයි."
"Use Default Value","පෙරනිමි අගය භාවිතා කරන්න"
"Manage Titles (Size, Color, etc.)","මාතෘකා කළමනාකරණය කරන්න (ප්‍රමාණය, වර්ණය, ආදිය)"
"Manage Options (Values of Your Attribute)","විකල්ප කළමනාකරණය කරන්න (ඔබේ ගුණාංගයේ අගයන්)"
"Is Default","පෙරනිමි වේ"
"Sort Option","වර්ග කිරීමේ විකල්පය"
"Groups","කණ්ඩායම්"
"Double click on a group to rename it.","එය නැවත නම් කිරීමට කණ්ඩායමක් මත දෙවරක් ක්ලික් කරන්න."
"Unassigned Attributes","පවරා නොදුන් ගුණාංග"
"A name is required.","නමක් අවශ්‍යයි."
"This group contains system attributes. Please move system attributes to another group and try again.","මෙම සමූහයේ පද්ධති ගුණාංග අඩංගු වේ. කරුණාකර පද්ධති උපලක්ෂණ වෙනත් කණ්ඩායමකට ගෙන ගොස් නැවත උත්සාහ කරන්න."
"Please select a node.","කරුණාකර නෝඩයක් තෝරන්න."
"Please enter a new group name.","කරුණාකර නව කණ්ඩායම් නමක් ඇතුළත් කරන්න."
"An attribute group named ""/name/"" already exists.","""/name/"" නමින් ගුණාංග සමූහයක් දැනටමත් පවතී."
"Sorry, we're unable to complete this request.","සමාවන්න, අපට මෙම ඉල්ලීම සම්පූර්ණ කිරීමට නොහැකි විය."
"You can't remove attributes from this attribute set.","ඔබට මෙම උපලක්ෂණ කට්ටලයෙන් උපලක්ෂණ ඉවත් කළ නොහැක."
"Custom Options","අභිරුචි විකල්ප"
"This is a required option.","මෙය අවශ්ය විකල්පයකි."
"The field isn't complete.","ක්ෂේත්‍රය සම්පූර්ණ නැත."
"Compatible file extensions to upload","උඩුගත කිරීමට ගැළපෙන ගොනු දිගු"
"Maximum image width","රූපයේ උපරිම පළල"
"Maximum image height","උපරිම රූපය උස"
"Maximum number of characters:","උපරිම අක්ෂර ගණන:"
"start typing to search template","සෙවුම් අච්චුව සඳහා ටයිප් කිරීම ආරම්භ කරන්න"
"Product online","නිෂ්පාදනය අන්තර්ජාලයෙන්"
"Product offline","නිෂ්පාදන නොබැඳි"
"Product online status","නිෂ්පාදන මාර්ගගත තත්ත්වය"
"Manage Stock","කොටස් කළමනාකරණය කරන්න"
"Qty","Qty"
"Out-of-Stock Threshold","තොගයෙන් පිටත එළිපත්ත"
"Minimum Qty Allowed in Shopping Cart","සාප්පු කරත්තයේ අවම ප්‍රමාණයට අවසර ඇත"
"Maximum Qty Allowed in Shopping Cart","සාප්පු කරත්තයේ උපරිම ප්‍රමාණයට අවසර ඇත"
"Qty Uses Decimals","Qty දශම භාවිතා කරයි"
"Backorders","පසුපෙළ"
"Notify for Quantity Below","පහත ප්‍රමාණය සඳහා දැනුම් දෙන්න"
"Enable Qty Increments","Qty වැඩිවීම් සබල කරන්න"
"Qty Increments","Qty වර්ධක"
"Stock Availability","කොටස් ලබා ගැනීමේ හැකියාව"
"In Stock","ගබඩාවේ ඇත"
"Out of Stock","තොග අවසන්"
"Add Product To Websites","වෙබ් අඩවි වලට නිෂ්පාදන එක් කරන්න"
"Remove Product From Websites","වෙබ් අඩවි වලින් නිෂ්පාදන ඉවත් කරන්න"
"To hide an item in catalog or search results, set the status to ""Disabled"".","නාමාවලියෙහි හෝ සෙවුම් ප්‍රතිඵලවල අයිතමයක් සැඟවීමට, තත්ත්වය ""ආබාධිත"" ලෙස සකසන්න."
"We can't save custom-defined options for bundles with dynamic pricing.","ගතික මිලකරණය සහිත මිටි සඳහා අභිරුචි-නිර්වචනය කළ විකල්ප සුරැකිය නොහැක."
"Delete Custom Option","අභිරුචි විකල්පය මකන්න"
"Sort Custom Options","අභිරුචි විකල්ප වර්ග කරන්න"
"Input Type","ආදාන වර්ගය"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","අභිරුචි විකල්පය වර්ග කරන්න"
"Item Price","භාණ්ඩ මිල"
"Action","කටයුතු"
"and above","සහ ඉහත"
"Delete Tier","ස්ථරය මකන්න"
"Product In Websites","වෙබ් අඩවි වල නිෂ්පාදන"
"(Copy data from: %1)","(දත්ත පිටපත් කරන්න: %1)"
"Browse to find or drag image here","රූපය සෙවීමට බ්‍රවුස් කරන්න හෝ මෙතැනට ඇද දමන්න"
"Delete image","රූපය මකන්න"
"Hidden","සැඟවී ඇත"
"Alt Text","විකල්ප පෙළ"
"Role","කාර්යභාරය"
"Image Size","පින්තූරයේ ප්රමාණය"
"{size}","{size}"
"Image Resolution","රූප විභේදනය"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","නිෂ්පාදන පිටුවෙන් සඟවන්න"
"Allow Multiple Boxes for Shipping","නැව්ගත කිරීම සඳහා බහු පෙට්ටිවලට ඉඩ දෙන්න"
"start typing to search attribute","ගුණාංග සෙවීමට ටයිප් කිරීම ආරම්භ කරන්න"
"Basic Settings","මූලික සැකසුම්"
"Advanced Settings","උසස් සැකසුම්"
"Changes have been made to this section that have not been saved.","සුරැකී නොමැති මෙම කොටසෙහි වෙනස්කම් සිදු කර ඇත."
"This tab contains invalid data. Please resolve this before saving.","මෙම පටිත්තෙහි වලංගු නොවන දත්ත අඩංගු වේ. කරුණාකර සුරැකීමට පෙර මෙය විසඳන්න."
"Mass Actions","මහා ක්‍රියා"
"Select All","සියල්ල තෝරන්න"
"Unselect All","සියල්ල තෝරා නොගන්න"
"Select Visible","දෘශ්‍ය තෝරන්න"
"Unselect Visible","දෘශ්‍ය තේරීම ඉවත් කරන්න"
"Special Price","විශේෂ මිල"
"Regular Price","නිත්ය මිල"
"Buy %1 for: ","%1 මිලදී ගන්න: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","%2 බැගින් %1 මිල දී ගන්න සහ <strong class=""benefit"">ඉතිරි කරන්න<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","%2 බැගින් %1 මිලදී ගන්න"
"Shop By","සාප්පු සවාරි යන්න"
"Shopping Options","සාප්පු සවාරි විකල්ප"
"Compare Products","නිෂ්පාදන සසඳන්න"
"Print This Page","මෙම පිටුව මුද්‍රණය කරන්න"
"Remove Product","නිෂ්පාදනය ඉවත් කරන්න"
"Add to Cart","ගැලට එක් කරන්න"
"In stock","ගබඩාවේ ඇත"
"Out of stock","තොග අවසන්"
"Add to Wish List","පැතුම් ලැයිස්තුවට එක් කරන්න"
"You have no items to compare.","ඔබට සංසන්දනය කිරීමට අයිතම නොමැත."
"Remove This Item","මෙම අයිතමය ඉවත් කරන්න"
"Compare","සසඳන්න"
"Clear All","සියල්ල හිස් කරන්න"
"Prev","පෙර"
"Next","ඊළඟ"
"We can't find products matching the selection.","තේරීමට ගැළපෙන නිෂ්පාදන අපට සොයාගත නොහැක."
"Learn More","තවත් හදාරන්න"
"Add to Compare","සංසන්දනය කිරීමට එකතු කරන්න"
"We found other products you might like!","ඔබ කැමති විය හැකි වෙනත් නිෂ්පාදන අපි සොයා ගත්තෙමු!"
"More Choices:","තවත් තේරීම්:"
"Check items to add to the cart or","කරත්තයට එකතු කිරීමට අයිතම පරීක්ෂා කරන්න හෝ"
"select all","සියල්ල තෝරන්න"
"Items %1-%2 of %3","අයිතම %1-%2 න් %3"
"%1 Item","%1 අයිතමය"
"%1 Items","%1 අයිතම"
"Show","පෙන්වන්න"
"per page","පිටුවකට"
"Sort By","අනුව තෝරන්න"
"Set Ascending Direction","ආරෝහණ දිශාව සකසන්න"
"Set Descending Direction","බැසීමේ දිශාව සකසන්න"
"View as","වශයෙන් දක්වන්න"
"More Information","වැඩි විස්තර"
"Loading...","Loading..."
"* Required Fields","*අවශ්‍ය ක්ෂේත්‍ර"
"Availability","පවතින බව"
"Warning message","අනතුරු ඇඟවීමේ පණිවිඩය"
"Submit","Submit"
"We don't recognize or support this file extension type.","අපි මෙම ගොනු දිගු වර්ගය හඳුනා නොගනිමු."
"Configure Product","නිෂ්පාදනය වින්‍යාස කරන්න"
"OK","හරි"
"This value does not follow the specified format (for example, 200x300).","This value does not follow the specified format (for example, 200x300)."
"Select type of option.","විකල්ප වර්ගය තෝරන්න."
"Please add rows to option.","කරුණාකර විකල්පයට පේළි එක් කරන්න."
"Please select items.","Please select items."
"Choose existing category.","පවතින කාණ්ඩය තෝරන්න."
"Image Detail","රූපයේ විස්තර"
"Adding...","එකතු කරමින්..."
"Added","එකතු කරන ලදී"
"does not implement Storage Interface","ගබඩා අතුරුමුහුණත ක්රියාත්මක නොකරයි"
"unselect all","සියල්ල තෝරා නොගන්න"
"Inventory","ඉන්වෙන්ටරි"
"Catalog Section","නාමාවලි අංශය"
"Small","කුඩා"
"Main","ප්රධාන"
"Custom image","අභිරුචි රූපය"
"Product Fields Auto-Generation","නිෂ්පාදන ක්ෂේත්‍ර ස්වයංක්‍රීය උත්පාදනය"
"Mask for SKU","SKU සඳහා වෙස් මුහුණ"
"Use {{name}} as Product Name placeholder","නිෂ්පාදන නාම තැන් දරන්නා ලෙස {{name}} භාවිතා කරන්න"
"Mask for Meta Title","මෙටා මාතෘකාව සඳහා වෙස් මුහුණ"
"Mask for Meta Keywords","මෙටා මූල පද සඳහා වෙස් මුහුණ"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","නිෂ්පාදන නාමය ලෙස {{name}} හෝ නිෂ්පාදන SKU ස්ථාන දරණ ලෙස {{sku}} භාවිතා කරන්න"
"Mask for Meta Description","මෙටා විස්තරය සඳහා වෙස් මුහුණ"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","නිෂ්පාදන නම සහ නිෂ්පාදන විස්තර ස්ථාන දරණ ලෙස {{name}} සහ {{description}} භාවිතා කරන්න"
"Recently Viewed/Compared Products","මෑතකදී බැලූ/සැසඳූ නිෂ්පාදන"
"Lifetime of products in Recently Viewed Widget","මෑතකදී බැලූ Widget හි නිෂ්පාදනවල ජීවිත කාලය"
"Lifetime of products in Recently Compared Widget","මෑතදී සසඳන ලද විජට් හි නිෂ්පාදනවල ආයු කාලය"
"Synchronize widget products with backend storage","පසුපෙළ ආචයනය සමඟ විජට් නිෂ්පාදන සමමුහුර්ත කරන්න"
"Storefront","වෙළඳසැල් ඉදිරිපිට"
"List Mode","ලැයිස්තු මාදිලිය"
"Products per Page on Grid Allowed Values","ජාල අවසර ලත් අගයන් මත පිටුවකට නිෂ්පාදන"
"Comma-separated.","කොමාවකින් වෙන් කරන ලද."
"Products per Page on Grid Default Value","ජාල පෙරනිමි අගය මත පිටුවකට නිෂ්පාදන"
"Must be in the allowed values list","Must be in the allowed values list"
"Products per Page on List Allowed Values","අවසර ලත් අගයන් ලැයිස්තුවේ පිටුවකට නිෂ්පාදන"
"Products per Page on List Default Value","ලැයිස්තුවේ පෙරනිමි අගය මත පිටුවකට නිෂ්පාදන"
"Use Flat Catalog Category","පැතලි නාමාවලි කාණ්ඩය භාවිතා කරන්න"
"Use Flat Catalog Product","පැතලි නාමාවලිය නිෂ්පාදනය භාවිතා කරන්න"
"Product Listing Sort by","නිෂ්පාදන ලැයිස්තුගත කිරීම අනුව වර්ග කරන්න"
"Allow All Products per Page","පිටුවකට සියලුම නිෂ්පාදන ඉඩ දෙන්න"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Whether to show ""All"" option in the ""Show X Per Page"" dropdown"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Product Image Placeholders","නිෂ්පාදන රූප ස්ථාන දරන්නන්"
"Search Engine Optimization","සෙවුම් යන්ත්‍ර ප්‍රශස්තකරණය"
"Page Title Separator","පිටු මාතෘකා බෙදුම්කරු"
"Use Canonical Link Meta Tag For Categories","ප්‍රවර්ග සඳහා කැනොනිකල් ලින්ක් මෙටා ටැගය භාවිතා කරන්න"
"Use Canonical Link Meta Tag For Products","නිෂ්පාදන සඳහා Canonical Link Meta Tag භාවිතා කරන්න"
"Catalog Price Scope","නාමාවලිය මිල විෂය පථය"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","මෙය මූලික මුදල් විෂය පථය නිර්වචනය කරයි (""මුදල් සැකසීම"" > ""මුදල් විකල්ප"" > ""පාදක මුදල්"")."
"Category Top Navigation","ප්‍රවර්ගය ඉහළම සංචාලනය"
"Maximal Depth","උපරිම ගැඹුර"
"Date & Time Custom Options","දිනය සහ වේලාව අභිරුචි විකල්ප"
"Use JavaScript Calendar","JavaScript දින දර්ශනය භාවිතා කරන්න"
"Date Fields Order","දිනය ක්ෂේත්ර ඇණවුම"
"Time Format","කාල ආකෘතිය"
"Year Range","වසර පරාසය"
"Please use a four-digit year format.","කරුණාකර ඉලක්කම් හතරක වසර ආකෘතියක් භාවිතා කරන්න."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Top Level Category","ඉහළම මට්ටමේ කාණ්ඩය"
"Product Info Column","නිෂ්පාදන තොරතුරු තීරුව"
"Block after Info Column","තොරතුරු තීරුවෙන් පසු අවහිර කරන්න"
"Product Flat Data","නිෂ්පාදන පැතලි දත්ත"
"Reorganize EAV product structure to flat structure","EAV නිෂ්පාදන ව්‍යුහය පැතලි ව්‍යුහයට ප්‍රතිසංවිධානය කරන්න"
