"Root","રુટ"
"The BuyRequest instance in options group is incorrect.","વિકલ્પો જૂથમાં ખરીદો વિનંતી ખોટી છે."
"We can't add the product to the cart because of an option validation issue.","વિકલ્પ માન્યતા મુદ્દાને કારણે અમે કાર્ટમાં ઉત્પાદન ઉમેરી શકતા નથી."
"%1 doesn't extends \Magento\Catalog\Model\Product\Option\Type\DefaultType","%1 વિસ્તરતું નથી \Magento\Catalog\Model\Product\Option\Type\DefaultType"
"The file options format is not valid.","ફાઇલ વિકલ્પોનું ફોર્મેટ માન્ય નથી."
"px.","પીએક્સ."
"The file '%1' for '%2' has an invalid extension.","'%2' માટે '%1' ફાઇલમાં અમાન્ય એક્સ્ટેંશન છે."
"The maximum allowed image size for '%1' is %2x%3 px.","'%1' માટે મહત્તમ માન્ય છબીઓનું કદ%2x%3 px છે."
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","તમે અપલોડ કરેલી ફાઇલ '%1' અમારા સર્વર દ્વારા માન્ય %2 મેગાબાઇટ્સ કરતા મોટી છે."
"The file '%1' is empty. Please choose another one","ફાઇલ '%1' ખાલી છે. કૃપા કરી બીજું એક પસંદ કરો"
"The file '%1' is invalid. Please choose another one","ફાઇલ '%1' અમાન્ય છે. કૃપા કરી બીજું એક પસંદ કરો"
"File '%1' is not an image.","ફાઇલ '%1' એક છબી નથી."
"Validation failed. Required options were not filled or the file was not uploaded.","માન્યતા નિષ્ફળ. જરૂરી વિકલ્પો ભર્યા ન હતા અથવા ફાઇલ અપલોડ કરવામાં આવી ન હતી."
"The file you uploaded is larger than %1 Megabytes allowed by server","તમે અપલોડ કરેલી ફાઇલ સર્વર દ્વારા માન્ય %1 મેગાબાઇટ્સ કરતા મોટી છે"
"Option required.","વિકલ્પ જરૂરી છે."
"The file is empty. Please choose another one","ફાઇલ ખાલી છે. કૃપા કરી બીજું એક પસંદ કરો"
"Some of the selected item options are not currently available.","કેટલાક પસંદ કરેલા આઇટમ વિકલ્પો હાલમાં ઉપલબ્ધ નથી."
"The text is too long.","ટેક્સ્ટ ખૂબ લાંબો છે."
"Invalid attribute %fieldName = %fieldValue.","અમાન્ય લક્ષણ %fieldName =%fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","વિનંતી કરેલી દુકાન મળી નથી. પંક્તિ ID: SKU = %SKU, સ્ટોર ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","અમાન્ય લક્ષણ કિંમત =%cost. પંક્તિ ID: SKU =%SKU, સ્ટોર ID:%storeId."
"Could not save Prices.","કિંમતોને સાચવી શકાઈ નથી."
"Could not delete Prices","કિંમતો કા notી શકાઈ નથી"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","વિનંતી કરેલ ઉત્પાદન અસ્તિત્વમાં નથી. પંક્તિ ID: એસક્યુ =%SKU, સ્ટોર આઈડી:%storeId, કિંમત આનાથી:%priceFrom, ભાવથી:%priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","વિનંતી કરેલી દુકાન મળી નથી. પંક્તિ ID: એસક્યુ =%SKU, સ્ટોર આઈડી:%storeId, કિંમત આનાથી:%priceFrom, ભાવથી:%priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","અમાન્ય લક્ષણ %label =%priceTo. પંક્તિ ID: એસક્યુ =%SKU, સ્ટોર આઈડી:%storeId, કિંમત આનાથી:%priceFrom, ભાવથી:%priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","અમાન્ય લક્ષણ કિંમત =%price. પંક્તિ ID: એસક્યુ =%SKU, સ્ટોર આઈડી:%storeId, કિંમત આનાથી:%priceFrom, ભાવથી:%priceTo."
"Could not save Tier Prices","ટાયર કિંમતો સાચવી શક્યાં નથી"
"Could not replace Tier Prices","ટાયર કિંમતો બદલી શકાઈ નથી"
"Could not delete Tier Prices","ટાયર કિંમતો કા notી શકાઈ નથી"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","અમાન્ય લક્ષણ એસક્યુ =%SKU. પંક્તિ ID: એસક્યુ =%SKU, વેબસાઇટ આઈડી:%websiteId, ગ્રાહક જૂથ:%customerGroup, પ્રમાણ:%qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","અમાન્ય લક્ષણ કિંમત =%price. પંક્તિ ID: એસક્યુ =%SKU, વેબસાઇટ આઈડી:%websiteId, ગ્રાહક જૂથ:%customerGroup, પ્રમાણ:%qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","અમાન્ય લક્ષણ ભાવ પ્રકાર =%priceType. પંક્તિ ID: એસક્યુ =%SKU, વેબસાઇટ આઈડી:%websiteId, ગ્રાહક જૂથ:%customerGroup, પ્રમાણ:%qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","અમાન્ય લક્ષણ જથ્થો = %qty. પંક્તિ ID: એસક્યુ =%SKU, વેબસાઇટ આઈડી:%websiteId, ગ્રાહક જૂથ:%customerGroup, પ્રમાણ:%qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","અમાન્ય લક્ષણ વેબસાઇટ ID =%websiteId. પંક્તિ ID: એસક્યુ =%SKU, વેબસાઇટ આઈડી:%websiteId, ગ્રાહક જૂથ:%customerGroup, પ્રમાણ:%qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","અમને એક ડુપ્લિકેટ વેબસાઇટ, સ્તરની કિંમત, ગ્રાહક જૂથ અને જથ્થો મળી: ગ્રાહક જૂથ =%customerGroup, વેબસાઇટ આઈડી =%websiteId, પ્રમાણ =%qty. પંક્તિ ID: એસક્યુ =%SKU, વેબસાઇટ આઈડી:%websiteId, ગ્રાહક જૂથ:%customerGroup, પ્રમાણ:%qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","ગ્રાહક જૂથ =%ગ્રાહક જૂથ સાથે આવી કોઈ એન્ટિટી નથી. પંક્તિ ID: એસક્યુ =%SKU, વેબસાઇટ આઈડી:%websiteId, ગ્રાહક જૂથ:%customerGroup, પ્રમાણ:%qty."
"This product doesn't have tier price","આ ઉત્પાદનની કક્ષાની કિંમત નથી"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","ઉત્પાદમાં આવા ડેટા સાથે જૂથ ભાવ નથી: ગ્રાહક જૂથ = '%1', વેબસાઇટ =%2, ક્વોટી =%3"
"Invalid data provided for tier_price","ટાયર_પ્રાઇસ માટે અમાન્ય ડેટા પ્રદાન કરાયો છે"
"Could not save group price","જૂથની કિંમત બચાવી શકી નથી"
"Please provide valid data","કૃપા કરીને માન્ય ડેટા પ્રદાન કરો"
"Values of following attributes are invalid: %1","નીચેના લક્ષણોનાં મૂલ્યો અમાન્ય છે:%1"
"We can't create writeable directory ""%1"".","આપણે લખવા યોગ્ય ડિરેક્ટરી ""%1"" બનાવી શકીએ નહીં."
"The file upload failed.","ફાઇલ અપલોડ નિષ્ફળ થયું."
"The product has required options.","ઉત્પાદનમાં વિકલ્પોની આવશ્યકતા છે."
"Something went wrong while processing the request.","વિનંતી પર પ્રક્રિયા કરતી વખતે કંઈક ખોટું થયું."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 વિસ્તરતું નથી \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 વિસ્તરતું નથી \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","વ્યક્તિગત રૂપે દૃશ્યમાન નથી"
"Search","શોધો"
"Catalog, Search","કેટલોગ, શોધ"
"Something went wrong while removing products from the websites.","વેબસાઇટ્સમાંથી ઉત્પાદનોને દૂર કરતી વખતે કંઈક ખોટું થયું."
"Something went wrong while adding products to websites.","વેબસાઇટ્સ પર ઉત્પાદનો ઉમેરતી વખતે કંઈક ખોટું થયું."
"Group with id ""%1"" does not exist.","""%1"" નામનો જૂથ અસ્તિત્વમાં નથી."
"Attribute group that contains system attributes can not be deleted","સિસ્ટમ જૂથ ધરાવતા એટ્રિબ્યુટ જૂથને કા beી શકાતા નથી"
"Collection provider is not registered","સંગ્રહ પ્રદાતા નોંધાયેલ નથી"
"Unknown link type: %1","અજ્ Unknownાત લિંક પ્રકાર:%1"
"Provided link type ""%1"" does not exist","પ્રદાન કરેલો લિંક પ્રકાર ""%1"" અસ્તિત્વમાં નથી"
"Invalid data provided for linked products","કડી થયેલ ઉત્પાદનો માટે અમાન્ય ડેટા પ્રદાન કરાયો છે"
"Product with SKU '%1' is not linked to product with SKU '%2'","એસક્યુ '%1' સાથેનું ઉત્પાદન એસક્યુ '%2' સાથેના ઉત્પાદન સાથે જોડાયેલ નથી."
"Product %1 doesn't have linked %2 as %3","પ્રોડક્ટ%1 એ%2 ને%3 તરીકે લિંક નથી કર્યું"
"Requested product doesn't exist","વિનંતી કરેલ ઉત્પાદન અસ્તિત્વમાં નથી"
"Product with SKU ""%1"" does not exist","એસકયુ ""%1"" સાથેનું ઉત્પાદન અસ્તિત્વમાં નથી"
"Invalid product data: %1","અમાન્ય ઉત્પાદન ડેટા:%1"
"Database connection error","ડેટાબેસ કનેક્શન ભૂલ"
"Database deadlock found when trying to get lock","લોક મેળવવાનો પ્રયાસ કરતી વખતે ડેટાબેસ ડેડલોક મળી"
"Database lock wait timeout exceeded","ડેટાબેઝ લ waitક પ્રતીક્ષા સમયસમાપ્તિ ઓળંગી ગઈ"
"Unable to remove product %1","%1 ઉત્પાદનને દૂર કરવામાં અસમર્થ"
"Requested product does not support images.","વિનંતી કરેલ ઉત્પાદન છબીઓને સપોર્ટ કરતું નથી."
"There are not websites for assign to product","ઉત્પાદનને સોંપવા માટે વેબસાઇટ્સ નથી"
"Could not assign product ""%1"" to websites ""%2""","વેબસાઇટ્સ ""%2"" ને ઉત્પાદન ""%1"" સોંપી શક્યું નથી"
"Could not save product ""%1"" with websites %2","વેબસાઇટ્સ %2 સાથે ઉત્પાદન ""%1"" સાચવી શક્યા નહીં"
"We cannot determine the field name.","અમે ક્ષેત્રનું નામ નક્કી કરી શકતા નથી."
"Attribute '%1' is locked. %2","એટ્રિબ્યુટ '%1' લ lockedક કરેલું છે. %2"
"Do not change the scope. %1","અવકાશ બદલશો નહીં. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","પ્રોસેસર %1 બેઝસેલેકટ પ્રોસેસરઇન્ટરફેસ લાગુ કરતું નથી"
"A product type is not defined for the indexer.","ઉત્પાદનનો પ્રકાર સૂચક માટે નિર્ધારિત નથી."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 વિસ્તૃત કરતું નથી \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","એસક્યુ %1 સાથેનું ઉત્પાદન એસક્યુ %2 સાથેના ઉત્પાદન સાથે જોડાયેલ નથી"
"Multiple Select","મલ્ટીપલ સિલેક્ટ"
"Dropdown","નીચે આવતા"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 \Magento\Framework\Filter\Template કરતું નથી"
"As low as","જેટલું ઓછું"
"test","પરીક્ષણ"
"Some text is here.","કેટલાક લખાણ અહીં છે."
"Some exception","કેટલાક અપવાદ"
"Could not get extension attributes","એક્સ્ટેંશન લક્ષણો મેળવી શક્યા નહીં"
"message","સંદેશ"
"fl","FL"
"Lock wait timeout","લ waitક વેઈટ ટાઇમઆઉટ"
"123","123"
"Images","છબીઓ"
"Select...","પસંદ કરો..."
"Advanced Pricing","અદ્યતન પ્રાઇસીંગ"
"Customer Group Price","ગ્રાહક જૂથ ભાવ"
"Customer Group","ગ્રાહક જૂથ"
"Special Price From","થી વિશેષ ભાવ"
"To","થી"
"Done","થઈ ગયું"
"Product Alerts","ઉત્પાદન ચેતવણીઓ"
"Alert stock","ચેતવણી સ્ટોક"
"Alert Stock","ચેતવણી સ્ટોક"
"Alert price","ચેતવણી ભાવ"
"Alert Price","ચેતવણી ભાવ"
"Add Selected","પસંદ કરેલ ઉમેરો"
"Select Attribute","એટ્રીબ્યુટ પસંદ કરો"
"Create New Attribute","નવું એટ્રિબ્યુટ બનાવો"
"Customizable Options","કસ્ટમાઇઝ વિકલ્પો"
"Custom options let customers choose the product variations they want.","કસ્ટમ વિકલ્પો ગ્રાહકોને ઇચ્છે છે તે ઉત્પાદન ભિન્નતા પસંદ કરવા દે છે."
"Add Option","વિકલ્પ ઉમેરો"
"New Option","નવો વિકલ્પ"
"Select Product","ઉત્પાદન પસંદ કરો"
"Option Title","વિકલ્પ શીર્ષક"
"Add Value","કિંમત ઉમેરો"
"Title","શીર્ષક"
"Option Type","વિકલ્પ પ્રકાર"
"Required","જરૂરી"
"Price Type","ભાવનો પ્રકાર"
"Max Characters","મહત્તમ અક્ષરો"
"Compatible File Extensions","સુસંગત ફાઇલ એક્સ્ટેંશન"
"Enter separated extensions, like: png, jpg, gif.","અલગ કરેલ એક્સ્ટેંશન દાખલ કરો, જેમ કે: png, jpg, gif."
"Maximum Image Size","મહત્તમ છબીનું કદ"
"Please leave blank if it is not an image.","કૃપા કરી ખાલી છોડી દો જો તે છબી નથી."
"%1","%1"
"This item has weight","આ આઇટમનું વજન છે"
"This item has no weight","આ આઇટમનું વજન નથી"
"Set Product as New From","પ્રોડક્ટને નવા તરીકે સેટ કરો"
"Related Products, Up-Sells, and Cross-Sells","સંબંધિત ઉત્પાદનો, અપ-સેલ્સ અને ક્રોસ-સેલ્સ"
"Related products are shown to customers in addition to the item the customer is looking at.","સંબંધિત ઉત્પાદનો ગ્રાહકને જોઈતી આઇટમ ઉપરાંત ગ્રાહકોને બતાવવામાં આવે છે."
"Add Related Products","સંબંધિત ઉત્પાદનો ઉમેરો"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","એક અપ-સેલ આઇટમ ગ્રાહકને જોવામાં આવે છે તેના ઉત્પાદન માટે પ્રિસીયર અથવા ઉચ્ચ-ગુણવત્તાવાળા વિકલ્પ તરીકે ગ્રાહકને .ફર કરવામાં આવે છે."
"Add Up-Sell Products","ઉપર વેચો ઉત્પાદનો ઉમેરો"
"Up-Sell Products","ઉત્પાદનો વેચો"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","આ ""ઇમ્પલ્સ-બાય"" પ્રોડક્ટ્સ શોપિંગ કાર્ટની બાજુમાં દેખાય છે કારણ કે શોપિંગ કાર્ટમાં પહેલેથી જ વસ્તુઓને ક્રોસ વેચે છે."
"Add Cross-Sell Products","ક્રોસ સેલ પ્રોડક્ટ્સ ઉમેરો"
"Cross-Sell Products","ઉત્પાદનો ક્રોસ વેચો"
"Add Selected Products","પસંદ કરેલા ઉત્પાદનો ઉમેરો"
"Remove","દૂર કરો"
"Thumbnail","થંબનેલ"
"Actions","ક્રિયાઓ"
"Schedule Update From","થી સૂચિ અપડેટ"
"Product in Websites","વેબસાઇટ્સમાં ઉત્પાદન"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","જો તમારી મેજેન્ટો ઇન્સ્ટોલેશનમાં બહુવિધ વેબસાઇટ્સ છે, તો તમે વિશિષ્ટ સાઇટ્સ પર ઉત્પાદનનો ઉપયોગ કરવા માટે અવકાશમાં ફેરફાર કરી શકો છો."
"name","નામ"
"Copy Data from","માંથી ડેટા ક Copyપિ કરો"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","જો ત્યાં કોઈ કસ્ટમ પેરેન્ટ કેટેગરીઝ નથી, તો કૃપા કરીને ડિફોલ્ટ પિતૃ કેટેગરીનો ઉપયોગ કરો. તમે <a href=""%1"" target=""_blank""> ઉત્પાદનો & જીટીમાં કોઈપણ સમયે કેટેગરીને ફરીથી સોંપી શકો છો; શ્રેણીઓ </a>."
"This operation can take a long time","આ કામગીરીમાં ઘણો સમય લાગી શકે છે"
"Collapse All","બધા સંકુચિત કરો"
"Expand All","બધા વિસ્તૃત કરો"
"Please confirm site switching. All data that hasn't been saved will be lost.","કૃપા કરીને સાઇટ સ્વિચિંગની પુષ્ટિ કરો. સાચવેલ ન હોય તે તમામ ડેટા ખોવાઈ જશે."
"Use Default Value","ડિફaultલ્ટ મૂલ્યનો ઉપયોગ કરો"
"Manage Titles (Size, Color, etc.)","શીર્ષકો મેનેજ કરો (કદ, રંગ, વગેરે)"
"Manage Options (Values of Your Attribute)","વિકલ્પો મેનેજ કરો (તમારા એટ્રિબ્યુટના મૂલ્યો)"
"Is Default","ડિફોલ્ટ છે"
"Sort Option","સortર્ટ વિકલ્પ"
"Groups","જૂથો"
"Double click on a group to rename it.","નામ બદલવા માટે જૂથ પર ડબલ ક્લિક કરો."
"Unassigned Attributes","ન સોંપાયેલ લક્ષણો"
"A name is required.","નામ આવશ્યક છે."
"This group contains system attributes. Please move system attributes to another group and try again.","આ જૂથમાં સિસ્ટમ લક્ષણો છે. કૃપા કરીને સિસ્ટમ લક્ષણો બીજા જૂથમાં ખસેડો અને ફરીથી પ્રયાસ કરો."
"Please select a node.","કૃપા કરીને નોડ પસંદ કરો."
"Please enter a new group name.","કૃપા કરીને નવું જૂથ નામ દાખલ કરો."
"An attribute group named ""/name/"" already exists.","""/ નામ /"" નામનું લક્ષણ જૂથ પહેલેથી અસ્તિત્વમાં છે."
"Sorry, we're unable to complete this request.","માફ કરશો, અમે આ વિનંતીને પૂર્ણ કરવામાં અસમર્થ છીએ."
"You can't remove attributes from this attribute set.","તમે આ લક્ષણ સમૂહમાંથી વિશેષતાઓને દૂર કરી શકતા નથી."
"Custom Options","કસ્ટમ વિકલ્પો"
"This is a required option.","આ જરૂરી વિકલ્પ છે."
"The field isn't complete.","ક્ષેત્ર પૂર્ણ નથી."
"Compatible file extensions to upload","સુસંગત ફાઇલ એક્સ્ટેંશન અપલોડ કરવા માટે"
"Maximum image width","મહત્તમ છબી પહોળાઈ"
"Maximum image height","મહત્તમ છબી heightંચાઇ"
"Maximum number of characters:","અક્ષરોની મહત્તમ સંખ્યા:"
"start typing to search template","નમૂના શોધવા માટે ટાઇપ કરવાનું પ્રારંભ કરો"
"Product online","ઉત્પાદન ઓનલાઇન"
"Product offline","ઉત્પાદન .ફલાઇન"
"Product online status","ઉત્પાદન statusનલાઇન સ્થિતિ"
"Manage Stock","સ્ટોક મેનેજ કરો"
"Qty","ક્યુટી"
"Out-of-Stock Threshold","સ્ટોક આઉટ સ્ટોક"
"Minimum Qty Allowed in Shopping Cart","શોપિંગ કાર્ટમાં ન્યૂનતમ ક્વોટી માન્ય છે"
"Maximum Qty Allowed in Shopping Cart","શોપિંગ કાર્ટમાં મહત્તમ ક્વોટી માન્ય છે"
"Qty Uses Decimals","Qty દશાંશ ઉપયોગ કરે છે"
"Backorders","બેકordersર્ડર્સ"
"Notify for Quantity Below","નીચે જથ્થા માટે સૂચિત કરો"
"Enable Qty Increments","Qty વધારો સક્ષમ કરો"
"Qty Increments","જથ્થો વધારો"
"Stock Availability","સ્ટોક ઉપલબ્ધતા"
"In Stock","ઉપલબ્ધ છે"
"Out of Stock","સ્ટોક આઉટ"
"Add Product To Websites","વેબસાઇટ્સ પર ઉત્પાદન ઉમેરો"
"Remove Product From Websites","વેબસાઇટ્સમાંથી ઉત્પાદનને દૂર કરો"
"To hide an item in catalog or search results, set the status to ""Disabled"".","સૂચિ અથવા શોધ પરિણામોમાં કોઈ વસ્તુ છુપાવવા માટે, સ્થિતિ ""અક્ષમ"" પર સેટ કરો."
"We can't save custom-defined options for bundles with dynamic pricing.","ગતિશીલ ભાવો સાથેના બંડલ્સ માટે અમે કસ્ટમ-નિર્ધારિત વિકલ્પો સાચવી શકતા નથી."
"Delete Custom Option","કસ્ટમ વિકલ્પ કા Deleteી નાખો"
"Sort Custom Options","કસ્ટમ વિકલ્પો સortર્ટ કરો"
"Input Type","ઇનપુટ પ્રકાર"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span> x </span> %2 <span> px. </span>"
"Sort Custom Option","કસ્ટમ વિકલ્પ સ Sર્ટ કરો"
"Item Price","આઇટમ ભાવ"
"Action","ક્રિયા"
"and above","અને ઉપર"
"Delete Tier","ટાયર કા Deleteી નાખો"
"Product In Websites","વેબસાઇટ્સમાં ઉત્પાદન"
"(Copy data from: %1)","(આમાંથી ડેટાની કેપિ કરો:%1)"
"Browse to find or drag image here","અહીં છબી શોધવા અથવા ખેંચવા માટે બ્રાઉઝ કરો"
"Delete image","છબી કા Deleteી નાખો"
"Hidden","છુપાયેલું"
"Alt Text","Alt ટેક્સ્ટ"
"Role","ભૂમિકા"
"Image Size","છબીનું કદ"
"{size}","{કદ"
"Image Resolution","છબી ઠરાવ"
"{width}^{height} px","{પહોળાઈ} ^ {{ંચાઈ} પીએક્સ"
"Hide from Product Page","ઉત્પાદન પૃષ્ઠ માંથી છુપાવો"
"Allow Multiple Boxes for Shipping","શિપિંગ માટે બહુવિધ બesક્સેસને મંજૂરી આપો"
"start typing to search attribute","લક્ષણ શોધવા માટે ટાઇપ કરવાનું પ્રારંભ કરો"
"Basic Settings","મૂળભૂત સેટિંગ્સ"
"Advanced Settings","અદ્યતન સેટિંગ્સ"
"Changes have been made to this section that have not been saved.","આ વિભાગમાં ફેરફારો કરવામાં આવ્યા છે જે સાચવવામાં આવ્યા નથી."
"This tab contains invalid data. Please resolve this before saving.","આ ટેબમાં અમાન્ય ડેટા છે. કૃપા કરીને બચત કરતા પહેલા આનું સમાધાન કરો."
"Mass Actions","સામૂહિક ક્રિયાઓ"
"Select All","બધા પસંદ કરો"
"Unselect All","બધાને અનઇલેક્ટ કરો"
"Select Visible","દૃશ્યમાન પસંદ કરો"
"Unselect Visible","દૃશ્યમાનની પસંદગી દૂર કરો"
"Special Price","ખાસ કિંમત"
"Regular Price","નિયમિત ભાવ"
"Buy %1 for: ","આ માટે%1 ખરીદો: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","દરેક %2 માટે%1 ખરીદો અને <strong class=""benefit""> સેવ <span class=""percent tier-%3""> & nbsp;%4 </span>%</ strong>"
"Buy %1 for %2 each","દરેક %2 માટે %1 ખરીદો"
"Shop By","દ્વારા ખરીદી"
"Shopping Options","ખરીદી વિકલ્પો"
"Compare Products","ઉત્પાદનોની તુલના કરો"
"Print This Page","આ પૃષ્ઠ છાપો"
"Remove Product","ઉત્પાદન દૂર કરો"
"Add to Cart","સૂચી માં સામેલ કરો"
"In stock","ઉપલબ્ધ છે"
"Out of stock","સ્ટોક સમાપ્ત"
"Add to Wish List","ઈચ્છા ની યાદ I માં ઉમેરવું"
"You have no items to compare.","તમારી પાસે તુલના કરવા માટે કોઈ આઇટમ્સ નથી."
"Remove This Item","આ વસ્તુ દૂર કરો"
"Compare","તુલના"
"Clear All","બધું સાફ કરો"
"Prev","પૂર્વ"
"Next","આગળ"
"We can't find products matching the selection.","અમે પસંદગી સાથે મેળ ખાતા ઉત્પાદનો શોધી શક્યા નથી."
"Learn More","વધુ શીખો"
"Add to Compare","સરખામણી કરો"
"We found other products you might like!","તમને ગમશે તેવા અન્ય ઉત્પાદનો અમને મળ્યાં છે!"
"More Choices:","વધુ પસંદગીઓ:"
"Check items to add to the cart or","કાર્ટમાં ઉમેરવા માટે વસ્તુઓ તપાસો અથવા"
"select all","બધા પસંદ કરો"
"Items %1-%2 of %3","%3 માંથી %1-%2 આઇટમ્સ"
"%1 Item","%1 આઇટમ"
"%1 Items","%1 આઇટમ્સ"
"Show","બતાવો"
"per page","પૃષ્ઠ દીઠ"
"Sort By","દ્વારા સortર્ટ કરો"
"Set Ascending Direction","ચડતા દિશા સેટ કરો"
"Set Descending Direction","ડિસેન્ડિંગ ડિરેક્શન સેટ કરો"
"View as","તરીકે જુઓ"
"More Information","વધુ મહિતી"
"Loading...","લોડ કરી રહ્યું છે ..."
"* Required Fields","* જરૂરી માહિતી"
"Availability","ઉપલબ્ધતા"
"Warning message","ચેતવણી સંદેશ"
"Submit","સબમિટ કરો"
"We don't recognize or support this file extension type.","અમે આ ફાઇલ એક્સ્ટેંશન પ્રકારને ઓળખતા નથી અથવા સપોર્ટ કરતા નથી."
"Configure Product","ઉત્પાદનને ગોઠવો"
"OK","બરાબર"
"This value does not follow the specified format (for example, 200x300).","આ મૂલ્ય નિર્દિષ્ટ બંધારણનું અનુસરણ કરતું નથી (ઉદાહરણ તરીકે, 200x300)."
"Select type of option.","વિકલ્પનો પ્રકાર પસંદ કરો."
"Please add rows to option.","કૃપા કરીને વિકલ્પમાં પંક્તિઓ ઉમેરો."
"Please select items.","કૃપા કરીને આઇટમ્સ પસંદ કરો."
"Choose existing category.","હાલની કેટેગરી પસંદ કરો."
"Image Detail","છબી વિગતો"
"Adding...","ઉમેરી રહ્યું છે ..."
"Added","ઉમેર્યું"
"does not implement Storage Interface","સ્ટોરેજ ઇંટરફેસ લાગુ કરતું નથી"
"unselect all","બધાને અનઇલેક્ટ કરો"
"Inventory","ઈન્વેન્ટરી"
"Catalog Section","કેટલોગ વિભાગ"
"Small","નાનું"
"Main","મુખ્ય"
"Custom image","કસ્ટમ છબી"
"Product Fields Auto-Generation","ઉત્પાદન ફીલ્ડ્સ સ્વત--જનરેશન"
"Mask for SKU","એસકયુ માટે માસ્ક"
"Use {{name}} as Product Name placeholder","ઉત્પાદન નામ પ્લેસહોલ્ડર તરીકે {{નામ} Use નો ઉપયોગ કરો"
"Mask for Meta Title","મેટા શીર્ષક માટે માસ્ક"
"Mask for Meta Keywords","મેટા કીવર્ડ્સ માટે માસ્ક"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","S {નામ} Product ને ઉત્પાદનના નામ તરીકે અથવા S {sku} Product ને ઉત્પાદન એસ.કે.યુ. જગ્યામાં તરીકે વાપરો"
"Mask for Meta Description","મેટા વર્ણન માટે માસ્ક"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","ઉત્પાદન નામ અને ઉત્પાદન વર્ણન પ્લેસહોલ્ડરો તરીકે {{નામ}} અને {{વર્ણન} Use નો ઉપયોગ કરો"
"Recently Viewed/Compared Products","તાજેતરમાં જોવાયા / ઉત્પાદનોની તુલના"
"Lifetime of products in Recently Viewed Widget","તાજેતરમાં જોવાયેલા વિજેટમાં ઉત્પાદનોનો લાઇફટાઇમ"
"Lifetime of products in Recently Compared Widget","તાજેતરના તુલનાત્મક વિજેટમાં ઉત્પાદનોનો લાઇફટાઇમ"
"Synchronize widget products with backend storage","બેકએન્ડ સ્ટોરેજ સાથે વિજેટ ઉત્પાદનોને સિંક્રનાઇઝ કરો"
"Storefront","સ્ટોરફ્રન્ટ"
"List Mode","સૂચિ મોડ"
"Products per Page on Grid Allowed Values","ગ્રીડ માન્ય મૂલ્યો પર પૃષ્ઠ દીઠ ઉત્પાદનો"
"Comma-separated.","અલ્પવિરામથી છૂટા."
