"Root","ಮೂಲ"
"The file '%1' is invalid. Please choose another one","""%1"" ಕಡತವು ಅಸಿಂಧುವಾಗಿದೆ. ಇನ್ನೊಂದು ಕಡತವನ್ನು ಆರಿಸಿ"
"File '%1' is not an image.","'%1' ಕಡತವು ಚಿತ್ರವಾಗಿಲ್ಲ."
"Validation failed. Required options were not filled or the file was not uploaded.","Validation failed. Required options were not filled or the file was not uploaded."
"The file you uploaded is larger than %1 Megabytes allowed by server","The file you uploaded is larger than %1 Megabytes allowed by server"
"Option required.","Option required."
"The file is empty. Please choose another one","The file is empty. Please choose another one"
"Some of the selected item options are not currently available.","ಆರಿಸಿದ ವಸ್ತುವಿನ ಕೆಲವು ಆಯ್ಕೆಗಳು ಸಧ್ಯಕ್ಕೆ ಲಭ್ಯವಿಲ್ಲ."
"The text is too long.","The text is too long."
"Invalid attribute %fieldName = %fieldValue.","Invalid attribute %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","ವಿನಂತಿಸಿದ ಮಳಿಗೆ ಕಂಡುಬಂದಿಲ್ಲ. Row ID: SKU = %SKU, Store ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","ಅಸಿಂಧುವಾದ ಗುಣವಿಶೇಷ ಬೆಲೆ = = %cost. Row ID: SKU = %SKU, Store ID: %storeId."
"Could not save Prices.","ದರಗಳನ್ನು ಉಳಿಸಲಾಗಲಿಲ್ಲ."
"Could not delete Prices","ದರಗಳನ್ನು ಅಳಿಸಲಾಗಲಿಲ್ಲ"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Could not save Tier Prices","ಹಂತದ ದರಗಳನ್ನು ಉಳಿಸಲಾಗಲಿಲ್ಲ"
"Could not replace Tier Prices","ಹಂತದ ದರಗಳನ್ನು ಬದಲಿಸಲಾಗಲಿಲ್ಲ"
"Could not delete Tier Prices","ಹಂತದ ದರಗಳನ್ನು ಅಳಿಸಲಾಗಲಿಲ್ಲ"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","ಅಸಿಂಧುವಾದ ಗುಣವಿಶೇಷ SKU = %SKU. Row ID: SKU = %SKU, ಜಾಲತಾಣ ID: %websiteId, ಗ್ರಾಹಕರ ಗುಂಪು: %customerGroup, ಪರಿಮಾಣ: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"This product doesn't have tier price","This product doesn't have tier price"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3"
"Invalid data provided for tier_price","Invalid data provided for tier_price"
"Could not save group price","Could not save group price"
"Please provide valid data","Please provide valid data"
"Values of following attributes are invalid: %1","Values of following attributes are invalid: %1"
"We can't create writeable directory ""%1"".","We can't create writeable directory ""%1""."
"The file upload failed.","The file upload failed."
"The product has required options.","The product has required options."
"Something went wrong while processing the request.","ಈ ವಿನಂತಿಯನ್ನು ಸಂಸ್ಕರಿಸುವಲ್ಲಿ ಎನೋ ತೊಂದರೆಯಾಗಿದೆ."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Not Visible Individually"
"Search","ಹುಡುಕಿ"
"Catalog, Search","Catalog, Search"
"Something went wrong while removing products from the websites.","ಜಾಲತಾಣಗಳಿಂದ ಉತ್ಪನ್ನಗಳನ್ನು ತೆಗೆದುಹಾಕುವಲ್ಲಿ ಯಾವುದೋ ದೋಷ ಸಂಭವಿಸಿದೆ."
"Something went wrong while adding products to websites.","ಜಾಲತಾಣಗಳಿಗೆ ಉತ್ಪನ್ನಗಳನ್ನು ಸೇರಿಸುವಲ್ಲಿ ಯಾವುದೋ ದೋಷ ಸಂಭವಿಸಿದೆ."
"Group with id ""%1"" does not exist.","Group with id ""%1"" does not exist."
"Attribute group that contains system attributes can not be deleted","Attribute group that contains system attributes can not be deleted"
"Collection provider is not registered","Collection provider is not registered"
"Unknown link type: %1","Unknown link type: %1"
"Provided link type ""%1"" does not exist","Provided link type ""%1"" does not exist"
"Invalid data provided for linked products","Invalid data provided for linked products"
"Product with SKU '%1' is not linked to product with SKU '%2'","Product with SKU '%1' is not linked to product with SKU '%2'"
"Product %1 doesn't have linked %2 as %3","Product %1 doesn't have linked %2 as %3"
"Requested product doesn't exist","Requested product doesn't exist"
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"Invalid product data: %1","ಅಸಿಂಧುವಾದ ಉತ್ಪನ್ನದ ದತ್ತಾಂಶ: %1"
"Database connection error","Database connection error"
"Database deadlock found when trying to get lock","Database deadlock found when trying to get lock"
"Database lock wait timeout exceeded","Database lock wait timeout exceeded"
"Unable to remove product %1","Unable to remove product %1"
"Requested product does not support images.","Requested product does not support images."
"There are not websites for assign to product","There are not websites for assign to product"
"Could not assign product ""%1"" to websites ""%2""","%2 ಜಾಲತಾಣಗಳೊಂದಿಗೆ ""%1"" ಉತ್ಪನ್ನವನ್ನು ನಿಯೋಜಿಸಲಾಗಲಿಲ್ಲ"
"Could not save product ""%1"" with websites %2","%2 ಜಾಲತಾಣಗಳೊಂದಿಗೆ ""%1"" ಉತ್ಪನ್ನವನ್ನು ಉಳಿಸಲಾಗಲಿಲ್ಲ"
"We cannot determine the field name.","ವಲಯದ ಹೆಸರನ್ನು ನಾವು ನಿರ್ಧರಿಸಲಾಗಲಿಲ್ಲ."
"Attribute '%1' is locked. %2","Attribute '%1' is locked. %2"
"Do not change the scope. %1","ವ್ಯಾಪ್ತಿಯನ್ನು ಬದಲಿಸಬೇಡಿ. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Processor %1 doesn't implement BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","A product type is not defined for the indexer."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","Product with SKU %1 is not linked to product with SKU %2"
"Multiple Select","ಬಹುಆಯ್ಕೆ"
"Dropdown","Dropdown"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 doesn't extend \Magento\Framework\Filter\Template"
"As low as","ಅತಿ ಕಡಿಮೆ"
"test","test"
"Some text is here.","Some text is here."
"Some exception","Some exception"
"Could not get extension attributes","Could not get extension attributes"
"message","ಸಂದೇಶ"
"fl","fl"
"Lock wait timeout","Lock wait timeout"
"123","123"
"Images","ಚಿತ್ರಗಳು"
"Select...","ಆರಿಸಿ..."
"Advanced Pricing","ಸುಧಾರಿತ ಬೆಲೆ"
"Customer Group Price","ಗ್ರಾಹಕರ ಗುಂಪಿನ ದರ"
"Customer Group","ಗ್ರಾಹಕರ ಗುಂಪು"
"Special Price From","ವಿಶೇಷ ಬೆಲೆ ಇಂದ"
"To","ಗೆ"
"Done","ಮುಗಿದಿದೆ"
"Product Alerts","ಉತ್ಪನ್ನದ ಎಚ್ಚರಿಕೆಗಳು"
"Alert stock","ದಾಸ್ತಾನು ಎಚ್ಚರಿಸಿ"
"Alert Stock","ದಾಸ್ತಾನು ಎಚ್ಚರಿಸಿ"
"Alert price","ದರವನ್ನು ಎಚ್ಚರಿಸಿ"
"Alert Price","ದರವನ್ನು ಎಚ್ಚರಿಸಿ"
"Add Selected","ಆರಿಸಿದವುಗಳನ್ನು ಸೇರಿಸಿ"
"Select Attribute","ಗುಣವಿಶೇಷವನ್ನು ಆರಿಸಿ"
"Create New Attribute","ಹೊಸ ಗುಣವಿಶೇಷವನ್ನು ರಚಿಸಿ"
"Customizable Options","ಒಗ್ಗಿಸಬಹುದಾದ ಆಯ್ಕೆಗಳು"
"Custom options let customers choose the product variations they want.","Custom options let customers choose the product variations they want."
"Add Option","ಆಯ್ಕೆಯನ್ನು ಸೇರಿಸಿ"
"New Option","ಹೊಸ ಆಯ್ಕೆ"
"Select Product","ಉತ್ಪನ್ನವನ್ನು ಆರಿಸಿ"
"Option Title","ಆಯ್ಕೆಯ ಶೀರ್ಷಿಕೆ"
"Add Value","ನಮೂದನ್ನು ಸೇರಿಸಿ"
"Title","ಶೀರ್ಷಿಕೆ"
"Option Type","ಆಯ್ಕೆಯ ವಿಧ"
"Required","ಅಗತ್ಯವಿದೆ"
"Price Type","ದರದ ವಿಧ"
"Max Characters","ಗರಿಷ್ಟ ಅಕ್ಷರಗಳು"
"Compatible File Extensions","Compatible File Extensions"
"Enter separated extensions, like: png, jpg, gif.","Enter separated extensions, like: png, jpg, gif."
"Maximum Image Size","ಗರಿಷ್ಟ ಚಿತ್ರದ ಗಾತ್ರ"
"Please leave blank if it is not an image.","ಇದು ಚಿತ್ರವಲ್ಲದಿದ್ದಲ್ಲಿ ದಯವಿಟ್ಟು ಖಾಲಿ ಬಿಡಿ."
"%1","%1"
"This item has weight","ವಸ್ತುವು ತೂಕವನ್ನು ಹೊಂದಿದೆ"
"This item has no weight","ಈ ವಸ್ತುವು ತೂಕವನ್ನು ಹೊಂದಿಲ್ಲ"
"Set Product as New From","Set Product as New From"
"Related Products, Up-Sells, and Cross-Sells","Related Products, Up-Sells, and Cross-Sells"
"Related products are shown to customers in addition to the item the customer is looking at.","ಗ್ರಾಹಕರು ವೀಕ್ಷಿಸುತ್ತಿರುವ ವಸ್ತುಗಳ ಜೊತೆಗೆ ಸಂಬಧಿಸಿದ ಉತ್ಪನ್ನಗಳನ್ನು ಗ್ರಾಹಕರಿಗೆ ಪ್ರದರ್ಶಿಸಲಾಗುವುದು."
"Add Related Products","ಸಂಬಂಧಿತ ಉತ್ಪನ್ನಗಳನ್ನು ಸೇರಿಸಿ"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at."
"Add Up-Sell Products","ಅಪ್-ಸೆಲ್ ಉತ್ಪನ್ನಗಳನ್ನು ಸೇರಿಸಿ"
"Up-Sell Products","ಅಪ್-ಸೆಲ್ ಉತ್ಪನ್ನಗಳು"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart."
"Add Cross-Sell Products","ಕ್ರಾಸ್-ಸೆಲ್ ಉತ್ಪನ್ನಗಳನ್ನು ಸೇರಿಸಿ"
"Cross-Sell Products","ಕ್ರಾಸ್-ಸೆಲ್ ಉತ್ಪನ್ನಗಳು"
"Add Selected Products","ಆರಿಸಿದ ಉತ್ಪನ್ನಗಳನ್ನು ಸೇರಿಸಿ"
"Remove","ತೆಗೆದುಹಾಕಿ"
"Thumbnail","ಕಿರುಚಿತ್ರ"
"Actions","ಕ್ರಿಯೆಗಳು"
"Schedule Update From","Schedule Update From"
"Product in Websites","ಜಾಲತಾಣಗಳಲ್ಲಿನ ಉತ್ಪನ್ನ"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites."
"name","ಹೆಸರು"
"Copy Data from","ಇಂದ ದತ್ತಾಂಶ ನಕಲಿಸಿ"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>."
"This operation can take a long time","ಈ ಕಾರ್ಯಾಚರಣೆ ಬಹಳ ಸಮಯ ತೆಗೆದುಕೊಳ್ಳಬಹುದು"
"Collapse All","ಎಲ್ಲವನ್ನೂ ಕುಗ್ಗಿಸಿ"
"Expand All","ಎಲ್ಲವನ್ನು ವಿಸ್ತರಿಸಿ"
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
"Use Default Value","ನಿಯೋಜಿತ ನಮೂದನ್ನು ಬಳಸಿ"
"Manage Titles (Size, Color, etc.)","ಶೀರ್ಷಿಕೆಗಳನ್ನು ನಿರ್ವಹಿಸಿ (ಗಾತ್ರ, ಬಣ್ಣ, ಇತ್ಯಾದಿ)"
"Manage Options (Values of Your Attribute)","ಆಯ್ಕೆಗಳನ್ನು ನಿರ್ವಹಿಸಿ (ನಿಮ್ಮ ಗುಣವಿಶೇಷದ ನಮೂದುಗಳು)"
"Is Default","Is Default"
"Sort Option","ವಿಂಗಡಣೆ ಆಯ್ಕೆ"
"Groups","ಗುಂಪುಗಳು"
"Double click on a group to rename it.","ಇದನ್ನು ಮರುಹೆಸರಿಸಲು ಗುಂಪಿನ ಮೇಲೆ ಡಬಲ್ ಕ್ಲಿಕ್ ಮಾಡಿ."
"Unassigned Attributes","Unassigned Attributes"
"A name is required.","ಹೆಸರೊಂದು ಅಗತ್ಯವಿದೆ."
"This group contains system attributes. Please move system attributes to another group and try again.","This group contains system attributes. Please move system attributes to another group and try again."
"Please select a node.","ದಯವಿಟ್ಟು ಒಂದು ನೋಡ್ ಅನ್ನು ಆಯ್ಕೆ ಮಾಡಿ."
"Please enter a new group name.","ದಯವಿಟ್ಟು ಹೊಸ ಗುಂಪಿನ ಹೆಸರನ್ನು ನಮೂದಿಸಿ."
"An attribute group named ""/name/"" already exists.","An attribute group named ""/name/"" already exists."
"Sorry, we're unable to complete this request.","ಕ್ಷಮಿಸಿ, ಈ ವಿನಂತಿಯನ್ನು ನಾವು ಪೂರ್ಣಗೊಳಿಸಲಾಗಲಿಲ್ಲ."
"You can't remove attributes from this attribute set.","You can't remove attributes from this attribute set."
"Custom Options","ಒಗ್ಗಿಸಿದ ಆಯ್ಕೆಗಳು"
"This is a required option.","ಇದು ಅಗತ್ಯವಿರುವ ಆಯ್ಕೆ."
"The field isn't complete.","ಈ ವಲಯ ಪೂರ್ಣವಾಗಿಲ್ಲ."
"Compatible file extensions to upload","Compatible file extensions to upload"
"Maximum image width","ಗರಿಷ್ಟ ಚಿತ್ರದ ಅಗಲ"
"Maximum image height","ಗರಿಷ್ಟ ಚಿತ್ರದ ಎತ್ತರ"
"Maximum number of characters:","ಅಕ್ಷರಗಳ ಗರಿಷ್ಟ ಸಂಖ್ಯೆ:"
"start typing to search template","ಮಾದರಿಯನ್ನು ಹುಡುಕಲು ಟೈಪಿಸಲು ಆರಂಭಿಸಿ"
"Product online","ಉತ್ಪನ್ನ ಆನ್‍ಲೈನ್"
"Product offline","ಉತ್ಪನ್ನ ಆಫ್‍‍ಲೈನ್"
"Product online status","ಉತ್ಪನ್ನ ಆನ್‍ಲೈನ್ ಸ್ಥಿತಿ"
"Manage Stock","ದಾಸ್ತಾನು ನಿರ್ವಹಿಸಿ"
"Qty","ಪರಿಮಾಣ"
"Out-of-Stock Threshold","ದಾಸ್ತಾನಿನಲ್ಲಿದ ಮಿತಿ"
"Minimum Qty Allowed in Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿ ಅಂಗೀಕರಿಸಲಾಗುವ ಕನಿಷ್ಟ ಪರಿಮಾಣ"
"Maximum Qty Allowed in Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿ ಅಂಗೀಕರಿಸಲಾಗುವ ಗರಿಷ್ಟ ಪರಿಮಾಣ"
"Qty Uses Decimals","ಪರಿಮಾಣವು ದಶಮಾಂಶವನ್ನು ಬಳಸುತ್ತದೆ"
"Backorders","Backorders"
"Notify for Quantity Below","Notify for Quantity Below"
"Enable Qty Increments","Enable Qty Increments"
"Qty Increments","Qty Increments"
"Stock Availability","ಉತ್ಪನ್ನದ ಲಭ್ಯತೆ"
"In Stock","ದಾಸ್ತಾನಿನಲ್ಲಿದೆ"
"Out of Stock","ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ"
"Add Product To Websites","ಉತ್ಪನ್ನವನ್ನು ಜಾಲತಾಣಗಳಿಗೆ ಸೇರಿಸಿ"
"Remove Product From Websites","ಜಾಲತಾಣದಿಂದ ಉತ್ಪನ್ನವನ್ನು ತೆಗೆದುಹಾಕಿ"
"To hide an item in catalog or search results, set the status to ""Disabled"".","To hide an item in catalog or search results, set the status to ""Disabled""."
"We can't save custom-defined options for bundles with dynamic pricing.","We can't save custom-defined options for bundles with dynamic pricing."
"Delete Custom Option","ಒಗ್ಗಿಸಿದ ಆಯ್ಕೆಗಳನ್ನು ಅಳಿಸಿ"
"Sort Custom Options","ಒಗ್ಗಿಸಿದ ಆಯ್ಕೆಗಳನ್ನು ವಿಂಗಡಿಸಿ"
"Input Type","ಇನ್ಪುಟ್ ವಿಧ"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","ಒಗ್ಗಿಸಿದ ಆಯ್ಕೆಗಳನ್ನು ವಿಂಗಡಿಸಿ"
"Item Price","ವಸ್ತುವಿನ ಬೆಲೆ"
"Action","ಕ್ರಿಯೆ"
"and above","ಮತ್ತು ಮೇಲೆ"
"Delete Tier","ಹಂತವನ್ನು ಅಳಿಸಿ"
"Product In Websites","ಜಾಲತಾಣಗಳಲ್ಲಿನ ಉತ್ಪನ್ನ"
"(Copy data from: %1)","(Copy data from: %1)"
"Browse to find or drag image here","Browse to find or drag image here"
"Delete image","ಚಿತ್ರ ಅಳಿಸಿ"
"Hidden","ಅಡಗಿಸಲಾದ"
"Alt Text","Alt Text"
"Role","Role"
"Image Size","ಚಿತ್ರದ ಗಾತ್ರ"
"{size}","{size}"
"Image Resolution","ಚಿತ್ರದ ರೆಸೊಲ್ಯುಷನ್"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","ಉತ್ಪನ್ನದ ಪುಟದಿಂದ ಮರೆಮಾಡಿ"
"Allow Multiple Boxes for Shipping","ರವಾನೆಗೆ ಬಹು ಪೆಟ್ಟಿಗೆಗಳನ್ನು ಅನುಮತಿಸಿ"
"start typing to search attribute","ಗುಣವಿಶೇಷವನ್ನು ಹುಡುಕಲು ಟೈಪಿಸಲು ಆರಂಭಿಸಿ"
"Basic Settings","ಮೂಲಭೂತ ಸಂಯೋಜನೆಗಳು"
"Advanced Settings","ಸುಧಾರಿತ ಸಂಯೋಜನೆಗಳು"
"Changes have been made to this section that have not been saved.","Changes have been made to this section that have not been saved."
"This tab contains invalid data. Please resolve this before saving.","This tab contains invalid data. Please resolve this before saving."
"Mass Actions","ಸಾಮೂಹಿಕ ಕ್ರಿಯೆಗಳು"
"Select All","ಎಲ್ಲವನ್ನೂ ಆರಿಸಿ"
"Unselect All","Unselect All"
"Select Visible","ಕಾಣುತ್ತಿರುವುವುಗಳನ್ನು ಆರಿಸಿ"
"Unselect Visible","Unselect Visible"
"Special Price","ವಿಶೇಷ ಬೆಲೆ"
"Regular Price","ಸಾಮಾನ್ಯ ಬೆಲೆ"
"Buy %1 for: ","%1 ಗಾಗಿ ಖರೀದಿಸಿ: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","ಪ್ರತಿ %2 ಕ್ಕೆ %1 ನ್ನು ಖರೀದಿಸಿ ಮತ್ತು <strong class=""benefit"">ಉಳಿಸಿ<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","ಪ್ರತಿ %2 ಗಾಗಿ %1 ಖರೀದಿಸಿ"
"Shop By","ಇದರಂತೆ ಖರೀದಿಸಿ"
"Shopping Options","ಶಾಪಿಂಗ್ ಆಯ್ಕೆಗಳು"
"Compare Products","ಉತ್ಪನ್ನಗಳನ್ನು ಹೋಲಿಸಿ"
"Print This Page","ಈ ಪುಟವನ್ನು ಮುದ್ರಿಸಿ"
"Remove Product","ಉತ್ಪನ್ನವನ್ನು ತೆಗೆದುಹಾಕಿ"
"Add to Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"In stock","ದಾಸ್ತಾನಿನಲ್ಲಿದೆ"
"Out of stock","ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ"
"Add to Wish List","ಇಚ್ಛಾಪಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"You have no items to compare.","ಹೋಲಿಸಲು ನಿಮ್ಮಲ್ಲಿ ಯಾವುದೇ ವಸ್ತುಗಳಿಲ್ಲ."
"Remove This Item","ಈ ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಿ"
"Compare","ಹೋಲಿಸಿ"
"Clear All","ಎಲ್ಲವನ್ನೂ ತೆರವುಗೊಳಿಸಿ"
"Prev","ಹಿಂದಿನ"
"Next","ಮುಂದೆ"
"We can't find products matching the selection.","ಆರಿಸಿದವುಗಳಿಗೆ ಹೊಂದುವ ಉತ್ಪನ್ನಗಳನ್ನು ನಮಗೆ ಹುಡುಕಲಾಗಲಿಲ್ಲ."
"Learn More","ಹೆಚ್ಚು ತಿಳಿಯಿರಿ"
"Add to Compare","ಹೋಲಿಸಲು ಸೇರಿಸಿ"
"We found other products you might like!","ನಿಮಗೆ ಇಷ್ಟವಾಗುವ ಇತರೆ ಉತ್ಪನ್ನಗಳು ನಮಗೆ ಕಂಡುಬಂದಿವೆ!"
"More Choices:","ಹೆಚ್ಚಿನ ಆಯ್ಕೆಗಳು:"
"Check items to add to the cart or","Check items to add to the cart or"
"select all","ಎಲ್ಲವನ್ನೂ ಆರಿಸು"
"Items %1-%2 of %3","%3 ರಲ್ಲಿ %1-%2 ವಸ್ತುಗಳು"
"%1 Item","%1 ವಸ್ತು"
"%1 Items","%1 ವಸ್ತುಗಳು"
"Show","ಪ್ರದರ್ಶಿಸಿ"
"per page","ಪ್ರತಿ ಪುಟಕ್ಕೆ"
"Sort By","ಇದರಂತೆ ವಿಂಗಡಿಸಿ"
"Set Ascending Direction","Set Ascending Direction"
"Set Descending Direction","Set Descending Direction"
"View as","ಇದರಂತೆ ವೀಕ್ಷಿಸಿ"
"More Information","ಹೆಚ್ಚಿನ ಮಾಹಿತಿ"
"Loading...","Loading..."
"* Required Fields","* ಅಗತ್ಯವಿರುವ ವಿವರಗಳು"
"Availability","ಲಭ್ಯತೆ"
"Warning message","ಎಚ್ಚರಿಕೆ ಸಂದೇಶ"
"Submit","Submit"
"We don't recognize or support this file extension type.","We don't recognize or support this file extension type."
"Configure Product","ಉತ್ಪನ್ನವನ್ನು ಸಂರಚಿಸಿ"
"OK","ಓಕೆ"
"This value does not follow the specified format (for example, 200x300).","This value does not follow the specified format (for example, 200x300)."
"Select type of option.","ಆಯ್ಕೆಯ ವಿಧವನ್ನು ಆರಿಸಿ."
"Please add rows to option.","ದಯವಿಟ್ಟು ಆಯ್ಕೆಗೆ ಸಾಲುಗಳನ್ನು ಸೇರಿಸಿ."
"Please select items.","Please select items."
"Choose existing category.","ಅಸ್ತಿತ್ವದಲ್ಲಿರುವ ವಿಭಾಗವನ್ನು ಆರಿಸಿ."
"Image Detail","ಚಿತ್ರದ ವಿವರ"
"Adding...","ಸೇರಿಸಲಾಗುತ್ತಿದೆ..."
"Added","ಸೇರಿಸಲಾದ"
"does not implement Storage Interface","does not implement Storage Interface"
"unselect all","unselect all"
"Inventory","ದಾಸ್ತಾನುಪಟ್ಟಿ"
"Catalog Section","Catalog Section"
"Small","ಸಣ್ಣ"
"Main","ಪ್ರಮುಖ"
"Custom image","ಒಗ್ಗಿಸಿದ ಚಿತ್ರ"
"Product Fields Auto-Generation","Product Fields Auto-Generation"
"Mask for SKU","Mask for SKU"
"Use {{name}} as Product Name placeholder","{{name}} ಅನ್ನು ಉತ್ಪನ್ನದ ಹೆಸರಿನ ಪ್ಲೇಸ್‍ಹೋಲ್ಡರ್ ನಂತೆ ಬಳಸಿ"
"Mask for Meta Title","Mask for Meta Title"
"Mask for Meta Keywords","Mask for Meta Keywords"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Use {{name}} as Product Name or {{sku}} as Product SKU placeholders"
"Mask for Meta Description","Mask for Meta Description"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Use {{name}} and {{description}} as Product Name and Product Description placeholders"
"Recently Viewed/Compared Products","ಇತ್ತೀಚೆಗೆ ವೀಕ್ಷಿಸಿದ/ಹೋಲಿಸಿದ ಉತ್ಪನ್ನಗಳು"
"Lifetime of products in Recently Viewed Widget","Lifetime of products in Recently Viewed Widget"
"Lifetime of products in Recently Compared Widget","Lifetime of products in Recently Compared Widget"
"Synchronize widget products with backend storage","Synchronize widget products with backend storage"
"Storefront","Storefront"
"List Mode","ಪಟ್ಟಿ ಕ್ರಮ"
"Products per Page on Grid Allowed Values","Products per Page on Grid Allowed Values"
"Comma-separated.","ಕಾಮಾ-ವಿಭಜಿತ."
"Products per Page on Grid Default Value","Products per Page on Grid Default Value"
"Must be in the allowed values list","Must be in the allowed values list"
"Products per Page on List Allowed Values","Products per Page on List Allowed Values"
"Products per Page on List Default Value","Products per Page on List Default Value"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
