"Root","Raiz"
"Select Product","Selecionar Produto"
"Option Title","Título da opção"
"Add Value","Agregar Valor"
"Title","Título"
"Option Type","Tipo de Opção"
"Required","Obrigatório"
"Price Type","Tipo de Preço"
"Max Characters","Max Caracteres"
"Compatible File Extensions","Extensões de Ficheiro Compatíveis"
"Enter separated extensions, like: png, jpg, gif.","Enter separated extensions, like: png, jpg, gif."
"Maximum Image Size","Tamanho máximo da imagem"
"Please leave blank if it is not an image.","Por favor deixe em branco se não for uma imagem."
"%1","%1"
"This item has weight","Este item tem peso"
"This item has no weight","Este item não tem peso"
"Set Product as New From","Definir Produto como Novo de"
"Related Products, Up-Sells, and Cross-Sells","Produtos relacionados para up-selling e cross-selling"
"Related products are shown to customers in addition to the item the customer is looking at.","Os produtos relacionados são mostrados aos clientes para além do item que o mesmo está a ver."
"Add Related Products","Adicionar Produtos Relacionados"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Uma sugestão de produto up-sell é oferecida ao cliente como uma alternativa mais cara ou de maior qualidade do que o produto que o cliente está a visualizar."
"Add Up-Sell Products","Adicionar Produtos Up-Sell"
"Up-Sell Products","Produtos Up-Sell"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Estes produtos de ""compra de impulso"" aparecem ao lado do carrinho de compras como sugestão de cross-sell para os itens que já estão no carrinho de compras."
"Add Cross-Sell Products","Adicionar Produtos Cross-Sell"
"Cross-Sell Products","Produtos Cross-Sell"
"Add Selected Products","Adicionar Produtos Selecionados"
"Remove","Eliminar"
"Thumbnail","Imagem Miniatura"
"Actions","Ações"
"Schedule Update From","Agendar Atualização De"
"Product in Websites","Produto nos Sites"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Se sua instalação Magento tem vários sites, você pode editar o alcance da utilização do produto em locais específicos."
"name","nome"
"Copy Data from","Copiar Dados de"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Se não houver nenhuma categoria pai personalizada, por favor use a categoria pai pré-definida. Pode re-atribuir a categoria a qualquer momento em <a href=""%1"" target=\"_blank\">Produtos &gt; Categorias</a>."
"This operation can take a long time","Esta operação pode demorar muito tempo"
"Collapse All","Esconder Todos"
"Expand All","Expandir Todos"
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor confirme a mudança de site. Todos os dados que não foram gravados serão perdidos."
"Use Default Value","Usar o Valor Pré-definido"
"Manage Titles (Size, Color, etc.)","Gerir Títulos (Tamanho, Cor, etc.)"
"Manage Options (Values of Your Attribute)","Gerir Opções (Valores do Seu Atributo)"
"Is Default","Utilizar por pré-definição"
"Sort Option","Opções de Ordenação"
"Groups","Grupos"
"Double click on a group to rename it.","Clique duas vezes num grupo para renomeá-lo."
"Unassigned Attributes","Atributos não atribuídos"
"A name is required.","É necessário um nome."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contém atributos de sistema. Por favor mova os atributos de sistema para outro grupo e tente novamente."
"Please select a node.","Por favor selecione um nó."
"Please enter a new group name.","Por favor insira um novo nome de grupo."
"An attribute group named ""/name/"" already exists.","Um grupo de atributos chamado /""name/"" já existe."
"Sorry, we're unable to complete this request.","Pedimos desculpa, mas não foi possível completar este pedido."
"You can't remove attributes from this attribute set.","Não pode remover atributos deste conjunto de atributos."
"Custom Options","Opções Personalizadas"
"This is a required option.","Esta é uma opção obrigatória."
"The field isn't complete.","O campo não está completo."
"Compatible file extensions to upload","Formatos de ficheiro compatíveis"
"Maximum image width","Comprimento máximo da imagem"
"Maximum image height","Altura máxima da imagem"
"Maximum number of characters:","Número máximo de caracteres:"
"start typing to search template","comece a escrever para pesquisar o template"
"Product online","Produto online"
"Product offline","Produto offline"
"Product online status","Estado do produto"
"Manage Stock","Gerir Stock"
"Qty","Qtd"
"Out-of-Stock Threshold","Limite mínimo de Stock"
"Minimum Qty Allowed in Shopping Cart","Qtd Mínima Permitida no Carrinho de Compras"
"Maximum Qty Allowed in Shopping Cart","Qtd máxima permitida no carrinho de compras"
"Qty Uses Decimals","Qtd É Décimal"
"Backorders","Encomendas pendentes"
"Notify for Quantity Below","Notificar quando a quantidade for inferior a"
"Enable Qty Increments","Ativar Incrementos de Qtd"
"Qty Increments","Incrementos de Qtd"
"Stock Availability","Disponibilidade de Stock"
"In Stock","Em Stock"
"Out of Stock","Sem Stock"
"Add Product To Websites","Adicionar Produto aos Sites"
"Remove Product From Websites","Remover Produto dos Websites"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Para esconder um artigo no catálogo ou nos resultados de pesquisa, defina o estado para ""Desativado""."
"We can't save custom-defined options for bundles with dynamic pricing.","Não é possível guardar opções definidas de forma personalizada em pacotes com preços dinâmicos."
"Delete Custom Option","Remover Opção Personalizada"
"Sort Custom Options","Ordenar Opções Personalizadas"
"Input Type","Tipo de input"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","Opção de Ordenação Personalizada"
"Item Price","Preço do Artigo"
"Action","Ação"
"and above","e acima"
"Delete Tier","Excluir Nível"
"Product In Websites","Produto Nos Sites"
"(Copy data from: %1)","(Copiar dados de: %1)"
"Browse to find or drag image here","Navegue para encontrar ou arraste a imagem para aqui"
"Delete image","Apagar imagem"
"Hidden","Escondido"
"Alt Text","Texto Alt"
"Role","Função"
"Image Size","Tamanho da Imagem"
"{size}","{size}"
"Image Resolution","Resolução da Imagem"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","Esconder da Página do Produto"
"Allow Multiple Boxes for Shipping","Permitir Várias Caixas para o Transporte"
"start typing to search attribute","comece a escrever para pesquisar o atributo"
"Basic Settings","Definições Básicas"
"Advanced Settings","Definições Avançadas"
"Changes have been made to this section that have not been saved.","Foram feitas modificações a esta secção que não foram gravadas."
"This tab contains invalid data. Please resolve this before saving.","Este separador contém dados inválidos. Por favor corrija esta informação antes de gravar."
"Mass Actions","Ações em massa"
"Select All","Selecionar tudo"
"Unselect All","Desmarcar tudo"
"Select Visible","Seleccionar Visíveis"
"Unselect Visible","Desmarcar Visíveis"
"Special Price","Preço Especial"
"Regular Price","Preço Normal"
"Buy %1 for: ","Compre %1 por: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Compre %1 por %2 cada e <strong class=""benefit"">poupe<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Compre %1 por %2 cada"
"Shop By","Filtrar Por"
"Shopping Options","Opções de Compra"
"Compare Products","Comparar Produtos"
"Print This Page","Imprimir Esta Página"
"Remove Product","Remover Produto"
"Add to Cart","Adicionar ao carrinho"
"In stock","Em stock"
"Out of stock","Esgotado"
"Add to Wish List","Adicionar à Lista de Desejos"
"You have no items to compare.","Não tem items para comparar."
"Remove This Item","Remover Este Item"
"Compare","Comparar"
"Clear All","Limpar Tudo"
"Prev","Anterior"
"Next","Seguinte"
"We can't find products matching the selection.","Não conseguimos encontrar produtos que correspondam à seleção."
"Learn More","Saiba Mais"
"Add to Compare","Adicionar à Comparação"
"We found other products you might like!","Encontrámos outros produtos que podem ser do seu interesse!"
"More Choices:","Mais Opções:"
"Check items to add to the cart or","Verifique os itens a adicionar ao carrinho ou"
"select all","selecionar tudo"
"Items %1-%2 of %3","Itens %1-%2 de %3"
"%1 Item","%1 artigo"
"%1 Items","%1 artigos"
"Show","Mostrar"
"per page","por página"
"Sort By","Ordenar por"
"Set Ascending Direction","Definir Ordenação Crescente"
"Set Descending Direction","Definir Ordenação Decrescente"
"View as","Ver como"
"More Information","Mais informação"
"Loading...","Carregando..."
"* Required Fields","* Campos Obrigatórios"
"Availability","Disponibilidade"
"Warning message","Mensagem de aviso"
"Submit","Submeter"
"We don't recognize or support this file extension type.","Não reconhecemos ou suportamos este formato de ficheiro."
"Configure Product","Configurar Produto"
"OK","CONFIRMAR"
"This value does not follow the specified format (for example, 200x300).","Esse valor não segue o formato especificado (por exemplo, 200 x 300)."
"Select type of option.","Selecione o tipo de opção."
"Please add rows to option.","Por favor adicione linhas à opção."
"Please select items.","Por favor selecione itens."
"Choose existing category.","Escolha uma categoria existente."
"Image Detail","Detalhe da Imagem"
"Adding...","Adicionando..."
"Added","Adicionado"
"does not implement Storage Interface","não implementa a Interface de armazenamento"
"unselect all","desmarcar tudo"
"Inventory","Inventário"
"Catalog Section","Secção de catálogo"
"Small","Pequena"
"Main","Principal"
"Custom image","Imagem personalizada"
"Product Fields Auto-Generation","Geração automática de campos de produto"
"Mask for SKU","Máscara para Referência (SKU)"
"Use {{name}} as Product Name placeholder","Usar {{name}} como Nome de Produto"
"Mask for Meta Title","Máscara para Título Meta"
"Mask for Meta Keywords","Máscara para Palavras-chave Meta"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Usar {{name}} como Nome do Produto ou {{sku}} como referência (SKU) do produto"
"Mask for Meta Description","Máscara para Descrição Meta"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Usar {{name}} e {{description}} como Nome do Produto e Descrição do Produto"
"Recently Viewed/Compared Products","Produtos visualizados/comparados recentemente"
"Lifetime of products in Recently Viewed Widget","Tempo de vida dos produtos no widget Visualizado Recentemente"
"Lifetime of products in Recently Compared Widget","Tempo de vida dos produtos no widget Recentemente Comparado"
"Synchronize widget products with backend storage","Sincronizar produtos widget com o armazenamento backend"
"Storefront","Loja"
"List Mode","Modo de Lista"
"Products per Page on Grid Allowed Values","Valores Permitidos para o Número de Produtos por Página quando Visualizados em Grelha"
"Comma-separated.","Separados por vírgula."
"Products per Page on Grid Default Value","Valor pré-definido para Produtos por Página quando visto em Grelha"
"Must be in the allowed values list","Deve estar na lista de valores permitidos"
"Products per Page on List Allowed Values","Valores Permitidos para o Número de Produtos por Página quando Visualizados em Lista"
"Products per Page on List Default Value","Valor pré-definido para Produtos por Página quando visto em Lista"
"Use Flat Catalog Category","Usar Categoria do Catálogo Flat"
"Use Flat Catalog Product","Usar Produto do Catálogo Flat"
"Product Listing Sort by","Ordenar Listagem de Produtos por"
"Allow All Products per Page","Permitir Todos os Produtos por Página"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Se deve aparecer a opção ""Todos"" no menu 'mostrar X por página'"
"Allow Dynamic Media URLs in Products and Categories","Permitir URLs de Ficheiros Media Dinâmicos nas Categorias e Produtos"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{url=""caminho/para/imagem.jpg""}} {{skin url=""caminho/para/imagem.gif""}}. tem Diretivas dinâmicas de parsing têm impacto na performance do catálogo."
"Product Image Placeholders","Placeholders da Imagem do Produto"
"Search Engine Optimization","Otimização para Motores de Pesquisa (SEO)"
"Page Title Separator","Separador do Título da Página"
"Use Canonical Link Meta Tag For Categories","Usar Meta-Tag com um Link Canónico para Categorias"
"Use Canonical Link Meta Tag For Products","Usar Meta-Tag com um Link Canónico para Produtos"
"Catalog Price Scope","Escopo do Preço de Catálogo"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Isto define o escopo de moeda base (""Definições de Moeda"" > ""Opções de Moeda"" > ""Moeda-Base"")."
"Category Top Navigation","Categoria de Navegação Superior"
"Maximal Depth","Profundidade Máxima"
"Date & Time Custom Options","Opções Personalizadas de Data e Hora"
"Use JavaScript Calendar","Usar Calendário JavaScript"
"Date Fields Order","Ordem dos Campos de Data"
"Time Format","Formato de hora"
"Year Range","Intervalo de Ano"
"Please use a four-digit year format.","Por favor use um formato de ano de quatro dígitos."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Usar URLs estáticos para o Conteúdo Media no editor WYSIWYG do Catálogo"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Isto aplica-se apenas às categorias e a produtos de catálogo. O conteúdo media será inserido no editor como URL estático. O conteúdo media não é atualizado se o URL base da configuração do sistema se alterar."
"Top Level Category","Categoria de Topo"
"Product Info Column","Coluna de informações do produto"
"Block after Info Column","Bloco após a coluna de informações"
"Product Flat Data","Dados Flat do Produto"
"Reorganize EAV product structure to flat structure","Reorganizar a estrutura EAV do produto para estrutura flat"
"Category Flat Data","Dados Flat da Categoria"
"Reorganize EAV category structure to flat structure","Reorganizar a estrutura EAV da categoria para estrutura flat"
"Category Products","Produtos da Categoria"
"Indexed category/products association","Associação categoria/produtos indexados"
"Product Categories","Categorias de Produto"
"Indexed product/categories association","Associação produto/categorias indexadas"
"Product Price","Preço do Produto"
"Index product prices","Indexar os preços de produtos"
"Product EAV","EAV do Produto"
"Index product EAV","Indexar EAV do produto"
"Catalog New Products List","Lista de Novos Produtos do Catálogo"
"List of Products that are set as New","Lista de Produtos marcados como Novos"
"Display Type","Tipo de Visualização"
"All products - recently added products, New products - products marked as new","Todos os produtos - produtos recentemente adicionados, Novos produtos - produtos marcados como novos"
"All products","Todos os produtos"
"New products","Produtos novos"
"Display Page Control","Mostrar Controlo da Página"
"Number of Products per Page","Número de Produtos por Página"
"Number of Products to Display","Número de Produtos a Exibir"
"Template","Modelo"
"New Products Grid Template","Novo Template de Grelha de Produtos"
"New Products List Template","Novo Template de Lista de Produtos"
"New Products Images and Names Template","Novo Template de Imagens e Nomes de Produtos"
"New Products Names Only Template","Template apenas para Imagens dos Novos Produtos"
"New Products Images Only Template","Template apenas para Imagens dos Novos Produtos"
"Cache Lifetime (Seconds)","Tempo de Vida da Cache (Segundos)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 por pré-definição, se não estiver definido. Para atualizar instantaneamente, limpe a cache de Output HTML dos Blocos."
"Catalog Product Link","Link de Produto do Catálogo"
"Link to a Specified Product","Link para um Produto Especifico"
"Select Product...","Selecione o Produto..."
"Anchor Custom Text","Texto Personalizado da Âncora"
"If empty, we'll use the product name here.","Se estiver vazio, usaremos o nome do produto aqui."
"Anchor Custom Title","Título Personalizado da Âncora"
"Product Link Block Template","Template de Bloco para o Link do Produto"
"Product Link Inline Template","Template Inline para o Link do Produto"
"Catalog Category Link","Link da Categoria do Catálogo"
"Link to a Specified Category","Link para uma Categoria Especificada"
"Select Category...","Selecione a Categoria..."
"If empty, we'll use the category name here.","Se estiver vazio, usaremos o nome da categoria aqui."
"Category Link Block Template","Template do Bloco de Link de Categoria"
"Category Link Inline Template","Template de Link Inline de Categoria"
"Recently Viewed Products","Produtos visualizados recentemente"
"List of Products Recently Viewed by Visitor","Lista de produtos visualizados recentemente por visitante"
"UI Component","Componente de interface do utilizador"
"Number of Products to display","Número de Produtos a Exibir"
"Product attributes to show","Atributos do produto a mostrar"
"Image","Imagem"
"Learn More Link","Aprender mais Link"
"Buttons to show","Botões para mostrar"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Viewed Products Grid Template","Modelo de grelha de produtos vistos"
"Viewed Products List Template","Modelo de lista de produtos vistos"
"Viewed Products Sidebar Template","Modelo Barra lateral de Produtos vistos"
"Recently Compared Products","Produtos comparados recentemente"
"List of Products Recently Compared by Visitor","Lista de produtos comparados recentemente por visitante"
"Compared Products Grid Template","Modelo de grelha de produtos comparados"
"Compared Products List Template","Modelo de lista de produtos comparados"
"Set","Definir"
"Category Information","Informação da Categoria"
"Enable Category","Ativar Categoria"
"Include in Menu","Incluir no Menu"
"Content","Conteúdo"
"Category Image","Imagem da Categoria"
"Description","Descrição"
"Add CMS Block","Adicionar Bloco CMS"
"Display Settings","Definições de Visualização"
"Display Mode","Display Mode"
"Anchor","Âncora"
"Available Product Listing Sort By","Available Product Listing Sort By"
"Use All","Usar Todos"
"Default Product Listing Sort By","Default Product Listing Sort By"
"Layered Navigation Price Step","Dimensão dos Intervalos de Preço na Navegação por Intervalos de Preço"
"URL Key","Chave URL"
"Meta Title","Título Meta"
"Meta Keywords","Palavras-chave Meta"
"Meta Description","Descrição Meta"
"Products in Category","Produtos na Categoria"
"Design","Design"
"Theme","Tema"
"Layout","Layout"
"Layout Update XML","Atualização do Layout XML"
"Apply Design to Products","Aplicar o Design aos Produtos"
"Schedule Design Update","Agendar Atualização do Design"
"AttributeSetText","AttributeSetText"
"StatusText","StatusText"
"Product Image Watermarks","Marcas D'água da Imagem de Produto"
"Base","Base"
"Allowed file types: jpeg, gif, png.","Tipos de ficheiro permitidos: jpeg, gif, png."
"Image Opacity","Opacidade da Imagem"
"Example format: 200x300.","Exemplo de formato: 200x300."
"Image Position","Posição da Imagem"
"Attribute Properties","Propriedade do Atributo"
"Attribute Label","Etiqueta do Atributo"
"Catalog Input Type for Store Owner","Tipo de Input de Catálogo para o Dono da Loja"
"Values","Valores"
"Add this attribute to the list of column options in the product grid.","Adicione este atributo na lista de opções nas colunas da vista em grelha dos produtos."
"Add this attribute to the list of filter options in the product grid.","Adicione este atributo na lista de opções nas colunas da vista em grelha dos produtos."
"System","Sistema"
"All Store Views","Todas as Vistas de Loja"
"Delete selected items?","Remover os items selecionados?"
"Delete items","Remover itens"
"Change status","Alterar estado"
"Enable","Ativar"
"Disable","Desativar"
"Update attributes","Atualizar atributos"
"Overview","Vista Geral"
"Skip to the end of the images gallery","Saltar para o final da Galeria de imagens"
"Skip to the beginning of the images gallery","Saltar para o início da Galeria de imagens"
"Details","Detalhes"
"Recently Compared","Comparados Recentemente"
"Add To Cart","Adicionar Ao Carrinho"
"Add To Compare","Adicionar Para Comparar"
"Learn more","Saiba mais"
"Recently Viewed","Recentemente visto"
"Save Category","Gravar Categoria"
"Delete Category","Eliminar Categoria"
"New Subcategory","Nova Subcategoria"
"New Root Category","Nova Categoria de Raiz"
"Set Root Category for Store","Definir Categoria Raiz para Loja"
"Custom Design","Design personalizado"
"Category Data","Informação da Categoria"
"Not shared with other products","Não partilhado com outros produtos"
"Declare attribute value saving scope","Declarar o valor do atributo ao gravar escopo"
"Depends on design theme","Depende do design do tema"
"We saved the price alert subscription.","Nós gravámos a subscrição de alertas de preço."
"We saved the stock notification.","Nós gravámos a notificação de stock."
"Images and Videos","Imagens e Vídeos"
"Click here or drag and drop to add images.","Clique aqui ou arraste e solte para adicionar imagens."
"Make Base","Fazer Base"
"There was a category move error. %1","Ocorreu um erro de modificação da categoria. %1"
"You moved the category","A categoria foi movida"
"This product no longer exists.","Este produto já não existe."
"We can't find the image file.","Não encontramos o ficheiro da imagem."
"productFactory is already set","productFactory is already set"
"Could not save product option","Não foi possível guardar as opções do produto"
"Product option with id %1 does not exist","A opção do produto com o id %1 não existe"
"Are you sure you want to delete this category?","Tem a certeza que deseja remover esta categoria?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Definir a categoria de raiz para esta loja em <a href=""%1"">configuração</a>."
"Manage Options (values of your attribute)","Gerir Opções (valores do seu atributo)"
"An attribute group named ""/name/"" already exists"".","Um grupo de atributos chamado \"name\" já existe""."
"Close panel","Fechar painel"
"Allow Multiple Boxes for Shipping.","Permitir várias caixas para o transporte."
"Ok","Ok"
"Watermark Default Size","Tamanho Pré-definido da Marca D'água"
"Watermark Opacity, Percent","Opacidade da Marca D'água, Percentagem"
"Watermark","Marca d'água"
"Watermark Position","Posição da marca d'água"
"none","nenhum"
"File validation failed.","File validation failed."
"text","texto"
"Tier Price","Preço por Níveis"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Se o seu site Magento tem várias vistas, pode definir o escopo para que se aplique apenas a uma vista específica."
"Sort Products By","Ordenar Produtos Por"
"Default Product Sorting","Ordenação de Produtos Pré-definida"
"Use Parent Category Settings","Usar Definições da Categoria Pai"
"Page not found","Page not found"
"Full file path is expected.","Full file path is expected."
"from","de"
"to","para"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","You added product %1 to the <a href=""%2"">comparison list</a>."
"Maximum %1 characters","Máximo: %1 caracteres"
"remaining","faltam"
"too many","too many"
"Sending attribute values as package.","Sending attribute values as package."
"This value does not follow the specified format (for example, 200X300).","Esse valor não segue o formato especificado (por exemplo, 200x300)."
"Applies to category pages","Applies to category pages"
"Remember Category Pagination","Remember Category Pagination"
"Changing may affect SEO and cache storage consumption.","Changing may affect SEO and cache storage consumption."
"Images Upload Configuration","Images Upload Configuration"
"Quality","Quality"
"Jpeg quality for resized images 1-100%.","Jpeg quality for resized images 1-100%."
"Cost","Cost"
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Attributes were missing and must be specified.","Attributes were missing and must be specified."
"The value of Admin must be unique. (%1)","The value of Admin must be unique. (%1)"
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The category doesn't contain the specified product.","The category doesn't contain the specified product."
"The %1 value wasn't found in the algorithms.","The %1 value wasn't found in the algorithms."
"The filters are invalid. Set them in an array and try again.","The filters are invalid. Set them in an array and try again."
"The product wasn't registered.","The product wasn't registered."
"The store wasn't registered. Verify the store and try again.","The store wasn't registered. Verify the store and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
"The image content is invalid. Verify the content and try again.","The image content is invalid. Verify the content and try again."
"The product can't be saved.","The product can't be saved."
"The new media gallery entry failed to save.","The new media gallery entry failed to save."
"No image with the provided ID was found. Verify the ID and try again.","No image with the provided ID was found. Verify the ID and try again."
"The product doesn't exist. Verify and try again.","The product doesn't exist. Verify and try again."
"The image doesn't exist. Verify and try again.","The image doesn't exist. Verify and try again."
"The image doesn't exist.","The image doesn't exist."
"The image type for the file is invalid. Enter the correct image type and try again.","The image type for the file is invalid. Enter the correct image type and try again."
"The ""%1"" file couldn't be moved.","The ""%1"" file couldn't be moved."
"The ProductSku is empty. Set the ProductSku and try again.","The ProductSku is empty. Set the ProductSku and try again."
"The custom option couldn't be removed.","The custom option couldn't be removed."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The file options format is invalid. Use a correct format and try again.","The file options format is invalid. Use a correct format and try again."
"The file ""%1"" is empty. Select another file and try again.","The file ""%1"" is empty. Select another file and try again."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again."
"The required option wasn't entered. Enter the option and try again.","The required option wasn't entered. Enter the option and try again."
"The file is empty. Select another file and try again.","The file is empty. Select another file and try again."
"The text is too long. Shorten the text and try again.","The text is too long. Shorten the text and try again."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Tier price is unavailable for this product.","Tier price is unavailable for this product."
"The tier_price data is invalid. Verify the data and try again.","The tier_price data is invalid. Verify the data and try again."
"The group price couldn't be saved.","The group price couldn't be saved."
"The data was invalid. Verify the data and try again.","The data was invalid. Verify the data and try again."
"Values in the %1 attributes are invalid. Verify the values and try again.","Values in the %1 attributes are invalid. Verify the values and try again."
"We can't create the ""%1"" writeable directory.","We can't create the ""%1"" writeable directory."
"The file upload failed. Try to upload again.","The file upload failed. Try to upload again."
"The product has required options. Enter the options and try again.","The product has required options. Enter the options and try again."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group can't be deleted because it contains system attributes.","The attribute group can't be deleted because it contains system attributes."
"The collection provider isn't registered.","The collection provider isn't registered."
"The ""%1"" link type is unknown. Verify the type and try again.","The ""%1"" link type is unknown. Verify the type and try again."
"The ""%1"" link type wasn't found. Verify the type and try again.","The ""%1"" link type wasn't found. Verify the type and try again."
"The linked products data is invalid. Verify the data and try again.","The linked products data is invalid. Verify the data and try again."
"The product that was requested doesn't exist. Verify the product and try again.","The product that was requested doesn't exist. Verify the product and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The ""%1"" product couldn't be removed.","The ""%1"" product couldn't be removed."
"Category with ID: %s doesn't exist","Category with ID: %s doesn't exist"
"Product Name or SKU","Product Name or SKU"
"Start typing to find products","Start typing to find products"
"Product with ID: %s doesn't exist","Product with ID: %s doesn't exist"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"Use Static URLs for Media Content in WYSIWYG","Use Static URLs for Media Content in WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Default Layouts","Default Layouts"
"Default Product Layout","Default Product Layout"
"Default Category Layout","Default Category Layout"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Advanced","Avançado"
