"Root","根"
"Delete Custom Option","删除自定义选项"
"Sort Custom Options","自定义的排序选项"
"Input Type","输入类型"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px。</span>"
"Sort Custom Option","排序的自定义选项"
"Item Price","项目价格"
"Action","操作"
"and above","及以上"
"Delete Tier","删除层"
"Product In Websites","在网站的产品"
"(Copy data from: %1)","(将数据从复制: %1)"
"Browse to find or drag image here","浏览以找到或将图像拖到此处"
"Delete image","删除图像"
"Hidden","从产品页隐藏"
"Alt Text","Alt 文本"
"Role","职能"
"Image Size","图像大小"
"{size}","{尺寸}"
"Image Resolution","图像分辨率"
"{width}^{height} px"," {宽度} ^ {高度}px"
"Hide from Product Page","从产品页面隐藏"
"Allow Multiple Boxes for Shipping","允许分箱物流快递"
"start typing to search attribute","开始键入搜索属性"
"Basic Settings","基本设置"
"Advanced Settings","高级设置"
"Changes have been made to this section that have not been saved.","针对此部分的更改操作尚未保存。"
"This tab contains invalid data. Please resolve this before saving.","此选项卡包含无效数据，请在保存前解决此问题。"
"Mass Actions","批量操作"
"Select All","选择全部"
"Unselect All","取消全选"
"Select Visible","选择可见"
"Unselect Visible","取消选择可见"
"Special Price","特殊价格"
"Regular Price","常规价格"
"Buy %1 for: ","买的 %1:"
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","买 %2 每个 %1 和 <strong class=""benefit""> save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","购买每个 %2 的 %1"
"Shop By","清除全部"
"Shopping Options","购物的选项"
"Compare Products","比较产品"
"Print This Page","打印此页"
"Remove Product","删除产品"
"Add to Cart","添加到购物车"
"In stock","有货"
"Out of stock","缺货"
"Add to Wish List","添加到收藏夹"
"You have no items to compare.","你没有要比较的项目。"
"Remove This Item","删除该内容"
"Compare","比较"
"Clear All","全部清除"
"Prev","上一页"
"Next","下一页"
"We can't find products matching the selection.","我们找不到匹配选择的产品。"
"Learn More","了解更多"
"Add to Compare","添加并比较"
"We found other products you might like!","我们发现你可能会喜欢其他产品!"
"More Choices:","更多的选择:"
"Check items to add to the cart or","检查物品添加到购物车或"
"select all","全选"
"Items %1-%2 of %3","项目 %1%2 的 %3"
"%1 Item","%1 项目"
"%1 Items","%1 项目"
"Show","显示"
"per page","每页"
"Sort By","按排序"
"Set Ascending Direction","设置提升方向"
"Set Descending Direction","设置降序方向"
"View as","视图"
"More Information","更多信息"
"Loading...","正在加载..."
"* Required Fields","*必要字段"
"Availability","库存"
"Warning message","警告消息"
"Submit","提交"
"We don't recognize or support this file extension type.","我们不承认或支持该文件扩展类型。"
"Configure Product","配置产品"
"OK","确定"
"This value does not follow the specified format (for example, 200x300).","此值不符合指定的格式 (例如，200 x 300)。"
"Select type of option.","选择选项的类型。"
"Please add rows to option.","请将行添加到选项。"
"Please select items.","请选择产品"
"Choose existing category.","选择现有的类别。"
"Image Detail","图像细节"
"Adding...","正在添加..."
"Added","已经添加"
"does not implement Storage Interface","不实现存储接口"
"unselect all","取消全选"
"Inventory","库存"
"Catalog Section","目录区域"
"Small","小"
"Main","主要"
"Custom image","自定义图像"
"Product Fields Auto-Generation","字段自动生成产品"
"Mask for SKU","SKU 的掩码"
"Use {{name}} as Product Name placeholder","使用 {{name}} 作为产品名称的占位符"
"Mask for Meta Title","掩码 Meta 标题"
"Mask for Meta Keywords","Meta 关键字掩码"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","使用 {{name}} 作为产品名称或 {{sku}} 作为产品 SKU 占位符"
"Mask for Meta Description","Meta 描述掩码"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","使用 {{name}} 和 {{description}} 作为产品名称和产品描述占位符"
"Recently Viewed/Compared Products","最近查看相比较的产品"
"Lifetime of products in Recently Viewed Widget","最近浏览小部件的生存时间"
"Lifetime of products in Recently Compared Widget","对比产品小部件的生存时间"
"Synchronize widget products with backend storage","后端存储同步小部件产品"
"Storefront","前端"
"List Mode","列表模式"
"Products per Page on Grid Allowed Values","每页网格产品允许值"
"Comma-separated.","以逗号分隔。"
"Products per Page on Grid Default Value","每页网格产品默认值"
"Must be in the allowed values list","必须在允许的值列表中"
"Products per Page on List Allowed Values","每页列表产品允许值"
"Products per Page on List Default Value","每页列表产品默认值"
"Use Flat Catalog Category","使用平面目录类别"
"Use Flat Catalog Product","使用平面目录产品"
"Product Listing Sort by","产品列表排序按"
"Allow All Products per Page","允许每页中的所有产品"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","是否显示在""每页显示 X""下拉列表中的""全部""选项"
"Allow Dynamic Media URLs in Products and Categories","允许动态媒体 Url 中的产品和类别"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","例如 {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}。解析影响的动态指令目录性能。"
"Product Image Placeholders","产品图像占位符"
"Search Engine Optimization","搜索引擎优化"
"Page Title Separator","页面标题分隔符。"
"Use Canonical Link Meta Tag For Categories","使用标准连接元标签的类别"
"Use Canonical Link Meta Tag For Products","为产品使用标准连接元标签"
"Catalog Price Scope","目录价格范围"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","这定义基础货币范围 (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")。"
"Category Top Navigation","类别顶部导航"
"Maximal Depth","最大深度"
"Date & Time Custom Options","日期及时间的自定义选项"
"Use JavaScript Calendar","使用 JavaScript 日历"
"Date Fields Order","日期字段排序。"
"Time Format","时间格式"
"Year Range","年的范围内"
"Please use a four-digit year format.","请使用四位数年份格式。"
"Use Static URLs for Media Content in WYSIWYG for Catalog","使用静态 Url 的媒体内容所见即所得为目录"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","这仅适用于目录的产品和类别。媒体内容将作为静态 URL 插入编辑器。如果系统设置的基准 URL 的变化，不会更新媒体内容。"
"Top Level Category","最高层次的范畴"
"Product Info Column","产品信息栏"
"Block after Info Column","信息栏之后的块"
"Product Flat Data","产品平面数据"
"Reorganize EAV product structure to flat structure","重新整理 EAV 产品结构为平面结构"
"Category Flat Data","类别平面数据"
"Reorganize EAV category structure to flat structure","重新整理 EAV 分类结构为平面结构"
"Category Products","类别产品"
"Indexed category/products association","索引的类别产品协会"
"Product Categories","产品类别"
"Indexed product/categories association","索引的产品协会"
"Product Price","产品价格"
"Index product prices","索引产品价格"
"Product EAV","EAV 产品"
"Index product EAV","索引产品 EAV"
"Catalog New Products List","新的产品目录"
"List of Products that are set as New","设置为新的产品的列表"
"Display Type","显示类型"
"All products - recently added products, New products - products marked as new","所有产品-最近添加的产品，新产品-标记为新的产品"
"All products","所有产品"
"New products","新产品"
"Display Page Control","显示页面控制"
"Number of Products per Page","每页显示的产品数量"
"Number of Products to Display","显示产品的数量"
"Template","模板"
"New Products Grid Template","新产品网格模板"
"New Products List Template","新产品列表模板"
"New Products Images and Names Template","新产品图片和名称模板"
"New Products Names Only Template","新产品名称唯一模板"
"New Products Images Only Template","新产品图像只有模板"
"Cache Lifetime (Seconds)","缓存有效期 (秒)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","默认情况下是86400，如果不设置的话，立即刷新，清除阻塞HTML输出缓存。"
"Catalog Product Link","目录产品链接"
"Link to a Specified Product","链接到指定的产品"
"Select Product...","选择产品..."
"Anchor Custom Text","自定义文本锚点"
"If empty, we'll use the product name here.","如果为空，我们将在这里使用产品名称。"
"Anchor Custom Title","自定义标题锚点"
"Product Link Block Template","产品链接块模板"
"Product Link Inline Template","产品链接内联模板"
"Catalog Category Link","目录类别链接"
"Link to a Specified Category","链接到一个指定的类别"
"Select Category...","选择类别..."
"If empty, we'll use the category name here.","如果为空，我们将在这里使用类别名称。"
"Category Link Block Template","分类链接块模板"
"Category Link Inline Template","类别链接内联模板"
"Recently Viewed Products","最近浏览过的产品"
"List of Products Recently Viewed by Visitor","访客最近浏览过的产品列表"
"UI Component","UI 组件"
"Number of Products to display","显示产品的数量"
"Product attributes to show","显示产品属性"
"Image","图片"
"Learn More Link","了解更多链接"
"Buttons to show","显示按钮"
"Add to Wishlist","添加到收藏夹"
"Viewed Products Grid Template","比较的产品网格模板"
"Viewed Products List Template","查看的产品列表模板"
"Viewed Products Sidebar Template","查看的产品侧边栏模板"
"Recently Compared Products","最近查看过的产品"
"List of Products Recently Compared by Visitor","访客最近浏览过的产品列表"
"Compared Products Grid Template","比较的产品网格模板"
"Compared Products List Template","比较产品列表模板"
"Set","设置名称"
"Category Information","类别信息"
"Enable Category","启用类别"
"Include in Menu","在菜单中包含"
"Content","内容"
"Category Image","类别图像"
"Description","描述"
"Add CMS Block","添加 CMS 块"
"Display Settings","显示设置"
"Display Mode","显示模式"
"Anchor","锚点"
"Available Product Listing Sort By","可用产品列表排序"
"Use All","使用所有"
"Default Product Listing Sort By","默认产品列表排序"
"Layered Navigation Price Step","分层的导航价格步。"
"URL Key","网址"
"Meta Title","Meta 标题"
"Meta Keywords","Meta 关键字"
"Meta Description","Meta 描述"
"Products in Category","类别中的产品"
"Design","设计"
"Theme","网站模板"
"Layout","布局"
"Layout Update XML","布局更新 XML"
"Apply Design to Products","适用于产品的设计"
"Schedule Design Update","设计更新安排"
"AttributeSetText","属性集文本"
"StatusText","状态文本"
"Product Image Watermarks","产品图像水印"
"Base","基准分支"
"Allowed file types: jpeg, gif, png.","允许的文件类型︰ jpeg, gif, png。"
"Image Opacity","图像不透明度"
"Example format: 200x300.","示例格式： 200 × 300。"
"Image Position","图像位置"
"Attribute Properties","属性设置"
"Attribute Label","属性标签"
"Catalog Input Type for Store Owner","店主的目录输入类型"
"Values","价值"
"Add this attribute to the list of column options in the product grid.","将此属性添加到产品网格的列选项列表。"
"Add this attribute to the list of filter options in the product grid.","将此属性添加到产品网格的过滤选项列表。"
"System","系统"
"All Store Views","所有商店界面"
"Delete selected items?","删除所选的项目吗?"
"Delete items","删除项目"
"Change status","更改状态"
"Enable","启用"
"Disable","禁用"
"Update attributes","更新属性"
"Overview","概述"
"Skip to the end of the images gallery","跳到结尾的图片库"
"Skip to the beginning of the images gallery","跳转到图像库的开头"
"Details","详情"
"Recently Compared","最近比较"
"Add To Cart","添加到购物车"
"Add To Compare","加入比较"
"Learn more","了解更多"
"Recently Viewed","最近浏览过的"
"Save Category","概况"
"Delete Category","删除类别"
"New Subcategory","新子类别"
"New Root Category","新根类别"
"Set Root Category for Store","存储设置的根类别"
"Custom Design","自定义设计"
"Category Data","分类数据"
"Not shared with other products","不能与其他产品共享"
"Declare attribute value saving scope","声明属性值保存范围"
"Depends on design theme","取决于设计主题"
"We saved the price alert subscription.","我们保存价格警报订阅。"
"We saved the stock notification.","我们保存库存的通知。"
"Images and Videos","图像和视频"
"Click here or drag and drop to add images.","制造基地"
"Make Base","设为原始"
"There was a category move error. %1","出现了一个类别移动错误。%1"
"You moved the category","你移动的类别"
"This product no longer exists.","此产品不存在。"
"We can't find the image file.","我们找不到该图像文件。"
"productFactory is already set","产品工厂已经设置"
"Could not save product option","无法保存产品选项"
"Product option with id %1 does not exist","与 id %1 的产品选项不存在"
"Are you sure you want to delete this category?","你确定要删除这个分类吗？"
"ID: %1","编号：%1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","在 <a href=""%1""> 配置</a> 中设置为此存储根类别。"
"Manage Options (values of your attribute)","管理选项 (您的属性值)"
"An attribute group named ""/name/"" already exists"".","属性组名""/name/""已经存在""。"
"Close panel","关闭面板"
"Allow Multiple Boxes for Shipping.","允许多个箱运输"
"Ok","OK"
"Watermark Default Size","水印默认大小"
"Watermark Opacity, Percent","水印不透明度百分比"
"Watermark","水印"
"Watermark Position","水印位置"
"none","没有"
"File validation failed.","文件验证失败。"
"text","文本"
"Tier Price","分级价格"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","如果你的 Magento 网站有多个视图，您可以设置适用于特定视图的范围。"
"Sort Products By","对产品进行排序"
"Default Product Sorting","默认产品排序"
"Use Parent Category Settings","使用父类别设置"
"Page not found","找不到页面"
"Full file path is expected.","需要完整文件路径。"
"from","从"
"to","至"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","产生错误，无法保存该属性。请核实信息后再试。如果错误仍然存在，请稍后再试。"
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","产生错误，无法验证该属性。请核实信息后再试。如果错误仍然存在，请稍后再试。"
"Tier prices data should be array, but actually other type is received","等级价格数据应为数组类型，但实际收到的是其他类型的数据"
"Price indexer ""%1"" must implement %2 or %3","价格索引器 ""%1"" 必须实现 %2 或 %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","您已添加产品 %1 到<a href=""%2"">比较列表</a>。"
"Maximum %1 characters","最多%1 个字符"
"remaining","剩余"
"too many","太多"
"Sending attribute values as package.","正在将属性值作为包发送。"
"This value does not follow the specified format (for example, 200X300).","此值不符合指定的格式 (例如，200 x 300)。"
"Applies to category pages","应用到商品分类页面"
"Remember Category Pagination","记住商品分类分页"
"Changing may affect SEO and cache storage consumption.","更改可能会影响SEO和消耗缓存存储空间。"
"Images Upload Configuration","图像上传配置"
"Quality","质量"
"Jpeg quality for resized images 1-100%.","缩放图像1-100%的 Jpeg 质量。"
"Cost","成本"
"The ""%1"" attribute is required. Enter and try again.","必须填写""%1""属性。输入后再试。"
"Attributes were missing and must be specified.","属性缺失，必须指定。"
"The value of Admin must be unique. (%1)","管理员的值必须唯一。(%1)"
"The product was unable to be saved. Please try again.","产品无法保存。请重试。"
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","%1属性的值重复。请设置一个唯一的值，然后重试。"
"The category doesn't contain the specified product.","该分类不包含指定的产品。"
"The %1 value wasn't found in the algorithms.","算法中找不到 %1的 值。"
"The filters are invalid. Set them in an array and try again.","过滤器无效。在数组中设置它们，然后重试。"
"The product wasn't registered.","产品未注册."
"The store wasn't registered. Verify the store and try again.","店铺尚未注册。请核实后重试。"
"The ""%1"" attribute value is empty. Set the attribute and try again.","""%1""属性值为空。请设置属性后再试。"
"The attribute set couldn't be created because it's based on a non-product attribute set.","无法创建该属性集，因为它基于非产品属性集。"
"The attribute set couldn't be created because it's based on a non-existing attribute set.","无法创建该属性集，因为它基于一个不存在的属性集。"
"The image content is invalid. Verify the content and try again.","图像内容无效。核实内容后再试。"
"The product can't be saved.","产品无法保存。"
"The new media gallery entry failed to save.","新媒体库条目保存失败。"
"No image with the provided ID was found. Verify the ID and try again.","未找到所提供ID的图像。请核实ID后再试。"
"The product doesn't exist. Verify and try again.","该产品不存在。请核实后重试。"
"The image doesn't exist. Verify and try again.","图像不存在。请核实后重试。"
"The image doesn't exist.","图像不存在。"
"The image type for the file is invalid. Enter the correct image type and try again.","文件的图像类型无效。请输入正确的图像类型后再试。"
"The ""%1"" file couldn't be moved.","无法移动""%1""文件。"
"The ProductSku is empty. Set the ProductSku and try again.","ProductSku 为空。设置 ProductSku 后再试。"
"The custom option couldn't be removed.","无法删除自定义选项。"
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","未输入产品的必需选项。请确保输入后再试。"
"The file options format is invalid. Use a correct format and try again.","文件选项格式无效。请使用正确的格式，然后重试。"
"The file ""%1"" is empty. Select another file and try again.","文件%1为空。请选择另一个文件，然后重试。"
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","验证失败。请确保已输入所需的选项并上传文件，然后重试。"
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","文件过大，无法上传。使用小于 %1 MB的文件并尝试再次上传。"
"The required option wasn't entered. Enter the option and try again.","所需的选项未输入。请输入选项后重试。"
"The file is empty. Select another file and try again.","该文件为空。请选择另一个文件，然后重试。"
"The text is too long. Shorten the text and try again.","文本太长。缩短文本，然后重试。"
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","请求的产品不存在。请核实产品，然后重试。 行编号: SKU = %SKU, 存储 编号: %storeId, 价格从: %priceFrom, 价格到: %priceTo."
"Tier price is unavailable for this product.","此产品不可用价格等级。"
"The tier_price data is invalid. Verify the data and try again.","该Tier_price 数据无效。验证数据，然后重试。"
"The group price couldn't be saved.","无法保存组价格。"
"The data was invalid. Verify the data and try again.","数据无效。验证数据，然后重试。"
"Values in the %1 attributes are invalid. Verify the values and try again.","%1 属性中的值无效。验证值后重试。"
"We can't create the ""%1"" writeable directory.","我们无法创建可写目录%1。"
"The file upload failed. Try to upload again.","文件上传失败。请尝试再次上传。"
"The product has required options. Enter the options and try again.","产品有必需的选项。请输入选项后重试。"
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","不存在编号为""%1""的组。请核实后再试。"
"The attribute group can't be deleted because it contains system attributes.","该属性组无法删除，因为它包含系统属性。"
"The collection provider isn't registered.","集合提供程序没有注册。"
"The ""%1"" link type is unknown. Verify the type and try again.","“%1”链接类型未知。请验证类型，然后重试。"
"The ""%1"" link type wasn't found. Verify the type and try again.","无法找到""%1""链接类型。请验证类型，然后重试。"
"The linked products data is invalid. Verify the data and try again.","链接的产品数据无效。验证数据，然后重试。"
"The product that was requested doesn't exist. Verify the product and try again.","请求的产品不存在。请验证产品，然后重试。"
"The Product with the ""%1"" SKU doesn't exist.","不存在SKU为""%1""的产品。"
"The ""%1"" product couldn't be removed.","The ""%1"" product couldn't be removed."
"Category with ID: %s doesn't exist","Category with ID: %s doesn't exist"
"Product Name or SKU","Product Name or SKU"
"Start typing to find products","Start typing to find products"
"Product with ID: %s doesn't exist","Product with ID: %s doesn't exist"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"Use Static URLs for Media Content in WYSIWYG","Use Static URLs for Media Content in WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Default Layouts","Default Layouts"
"Default Product Layout","Default Product Layout"
"Default Category Layout","Default Category Layout"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Advanced","高级"
