"Root","الجذر"
"Requested product doesn't exist","المنتج المطلوب غير موجود"
"Product with SKU ""%1"" does not exist","المنتج بالمعرف SKU رقم ""%1"" غير موجود"
"Invalid product data: %1","بيانات المنتج غير صحيحة: %1"
"Database connection error","خطأ في الاتصال بقاعدة البيانات"
"Database deadlock found when trying to get lock","فشل في قاعدة البيانات عند محاولة الحصول على القفل"
"Database lock wait timeout exceeded","تجاوز وقت انتظار الحصول على قفل قاعدة البيانات"
"Unable to remove product %1","غير قادر على إزالة المنتج %1"
"Requested product does not support images.","المنتج المطلوب لا يدعم الصور."
"There are not websites for assign to product","لا توجد مواقع ويب لتعيين للمنتج"
"Could not assign product ""%1"" to websites ""%2""","تعذر تعيين المنتج ""%1"" للمواقع ""%2"""
"Could not save product ""%1"" with websites %2","تعذر حفظ المنتج ""%1"" مع المواقع %2"
"We cannot determine the field name.","لا يمكن تحديد اسم الحقل."
"Attribute '%1' is locked. %2","السمة '%1'مقفلة. %2"
"Do not change the scope. %1","لا تقم بتغيير النطاق. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","المعالج %1 لا ينفذ قاعدة تحديد واجهة المعالج"
"A product type is not defined for the indexer.","لم يتم تعريف نوع منتج للفهرسة."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","غير ممتد %1 \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","المنتج مع SKU %1 غير مرتبط بالمنتج مع SKU %2"
"Multiple Select","خيارات متعددة"
"Dropdown","انزال"
"%1 doesn't extend \Magento\Framework\Filter\Template","غير ممتد %1 \Magento\Framework\Filter\Template"
"As low as","منخفضة"
"test","اختبار"
"Some text is here.","بعض النص هنا."
"Some exception","بعض الاستثناء"
"Could not get extension attributes","لا يمكن الحصول على سمات الملحق"
"message","رسالة"
"fl","فلوريدا"
"Lock wait timeout","مهلة انتظار القفل انتهت"
"123","123"
"Images","صور"
"Select...","اختر..."
"Advanced Pricing","التسعير المتقدم"
"Customer Group Price","سعر مجموعة العملاء"
"Customer Group","مجموعات العملاء"
"Special Price From","سعر خاص من"
"To","إلى"
"Done","انتهى"
"Product Alerts","تنبيهات المنتج"
"Alert stock","تنبية المخزون"
"Alert Stock","تنبية المخزون"
"Alert price","تنبيه السعر"
"Alert Price","تنبيه السعر"
"Add Selected","إضافة المحدد"
"Select Attribute","حدد السمة"
"Create New Attribute","انشاء سمة جديدة"
"Customizable Options","خيارات مخصصة"
"Custom options let customers choose the product variations they want.","خيارات مخصصة تتيح للعملاء اختيار اختلافات المنتج الذي يريدونه."
"Add Option","اضف خيار"
"New Option","خيار جديد"
"Select Product","حدد المنتج"
"Option Title","عنوان الاختيار"
"Add Value","اضف قيمة"
"Title","العنوان"
"Option Type","نوع الخيار"
"Required","مطلوب"
"Price Type","نوع الأسعار"
"Max Characters","الأحرف كحد أقصى"
"Compatible File Extensions","ملحقات الملفات المتوافقة"
"Enter separated extensions, like: png, jpg, gif.","Enter separated extensions, like: png, jpg, gif."
"Maximum Image Size","حجم الصورة الأقصى"
"Please leave blank if it is not an image.","الرجاء تركه فارغاً إذا لم تكن صورة."
"%1","%1"
"This item has weight","يحتوي هذا العنصر على وزن"
"This item has no weight","لا يحتوي هذا العنصر على وزن"
"Set Product as New From","تعيين المنتج على انه جديد من"
"Related Products, Up-Sells, and Cross-Sells","المنتجات ذات الصلة، حتى تبيع وتبيع عبر"
"Related products are shown to customers in addition to the item the customer is looking at.","إظهار المنتجات ذات الصلة للعملاء بالإضافة إلى العنصر الذي يتطلع اليه العملاء في."
"Add Related Products","إضافة منتجات ذات صلة"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","العنصر المباع الذي قدم للعميل كبديل ، السعر أعلى أو جودة المنتج أعلى مما يبحث عنه العميل."
"Add Up-Sell Products","إضافة حتى بيع المنتجات"
"Up-Sell Products","حتى بيع المنتجات"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","هذه المنتجات ""دفعة الشراء"" تظهر بجانب سلة التسوق ""تقاطع بيع"" للعناصر موجودة أصلاً في سلة التسوق."
"Add Cross-Sell Products","إضافة المنتجات عبر بيع"
"Cross-Sell Products","عبر بيع المنتجات"
"Add Selected Products","إضافة منتجات مختارة"
"Remove","ازالة"
"Thumbnail","صورة مصغره"
"Actions","اعمال"
"Schedule Update From","جدولة التحديث من"
"Product in Websites","المنتج في الموقع"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","إذا ثبت ماجينتو على عدة مواقع، يمكنك تحرير النطاق لاستخدام المنتج في مواقع محددة."
"name","اسم"
"Copy Data from","نسخ البيانات من"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","إذا كان لايوجد هناك فئات أصل مخصصة، الرجاء استخدام فئة الأصل الافتراضي. '' يمكنك تعيين الفئة في أي وقت في '' <a href=""%1"" target=""_blank""> منتجات > الفئات</a>."
"This operation can take a long time","يمكن أن تستغرق هذه العملية وقتاً طويلاً"
"Collapse All","طوي الكل"
"Expand All","عرض الكل"
"Please confirm site switching. All data that hasn't been saved will be lost.","الرجاء التأكد من تحويل النطاق. سيتم فقدان كافة البيانات التي لم يتم حفظها."
"Use Default Value","استخدام قيمة افتراضية"
"Manage Titles (Size, Color, etc.)","ادارة العناوين (حجم, لون, الخ)."
"Manage Options (Values of Your Attribute)","إدارة خيارات (قيم السمة الخاصة بك)"
"Is Default","هي افتراضية"
"Sort Option","خيار الترتيب"
"Groups","مجموعات"
"Double click on a group to rename it.","قم بالضغط مرتين على المجموعة لاعادة تسميتها."
"Unassigned Attributes","غير معين الصفات"
"A name is required.","يجب ادخال اسم."
"This group contains system attributes. Please move system attributes to another group and try again.","وهذا النظام يحتوي على مجموعة من الصفات. نظام الانتقال الرجاء الصفات الى مجموعة أخرى وحاول مرة أخرى."
"Please select a node.","الرجاء تحديد عقده."
"Please enter a new group name.","الرجاء إدخال اسم مجموعة جديدة."
"An attribute group named ""/name/"" already exists.","مجموعة سمة تمسى ""/بهذا الإسم/"" موجودة."
"Sorry, we're unable to complete this request.","عذراً، لكننا غير قادر على إكمال هذا الطلب."
"You can't remove attributes from this attribute set.","لا يمكنك إزالة السمات من مجموعة السمات."
"Custom Options","خيارات مخصصة"
"This is a required option.","هذا الخيار مطلوب."
"The field isn't complete.","الحقل فارغ."
"Compatible file extensions to upload","ملحقات أسماء الملفات المتوافقة للتحميل"
"Maximum image width","عرض الصورة كحد أقصى"
"Maximum image height","ارتفاع الصورة كحد أقصى"
"Maximum number of characters:","الحد الأقصى لعدد الأحرف:"
"start typing to search template","ابدأ الكتابة للبحث عن القالب"
"Product online","المنتج على الإنترنت"
"Product offline","المنتج غير متصل"
"Product online status","حالة المنتج على الإنترنت"
"Manage Stock","إدارة المخزون"
"Qty","الكميّة"
"Out-of-Stock Threshold","حدود انتهاء المخزون"
"Minimum Qty Allowed in Shopping Cart","الكمية الدنيا المسموح بها في سلة التسوق"
"Maximum Qty Allowed in Shopping Cart","الكمية القصوى المسموح بها في سلة التسوق"
"Qty Uses Decimals","كمية تستخدم ارقام عشرية"
"Backorders","طلبات لمنتجات غير متوفرة"
"Notify for Quantity Below","اخطار لكمية ادناه"
"Enable Qty Increments","تمكين زيادة الكميات"
"Qty Increments","زيادة الكميات"
"Stock Availability","توفر المخزون"
"In Stock","متوفر في المخزن"
"Out of Stock","غير متوفر بالمخزن"
"Add Product To Websites","اضف منتج الى الموقع"
"Remove Product From Websites","حذف المنتج من الموقع"
"To hide an item in catalog or search results, set the status to ""Disabled"".","لإخفاء عنصر في نتائج البحث أو الكتالوج، ضع الحالة على ""معطل""."
"We can't save custom-defined options for bundles with dynamic pricing.","لا يمكن حفظ خيارات محدد- مخصصة للحزم مع التسعير الديناميكي."
"Delete Custom Option","حذف الخيار المخصص"
"Sort Custom Options","خيارات فرز مخصص"
"Input Type","نوع الإدخال"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","خيارات فرز مخصص"
"Item Price","سعر الصنف"
"Action","إجراء"
"and above","و فوق"
"Delete Tier","حذف مستوى"
"Product In Websites","المنتج في الموقع"
"(Copy data from: %1)","(انسخ البيانات من: %1)"
"Browse to find or drag image here","استعرض للبحث أو اسحب الصورة هنا"
"Delete image","حذف الصورة"
"Hidden","مخفي"
"Alt Text","النص البديل"
"Role","دور"
"Image Size","حجم الصورة"
"{size}","{size}"
"Image Resolution","دقة الصورة"
"{width}^{height} px","{width} ^{height} px"
"Hide from Product Page","إخفاء من صفحة المنتج"
"Allow Multiple Boxes for Shipping","السماح بصناديق متعددة للشحن"
"start typing to search attribute","الكتابة للبحث عن السمة"
"Basic Settings","الإعدادات الأساسية"
"Advanced Settings","الإعدادات المُتقدّمة"
"Changes have been made to this section that have not been saved.","تم إجراء تغييرات في هذا القسم و التي لم يتم حفظها."
"This tab contains invalid data. Please resolve this before saving.","تحتوي علامة التبويب هذه على بيانات غير صالحة. الرجاء حل هذه قبل الحفظ."
"Mass Actions","الإجراءات الجماعية"
"Select All","اختيار الكل"
"Unselect All","غير منتقي للجميع"
"Select Visible","اختيار الظهور"
"Unselect Visible","غير مختار الظاهر"
"Special Price","سعر خاص"
"Regular Price","السعر العادي"
"Buy %1 for: ","%1 الشراء: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","شراء %1 لكل %2 و <strong class=""benefit"">حفظ<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","شراء %1 لكل %2"
"Shop By","تصفح عبر"
"Shopping Options","خيارات تنفيذ البيع"
"Compare Products","مقارنة المنتجات"
"Print This Page","طباعة هذه الصفحة"
"Remove Product","إزالة منتج"
"Add to Cart","أضف لسلة التسوق"
"In stock","متوفر"
"Out of stock","غير متوفر بالمخزن"
"Add to Wish List","أضف لقائمة الرغبات"
"You have no items to compare.","لا يوجد منتجات للمقارنة الآن."
"Remove This Item","حذف هذا العنصر"
"Compare","مقارنة"
"Clear All","إلغاء الكل"
"Prev","السابق"
"Next","التالي"
"We can't find products matching the selection.","لا يمكن العثور على منتجات مطابقة لإختيارك."
"Learn More","إعرف المزيد"
"Add to Compare","إضافة إلى المقارنة"
"We found other products you might like!","منتجات أخرى قد تعجبك!"
"More Choices:","المزيد من الخيارات:"
"Check items to add to the cart or","تفحص المنتجات للإضافة لسلة التسوق أو"
"select all","اختار الجميع"
"Items %1-%2 of %3","%1-%2 من %3 منتج"
"%1 Item","%1 عنصر"
"%1 Items","%1 عناصر"
"Show","أعرض"
"per page","لكل صفحة"
"Sort By","رتب حسب"
"Set Ascending Direction","الصعود الى مجموعة التنبيه"
"Set Descending Direction","تحديد الاتجاه التنازلي"
"View as","مشاهدة كا"
"More Information","المزيد من المعلومات"
"Loading...","جاري التحميل..."
"* Required Fields","* حقول مطلوبة"
"Availability","التوفر"
"Warning message","رسالة تحذير"
"Submit","إرسال"
"We don't recognize or support this file extension type.","لم نتعرف او ندعم إمتداد هذا الملف."
"Configure Product","إعدادات المنتج"
"OK","موافق"
"This value does not follow the specified format (for example, 200x300).","هذه القيمة لا تتبع تنسيق محدد (مثال، 200 × 300)."
"Select type of option.","حدد نوع الخيار."
"Please add rows to option.","الرجاء إضافة صفوف إلى الخيار."
"Please select items.","يرجى تحديد الأصناف."
"Choose existing category.","اختر تصنيف موجود."
"Image Detail","تفاصيل الصورة"
"Adding...","إضافة..."
"Added","تمت الاضافه"
"does not implement Storage Interface","لا يقوم بتطبيق ""واجهة التخزين"""
"unselect all","إلغاء تحديد الكل"
"Inventory","المخزون"
"Catalog Section","قسم الكتالوج"
"Small","صغير"
"Main","الرئيسية"
"Custom image","صورة مخصصة"
"Product Fields Auto-Generation","حقول المنتج الإنشاء التلقائي"
"Mask for SKU","قناع لوحدة SKU"
"Use {{name}} as Product Name placeholder","استخدام {{name}} كبديل ""اسم المنتج"""
"Mask for Meta Title","قناع للعنوان الوصفي"
"Mask for Meta Keywords","قناع لميتا الكلمات الرئيسية"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","استخدام {{name}} ""اسم المنتج"" أو {{sku}} كعناصر بديلة ""SKU المنتج"""
"Mask for Meta Description","قناع لوصف ميتا"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","استخدام {{name}} و {{description}} كعناصر بديلة لاسم المنتج ووصف المنتج"
"Recently Viewed/Compared Products","المنتجات المشاهدة/المقارنة حديثا"
"Lifetime of products in Recently Viewed Widget","مدة المنتجات في واجهة المنتجات التي شوهدت موخرا"
"Lifetime of products in Recently Compared Widget","مدة المنتجات في واجهة المنتجات التي تم مقارنتها مؤخرا"
"Synchronize widget products with backend storage","مزامنة منتجات الواجهة مع المستودع"
"Storefront","واجهة المتجر"
"List Mode","وضع القائمة"
"Products per Page on Grid Allowed Values","منتجات لكل صفحة على شبكة القيم المسموح بها"
"Comma-separated.","مفصولة بفواصل."
"Products per Page on Grid Default Value","منتجات لكل صفحة على شبكة القيمة الافتراضية"
"Must be in the allowed values list","يجب أن يكون في قائمة القيم المسموح بها"
"Products per Page on List Allowed Values","منتجات لكل صفحة على قائمة القيم المسموح بها"
"Products per Page on List Default Value","منتجات لكل صفحة في قائمة القيمة الافتراضية"
"Use Flat Catalog Category","استخدم فئة كتالوج مسطح"
"Use Flat Catalog Product","إستخدام Flat Catalog Product"
"Product Listing Sort by","ترتيب المنتجات حسب"
"Allow All Products per Page","السماح لجميع المنتجات في كل صفحة"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","ما إذا كان سيتم إظهار خيار ""الكل"" في القائمة المنسدلة ""إظهار X لكل صفحة"""
"Allow Dynamic Media URLs in Products and Categories","السماح بعناوين Url الوسائط الديناميكية في المنتجات والتصنيفات"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","مثل {{url=""path/to/image.jpg وسائل الإعلام""}} {{الجلد url=""path/to/picture.gif""}}. كتالوج ديناميكية التوجيهات المتعلقة بتحليل آثار الأداء."
"Product Image Placeholders","صورة المنتج placeholders"
"Search Engine Optimization","تحسين محرك البحث"
"Page Title Separator","فاصل عنوان الصفحة"
"Use Canonical Link Meta Tag For Categories","استخدم علامة Meta طبقا للارتباط الكنسي للفئات"
"Use Canonical Link Meta Tag For Products","استخدم علامة Meta طبقا للارتباط الكنسي للمنتجات"
"Catalog Price Scope","نطاق اسعار دليل المنتجات"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","هذا يحدد نطاق العملة الأساسية (إعداد ""العملة"" > ""خيارات العملة"" > ""العملة الأساسية"")."
"Category Top Navigation","أعلى إنتقال للفئة"
"Maximal Depth","أقصى عمق"
"Date & Time Custom Options","خيارات مخصصة للتاريخ & الوقت"
"Use JavaScript Calendar","استخدام تقويم جافا سكريبت"
"Date Fields Order","ترتيب حقول التاريخ"
"Time Format","تنسيق الوقت"
"Year Range","نطاق السنة"
"Please use a four-digit year format.","يرجى استخدام تنسيق أربعة أرقام للسنة."
"Use Static URLs for Media Content in WYSIWYG for Catalog","استخدام عناوين ثابتة لمحتوى الوسائط في WYSIWYG للكتالوج"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","وهذا ينطبق فقط على كتالوج المنتجات والفئات. سيتم إدراج المحتوى الإعلامي المحرر كعنوان ثابت. لا يتم تحديث محتوى الوسائط في حالة تغير عناوين URL للنظام الأساسي."
"Top Level Category","التصنيف الاعلى درجة"
"Product Info Column","عمود معلومات المنتج"
"Block after Info Column","كتلة بعد عمود المعلومات"
"Product Flat Data","البيانات المسطحة للمنتجات"
"Reorganize EAV product structure to flat structure","إعادة تنظيم هيكل المنتجات EAV إلى بنية مسطحة"
"Category Flat Data","بيانات مسطحة للفئات"
"Reorganize EAV category structure to flat structure","إعادة تنظيم هيكل الفئات EAV لفئة هيكل مسطح"
"Category Products","قسم المنتجات"
"Indexed category/products association","رابطة فهرسة الفئة/المنتجات"
"Product Categories","فئات المنتج"
"Indexed product/categories association","رابطة فهرسة المنتج/الفئات"
"Product Price","سعر المنتج"
"Index product prices","مؤشر أسعار المنتج"
"Product EAV","EAV للمنتج"
"Index product EAV","EAV فهرس المنتج"
"Catalog New Products List","قائمة المنتجات الجديدة في كتالوج"
"List of Products that are set as New","قائمة بالمنتجات التي تم تعيينها كالجديدة"
"Display Type","نوع العرض"
"All products - recently added products, New products - products marked as new","جميع المنتجات-منتجات أضيفت مؤخرا ، والمنتجات الجديدة-المنتجات التي تم وضع علامة جديدة"
"All products","جميع المنتجات"
"New products","المنتجات الجديدة"
"Display Page Control","عرض عنصر التحكم في الصفحة"
"Number of Products per Page","عدد المنتجات في الصفحة"
"Number of Products to Display","عدد من المنتجات للعرض"
"Template","قالب"
"New Products Grid Template","المنتجات الجديدة قالب الشبكة"
"New Products List Template","المنتجات الجديدة قالب القائمة"
"New Products Images and Names Template","قالب أسماء وصور منتجات جديدة"
"New Products Names Only Template","قالب أسماء المنتجات الجديدة فقط"
"New Products Images Only Template","قالب لصور المنتجات الجديدة فقط"
"Cache Lifetime (Seconds)","عمر ذاكرة التخزين المؤقت (بالثواني)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","الافتراضي 86400، إن لم يعيين. للتحديث الفوري، قم بمسح ذاكرة التخزين المؤقت لـ HTML."
"Catalog Product Link","رابط كتالوج المنتج"
"Link to a Specified Product","إرتباط بمنتج محدد"
"Select Product...","اختر المنتج..."
"Anchor Custom Text","نص مرساة مخصص"
"If empty, we'll use the product name here.","إذا كان فارغاً، سوف نستخدم اسم المنتج هنا."
"Anchor Custom Title","عنوان مرساة مخصص"
"Product Link Block Template","كتلة قالب رابط المنتج"
"Product Link Inline Template","قالب منسق لرابط المنتج"
"Catalog Category Link","رابط كتالوج الفئة"
"Link to a Specified Category","ارتبط إلى فئة محددة"
"Select Category...","اختر قسم..."
"If empty, we'll use the category name here.","إذا كان فارغاً، سوف نستخدم اسم الفئة هنا."
"Category Link Block Template","فئة الرابط كتلة القالب"
"Category Link Inline Template","رابط قالب الفئة مضمن"
"Recently Viewed Products","المنتجات المشاهدة حديثا"
"List of Products Recently Viewed by Visitor","قائمة بالمنتجات التي استعرضها الزائر مؤخرا"
"UI Component","عنصر واجهة المستخدم"
"Number of Products to display","عدد المنتجات للعرض"
"Product attributes to show","سمات المنتج التي ستظهر"
"Image","صورة"
"Learn More Link","رابط للمزيد"
"Buttons to show","الأزرار التي ستظهر"
"Add to Wishlist","إضافة إلى قائمة الأمنيات"
"Viewed Products Grid Template","قالب الشبكة للمنتجات المستعرضة"
"Viewed Products List Template","قالب قائمة المنتجات المستعرضة"
"Viewed Products Sidebar Template","قالب الشريط الجانبي للمنتجات المستعرضة"
"Recently Compared Products","المنتجات المقارنة حديثا"
"List of Products Recently Compared by Visitor","قائمة المنتجات التى تمت مقارنتها مؤخرا من قبل الزوار"
"Compared Products Grid Template","نموذج لشبكة مقارنة المنتجات"
"Compared Products List Template","نموذج لقائمة مقارنة المنتجات"
"Set","ضبط"
"Category Information","معلومات الفئة"
"Enable Category","تفعيل القسم"
"Include in Menu","أدراج في القائمة"
"Content","المحتوى"
"Category Image","صورة القسم"
"Description","الوصف"
"Add CMS Block","إضافة كتلة CMS"
"Display Settings","إعدادات العرض"
"Display Mode","طريقة العرض"
"Anchor","مرساة"
"Available Product Listing Sort By","فرز قائمة المنتجات المتاحة حسب"
"Use All","استخدم الكل"
"Default Product Listing Sort By","فرز قائمة المنتج الإفتراضي حسب"
"Layered Navigation Price Step","خطوة تنقل مستوى السعر"
"URL Key","مفتاح URL"
"Meta Title","Meta: العنوان"
"Meta Keywords","Meta: الكلمات الدلالية"
"Meta Description","Meta: الوصف"
"Products in Category","المنتجات في القسم"
"Design","تصميم"
"Theme","الثيم"
"Layout","تخطيط"
"Layout Update XML","تحديث لغة الترميز القابلة للامتداد النسق"
"Apply Design to Products","تطبيق التصميم على المنتجات"
"Schedule Design Update","جدولة تحديث التصميم"
"AttributeSetText","نص تعيين السمة"
"StatusText","نص الحالة"
"Product Image Watermarks","صورة المنتج ماءيه"
"Base","قاعدة"
"Allowed file types: jpeg, gif, png.","أنواع الملفات المسموحة: jpeg, gif, png."
"Image Opacity","درجة شفافية الصورة"
"Example format: 200x300.","شكل على سبيل المثال: 200 × 300."
"Image Position","موضع الصورة"
"Attribute Properties","خصائص السمة"
"Attribute Label","علامة السمة"
"Catalog Input Type for Store Owner","نوع الإدخال لصاحب المتجر"
"Values","القيم"
"Add this attribute to the list of column options in the product grid.","أضف هذه السمة إلى قائمة خيارات العمود في شبكة المنتج."
"Add this attribute to the list of filter options in the product grid.","أضف هذه السمة إلى قائمة خيارات التصفية في شبكة المنتج."
"System","النظام"
"All Store Views","واجهه جميع المواقع"
"Delete selected items?","هل تريد حذف العناصر المحددة؟"
"Delete items","حذف عناصر"
"Change status","تغيير الحالة"
"Enable","تفعيل"
"Disable","إبطال"
"Update attributes","تحديث السمات"
"Overview","نظره عامة"
"Skip to the end of the images gallery","انتقل إلى النهاية معرض الصور"
"Skip to the beginning of the images gallery","تخطي إلى بداية معرض الصور"
"Details","التفاصيل"
"Recently Compared","تمت مقارنتها مؤخرا"
"Add To Cart","أضف لسلة التسوق"
"Add To Compare","إضافة إلى المقارنة"
"Learn more","إعرف المزيد"
"Recently Viewed","المشاهد حديثا"
"Save Category","حفظ الفئة"
"Delete Category","حذف التصنيف"
"New Subcategory","تصنيف فرعي جديد"
"New Root Category","تصنيف رئيسي جديد"
"Set Root Category for Store","تكوين تصنيف جذري للمتجر"
"Custom Design","تصميم مخصص"
"Category Data","بيانات التصنيف"
"Not shared with other products","غير مشارك مع المنتجات الأخرى"
"Declare attribute value saving scope","إعلان قيمة السمة لتوفير النطاق"
"Depends on design theme","يعتمد على التصميم المظهر"
"We saved the price alert subscription.","لقد تم حفظ إشتراكك لتنبيه الأسعار."
"We saved the stock notification.","لقد تم حفظ مخزن الإشعارات."
"Images and Videos","الصور وملفات الفيديو"
"Click here or drag and drop to add images.","انقر هنا أو سحب وإسقاط لإضافة الصور."
"Make Base","إصنع قاعدة"
"There was a category move error. %1","كان هناك خطأ في نقل الفئة %1"
"You moved the category","لقد قمت بنقل القسم"
"This product no longer exists.","هذا المنتج لم يعد موجوداً."
"We can't find the image file.","لا يمكن العثور على الصورة."
"productFactory is already set","productFactory is already set"
"Could not save product option","تعذر حفظ خيار المنتج"
"Product option with id %1 does not exist","خيار المنتج مع %1 غير موجود"
"Are you sure you want to delete this category?","هل أنت متأكد أنك تريد حذف هذه الفئة؟"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","تعيين الفئة الجذر لهذا المخزن في <a href=""%1"">configuration</a>."
"Manage Options (values of your attribute)","إدارة خيارات (قيم السمة الخاصة بك)"
"An attribute group named ""/name/"" already exists"".","مجموعة سمة المسماة \"/name/\" already exists\"موجودة من قبل."
"Close panel","إغلاق اللوحة"
"Allow Multiple Boxes for Shipping.","السماح بمربعات متعددة للشحن."
"Ok","موافق"
"Watermark Default Size","الحجم الافتراضي للعلامة المائية"
"Watermark Opacity, Percent","العلامة المائية غير شفافة, بنسبة"
"Watermark","علامة مائية"
"Watermark Position","مكان العلامة المائية"
"none","لا شيء"
"File validation failed.","فشل التحقق من صحة الملف."
"text","نص"
"Tier Price","السعر الأساسي"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","إذا كان لدى موقع الويب الخاص بك من ماجنتو طرق عرض متعددة، فإنه يمكنك تعيين طريقة عرض محددة."
"Sort Products By","رتب المنتجات حسب"
"Default Product Sorting","الترتيب الإفتراضي للمنتجعات"
"Use Parent Category Settings","استخدام إعدادات أصل الفئة"
"Page not found","لم يتم العثور على الصفحة"
"Full file path is expected.","Full file path is expected."
"from","من"
"to","الى"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","You added product %1 to the <a href=""%2"">comparison list</a>."
"Maximum %1 characters","Maximum %1 characters"
"remaining","المتبقي"
"too many","كثير جدا"
"Sending attribute values as package.","إرسال قيم الخصال كحزمة."
"This value does not follow the specified format (for example, 200X300).","هذه القيمة لا تتبع التنسيق المحدد (على سبيل المثال، 200 × 300)."
"Applies to category pages","Applies to category pages"
"Remember Category Pagination","Remember Category Pagination"
"Changing may affect SEO and cache storage consumption.","Changing may affect SEO and cache storage consumption."
"Images Upload Configuration","Images Upload Configuration"
"Quality","الجودة"
"Jpeg quality for resized images 1-100%.","Jpeg quality for resized images 1-100%."
"Cost","التكلفة"
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Attributes were missing and must be specified.","Attributes were missing and must be specified."
"The value of Admin must be unique. (%1)","The value of Admin must be unique. (%1)"
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The category doesn't contain the specified product.","The category doesn't contain the specified product."
"The %1 value wasn't found in the algorithms.","The %1 value wasn't found in the algorithms."
"The filters are invalid. Set them in an array and try again.","The filters are invalid. Set them in an array and try again."
"The product wasn't registered.","لم يتم تسجيل المنتج."
"The store wasn't registered. Verify the store and try again.","لا يم يتم تسجيل هذا المتجر. تحقق من المتجر وحاول مرة أخرى."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
"The image content is invalid. Verify the content and try again.","محتويات الصورة غير صحيحة. تأكد من المحتويات ثم حاول مرة أخرى."
"The product can't be saved.","لا يمكن حفظ المنتج."
"The new media gallery entry failed to save.","The new media gallery entry failed to save."
"No image with the provided ID was found. Verify the ID and try again.","No image with the provided ID was found. Verify the ID and try again."
"The product doesn't exist. Verify and try again.","المنتج غير موجود. تأكد ثم حاول مرة أخرى."
"The image doesn't exist. Verify and try again.","The image doesn't exist. Verify and try again."
"The image doesn't exist.","الصورة غير موجودة."
"The image type for the file is invalid. Enter the correct image type and try again.","The image type for the file is invalid. Enter the correct image type and try again."
"The ""%1"" file couldn't be moved.","The ""%1"" file couldn't be moved."
"The ProductSku is empty. Set the ProductSku and try again.","The ProductSku is empty. Set the ProductSku and try again."
"The custom option couldn't be removed.","The custom option couldn't be removed."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The file options format is invalid. Use a correct format and try again.","The file options format is invalid. Use a correct format and try again."
"The file ""%1"" is empty. Select another file and try again.","The file ""%1"" is empty. Select another file and try again."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again."
