"Root","Baza"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Processor %1 doesn't implement BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","Typ produktu nie jest zdefiniowany dla indeksowania."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 nie rozszerza \Magento\Catalog\Model\Resource\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","Produkt z SKU %1 nie jest związany z produktem z SKU %2"
"Multiple Select","Wielokrotny wybór"
"Dropdown","Lista rozwijana"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 nie rozszerza \Magento\Framework\Filter\Template"
"As low as","Już od"
"test","test"
"Some text is here.","Some text is here."
"Some exception","Jakiś wyjątek"
"Could not get extension attributes","Could not get extension attributes"
"message","wiadomość"
"fl","fl"
"Lock wait timeout","Lock wait timeout"
"123","123"
"Images","Obrazki"
"Select...","Wybierz..."
"Advanced Pricing","Cena"
"Customer Group Price","Cena dla grupy klientów"
"Customer Group","Grupa klienta"
"Special Price From","Cena promocyjna od"
"To","Do"
"Done","Gotowe"
"Product Alerts","Alerty produktów"
"Alert stock","Alert stock"
"Alert Stock","Alert Stock"
"Alert price","Alert price"
"Alert Price","Alert Price"
"Add Selected","Dodaj wybrane"
"Select Attribute","Wybierz cechę"
"Create New Attribute","Utwórz nową cechę"
"Customizable Options","Indywidualne opcje"
"Custom options let customers choose the product variations they want.","Niestandardowe opcje pozwalają kupującym wybierać warianty produktów, których potrzebują."
"Add Option","Dodaj opcję"
"New Option","Nowa opcja"
"Select Product","Wybierz produkt"
"Option Title","Tytuł opcji"
"Add Value","Dodaj wartość"
"Title","Tytuł"
"Option Type","Rodzaj opcji"
"Required","Wymagane"
"Price Type","Typ ceny"
"Max Characters","Maks znaków"
"Compatible File Extensions","Zgodne rozszerzenia pliku"
"Enter separated extensions, like: png, jpg, gif.","Wprowadź rozszerzenia oddzielone przecinkiem, na przykład: png, jpg, gif."
"Maximum Image Size","Maksymalny rozmiar obrazka"
"Please leave blank if it is not an image.","Proszę zostawić puste, jeśli nie jest to obraz."
"%1","%1"
"This item has weight","Ta pozycja ma przypisaną wagę"
"This item has no weight","Ta pozycja nie ma przypisanej wagi"
"Set Product as New From","Ustaw produkt jako nowy od"
"Related Products, Up-Sells, and Cross-Sells","Produkty powiązane, Up-Sells i Cross-Sells"
"Related products are shown to customers in addition to the item the customer is looking at.","Powiązane produkty są pokazywane klientom jako dodatek do oglądanych przez nich produktów."
"Add Related Products","Dodaj produkty"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Produkty typu „up-sell” są dla klientów droższą lub lepszą jakościowo alternatywą dla oglądanych przez nich produktów."
"Add Up-Sell Products","Dodaj produkty"
"Up-Sell Products","Produkty Up-Sell "
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Produkty typu „cross-sell” pojawiają się w koszyku jako dodatki zwiększające wielkość zamówienia."
"Add Cross-Sell Products","Dodaj produkty"
"Cross-Sell Products","Produkty Cross-sell"
"Add Selected Products","Dodaj wybrane produkty"
"Remove","Usuń"
"Thumbnail","Miniatura"
"Actions","Operacje"
"Schedule Update From","Ustaw aktualizację od"
"Product in Websites","Dostępność w witrynach"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites."
"name","nazwa"
"Copy Data from","Kopiowanie danych z"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Jeśli nie ma zdefiniowanych kategorii nadrzędnych, proszę użyć domyślnej kategorii nadrzędnej. Można zmienić przypisaną kategorię w dowolnym momencie w <a href=""%1"" target=""_blank""> Produkty &gt; Kategorie</a>."
"This operation can take a long time","Ta operacja może zająć dużo czasu"
"Collapse All","Zwiń wszystko"
"Expand All","Rozwiń wszystko"
"Please confirm site switching. All data that hasn't been saved will be lost.","Potwierdź zmianę poziomu. Wszystkie niezapisane dane zostaną utracone."
"Use Default Value","Użyj wartości domyślnej"
"Manage Titles (Size, Color, etc.)","Zarządzaj etykietami (Rozmiar, Kolor itp.)"
"Manage Options (Values of Your Attribute)","Zarządzaj opcjami (wartościami cechy)"
"Is Default","Jest domyślny"
"Sort Option","Opcja sortowania"
"Groups","Grupy"
"Double click on a group to rename it.","Kliknij dwukrotnie na grupę, aby zmienić jej nazwę."
"Unassigned Attributes","Nieprzypisane cechy"
"A name is required.","Nazwa jest wymagana."
"This group contains system attributes. Please move system attributes to another group and try again.","Nie możesz usunąć cech z tego zestawu. Przenieś je do innego zestawu i ponów próbę."
"Please select a node.","Please select a node."
"Please enter a new group name.","Wprowadź nazwę nowej grupy."
"An attribute group named ""/name/"" already exists.","Grupa atrybutów o nazwie ""/ nazwa /"" już istnieje."
"Sorry, we're unable to complete this request.","Przepraszamy, nie możemy zrealizować tego żądania."
"You can't remove attributes from this attribute set.","Nie można usuwać atrybutów z tego zestawu atrybutów."
"Custom Options","Indywidualne opcje"
"This is a required option.","Ta opcja jest wymagana."
"The field isn't complete.","Pole nie jest kompletne."
"Compatible file extensions to upload","Kompatybilne rozszerzenia wgrywanego pliku"
"Maximum image width","Maksymalna szerokość obrazka"
"Maximum image height","Maksymalna wysokość obrazka"
"Maximum number of characters:","Maksymalna ilość znaków:"
"start typing to search template","Zacznij pisać, aby wyszukać szablon"
"Product online","Produkt włączony"
"Product offline","Produkt wyłączony"
"Product online status","Status online produktu"
"Manage Stock","Zarządzaj stanami"
"Qty","Ilość"
"Out-of-Stock Threshold","Przedział dla braku w magazynie"
"Minimum Qty Allowed in Shopping Cart","Minimalna ilość w koszyku"
"Maximum Qty Allowed in Shopping Cart","Maksymalna ilość w koszyku"
"Qty Uses Decimals","Ilość używa wartości dziesiętnych"
"Backorders","Rezerwacje"
"Notify for Quantity Below","Powiadamiaj o ujemnej ilości"
"Enable Qty Increments","Włącz zwiększanie ilości"
"Qty Increments","Zwiększanie ilości"
"Stock Availability","Dostępność towaru"
"In Stock","W magazynie"
"Out of Stock","Brak w magazynie"
"Add Product To Websites","Dodaj produkty do witryn"
"Remove Product From Websites","Usuń produkt z witryn"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Aby ukryć produkt w katalogu lub w wynikach wyszukiwania, należy ustawić jego stan na ""Wyłączony""."
"We can't save custom-defined options for bundles with dynamic pricing.","Nie można zapisać opcji niestandardowych dla grup produktów z dynamicznymi cenami."
"Delete Custom Option","Usuń opcję niestandardowe"
"Sort Custom Options","Niestandardowe opcje sortowania"
"Input Type","Typ pola"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","Niestandardowe opcje sortowania"
"Item Price","Cena produktu"
"Action","Operacja"
"and above","i powyżej"
"Delete Tier","Usuń poziom"
"Product In Websites","Dostępność w witrynach"
"(Copy data from: %1)","(Kopiuj dane z: %1)"
"Browse to find or drag image here","Przeglądaj, aby znaleźć lub przeciągnij obraz tutaj"
"Delete image","Usuń obraz"
"Hidden","ukryty"
"Alt Text","Tekst alternatywny"
"Role","Rola"
"Image Size","Rozmiar zdjęcia"
"{size}","{size}"
"Image Resolution","Rozdzielczość zdjęcia"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","Ukryj na stronie produktu"
"Allow Multiple Boxes for Shipping","Zezwól na dzielenie wysyłki"
"start typing to search attribute","Zacznij pisać, aby wyszukać cechę"
"Basic Settings","Podstawowe ustawienia"
"Advanced Settings","Zaawansowane ustawienia"
"Changes have been made to this section that have not been saved.","Wprowadzono zmiany do tej sekcji, które nie zostały zapisane."
"This tab contains invalid data. Please resolve this before saving.","Ta karta zawiera nieprawidłowe dane. Proszę rozwiązać ten problem przed zapisaniem."
"Mass Actions","Masowe operacje"
"Select All","Zaznacz wszystko"
"Unselect All","Odznacz wszystko"
"Select Visible","Zaznacz widoczne"
"Unselect Visible","Odznacz widoczne"
"Special Price","Cena promocyjna"
"Regular Price","Normalna cena"
"Buy %1 for: ","Kup %1 za: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Kup %1 po %2 za każdy i <strong class=""benefit"">zaoszczędź<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Kup %1 dla %2 poszczególnych"
"Shop By","Kupuj wg"
"Shopping Options","Opcje zakupów"
"Compare Products","Porównaj produkty"
"Print This Page","Drukuj stronę"
"Remove Product","Usuwanie produktu"
"Add to Cart","Dodaj do koszyka"
"In stock","W magazynie"
"Out of stock","Brak w magazynie"
"Add to Wish List","Dodaj do listy życzeń"
"You have no items to compare.","Nie dodałeś żadnych produktów do porównania."
"Remove This Item","Usuń ten element"
"Compare","Porównaj"
"Clear All","Wyczyść wszystko"
"Prev","Poprzedni"
"Next","Następne"
"We can't find products matching the selection.","Nie możemy odnaleźć pasujących produktów do zaznaczenia."
"Learn More","Dowiedz się więcej"
"Add to Compare","Porównaj"
"We found other products you might like!","Znaleźliśmy inne produkty, które mogą Cię zainteresować!"
"More Choices:","Więcej możliwości:"
"Check items to add to the cart or","Zaznacz produkty, żeby dodać je do koszyka lub"
"select all","zaznacz wszystko"
"Items %1-%2 of %3","Produkty %1-%2 z %3"
"%1 Item","%1 elementu"
"%1 Items","Produkty %1"
"Show","Pokaż"
"per page","na stronę"
"Sort By","Sortuj wg"
"Set Ascending Direction","Ustaw kierunek rosnący"
"Set Descending Direction","Ustaw kierunek malejący"
"View as","Zobacz jako"
"More Information","Więcej informacji"
"Loading...","Ładuję..."
"* Required Fields","* pola wymagane"
"Availability","Dostępność"
"Warning message","Komunikat ostrzegawczy"
"Submit","Wyślij"
"We don't recognize or support this file extension type.","Nie możemy rozpoznać lub obsługiwać tego typu rozszerzenia pliku."
"Configure Product","Konfiguruj produkt"
"OK","OK"
"This value does not follow the specified format (for example, 200x300).","This value does not follow the specified format (for example, 200x300)."
"Select type of option.","Proszę wybrać rodzaj opcji."
"Please add rows to option.","Dodaj rzędy do opcji."
"Please select items.","Prosimy wybrać produkty."
"Choose existing category.","Wybierz istniejącej kategorii."
"Image Detail","Szczegóły obrazu"
"Adding...","Dodawanie..."
"Added","Dodane"
"does not implement Storage Interface","does not implement Storage Interface"
"unselect all","odznacz wszystko"
"Inventory","Magazyn"
"Catalog Section","Sekcja katalogu"
"Small","Mały"
"Main","Główny"
"Custom image","Zdjęcie niestandardowe"
"Product Fields Auto-Generation","Auto generowanie pola produktu"
"Mask for SKU","Maska dla SKU"
"Use {{name}} as Product Name placeholder","Używaj {{name}} jako nazwa zastępcza"
"Mask for Meta Title","Maska dla Meta tytuł"
"Mask for Meta Keywords","Maska dla Meta słów kluczowych"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Użyj {{name}} jako nazwa produktu lub {{sku}} jako SKU produktu"
"Mask for Meta Description","Maska dla opisu Meta"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Użyj {{name}} i {{description}} jako nazwa produktu i opis produktu"
"Recently Viewed/Compared Products","Ostatnio oglądane/porównywane produkty"
"Lifetime of products in Recently Viewed Widget","Żywotność produktów w ostatnio oglądanym pluginie"
"Lifetime of products in Recently Compared Widget","Żywotność produktów w ostatnio oglądanym pluginie"
"Synchronize widget products with backend storage","Synchronize widget products with backend storage"
"Storefront","Witryna sklepu"
"List Mode","Tryb listy"
"Products per Page on Grid Allowed Values","Dozwolona ilość produktów na stronie (widok siatki)"
"Comma-separated.","Oddzielone przecinkami."
"Products per Page on Grid Default Value","Domyślna ilość produktów na stronie (widok siatki)"
"Must be in the allowed values list","Musi być na liście dozwolonych wartości"
"Products per Page on List Allowed Values","Dozwolona ilość produktów na stronie (widok listy)"
"Products per Page on List Default Value","Domyślna ilość produktów na stronie (widok listy)"
"Use Flat Catalog Category","Użyj płaskiego katalogu kategorii"
"Use Flat Catalog Product","Użyj płaskiego katalogu produktów"
"Product Listing Sort by","Wykaz produktów sortowany wg"
"Allow All Products per Page","Zezwól na pokazywanie wszystkich produktów na stronie"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Czy pokazywać opcję Wszystko"" na liście rozwijanej ""Pokazuj X na stronie""."""
"Allow Dynamic Media URLs in Products and Categories","Zazwól na dynamiczne URLe mediów w produktach i kategoriach"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Np. {{media url=sciezka/do/obrazka.jpg""}} {{skin url=""sciezka/do/obrazka.gif""}}. Przetwarzanie dynamicznych adresów wpływa na wydajność katalogu."""
"Product Image Placeholders","Obrazki zastępcze produktu"
"Search Engine Optimization","Optymalizacja dla wyszukiwarek"
"Page Title Separator","Separator tytułu strony"
"Use Canonical Link Meta Tag For Categories","Zastosuj meta tag Canonical dla kategorii"
"Use Canonical Link Meta Tag For Products","Zastosuj meta tag Canonical dla produktów"
"Catalog Price Scope","Zakres cen w katalogu"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definiuje zakres bazowej waluty (Ustawienia waluty"" > ""Opcje waluty"" > ""Bazowa waluta"").""."
"Category Top Navigation","Nawigacja górna kategorii"
"Maximal Depth","Maksymalna głębokość"
"Date & Time Custom Options","Indywidualne opcje daty i czasu"
"Use JavaScript Calendar","Użyj kalendarza JavaScript"
"Date Fields Order","Kolejność pól daty"
"Time Format","Format czasu"
"Year Range","Zakres lat"
"Please use a four-digit year format.","Proszę użyć czerto cyfrowego formatu roku."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Zastosuj statyczne adresy URL dla multimediów w edytorze dla kategorii"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Dotyczy tylko katalogu produktów i kategorii. Treści graficzne będą wstawiane do edytora jako statyczne adresy URL. Treści graficzne nie są aktualizowane, jeśli bazowy adres URL jest zmieniony w konfiguracji."
"Top Level Category","Kategoria najwyższego poziomu"
"Product Info Column","Kolumna informacji o produkcie"
"Block after Info Column","Block after Info Column"
"Product Flat Data","Płaskie dane produktu"
"Reorganize EAV product structure to flat structure","Przeorganizuj strukturę EAV produktów do płaskiej struktury"
"Category Flat Data","Płaskie dane kategorii"
"Reorganize EAV category structure to flat structure","Przeorganizuj strukturę EAV kategorii do płaskiej struktury"
"Category Products","Produkty"
"Indexed category/products association","Zaindeksowane powiązania kategorii/produktów"
"Product Categories","Kategorie produktu"
"Indexed product/categories association","Indeksowane produktu/kategorii skojarzeń"
"Product Price","Cena"
"Index product prices","Indeksuj ceny produktów"
"Product EAV","Produkt EAV"
"Index product EAV","Indeks produktu EAV"
"Catalog New Products List","Lista nowych produktów katalogu"
"List of Products that are set as New","Lista produktów oznaczonych jako Nowe"
"Display Type","Typ wyświetlania"
"All products - recently added products, New products - products marked as new","Wszystkie produkty - ostatnio dodane, Nowe produkty - produkty oznaczone jako nowe"
"All products","Wszystkie produkty"
"New products","Nowe produkty"
"Display Page Control","Pokazuj nawigację stron"
"Number of Products per Page","Ilość produktów na stronie"
"Number of Products to Display","Ilość produktów do pokazania"
"Template","Szablon"
"New Products Grid Template","Szablon siatki nowych produktów"
"New Products List Template","Szablon listy nowych produktów"
"New Products Images and Names Template","Nowe zdjęcia produktów i nazw szablonów"
"New Products Names Only Template","Szablon tylko nowych nazw produktów"
"New Products Images Only Template","Szablon tylko nowych zdjęć produktów"
"Cache Lifetime (Seconds)","Czas ważności cache (sekundy)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 domyślnie, jeśli nie zdefiniowano. Opróżnij cache bloków HTML, aby odświerzyć natychmiast."
"Catalog Product Link","Link produktu"
"Link to a Specified Product","Link do wybranego produktu"
"Select Product...","Wybierz produkt..."
"Anchor Custom Text","Własny tekst kotwicy"
"If empty, we'll use the product name here.","Jeśli puste, wykorzystana zostanie nazwa produktu."
"Anchor Custom Title","Własny tytuł kotwicy"
"Product Link Block Template","Szablon blokowy linku produktu"
"Product Link Inline Template","Szablon liniowy linku produktu"
"Catalog Category Link","Link kategorii katalogu"
"Link to a Specified Category","Link do wybranej kategorii"
"Select Category...","Wybierz kategorię..."
"If empty, we'll use the category name here.","Jeśli puste, użyj nazwy kategorii tutaj."
"Category Link Block Template","Szablon bloku linku kategorii"
"Category Link Inline Template","Szablon linii linku kategorii"
"Recently Viewed Products","Ostatnio oglądane produkty"
"List of Products Recently Viewed by Visitor","Lista produktów ostatnio porównywanych przez odwiedzającego"
"UI Component","Komponent UI"
"Number of Products to display","Pokazywana liczba produktów"
"Product attributes to show","Atrybuty produktu do pokazania"
"Image","Obrazek"
"Learn More Link","Learn More Link"
"Buttons to show","Przycisk do wyświetlenia"
"Add to Wishlist","Dodaj do schowka"
"Viewed Products Grid Template","Szablon siatki oglądanych produktów"
"Viewed Products List Template","Szablon listy oglądanych produktów"
"Viewed Products Sidebar Template","Oglądane szablony pasków bocznych"
"Recently Compared Products","Ostatnio porównywane produkty"
"List of Products Recently Compared by Visitor","Lista produktów ostatnio porównywanych przez odwiedzającego"
"Compared Products Grid Template","Szablon siatki porównywanych produktów"
"Compared Products List Template","Szablon listy porównywanych produktów"
"Set","Ustaw"
"Category Information","Informacje o kategorii"
"Enable Category","Włącz kategorię"
"Include in Menu","Pokaż w menu"
"Content","Zawartość"
"Category Image","Obraz kategorii"
"Description","Opis"
"Add CMS Block","Dodaj blok CMS"
"Display Settings","Wyświetlanie"
"Display Mode","Tryb wyświetlania"
"Anchor","Zakotwiczona (wyświetla filtry atrybutów)"
"Available Product Listing Sort By","Available Product Listing Sort By"
"Use All","Użyj wszystkie"
"Default Product Listing Sort By","Default Product Listing Sort By"
"Layered Navigation Price Step","Krok cen w nawigacji warstwowej"
"URL Key","Klucz URL"
"Meta Title","Meta tytuł"
"Meta Keywords","Słowa kluczowe"
"Meta Description","Opis strony META"
"Products in Category","Produkty"
"Design","Wygląd"
"Theme","Temat"
"Layout","Układ"
"Layout Update XML","XML aktualizacji układu"
"Apply Design to Products","Zastosuj projekt do produktów"
"Schedule Design Update","Harmonogram aktualizacji wyglądu"
"AttributeSetText","AttributeSetText"
"StatusText","StatusText"
"Product Image Watermarks","Znaki wodne produktu"
"Base","Podstawa"
"Allowed file types: jpeg, gif, png.","Dozwolone typy plików: jpeg, gif, png."
"Image Opacity","Przezroczystość obrazu"
"Example format: 200x300.","Przykładowy format: 200x300."
"Image Position","Położenie obrazu"
"Attribute Properties","Właściwości cechy"
"Attribute Label","Etykieta cechy"
"Catalog Input Type for Store Owner","Typ pola katalogu dla właściciela sklepu"
"Values","Wartości"
"Add this attribute to the list of column options in the product grid.","Dodaj ten atrybut do listy opcji kolumny w siatce produktu."
"Add this attribute to the list of filter options in the product grid.","Dodaj ten atrybut do listy opcji filtrowania w siatce produktu."
"System","System"
"All Store Views","Wszystkie widoki sklepu"
"Delete selected items?","Usunąć wybrane pozycje?"
"Delete items","Usuń pozycje"
"Change status","Zmień status"
"Enable","Włącz"
"Disable","Wyłącz"
"Update attributes","Aktualizuj cechy"
"Overview","Podgląd"
"Skip to the end of the images gallery","Przejdź na koniec galerii"
"Skip to the beginning of the images gallery","Przejdź na początek galerii"
"Details","Szczegóły"
"Recently Compared","Ostatnio porównywane"
"Add To Cart","Dodaj do koszyka"
"Add To Compare","Dodaj do porównania"
"Learn more","Dowiedz się więcej"
"Recently Viewed","Ostatnio oglądane"
"Save Category","Zapisz kategorię"
"Delete Category","Usuń kategorię"
"New Subcategory","Nowa podkategoria"
"New Root Category","Nowa kategoria bazowa"
"Set Root Category for Store","Ustaw kategorię bazową dla sklepu"
"Custom Design","Indywidualny wygląd"
"Category Data","Dane kategorii"
"Not shared with other products","Nie dzielone z innymi produktami"
"Declare attribute value saving scope","Zadeklaruj zakres zapisywania wartości cechy"
"Depends on design theme","Zależy od wyglądu motywu"
"We saved the price alert subscription.","Zapisaliśmy subskrypcję alarmu cenowego."
"We saved the stock notification.","Zapisano powiadomienia o magazynie."
"Images and Videos","Zdjęcia i filmy"
"Click here or drag and drop to add images.","Kliknij tutaj, lub przeciągnij i upuść nowe zdjęcia."
"Make Base","Utwórz podstawowy film"
"There was a category move error. %1","Wystąpił błąd podczas przenoszenia kategorii. %1"
"You moved the category","Kategoria została przeniesiona"
"This product no longer exists.","Ten produkt już nie istnieje."
"We can't find the image file.","Nie możemy odnaleźć pliku ze zdjęciem."
"productFactory is already set","productFactory is already set"
"Could not save product option","Nie można zapisać opcji produktu"
"Product option with id %1 does not exist","Opcja produktu z id %1 nie istnieje"
"Are you sure you want to delete this category?","Czy na pewno usunąć tę kategorię?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Wybierz kategorię bazową dla tego sklepu w <a href=""%1"">konfiguracji</a>."
"Manage Options (values of your attribute)","Zarządzaj opcjami (wartościami cechy)"
"An attribute group named ""/name/"" already exists"".","Grupa atrybutów o nazwie ""/ nazwa /"" już istnieje""."
"Close panel","Zamknij panel"
"Allow Multiple Boxes for Shipping.","Zezwól na dzielenie wysyłki."
"Ok","Ok"
"Watermark Default Size","Domyślna wielkość znaku wodnego"
"Watermark Opacity, Percent","Przeźroczystość znaku wodnego, w procentach"
"Watermark","Znak wodny"
"Watermark Position","Pozycja znaku wodnego"
"none","brak"
"File validation failed.","Weryfikacja pliku nie powiodła się."
"text","tekst"
"Tier Price","Poziomy cen"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Jeśli Twoja strona Magento ma wiele widoków, można ustawić zakresu do zastosowania dla określonego widoku."
"Sort Products By","Sortuj produkty wg"
"Default Product Sorting","Domyślnie sortowanie produktów"
"Use Parent Category Settings","Użyj ustawień kategorii nadrzędnej"
"Page not found","Nie znaleziono strony"
"Full file path is expected.","Proszę podać pełną ścieżkę do pliku."
"from","od"
"to","do"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","You added product %1 to the <a href=""%2"">comparison list</a>."
"Maximum %1 characters","Maximum %1 characters"
"remaining","pozostałe"
"too many","too many"
"Sending attribute values as package.","Sending attribute values as package."
"This value does not follow the specified format (for example, 200X300).","This value does not follow the specified format (for example, 200X300)."
"Applies to category pages","Applies to category pages"
"Remember Category Pagination","Remember Category Pagination"
"Changing may affect SEO and cache storage consumption.","Changing may affect SEO and cache storage consumption."
"Images Upload Configuration","Images Upload Configuration"
"Quality","Jakość"
"Jpeg quality for resized images 1-100%.","Jpeg quality for resized images 1-100%."
"Cost","Koszt"
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Attributes were missing and must be specified.","Attributes were missing and must be specified."
"The value of Admin must be unique. (%1)","The value of Admin must be unique. (%1)"
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The category doesn't contain the specified product.","The category doesn't contain the specified product."
"The %1 value wasn't found in the algorithms.","The %1 value wasn't found in the algorithms."
"The filters are invalid. Set them in an array and try again.","The filters are invalid. Set them in an array and try again."
"The product wasn't registered.","The product wasn't registered."
"The store wasn't registered. Verify the store and try again.","The store wasn't registered. Verify the store and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
"The image content is invalid. Verify the content and try again.","The image content is invalid. Verify the content and try again."
"The product can't be saved.","The product can't be saved."
"The new media gallery entry failed to save.","The new media gallery entry failed to save."
"No image with the provided ID was found. Verify the ID and try again.","No image with the provided ID was found. Verify the ID and try again."
"The product doesn't exist. Verify and try again.","The product doesn't exist. Verify and try again."
"The image doesn't exist. Verify and try again.","The image doesn't exist. Verify and try again."
"The image doesn't exist.","The image doesn't exist."
"The image type for the file is invalid. Enter the correct image type and try again.","The image type for the file is invalid. Enter the correct image type and try again."
"The ""%1"" file couldn't be moved.","The ""%1"" file couldn't be moved."
"The ProductSku is empty. Set the ProductSku and try again.","The ProductSku is empty. Set the ProductSku and try again."
"The custom option couldn't be removed.","The custom option couldn't be removed."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The file options format is invalid. Use a correct format and try again.","The file options format is invalid. Use a correct format and try again."
"The file ""%1"" is empty. Select another file and try again.","The file ""%1"" is empty. Select another file and try again."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again."
"The required option wasn't entered. Enter the option and try again.","The required option wasn't entered. Enter the option and try again."
"The file is empty. Select another file and try again.","The file is empty. Select another file and try again."
"The text is too long. Shorten the text and try again.","The text is too long. Shorten the text and try again."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Tier price is unavailable for this product.","Tier price is unavailable for this product."
"The tier_price data is invalid. Verify the data and try again.","The tier_price data is invalid. Verify the data and try again."
"The group price couldn't be saved.","The group price couldn't be saved."
"The data was invalid. Verify the data and try again.","The data was invalid. Verify the data and try again."
"Values in the %1 attributes are invalid. Verify the values and try again.","Values in the %1 attributes are invalid. Verify the values and try again."
"We can't create the ""%1"" writeable directory.","We can't create the ""%1"" writeable directory."
"The file upload failed. Try to upload again.","The file upload failed. Try to upload again."
"The product has required options. Enter the options and try again.","The product has required options. Enter the options and try again."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group can't be deleted because it contains system attributes.","The attribute group can't be deleted because it contains system attributes."
"The collection provider isn't registered.","The collection provider isn't registered."
"The ""%1"" link type is unknown. Verify the type and try again.","The ""%1"" link type is unknown. Verify the type and try again."
"The ""%1"" link type wasn't found. Verify the type and try again.","The ""%1"" link type wasn't found. Verify the type and try again."
"The linked products data is invalid. Verify the data and try again.","The linked products data is invalid. Verify the data and try again."
"The product that was requested doesn't exist. Verify the product and try again.","The product that was requested doesn't exist. Verify the product and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The ""%1"" product couldn't be removed.","The ""%1"" product couldn't be removed."
"Category with ID: %s doesn't exist","Category with ID: %s doesn't exist"
"Product Name or SKU","Nazwa produktu lub SKU"
"Start typing to find products","Start typing to find products"
"Product with ID: %s doesn't exist","Product with ID: %s doesn't exist"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"Use Static URLs for Media Content in WYSIWYG","Use Static URLs for Media Content in WYSIWYG"
