"Root","Корінь"
"HTML is invalid","HTML is invalid"
"fl","fl"
"message","повідомлення"
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Неприпустиме значення Ціна= %price. ID рядка: SKU = %SKU, ID магазина: %storeId, Ціна від: %priceFrom, Ціна до: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Запитуваного магазина не знайдено. ID рядка: SKU = %SKU, ID магазина: %storeId, Ціна від: %priceFrom, Ціна до: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Неприпустиме значення %label = %priceTo. ID рядка: SKU = %SKU, ID магазина: %storeId, Ціна від: %priceFrom, Ціна до: %priceTo."
"Lock wait timeout","Lock wait timeout"
"123","123"
"Select...","Виберіть..."
"Images","Зображення"
"Category with ID: %s doesn't exist","Category with ID: %s doesn't exist"
"Product Name or SKU","Product Name or SKU"
"Start typing to find products","Start typing to find products"
"Product with ID: %s doesn't exist","Product with ID: %s doesn't exist"
"Advanced Pricing","Розширене ціноутворення"
"Customer Group Price","Customer Group Price"
"Customer Group","Група покупців"
"Special Price From","Спеціальна ціна з"
"To","До"
"Done","Готово"
"Product Alerts","Товарні оповіщення"
"Alert stock","Alert stock"
"Alert Stock","Alert Stock"
"Alert price","Alert price"
"Alert Price","Alert Price"
"Add Selected","Додати вибране"
"Select Attribute","Виберіть атрибут"
"Create New Attribute","Створити Новий Атрибут"
"Customizable Options","Опції, які можна підігнати"
"Custom options let customers choose the product variations they want.","Користувацькі опції дозволяють покупцям обрати варіації товару, які вони хочуть."
"Add Option","Додати опцію"
"New Option","Нова опція"
"Select Product","Виберіть товар"
"Option Title","Назва опції"
"Add Value","Додати значення"
"Title","Назва"
"Option Type","Тип опції"
"Required","Обов'язкове"
"Price Type","Тип ціни"
"Max Characters","Макс. символів"
"Compatible File Extensions","Сумісні розширення файлів"
"Enter separated extensions, like: png, jpg, gif.","Enter separated extensions, like: png, jpg, gif."
"Maximum Image Size","Максимальний розмір зображення"
"Please leave blank if it is not an image.","Будь ласка, залиште порожнім якщо це не є зображення."
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped"
"This item has weight","Ця позиція має вагу"
"This item has no weight","Ця позиція не має ваги"
"Set Product as New From","Виставити товар як новий з"
"Related Products, Up-Sells, and Cross-Sells","Супутні товари, up-sells, та перехресні продажі"
"Related products are shown to customers in addition to the item the customer is looking at.","Супутні товари відображаються покупцям на додаток до позиції, на яку дивиться покупець."
"Add Related Products","Додати споріднені товари"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Up-sell позиція запропонована покупцеві як дорожча або більш якісна альтернатива товару, на який дивиться покупець."
"Add Up-Sell Products","Додати up-sell продукти"
"Up-Sell Products","Товари підвищення продажів"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Ці товари ""імпульсного придбання"" з'являються поруч із кошиком як перехресні продажі до позицій, що вже в кошику."
"Add Cross-Sell Products","Додати товари для перехресного продажу"
"Cross-Sell Products","Товари перехресних продажів"
"Add Selected Products","Додати вибрані товари"
"Remove","Вилучити"
"Thumbnail","Мініатюра"
"Actions","Дії"
"Schedule Update From","Заплануваи оновлення з"
"Product in Websites","Товар на веб-сайтах"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites."
"name","назва"
"Copy Data from","Копіювати дані від"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Якщо немає жодної користувацької батьківської категорії, будь ласка, використовуйте типову батьківську категорію. Можна змінити призначення категорії в будь-який час у <a href=""%1"" target=""_blank"">Товари &gt; Категорії</a>."
"This operation can take a long time","Ця операція може забрати багато часу"
"Collapse All","Згорнути все"
"Expand All","Розгорнути все"
"Please confirm site switching. All data that hasn't been saved will be lost.","Будь ласка, підтвердіть зміну сайту. Всі незбережені дані буде втрачено."
"None","Жоден"
"Use Default Value","Використовувати типове значення"
"Manage Titles (Size, Color, etc.)","Керувати заголовками (розмір, колір тощо)"
"Manage Options (Values of Your Attribute)","Керувати опціями (значення вашого атрибуту)"
"Is Default","Є за промовчанням"
"Sort Option","Опція сортування"
"The value of Admin must be unique.","Значення ""Admin"" має бути унікальним."
"Groups","Групи"
"Double click on a group to rename it.","Подвійно клацніть по групі щоб перейменувати її."
"Unassigned Attributes","Непризначені атрибути"
"This group contains system attributes. Please move system attributes to another group and try again.","Ця група містить системні атрибути. Будь ласка, перемістіть системні атрибути в іншу групу та спробуйте знову."
"A name is required.","Необхідно вказати назву."
"Please select a node.","Please select a node."
"Please enter a new group name.","Будь ласка, введіть назву нової групи."
"An attribute group named ""/name/"" already exists.","An attribute group named ""/name/"" already exists."
"Sorry, we're unable to complete this request.","Вибачте, ми не в змозі виконати цей запит."
"You can't remove attributes from this attribute set.","Ви не можете видаляти атрибути з цього набору атрибутів."
"Custom Options","Користувацькі опції"
"This is a required option.","Це є обов'язкова опція."
"The field isn't complete.","Поле не заповнено."
"Compatible file extensions to upload","Сумісні розширення файлів для завантаження"
"Maximum image width","Максимальна ширина зображення"
"Maximum image height","Максимальна висота зображення"
"Maximum number of characters:","Максимальна кількість символів:"
"start typing to search template","почніть друкувати для пошуку шаблону"
"Product online","Товар в мережі"
"Product offline","Товар поза мережею"
"Product online status","Мережевий стан товару"
"Manage Stock","Керувати складом"
"Qty","Кіл-ть"
"Out-of-Stock Threshold","Поріг, після якого Немає в наявності"
"Minimum Qty Allowed in Shopping Cart","Мінімальна кіл-ть, дозволена у кошику"
"Maximum Qty Allowed in Shopping Cart","Максимальна кіл-ть, дозволена у кошику"
"Qty Uses Decimals","Для кіл-сті використовуються десяткові знаки"
"Backorders","Відкладені замовлення"
"Notify for Quantity Below","Повідомити для кількості, меншої за"
"Enable Qty Increments","Дозволити збільшення кіл-ті"
"Qty Increments","Збільшення кіл-ті"
"Stock Availability","Наявність на складі"
"In Stock","В наявності"
"Out of Stock","Немає в наявності"
"Add Product To Websites","Додати товар на веб-сайти"
"Remove Product From Websites","Видалити товар з веб-сайтів"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Щоб приховати позицію в каталозі або в результатах пошуку, встановіть статус на ""Відключений""."
"We can't save custom-defined options for bundles with dynamic pricing.","Ми не можемо зберегти користувацькі опції для комплектів з динамічним ціноутворенням."
"Delete Custom Option","Видалити користувацьку опцію"
"Sort Custom Options","Користувацькі опції сортування"
"Input Type","Тип вводу"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>пікс.</span>"
"Sort Custom Option","Користувацька опція сортування"
"Item Price","Ціна позиції"
"Action","Дія"
"and above","та вище"
"Delete Tier","Видалити Tier"
"Product In Websites","Товар на веб-сайтах"
"(Copy data from: %1)","(Копіювати дані з: %1)"
"Browse to find or drag image here","Огляд, щоб знайти або перетягніть зображення сюди"
"Delete image","Видалити зображення"
"Hidden","Прихований"
"Alt Text","Альт. текст"
"Role","Роль"
"Image Size","Розмір зображення"
"{size}","{size}"
"Image Resolution","Роздільна здатність зображення"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","Приховати зі сторінки товару"
"Allow Multiple Boxes for Shipping","Дозволити кілька коробок на доставку"
"start typing to search attribute","почніть друкувати для пошуку атрибуту"
"Basic Settings","Основні налаштування"
"Advanced Settings","Розширені налаштування"
"Changes have been made to this section that have not been saved.","Зміни, внесені до цієї секції, не були збережені."
"This tab contains invalid data. Please resolve this before saving.","Ця вкладка містить недійсні дані. Будь-ласка, виправте це перед збереженням."
"Mass Actions","Масові Дії"
"Select All","Вибрати все"
"Unselect All","Зняти Усі Виділення"
"Select Visible","Вибрати Видиме"
"Unselect Visible","Зняти Виділення з Вибраних"
"Special Price","Спеціальна ціна"
"Regular Price","Звичайна ціна"
"Buy %1 for: ","Придбати %1 за: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Придбати %1 по %2 за одиницю та <strong class=""benefit"">заощадити<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Придбати %1 по %2 за одиницю"
"You added product %1 to the <a href=""%2"">comparison list</a>.","You added product %1 to the <a href=""%2"">comparison list</a>."
"Shop By","Продукція за"
"Shopping Options","Варіанти товарів"
"Compare Products","Порівняти товари"
"Print This Page","Розрудукувати цю сторінку"
"Remove Product","Видалити продукт"
"Add to Cart","Додати в кошик"
"In stock","В наявності"
"Out of stock","Немає у наявності"
"Add to Wish List","Додати до Списку Бажань"
"You have no items to compare.","У Вас немає товарів для порівняння."
"Remove This Item","Видалити Цей Елемент"
"Compare","Порівняти"
"Clear All","Очистити всі"
"Prev","Поп-ній"
"Next","Наступне"
"We can't find products matching the selection.","Ми не можемо знайти товари, які відповідають вибраному."
"Learn More","Дізнатись більше"
"Add to Compare","Додати до порівняння"
"We found other products you might like!","Ми знайшли інші товари, які можуть вам сподобатися!"
"More Choices:","Більше варіантів:"
"Check items to add to the cart or","Позначте елементи, які додати до кошика, або"
"select all","вибрати все"
"Items %1-%2 of %3","Позиції %1-%2 з %3"
"%1 Item","%1 елемент"
"%1 Items","%1 елементи(ів)"
"Show","Показати"
"per page","на сторінці"
"Sort By","Сортувати за"
"Set Ascending Direction","Сортувати у порядку зменшення"
"Set Descending Direction","Сортувати у порядку збільшення"
"View as","Відобразити як"
"More Information","Докладніше"
"Maximum %1 characters","Maximum %1 characters"
"* Required Fields","* Обов'язкові поля"
"Availability","Наявність"
"Selected Attributes\:","Selected Attributes\:"
"Warning message","Попереджувальне повідомлення"
"We don't recognize or support this file extension type.","Ми не розпізнаємо або не підтримуємо це розширення файлу."
"Configure Product","Налаштувати товар"
"OK","ОК"
"This value does not follow the specified format (for example, 200X300).","This value does not follow the specified format (for example, 200X300)."
"Select type of option.","Виберіть тип опції."
"Please add rows to option.","Будь ласка, додайте рядки в опції"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"Choose existing category.","Виберіть наявну категорію."
"Image Detail","Деталі зображення"
"Adding...","Додаємо..."
"Added","Додано"
"remaining","remaining"
"too many","too many"
"does not implement Storage Interface","does not implement Storage Interface"
"unselect all","Зняти виділення з усього"
"Inventory","Інвентар"
"Edit Product Design","Edit Product Design"
"Edit Category Design","Edit Category Design"
"Catalog Section","Розділ каталогу"
"Small","Малий"
"Main","Основне"
"Custom image","Користувацьке зображення"
"Date and Time","Date and Time"
"Advanced","Advanced"
"Product Fields Auto-Generation","Автогенерація товарних полів"
"Mask for SKU","Маска для артиклю"
"Use {{name}} as Product Name placeholder","Використовувати {{name}} як покажчик місця заповнення назви товару"
"Mask for Meta Title","Маска для заголовку Meta"
"Mask for Meta Keywords","Маска для ключових слів Meta"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Використовувати {{name}} для назви товару або {{sku}} для артикула товару в якості покажчика місця заповнення"
"Mask for Meta Description","Маска для опису Meta"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Використовувати {{name}} і {{description}} для назви та опису товару в якості покажчика місця заповнення"
"Recently Viewed/Compared Products","Recently Viewed/Compared Products"
"Lifetime of products in Recently Viewed Widget","Lifetime of products in Recently Viewed Widget"
"Lifetime of products in Recently Compared Widget","Lifetime of products in Recently Compared Widget"
"Synchronize widget products with backend storage","Synchronize widget products with backend storage"
"Storefront","Вітрина"
"List Mode","Режим списку"
"Products per Page on Grid Allowed Values","Допустимі значення Товарів на сторінку по Сітці"
"Comma-separated.","Через кому."
"Products per Page on Grid Default Value","Типове значення Товарів на сторінку по Сітці"
"Must be in the allowed values list.","Must be in the allowed values list."
"Products per Page on List Allowed Values","Допустимі значення Товарів на сторінку у Списку"
"Products per Page on List Default Value","Типове значення Товарів на сторінку у Списку"
"Use Flat Catalog Category","Використовувати категорію плоского каталогу"
"Use Flat Catalog Product","Використовувати товар плоского каталогу"
"Product Listing Sort by","Сортування списку товарів"
"Applies to category pages.","Applies to category pages."
"Allow All Products per Page","Дозволити всі товари на сторінці"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Whether to show ""All"" option in the ""Show X Per Page"" dropdown."
"Remember Category Pagination","Remember Category Pagination"
"Changing may affect SEO and cache storage consumption.","Changing may affect SEO and cache storage consumption."
"Product Image Placeholders","Заповнювач для зображення товару"
"Search Engine Optimization","Пошукова оптимізація (SEO)"
"Page Title Separator","Роздільник заголовку сторінки"
"Use Canonical Link Meta Tag For Categories","Використовувати мета-тег канонічного посилання для категорій"
"Use Canonical Link Meta Tag For Products","Використовувати мета-тег канонічного посилання для товарів"
"Catalog Price Scope","Діапазон цін каталогу"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Цей параметр визначає межі базової грошової одиниці (""Налагодження валюти"" > ""Опції валюти"" > ""Базова грошова одиниця"")."
"Display Category Filter","Display Category Filter"
"Category Top Navigation","Верхня навігація категорії"
"Maximal Depth","Максимальна глибина"
"Date & Time Custom Options","Користувацькі опції дати та часу"
"Use JavaScript Calendar","Використовувати календар JavaScript"
"Date Fields Order","Порядок полів дати"
"Time Format","Формат часу"
"Year Range","Діапазон року"
"Please use a four-digit year format.","Будь ласка, використовуйте чотирьох-числовий формат дати."
"Use Static URLs for Media Content in WYSIWYG","Use Static URLs for Media Content in WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Top Level Category","Категорія верхнього рівня"
"Default Layouts","Default Layouts"
"Default Product Layout","Default Product Layout"
"Default Category Layout","Default Category Layout"
"Catalog media URL format","Catalog media URL format"
"Images should be optimized based on query parameters by your CDN or web server. Use the legacy mode for backward compatibility. <a href=""https://docs.magento.com/user-guide/configuration/general/web.html#url-options"">Learn more</a> about catalog URL formats.<br/><br/><strong style=""color:red"">Warning!</strong> If you switch back to legacy mode, you must <a href=""https://devdocs.magento.com/guides/v2.4/frontend-dev-guide/themes/theme-images.html#resize-catalog-images"">use the CLI to regenerate images</a>.","Images should be optimized based on query parameters by your CDN or web server. Use the legacy mode for backward compatibility. <a href=""https://docs.magento.com/user-guide/configuration/general/web.html#url-options"">Learn more</a> about catalog URL formats.<br/><br/><strong style=""color:red"">Warning!</strong> If you switch back to legacy mode, you must <a href=""https://devdocs.magento.com/guides/v2.4/frontend-dev-guide/themes/theme-images.html#resize-catalog-images"">use the CLI to regenerate images</a>."
"System","Система"
"Images Upload Configuration","Images Upload Configuration"
"Quality","Quality"
"Jpeg quality for resized images 1-100%.","Jpeg quality for resized images 1-100%."
"Product Info Column","Колонка інформації про товар"
"Block after Info Column","Блокувати після інформаційної колонки"
"Product Flat Data","Пласкі дані товарів"
"Reorganize EAV product structure to flat structure","Реорганізувати EAV структуру товарів у пласку структуру"
"Category Flat Data","Пласкі дані категорії"
"Reorganize EAV category structure to flat structure","Реорганізувати EAV структуру категорій у пласку структуру"
"Category Products","Продукти категорії"
"Indexed category/products association","Індексовані асоціації категорії/товари"
"Product Categories","Категорії товарів"
"Indexed product/categories association","Індексовані асоціації товари/категорії"
"Product Price","Ціна товару"
"Index product prices","Індексувати ціни товарів"
"Product EAV","EAV товарів"
"Index product EAV","Індексувати EAV товарів"
"Catalog New Products List","Перелік нових продуктів каталогу"
"List of Products that are set as New","Перелік товарів, позначених як нові"
"Display Type","Тип відображення"
"All products - recently added products, New products - products marked as new","Усі товари - нещодавно додані товари, Нові товари - товари, позначені як нові"
"All products","Усі товари"
"New products","Нові товари"
"Display Page Control","Відображати органи керування сторінкою"
"Number of Products per Page","Кількість товарів на сторінці"
"Number of Products to Display","Кількість товарів для показу"
"Template","Шаблон"
"New Products Grid Template","Шаблон сітки нових товарів"
"New Products List Template","Шаблон списку нових товарів"
"New Products Images and Names Template","Шаблон зображень та назв нових товарів"
"New Products Names Only Template","Шаблон самих назв нових товарів"
"New Products Images Only Template","Шаблон самих зображень нових товарів"
"Cache Lifetime (Seconds)","Строк життя кешу (секунд)"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
"Catalog Product Link","Посилання на товар каталогу"
"Link to a Specified Product","Посилання на вказаний товар"
"Select Product...","Виберіть товар..."
"Anchor Custom Text","Користувацький текст якоря"
"If empty, we'll use the product name here.","Якщо порожньо, ми використаємо тут назву товару."
"Anchor Custom Title","Користувацький заголовок якоря"
"Product Link Block Template","Блочний шаблон посилання на товар"
"Product Link Inline Template","Рядний шаблон посилання на товар"
"Catalog Category Link","Посилання на категорію каталогу"
"Link to a Specified Category","Посилання на вказану категорію"
"Select Category...","Виберіть категорію..."
"If empty, we'll use the category name here.","Якщо порожньо, ми використаємо тут назву категорії."
"Category Link Block Template","Блочний шаблон посилання на категорію"
"Category Link Inline Template","Рядний шаблон посилання на категорію"
"Recently Viewed Products","Нещодавно переглянуті товари"
"List of Products Recently Viewed by Visitor","Перелік товарів нещодавно переглянутих відвідувачем"
"UI Component","UI Component"
"Number of Products to display","Кількість товарів для показу"
"Product attributes to show","Властивості товару для показу"
"Image","Зображення"
"Learn More Link","Щоб дізнатися більше, перейдіть за посиланням"
"Buttons to show","Кнопки для показу"
"Add to Wishlist","Додати до списку бажань"
"Viewed Products Grid Template","Таблична форма переглянутих товарів"
"Viewed Products List Template","Шаблон списку переглянутих товарів"
"Viewed Products Sidebar Template","Шаблон бічної панелі переглянутих товарів"
"Recently Compared Products","Нещодавно порівняні товари"
"List of Products Recently Compared by Visitor","Список товарів нещодавно порівняних відвідувачем"
"Compared Products Grid Template","Таблична форма порівняних товарів"
"Compared Products List Template","Шаблон списку порівняних товарів"
"Set","Встановити"
"Category Information","Інформація щодо категорії"
"Enable Category","Увімкнути категорію"
"Include in Menu","Включити до Меню"
"Content","Вміст"
"Category Image","Зображення категорії"
"Description","Опис"
"Add CMS Block","Додати CMS-блок"
"Display Settings","Налаштування показу"
"Display Mode","Display Mode"
"Anchor","Якір"
"Available Product Listing Sort By","Available Product Listing Sort By"
"Use All","Використати все"
"Default Product Listing Sort By","Default Product Listing Sort By"
"Layered Navigation Price Step","Крок ціни у багаторівневій навігації"
"URL Key","Ключ URL-адреси"
"Meta Title","Meta заголовок"
"Meta Keywords","Meta ключові слова"
"Meta Description","Meta опис"
"Products in Category","Товари в категорії"
"Design","Дизайн"
"Theme","Тема"
"Layout","Розмітка"
"Layout Update XML","XML оновлення розмітки"
"Custom Layout Update","Custom Layout Update"
"Apply Design to Products","Застосувати дизайн до товарів"
"Schedule Design Update","Запланувати оновлення дизайну"
"AttributeSetText","AttributeSetText"
"StatusText","ТекстСтану"
"Product Image Watermarks","Водяні знаки для зображення товару"
"Base","Основа"
"Allowed file types: jpeg, gif, png.","Дозволені типи файлів: jpeg, gif, png."
"Image Opacity","Прозорість зображення"
"Example format: 200x300.","Приклад формату: 200x300."
"Image Position","Положення зображення"
"Attribute Properties","Властивості атрибута"
"Attribute Label","Етикетка атрибуту"
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Catalog Input Type for Store Owner","Тип входу каталога для власника магазину"
"Values","Значення"
"Add this attribute to the list of column options in the product grid.","Додати цей атрибут до списку опцій стовпця у сітці товару."
"Add this attribute to the list of filter options in the product grid.","Додати цей атрибут до списку опцій фільтра у сітці товару."
"All Store Views","Усі Види Магазинів"
"Delete selected items?","Видалити вибрані елементи?"
"Delete items","Видалити елементи"
"Change status","Змінити стан"
"Enable","Увімкнути"
"Disable","Вимкнути"
"Update attributes","Оновити атрибути"
"Overview","Огляд"
"Skip to the end of the images gallery","Перейти до кінця галереї зображень"
"Skip to the beginning of the images gallery","Перейти до початку галереї зображень"
"Details","Подробиці"
"Recently Compared","Нещодавно порівняні"
"Add To Cart","Додати в кошик"
"Add To Compare","Додати до порівняння"
"Learn more","Дізнатися більше"
"Recently Viewed","Нещодавно переглянуті"
