"Root","Racine"
"A product type is not defined for the indexer.","Aucun type de produit n'est défini pour l'indexer."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 n'étend pas \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","Le produit portant la REF '%1' n'est pas lié au produit portant la REF '%2'"
"Multiple Select","Sélection multiple"
"Dropdown","Liste déroulante"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 n'étend pas \Magento\Framework\Filter\Template"
"As low as","Prix à partir de"
"test","test"
"Some text is here.","Un texte est ici."
"Some exception","Certaines exceptions"
"Could not get extension attributes","Impossible d'obtenir les attributs d'extension"
"message","Message"
"fl","fl"
"Lock wait timeout","Délai d'attente de vérrouillage"
"123","123"
"Images","Images"
"Select...","Sélectionner..."
"Advanced Pricing","Tarification avancée"
"Customer Group Price","Prix par groupe client"
"Customer Group","Groupe de clients"
"Special Price From","Prix spécial depuis"
"To","À"
"Done","Fait"
"Product Alerts","Alertes du produit"
"Alert stock","Alerte stock"
"Alert Stock","Alerte Stock"
"Alert price","Alerte prix"
"Alert Price","Alerte prix"
"Add Selected","Ajouter la sélection"
"Select Attribute","Sélectionnez les attributs"
"Create New Attribute","Créer un nouvel attribut"
"Customizable Options","Options personnalisables"
"Custom options let customers choose the product variations they want.","Les options personnalisées permettent aux clients de choisir les variations de produit qu’ils veulent."
"Add Option","Ajouter une option"
"New Option","Nouvelle option"
"Select Product","Choisir un produit"
"Option Title","Titre de l'option"
"Add Value","Ajouter une valeur"
"Title","Titre"
"Option Type","Type d'option"
"Required","Obligatoire"
"Price Type","Type de prix"
"Max Characters","Nombre maxi de caractères"
"Compatible File Extensions","Extensions de fichier compatible"
"Enter separated extensions, like: png, jpg, gif.","Renseigner des extensions différentes, telles que : png, jpg, gif."
"Maximum Image Size","Taille d'image maximum"
"Please leave blank if it is not an image.","Laisser vide si ce n'est pas une image."
"%1","%1"
"This item has weight","Cet article a un poids"
"This item has no weight","Cet article n’a aucun poids"
"Set Product as New From","Définir le produit comme Nouveau à partir de"
"Related Products, Up-Sells, and Cross-Sells","Produits apparentés, Ventes incitatives et Ventes croisées"
"Related products are shown to customers in addition to the item the customer is looking at.","Les produits apparentés sont montrés aux clients en plus du produit que le client voit."
"Add Related Products","Ajouter des produits apparentés"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Un article en vente incitative est proposé au client comme un produit plus cher ou de plus haute qualité comme alternative au produit que le client voit."
"Add Up-Sell Products","Ajouter des produits en vente incitative"
"Up-Sell Products","Produits Ventes incitatives"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Ces produits ""achats impulsifs"" apparaissent à coté du panier comme vente croisée aux articles déjà dans le panier."
"Add Cross-Sell Products","Ajouter des produits ventes croisées"
"Cross-Sell Products","Produits Ventes croisées"
"Add Selected Products","Ajouter les produits sélectionnés"
"Remove","Supprimer"
"Thumbnail","Miniature"
"Actions","Actions"
"Schedule Update From","Programmer les mise à jour à partir de"
"Product in Websites","Produit dans les sites Web"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Si votre installation de Magento a plusieurs sites Web, vous pouvez modifier le champ d’application pour utiliser le produit sur des sites spécifiques."
"name","nom"
"Copy Data from","Copier des données depuis"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","S’il n’y a pas de catégories parent personnalisées, merci d'utiliser la catégorie parent par défaut. Vous pouvez réaffecter la catégorie à tous moments dans <a href=""%1"" target=""_blank""> Produits &gt; Catégories</a>."
"This operation can take a long time","Cette opération peut prendre un certain temps"
"Collapse All","Tout réduire"
"Expand All","Tout développer"
"Please confirm site switching. All data that hasn't been saved will be lost.","Veuillez confirmer le changement de site. Toutes les données non sauvegardées seront perdues."
"Use Default Value","Utiliser la valeur par défaut"
"Manage Titles (Size, Color, etc.)","Gérer les titres (taille, couleur, etc.)"
"Manage Options (Values of Your Attribute)","Gérer les options (valeurs de votre attribut)"
"Is Default","Est par défaut"
"Sort Option","Options de tri"
"Groups","Groupes"
"Double click on a group to rename it.","Double-cliquez sur un groupe pour le renommer."
"Unassigned Attributes","Attributs non assignés"
"A name is required.","Un nom est requis."
"This group contains system attributes. Please move system attributes to another group and try again.","Ce groupe contient des attributs système. Veuillez déplacer les attributs système vers un autre groupe et réessayer."
"Please select a node.","Veuillez sélectionner un noeud."
"Please enter a new group name.","Veuillez entrer un nouveau nom de groupe."
"An attribute group named ""/name/"" already exists.","Un jeu d’attributs nommé ""/name/"" existe déjà."
"Sorry, we're unable to complete this request.","Désolé, nous ne pouvons pas remplir cette demande."
"You can't remove attributes from this attribute set.","Vous ne pouvez pas supprimer des attributs de cet ensemble d’attributs."
"Custom Options","Options personnalisables"
"This is a required option.","Cette option est requise."
"The field isn't complete.","Le champ n’est pas complet."
"Compatible file extensions to upload","Extensions de fichier autorisées pour l'envoi"
"Maximum image width","Largeur maximum d'image"
"Maximum image height","Hauteur maximum d'image"
"Maximum number of characters:","Nombre maxi de caractères :"
"start typing to search template","commencez à taper pour rechercher un gabarit"
"Product online","Produit en ligne"
"Product offline","Produit hors ligne"
"Product online status","Statut de produit en ligne"
"Manage Stock","Gérer les stocks"
"Qty","Qté"
"Out-of-Stock Threshold","Seuil de rupture de Stock"
"Minimum Qty Allowed in Shopping Cart","Quantité mini autorisée dans le panier"
"Maximum Qty Allowed in Shopping Cart","Quantité maxi autorisée dans le panier"
"Qty Uses Decimals","La quantité utilise des décimales"
"Backorders","Commande en rupture de stock"
"Notify for Quantity Below","Notifier quand la quantité passe en dessous de"
"Enable Qty Increments","Activer les incréments de quantités"
"Qty Increments","Incréments de quantités"
"Stock Availability","Disponibilité"
"In Stock","En stock"
"Out of Stock","Épuisé"
"Add Product To Websites","Ajouter le produit aux sites web"
"Remove Product From Websites","Supprimer le produit des sites web"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Pour cacher un produit dans le catalogue ou dans les résultats de recherche, mettre le statut ""Désactivé""."
"We can't save custom-defined options for bundles with dynamic pricing.","Nous ne pouvons pas enregistrer les options personnalisées pour les forfaits avec tarification dynamique."
"Delete Custom Option","Supprimer l'option personnalisable"
"Sort Custom Options","Trier les options personnalisables"
"Input Type","Type de saisie"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","Trier les options personnalisables"
"Item Price","Prix de l'article"
"Action","Action"
"and above","et plus"
"Delete Tier","Effacer le palier"
"Product In Websites","Publier dans les sites web"
"(Copy data from: %1)","(Copier les données depuis : %1)"
"Browse to find or drag image here","Parcourir pour trouver ou déplacez l’image ici"
"Delete image","Effacer l'image"
"Hidden","Caché"
"Alt Text","Texte alternatif"
"Role","Rôle"
"Image Size","Taille de l’image"
"{size}","{size}"
"Image Resolution","Résolution de l'image"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","Cacher sur la Page du produit"
"Allow Multiple Boxes for Shipping","Autoriser plusieurs colisages pour l'expédition"
"start typing to search attribute","commencez à taper pour rechercher un attribut"
"Basic Settings","Paramètres de base"
"Advanced Settings","Paramètres avancés"
"Changes have been made to this section that have not been saved.","Des modifications ont été apportées à cette section qui n'ont pas été enregistrées."
"This tab contains invalid data. Please resolve this before saving.","Cet onglet contient des données non valides. Veuillez les corriger avant d'enregistrer."
"Mass Actions","Actions en masse"
"Select All","Sélectionner tout"
"Unselect All","Désélectionner tout"
"Select Visible","Sélectionner les éléments visibles"
"Unselect Visible","Désélectionner les éléments visibles"
"Special Price","Prix spécial"
"Regular Price","Ancien prix"
"Buy %1 for: ","Achetez-en %1 pour : "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Achetez-en %1 pour %2 l'unité et <strong class=""benefit"">économisez<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Achetez-en %1 pour %2 l'unité"
"Shop By","Filtrer par"
"Shopping Options","Affiner la recherche"
"Compare Products","Comparer des produits"
"Print This Page","Imprimer cette page"
"Remove Product","Enlever le produit"
"Add to Cart","Ajouter au panier"
"In stock","En stock"
"Out of stock","Épuisé"
"Add to Wish List","Ajouter à la liste d'achats"
"You have no items to compare.","Vous n'avez pas d'articles à comparer."
"Remove This Item","Retirer cet élément"
"Compare","Comparer"
"Clear All","Tout supprimer"
"Prev","Précédent"
"Next","Suivant"
"We can't find products matching the selection.","Nous ne pouvons pas trouver de produits correspondants à la sélection."
"Learn More","En savoir plus"
"Add to Compare","Ajouter au comparateur"
"We found other products you might like!","Nous avons trouvé d'autres produits que vous pourriez aimer !"
"More Choices:","Plus de choix :"
"Check items to add to the cart or","Cochez les articles à ajouter au panier ou"
"select all","tout sélectionner"
"Items %1-%2 of %3","Articles %1-%2 sur %3"
"%1 Item","%1 article"
"%1 Items","%1 articles"
"Show","Afficher"
"per page","par page"
"Sort By","Trier par"
"Set Ascending Direction","Par ordre croissant"
"Set Descending Direction","Par ordre décroissant"
"View as","Afficher en"
"More Information","Plus d'infos"
"Loading...","En cours de chargement..."
"* Required Fields","* Champs obligatoires"
"Availability","Disponibilité"
"Warning message","Message d’avertissement"
"Submit","Valider"
"We don't recognize or support this file extension type.","Le type de fichier n'est pas reconnu ou n'est pas autorisé."
"Configure Product","Configurer le produit"
"OK","OK"
"This value does not follow the specified format (for example, 200x300).","Cette valeur ne suit pas le format spécifié (par exemple, 200x300)."
"Select type of option.","Choisissez un type d'option."
"Please add rows to option.","Veuillez ajouter des lignes à l'option"
"Please select items.","Sélectionnez des éléments."
"Choose existing category.","Choisissez une catégorie existante."
"Image Detail","Détail de l’image"
"Adding...","En cours d'ajout..."
"Added","Ajouté"
"does not implement Storage Interface","n'implémente pas l'interface de stockage"
"unselect all","tout désélectionner"
"Inventory","Inventaire"
"Catalog Section","Section catalogue"
"Small","Petit"
"Main","Principal"
"Custom image","Image personnalisée"
"Product Fields Auto-Generation","Auto-génération de champs de produits"
"Mask for SKU","Gabarit de la REF"
"Use {{name}} as Product Name placeholder","Utiliser {{name}} comme nom de produit remplacant"
"Mask for Meta Title","Masque pour le titre Meta"
"Mask for Meta Keywords","Masque pour les mots clés Meta"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Utiliser {{name}} comme nom de produit ou {{sku}} comme espaces réservés REF produit"
"Mask for Meta Description","Masque pour la description Meta"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Utiliser {{name}} et {{description}} comme nom de produit et description produit"
"Recently Viewed/Compared Products","Produits récemment consultés/comparés"
"Lifetime of products in Recently Viewed Widget","Durée de vie des produits dans le Widget des produits vus récemment"
"Lifetime of products in Recently Compared Widget","La durée de vie des produits Récemment par Rapport Widget"
"Synchronize widget products with backend storage","Synchroniser widget produits avec backend de stockage"
"Storefront","Vitrine"
"List Mode","Mode d'affichage"
"Products per Page on Grid Allowed Values","Valeurs autorisées pour le nombre de produits par page dans l'affichage en grille"
"Comma-separated.","Séparées par des virgules."
"Products per Page on Grid Default Value","Produits par page dans l'affichage en grille"
"Must be in the allowed values list","Doit être dans la liste des valeurs autorisées"
"Products per Page on List Allowed Values","Produits par page dans l'affichage en liste"
"Products per Page on List Default Value","Produits par page dans l'affichage en liste par défaut"
"Use Flat Catalog Category","Utiliser le catalogue à plat pour les catégories"
"Use Flat Catalog Product","Utiliser le catalogue à plat pour les produits"
"Product Listing Sort by","Tri des listes de produits"
"Allow All Products per Page","Autoriser tous les produits par page"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Si option ""Tous"" dans le ""Afficher les X Par Page"" liste déroulante"
"Allow Dynamic Media URLs in Products and Categories","Autoriser les URLs de media dynamiques dans les produits et catégories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Par ex. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Le parsing des directives dynamiques peut affecter les performances du catalogue."
"Product Image Placeholders","Emplacements de l'image par défaut des produits"
"Search Engine Optimization","Optimisation pour les moteurs de recherche"
"Page Title Separator","Séparateur de titre de page"
"Use Canonical Link Meta Tag For Categories","Utiliser un lien canonique de meta tag pour les catégories"
"Use Canonical Link Meta Tag For Products","Utiliser un lien canonique de meta tag pour les produits"
"Catalog Price Scope","Portée des prix catalogue"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Ceci définit la devise de base champ d'application (la""Monnaie d'Installation"" > ""Options de change"" > ""Devise de Base"")."
"Category Top Navigation","Navigation dans les catégories"
"Maximal Depth","Profondeur maxi"
"Date & Time Custom Options","Options de date & heure personnalisées"
"Use JavaScript Calendar","Utiliser le calendrier JavaScript"
"Date Fields Order","Ordre des champs de date"
"Time Format","Format d'heure"
"Year Range","Période annuelle"
"Please use a four-digit year format.","Veuillez utiliser un format année sur quatre chiffres."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Utiliser les URLs statiques pour le contenu média dans l'éditeur WYSIWYG pour le catalogue"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Cela s'applique uniquement au catalogue de produits et de catégories. Le contenu des médias sera inséré dans l'éditeur comme une URL statique. Le contenu des médias n'est pas mis à jour si le système de configuration de la base de changements de l'URL."
"Top Level Category","Catégorie de niveau supérieur"
"Product Info Column","Colonne d'information de produit"
"Block after Info Column","Bloc après la colonne d'information"
"Product Flat Data","Données fixes de produit"
"Reorganize EAV product structure to flat structure","Réorganise la structure de produit EAV en une structure fixe"
"Category Flat Data","Données fixes de catégorie"
"Reorganize EAV category structure to flat structure","Réorganise la structure de catégorie EAV en une structure fixe"
"Category Products","Produits de la catégorie"
"Indexed category/products association","Index des associations catégorie/produits"
"Product Categories","Catégories du produit"
"Indexed product/categories association","Association des produits et catégories indexés"
"Product Price","Prix du produit"
"Index product prices","Index des tarifs produit"
"Product EAV","Produit EAV"
"Index product EAV","Index produits EAV"
"Catalog New Products List","Liste des nouveaux produits du catalogue"
"List of Products that are set as New","Liste des produits configurés comme ""Nouveaux"""
"Display Type","Type d'affichage"
"All products - recently added products, New products - products marked as new","Tous les produits - produits ajoutés récemment, nouveaux produits - produits configurés comme nouveaux"
"All products","Tous les produits"
"New products","Nouveaux produits"
"Display Page Control","Contrôle de l'affichage de la page"
"Number of Products per Page","Nombre de produits par page"
"Number of Products to Display","Nombre de produits à afficher"
"Template","Gabarit"
"New Products Grid Template","Gabarit des nouveaux produits sous forme de grille"
"New Products List Template","Gabarit des nouveaux produits sous forme de liste"
"New Products Images and Names Template","Nouveau des Images de Produits et Noms de Modèle"
"New Products Names Only Template","De Nouveaux Produits Uniquement Des Noms De Modèle"
"New Products Images Only Template","Gabarit des images des nouveaux produits"
"Cache Lifetime (Seconds)","Durée de vie du cache (secondes)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 par défaut, si non renseigné. Pour actualiser, purgez le cache de sortie des blocs HTML."
"Catalog Product Link","Lien produit catalogue"
"Link to a Specified Product","Lien vers un produit spécifique"
"Select Product...","Choisir un produit..."
"Anchor Custom Text","Présenter un texte personnalisé"
"If empty, we'll use the product name here.","Si le champ est vide, le nom du produit sera utilisé ici."
"Anchor Custom Title","Présenter un titre personnalisé"
"Product Link Block Template","Gabarit de lien produit (bloc)"
"Product Link Inline Template","Gabarit de lien produit (en ligne)"
"Catalog Category Link","Lien vers les catégories de catalogue"
"Link to a Specified Category","Lien vers une catégorie spécifique"
"Select Category...","Choisir une catégorie..."
"If empty, we'll use the category name here.","Si le champ est vide, le nom de la catégorie sera utilisée ici."
"Category Link Block Template","Gabarit du bloc lien catégorie"
"Category Link Inline Template","Gabarit inline de lien catégorie"
"Recently Viewed Products","Derniers produits consultés"
"List of Products Recently Viewed by Visitor","Liste des derniers produits vus par le visiteur"
"UI Component","UI composant"
"Number of Products to display","Nombre de produits à afficher"
"Product attributes to show","Attributs produits à afficher"
"Image","Image"
"Learn More Link","Lien En savoir plus"
"Buttons to show","Boutons à afficher"
"Add to Wishlist","Ajouter à la liste d'achats"
"Viewed Products Grid Template","Modèle de grille des produits visualisés"
"Viewed Products List Template","Modèle de liste des produits visualisés"
"Viewed Products Sidebar Template","Modèle de menu des produits visualisés"
"Recently Compared Products","Produits récemment comparés"
"List of Products Recently Compared by Visitor","Liste des produits récemment comparés par le Visiteur"
"Compared Products Grid Template","Modèle de grille des produits comparés"
"Compared Products List Template","Modèle de liste des produits comparés"
"Set","Paramétrer"
"Category Information","Information sur la catégorie"
"Enable Category","Activez la catégorie"
"Include in Menu","Inclure dans le Menu"
"Content","Contenu"
"Category Image","Catégorie image"
"Description","Description"
"Add CMS Block","Ajouter un bloc CMS"
"Display Settings","Paramètres d'affichage"
"Display Mode","Mode d'affichage"
"Anchor","Ancre"
"Available Product Listing Sort By","Tri de liste de produits disponibles par"
"Use All","Utiliser l’ensemble"
"Default Product Listing Sort By","Tri de liste par défaut de produits"
"Layered Navigation Price Step","Paliers de prix de navigation filtrée"
"URL Key","Clé d'URL"
"Meta Title","Titre méta"
"Meta Keywords","Mots-clés meta"
"Meta Description","Méta description"
"Products in Category","Produits de la catégorie"
"Design","Design"
"Theme","Nom de fichier du flux TheFind"
"Layout","Agencement"
"Layout Update XML","XML de mise à jour d'agencement"
"Apply Design to Products","Appliquer le design aux produits"
"Schedule Design Update","Programmation de la mise à jour du design"
"AttributeSetText","AttributeSetText"
"StatusText","TexteStatut"
"Product Image Watermarks","Filigranes d'images de produits"
"Base","Base"
"Allowed file types: jpeg, gif, png.","Fichiers acceptés : jpeg, gif, png."
"Image Opacity","Opacité de l’image"
"Example format: 200x300.","Exemple de format : 200 x 300."
"Image Position","Position de l’image"
"Attribute Properties","Propriétés de l'attribut"
"Attribute Label","Libelle d'attribut"
"Catalog Input Type for Store Owner","Type d'entrée catalogue pour le propriétaire du magasin"
"Values","Valeurs"
"Add this attribute to the list of column options in the product grid.","Ajoutez cet attribut à la liste des options de la colonne dans la grille de produit."
"Add this attribute to the list of filter options in the product grid.","Ajoutez cet attribut à la liste des options de filtrage dans la grille de produit."
"System","Système"
"All Store Views","Toutes les vues magasin"
"Delete selected items?","Supprimer les éléments sélectionnés ?"
"Delete items","Supprimer les éléments"
"Change status","Changer un statut"
"Enable","Activer"
"Disable","Désactiver"
"Update attributes","Modifier les attributs"
"Overview","Aperçu"
"Skip to the end of the images gallery","Passer à la fin de la galerie d’images"
"Skip to the beginning of the images gallery","Passer au début de la Galerie d’images"
"Details","Détails"
"Recently Compared","Dernières comparaisons"
"Add To Cart","Ajouter au panier"
"Add To Compare","Ajouter au comparateur"
"Learn more","En savoir plus"
"Recently Viewed","Vu récemment"
"Save Category","Sauvegarder la catégorie"
"Delete Category","Supprimer cette catégorie"
"New Subcategory","Nouvelle sous-catégorie"
"New Root Category","Nouvelle catégorie racine"
"Set Root Category for Store","Renseigner la catégorie racine pour la boutique"
"Custom Design","Design personnalisé"
"Category Data","Données de catégorie"
"Not shared with other products","Non partagé avec les autres produits"
"Declare attribute value saving scope","Déclarer la portée d'économie de valeurs d'attributs"
"Depends on design theme","Dépendant du thème de design"
"We saved the price alert subscription.","Nous avons enregistré l'abonnement à l'alerte de prix."
"We saved the stock notification.","Nous avons enregistré la notification de stock."
"Images and Videos","Images et vidéos"
"Click here or drag and drop to add images.","Effacer l'image"
"Make Base","La rendre de Base"
"There was a category move error. %1","Il y a eu une erreur de déplacement de catégorie. %1"
"You moved the category","Vous avez déplacé de la catégorie"
"This product no longer exists.","Ce produit n'existe plus."
"We can't find the image file.","Nous ne pouvons pas trouver le fichier image."
"productFactory is already set","productFactory est déjà défini"
"Could not save product option","Impossible d'enregistrer l'option du produit"
"Product option with id %1 does not exist","L'option du produit avec l'id %1 n'existe pas"
"Are you sure you want to delete this category?","Êtes-vous sûr(e) de vouloir supprimer cette catégorie ?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Définir la catégorie racine pour ce magasin dans la configuration <a href=""%1""></a>."
"Manage Options (values of your attribute)","Gérer les options (valeurs de votre attribut)"
"An attribute group named ""/name/"" already exists"".","Un groupe d'attributs nommé ""/name/"" existe déjà""."
"Close panel","Fermer le panneau"
"Allow Multiple Boxes for Shipping.","Autoriser la livraison en plusieurs colis."
"Ok","OK"
"Watermark Default Size","Taille par défaut du filigrane"
"Watermark Opacity, Percent","Pourcentage d'opacité du filigrane"
"Watermark","Filigrane"
"Watermark Position","Positionnement du filigrane"
"none","aucun"
"File validation failed.","Échec de la validation du fichier."
"text","texte"
"Tier Price","Tarification par palier"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Si votre site Magento comporte plusieurs vues, vous pouvez définir la portée à appliquer à une vue spécifique."
"Sort Products By","Trier les produits par"
"Default Product Sorting","Ordre de tri par défaut des produits"
"Use Parent Category Settings","Utiliser les paramètres de la catégorie parent"
"Page not found","Page non trouvée"
"Full file path is expected.","Le chemin complet du fichier est attendu."
"from","depuis"
"to","à"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","L'attribut n'a pas pu être sauvegardé en raison d'une erreur. Vérifiez vos informations et réessayez. Si l'erreur persiste, veuillez réessayer plus tard."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","L'attribut n'a pas pu être validé à cause d'une erreur. Vérifiez vos informations et réessayez. Si l'erreur persiste, veuillez réessayer plus tard."
"Tier prices data should be array, but actually other type is received","Les données des prix de niveau doivent être tableau, mais en fait d'autres types sont reçus"
"Price indexer ""%1"" must implement %2 or %3","L'indexeur de prix ""%1"" doit implémenter %2 ou %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","Vous avez ajouté le produit %1 à la liste de comparaison <a href=""%2""></a>."
"Maximum %1 characters","Maximum %1 caractères"
"remaining","restant"
"too many","trop"
"Sending attribute values as package.","Envoi des valeurs d'attributs en tant que paquet."
"This value does not follow the specified format (for example, 200X300).","Cette valeur ne suit pas le format spécifié (par exemple, 200x300)."
"Applies to category pages","S'applique aux pages de catégorie"
"Remember Category Pagination","Se souvenir de la Pagination de catégorie"
"Changing may affect SEO and cache storage consumption.","La modification peut affecter le SEO et de stockage de cache."
"Images Upload Configuration","Configuration des téléchargements d'images"
"Quality","Qualité"
"Jpeg quality for resized images 1-100%.","Qualité Jpeg pour les images redimensionnées de 1 à 100%."
"Cost","Coût"
"The ""%1"" attribute is required. Enter and try again.","L'attribut ""%1"" est requis. Entrez et réessayez."
"Attributes were missing and must be specified.","Des attributs manquent et sont obligatoires."
"The value of Admin must be unique. (%1)","La valeur pour Admin doit être unique. (%1)"
"The product was unable to be saved. Please try again.","Il n'a pas été possible de sauvegarder ce produit. Veuillez réessayer."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","La valeur de l'attribut ""%1"" n'est pas unique. Indiquez une valeur unique et réessayez."
"The category doesn't contain the specified product.","La catégorie ne contient pas le produit spécifié."
"The %1 value wasn't found in the algorithms.","La valeur %1 n'a pas été trouvée dans l’algorithme."
"The filters are invalid. Set them in an array and try again.","Les filtres ne sont pas valides. Veuillez les paramétrer dans le tableau et réessayer."
"The product wasn't registered.","Le produit n'a pas été enregistré."
"The store wasn't registered. Verify the store and try again.","Le magasin n'a pas été enregistré. Vérifiez le magasin et réessayez."
"The ""%1"" attribute value is empty. Set the attribute and try again.","La valeur de l'attribut ""%1"" est vide. Paramétrez l'attribut et réessayez."
"The attribute set couldn't be created because it's based on a non-product attribute set.","Le jeu d'attributs ne peut pas être créé parce qu'il est basé sur un jeu de non-produits."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","Le jeu d'attributs ne peut pas être créé parce qu'il est basé sur un jeu inexistant."
"The image content is invalid. Verify the content and try again.","Le contenu d'image n'est pas valide. Veuillez vérifier le contenu et réessayer."
"The product can't be saved.","Le produit ne peut pas être sauvegardé."
"The new media gallery entry failed to save.","Le nouvel élément de la galerie média n'a pas pu être sauvegardé."
"No image with the provided ID was found. Verify the ID and try again.","Aucune image avec l'ID donnée n'a été trouvée. Vérifiez l'ID et réessayez."
"The product doesn't exist. Verify and try again.","Le produit n'existe pas. Vérifiez et réessayez."
"The image doesn't exist. Verify and try again.","L'image n'existe pas. Vérifiez et réessayez."
"The image doesn't exist.","L'image n'existe pas."
"The image type for the file is invalid. Enter the correct image type and try again.","Le type d'image pour le fichier n'est pas valide. Veuillez saisir le type d'image adéquat et réessayer."
"The ""%1"" file couldn't be moved.","Le fichier ""%1"" ne peut pas être déplacé."
"The ProductSku is empty. Set the ProductSku and try again.","La référence du produit est vide. Entrez une référence et réessayez."
"The custom option couldn't be removed.","L'option personnalisée n'a pas pu être supprimée."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","Le(s) option(s) obligatoire(s) n'est (ne sont) pas choisie(s). Assurez-vous que les options sont entrées et ressayez."
"The file options format is invalid. Use a correct format and try again.","Le format d'options de fichier n'est pas valide. Veuillez utiliser un format adéquat et réessayer."
"The file ""%1"" is empty. Select another file and try again.","Le fichier ""%1"" est vide. Sélectionnez un autre fichier et réessayez."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","La validation a échoué. Assurez-vous que les options requises sont entrées et que le fichier est téléchargé, puis réessayez."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","Le fichier était trop lourd et n'a pas pu être téléchargé. Prenez un fichier dont la taille est inférieure à %1 MBs et renouvelez l'opération."
"The required option wasn't entered. Enter the option and try again.","L'option requise n'a pas été saisie. Entrez l'option et réessayez."
"The file is empty. Select another file and try again.","Le fichier est vide. Sélectionnez un autre fichier et renouvelez l'opération."
"The text is too long. Shorten the text and try again.","Le texte est trop long. Raccourcir le texte, puis réessayez."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Le produit demandé n'existe pas. Vérifiez le produit et réessayez. ID ligne : SKU = %SKU, ID de magasin : %storeId, Prix depuis : %priceFrom, Prix jusqu'à : %priceTo."
"Tier price is unavailable for this product.","Prix par paliers n'est pas disponible pour ce produit."
"The tier_price data is invalid. Verify the data and try again.","Les données tier_price sont invalides. Vérifiez les données et réessayez."
"The group price couldn't be saved.","Le prix du groupe n'a pas pu être enregistré."
"The data was invalid. Verify the data and try again.","La donnée n'est pas valide. Veuillez la vérifier et réessayer."
"Values in the %1 attributes are invalid. Verify the values and try again.","Les valeurs dans les attributs %1 sont non valides. Vérifiez les valeurs et réessayez."
"We can't create the ""%1"" writeable directory.","Impossible de créer le ""%1"" répertoire accessible en écriture."
"The file upload failed. Try to upload again.","Le téléchargement de votre fichier a échoué. Essayez de télécharger à nouveau."
"The product has required options. Enter the options and try again.","Le produit nécessite des options. Sélectionnez les options et essayez à nouveau."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","Le groupe avec l'identifiant ""%1"" n'existe pas. Vérifiez l'identifiant et essayez à nouveau."
"The attribute group can't be deleted because it contains system attributes.","Le groupe d'attributs ne peut pas être supprimé car il contient des attributs système."
"The collection provider isn't registered.","Le fournisseur de collection n'est pas enregistré."
"The ""%1"" link type is unknown. Verify the type and try again.","Le type de lien ""%1"" est inconnu. Vérifiez le et essayez à nouveau."
"The ""%1"" link type wasn't found. Verify the type and try again.","Le type de lien ""%1"" n'a pas été trouvé. Vérifiez-le et essayez à nouveau."
"The linked products data is invalid. Verify the data and try again.","Les données des produits liés ne sont pas valides. Veuillez vérifier les données et réessayer."
