"Root","Корен"
"This item has no weight","Този артикул няма тегло"
"Set Product as New From","Задай продукта като нов от"
"Related Products, Up-Sells, and Cross-Sells","Свързани продукти, Up-Sells, and Cross-Sells"
"Related products are shown to customers in addition to the item the customer is looking at.","Свързаните продукти се показват на клиентите като допълнение към продукта, който те гледат."
"Add Related Products","Добави свързани продукти"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","На клиента, му е предожен и Up-sell продукт на по-добра цена или с по-високо качество, като алтернатива на изделието, което той търси."
"Add Up-Sell Products","Доабви Up-Sell продукти"
"Up-Sell Products","Up-Sell продукти"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Тези ""импулсивно-купувани"" продукти се разполагат веднага до кошницата с вече желани продукти, като ""допълнително за купуване"" продукти."
"Add Cross-Sell Products","Добави Cross-Sell продукти"
"Cross-Sell Products","Cross-Sell продукти"
"Add Selected Products","Добави избраните продукти"
"Remove","Премахване"
"Thumbnail","Миниатюра"
"Actions","Действия"
"Schedule Update From","Задай график на актиуализацията от"
"Product in Websites","Продукти в уебсайтове"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Ако вашата Magento инсталация има множество уеб сайтове, можете да редактирате обхвата за използване продукта на конкретни сайтове."
"name","име"
"Copy Data from","Копирай дата от"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Ако съществуват родителси категории, използвайте нея. Може да презаредите категорията по всяко време <a href=""%1"" target=""_blank"">Продукти &gt; Категии</a>."
"This operation can take a long time","Тази операция може да отнеме повече време"
"Collapse All","Разпадни всичко"
"Expand All","Разшири всичко"
"Please confirm site switching. All data that hasn't been saved will be lost.","Потвърдете превключване на обхвата. Всички данни, които не са записани ще бъдат загубени."
"Use Default Value","Използвайте стойност по подразбиране"
"Manage Titles (Size, Color, etc.)","Управление на заглавия (Размер, Цвят, други)"
"Manage Options (Values of Your Attribute)","Управление на опции (Стойности на вашите атрибути)"
"Is Default","Е по подразбиране"
"Sort Option","Сортирай опция"
"Groups","Групи"
"Double click on a group to rename it.","Кликнете два пъти върху групата за да я преименувате."
"Unassigned Attributes","Неопределени атрибути"
"A name is required.","Изисква се име"
"This group contains system attributes. Please move system attributes to another group and try again.","Тази група съдържа системни атрибути. Моля премахнете системните атрибути и опитайте отново."
"Please select a node.","Моля изберете възел."
"Please enter a new group name.","Моля въведете ново име на групата"
"An attribute group named ""/name/"" already exists.","Атрибут група с име ""/name/""вече съществува""."
"Sorry, we're unable to complete this request.","За съжаление не можем да изпълним това искане."
"You can't remove attributes from this attribute set.","Не можете да премахнете атрибути от този атрибут набор."
"Custom Options","Персонализирани опции"
"This is a required option.","Това е задължителна опция."
"The field isn't complete.","Полето не е завършено."
"Compatible file extensions to upload","Съвместими файлови разширения за качване"
"Maximum image width","Максимална широчина на изображението"
"Maximum image height","Максимална височина на изображението"
"Maximum number of characters:","Максимален брой символи:"
"start typing to search template","започнете да пишете за да търсите в темата"
"Product online","Онлайн продукт"
"Product offline","Офлайн продукт"
"Product online status","Онлайн статус на продукта"
"Manage Stock","Управление на наличности"
"Qty","Кол-во"
"Out-of-Stock Threshold","Праг на изчерпана наличност"
"Minimum Qty Allowed in Shopping Cart","Позволено минимално количество в количката"
"Maximum Qty Allowed in Shopping Cart","Позволено максимално количество за количката за пазаруване"
"Qty Uses Decimals","Количеството използва десетици"
"Backorders","Поръчки за неналични продукти"
"Notify for Quantity Below","Уведоми за ниско количество"
"Enable Qty Increments","Позволи увеличаване на количеството"
"Qty Increments","Увеличаване на количеството"
"Stock Availability","Складова наличност"
"In Stock","В наличност"
"Out of Stock","Няма наличност"
"Add Product To Websites","Добави продукти към уебсайтовете"
"Remove Product From Websites","Премахни продукт от уебсайтовете"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Задайте статус ""Невключен"", за да скриете продукт от каталога или резултатите за търсене"
"We can't save custom-defined options for bundles with dynamic pricing.","потребителски дефинираните опции с динамично ценообразуване не могат да бъдат запазени."
"Delete Custom Option","Изтрий персонализирана опция"
"Sort Custom Options","Сортирай персонализираните опции"
"Input Type","Вмъкни тип"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","Сортирай персонализирана опция"
"Item Price","Артикулна цена"
"Action","Действие"
"and above","и нагоре"
"Delete Tier","Изтриване ред"
"Product In Websites","Продукт в уебсайтове"
"(Copy data from: %1)","(Копирай дата от: %1)"
"Browse to find or drag image here","Прегледайте да намерите или плъзнете изображението тук"
"Delete image","Изтрий изображение"
"Hidden","Скрит"
"Alt Text","Алтернативен текст"
"Role","Роля"
"Image Size","Размер на изображението"
"{size}","{size}"
"Image Resolution","Резолюция на изображението"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","Скрий от страницата на продуктите"
"Allow Multiple Boxes for Shipping","Позволи няколко кутии за доставка"
"start typing to search attribute","започнете да пишете, за да намерите атрибут"
"Basic Settings","Основни настройки"
"Advanced Settings","Разширени настройки"
"Changes have been made to this section that have not been saved.","В тази секция са направени промени, които не са запазени."
"This tab contains invalid data. Please resolve this before saving.","Този раздел съдържа невалидни данни. Моля, оправете това преди записване."
"Mass Actions","Масови действия"
"Select All","Маркиране на всичко"
"Unselect All","Размаркирай всички"
"Select Visible","Избери видими"
"Unselect Visible","Премахни избора на видими"
"Special Price","Промо цена"
"Regular Price","Редовна цена"
"Buy %1 for: ","Купи %1 за: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Купете %1 за %2 всеки и <strong class=""benefit"">спестете<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Купете %1 за %2 всеки"
"Shop By","Пазаруване по"
"Shopping Options","Опции за пазаруване"
"Compare Products","Сравни продуктите"
"Print This Page","Отпечатай тази страница"
"Remove Product","Премахни продукт"
"Add to Cart","Добави в количка"
"In stock","На склад"
"Out of stock","Изчерпано количество"
"Add to Wish List","Добави към Списък с желани продукти"
"You have no items to compare.","Нямате артикули за сравнение."
"Remove This Item","Премахнете този елемент"
"Compare","Сравни"
"Clear All","Изчисти всички"
"Prev","Предишен"
"Next","Напред"
"We can't find products matching the selection.","Не можем да намерим продукти, отговарящи на селекцията."
"Learn More","Научете повече"
"Add to Compare","Добави за сравнение"
"We found other products you might like!","Намерихме още продукти, които ще ви харесат!"
"More Choices:","Още възможности:"
"Check items to add to the cart or","Проверете артикулите за добавяне в количката или"
"select all","избери всички"
"Items %1-%2 of %3","Артикули %1-%2 от %3"
"%1 Item","%1 Артикул"
"%1 Items","%1 Артикули"
"Show","Покажи"
"per page","на страница"
"Sort By","Сортирай по"
"Set Ascending Direction","Настрой възходяща посока"
"Set Descending Direction","Настрой низходяща посока"
"View as","Виж като"
"More Information","Повече информация"
"Loading...","Зареждане..."
"* Required Fields","* Задължителни полета"
"Availability","Наличност"
"Warning message","Предупредително съобщение"
"Submit","Изпрати"
"We don't recognize or support this file extension type.","Не разпознаваме или не поддържаме този тип файлово разширение."
"Configure Product","Конфигуриране на продукт"
"OK","ОК"
"This value does not follow the specified format (for example, 200x300).","Тази стойност не следва определен формат (например, 200 X 300)."
"Select type of option.","Изберете тип на опция."
"Please add rows to option.","Моля, добавете редове към опция."
"Please select items.","Моля изберете елементи."
"Choose existing category.","Изберете съществуваща категория."
"Image Detail","Детайли за изображението"
"Adding...","Добавяне..."
"Added","Добавен"
"does not implement Storage Interface","не е реализиран Складов интерфейс"
"unselect all","премахване на избора от всички"
"Inventory","Наличност"
"Catalog Section","Раздел на каталога"
"Small","Малък"
"Main","Основен"
"Custom image","По избор изображение"
"Product Fields Auto-Generation","Автоматично генериране на продуктови полета"
"Mask for SKU","Маска за кат. номер"
"Use {{name}} as Product Name placeholder","Използвайте {{name}} като основа за име на продукта"
"Mask for Meta Title","Маска за мета заглавие"
"Mask for Meta Keywords","Маска за мета ключови думи"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Използвайте {{name}} като име на продукта или {{sku}} като основа за кат. номер"
"Mask for Meta Description","Маска за мета описание"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Използвайте {{name}} и {{description}} като основа за име и описание на продукта"
"Recently Viewed/Compared Products","Наскоро гледани/сравнение продукти"
"Lifetime of products in Recently Viewed Widget","Време за живот на продукти в Приспособлението Скоро Разгледани Продукти"
"Lifetime of products in Recently Compared Widget","Време за живот на продукти в Приспособлението Скоро Разгледани Продукти"
"Synchronize widget products with backend storage","Синхронизиране на продукти от Приспособлението с основното хранилище"
"Storefront","Електронен магазин"
"List Mode","Режим на списък"
"Products per Page on Grid Allowed Values","Продукти на страница, допустими стойности при мрежово показване"
"Comma-separated.","Разделени със запетая."
"Products per Page on Grid Default Value","Продукти на страница, стойност по подразбиране при мрежово показване"
"Must be in the allowed values list","Трябва да бъде в списъка с позволени стойности"
"Products per Page on List Allowed Values","Продукти на страница, позволени стойности при списъчно показване"
"Products per Page on List Default Value","Продукти на страница, стойност по подразбиране при списъчно показване"
"Use Flat Catalog Category","Използвай плоска категоризация на каталога"
"Use Flat Catalog Product","Използвай плосък продуктов каталог"
"Product Listing Sort by","Сортиране на продуктовия списък по"
"Allow All Products per Page","Позволи показване на всички продукти на страница"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Дали да се показва опция ""Всички"" в списъка ""Покажи X на страница"""
"Allow Dynamic Media URLs in Products and Categories","Позволи динамични адреси за изображенията в продукти и категории"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Напр. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Обработката на динамичните стойности влияе върху производителността на каталога."
"Product Image Placeholders","Изображение, заместващо продуктовите снимки"
"Search Engine Optimization","Оптимизация за търсачки"
"Page Title Separator","Разделител за заглавието на страницата"
"Use Canonical Link Meta Tag For Categories","Използване на канонични мета тагове за категории"
"Use Canonical Link Meta Tag For Products","Използване на канонични мета тагове за продукти"
"Catalog Price Scope","Обхват на цените в каталога"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Това определя обхвата на основната валута (""Валута настройка"" > ""Валутни опции"" > ""Базова валута"")."
"Category Top Navigation","Категория навигация най-отгоре"
"Maximal Depth","Максимална дълбочина"
"Date & Time Custom Options","Опции за Дата & време"
"Use JavaScript Calendar","Използвай JavaScript календар"
"Date Fields Order","Полетата за данни на поръчка"
"Time Format","Времеви формат"
"Year Range","Годишен диапазон"
"Please use a four-digit year format.","Моля, използвайте формат на година с четири цифри."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Използвайте статичен URL адреси за мултимедийно съдържание в WYSIWYG за каталог"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Това се отнася само за продукти и категории от каталога. Медийното съдържание ще бъде вмъкнато в редактора като статични URL. Медийното съдържание не се актуализира, ако конфигурацията на системната база URL се промени."
"Top Level Category","Топ ниво категория"
"Product Info Column","Продукт информация колона"
"Block after Info Column","Блок след информация за колона"
"Product Flat Data","Продуктови плоски данни"
"Reorganize EAV product structure to flat structure","Реорганизирате EAV продуктовата структура към плоска структура"
"Category Flat Data","Плоски данни за категория"
"Reorganize EAV category structure to flat structure","Реорганизиране на EAV категория структура към плоска структура"
"Category Products","Категория продукти"
"Indexed category/products association","Асоцииране на индексирани категория/продукти"
"Product Categories","Продуктови категории"
"Indexed product/categories association","Асоцииране на индексирани продукти/категории"
"Product Price","Цена на продукта"
"Index product prices","Индекс на цени на продукти"
"Product EAV","Продукт EAV"
"Index product EAV","Индексиране на EAV продукт"
"Catalog New Products List","Списък на нови продукти в каталога"
"List of Products that are set as New","Списък на продуктите, които са зададени като нови"
"Display Type","Тип на показване"
"All products - recently added products, New products - products marked as new","Всички продукти - последно добавени продукти, нови продукти - продукти, обозначени като нови"
"All products","Всички продукти"
"New products","Нови продукти"
"Display Page Control","Контрол на показването на страница"
"Number of Products per Page","Брой продукти на страница"
"Number of Products to Display","Брой продукти за показване"
"Template","Шаблон"
"New Products Grid Template","Нови продукти, шаблон мрежа"
"New Products List Template","Нови продукти, шаблон списък"
"New Products Images and Names Template","Шаблон на имена и изображения за нови продукти"
"New Products Names Only Template","Шаблон само на имена за нови продукти"
"New Products Images Only Template","Шаблон само на изображения за нови продукти"
"Cache Lifetime (Seconds)","Запазване на кеша (секунди)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 от по подразбиране, ако не е зададено друго. За да обновите веднага, изчистете кеша на блокове HTML изход."
"Catalog Product Link","Каталог продуктова връзка"
"Link to a Specified Product","Връзка към определен продукт"
"Select Product...","Изберете продукт..."
"Anchor Custom Text","Котва текст по избор"
"If empty, we'll use the product name here.","Ако е празно, ние ще използваме името на продукта тук."
"Anchor Custom Title","Котва потребителско заглавие"
"Product Link Block Template","Шаблон на блокова продуктова връзка"
"Product Link Inline Template","Шаблон на линейна продуктова връзка"
"Catalog Category Link","Връзка на категория в каталога"
"Link to a Specified Category","Връзка към определена категория"
"Select Category...","Изберете категория..."
"If empty, we'll use the category name here.","Ако е празно, ще използваме името на категорията."
"Category Link Block Template","Шаблон на категория блокова връзка"
"Category Link Inline Template","Шаблон на категория линейна връзка"
"Recently Viewed Products","Последно видени продукти"
"List of Products Recently Viewed by Visitor","Списък на продуктите, наскоро са гледани от посетител"
"UI Component","Компонент на ПИ"
"Number of Products to display","Брой продукти за показване"
"Product attributes to show","Визуализация на атрибути на продукта"
"Image","Изображение"
"Learn More Link","Връзката за повече информация"
"Buttons to show","Бутони за показване"
"Add to Wishlist","Добави в Желани"
"Viewed Products Grid Template","Видяни продукти шаблон мрежа"
"Viewed Products List Template","Видяни продукти шаблон списък"
"Viewed Products Sidebar Template","Шаблон на Страничната лента за Разгледани продукти"
"Recently Compared Products","Скорошно сравнени продукти"
"List of Products Recently Compared by Visitor","Списък на продуктите, наскоро сравнявани от посетителя"
"Compared Products Grid Template","Сравнение продукти шаблон мрежа"
"Compared Products List Template","Сравнение продукти шаблон списък"
"Set","Задаване"
"Category Information","Информация за категорията"
"Enable Category","Включи категорията"
"Include in Menu","Включи в менюто"
"Content","Съдържание"
"Category Image","Снимка за категория"
"Description","Описание"
"Add CMS Block","Добави CMS блок"
"Display Settings","Настройки на показване"
"Display Mode","Режим на показване"
"Anchor","Текст към линк"
"Available Product Listing Sort By","Наличен продукт листинг сортиране по"
"Use All","Използване на всички"
"Default Product Listing Sort By","По подразбиране продукт листинг сортиране по"
"Layered Navigation Price Step","Ценова навигация стъпка по стъпка"
"URL Key","URL ключ"
"Meta Title","Мета заглавие"
"Meta Keywords","Мета ключови думи"
"Meta Description","Мета описание"
"Products in Category","Продукти в категория"
"Design","Дизайн"
"Theme","Тема"
"Layout","Оформление"
"Layout Update XML","Актуализацията на оформлението на XML"
"Apply Design to Products","Приложи дизайна на продуктите"
"Schedule Design Update","График за актуализация на дизайна"
"AttributeSetText","ГрупаАтрибутиТекст"
"StatusText","ТекстСтатус"
"Product Image Watermarks","Водни знаци за продуктови изображения"
"Base","База"
"Allowed file types: jpeg, gif, png.","Разрешени типове файлове: jpeg, gif, png."
"Image Opacity","Непрозрачност на изображението"
"Example format: 200x300.","Примерен формат: 200 x 300."
"Image Position","Позиция на изображението"
"Attribute Properties","Свойствата на атрибута"
"Attribute Label","Атрибут етикет"
"Catalog Input Type for Store Owner","Вход в каталог за собственик на магазин"
"Values","Стойности"
"Add this attribute to the list of column options in the product grid.","Добави този атрибут в списъка на опциите за филтриране в мрежата на продукта."
"Add this attribute to the list of filter options in the product grid.","Добави този атрибут в списъка на опциите за филтриране в мрежата на продукта."
"System","Системи"
"All Store Views","Изгледи на всички магазини"
"Delete selected items?","Да се изтрият ли избраните артикули?"
"Delete items","Изтрий артикулите"
"Change status","Промени статус"
"Enable","Разреши"
"Disable","Деактивиране"
"Update attributes","Актуализирай атрибути"
"Overview","Общ преглед"
"Skip to the end of the images gallery","Преминете към края на галерията на изображенията"
"Skip to the beginning of the images gallery","Преминете към началото на галерия със снимки"
"Details","Детайли"
"Recently Compared","Наскоро сравнени продукти"
"Add To Cart","Купи"
"Add To Compare","Добави за Cравнение"
"Learn more","Научи повече"
"Recently Viewed","Скорошно разгледани"
"Save Category","Запиши категория"
"Delete Category","Изтрий категория"
"New Subcategory","Нова подкатегория"
"New Root Category","Нова основна категория"
"Set Root Category for Store","Задаванена основна категория на магазин"
"Custom Design","Персонализиран дизайн"
"Category Data","Категория данни"
"Not shared with other products","Не е споделена с други продукти"
"Declare attribute value saving scope","Декларирай обхват на атрибута за запазване на записите"
"Depends on design theme","Зависи от дизайна на темата"
"We saved the price alert subscription.","Записан абонамент за предупреждение за цена."
"We saved the stock notification.","Записахме известието от склада."
"Images and Videos","Снимки и видео"
"Click here or drag and drop to add images.","Щракнете тук, или плъзнете и пуснете да добавите изображения."
"Make Base","Направи база"
"There was a category move error. %1","Има грешка в движението на категорията. %1"
"You moved the category","Вие преместихте категорията"
"This product no longer exists.","Този продукт вече не съществува."
"We can't find the image file.","Не може да намери файла с изображението."
"productFactory is already set","productFactory е вече зададен"
"Could not save product option","Не може да запише продукт опция"
"Product option with id %1 does not exist","Продукт опция с Ид %1 не съществува"
"Are you sure you want to delete this category?","Сигурни ли сте, че искате да изтриете категорията?"
"ID: %1","ИД: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Задайте основна категория за този магазин в <a href=""%1""> конфигурацията</a>."
"Manage Options (values of your attribute)","Управление на опции (Стойности на вашите атрибути)"
"An attribute group named ""/name/"" already exists"".","Атрибут група с име ""/name/""вече съществува""."
"Close panel","Затвори панел"
"Allow Multiple Boxes for Shipping.","Позволи няколко кутии за доставка."
"Ok","OK"
"Watermark Default Size","Воден знак по подразбиране размер"
"Watermark Opacity, Percent","Воден знак непрозрачност, процент"
"Watermark","Воден знак"
"Watermark Position","Позиция на воден знак"
"none","няма"
"File validation failed.","Контролът на файла пропадна."
"text","текст"
"Tier Price","Редовна цена"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Ако вашият Магенто сайт има няколко вариант на изглед, можете да зададете обсега на определен изглед."
"Sort Products By","Сортиране на продуктите по"
"Default Product Sorting","Сортиране на продуктите по подразбиране"
"Use Parent Category Settings","Използвайте родителски настройки на категория"
"Page not found","Страницата не е намерена"
"Full file path is expected.","Очаква се пълен път до файла."
"from","от"
"to","до"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","Атрибутът не може да бъде записан поради грешка. Прегледайте информацията си и опитайте отново. Ако грешката остава, моля опитайте по-късно."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","Атрибутът не може да бъде потвърден поради грешка. Прегледайте информацията си и опитайте отново. Ако грешката остава, моля опитайте по-късно."
"Tier prices data should be array, but actually other type is received","Данните за ценовите нива трябва да бъдат масиви, но всъщност е получен друг тип"
"Price indexer ""%1"" must implement %2 or %3","Ценовия индексатор ""%1"" трябва да включва %2 или %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","Добавихте продукт %1 към <a href=""%2"">сравнителния списък</a>."
"Maximum %1 characters","Максимално %1 символи"
"remaining","оставащо"
"too many","прекалено много"
"Sending attribute values as package.","Изпращане на стойности на атрибут като пакет."
"This value does not follow the specified format (for example, 200X300).","Тази стойност не следва определения формат (например, 200 X 300)."
"Applies to category pages","Отнася се за страниците с категории"
"Remember Category Pagination","Запомняне на Странирането на Категория"
"Changing may affect SEO and cache storage consumption.","Промяната може да повлияе SEO и консумирането на кеш наличността."
"Images Upload Configuration","Конфигуриране на Качването на снимки"
"Quality","Качество"
"Jpeg quality for resized images 1-100%.","Качество на jpeg за преоразмерени снимки 1-100%."
"Cost","Стойност"
"The ""%1"" attribute is required. Enter and try again.","Атрибутът ""%1"" е необходим. Въведете и опитайте отново."
"Attributes were missing and must be specified.","Има лисващи атрибути, които трябва да бъдат посочени."
"The value of Admin must be unique. (%1)","Стойността на Admin трябва да е уникална. (%1)"
"The product was unable to be saved. Please try again.","Продуктът не може да се запише. Моля опитайте отново."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","Стойността на атрибута ""%1"" не е уникална. Моля задайте уникална стойност и опитайте пак."
"The category doesn't contain the specified product.","Категорията не съдържа посочения продукт."
"The %1 value wasn't found in the algorithms.","Стойността %1 не съществува в алгоритмите."
"The filters are invalid. Set them in an array and try again.","Филтрите са невалидни. Въведете ги в масив и опитайте пак."
"The product wasn't registered.","Продуктът не е регистриран."
"The store wasn't registered. Verify the store and try again.","Този магазин не може да бъде намерен. Проверете магазина и опитайте отново."
"The ""%1"" attribute value is empty. Set the attribute and try again.","Стойността на атрибут ""%1"" е празна. Посочете атрибут и опитайте отново."
"The attribute set couldn't be created because it's based on a non-product attribute set.","Групата атрибути не може да бъде създадена защото е базирана на група атрибути за не-продукти."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","Групата атрибути не може да бъде създадена защото е базирана на несъществуваща група атрибути."
"The image content is invalid. Verify the content and try again.","Съдържанието на снимката е невалидно. Проверете съдържанието и опитайте пак."
"The product can't be saved.","Продуктът не може да бъде записан."
"The new media gallery entry failed to save.","Новото въвеждане в Медия Галерия не можа да се запише."
"No image with the provided ID was found. Verify the ID and try again.","Няма снимка с посоченото ID. Проверете ID'то и опитайте пак."
"The product doesn't exist. Verify and try again.","Продуктът не съществува. Проверете и опитайте пак."
"The image doesn't exist. Verify and try again.","Снимката не съществува. Проверете и опитайте пак."
"The image doesn't exist.","Снимката не съществува."
"The image type for the file is invalid. Enter the correct image type and try again.","Типът на файла на снимката е невалиден. Моля въведете коректен тип за снимка и опитайте пак."
"The ""%1"" file couldn't be moved.","Файлът ""%1"" не може да се мести."
"The ProductSku is empty. Set the ProductSku and try again.","ProductSku е празно. Въведете ProductSku и опитайте пак."
"The custom option couldn't be removed.","Персонализираната опция не може да бъде премахната."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","Необходимите опции на продукта(продуктите) не са въведени. Уверете се, че те са въведени и опитайте пак."
"The file options format is invalid. Use a correct format and try again.","Форматът за файлови опции е невалиден. Използвайте коректен формат и опитайте пак."
"The file ""%1"" is empty. Select another file and try again.","Файлът ""%1"" е празен. Изберете друг файл и опитайте пак."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","Потвърждението пропадна. Уверете се, че необходимите опции са въведени и файлът е качен и опитайте отново."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","Файлът е прекалено голям и не може да се качи. Използвайте файл по-малък от %1 MB и опитайте да качите отново."
"The required option wasn't entered. Enter the option and try again.","Необходимата опция не е въведена. Въведете опцията и опитайте отново."
"The file is empty. Select another file and try again.","Файлът е празен. Изберете друг файл и опитайте пак."
"The text is too long. Shorten the text and try again.","Текстът е много дълъг. Скъсете го и опитайте пак."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Заявеният продукт не съществува. Проверете продукта и опитайте отново. Ред ID: SKU = %SKU, Склад ID: %storeId, Ценова форма: %priceFrom, Цена към: %priceTo."
"Tier price is unavailable for this product.","Не е достъпна ценова линия за този продукт."
"The tier_price data is invalid. Verify the data and try again.","Tier_price данните са невалидни. Проверете и опитайте пак."
"The group price couldn't be saved.","Груповата цена не може да се запише."
"The data was invalid. Verify the data and try again.","Данните са невалидни. Проверете и опитайте пак."
"Values in the %1 attributes are invalid. Verify the values and try again.","Данните в %1 атрибути са невалидни. Проверете стойностите и опитайте пак."
"We can't create the ""%1"" writeable directory.","Не можахме да създаден записваема папка ""%1""."
"The file upload failed. Try to upload again.","Качването на файла е неуспешно. Опитайте да качите пак."
"The product has required options. Enter the options and try again.","Прудуктът има опции, които са задължителни. Въведете ги и опитайте пак."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","Не съществува група с ID ""%1"" ID. Проверете ID и опитайте пак."
"The attribute group can't be deleted because it contains system attributes.","Групата атрибути не може да се изтрие защото съдържа системни атрибути."
"The collection provider isn't registered.","Не е регистриран провайдърът на колекции."
"The ""%1"" link type is unknown. Verify the type and try again.","Типът на връзката ""%1"" е непознатПроверети типа и опитайте пак."
"The ""%1"" link type wasn't found. Verify the type and try again.","Не може да се открие типът на връзката ""%1"" link type wasn't found. Проверете типа и опитайте пак."
"The linked products data is invalid. Verify the data and try again.","Невалидни данни на свързаните продукти. Проверете данните и опитайте пак."
"The product that was requested doesn't exist. Verify the product and try again.","Заявеният продукт не съществува. Проверете продукта и опитайте пак."
"The Product with the ""%1"" SKU doesn't exist.","Не съществува Продукт със SKU ""%1""."
"The ""%1"" product couldn't be removed.","Продуктът ""%1"" не може да бъде премахнат."
"Category with ID: %s doesn't exist","Категория с ID: %s не съществува"
"Product Name or SKU","Име на продукта или SKU"
"Start typing to find products","Започнете да пишете за да намерите продукти"
"Product with ID: %s doesn't exist","Не съществува Продукт с ID: %s"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","В процесора %1 не е реализиран WysiwygConfigDataProcessorInterface. Ще бъде пропуснат"
"An item needs to be selected. Select and try again.","Трябв да бъде избрано изделие. Изберете и опитайте пак."
"Use Static URLs for Media Content in WYSIWYG","Използвайте статични URL адреси за мултимедийно съдържание в WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Медийното съдържание ще бъде вмъкнато като статичен URL адрес. Медийното съдържание няма да се актуализира, ако Системния базов URL адрес се промени."
"Default Layouts","Оформление по подразбиране"
"Default Product Layout","Оформление на продукт по подразбиране"
"Default Category Layout","Оформление на Категория по подразбиране"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Време в секунди между обновяванията на уджета.
                    <br/>ако не е зададено, се приема за 86400 секунди (24 часа). За да се обновява постоянно, отидете на Управление на Кеша и изчистете кеша: HTML изход за Блокове.
                    <br/>Уиджетът няма да показва продукти, удовлетворяващи зададено условие преди да се обнови кеша.
                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Типът въвеждане Текстов Редактор изисква WYSIWYG да е активирано в Магазини > Конфигурация > Управелние на Съдържанието."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Кодът на Атрибут ""%1"" е невалиден. Моля използвайте само букви (a-z or A-Z), цифри (0-9) или подчертаващо тире (_) в това поле, като пътрвият символ трябва да е буква."
"Advanced","Разширени"
