"Root","Radice"
"Product with SKU %1 is not linked to product with SKU %2","Il prodotto con SKU %1 non è collegato al prodotto con SKU %2"
"Multiple Select","Selezione multipla"
"Dropdown","Menu a tendina"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 non si estende a \Magento\Framework\Filter\Template"
"As low as","A partire da"
"test","test"
"Some text is here.","Parte del testo è qui."
"Some exception","Qualche eccezione"
"Could not get extension attributes","Impossibile ottenere attributi estensione"
"message","messaggio"
"fl","fl"
"Lock wait timeout","Timeout reperimento blocchi"
"123","123"
"Images","Immagini"
"Select...","Seleziona..."
"Advanced Pricing","Prezzi avanzati"
"Customer Group Price","Prezzo Gruppo Clienti"
"Customer Group","Gruppo Cliente"
"Special Price From","Prezzo speciale da"
"To","Al"
"Done","Fine"
"Product Alerts","Avvisi prodotto"
"Alert stock","Avviso stock"
"Alert Stock","Avviso Stock"
"Alert price","Avviso prezzo"
"Alert Price","Avviso Prezzo"
"Add Selected","Aggiungi l'elemento selezionato"
"Select Attribute","Selezionare gli attributi"
"Create New Attribute","Crea nuovo attributo"
"Customizable Options","Opzioni personalizzabili"
"Custom options let customers choose the product variations they want.","Le opzioni personalizzate permettono ai clienti di scegliere le varianti di prodotto che vogliono."
"Add Option","Aggiungi opzione"
"New Option","Nuova Opzione"
"Select Product","Seleziona prodotto"
"Option Title","Titolo opzione"
"Add Value","Aggiungi valore"
"Title","Titolo"
"Option Type","Tipo di opzioni"
"Required","Obbligatorio"
"Price Type","Tipo di prezzo"
"Max Characters","Numero massimo caratteri"
"Compatible File Extensions","Estensioni di File compatibili"
"Enter separated extensions, like: png, jpg, gif.","Immettere le estensioni separate, come: png, jpg, gif."
"Maximum Image Size","Dimensione massima dell'immagine"
"Please leave blank if it is not an image.","Lascia vuoto se non si tratta di un'immagine."
"%1","%1"
"This item has weight","Questo elemento ha il peso"
"This item has no weight","Questo articolo non ha alcun peso"
"Set Product as New From","Imposta prodotto come Nuovo dal"
"Related Products, Up-Sells, and Cross-Sells","Prodotti correlati, alternativi e consigliati"
"Related products are shown to customers in addition to the item the customer is looking at.","I prodotti correlati sono mostrati ai clienti in aggiunta all'elemento che stanno già guardando."
"Add Related Products","Aggiungi prodotti correlati"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Un prodotto alternativo è offerto al cliente come alternativa più costosa o di qualità più elevata al prodotto che sta guardando."
"Add Up-Sell Products","Aggiungi prodotto alternativo"
"Up-Sell Products","Prodotti alternativi"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Questi prodotti \"impulse-buy\" sono visualizzati accanto al carrello come prodotti consigliati per gli elementi già nel carrello."
"Add Cross-Sell Products","Aggiungi prodotti consigliati"
"Cross-Sell Products","Prodotti consigliati"
"Add Selected Products","Aggiungi prodotti selezionati"
"Remove","Elimina"
"Thumbnail","Miniatura"
"Actions","Azioni"
"Schedule Update From","Pianifica l'aggiornamento da"
"Product in Websites","Prodotto nei websites"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Se l'installazione di Magento ha più siti web, è possibile utilizzare il prodotto su siti specifici."
"name","nome"
"Copy Data from","Copiare i dati da"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Se non esistono categorie padre personalizzate, utilizza la categoria padre predefinita. È possibile riassegnare la categoria in qualsiasi momento in <a href=""%1"" target=""_blank""> Prodotti > Categorie</a>."
"This operation can take a long time","Questa operazione può richiedere molto tempo"
"Collapse All","Chiudi Tutto"
"Expand All","Mostra Tutto"
"Please confirm site switching. All data that hasn't been saved will be lost.","Si prega di confermare il cambio ambito di applicazione. Tutti i dati non salvati andranno persi."
"Use Default Value","Usa il valore predefinito"
"Manage Titles (Size, Color, etc.)","Gestisci titoli (dimensione, colori, ecc.)"
"Manage Options (Values of Your Attribute)","Gestisci le opzioni (valori dell'attributo)"
"Is Default","È predefinito"
"Sort Option","Opzioni di ordinamento"
"Groups","Gruppi"
"Double click on a group to rename it.","Doppio clic su un gruppo per rinominarlo."
"Unassigned Attributes","Attributi non assegnati"
"A name is required.","È richiesto un nome."
"This group contains system attributes. Please move system attributes to another group and try again.","Questo gruppo contiene degli attributi di sistema. Spostare gli attributi di sistema in un altro gruppo e riprovare."
"Please select a node.","Per favore seleziona un nodo."
"Please enter a new group name.","Inserisci il nome del nuovo gruppo."
"An attribute group named ""/name/"" already exists.","Un gruppo di attributi denominato ""/nome/"" esiste già."
"Sorry, we're unable to complete this request.","Impossibile completare questa richiesta."
"You can't remove attributes from this attribute set.","Non è possibile rimuovere gli attributi da questo set di attributi."
"Custom Options","Opzioni personalizzate"
"This is a required option.","Opzione obbligatoria."
"The field isn't complete.","Il campo non è completo."
"Compatible file extensions to upload","Estensioni file compatibili per l'upload"
"Maximum image width","Larghezza massima dell'immagine"
"Maximum image height","Altezza massima dell'immagine"
"Maximum number of characters:","Numero massimo di caratteri:"
"start typing to search template","digitare del testo per cercare un modello"
"Product online","Prodotto online"
"Product offline","Prodotto offline"
"Product online status","Stato del prodotto online"
"Manage Stock","Gestisci scorte"
"Qty","Qtà"
"Out-of-Stock Threshold","Soglia di non disponibilità"
"Minimum Qty Allowed in Shopping Cart","Qtà minima consentita nel carrello"
"Maximum Qty Allowed in Shopping Cart","Qtà massima consentita nel carrello"
"Qty Uses Decimals","Qtà utilizza decimali"
"Backorders","Inevasi"
"Notify for Quantity Below","Notifica per quantità inferiore"
"Enable Qty Increments","Abilita incrementi qtà"
"Qty Increments","Incrementi qtà"
"Stock Availability","Disponibilità"
"In Stock","Disponibile"
"Out of Stock","Non Disponibile"
"Add Product To Websites","Aggiungi prodotto ai siti web"
"Remove Product From Websites","Rimuovi il prodotto dai siti Web"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Per nascondere un articolo nei risultati di ricerca o nel catalogo, impostare lo stato su ""Disabilitato""."
"We can't save custom-defined options for bundles with dynamic pricing.","Impossibile salvare opzioni personalizzate per prodotti bundle con prezzo dinamico."
"Delete Custom Option","Elimina l'opzione personalizzata"
"Sort Custom Options","Ordina opzioni personalizzate"
"Input Type","Tipo di input"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","Ordina opzioni personalizzate"
"Item Price","Prezzo Articolo"
"Action","Azione"
"and above","e sopra"
"Delete Tier","Elimina fascia"
"Product In Websites","Prodotto In siti Web"
"(Copy data from: %1)","(Copia dati da: %1)"
"Browse to find or drag image here","Sfoglia o trascina l'immagine qui"
"Delete image","Elimina immagine"
"Hidden","Nascosto"
"Alt Text","Testo alternativo"
"Role","Ruolo"
"Image Size","Dimensione Immagine"
"{size}","{size}"
"Image Resolution","Risoluzione Immagine"
"{width}^{height} px","{width} ^{height} px"
"Hide from Product Page","Nascondi dalla pagina prodotto"
"Allow Multiple Boxes for Shipping","Consenti spedizioni con colli multipli"
"start typing to search attribute","inizia a digitare per cercare l'attributo"
"Basic Settings","Impostazioni di Base"
"Advanced Settings","Impostazioni Avanzate"
"Changes have been made to this section that have not been saved.","Sono state apportate modifiche a questa sezione che non sono state salvate."
"This tab contains invalid data. Please resolve this before saving.","Questa scheda contiene dati non validi. Risolvi il problema prima di salvare."
"Mass Actions","Azioni massive"
"Select All","Seleziona tutto"
"Unselect All","Deseleziona tutto"
"Select Visible","Seleziona visibili"
"Unselect Visible","Deseleziona visibili"
"Special Price","Prezzo speciale"
"Regular Price","Prezzo predefinito"
"Buy %1 for: ","Acquista %1 per: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Acquista %1 a %2 ciascuno e <strong class=""benefit"">risparmia<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Acquista %1 a %2 ognuno"
"Shop By","Naviga per"
"Shopping Options","Opzioni"
"Compare Products","Confronta Prodotti"
"Print This Page","Stampa questa pagina"
"Remove Product","Rimuovere il prodotto"
"Add to Cart","Aggiungi al Carrello"
"In stock","Disponibile"
"Out of stock","Non Disponibile"
"Add to Wish List","Aggiungi alla lista desideri"
"You have no items to compare.","Non ci sono articoli da confrontare."
"Remove This Item","Rimuovi questo articolo"
"Compare","Confronta"
"Clear All","Cancella tutto"
"Prev","Prec"
"Next","Successivo"
"We can't find products matching the selection.","Non è stato trovato alcun prodotto corrispondente alla selezione."
"Learn More","Scopri di più"
"Add to Compare","Aggiungi al confronto"
"We found other products you might like!","Abbiamo trovato altri prodotti che ti potrebbero interessare!"
"More Choices:","Più scelte:"
"Check items to add to the cart or","Controlla gli articoli da aggiungere al carrello oppure"
"select all","seleziona tutto"
"Items %1-%2 of %3","Articoli %1-%2 di %3"
"%1 Item","%1 elemento"
"%1 Items","%1 elementi"
"Show","Mostra"
"per page","per pagina"
"Sort By","Ordina per"
"Set Ascending Direction","Imposta la direzione crescente"
"Set Descending Direction","Imposta la direzione decrescente"
"View as","Mostra come"
"More Information","Maggiori Informazioni"
"Loading...","Caricamento..."
"* Required Fields","* Campi obbligatori"
"Availability","Disponibilita'"
"Warning message","Messaggio d'avviso"
"Submit","Invia"
"We don't recognize or support this file extension type.","Non è possibile riconoscere o supportare questo tipo di estensione file."
"Configure Product","Configura prodotto"
"OK","OK"
"This value does not follow the specified format (for example, 200x300).","Questo valore non segue il formato specifio (ad esempio, 200 x 300)."
"Select type of option.","Seleziona il tipo di opzione."
"Please add rows to option.","Aggiungi righe all'opzione."
"Please select items.","Seleziona elementi."
"Choose existing category.","Scegli categoria esistente."
"Image Detail","Immagine dettaglio"
"Adding...","Aggiunta..."
"Added","Aggiunto"
"does not implement Storage Interface","non è implementata l'interfaccia d'archiviazione"
"unselect all","deseleziona tutti"
"Inventory","Inventario"
"Catalog Section","Sezione Catalogo"
"Small","Piccolo"
"Main","Principale"
"Custom image","Immagine personalizzata"
"Product Fields Auto-Generation","Auto-generazione campi prodotto"
"Mask for SKU","Maschera per SKU"
"Use {{name}} as Product Name placeholder","Utilizzare {{name}} come segnaposto del nome del prodotto"
"Mask for Meta Title","Maschera per Meta Title"
"Mask for Meta Keywords","Maschera per le Meta Keywords"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Utilizza {{name}} come nome del prodotto o {{sku}} come segnaposto SKU prodotto"
"Mask for Meta Description","Maschera per Meta Description"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Utilizza {{name}} e {{description}} come segnaposto del nome del prodotto e descrizione del prodotto"
"Recently Viewed/Compared Products","Prodotti visti/confrontati di recente"
"Lifetime of products in Recently Viewed Widget","Vita dei prodotti nel widget ""Prodotti visti di recente"""
"Lifetime of products in Recently Compared Widget","Vita dei prodotti nel widget ""Prodotti comparati di recente"""
"Synchronize widget products with backend storage","Sincronizza i widget prodotti con il salvataggio nel backend"
"Storefront","Frontend"
"List Mode","Modalità elenco"
"Products per Page on Grid Allowed Values","Prodotti per pagina nei valori permessi della griglia"
"Comma-separated.","Separati da virgole."
"Products per Page on Grid Default Value","Prodotti per pagina nel valore predefinito della griglia"
"Must be in the allowed values list","Deve essere incluso nell'elenco dei valori consentiti"
"Products per Page on List Allowed Values","Prodotti per pagina nei valori permessi dell'elenco"
"Products per Page on List Default Value","Prodotti per pagina nel valore predefinito dell'elenco"
"Use Flat Catalog Category","Usa le categorie di catalogo flat"
"Use Flat Catalog Product","Usa i prodotti di catalogo flat"
"Product Listing Sort by","Ordinamento Prodotti"
"Allow All Products per Page","Permetti di mostrare tutti i prodotti per pagina"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Se si imposta l'opzione ""Tutti"" nel menu a discesa ""Mostra X per pagina"""
"Allow Dynamic Media URLs in Products and Categories","Consenti le Dynamic media URL nei prodotti e nelle categorie"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Ad esempio {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Le direttive sul parsing dinamico impattano sulle performance del catalogo."
"Product Image Placeholders","Placeholders Immagini prodotto"
"Search Engine Optimization","Ottimizzazione motori di ricerca"
"Page Title Separator","Separatore titolo pagina"
"Use Canonical Link Meta Tag For Categories","Utilizza il Meta Tag Link canonico per le categorie"
"Use Canonical Link Meta Tag For Products","Utilizza il Meta Tag Link canonico per i prodotti"
"Catalog Price Scope","Ambito del prezzo di catalogo"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Questo definisce l'ambito della valuta di base (""Installazione Valuta"" > ""Opzioni valuta"" > ""Valuta di Base"")."
"Category Top Navigation","Navigazione in alto categoria"
"Maximal Depth","Profondità massima"
"Date & Time Custom Options","Opzioni personalizzate data e ora"
"Use JavaScript Calendar","Utilizza il calendario JavaScript"
"Date Fields Order","Ordine campi data"
"Time Format","Formato Ora"
"Year Range","Intervallo di anni"
"Please use a four-digit year format.","Utilizza il formato per l'anno a quattro cifre."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Utilizza gli URL statici per contenuti multimediali in modalità WYSIWYG per il catalogo"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Questo vale solo per categorie e catalogo prodotti. I contenuti multimediali verranno inseriti nell'editor come URL statici. I contenuti multimediali non vengono aggiornati se la configurazione del sistema base URL cambia."
"Top Level Category","Categoria a livello superiore"
"Product Info Column","Colonna informazioni prodotto"
"Block after Info Column","Blocco dopo colonna informazioni"
"Product Flat Data","Dati Prodotto Flat"
"Reorganize EAV product structure to flat structure","Riorganizza struttura prodotti EAV in una struttura flat"
"Category Flat Data","Dati Categoria Flat"
"Reorganize EAV category structure to flat structure","Riorganizza struttura categorie EAV in una struttura flat"
"Category Products","Prodotti della categoria"
"Indexed category/products association","Associazione categoria/prodotti indicizzato"
"Product Categories","Categorie di prodotto"
"Indexed product/categories association","Associazione prodotto/categorie indicizzato"
"Product Price","Prezzo del prodotto"
"Index product prices","Indice prezzi prodotti"
"Product EAV","EAV prodotto"
"Index product EAV","Indicie EAV prodotti"
"Catalog New Products List","Elenco nuovi prodotti catalogo"
"List of Products that are set as New","Elenco dei prodotti che vengono impostati come Nuovi"
"Display Type","Tipo di visualizzazione"
"All products - recently added products, New products - products marked as new","Tutti i prodotti - prodotti aggiunti di recente, nuovi prodotti - i prodotti contrassegnati come nuovi"
"All products","Tutti i prodotti"
"New products","Nuovi prodotti"
"Display Page Control","Mostra controllo pagina"
"Number of Products per Page","Numero di prodotti per pagina"
"Number of Products to Display","Numero di prodotti da visualizzare"
"Template","Template"
"New Products Grid Template","Template griglia nuovi prodotti"
"New Products List Template","Template elenco nuovi prodotti"
"New Products Images and Names Template","Nomi ed Immagini template nuovi prodotti"
"New Products Names Only Template","Solo i nomi template nuovi prodotti"
"New Products Images Only Template","Solo le immagini template nuovi prodotti"
"Cache Lifetime (Seconds)","Durata della cache (secondi)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 di default, se non impostato. Per aggiornare immediatamente, cancellare la cache dell'Output HTML dei blocchi."
"Catalog Product Link","Link prodotto catalogo"
"Link to a Specified Product","Link ad un prodotto specifico"
"Select Product...","Seleziona il prodotto..."
"Anchor Custom Text","Ancora testo personalizzato"
"If empty, we'll use the product name here.","Se vuoto, verrà utilizzato il nome del prodotto qui."
"Anchor Custom Title","Titolo personalizzato ancora"
"Product Link Block Template","Template blocco link prodotto"
"Product Link Inline Template","Template inline link prodotto"
"Catalog Category Link","Link categoria Catalogo"
"Link to a Specified Category","Link a una categoria specifica"
"Select Category...","Seleziona la categoria..."
"If empty, we'll use the category name here.","Se vuoto, verrà utilizzato il nome della categoria qui."
"Category Link Block Template","Template blocco link categoria"
"Category Link Inline Template","Template inline link categoria"
"Recently Viewed Products","Prodotti visti di recente"
"List of Products Recently Viewed by Visitor","Lista ""prodotti visti di recente"" dai visitatori"
"UI Component","Componenti UI"
"Number of Products to display","Numero di Prodotti da visualizzare"
"Product attributes to show","Attributi prodotto da mostrare"
"Image","Immagine"
"Learn More Link","Link scopri di più"
"Buttons to show","Pulsanti da mostrare"
"Add to Wishlist","Aggiungi alla Lista dei Desideri"
"Viewed Products Grid Template","Template griglia ""Prodotti Visti"""
"Viewed Products List Template","Template lista ""Prodotti Visti"""
"Viewed Products Sidebar Template","Template sidebar ""prodotti visti"""
"Recently Compared Products","Prodotti comparati di recente"
"List of Products Recently Compared by Visitor","Lista di prodotti recentemente comparati dai clienti"
"Compared Products Grid Template","Template griglia ""Prodotti Comparati"""
"Compared Products List Template","Template Lista ""Prodotti Comparati"""
"Set","Imposta"
"Category Information","Informazioni della Categoria"
"Enable Category","Attivare la categoria"
"Include in Menu","Includi nel Menu"
"Content","Contenuto"
"Category Image","Immagine della categoria"
"Description","Descrizione"
"Add CMS Block","Aggiungi blocco CMS"
"Display Settings","Impostazioni di visualizzazione"
"Display Mode","Modalità di visualizzazione"
"Anchor","Ancora"
"Available Product Listing Sort By","Ordinamento prodotti disponibili secondo"
"Use All","Utilizza tutto"
"Default Product Listing Sort By","Ordinamento prodotti di default secondo"
"Layered Navigation Price Step","Passaggio del prezzo della navigazione a livelli"
"URL Key","Chiave URL"
"Meta Title","Titolo Meta"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"Products in Category","Prodotti nella categoria"
"Design","Aspetto"
"Theme","Tema"
"Layout","Layout"
"Layout Update XML","Aggiornamento del layout XML"
"Apply Design to Products","Applica il Design ai prodotti"
"Schedule Design Update","Pianifica l'aggiornamento del Design"
"AttributeSetText","TestoSetAttributi"
"StatusText","TestoStatus"
"Product Image Watermarks","Filigrana Immagine Prodotto"
"Base","Base"
"Allowed file types: jpeg, gif, png.","Tipi di file consentiti: jpeg, gif, png."
"Image Opacity","Opacità immagine"
"Example format: 200x300.","Formato di esempio: 200x300."
"Image Position","Posizione immagine"
"Attribute Properties","Proprietà dell'attributo"
"Attribute Label","Etichetta attributo"
"Catalog Input Type for Store Owner","Tipo di Input del catalogo per il proprietario del negozio"
"Values","Valori"
"Add this attribute to the list of column options in the product grid.","Aggiungere questo attributo all'elenco delle opzioni di colonna nella griglia di prodotto."
"Add this attribute to the list of filter options in the product grid.","Aggiungere questo attributo alle opzioni di filtraggio nella griglia prodotto."
"System","Sistema"
"All Store Views","Tutte le Viste Negozio"
"Delete selected items?","Elimina elementi selezionati?"
"Delete items","Elimina elementi"
"Change status","Cambia stato"
"Enable","Attiva"
"Disable","Disattiva"
"Update attributes","Aggiorna gli attributi"
"Overview","Anteprima"
"Skip to the end of the images gallery","Vai alla fine della galleria di immagini"
"Skip to the beginning of the images gallery","Vai all'inizio della galleria di immagini"
"Details","Dettagli"
"Recently Compared","Confrontati di recente"
"Add To Cart","Aggiungi al Carrello"
"Add To Compare","Aggiungi al Confronto"
"Learn more","Ulteriori informazioni"
"Recently Viewed","Visti di recente"
"Save Category","Salva la categoria"
"Delete Category","Elimina categoria"
"New Subcategory","Nuova sottocategoria"
"New Root Category","Nuova Categoria di Root"
"Set Root Category for Store","Imposta Categoria di Root per il Negozio"
"Custom Design","Design Personalizzato"
"Category Data","Dati categoria"
"Not shared with other products","Non condiviso con altri prodotti"
"Declare attribute value saving scope","Dichiara ambito di salvataggio valore attributo"
"Depends on design theme","Dipende dal tema di design"
"We saved the price alert subscription.","L'iscrizione all'avviso di prezzo è stata salvata."
"We saved the stock notification.","La notifica dell'inventario è stata salvata."
"Images and Videos","Immagini e video"
"Click here or drag and drop to add images.","Clicca qui o trascina e rilascia per aggiungere immagini."
"Make Base","Fai Base"
"There was a category move error. %1","C'è stato un errore durante lo spostamento di una categoria. %1"
"You moved the category","Hai spostato la categoria"
"This product no longer exists.","Questo prodotto non esiste più."
"We can't find the image file.","Impossibile trovare l'immagine."
"productFactory is already set","productFactory è già impostato"
"Could not save product option","Impossibile salvare l'opzione del prodotto"
"Product option with id %1 does not exist","L'opzione prodotto con id %1 non esiste"
"Are you sure you want to delete this category?","Sei sicuro di voler cancellare questa categoria?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Impostare categoria di root per questo negozio in <a href=""%1"">configurazione</a>."
"Manage Options (values of your attribute)","Gestisci le opzioni (valori dell'attributo)"
"An attribute group named ""/name/"" already exists"".","Un gruppo di attributi denominato ""/ nome /"" esiste già""."
"Close panel","Chiudi pannello"
"Allow Multiple Boxes for Shipping.","Consenti più scatole per spedizione."
"Ok","Ok"
"Watermark Default Size","Dimensione predefinita della filigrana"
"Watermark Opacity, Percent","Opacità filigrana, percentuale"
"Watermark","Filigrana"
"Watermark Position","Posizione della filigrana"
"none","nessuno"
"File validation failed.","Convalida del file non riuscita."
"text","testo"
"Tier Price","Fasce di prezzo"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Se il tuo Magento ha più viste, è possibile impostare l'ambito di applicazione per applicare a una specifica vista."
"Sort Products By","Ordina i prodotti per"
"Default Product Sorting","Ordinamento predefinito dei prodotti"
"Use Parent Category Settings","Utilizza le impostazioni della categoria parente"
"Page not found","Pagina non trovata"
"Full file path is expected.","Indicare il percorso completo del file."
"from","da"
"to","a"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","L'attributo non può essere salvato a causa di un errore. Verifica le tue informazioni e riprova. Se l'errore persiste, riprova più tardi."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","L'attributo non può essere salvato a causa di un errore. Verifica le tue informazioni e riprova. Se l'errore persiste, riprova più tardi."
"Tier prices data should be array, but actually other type is received","I dati del prezzo più alto dovrebbero essere array, ma i dati ricevuti sono di un tipo differente"
"Price indexer ""%1"" must implement %2 or %3","Indicizzatore di prezzo ""%1"" deve implementare %2 o %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","Hai aggiunto il prodotto %1 alla lista di confronto <a href=""%2""></a>."
"Maximum %1 characters","Massimo: %s caratteri"
"remaining","rimanenti"
"too many","troppi"
"Sending attribute values as package.","Invio di valori di attributo come pacchetto."
"This value does not follow the specified format (for example, 200X300).","Questo valore non segue il formato specificato (ad esempio, 200X300)."
"Applies to category pages","Si applica alle pagine di categoria"
"Remember Category Pagination","Ricorda l'impaginazione di categoria"
"Changing may affect SEO and cache storage consumption.","La modifica può influenzare il SEO e il consumo di spazio cache."
"Images Upload Configuration","Configurazione Upload immagini"
"Quality","Qualità"
"Jpeg quality for resized images 1-100%.","Qualità Jpeg per le immagini ridimensionate 1-100%."
"Cost","Costo"
"The ""%1"" attribute is required. Enter and try again.","L'attributo ""%1"" è obbligatorio. Immettere e riprovare."
"Attributes were missing and must be specified.","Specificare tutti gli attributi mancanti."
"The value of Admin must be unique. (%1)","Il valore di Admin deve essere univoco. (%1)"
"The product was unable to be saved. Please try again.","Impossibile salvare il prodotto. Si prega di riprovare."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","Il valore dell'attributo ""%1"" non è univoco. Impostare un valore univoco e riprovare."
"The category doesn't contain the specified product.","La categoria non contiene il prodotto specificato."
"The %1 value wasn't found in the algorithms.","Il valore %1 non è stato trovato negli algoritmi."
"The filters are invalid. Set them in an array and try again.","I filtri non sono validi. Inserirli in un array e riprovare."
"The product wasn't registered.","Il prodotto non è stato registrato."
"The store wasn't registered. Verify the store and try again.","Il negozio non è stato registrato. Verifica il negozio e riprova."
"The ""%1"" attribute value is empty. Set the attribute and try again.","Il valore di attributo di ""%1"" è vuoto. Impostare l'attributo e riprovare."
"The attribute set couldn't be created because it's based on a non-product attribute set.","Il set di attributi non può essere creato perché è basato su un set di attributi non prodotto."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","Il set di attributi non può essere creato perché è basato su un set di attributi inesistente."
"The image content is invalid. Verify the content and try again.","Il contenuto dell'immagine non è valido. Verificare il contenuto e riprovare."
"The product can't be saved.","Il prodotto non può essere salvato."
"The new media gallery entry failed to save.","Impossibile salvare la nuova voce nella galleria multimediale."
"No image with the provided ID was found. Verify the ID and try again.","Non è stata trovata nessuna immagine con l'ID specificato. Verificare l'ID e riprovare."
"The product doesn't exist. Verify and try again.","Il prodotto non esiste. Verificare e riprovare."
"The image doesn't exist. Verify and try again.","L'immagine non esiste. Verificare e riprovare."
"The image doesn't exist.","L'immagine non esiste."
"The image type for the file is invalid. Enter the correct image type and try again.","Il tipo di immagine per il file non è valido. Immettere il tipo di immagine corretto e riprovare."
"The ""%1"" file couldn't be moved.","Il file ""%1"" non può essere spostato."
"The ProductSku is empty. Set the ProductSku and try again.","Il ProductSku è vuoto. Impostare il ProductSku e riprovare."
"The custom option couldn't be removed.","Impossibile rimuovere l'opzione personalizzata."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The file options format is invalid. Use a correct format and try again.","Il formato delle opzioni di file non è valido. Utilizzare un formato corretto e riprovare."
"The file ""%1"" is empty. Select another file and try again.","Il file ""%1"" è vuoto. Selezionare un altro file e riprovare."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","Convalida non riuscita. Assicurarsi che le opzioni necessarie siano state inserite e il file caricato, quindi riprovare."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","Il file era troppo grande e non è stato caricato. Usa un file più piccolo di %1 MB e prova a caricarlo di nuovo."
"The required option wasn't entered. Enter the option and try again.","The required option wasn't entered. Enter the option and try again."
"The file is empty. Select another file and try again.","Il file è vuoto. Selezionare un altro file e riprovare."
"The text is too long. Shorten the text and try again.","Il testo è troppo lungo. Accorcialo e riprova."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Il prodotto richiesto non esiste. Verificare il prodotto e riprovare. ID di riga: SKU = %SKU, Store ID: %storeId, Prezzo a partire da: %priceFrom, Prezzo fino a: %priceTo."
"Tier price is unavailable for this product.","Il Prezzo differenziato non è disponibile per questo prodotto."
"The tier_price data is invalid. Verify the data and try again.","The tier_price data is invalid. Verify the data and try again."
"The group price couldn't be saved.","Il prezzo di gruppo non può essere salvato."
"The data was invalid. Verify the data and try again.","I dati non sono validi. Verificare i dati e riprovare."
"Values in the %1 attributes are invalid. Verify the values and try again.","I valori degli attributi di %1 non sono validi. Verificare i valori e riprovare."
"We can't create the ""%1"" writeable directory.","Impossibile creare la directory ""%1"" con permessi di scrittura."
"The file upload failed. Try to upload again.","Invio del file fallito. Prova a caricarlo di nuovo."
"The product has required options. Enter the options and try again.","The product has required options. Enter the options and try again."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group can't be deleted because it contains system attributes.","The attribute group can't be deleted because it contains system attributes."
"The collection provider isn't registered.","The collection provider isn't registered."
"The ""%1"" link type is unknown. Verify the type and try again.","The ""%1"" link type is unknown. Verify the type and try again."
"The ""%1"" link type wasn't found. Verify the type and try again.","The ""%1"" link type wasn't found. Verify the type and try again."
"The linked products data is invalid. Verify the data and try again.","I dati dei prodotti collegati non sono validi. Verificare i dati e riprovare."
"The product that was requested doesn't exist. Verify the product and try again.","The product that was requested doesn't exist. Verify the product and try again."
"The Product with the ""%1"" SKU doesn't exist.","Il prodotto ""%1"", con lo SKU non esiste."
"The ""%1"" product couldn't be removed.","Il prodotto ""%1"" non può essere rimosso."
"Category with ID: %s doesn't exist","La categoria con ID: %s non esiste"
"Product Name or SKU","Nome del prodotto o SKU"
"Start typing to find products","Inizia a digitare per trovare i prodotti"
"Product with ID: %s doesn't exist","Il prodotto con ID ""%s"" non esiste"
