"Root","Hlavní"
"Select Product","Zvolte produkt"
"Option Title","Název možnosti"
"Add Value","Přidání hodnotu"
"Title","Název"
"Option Type","Typ volby"
"Required","Povinný"
"Price Type","Typ ceny"
"Max Characters","Maximálně znaků"
"Compatible File Extensions","Kompatibilní typy souborů"
"Enter separated extensions, like: png, jpg, gif.","Enter separated extensions, like: png, jpg, gif."
"Maximum Image Size","Maximální velikost obrázku"
"Please leave blank if it is not an image.","Pokud to není obrázek, nechte prázdné."
"%1","%1"
"This item has weight","Tato položka něco váží"
"This item has no weight","Tato položka neváží nic"
"Set Product as New From","Jako novinka od"
"Related Products, Up-Sells, and Cross-Sells","Související, doporučené a křížové produkty"
"Related products are shown to customers in addition to the item the customer is looking at.","Related products are shown to customers in addition to the item the customer is looking at."
"Add Related Products","Přidat související produkty"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Doporučenými produkty lze zákazníkovi nabídnout dražší nebo kvalitnější alternativy produktu, který si právě prohlíží."
"Add Up-Sell Products","Přidat doporučené produkty"
"Up-Sell Products","Doporučené produkty"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Tyto produkty se zobrazí po vložení produktu do košíku za účelem navýšit objednávku doporučením souvisejícího zboží."
"Add Cross-Sell Products","Přidat křížové produkty"
"Cross-Sell Products","Křížové produkty"
"Add Selected Products","Přidat vybrané produkty"
"Remove","Odstranit"
"Thumbnail","Náhled"
"Actions","Akce"
"Schedule Update From","Naplánovat změnu od"
"Product in Websites","Produkt na webech"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Má-li vaše Magento více obchodů, můžete upravit rozsah a použít produkt na konkrétních obchodech."
"name","název"
"Copy Data from","Kopírovat data z"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Pokud neexistují žádné vlastní nadřazené kategorie, použijte výchozí nadřazenou kategorii. Kategorii můžete přiřadit kdykoli v <a href=""%1"" target=""_blank""> Produkty &gt; Kategorie</a>."
"This operation can take a long time","Tato operace může trvat dlouho"
"Collapse All","Sbalit vše"
"Expand All","Rozbalit vše"
"Please confirm site switching. All data that hasn't been saved will be lost.","Potvrďte přepnutí stránky. Všechny neuložené změny budou ztraceny."
"Use Default Value","Použít výchozí hodnotu"
"Manage Titles (Size, Color, etc.)","Názvy atributu (Velikost, Barva, apod.)"
"Manage Options (Values of Your Attribute)","Správa možností (hodnoty atributu)"
"Is Default","Je výchozí"
"Sort Option","Možnosti řazení"
"Groups","Skupiny"
"Double click on a group to rename it.","Dvojklikem lze skupinu přejmenovat."
"Unassigned Attributes","Nepřiřazené atributy"
"A name is required.","Název je povinný."
"This group contains system attributes. Please move system attributes to another group and try again.","Tato skupina obsahuje systémové atributy. Atributy přemístěte do jiné skupiny a zkuste to znovu."
"Please select a node.","Prosím vyberte uzel."
"Please enter a new group name.","Zadejte nový název skupiny prosím."
"An attribute group named ""/name/"" already exists.","Název skupiny atributů ""/name/"" již existuje."
"Sorry, we're unable to complete this request.","Je nám líto, požadavek nelze dokončit."
"You can't remove attributes from this attribute set.","Atributy nelze odebrat z této sady atributů."
"Custom Options","Vlastní volby"
"This is a required option.","Tato volba je povinná."
"The field isn't complete.","Pole není kompletní."
"Compatible file extensions to upload","Povolené typy souborů k nahrání"
"Maximum image width","Maximální šířka obrázku"
"Maximum image height","Maximální výška obrázku"
"Maximum number of characters:","Maximální počet znaků:"
"start typing to search template","pro vyhledání šablony začněte psát"
"Product online","Zapnutý produkt"
"Product offline","Vypnutý produkt"
"Product online status","Stav produktu"
"Manage Stock","Sledovat zásoby"
"Qty","Množství"
"Out-of-Stock Threshold","Množství pro Není skladem"
"Minimum Qty Allowed in Shopping Cart","Minimální množství v košíku"
"Maximum Qty Allowed in Shopping Cart","Maximální množství v košíku"
"Qty Uses Decimals","Množství používá desetiny"
"Backorders","Přečerpání zásob"
"Notify for Quantity Below","Avizovat při počtu menší než"
"Enable Qty Increments","Zapnout násobky množství"
"Qty Increments","Násobky množství"
"Stock Availability","Skladová dostupnost"
"In Stock","Skladem"
"Out of Stock","Není skladem"
"Add Product To Websites","Přidat produkt k webům"
"Remove Product From Websites","Odstranit produkt z webů"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Pro skrytí položky v katalogu nebo výsledcích hledání nastavte stav na ""Vypnuto""."
"We can't save custom-defined options for bundles with dynamic pricing.","Nemůžeme ukládat vlastní možnosti pro svazky s dynamickými cenami."
"Delete Custom Option","Odstranit vlastní volbu"
"Sort Custom Options","Pořadí vlastních voleb"
"Input Type","Typ vstupu"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","Pořadí vlastních voleb"
"Item Price","Cena"
"Action","Akce"
"and above","a více"
"Delete Tier","Odstranit množstevní cenu"
"Product In Websites","Produkt na webech"
"(Copy data from: %1)","(Kopírovat údaje z: %1)"
"Browse to find or drag image here","Procházet počítač nebo obrázek přetáhněte sem"
"Delete image","Odstranit obrázek"
"Hidden","Skrytý"
"Alt Text","Alternativní text"
"Role","Role"
"Image Size","Velikost obrázku"
"{size}","{size}"
"Image Resolution","Rozlišení obrázku"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","Skrýt na stránce produktu"
"Allow Multiple Boxes for Shipping","Povolit násobné zásilky pro přepravu"
"start typing to search attribute","pro vyhledání atributu začněte psát"
"Basic Settings","Základní nastavení"
"Advanced Settings","Rozšířené nastavení"
"Changes have been made to this section that have not been saved.","V této sekci byly provedeny změny, které nebyly uloženy."
"This tab contains invalid data. Please resolve this before saving.","Tato záložka obsahuje neplatná data. Před uložením odstraňte problém prosím."
"Mass Actions","Hromadně"
"Select All","Vybrat vše"
"Unselect All","Zrušit výběr všech"
"Select Visible","Zvolit viditelné"
"Unselect Visible","Zrušit výběr viditelných"
"Special Price","Akční cena"
"Regular Price","Běžná cena"
"Buy %1 for: ","Kupte %1 za:"
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Kupte %1 za %2 a <strong class=""benefit""> ušetříte<span class=""percent tier-%3"">&nbsp;%4</span> %</strong>"
"Buy %1 for %2 each","Kupte %1 za %2"
"Shop By","Navigace"
"Shopping Options","Filtr parametrů"
"Compare Products","Porovnání produktů"
"Print This Page","Vytisknout tuto stránku"
"Remove Product","Odebrat produkt"
"Add to Cart","Přidat do košíku"
"In stock","Skladem"
"Out of stock","Není skladem"
"Add to Wish List","Přidat k oblíbeným"
"You have no items to compare.","K porovnání nebyl zvolen žádný produkt."
"Remove This Item","Odstranit tuto položku"
"Compare","Porovnat"
"Clear All","Odebrat vše"
"Prev","Předchozí"
"Next","Následující"
"We can't find products matching the selection.","Nelze najít produkty odpovídající výběru."
"Learn More","Dozvědět se více"
"Add to Compare","Přidat k porovnání"
"We found other products you might like!","Následující produkty by vás mohli zajímat!"
"More Choices:","Další volby:"
"Check items to add to the cart or","Označené budou vloženy do košíku..."
"select all","zvolit vše"
"Items %1-%2 of %3","Produkty %1-%2 z %3"
"%1 Item","%1 položka"
"%1 Items","%1 položek"
"Show","Zobrazit"
"per page","na stránce"
"Sort By","Seřadit podle"
"Set Ascending Direction","Nastavit vzestupně"
"Set Descending Direction","Nastavit sestupně"
"View as","Zobrazení"
"More Information","Více informací"
"Loading...","Nahrávám..."
"* Required Fields","* Povinný údaj"
"Availability","Dostupnost"
"Warning message","Upozornění"
"Submit","Odeslat"
"We don't recognize or support this file extension type.","Nelze zjistit, zda je tento typ souboru podporován."
"Configure Product","Sestavit produkt"
"OK","OK"
"This value does not follow the specified format (for example, 200x300).","Hodnota neodpovídá požadovanému formátu (například, 200x300)."
"Select type of option.","Zvolte typ volby"
"Please add rows to option.","Přidejte řádky volby."
"Please select items.","Vyberte položky."
"Choose existing category.","Zvolte existující kategorii."
"Image Detail","Detail obrázku"
"Adding...","Přidávám..."
"Added","Přidáno"
"does not implement Storage Interface","does not implement Storage Interface"
"unselect all","zrušit výběr"
"Inventory","Inventář"
"Catalog Section","Sekce katalog"
"Small","Malý"
"Main","Hlavní"
"Custom image","Výchozí pozadí"
"Product Fields Auto-Generation","Autogenerované údaje produktu"
"Mask for SKU","Maska pro SKU"
"Use {{name}} as Product Name placeholder","Použijte {{name}} jako zástupce názvu produktu"
"Mask for Meta Title","Maska meta titulku"
"Mask for Meta Keywords","Maska meta klíčových slov"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Použijte {{name}} jako zástupce názvu nebo {{sku}} jako zástupce kódu"
"Mask for Meta Description","Maska meta popisu"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Použijte {{name}} a {{description}} jako zástupce názvu a popisu"
"Recently Viewed/Compared Products","Poslední zobrazené / porovnávané produkty"
"Lifetime of products in Recently Viewed Widget","Doba, po kterou je produkt zobrazen ve widgetu Nedávno zobrazených produktech"
"Lifetime of products in Recently Compared Widget","Doba, po kterou je produkt zobrazen ve widgetu Nedávno porovnaných produktech"
"Synchronize widget products with backend storage","Synchronize widget products with backend storage"
"Storefront","Obchod"
"List Mode","Způsob zobrazení"
"Products per Page on Grid Allowed Values","Povolené počty zobrazených produktů na stránku v tabulce"
"Comma-separated.","Hodnoty oddělené čárkou."
"Products per Page on Grid Default Value","Výchozí počet zobrazených produktů na stránku v tabulce"
"Must be in the allowed values list","Musí být v seznamu povolených hodnot"
"Products per Page on List Allowed Values","Povolené počty zobrazených produktů na stránku v seznamu"
"Products per Page on List Default Value","Výchozí počet zobrazených produktů na stránku v seznamu"
"Use Flat Catalog Category","Použít sloučená data kategorie"
"Use Flat Catalog Product","Použít sloučená data produktu"
"Product Listing Sort by","Zobrazené produkty řadit podle"
"Allow All Products per Page","Umožnit zobrazení všech produktů na stránku"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Zda se zobrazí možnost ""Zobrazit vše"" v rozbalovacím výběru počtu produktů na stránce"
"Allow Dynamic Media URLs in Products and Categories","Povolit dynamické URL médií v produktech a kategoriích"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Např. {{media url=""cesta/k/obrazku.jpg""}} {{skin url=""cesta/k/obrazku.jpg""}}. Dynamické příkazy ovlivňují výkon katalogu."
"Product Image Placeholders","Náhradní obrázek produktů"
"Search Engine Optimization","Optimalizace pro vyhledávače"
"Page Title Separator","Oddělovač v názvu stránky"
"Use Canonical Link Meta Tag For Categories","Používat kanonická URL kategorií"
"Use Canonical Link Meta Tag For Products","Používat kanonická URL produktů"
"Catalog Price Scope","Cenový rozsah katalogu"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definuje rozsah základní měny (""Nastavení měny"" > ""Údaje měny"" > ""Základní měna"")."
"Category Top Navigation","Top menu kategorie"
"Maximal Depth","Úroveň podkategorie"
"Date & Time Custom Options","Nastavení času a datumu"
"Use JavaScript Calendar","Použít javascript kalendář"
"Date Fields Order","Formát datumu"
"Time Format","Formát času"
"Year Range","Rozsah roků"
"Please use a four-digit year format.","Použijte čtyřmístný formát roku."
"Use Static URLs for Media Content in WYSIWYG for Catalog","V editoru používat statické URL mediálního obsahu"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Platí pouze u produktů a kategorií. Mediální obsah bude vložen do editoru se statickou URL. Pokud v nastavení systému změníte základní URL, pak statiké URL budou neplatné."
"Top Level Category","Kategorie nejvyšší úrovně"
"Product Info Column","Sloupec Product Info"
"Block after Info Column","Blok za Info sloupcem"
"Product Flat Data","Sloučená data produktu"
"Reorganize EAV product structure to flat structure","Přebudovat EAV strukturu produktu na sloučenou"
"Category Flat Data","Sloučená data kategorie"
"Reorganize EAV category structure to flat structure","Přebudovat EAV strukturu kategorie na sloučenou"
"Category Products","Produkty kategorie"
"Indexed category/products association","Indexované vazby kategorií a produktů"
"Product Categories","Kategorie produktu"
"Indexed product/categories association","Indexované vazby kategorií a produktů"
"Product Price","Cena produktu"
"Index product prices","Index cen produktů"
"Product EAV","EAV produktu"
"Index product EAV","EAV indexu produktu"
"Catalog New Products List","Seznam nových produktů katalogu"
"List of Products that are set as New","Seznam produktů nastavených jako novinka"
"Display Type","Způsob zobrazení"
"All products - recently added products, New products - products marked as new","Všechny produkty - poslední přidané produkty, Nové produkty - produkty nastavené jako novinka"
"All products","Všechny produkty"
"New products","Nové produkty"
"Display Page Control","Nastavení zobrazení stránky"
"Number of Products per Page","Počet produktů na stránce"
"Number of Products to Display","Počet produktů k zobrazení"
"Template","Šablona"
"New Products Grid Template","Šablona mřížky nových produktů"
"New Products List Template","Šablona seznamu nových produktů"
"New Products Images and Names Template","Šablona názvů s obrázkem nových produktů"
"New Products Names Only Template","Šablona názvů nových produktů"
"New Products Images Only Template","Šablona obrázků nových produktů"
"Cache Lifetime (Seconds)","Životnost mezipaměti (vteřiny)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","Není-li nastaveno, bude použito výchozích 86400. Chcete-li mezipaměť obnovit ihned, obnovte mezipaměť výstupu HTML bloků."
"Catalog Product Link","Odkaz produktu katalogu"
"Link to a Specified Product","Odkaz na konkrétní produkt"
"Select Product...","Vyberte produkt..."
"Anchor Custom Text","Vlastní text záchytného odkazu"
"If empty, we'll use the product name here.","Je-li údaj prázdný, bude použit název produktu."
"Anchor Custom Title","Vlastní název kotvy"
"Product Link Block Template","Blokový odkaz produktu"
"Product Link Inline Template","Řádkový odkaz produktu"
"Catalog Category Link","Odkaz kategorie katalogu"
"Link to a Specified Category","Odkaz na konkrétní kategorii"
"Select Category...","Vyberte kategorii..."
"If empty, we'll use the category name here.","Je-li údaj prázdný, bude použit název kategorie."
"Category Link Block Template","Blokový odkaz kategorie"
"Category Link Inline Template","Řádkový odkaz kategorie"
"Recently Viewed Products","Nedávno zobrazené produkty"
"List of Products Recently Viewed by Visitor","Seznam posledních zobrazených produktů"
"UI Component","UI Komponenta"
"Number of Products to display","Počet produktů k zobrazení"
"Product attributes to show","Počet atributů k zobrazení"
"Image","Obrázek"
"Learn More Link","Odkaz Dozvědět se více"
"Buttons to show","Tlačítka k zobrazení"
"Add to Wishlist","Přidat k oblíbeným"
"Viewed Products Grid Template","Zobrazené produkty v mřížce"
"Viewed Products List Template","Zobrazené produkty v seznamu"
"Viewed Products Sidebar Template","Zobrazené produkty v postranní liště"
"Recently Compared Products","Poslední porovnávané produkty"
"List of Products Recently Compared by Visitor","Seznam posledních porovnávaných produktů"
"Compared Products Grid Template","Porovnávané produkty v mřížce"
"Compared Products List Template","Porovnávané produkty v seznamu"
"Set","Nastavit"
"Category Information","Nastavení kategorie"
"Enable Category","Zapnout kategorii"
"Include in Menu","Zahrnout do menu"
"Content","Obsah"
"Category Image","Obrázek kategorie"
"Description","Popis"
"Add CMS Block","Přidat CMS blok"
"Display Settings","Nastavení zobrazení"
"Display Mode","Display Mode"
"Anchor","Kotva"
"Available Product Listing Sort By","Available Product Listing Sort By"
"Use All","Použít vše"
"Default Product Listing Sort By","Výchozí řazení produktů podle"
"Layered Navigation Price Step","Krok ceny vrstvené navigace"
"URL Key","URL klíč"
"Meta Title","Meta název"
"Meta Keywords","Meta klíčová slova"
"Meta Description","Meta popis"
"Products in Category","Produkty v kategorii"
"Design","Vzhled"
"Theme","Téma"
"Layout","Rozložení"
"Layout Update XML","Úprava XML rozvržení"
"Apply Design to Products","Použít vzhled na produkty"
"Schedule Design Update","Naplánovat změnu vzhledu"
"AttributeSetText","Text sady atributů"
"StatusText","Text stavu"
"Product Image Watermarks","Nastavení vodoznaku v obrázcích produktů"
"Base","Základní"
"Allowed file types: jpeg, gif, png.","Povolené typy souborů: jpeg, gif, png."
"Image Opacity","Průhlednost obrázku"
"Example format: 200x300.","Ukázka formátu: 200x300."
"Image Position","Pozice obrázku"
"Attribute Properties","Vlastnosti atributu"
"Attribute Label","Označení atributu"
"Catalog Input Type for Store Owner","Typ údaje pro správce obchodu"
"Values","Hodnoty"
"Add this attribute to the list of column options in the product grid.","Přidejte tento atribut do seznamu možností sloupce v mřížkovém zobrazení produktů."
"Add this attribute to the list of filter options in the product grid.","Přidejte tento atribut do seznamu možností filtru v mřížckovém zobrazení produktů."
"System","Systém"
"All Store Views","Všechna zobrazení obchodu"
"Delete selected items?","Odstranit zvolené položky?"
"Delete items","Odstranit položky"
"Change status","Změnit stav"
"Enable","Povolit"
"Disable","Zakázat"
"Update attributes","Změnit atributy"
"Overview","Přehled"
"Skip to the end of the images gallery","Přeskočit na konec galerie s obrázky"
"Skip to the beginning of the images gallery","Přeskočit na začátek galerie s obrázky"
"Details","Podrobnosti"
"Recently Compared","Poslední porovnávané"
"Add To Cart","Přidat do košíku"
"Add To Compare","Přidat k porovnání"
"Learn more","Zjistit více"
"Recently Viewed","Nedávno zobrazené"
"Save Category","Uložit kategorii"
"Delete Category","Odstranit kategorii"
"New Subcategory","Nová podkategorie"
"New Root Category","Nová hlavní kategorie"
"Set Root Category for Store","Nastavit hlavní kategorii obchodu"
"Custom Design","Vlastní vzhled"
"Category Data","Data kategorie"
"Not shared with other products","Není sdíleno s jinými produkty"
"Declare attribute value saving scope","Rozsah platnosti hodnoty atributu"
"Depends on design theme","Záleží na tématu vzhledu"
"We saved the price alert subscription.","Odběr oznámení změny ceny byl uložen."
"We saved the stock notification.","Odběr oznámení naskladnění byl uložen."
"Images and Videos","Obrázky a videa"
"Click here or drag and drop to add images.","Klikněte zde nebo sem obrázky přetáhněte."
"Make Base","Udělat základním"
"There was a category move error. %1","Při přesunu kategorie nastala chyba. %1"
"You moved the category","Kategorie byla přesunuta"
"This product no longer exists.","Tento produkt již neexistuje."
"We can't find the image file.","Soubor obrázku nelze najít."
"productFactory is already set","productFactory is already set"
"Could not save product option","Volbu produktu nelze uložit"
"Product option with id %1 does not exist","Volba produktu s ID %1 neexistuje"
"Are you sure you want to delete this category?","Jste si jisti, že chcete odstranit tuto kategorii?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Hlavní kategorii tohoto obchodu zvolte v <a href=""%1"">nastavení</a>."
"Manage Options (values of your attribute)","Správa možností (hodnoty vašeho atributu)"
"An attribute group named ""/name/"" already exists"".","Název skupiny atributů ""/name/"" již existuje."
"Close panel","Zavřít panel"
"Allow Multiple Boxes for Shipping.","Povolit více polích pro přesouvání."
"Ok","OK"
"Watermark Default Size",": výchozí rozměr vodoznaku"
"Watermark Opacity, Percent",": krytí vodoznaku v procentech"
"Watermark",": obrázek vodoznaku"
"Watermark Position",": umístění vodoznaku"
"none","žádné"
"File validation failed.","File validation failed."
"text","text"
"Tier Price","Množstevní cena"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Je-li nastaveno více obchodů, lze nastavit platnost hodnoty na konkrétní zobrazení obchodu."
"Sort Products By","Řadit produkty podle"
"Default Product Sorting","Výchozí řazení produktů"
"Use Parent Category Settings","Použít nastavení nadřazené kategorie"
"Page not found","Stránka nebyla nalezena"
"Full file path is expected.","Full file path is expected."
"from","od"
"to","do"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","You added product %1 to the <a href=""%2"">comparison list</a>."
"Maximum %1 characters","Maximálně %1 znaků"
"remaining","zbývá"
"too many","příliš mnoho"
"Sending attribute values as package.","Sending attribute values as package."
"This value does not follow the specified format (for example, 200X300).","Tato hodnota není podle zadaného formátu (například: 200 X 300)."
"Applies to category pages","Applies to category pages"
"Remember Category Pagination","Remember Category Pagination"
"Changing may affect SEO and cache storage consumption.","Changing may affect SEO and cache storage consumption."
"Images Upload Configuration","Nastavení nahrávání obrázků"
"Quality","Quality"
"Jpeg quality for resized images 1-100%.","Jpeg quality for resized images 1-100%."
"Cost","Náklady"
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Attributes were missing and must be specified.","Attributes were missing and must be specified."
"The value of Admin must be unique. (%1)","The value of Admin must be unique. (%1)"
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The category doesn't contain the specified product.","The category doesn't contain the specified product."
"The %1 value wasn't found in the algorithms.","The %1 value wasn't found in the algorithms."
"The filters are invalid. Set them in an array and try again.","The filters are invalid. Set them in an array and try again."
"The product wasn't registered.","The product wasn't registered."
"The store wasn't registered. Verify the store and try again.","The store wasn't registered. Verify the store and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
"The image content is invalid. Verify the content and try again.","The image content is invalid. Verify the content and try again."
"The product can't be saved.","The product can't be saved."
"The new media gallery entry failed to save.","The new media gallery entry failed to save."
"No image with the provided ID was found. Verify the ID and try again.","No image with the provided ID was found. Verify the ID and try again."
"The product doesn't exist. Verify and try again.","The product doesn't exist. Verify and try again."
"The image doesn't exist. Verify and try again.","The image doesn't exist. Verify and try again."
"The image doesn't exist.","The image doesn't exist."
"The image type for the file is invalid. Enter the correct image type and try again.","The image type for the file is invalid. Enter the correct image type and try again."
"The ""%1"" file couldn't be moved.","The ""%1"" file couldn't be moved."
"The ProductSku is empty. Set the ProductSku and try again.","The ProductSku is empty. Set the ProductSku and try again."
"The custom option couldn't be removed.","The custom option couldn't be removed."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The file options format is invalid. Use a correct format and try again.","The file options format is invalid. Use a correct format and try again."
"The file ""%1"" is empty. Select another file and try again.","The file ""%1"" is empty. Select another file and try again."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again."
"The required option wasn't entered. Enter the option and try again.","The required option wasn't entered. Enter the option and try again."
"The file is empty. Select another file and try again.","The file is empty. Select another file and try again."
"The text is too long. Shorten the text and try again.","The text is too long. Shorten the text and try again."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Tier price is unavailable for this product.","Tier price is unavailable for this product."
"The tier_price data is invalid. Verify the data and try again.","The tier_price data is invalid. Verify the data and try again."
"The group price couldn't be saved.","The group price couldn't be saved."
"The data was invalid. Verify the data and try again.","The data was invalid. Verify the data and try again."
"Values in the %1 attributes are invalid. Verify the values and try again.","Values in the %1 attributes are invalid. Verify the values and try again."
"We can't create the ""%1"" writeable directory.","We can't create the ""%1"" writeable directory."
"The file upload failed. Try to upload again.","The file upload failed. Try to upload again."
"The product has required options. Enter the options and try again.","The product has required options. Enter the options and try again."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group can't be deleted because it contains system attributes.","The attribute group can't be deleted because it contains system attributes."
"The collection provider isn't registered.","The collection provider isn't registered."
"The ""%1"" link type is unknown. Verify the type and try again.","The ""%1"" link type is unknown. Verify the type and try again."
"The ""%1"" link type wasn't found. Verify the type and try again.","The ""%1"" link type wasn't found. Verify the type and try again."
"The linked products data is invalid. Verify the data and try again.","The linked products data is invalid. Verify the data and try again."
"The product that was requested doesn't exist. Verify the product and try again.","The product that was requested doesn't exist. Verify the product and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The ""%1"" product couldn't be removed.","The ""%1"" product couldn't be removed."
"Category with ID: %s doesn't exist","Category with ID: %s doesn't exist"
"Product Name or SKU","Product Name or SKU"
"Start typing to find products","Start typing to find products"
"Product with ID: %s doesn't exist","Product with ID: %s doesn't exist"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped"
"An item needs to be selected. Select and try again.","Položka musí být vybrána. Vyberte a zkuste znovu."
"Use Static URLs for Media Content in WYSIWYG","Use Static URLs for Media Content in WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Default Layouts","Default Layouts"
"Default Product Layout","Default Product Layout"
"Default Category Layout","Default Category Layout"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Advanced","Pokročilá nastavení"
