"Root","שורש"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1. אינו יורש מ-\Magento\Framework\Filter\Template"
"As low as","המחיר הנמוך ביותר"
"test","test"
"Some text is here.","Some text is here."
"Some exception","Some exception"
"Could not get extension attributes","Could not get extension attributes"
"message","הודעה"
"fl","פל"
"Lock wait timeout","Lock wait timeout"
"123","123"
"Images","תמונות"
"Select...","בחירה..."
"Advanced Pricing","תמחור מתקדם"
"Customer Group Price","מחיר קבוצת לקוחות"
"Customer Group","קבוצת לקוחות"
"Special Price From","מחיר מיוחד מ-"
"To","ל-"
"Done","בוצע"
"Product Alerts","התראות מוצר"
"Alert stock","Alert stock"
"Alert Stock","Alert Stock"
"Alert price","Alert price"
"Alert Price","Alert Price"
"Add Selected","להוסיף שנבחרו"
"Select Attribute","בחר תכונה"
"Create New Attribute","יצירת תכונה חדשה"
"Customizable Options","אפשרויות להתאמה אישית"
"Custom options let customers choose the product variations they want.","אפשרויות מותאמות אישית מאפשרות ללקוחות לבחור את ווריאציות המוצר שהם רוצים."
"Add Option","הוסף אפשרות"
"New Option","אפשרות חדשה"
"Select Product","בחר מוצר"
"Option Title","כותרת האפשרות"
"Add Value","הוסף ערך"
"Title","כותרת"
"Option Type","סוג האפשרות"
"Required","נדרש"
"Price Type","סוג מחיר"
"Max Characters","מספר תווים מרבי"
"Compatible File Extensions","סיומות קבצים תואמות"
"Enter separated extensions, like: png, jpg, gif.","Enter separated extensions, like: png, jpg, gif."
"Maximum Image Size","גודל תמונה מרבי"
"Please leave blank if it is not an image.","בבקשה השאר ריק אם זה לא תמונה."
"%1","%1"
"This item has weight","לפריט זה יש משקל"
"This item has no weight","לפריט זה אין משקל"
"Set Product as New From","הגדר מוצר כחדש מ-"
"Related Products, Up-Sells, and Cross-Sells","מוצרים קשורים, קידומי מכירות ומוצרים משלימים"
"Related products are shown to customers in addition to the item the customer is looking at.","מוצרים קשורים מוצגים ללקוחות בנוסף הפריט שהלקוח מסתכל עליו."
"Add Related Products","הוסף מוצרים נלווים"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","פריט בקידומי מכירות מוצע ללקוח כחלופה יקרה יותר או באיכות גבוהה יותר מהמוצר שהלקוח מסתכל עליו."
"Add Up-Sell Products","הוסף מוצר מקודם מכירות"
"Up-Sell Products","מוצרים מקודמי מכירות"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","מוצרי ""דחופי קנייה"" אלו מוצגים ליד עגלת הקניות כמוצרים משלימים לפריטים שכבר בעגלת הקניות."
"Add Cross-Sell Products","להוסיף מוצרים מצולבים"
"Cross-Sell Products","מוצרים מצולבים"
"Add Selected Products","הוספת המוצרים שנבחרו"
"Remove","הסר"
"Thumbnail","תמונה ממוזערת"
"Actions","פעולות"
"Schedule Update From","עדכון לוח הזמנים מ-"
"Product in Websites","מוצר באתרים"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites."
"name","שם"
"Copy Data from","להעתיק נתונים מ-"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","אם אין קטגוריות מותאמות אישית בקטוגריות האב, אנא השתמש בקטגוריה האב כברירת המחדל. ' 'באפשרותך להקצות מחדש את הקטגוריה בכל עת ב-' ' <a href=""%1"" target=""_blank""> מוצרים > קטגוריות</a>."
"This operation can take a long time","פעולה זו יכולה להימשך זמן רב"
"Collapse All","כווץ הכל"
"Expand All","הרחב הכל"
"Please confirm site switching. All data that hasn't been saved will be lost.","אנא אשר את החלפת האתרים. כל הנתונים אשר לא נשמרו יאבדו."
"Use Default Value","השתמש בערך ברירת המחדל"
"Manage Titles (Size, Color, etc.)","ניהול כותרות (גודל, צבע, וכו '.)"
"Manage Options (Values of Your Attribute)","נהל אפשרויות (ערכים של התכונה המבוקשת)"
"Is Default","ברירת מחדל"
"Sort Option","אפשרות מיון"
"Groups","קבוצות"
"Double click on a group to rename it.","לחץ פעמיים על הקבוצה כדי לשנות את השם."
"Unassigned Attributes","תכונות שלא הושמו"
"A name is required.","שם נדרש."
"This group contains system attributes. Please move system attributes to another group and try again.","קבוצה זו מכילה תכונות המערכת. נא להעביר תכונות מערכת לקבוצה אחרת ונסה שוב."
"Please select a node.","Please select a node."
"Please enter a new group name.","אנא הזן שם קבוצה חדשה."
"An attribute group named ""/name/"" already exists.","An attribute group named ""/name/"" already exists."
"Sorry, we're unable to complete this request.",". מצטערים, אנחנו לא ניתן להשלים את הבקשה."
"You can't remove attributes from this attribute set.","לא ניתן להסיר תכונות מערכת תכונות זו."
"Custom Options","אפשרויות מותאמות אישית"
"This is a required option.","זה אפשרות נדרשת."
"The field isn't complete.","שדה זה איננו מלא."
"Compatible file extensions to upload","סיומות תואמות להעלאה"
"Maximum image width","רוחב תמונה מקסימלית"
"Maximum image height","גובה תמונה מקסימלית"
"Maximum number of characters:","המספר המרבי של תווים:"
"start typing to search template","התחל להקליד כדי לחפש תבנית"
"Product online","המוצר באופן מקוון"
"Product offline","המוצר במצב לא מקוון"
"Product online status","סטטוס המוצר המקוון"
"Manage Stock","ניהול מלאי"
"Qty","כמות"
"Out-of-Stock Threshold","מספר מינימילי של אזל מהמלאי"
"Minimum Qty Allowed in Shopping Cart","כמות מינימלית המותרת בעגלת הקניות"
"Maximum Qty Allowed in Shopping Cart","כמות מרבית המותרת בעגלת הקניות"
"Qty Uses Decimals","כמות משתמשת בנקודה עשרונית"
"Backorders","ממתינים"
"Notify for Quantity Below","הודעה עבור כמות מתחת"
"Enable Qty Increments","לאפשר כמות בהפרשים קבועים"
"Qty Increments","כמות בהפרשים קבועים"
"Stock Availability","זמינות המלאי"
"In Stock","במלאי"
"Out of Stock","אזל מהמלאי"
"Add Product To Websites","הוסף מוצר לאתרים"
"Remove Product From Websites","הסרת מוצר מהאתרים"
"To hide an item in catalog or search results, set the status to ""Disabled"".","כדי להסתיר פריט בקטלוג או בתוצאות החיפוש, הגדר את המצב ""לא פעיל""."
"We can't save custom-defined options for bundles with dynamic pricing.","לא ניתן לשמור אפשרויות מותאמות אישית עבור צרורות עם מחיר דינאמי."
"Delete Custom Option","מחק אפשרות מותאמת אישית"
"Sort Custom Options","מיין אפשריות מותאמות אישית"
"Input Type","סוג הקלט"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>פיקסלים</span>"
"Sort Custom Option","מיין אפשרות מותאמת אישית"
"Item Price","מחיר הפריט"
"Action","פעולה"
"and above","ומעלה"
"Delete Tier","מחר כמותי"
"Product In Websites","מוצר באתרים"
"(Copy data from: %1)","(העתקת נתונים מ: %1)"
"Browse to find or drag image here","עיין כדי למצוא או גרור תמונה לכאן"
"Delete image","מחק תמונה"
"Hidden","מוסתר"
"Alt Text","טקסט Alt"
"Role","תפקיד"
"Image Size","גודל תמונה"
"{size}","{size}"
"Image Resolution","רזולוציית תמונה"
"{width}^{height} px","{width} ^{height} פיקסלים"
"Hide from Product Page","הסתר מעמוד מוצר"
"Allow Multiple Boxes for Shipping","אפשר משלוח במספר חבילות"
"start typing to search attribute","התחל להקליד כדי לחפש תכונה"
"Basic Settings","הגדרות בסיסיות"
"Advanced Settings","הגדרות מתקדמות"
"Changes have been made to this section that have not been saved.","שינויים שבוצעו במקטע זה לא נשמרו."
"This tab contains invalid data. Please resolve this before saving.","כרטיסיה זו מכילה נתונים לא חוקיים. בבקשה תקן את זה לפני השמירה."
"Mass Actions","פעולות מסיביות"
"Select All","בחר הכל"
"Unselect All","הסר הכל"
"Select Visible","בחר גלוי"
"Unselect Visible","ביטול בחירה של גלוי"
"Special Price","מחיר מיוחד"
"Regular Price","מחיר רגיל"
"Buy %1 for: ","לקנות %1 עבור: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","קנה %1 עבור %2 כל אחד <strong class=""benefit"">וחסוך<span class=""percent tier-%3"">&nbsp;%4%</span></strong>"
"Buy %1 for %2 each","קנה %1 עבור %2 כל אחד"
"Shop By","סנן לפי"
"Shopping Options","אפשרויות סינון"
"Compare Products","השוואת מוצרים"
"Print This Page","הדפס עמוד זה"
"Remove Product","הסר מוצר"
"Add to Cart","הוסף לסל"
"In stock","במלאי"
"Out of stock","אזל מהמלאי"
"Add to Wish List","הוספה למועדפים"
"You have no items to compare.","אין לך פריטים להשוואה."
"Remove This Item","הסרת פריט זה"
"Compare","השוואה"
"Clear All","נקה הכל"
"Prev","הקודם"
"Next","הבא"
"We can't find products matching the selection.","איננו מסוגלים למצוא מוצרים תואמים את הבחירה."
"Learn More","מידע נוסף"
"Add to Compare","הוסף להשוואה"
"We found other products you might like!","מצאנו מוצרים אחרים שאולי תרצה!"
"More Choices:","אפשרויות נוספות:"
"Check items to add to the cart or","בחר פריטים להוספה לעגלה או"
"select all","בחר הכל"
"Items %1-%2 of %3","פריטים %1-%2 מ%3"
"%1 Item","%1 פריט"
"%1 Items","%1 פריטים"
"Show","הצגה"
"per page","לכל עמוד"
"Sort By","מיון לפי"
"Set Ascending Direction","הגדר מיון בסדר עולה"
"Set Descending Direction","הגדר מיון בסדר יורד"
"View as","הצג כ-"
"More Information","מידע נוסף"
"Loading...","Loading..."
"* Required Fields","* שדות חובה"
"Availability","זמינות"
"Warning message","הודעת אזהרה"
"Submit","Submit"
"We don't recognize or support this file extension type.","איננו מזהים או תומכים בסוג זה של סיומת קובץ."
"Configure Product","הגדרת המוצר"
"OK","אישור"
"This value does not follow the specified format (for example, 200x300).","This value does not follow the specified format (for example, 200x300)."
"Select type of option.","בחר את סוג האפשרות."
"Please add rows to option.","נא להוסיף שורות לאפשרות."
"Please select items.","Please select items."
"Choose existing category.","בחר קטגוריה קיימת."
"Image Detail","פרטי התמונה"
"Adding...","מוסיף..."
"Added","הוסף"
"does not implement Storage Interface","does not implement Storage Interface"
"unselect all","בטל בחירה של הכל"
"Inventory","מלאי"
"Catalog Section","אזור הקטלוג"
"Small","קטן"
"Main","ראשי"
"Custom image","תמונה מותאמת אישית"
"Product Fields Auto-Generation","שדות מוצר יצירה אוטומטמית"
"Mask for SKU","מסכה עבור מק""ט"
"Use {{name}} as Product Name placeholder","השתמש ב-{{name}} בתור placeholder של שם המוצר"
"Mask for Meta Title","מסכה עבור מטא כותרת"
"Mask for Meta Keywords","מסכה עבור מטא מילות מפתח"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","השתמש ב-{{name}} בתור placeholder של שם המוצר או {{sku}} בתור placeholder של מק""ט המוצר"
"Mask for Meta Description","מסכה עבור מטא תיאור"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","השתמש ב-{{name}} ו-{{description}} בתור placeholders של שם המוצר ותיאור המוצר"
"Recently Viewed/Compared Products","Recently Viewed/Compared Products"
"Lifetime of products in Recently Viewed Widget","Lifetime of products in Recently Viewed Widget"
"Lifetime of products in Recently Compared Widget","Lifetime of products in Recently Compared Widget"
"Synchronize widget products with backend storage","Synchronize widget products with backend storage"
"Storefront","תצוגת חנות"
"List Mode","מצב רשימה"
"Products per Page on Grid Allowed Values","ערכים מותרים עבור מוצרים בעמוד בתצוגת גריד"
"Comma-separated.","מופרד באמצעות פסיקים."
"Products per Page on Grid Default Value","מוצרים עבור כל דף בגריד ברירת המחדל"
"Must be in the allowed values list","Must be in the allowed values list"
"Products per Page on List Allowed Values","ערכים מותרים עבור מוצרים בעמוד בתצוגת רשימה"
"Products per Page on List Default Value","מוצרים עבור עמוד ברשימת ערך ברירת מחדל"
"Use Flat Catalog Category","השתמש בקטגוריית flat קטלוג"
"Use Flat Catalog Product","להשתמש flat במוצר קטלוג"
"Product Listing Sort by","מיון מוצרים לפי"
"Allow All Products per Page","לאפשר את כל המוצרים עבור כל עמוד"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Whether to show ""All"" option in the ""Show X Per Page"" dropdown"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Product Image Placeholders","ברירת המחדל של התמונה של המוצר"
"Search Engine Optimization","אופטימיזציה של מנוע חיפוש"
"Page Title Separator","תו מפריד לכותרת"
"Use Canonical Link Meta Tag For Categories","להשתמש בקישור קטנוניקל תגיות-מטא עבור קטוגריות"
"Use Canonical Link Meta Tag For Products","להשתמש בקישור קטנוניקל תגיות-מטא עבור מוצרים"
"Catalog Price Scope","טווח מחירי קטלוג"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","אפשרות זו מגדירה את טווח מטבע הבסיס (""הגדרת מטבע"" > ""אפשרויות מטבע"" > ""מטבע הבסיס"")."
"Category Top Navigation","הניווט העליון של קטגוריה"
"Maximal Depth","עומק מקסימלי"
"Date & Time Custom Options","אפשרויות מותאמות אישית של תאריך וזמן"
"Use JavaScript Calendar","השתמש בלוח JavaScript"
"Date Fields Order","שדות תאריך"
"Time Format","פורמט השעה"
"Year Range","טווח בשנה"
"Please use a four-digit year format.","אנא השתמש בתבנית שנה בעלת ארבע ספרות."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Top Level Category","קטגוריה ברמה העליונה"
"Product Info Column","Product Info Column"
"Block after Info Column","Block after Info Column"
"Product Flat Data","מידע Flat עבור מוצרים"
"Reorganize EAV product structure to flat structure","לארגן מחדש את מבנה המוצר EAV למבנה Flat"
"Category Flat Data","נתוני קטגוריה Flat"
"Reorganize EAV category structure to flat structure","לארגן מחדש את מבנה קטגוריה EAV למבנה Flat"
"Category Products","מוצרים בקטגוריה"
"Indexed category/products association","שיוך קטגוריות/מוצרים באינדקס"
"Product Categories","קטגוריות מוצר"
"Indexed product/categories association","שיוך קטגוריות מוצר אינדקס"
"Product Price","מחיר המוצר"
"Index product prices","אינדקס מחירי מוצרים"
"Product EAV","המוצר EAV"
"Index product EAV","אינדקס המוצר EAV"
"Catalog New Products List","רשימת המוצרים החדשים בקטלוג"
"List of Products that are set as New","רשימת המוצרים המוגדרים בתור חדשים"
"Display Type","סוג תצוגה"
"All products - recently added products, New products - products marked as new","כל המוצרים - מוצרים שהוספו לאחרונה, מוצרים חדשים - המוצרים מסומנים כמו חדש"
"All products","כל המוצרים"
"New products","מוצרים חדשים"
"Display Page Control","הצג דף בקרה"
"Number of Products per Page","מספר המוצרים לכל עמוד"
"Number of Products to Display","מספר המוצרים להצגה"
"Template","תבנית"
"New Products Grid Template","תבנית תצוגת גריד מוצרים חדשה"
"New Products List Template","תבנית תצוגת רשימת מוצרים חדשה"
"New Products Images and Names Template","תבנית תמונות ושמות מוצרים חדשה"
"New Products Names Only Template","תבנית שמות מוצרים בלבד חדשה"
"New Products Images Only Template","תבנית מוצרים מוצרים בלבד חדשה"
"Cache Lifetime (Seconds)","תקופת חיים של המטמון (שניות)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","קישור מוצר קטלוגי"
"Link to a Specified Product","קישור למוצר שצויין"
"Select Product...","בחר מוצר..."
"Anchor Custom Text","קישור טקסט מותאם אישית"
"If empty, we'll use the product name here.","אם ריק, נשתמש בשם המוצר כאן."
"Anchor Custom Title","קישור כותרת מותאם אישית"
"Product Link Block Template","תבנית בלוק קישור מוצר"
"Product Link Inline Template","תבנית בתוך השורה קישור מוצר"
"Catalog Category Link","קישור קטגוריית קטלוג"
"Link to a Specified Category","קישור לקטגוריה שצויינה"
"Select Category...","בחר קטגוריה..."
"If empty, we'll use the category name here.","אם ריק, נשתמש בשם הקטגוריה כאן."
"Category Link Block Template","תבנית של קישור קטגוריה חסום"
"Category Link Inline Template","תבנית קישור של קטגוריה בשורה"
"Recently Viewed Products","מוצרים שנצפו לאחרונה"
"List of Products Recently Viewed by Visitor","רשימת המוצרים שנצפו לאחרונה על-ידי המבקרים"
"UI Component","UI Component"
"Number of Products to display","מספר המוצרים לתצוגה"
"Product attributes to show","Product attributes to show"
"Image","תמונה"
"Learn More Link","Learn More Link"
"Buttons to show","Buttons to show"
"Add to Wishlist","הוספה למועדפים"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Viewed Products Sidebar Template","Viewed Products Sidebar Template"
"Recently Compared Products","מוצרים שהושוו לאחרונה"
"List of Products Recently Compared by Visitor","List of Products Recently Compared by Visitor"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Set","סט"
"Category Information","מידע עבור קטגוריה"
"Enable Category","אפשר קטגוריה"
"Include in Menu","לכלול בתפריט"
"Content","תוכן"
"Category Image","תמונת קטגוריה"
"Description","תיאור"
"Add CMS Block","הוספת בלוק CMS"
"Display Settings","הגדרות תצוגה"
"Display Mode","מצב תצוגה"
"Anchor","עוגן"
"Available Product Listing Sort By","מוצר זמין מיין לפי"
"Use All","להשתמש בכל"
"Default Product Listing Sort By","מוצר ברירת מחדל מיין לפי"
"Layered Navigation Price Step","שלב מחיר של תפריט פילטור"
"URL Key","מזהה כתובת"
"Meta Title","כותרת כללית"
"Meta Keywords","מילות מפתח מטא"
"Meta Description","תאור נתוני מטא"
"Products in Category","מוצרים בקטגוריה"
"Design","עיצוב"
"Theme","תבנית"
"Layout","פריסה"
"Layout Update XML","פריסת עדכון XML"
"Apply Design to Products","אשר עיצוב במוצרים"
"Schedule Design Update","עדכון עיצוב לוח הזמנים"
"AttributeSetText","טקסט סט תכונות"
"StatusText","טקסט סטטוס"
"Product Image Watermarks","Watermarks עבור תמונת המוצר"
"Base","בסיס"
"Allowed file types: jpeg, gif, png.","סוגי הקבצים המותרים: jpeg, gif, png."
"Image Opacity","שקיפות תמונה"
"Example format: 200x300.","פורמט לדוגמה: 200x300."
"Image Position","מיקום התמונה"
"Attribute Properties","מאפייני תכונה"
"Attribute Label","תווית תכונה"
"Catalog Input Type for Store Owner","סוג הקלט של הקטלוג עבור בעל חנות"
"Values","ערכים"
"Add this attribute to the list of column options in the product grid.","להוסיף תכונה זו הרשימה של אפשרויות עמודה ברשת של המוצר."
"Add this attribute to the list of filter options in the product grid.","להוסיף תכונה זו הרשימה של אפשרויות עמודה ברשת של המוצר."
"System","מערכת"
"All Store Views","כל תצוגות החנויות"
"Delete selected items?","האם למחוק את הפריטים שנבחרו?"
"Delete items","מחיקת פריטים"
"Change status","שנה סטטוס"
"Enable","אפשר"
"Disable","השבת"
"Update attributes","עדכן תכונות"
"Overview","סקירה כללית"
"Skip to the end of the images gallery","לדלג לסוף של גלריית תמונות"
"Skip to the beginning of the images gallery","לדלג להתחלה של גלריית תמונות"
"Details","פרטים"
"Recently Compared","Recently Compared"
"Add To Cart","Add To Cart"
"Add To Compare","הוסף להשוואה"
"Learn more","למידע נוסף"
"Recently Viewed","נצפו לאחרונה"
"Save Category","Save Category"
"Delete Category","Delete Category"
"New Subcategory","New Subcategory"
"New Root Category","New Root Category"
"Set Root Category for Store","Set Root Category for Store"
"Custom Design","Custom Design"
"Category Data","Category Data"
"Not shared with other products","Not shared with other products"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Depends on design theme","Depends on design theme"
"We saved the price alert subscription.","We saved the price alert subscription."
"We saved the stock notification.","We saved the stock notification."
"Images and Videos","Images and Videos"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"There was a category move error. %1","There was a category move error. %1"
"You moved the category","You moved the category"
"This product no longer exists.","This product no longer exists."
"We can't find the image file.","We can't find the image file."
"productFactory is already set","productFactory is already set"
"Could not save product option","Could not save product option"
"Product option with id %1 does not exist","Product option with id %1 does not exist"
"Are you sure you want to delete this category?","האם אתה בטוח שברצונך למחוק את הקטגוריה?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Set root category for this store in the <a href=""%1"">configuration</a>."
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"An attribute group named ""/name/"" already exists"".","An attribute group named ""/name/"" already exists""."
"Close panel","Close panel"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
"Ok","Ok"
"Watermark Default Size","Watermark Default Size"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark","Watermark"
"Watermark Position","Watermark Position"
"none","none"
"File validation failed.","File validation failed."
"text","text"
"Tier Price","Tier Price"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"Sort Products By","Sort Products By"
"Default Product Sorting","Default Product Sorting"
"Use Parent Category Settings","Use Parent Category Settings"
"Page not found","Page not found"
"Full file path is expected.","Full file path is expected."
"from","מ-"
"to","אל"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","You added product %1 to the <a href=""%2"">comparison list</a>."
"Maximum %1 characters","Maximum %1 characters"
"remaining","remaining"
"too many","too many"
"Sending attribute values as package.","Sending attribute values as package."
"This value does not follow the specified format (for example, 200X300).","This value does not follow the specified format (for example, 200X300)."
"Applies to category pages","Applies to category pages"
"Remember Category Pagination","Remember Category Pagination"
"Changing may affect SEO and cache storage consumption.","Changing may affect SEO and cache storage consumption."
"Images Upload Configuration","Images Upload Configuration"
"Quality","Quality"
"Jpeg quality for resized images 1-100%.","Jpeg quality for resized images 1-100%."
"Cost","Cost"
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Attributes were missing and must be specified.","Attributes were missing and must be specified."
"The value of Admin must be unique. (%1)","The value of Admin must be unique. (%1)"
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The category doesn't contain the specified product.","The category doesn't contain the specified product."
"The %1 value wasn't found in the algorithms.","The %1 value wasn't found in the algorithms."
"The filters are invalid. Set them in an array and try again.","The filters are invalid. Set them in an array and try again."
"The product wasn't registered.","The product wasn't registered."
"The store wasn't registered. Verify the store and try again.","The store wasn't registered. Verify the store and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
"The image content is invalid. Verify the content and try again.","The image content is invalid. Verify the content and try again."
"The product can't be saved.","The product can't be saved."
"The new media gallery entry failed to save.","The new media gallery entry failed to save."
"No image with the provided ID was found. Verify the ID and try again.","No image with the provided ID was found. Verify the ID and try again."
"The product doesn't exist. Verify and try again.","The product doesn't exist. Verify and try again."
"The image doesn't exist. Verify and try again.","The image doesn't exist. Verify and try again."
"The image doesn't exist.","The image doesn't exist."
"The image type for the file is invalid. Enter the correct image type and try again.","The image type for the file is invalid. Enter the correct image type and try again."
"The ""%1"" file couldn't be moved.","The ""%1"" file couldn't be moved."
"The ProductSku is empty. Set the ProductSku and try again.","The ProductSku is empty. Set the ProductSku and try again."
"The custom option couldn't be removed.","The custom option couldn't be removed."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The file options format is invalid. Use a correct format and try again.","The file options format is invalid. Use a correct format and try again."
"The file ""%1"" is empty. Select another file and try again.","The file ""%1"" is empty. Select another file and try again."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again."
"The required option wasn't entered. Enter the option and try again.","The required option wasn't entered. Enter the option and try again."
"The file is empty. Select another file and try again.","The file is empty. Select another file and try again."
"The text is too long. Shorten the text and try again.","The text is too long. Shorten the text and try again."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Tier price is unavailable for this product.","Tier price is unavailable for this product."
"The tier_price data is invalid. Verify the data and try again.","The tier_price data is invalid. Verify the data and try again."
"The group price couldn't be saved.","The group price couldn't be saved."
"The data was invalid. Verify the data and try again.","The data was invalid. Verify the data and try again."
"Values in the %1 attributes are invalid. Verify the values and try again.","Values in the %1 attributes are invalid. Verify the values and try again."
"We can't create the ""%1"" writeable directory.","We can't create the ""%1"" writeable directory."
"The file upload failed. Try to upload again.","The file upload failed. Try to upload again."
"The product has required options. Enter the options and try again.","The product has required options. Enter the options and try again."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group can't be deleted because it contains system attributes.","The attribute group can't be deleted because it contains system attributes."
"The collection provider isn't registered.","The collection provider isn't registered."
"The ""%1"" link type is unknown. Verify the type and try again.","The ""%1"" link type is unknown. Verify the type and try again."
"The ""%1"" link type wasn't found. Verify the type and try again.","The ""%1"" link type wasn't found. Verify the type and try again."
"The linked products data is invalid. Verify the data and try again.","The linked products data is invalid. Verify the data and try again."
"The product that was requested doesn't exist. Verify the product and try again.","The product that was requested doesn't exist. Verify the product and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The ""%1"" product couldn't be removed.","The ""%1"" product couldn't be removed."
"Category with ID: %s doesn't exist","Category with ID: %s doesn't exist"
"Product Name or SKU","Product Name or SKU"
"Start typing to find products","Start typing to find products"
"Product with ID: %s doesn't exist","Product with ID: %s doesn't exist"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"Use Static URLs for Media Content in WYSIWYG","Use Static URLs for Media Content in WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Default Layouts","Default Layouts"
"Default Product Layout","Default Product Layout"
"Default Category Layout","Default Category Layout"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
