"Root","Gốc"
"Product %1 doesn't have linked %2 as %3","Sản phẩm %1 không có liên kết với %2 như %3"
"Requested product doesn't exist","Requested product doesn't exist"
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"Invalid product data: %1","Dữ liệu sản phẩm không hợp lệ: %1"
"Database connection error","Kết nối cơ sở dữ liệu lỗi"
"Database deadlock found when trying to get lock","Cơ sở dữ liệu bị khoá được tìm thấy khi cố gắng để khóa"
"Database lock wait timeout exceeded","Đã vượt quá thời gian chờ khóa cơ sở dữ liệu"
"Unable to remove product %1","Unable to remove product %1"
"Requested product does not support images.","Requested product does not support images."
"There are not websites for assign to product","Không có trang web để gán cho sản phẩm"
"Could not assign product ""%1"" to websites ""%2""","Không thể gán cho sản phẩm ""%1"" cho trang web ""%2"""
"Could not save product ""%1"" with websites %2","Không thể lưu sản phẩm ""%1"" với các trang web %2"
"We cannot determine the field name.","Chúng tôi không thể xác định tên trường."
"Attribute '%1' is locked. %2","Thuộc tính '%1' đã bị khoá. %2"
"Do not change the scope. %1","Không thay đổi phạm vi. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Bộ xử lý %1 không triển khai BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","Một loại sản phẩm không phải xác định cho các indexer."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","Sản phẩm với mã %1 không được liên kết đến các sản phẩm với mã %2"
"Multiple Select","Nhiều lựa chọn"
"Dropdown","Trình đơn xổ dọc"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 không mở rộng \Magento\Framework\Filter\Template"
"As low as","Thấp như"
"test","test"
"Some text is here.","Some text is here."
"Some exception","Some exception"
"Could not get extension attributes","Không thể lấy được các thuộc tính phần mở rộng"
"message","tin nhắn"
"fl","fl"
"Lock wait timeout","Khoá thời gian chờ"
"123","123"
"Images","Hình ảnh"
"Select...","Lựa chọn..."
"Advanced Pricing","Giá ưu việt"
"Customer Group Price","Giá nhóm khách hàng"
"Customer Group","Nhóm khách hàng"
"Special Price From","Giá đặc biệt từ"
"To","Đến"
"Done","Đã thực hiện"
"Product Alerts","Sản phẩm cảnh báo"
"Alert stock","Alert stock"
"Alert Stock","Alert Stock"
"Alert price","Alert price"
"Alert Price","Alert Price"
"Add Selected","Thêm lựa chọn"
"Select Attribute","Chọn thuộc tính"
"Create New Attribute","Tạo mới thuộc tính"
"Customizable Options","Tùy chỉnh tùy chọn"
"Custom options let customers choose the product variations they want.","Tùy chỉnh tùy chọn cho phép khách hàng chọn biến thể sản phẩm mà họ muốn."
"Add Option","Thêm tùy chọn"
"New Option","Tùy chọn mới"
"Select Product","Chọn sản phẩm"
"Option Title","Tiêu đề tùy chọn"
"Add Value","Thêm giá trị"
"Title","Tiêu đề"
"Option Type","Loại lựa chọn"
"Required","Bắt buộc"
"Price Type","Loại giá"
"Max Characters","Ký tự tối đa"
"Compatible File Extensions","Phần tệp mở rộng tương thích"
"Enter separated extensions, like: png, jpg, gif.","Enter separated extensions, like: png, jpg, gif."
"Maximum Image Size","Kích cỡ hình ảnh tối đa"
"Please leave blank if it is not an image.","Xin vui lòng để trống nếu nó không phải là một hình ảnh."
"%1","%1"
"This item has weight","Mặt hàng này có trọng lượng"
"This item has no weight","Mặt hàng này không có trọng lượng"
"Set Product as New From","Bộ sản phẩm mới"
"Related Products, Up-Sells, and Cross-Sells","Sản phẩm liên quan, up-sells, và cross-sells"
"Related products are shown to customers in addition to the item the customer is looking at.","Sản phẩm được hiển thị cho các khách hàng ngoài mục khách hàng xem xét."
"Add Related Products","Thêm sản phẩm liên quan"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Một mục up-bán được cung cấp cho khách hàng như một pricier hay chất lượng cao hơn để thay thế các sản phẩm khách hàng xem xét."
"Add Up-Sell Products","Thêm Up-sell sản phẩm"
"Up-Sell Products","Up-sell sản phẩm"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Các sản phẩm ""impulse-buy"" xuất hiện bên cạnh giỏ mua hàng như là cross-sell cho các khoản mục đã có trong giỏ mua hàng."
"Add Cross-Sell Products","Thêm sản phẩm Cross-sell"
"Cross-Sell Products","Cross-sell sản phẩm"
"Add Selected Products","Thêm Sản phẩm được lựa chọn"
"Remove","Loại bỏ"
"Thumbnail","Hình ảnh thu nhỏ"
"Actions","Thao tác"
"Schedule Update From","Lịch trình Cập Nhật từ"
"Product in Websites","Các sản phẩm trong trang web"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Nếu cài đặt Magento của bạn có nhiều trang web, bạn có thể chỉnh sửa phạm vi để sử dụng sản phẩm trên các trang web cụ thể."
"name","tên"
"Copy Data from","Sao chép dữ liệu từ"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Nếu không có danh mục cha, xin vui lòng sử dụng các danh mục cha mặc định. Bạn có thể gán các loại tại bất kỳ thời điểm nào trong <a href=""%1"" target=""_blank""> Products > Categoriesi</a>."
"This operation can take a long time","Thao tác này có thể mất một thời gian dài"
"Collapse All","Thu gọn tất cả"
"Expand All","Mở rộng tất cả"
"Please confirm site switching. All data that hasn't been saved will be lost.","Vui lòng xác nhận việc chuyển trang web. Tất cả dữ liệu chưa được lưu sẽ bị mất."
"Use Default Value","Sử dụng giá trị mặc định"
"Manage Titles (Size, Color, etc.)","Quản lý danh hiệu (kích thước, màu sắc, vv)"
"Manage Options (Values of Your Attribute)","Quản lý tuỳ chọn (giá trị của thuộc tính của bạn)"
"Is Default","Mặc định Is"
"Sort Option","Tùy chọn sắp xếp"
"Groups","Nhóm"
"Double click on a group to rename it.","Nhấp đúp vào một nhóm để đổi tên nó."
"Unassigned Attributes","Thuộc tính không được chỉ định"
"A name is required.","Tên là bắt buộc."
"This group contains system attributes. Please move system attributes to another group and try again.","Nhóm này chứa thuộc tính hệ thống. Xin vui lòng di chuyển thuộc tính hệ thống nhóm khác và thử lại."
"Please select a node.","Hãy chọn một nút."
"Please enter a new group name.","Vui lòng nhập một tên mới của nhóm."
"An attribute group named ""/name/"" already exists.","Một nhóm thuộc tính được đặt tên ""/name/"" đã tồn tại."
"Sorry, we're unable to complete this request.","Xin lỗi, chúng tôi không thể hoàn tất yêu cầu này."
"You can't remove attributes from this attribute set.","Bạn không thể loại bỏ thuộc tính khỏi thiết lập thuộc tính này."
"Custom Options","Tùy chọn tùy chỉnh"
"This is a required option.","Đây là một bắt buộc lựa chọn."
"The field isn't complete.","Các lĩnh vực không phải là hoàn tất."
"Compatible file extensions to upload","Tiện ích mở rộng tương thích tập tin để tải lên"
"Maximum image width","Chiều rộng hình ảnh tối đa"
"Maximum image height","Chiều cao hình ảnh tối đa"
"Maximum number of characters:","Số lượng ký tự tối đa:"
"start typing to search template","bắt đầu nhập tìm kiếm mẫu"
"Product online","Sản phẩm trực tuyến"
"Product offline","Sản phẩm ngoại tuyến"
"Product online status","Trạng thái sản phẩm trực tuyến"
"Manage Stock","Quản lý kho"
"Qty","Số lượng"
"Out-of-Stock Threshold","Ngưỡng hết hàng"
"Minimum Qty Allowed in Shopping Cart","Số lượng tối thiểu được cho phép trong giỏ hàng"
"Maximum Qty Allowed in Shopping Cart","Số lượng tối đa được cho phép trong giỏ hàng"
"Qty Uses Decimals","Số lượng sử dụng số thập phân"
"Backorders","Đơn hàng tồn đọng"
"Notify for Quantity Below","Thông báo cho cho số lượng dưới đây"
"Enable Qty Increments","Cho phép gia số số lượng"
"Qty Increments","Gia số số lượng"
"Stock Availability","Tình trạng hàng"
"In Stock","Còn hàng"
"Out of Stock","Tạm hết hàng"
"Add Product To Websites","Thêm sản phẩm vào trang web"
"Remove Product From Websites","Loại bỏ các sản phẩm từ trang web"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Để ẩn một mục trong kết quả tìm kiếm hoặc danh mục, đặt tình trạng ""Vô hiệu hóa""."
"We can't save custom-defined options for bundles with dynamic pricing.","Chúng tôi không thể lưu tùy chỉnh xác định tùy chọn cho kết hợp với giá động."
"Delete Custom Option","Xóa bỏ lựa chọn tùy chỉnh"
"Sort Custom Options","Sắp xếp tùy chỉnh tùy chọn"
"Input Type","Loại đầu vào"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","Sắp xếp tùy chỉnh tùy chọn"
"Item Price","Mục giá"
"Action","Thao tác"
"and above","và ở trên"
"Delete Tier","Xóa Tier"
"Product In Websites","Các sản phẩm trong trang web"
"(Copy data from: %1)","(Sao chép dữ liệu từ: %1)"
"Browse to find or drag image here","Tìm hoặc kéo hình ảnh ở đây"
"Delete image","Xóa hình ảnh"
"Hidden","ẩn"
"Alt Text","Văn bản thay thế"
"Role","Quyền hạn"
"Image Size","Kích thước hình ảnh"
"{size}","{kích thước}"
"Image Resolution","Độ phân giải hình ảnh"
"{width}^{height} px","{width} ^{height} px"
"Hide from Product Page","Ẩn từ trang sản phẩm"
"Allow Multiple Boxes for Shipping","Cho phép nhiều hộp để vận chuyển"
"start typing to search attribute","bắt đầu nhập tìm kiếm thuộc tính"
"Basic Settings","Cài đặt cơ bản"
"Advanced Settings","Cài đặt nâng cao"
"Changes have been made to this section that have not been saved.","Thay đổi của phần này không được lưu lại."
"This tab contains invalid data. Please resolve this before saving.","Tab này chứa dữ liệu sai. Vui lòng xử lý trước khi lưu lại."
"Mass Actions","Thao tác hàng loạt"
"Select All","Chọn tất cả"
"Unselect All","Bỏ chọn tất cả"
"Select Visible","Chọn hiển thị"
"Unselect Visible","Bỏ chọn hiển thị"
"Special Price","Giá đặc biệt"
"Regular Price","Giá thông thường"
"Buy %1 for: ","Mua %1 cho: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Mua %1 cho %2 mỗi và <strong class=""benefit""> save <span class=""percent tier-%3"">%4%</span></strong>"
"Buy %1 for %2 each","Mua %1 cho %2 mỗi"
"Shop By","Mua sắm bằng"
"Shopping Options","Lựa chọn mua sắm"
"Compare Products","So sánh sản phẩm"
"Print This Page","In Trang này"
"Remove Product","Loại bỏ sản phẩm"
"Add to Cart","Thêm vào giỏ hàng"
"In stock","Còn trong kho"
"Out of stock","Tạm hết hàng"
"Add to Wish List","Thêm vào danh sách yêu thích"
"You have no items to compare.","Bạn có không có mục nào để so sánh."
"Remove This Item","Loại bỏ mục này"
"Compare","So sánh"
"Clear All","Xóa tất cả"
"Prev","Trước"
"Next","Tiếp theo"
"We can't find products matching the selection.","Chúng tôi không thể tìm thấy sản phẩm phù hợp với việc lựa chọn."
"Learn More","Tìm hiểu thêm"
"Add to Compare","Thêm vào so sánh"
"We found other products you might like!","Chúng tôi tìm thấy các sản phẩm khác, bạn có thể thích!"
"More Choices:","Nhiều lựa chọn:"
"Check items to add to the cart or","Kiểm tra các mục để thêm vào giỏ hàng hoặc"
"select all","chọn tất cả"
"Items %1-%2 of %3","Mục%2 %1 %3"
"%1 Item","%1 mục"
"%1 Items","%1 mục"
"Show","Hiển thị"
"per page","mỗi trang"
"Sort By","Sắp xếp theo"
"Set Ascending Direction","Thiết lập theo hướng tăng dần"
"Set Descending Direction","Thiết lập theo hướng giảm dần"
"View as","Xem dưới dạng"
"More Information","Thêm thông tin"
"Loading...","Loading..."
"* Required Fields","* Bắt buộc"
"Availability","Sẵn có"
"Warning message","Thông báo cảnh báo"
"Submit","Submit"
"We don't recognize or support this file extension type.","Chúng tôi không nhận diện được hoặc hỗ trợ định dạng tập tin này."
"Configure Product","Cấu hình sản phẩm"
"OK","Đồng ý"
"This value does not follow the specified format (for example, 200x300).","This value does not follow the specified format (for example, 200x300)."
"Select type of option.","Chọn loại tùy chọn."
"Please add rows to option.","Xin vui lòng thêm dòng để lựa chọn."
"Please select items.","Please select items."
"Choose existing category.","Chọn thể loại hiện có."
"Image Detail","Hình ảnh chi tiết"
"Adding...","Đang thêm..."
"Added","đã thêm"
"does not implement Storage Interface","không thể triển khai Giao diện bộ nhớ"
"unselect all","bỏ chọn tất cả"
"Inventory","Hàng tồn kho"
"Catalog Section","Phần danh mục"
"Small","Nhỏ"
"Main","Chính"
"Custom image","Tùy chỉnh hình ảnh"
"Product Fields Auto-Generation","Trường Sản phẩm tự động thế hệ mới"
"Mask for SKU","Hoàn thành mã sản phẩm"
"Use {{name}} as Product Name placeholder","Sử dụng {{name}} như là tên của sản phẩm chờ"
"Mask for Meta Title","Hoàn thành tiêu đề cho thẻ Meta"
"Mask for Meta Keywords","Hoàn thành các từ khóa cho thẻ Meta"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Sử dụng {{name}} như là tên sản phẩm hoặc {{sku}} như mã sản phẩm chờ"
"Mask for Meta Description","Hoàn thành mô tả thẻ Meta"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Sử dụng {{name}} và {{description}} là tên sản phẩm và mô tả sản phẩm chờ"
"Recently Viewed/Compared Products","Mới xem/so sánh sản phẩm"
"Lifetime of products in Recently Viewed Widget","Dòng đời của sản phẩm trong Tiện ích xem gần đây"
"Lifetime of products in Recently Compared Widget","Dòng đời của sản phẩm trong Tiện ích só sánh gần đây"
"Synchronize widget products with backend storage","Đồng bộ hóa tiện ích các sản phẩm với bộ nhớ backend"
"Storefront","Storefront"
"List Mode","Danh sách chế độ"
"Products per Page on Grid Allowed Values","Các sản phẩm trên mỗi trang trong danh sách giá trị được cho phép"
"Comma-separated.","Ngăn cách bởi dấu phẩy."
"Products per Page on Grid Default Value","Các sản phẩm mỗi trang trên danh sách giá trị mặc định"
"Must be in the allowed values list","Must be in the allowed values list"
"Products per Page on List Allowed Values","Các sản phẩm trên mỗi trang trong danh sách giá trị được cho phép"
"Products per Page on List Default Value","Các sản phẩm trên mỗi trang trong danh sách giá trị mặc định"
"Use Flat Catalog Category","Sử dụng nhóm danh mục phẳng"
"Use Flat Catalog Product","Sử dụng sản phẩm danh mục phẳng"
"Product Listing Sort by","Danh sách sản phẩm sắp xếp theo"
"Allow All Products per Page","Cho phép tất cả các sản phẩm mỗi trang"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Whether to show ""All"" option in the ""Show X Per Page"" dropdown"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Product Image Placeholders","Giữ chỗ cho hình ảnh sản phẩm"
"Search Engine Optimization","Tối Ưu Công Cụ Tìm Kiếm"
"Page Title Separator","Phân cách trang tiêu đề"
"Use Canonical Link Meta Tag For Categories","Sử dụng thẻ Meta Canonical Liên kết thể loại"
"Use Canonical Link Meta Tag For Products","Sử dụng thẻ Meta Canonical Liên kết cho các sản phẩm"
"Catalog Price Scope","Phạm vi giá theo Danh mục"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Điều này xác định phạm vi tiền tệ cơ sở (""Cấu hình tiền tệ"" > ""Tiền tệ tùy chọn"" > ""Tiền"")."
"Category Top Navigation","Điều hướng chủng loại trên cùng"
"Maximal Depth","Độ sâu tối đa"
"Date & Time Custom Options","Tùy chọn tùy chỉnh Ngày & thời gian"
"Use JavaScript Calendar","Sử dụng lịch JavaScript"
"Date Fields Order","Trường ngày đặt hàng"
"Time Format","Định dạng thời gian"
"Year Range","Khoảng năm"
"Please use a four-digit year format.","Xin vui lòng sử dụng một định dạng bốn chữ số."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Top Level Category","Nhóm đứng đầu"
"Product Info Column","Cột thông tin sản phẩm"
"Block after Info Column","Khối sau cột thông tin"
"Product Flat Data","Dữ liệu sản phẩm phẳng"
"Reorganize EAV product structure to flat structure","Tổ chức lại cơ cấu sản phẩm EAV thành cấu trúc phẳng"
"Category Flat Data","Danh mục dữ liệu bằng phẳng"
"Reorganize EAV category structure to flat structure","Tổ chức lại loại cấu trúc EAV thành cấu trúc phẳng"
"Category Products","Danh mục sản phẩm"
"Indexed category/products association","Hiệp hội được đánh chỉ mục danh mục/sản phẩm"
"Product Categories","Những danh mục sản phẩm"
"Indexed product/categories association","Hiệp hội sản phẩm/mục được đánh chỉ mục"
"Product Price","Giá sản phẩm"
"Index product prices","Chỉ số giá sản phẩm"
"Product EAV","Sản phẩm EAV"
"Index product EAV","Sản phẩm chỉ số EAV"
"Catalog New Products List","Danh sách sản phẩm mới"
"List of Products that are set as New","Danh sách các sản phẩm được thiết lập như mới"
"Display Type","Loại hiển thị"
"All products - recently added products, New products - products marked as new","Tất cả sản phẩm - mới thêm vào sản phẩm, sản phẩm mới - sản phẩm được đánh dấu như mới"
"All products","Tất cả sản phẩm"
"New products","Sản phẩm mới"
"Display Page Control","Hiển thị điều khiển Trang"
"Number of Products per Page","Số sản phẩm mỗi trang"
"Number of Products to Display","Số lượng sản phẩm để hiển thị"
"Template","Mẫu"
"New Products Grid Template","Mẫu lưới sản phẩm mới"
"New Products List Template","Mẫu danh sách sản phẩm mới"
"New Products Images and Names Template","Tên mẫu và hình ảnh sản phẩm mới"
"New Products Names Only Template","Sản phẩm tên duy nhất mẫu mới"
"New Products Images Only Template","Mẫu hình ảnh duy nhất cho sản phẩm mới"
"Cache Lifetime (Seconds)","Dòng đời Bộ nhớ cache (giây)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","Link danh mục sản phẩm"
"Link to a Specified Product","Liên kết đến một sản phẩm được chỉ định"
"Select Product...","Lựa chọn sản phẩm..."
"Anchor Custom Text","Anchor văn bản tuỳ chỉnh"
"If empty, we'll use the product name here.","Nếu bỏ trống, chúng tôi sẽ sử dụng tên sản phẩm ở đây."
"Anchor Custom Title","Tiêu đề tùy chỉnh Anchor"
"Product Link Block Template","Khối mẫu liên kết sản phẩm"
"Product Link Inline Template","Mẫu liên kết sản phẩm nội tuyến"
"Catalog Category Link","Liên kết danh mục chủng loại"
"Link to a Specified Category","Liên kết đến một thể loại cụ thể"
"Select Category...","Chọn danh mục..."
"If empty, we'll use the category name here.","Nếu bỏ trống, chúng tôi sẽ sử dụng tên thể loại ở đây."
"Category Link Block Template","Khối mẫu liên kết danh mục"
"Category Link Inline Template","Mẫu liên kết danh mục nội tuyến"
"Recently Viewed Products","Các sản phẩm xem gần đây"
"List of Products Recently Viewed by Visitor","Danh sách các sản phẩm mới xem bởi khách truy cập"
"UI Component","Thành phần giao diện người dùng"
"Number of Products to display","Số lượng sản phẩm để hiển thị"
"Product attributes to show","Thuộc tính sản phẩm để hiển thị"
"Image","Hình ảnh"
"Learn More Link","Liên kết tìm hiểu thêm"
"Buttons to show","Các nút để hiển thị"
"Add to Wishlist","Thêm vào danh sách yêu thích"
"Viewed Products Grid Template","Mẫu lưới các sản phẩm đã xem"
"Viewed Products List Template","Mẫu danh sách các sản phẩm đã xem"
"Viewed Products Sidebar Template","Mẫu thanh bên các sản phẩm đã xem"
"Recently Compared Products","Các sản phẩm so sánh gần đây"
"List of Products Recently Compared by Visitor","Danh sách các sản phẩm mới xem bởi khách truy cập"
"Compared Products Grid Template","Mẫu lưới các sản phẩm đã so sánh"
"Compared Products List Template","Mẫu danh sách các sản phẩm đã so sánh"
"Set","Cài đặt"
"Category Information","Thông tin chuyên mục"
"Enable Category","Cho phép danh mục"
"Include in Menu","Bao gồm trong menu"
"Content","Nội dung"
"Category Image","Hình ảnh danh mục"
"Description","Mô tả"
"Add CMS Block","Thêm khối CMS"
"Display Settings","Thiết đặt hiển thị"
"Display Mode","Chế độ hiển thị"
"Anchor","Anchor"
"Available Product Listing Sort By","Sắp xếp the danh sách có sẵn sản phẩm"
"Use All","Sử dụng tất cả"
"Default Product Listing Sort By","Mặc định sắp xếp danh sách sản phẩm"
"Layered Navigation Price Step","Các bước giá Layered Navigation"
"URL Key","URL Key"
"Meta Title","Tiêu đề Meta"
"Meta Keywords","Từ khoá Meta"
"Meta Description","Mô tả meta"
"Products in Category","Các sản phẩm trong nhóm"
"Design","Thiết kế"
"Theme","Chủ đề"
"Layout","Giao diện"
"Layout Update XML","Cập Nhật giao diện XML"
"Apply Design to Products","Áp dụng thiết kế cho sản phẩm"
"Schedule Design Update","Lên lịch Cập Nhật thiết kế"
"AttributeSetText","Văn bản cài đặt thuộc tính"
"StatusText","Văn bản trạng thái"
"Product Image Watermarks","Hình ảnh chìm của sản phẩm"
"Base","Cơ sở"
"Allowed file types: jpeg, gif, png.","Cho phép các loại tập tin: jpeg, gif, png."
"Image Opacity","Độ mờ của hình ảnh"
"Example format: 200x300.","Ví dụ định dạng: 200 x 300."
"Image Position","Vị trí hình ảnh"
"Attribute Properties","đặc điểm thuộc tính"
"Attribute Label","Nhãn hiệu thuộc tính"
"Catalog Input Type for Store Owner","Danh mục các loại đầu vào cho các chủ cửa hàng"
"Values","Giá trị"
"Add this attribute to the list of column options in the product grid.","Thêm thuộc tính này vào danh sách lọc lựa chọn trong mạng lưới sản phẩm."
"Add this attribute to the list of filter options in the product grid.","Thêm thuộc tính này vào danh sách lọc lựa chọn trong mạng lưới sản phẩm."
"System","Hệ thống"
"All Store Views","Tất cả lượt xem cửa hàng"
"Delete selected items?","Xóa mục đã chọn?"
"Delete items","Xóa bỏ sản phẩm"
"Change status","Thay đổi trạng thái"
"Enable","Kích hoạt"
"Disable","Vô hiệu hóa"
"Update attributes","Cập Nhật thuộc tính"
"Overview","Tổng quan"
"Skip to the end of the images gallery","Chuyển đến phần đầu của thư viện hình ảnh"
"Skip to the beginning of the images gallery","Chuyển đến phần đầu của thư viện hình ảnh"
"Details","Chi tiết"
"Recently Compared","So sánh gần đây"
"Add To Cart","Thêm vào giỏ hàng"
"Add To Compare","Thêm vào so sánh"
"Learn more","Tìm hiểu thêm"
"Recently Viewed","Xem gần đây"
"Save Category","Save Category"
"Delete Category","Delete Category"
"New Subcategory","New Subcategory"
"New Root Category","New Root Category"
"Set Root Category for Store","Set Root Category for Store"
"Custom Design","Custom Design"
"Category Data","Category Data"
"Not shared with other products","Not shared with other products"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Depends on design theme","Depends on design theme"
"We saved the price alert subscription.","We saved the price alert subscription."
"We saved the stock notification.","We saved the stock notification."
"Images and Videos","Images and Videos"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"There was a category move error. %1","There was a category move error. %1"
"You moved the category","You moved the category"
"This product no longer exists.","This product no longer exists."
"We can't find the image file.","We can't find the image file."
"productFactory is already set","productFactory is already set"
"Could not save product option","Could not save product option"
"Product option with id %1 does not exist","Product option with id %1 does not exist"
"Are you sure you want to delete this category?","Bạn có chắc chắn muốn xoá danh mục này?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Set root category for this store in the <a href=""%1"">configuration</a>."
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"An attribute group named ""/name/"" already exists"".","An attribute group named ""/name/"" already exists""."
"Close panel","Close panel"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
"Ok","Ok"
"Watermark Default Size","Watermark Default Size"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark","Watermark"
"Watermark Position","Watermark Position"
"none","none"
"File validation failed.","File validation failed."
"text","text"
"Tier Price","Tier Price"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"Sort Products By","Sort Products By"
"Default Product Sorting","Default Product Sorting"
"Use Parent Category Settings","Use Parent Category Settings"
"Page not found","Page not found"
"Full file path is expected.","Full file path is expected."
"from","từ"
"to","đến"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","You added product %1 to the <a href=""%2"">comparison list</a>."
"Maximum %1 characters","Maximum %1 characters"
"remaining","remaining"
"too many","too many"
"Sending attribute values as package.","Sending attribute values as package."
"This value does not follow the specified format (for example, 200X300).","Giá trị này không tuân theo các định dạng được chỉ định (ví dụ, 200 X 300)."
"Applies to category pages","Applies to category pages"
"Remember Category Pagination","Remember Category Pagination"
"Changing may affect SEO and cache storage consumption.","Changing may affect SEO and cache storage consumption."
"Images Upload Configuration","Images Upload Configuration"
"Quality","Quality"
"Jpeg quality for resized images 1-100%.","Jpeg quality for resized images 1-100%."
"Cost","Cost"
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Attributes were missing and must be specified.","Attributes were missing and must be specified."
"The value of Admin must be unique. (%1)","The value of Admin must be unique. (%1)"
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The category doesn't contain the specified product.","The category doesn't contain the specified product."
"The %1 value wasn't found in the algorithms.","The %1 value wasn't found in the algorithms."
"The filters are invalid. Set them in an array and try again.","The filters are invalid. Set them in an array and try again."
"The product wasn't registered.","The product wasn't registered."
"The store wasn't registered. Verify the store and try again.","The store wasn't registered. Verify the store and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
"The image content is invalid. Verify the content and try again.","The image content is invalid. Verify the content and try again."
"The product can't be saved.","The product can't be saved."
"The new media gallery entry failed to save.","The new media gallery entry failed to save."
"No image with the provided ID was found. Verify the ID and try again.","No image with the provided ID was found. Verify the ID and try again."
"The product doesn't exist. Verify and try again.","The product doesn't exist. Verify and try again."
"The image doesn't exist. Verify and try again.","The image doesn't exist. Verify and try again."
"The image doesn't exist.","The image doesn't exist."
"The image type for the file is invalid. Enter the correct image type and try again.","The image type for the file is invalid. Enter the correct image type and try again."
"The ""%1"" file couldn't be moved.","The ""%1"" file couldn't be moved."
"The ProductSku is empty. Set the ProductSku and try again.","The ProductSku is empty. Set the ProductSku and try again."
"The custom option couldn't be removed.","The custom option couldn't be removed."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The file options format is invalid. Use a correct format and try again.","The file options format is invalid. Use a correct format and try again."
"The file ""%1"" is empty. Select another file and try again.","The file ""%1"" is empty. Select another file and try again."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
