"Root","اصلی"
"Attribute group that contains system attributes can not be deleted","Attribute group that contains system attributes can not be deleted"
"Collection provider is not registered","Collection provider is not registered"
"Unknown link type: %1","Unknown link type: %1"
"Provided link type ""%1"" does not exist","Provided link type ""%1"" does not exist"
"Invalid data provided for linked products","Invalid data provided for linked products"
"Product with SKU '%1' is not linked to product with SKU '%2'","محصول با کد '%1' به محصول با کد '%2' لینک نشده است"
"Product %1 doesn't have linked %2 as %3","محصول %1 هیچ گونه ارتباطی ٪ 2 به ٪ 3 نداشته"
"Requested product doesn't exist","Requested product doesn't exist"
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"Invalid product data: %1","داده های محصول نامعتبر است:%1"
"Database connection error","خطای اتصال به پایگاه داده"
"Database deadlock found when trying to get lock","در هنگام تلاش برای قفل کردن، بانک اطلاعاتی خراب شده است"
"Database lock wait timeout exceeded","زمان انتظار قفل پایگاه داده بیش از حد است"
"Unable to remove product %1","Unable to remove product %1"
"Requested product does not support images.","Requested product does not support images."
"There are not websites for assign to product","وب سایتی برای اختصاص به محصول وجود ندارد"
"Could not assign product ""%1"" to websites ""%2""","محصول ""%1"" را نمی توان به وب سایت ""%2"" اختصاص داد"
"Could not save product ""%1"" with websites %2","محصول ""%1"" در وب سایت %2 ذخیره نشد"
"We cannot determine the field name.","ما قادر به تعیین نام فیلد نیستیم."
"Attribute '%1' is locked. %2","ویژگی '%1' قفل شده است. %2"
"Do not change the scope. %1","محدوده را تغییر ندهید. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","پردازنده %1 رابط پردازشگر پایه را پیاده سازی نکرده است"
"A product type is not defined for the indexer.","نوع محصول برای نمایه ساز تعریف نشده است."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","محصول با کد %1 به محصول با کد %2 لینک نشده است"
"Multiple Select","چند انتخابی"
"Dropdown","کشویی"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 گسترش نمی دهد \ Magento \ Framework \ Model \ AbstractModel"
"As low as","از حداقل"
"test","test"
"Some text is here.","Some text is here."
"Some exception","Some exception"
"Could not get extension attributes","ویژگی های افزونه قابل دسترسی نیست"
"message","پیغام"
"fl","fl"
"Lock wait timeout","زمان انتظار برای قفل شدن"
"123","123"
"Images","تصاویر"
"Select...","انتخاب..."
"Advanced Pricing","قیمت گذاری پیشرفته"
"Customer Group Price","قیمت گروه مشتری"
"Customer Group","گروه مشتری"
"Special Price From","قیمت ویژه از"
"To","به"
"Done","انجام شد"
"Product Alerts","هشدارهای محصول"
"Alert stock","Alert stock"
"Alert Stock","Alert Stock"
"Alert price","Alert price"
"Alert Price","Alert Price"
"Add Selected","افزودن مورد انتخاب شده"
"Select Attribute","انتخاب ویژگی"
"Create New Attribute","ایجاد ویژگی جدید"
"Customizable Options","گزینه‌ های سفارشی"
"Custom options let customers choose the product variations they want.","گزینه های سفارشی به مشتریان اجازه می دهد تا تغییرات محصولی که می خواهند را انتخاب کنند."
"Add Option","افزودن گزینه"
"New Option","گزینه جدید"
"Select Product","انتخاب محصول"
"Option Title","عنوان گزینه"
"Add Value","افزودن مقدار"
"Title","عنوان"
"Option Type","نوع انتخاب"
"Required","الزامی"
"Price Type","نوع قیمت"
"Max Characters","حداکثر کاراکترها"
"Compatible File Extensions","پسوندهای فایل سازگار"
"Enter separated extensions, like: png, jpg, gif.","Enter separated extensions, like: png, jpg, gif."
"Maximum Image Size","حداکثر اندازه تصویر"
"Please leave blank if it is not an image.","اگر تصویر نیست، لطفا خالی بگذارید."
"%1","%1"
"This item has weight","این محصول وزن دارد"
"This item has no weight","این محصول وزن ندارد"
"Set Product as New From","تنظیم محصول به عنوان محصول جدید از"
"Related Products, Up-Sells, and Cross-Sells","محصولات مرتبط، پرفروش ترین ها و محصولات پیشنهادی مرتبط"
"Related products are shown to customers in addition to the item the customer is looking at.","محصولات مرتبط علاوه بر محصولی که مشتری به دنبال آن است، به او نشان داده می شود."
"Add Related Products","افزودن محصولات مرتبط"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","یک محصول پرفروش به عنوان یک جایگزین ارزشمند یا با کیفیت بالاتر برای محصولی که مشتری در حال حاضر به دنبال آن است به او پیشنهاد می شود."
"Add Up-Sell Products","افزودن محصولات پرفروش"
"Up-Sell Products","محصولات پرفروش"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","این محصولات ""impulse-buy"" در کنار سبد خرید به عنوان محصولات پیشنهادی مرتبط با محصول موجود در سبد نمایش داده می شود."
"Add Cross-Sell Products","افزودن محصولات پیشنهادی مرتبط"
"Cross-Sell Products","محصولات پیشنهادی مرتبط"
"Add Selected Products","افزودن محصولات انتخاب شده"
"Remove","برداشتن"
"Thumbnail","تصویر بندانگشتی"
"Actions","کنش‌ها"
"Schedule Update From","زمانبندی به روز رسانی از"
"Product in Websites","محصول در وب‌ سایت‌ ها"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","اگر در هنگام نصب مجنتو وب سایت های متعدد را انتخاب کرده باشید، می توانید محدوده را برای استفاده از یک محصول در سایت های خاص ویرایش کنید."
"name","نام"
"Copy Data from","کپی کردن داده از"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","اگر هیچ دسته بندی سفارشی مادر وجود نداشت، لطفا از دسته مادر پیش فرض استفاده کنید. شما می توانید این دسته بندی را در هر زمانی مجددا تعیین کنید <a href=""%1"" target=""_blank"">محصولات &gt; دسته بندی ها</a>."
"This operation can take a long time","این عملیات می تواند کمی زمان ببرد"
"Collapse All","بستن همه"
"Expand All","باز کردن همه"
"Please confirm site switching. All data that hasn't been saved will be lost.","لطفا سوئیچینگ سایت را تایید کنید تمام داده هایی که ذخیره نشده اند از بین خواهند رفت."
"Use Default Value","از مقدار پیش فرض استفاده کنید"
"Manage Titles (Size, Color, etc.)","مدیریت عناوین (اندازه، رنگ، و غیره)"
"Manage Options (Values of Your Attribute)","گزینه های مدیریت (مقادیری از ویژگی های شما)"
"Is Default","پیش فرض است"
"Sort Option","گزینه مرتب سازی"
"Groups","گروه‌ ها"
"Double click on a group to rename it.","برای تغییر نام گروه روی آن دو بار کلیک کنید."
"Unassigned Attributes","ویژگی‌ های اختصاص نیافته"
"A name is required.","یک نام مورد نیاز است."
"This group contains system attributes. Please move system attributes to another group and try again.","این گروه محتوی ویژگی‌ های سیستمی است. لطفا ویژگی‌ های سیستمی را به گروه دیگری منتقل نموده و دوباره سعی نمایید."
"Please select a node.","لطفا یک گره را انتخاب کنید."
"Please enter a new group name.","لطفا یک نام گروه جدید وارد کنید."
"An attribute group named ""/name/"" already exists.","یک گروه ویژگی با نام ""/ name /"" در حال حاضر وجود دارد."
"Sorry, we're unable to complete this request.","با عرض پوزش، ما قادر به تکمیل این درخواست نیستیم."
"You can't remove attributes from this attribute set.","شما قادر به حذف ویژگی از این مجموعه ویژگی نیستید."
"Custom Options","گزینه‌ های سفارشی"
"This is a required option.","این یک گزینه ضروری است."
"The field isn't complete.","فیلد کامل نیست."
"Compatible file extensions to upload","پسوندهای فایل سازگار برای آپلود"
"Maximum image width","حداکثر پهنای تصویر"
"Maximum image height","حداکثر ارتفاع تصویر"
"Maximum number of characters:","حداکثر تعداد کاراکترها:"
"start typing to search template","جستجوی قالب.."
"Product online","محصول آنلاین"
"Product offline","محصول آفلاین"
"Product online status","وضعیت آنلاین محصول"
"Manage Stock","مديريت موجودی"
"Qty","تعداد"
"Out-of-Stock Threshold","آستانه خارج از موجودی"
"Minimum Qty Allowed in Shopping Cart","حداقل تعداد مجاز در سبد خريد"
"Maximum Qty Allowed in Shopping Cart","حداکثر تعداد مجاز در سبد خرید"
"Qty Uses Decimals","مقدار تعداد از اعشار استفاده می کند"
"Backorders","سفارش های برگشت داده شده"
"Notify for Quantity Below","اخطار برای تعداد کمتر از"
"Enable Qty Increments","فعالسازی افزايش تعداد"
"Qty Increments","افزایش تعداد"
"Stock Availability","دسترسي موجودی"
"In Stock","موجود"
"Out of Stock","این کالا در حال حاضر موجود نیست"
"Add Product To Websites","افزودن محصول به وب‌ سایت"
"Remove Product From Websites","حذف محصول از وب‌ سایت‌ ها"
"To hide an item in catalog or search results, set the status to ""Disabled"".","برای مخفی کردن یک مورد در کاتالوگ یا نتایج جستجو، وضعیت را به «غیرفعال» تنظیم کنید."
"We can't save custom-defined options for bundles with dynamic pricing.","ما نمی توانیم گزینه های تعریف شده سفارشی برای بسته های با قیمت گذاری پویا را ذخیره کنیم."
"Delete Custom Option","گزینه سفارشی را حذف کنید"
"Sort Custom Options","مرتب کردن گزینه های سفارشی"
"Input Type","نوع ورودی"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","مرتب کردن گزینه سفارشی"
"Item Price","قیمت محصول"
"Action","اقدام"
"and above","و بالاتر"
"Delete Tier","حذف ردیف"
"Product In Websites","محصول در وب سایت ها"
"(Copy data from: %1)","(کپی داده ها از:%1)"
"Browse to find or drag image here","برای یافتن تصویر کلیک کنید و یا تصویر را اینجا بکشید"
"Delete image","حذف تصویر"
"Hidden","مخفی"
"Alt Text","متن جایگزین"
"Role","نقش"
"Image Size","اندازه تصویر"
"{size}","{size}"
"Image Resolution","رزولوشن تصویر"
"{width}^{height} px","{width}^{height} پیکسل"
"Hide from Product Page","پنهان کردن از صفحه محصول"
"Allow Multiple Boxes for Shipping","جعبه های متعدد برای ارسال"
"start typing to search attribute","جستجوی ویژگی.."
"Basic Settings","تنظیمات پایه"
"Advanced Settings","تنظیمات پیشرفته"
"Changes have been made to this section that have not been saved.","تغییراتی که در این بخش ایجاد شده است ذخیره نشده اند."
"This tab contains invalid data. Please resolve this before saving.","این زیر برگه حاوی داده‌ نامعتبر است. لطفا پیش از ذخیره مشکل را حل نمایید."
"Mass Actions","اقدامات جمعی"
"Select All","انتخاب همه"
"Unselect All","لغو انتخاب همه موارد"
"Select Visible","انتخاب قابل رؤیت ها"
"Unselect Visible","لغو انتخاب قابل رؤیت ها"
"Special Price","قیمت ویژه"
"Regular Price","قیمت عادی"
"Buy %1 for: ","خرید %1 با قیمت: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","خرید %1 با قیمت %2 برای هر محصول و <strong class=""benefit"">ذخیره<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","خرید %1 با قیمت %2 برای هر محصول"
"Shop By","خرید توسط"
"Shopping Options","گزینه‌ های خرید"
"Compare Products","مقایسه‌ محصولات"
"Print This Page","چاپ این صفحه"
"Remove Product","حذف محصول"
"Add to Cart","اضافه کردن به سبد خرید"
"In stock","موجود"
"Out of stock","در انبار موجود نیست"
"Add to Wish List","اضافه کردن به لیست علاقه مندی"
"You have no items to compare.","محصولی برای مقایسه وجود ندارد."
"Remove This Item","برداشتن این آیتم"
"Compare","مقایسه"
"Clear All","پاک کردن همه"
"Prev","قبلی"
"Next","بعدی"
"We can't find products matching the selection.","هیچ محصولی مطابق با انتخاب شما وجود ندارد."
"Learn More","بیشتر بدانید"
"Add to Compare","افزودن به مقایسه"
"We found other products you might like!","ممکن است این محصولات را نیز دوست داشته باشید!"
"More Choices:","گزینه های بیشتر:"
"Check items to add to the cart or","برای افزودن به سبد خرید روی محصول کلیک کنید یا"
"select all","انتخاب همه"
"Items %1-%2 of %3","موارد %1-%2 از %3"
"%1 Item","%1مورد"
"%1 Items","%1 مورد"
"Show","نمایش"
"per page","تا بر صفحه"
"Sort By","مرتب سازی بر اساس"
"Set Ascending Direction","تنظیم جهت صعودی"
"Set Descending Direction","تنظیم جهت نزولی"
"View as","مشاهده به عنوان"
"More Information","اطلاعات بیشتر"
"Loading...","Loading..."
"* Required Fields","* زمينه هاي مورد نياز"
"Availability","دسترسی"
"Warning message","پیام هشدار"
"Submit","Submit"
"We don't recognize or support this file extension type.","ما نمی توانیم این نوع فایل را شناسایی یا پشتیبانی کنیم."
"Configure Product","پیکربندی محصول"
"OK","قبول"
"This value does not follow the specified format (for example, 200x300).","This value does not follow the specified format (for example, 200x300)."
"Select type of option.","نوع گزینه را انتخاب کنید."
"Please add rows to option.","لطفا به گزینه سطر اضافه نمایید."
"Please select items.","Please select items."
"Choose existing category.","دسته بندی موجود را انتخاب کنید."
"Image Detail","جزئیات تصویر"
"Adding...","افزودن..."
"Added","اضافه شده"
"does not implement Storage Interface","رابط ذخیره سازی را اجرا نمی کند"
"unselect all","لغو انتخاب همه موارد"
"Inventory","موجودی"
"Catalog Section","بخش کاتالوگ"
"Small","کوچک"
"Main","اصلی"
"Custom image","تصویر سفارشی"
"Product Fields Auto-Generation","تولید اتوماتیک فیلد محصولات"
"Mask for SKU","ماسک برای کد محصول"
"Use {{name}} as Product Name placeholder","از {{name}} به عنوان نشانگر نام محصول استفاده کنید"
"Mask for Meta Title","ماسک برای عنوان متا"
"Mask for Meta Keywords","ماسک برای کلمات کلیدی متا"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","از {{name}} به عنوان نام محصول یا {{sku}} به عنوان نشانگر کد محصول استفاده کنید"
"Mask for Meta Description","ماسک برای توصیف متا"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","از {{name}} و {{description}} به عنوان نشانگر نام محصول و توضیحات محصول استفاده کنید"
"Recently Viewed/Compared Products","محصولات اخیرا مشاهد/مقایسه شده"
"Lifetime of products in Recently Viewed Widget","طول عمر محصولات در ویدجت محصولات به تازگی بازدید شده"
"Lifetime of products in Recently Compared Widget","طول عمر محصولات در ویجت محصولات به تازگی مقایسه شده"
"Synchronize widget products with backend storage","همگام سازی ویجت محصولات با بخش ذخیره سازی پنل مدیریت"
"Storefront","نمای فروشگاه"
"List Mode","حالت فهرست"
"Products per Page on Grid Allowed Values","محصولات قابل نمایش در هر صفحه در مقادیر مجاز جدول"
"Comma-separated.","جدا شده با کاما."
"Products per Page on Grid Default Value","محصولات قابل نمایش در هر صفحه در مقادیر پیش فرض جدول"
"Must be in the allowed values list","Must be in the allowed values list"
"Products per Page on List Allowed Values","محصولات قابل نمایش در هر صفحه در لیست مقادیر مجاز"
"Products per Page on List Default Value","محصولات قابل نمایش در هر صفحه در لیست مقادیر پیش فرض"
"Use Flat Catalog Category","استفاده از دسته‌ بندی کاتالوگ یکنواخت"
"Use Flat Catalog Product","استفاده از محصول کاتالوگ یکنواخت"
"Product Listing Sort by","مرتب سازی لیست محصول بر اساس"
"Allow All Products per Page","اجازه می دهد تمام محصولات در هر صفحه نمایش داده شود"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Whether to show ""All"" option in the ""Show X Per Page"" dropdown"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Product Image Placeholders","نشانگرهای تصویر محصول"
"Search Engine Optimization","بهینه سازی موتور جستجو"
"Page Title Separator","جداکننده عنوان صفحه"
"Use Canonical Link Meta Tag For Categories","استفاده از Canonical Link Meta Tag برای دسته بندی ها"
"Use Canonical Link Meta Tag For Products","استفاده از Canonical Link Meta Tag برای محصولات"
"Catalog Price Scope","محدوده قیمت کاتالوگ"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","این محدوده ارز پایه (""تنظیمات ارز""> ""گزینه های ارز""> ""ارز پایه"") را تعریف می کند."
"Category Top Navigation","ناوبری بالایی دسته"
"Maximal Depth","عمق نهایی"
"Date & Time Custom Options","گزینه‌ های سفارشی تاریخ و زمان"
"Use JavaScript Calendar","استفاده از تقویم JavaScript"
"Date Fields Order","ترتیب فیلدهای تاریخ"
"Time Format","ساختار زمان"
"Year Range","بازه‌ سال"
"Please use a four-digit year format.","لطفا از یک فرمت چهار رقمی برای سال استفاده کنید."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Top Level Category","دسته‌ بندی سطح بالا"
"Product Info Column","ستون اطلاعات محصول"
"Block after Info Column","بلوک بعد از ستون اطلاعات"
"Product Flat Data","داده‌ یکنواخت محصول"
"Reorganize EAV product structure to flat structure","ساختار محصول EAV را به ساختار یکنواخت تبدیل کن"
"Category Flat Data","داده‌ یکنواخت دسته"
"Reorganize EAV category structure to flat structure","ساختار محصول EAV را به ساختار یکنواخت تبدیل کن"
"Category Products","محصولات دسته"
"Indexed category/products association","وابستگی دسته/محصولات فهرست شده"
"Product Categories","دسته‌ بندی های محصول"
"Indexed product/categories association","وابستگی دسته/محصولات فهرست شده"
"Product Price","قيمت محصول"
"Index product prices","فهرست سازی قیمت‌ های محصول"
"Product EAV","EAV محصول"
"Index product EAV","فهرست سازی محصول EAV"
"Catalog New Products List","لیست محصولات جدید کاتالوگ"
"List of Products that are set as New","لیست محصولات جدید"
"Display Type","نوع نمایش"
"All products - recently added products, New products - products marked as new","همه محصولات - محصولات اخیرا اضافه شده، محصولات جدید - محصولاتی که به عنوان محصول جدید نشانه گذاری شده"
"All products","همه محصولات"
"New products","محصولات جدید"
"Display Page Control","کنترل صفحه نمایش"
"Number of Products per Page","تعداد محصولات در هر صفحه"
"Number of Products to Display","تعداد محصولات برای نمایش"
"Template","قالب"
"New Products Grid Template","قالب مشبک محصولات جدید"
"New Products List Template","قالب لیستی محصولات جدید"
"New Products Images and Names Template","قالب اسامی و تصاویر محصولات جدید"
"New Products Names Only Template","قالب اسامی محصولات جدید"
"New Products Images Only Template","قالب تصاویر محصولات جدید"
"Cache Lifetime (Seconds)","طول عمر حافظه نهان (ثانیه)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","لینک محصول کاتالوگ"
"Link to a Specified Product","لینک به یک محصول مشخص شده"
"Select Product...","انتخاب محصول..."
"Anchor Custom Text","متن سفارشی مرجع"
"If empty, we'll use the product name here.","اگر خالی باشد، از نام محصول در اینجا استفاده خواهیم کرد."
"Anchor Custom Title","عنوان سفارشی مرجع"
"Product Link Block Template","قالب بلوک لینک محصول"
"Product Link Inline Template","قالب درونی لینک محصول"
"Catalog Category Link","لینک دسته‌ بندی کاتالوگ"
"Link to a Specified Category","لینک به یک دسته‌ مشخص شده"
"Select Category...","انتخاب دسته..."
"If empty, we'll use the category name here.","اگر خالی باشد، از نام دسته بندی در اینجا استفاده خواهیم کرد."
"Category Link Block Template","قالب بلوک لینک دسته"
"Category Link Inline Template","قالب درونی لینک دسته"
"Recently Viewed Products","به تازگی بازدید کرده اید"
"List of Products Recently Viewed by Visitor","لیست محصولات به تازگی بازدید شده توسط بازدید کننده"
"UI Component","کامپوننت UI"
"Number of Products to display","تعداد محصولات برای نمایش"
"Product attributes to show","ویژگی های محصول قابل نمایش"
"Image","تصویر"
"Learn More Link","لینک بیشتر بدانید"
"Buttons to show","دکمه های قابل نمایش"
"Add to Wishlist","اضافه کردن به فهرست علاقمندیها"
"Viewed Products Grid Template","قالب مشبک محصولات بازدید شده"
"Viewed Products List Template","قالب لیستی محصولات بازدید شده"
"Viewed Products Sidebar Template","قالب سایدبار محصولات بازدید شده"
"Recently Compared Products","به تازگی مقایسه کرده اید"
"List of Products Recently Compared by Visitor","لیست محصولات به تازگی مقایسه شده توسط بازدید کننده"
"Compared Products Grid Template","قالب مشبک محصولات مقایسه شده"
"Compared Products List Template","قالب لیستی محصولات مقایسه شده"
"Set","تنظیم"
"Category Information","اطلاعات دسته بندی"
"Enable Category","فعالسازی دسته بندی"
"Include in Menu","در منو قرار دارد"
"Content","محتوا"
"Category Image","تصویر دسته بندی"
"Description","توصیف"
"Add CMS Block","افزودن بلوک CMS"
"Display Settings","تنظیمات صفحه نمایش"
"Display Mode","حالت نمایش"
"Anchor","مرجع"
"Available Product Listing Sort By","مرتب سازی در لیست محصولات موجود"
"Use All","استفاده از همه"
"Default Product Listing Sort By","پیش فرض لیست محصولات مرتب سازی بر اساس"
"Layered Navigation Price Step","مراحل Layered Navigation قیمت"
"URL Key","کلید URL"
"Meta Title","عنوان متا"
"Meta Keywords","کلمات کلیدی متا"
"Meta Description","توضیحات متا"
"Products in Category","محصولات در این دسته بندی"
"Design","طراحی"
"Theme","تم"
"Layout","چیدمان"
"Layout Update XML","به روز رسانی چیدمان XML"
"Apply Design to Products","اعمال طراحی روی محصولات"
"Schedule Design Update","به روز رسانی زمان بندی طراحی"
"AttributeSetText","متن مجموعه ویژگی"
"StatusText","متن وضعیت"
"Product Image Watermarks","واترمارک‌ های تصویر محصول"
"Base","پایه‌"
"Allowed file types: jpeg, gif, png.","انواع فایل مجاز: jpeg، gif، png."
"Image Opacity","وضوح تصویر"
"Example format: 200x300.","نمونه فرمت: 200x300."
"Image Position","موقعیت تصویر"
"Attribute Properties","خواص ویژگی"
"Attribute Label","برچسب ویژگی"
"Catalog Input Type for Store Owner","نوع ورودی کاتالوگ برای مالک فروشگاه"
"Values","مقادیر"
"Add this attribute to the list of column options in the product grid.","این ویژگی را به لیست گزینه های ستون در جدول مشبک محصول اضافه کنید."
"Add this attribute to the list of filter options in the product grid.","این ویژگی را به لیست گزینه های فیلتر در جدول مشبک محصول اضافه کنید."
"System","سيستم"
"All Store Views","همه‌ی نماهای فروشگاه"
"Delete selected items?","موارد انتخابی حذف شوند؟"
"Delete items","حذف موارد"
"Change status","تغییر وضعیت"
"Enable","فعال"
"Disable","غیرفعال کردن"
"Update attributes","به روز رسانی ویژگی‌ ها"
"Overview","بررسی اجمالی"
"Skip to the end of the images gallery","رفتن به انتهای گالری تصاویر"
"Skip to the beginning of the images gallery","رفتن به ابتدای گالری تصاویر"
"Details","جزئیات"
"Recently Compared","اخیرا مقایسه شده"
"Add To Cart","افزودن به سبد"
"Add To Compare","افزودن به مقایسه"
"Learn more","بیشتر بدانید"
"Recently Viewed","اخیرا مشاهد شده"
"Save Category","Save Category"
"Delete Category","Delete Category"
"New Subcategory","New Subcategory"
"New Root Category","New Root Category"
"Set Root Category for Store","Set Root Category for Store"
"Custom Design","Custom Design"
"Category Data","Category Data"
"Not shared with other products","Not shared with other products"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Depends on design theme","Depends on design theme"
"We saved the price alert subscription.","We saved the price alert subscription."
"We saved the stock notification.","We saved the stock notification."
"Images and Videos","Images and Videos"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"There was a category move error. %1","There was a category move error. %1"
"You moved the category","You moved the category"
"This product no longer exists.","This product no longer exists."
"We can't find the image file.","We can't find the image file."
"productFactory is already set","productFactory is already set"
"Could not save product option","Could not save product option"
"Product option with id %1 does not exist","Product option with id %1 does not exist"
"Are you sure you want to delete this category?","شما مطمئن‌اید که می‌خواهید این دسته را حذف کنید؟"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Set root category for this store in the <a href=""%1"">configuration</a>."
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"An attribute group named ""/name/"" already exists"".","An attribute group named ""/name/"" already exists""."
"Close panel","Close panel"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
"Ok","Ok"
"Watermark Default Size","Watermark Default Size"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark","Watermark"
"Watermark Position","Watermark Position"
"none","none"
"File validation failed.","File validation failed."
"text","text"
"Tier Price","Tier Price"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"Sort Products By","Sort Products By"
"Default Product Sorting","Default Product Sorting"
"Use Parent Category Settings","Use Parent Category Settings"
"Page not found","Page not found"
"Full file path is expected.","Full file path is expected."
"from","از"
"to","تا"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","You added product %1 to the <a href=""%2"">comparison list</a>."
"Maximum %1 characters","حداکثر %1 حرف"
"remaining","باقیمانده"
"too many","بیش از حد"
"Sending attribute values as package.","Sending attribute values as package."
"This value does not follow the specified format (for example, 200X300).","این مقدار مغایر فرمت مشخص شده (به عنوان مثال، 200x300) است."
"Applies to category pages","Applies to category pages"
"Remember Category Pagination","Remember Category Pagination"
"Changing may affect SEO and cache storage consumption.","Changing may affect SEO and cache storage consumption."
"Images Upload Configuration","Images Upload Configuration"
"Quality","Quality"
"Jpeg quality for resized images 1-100%.","Jpeg quality for resized images 1-100%."
"Cost","Cost"
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Attributes were missing and must be specified.","Attributes were missing and must be specified."
"The value of Admin must be unique. (%1)","The value of Admin must be unique. (%1)"
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The category doesn't contain the specified product.","The category doesn't contain the specified product."
"The %1 value wasn't found in the algorithms.","The %1 value wasn't found in the algorithms."
"The filters are invalid. Set them in an array and try again.","The filters are invalid. Set them in an array and try again."
"The product wasn't registered.","The product wasn't registered."
"The store wasn't registered. Verify the store and try again.","The store wasn't registered. Verify the store and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
"The image content is invalid. Verify the content and try again.","The image content is invalid. Verify the content and try again."
"The product can't be saved.","The product can't be saved."
"The new media gallery entry failed to save.","The new media gallery entry failed to save."
"No image with the provided ID was found. Verify the ID and try again.","No image with the provided ID was found. Verify the ID and try again."
"The product doesn't exist. Verify and try again.","The product doesn't exist. Verify and try again."
"The image doesn't exist. Verify and try again.","The image doesn't exist. Verify and try again."
"The image doesn't exist.","The image doesn't exist."
"The image type for the file is invalid. Enter the correct image type and try again.","The image type for the file is invalid. Enter the correct image type and try again."
"The ""%1"" file couldn't be moved.","The ""%1"" file couldn't be moved."
"The ProductSku is empty. Set the ProductSku and try again.","The ProductSku is empty. Set the ProductSku and try again."
"The custom option couldn't be removed.","The custom option couldn't be removed."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The file options format is invalid. Use a correct format and try again.","The file options format is invalid. Use a correct format and try again."
"The file ""%1"" is empty. Select another file and try again.","The file ""%1"" is empty. Select another file and try again."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
