"Root","Почетак"
"Add Option","Додати опцију"
"New Option","Нова опција"
"Select Product","Изабрати производ"
"Option Title","Назив опције"
"Add Value","Додати вредност"
"Title","Наслов"
"Option Type","Тип опције"
"Required","Обавезно"
"Price Type","Врсту цена"
"Max Characters","Маxимално знакова"
"Compatible File Extensions","Компатибилни типови датотека"
"Enter separated extensions, like: png, jpg, gif.","Enter separated extensions, like: png, jpg, gif."
"Maximum Image Size","Максимална величина слике"
"Please leave blank if it is not an image.","Молимо оставити празно ако то није као слика."
"%1","%1"
"This item has weight","Овај артикал има тежину"
"This item has no weight","Овај артикал нема тежину"
"Set Product as New From","Постави производ као ново из"
"Related Products, Up-Sells, and Cross-Sells","Сродни производи, Уп-продаја и Цросс-продаја"
"Related products are shown to customers in addition to the item the customer is looking at.","Сродни производи су приказани купцима поред ставке коју купац гледа."
"Add Related Products","Додај сродне производе"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Уп-продаја артикал је понуђен артикал купцу као замена боља цена или бољи квалитет производа од оног који купац гледа."
"Add Up-Sell Products","Додај Уп-продају производа"
"Up-Sell Products","Уп-продаја производа"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Ова ""импулсивна-продаја"" производа се појављује поред корпе купца као укрштена продаја са артиклима који су већ у корпи купца."
"Add Cross-Sell Products","Додак укрштену-продају производа"
"Cross-Sell Products","Укрштена-продаја производа"
"Add Selected Products","Додати изабране производе"
"Remove","Уклони"
"Thumbnail","Сличице"
"Actions","Радње"
"Schedule Update From","Ажурирање распореда из"
"Product in Websites","Производ у Wеб локацији"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Ако ваша Магенто инсталација има више Wеб локација, можете уредити опсег да користите производ на одређеним wеб локацијама."
"name","назив"
"Copy Data from","Копирање података из"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Ако не постоје прилагођене надређене категорије, молимо користите подразумеване надређене категорије. Можете је у било ком тренутку поново доделити у <а хреф=""%1"" таргет=""_бланк"">Производи &гт; Категорије</а>."
"This operation can take a long time","Ова операција може потрајати дуго времена"
"Collapse All","Скупи све"
"Expand All","Развиј све"
"Please confirm site switching. All data that hasn't been saved will be lost.","Плеасе цонфирм сите сwитцхинг. Све дата тхат хасн'т беен савед wилл бе лост."
"Use Default Value","Користите подразумеване вредности"
"Manage Titles (Size, Color, etc.)","Управљање насловима (Величина, боја, итд.)"
"Manage Options (Values of Your Attribute)","Управљање опцијама (вредности ваших атрибута)"
"Is Default","Је подразумевано"
"Sort Option","Опцију сортирања"
"Groups","Групе"
"Double click on a group to rename it.","Двапут кликните на групу да бисте је преименовали."
"Unassigned Attributes","Недодељени атрибуте"
"A name is required.","Име је обавезно."
"This group contains system attributes. Please move system attributes to another group and try again.","Ова група садржи системске атрибуте. Молимо померите системске атрибуте у другу групу и покушајте поново."
"Please select a node.","Молимо одаберите нод."
"Please enter a new group name.","Унесите име нове групе."
"An attribute group named ""/name/"" already exists.","Један атрибут група под називом „/ име /” већ постоји."
"Sorry, we're unable to complete this request.","Соррy, wе'ре није могуће цомплете тхис реqуест."
"You can't remove attributes from this attribute set.","Не можете ремове аттрибутес фром тхис аттрибуте сет."
"Custom Options","Прилагодљиве опције"
"This is a required option.","Ово поље је неопходно."
"The field isn't complete.","Поље није комплетно."
"Compatible file extensions to upload","Компатибилна екстензија фајла за аплоуд"
"Maximum image width","Максимална ширина слике"
"Maximum image height","Максимална висина слике"
"Maximum number of characters:","Максималан број карактера:"
"start typing to search template","почните да куцате да бисте пронашли шаблон"
"Product online","Онлине производ"
"Product offline","Оффлине производ"
"Product online status","Онлине статус производа"
"Manage Stock","Магенто магацин"
"Qty","Кол"
"Out-of-Stock Threshold","Нема на залихама Тхресхолд"
"Minimum Qty Allowed in Shopping Cart","Минимална количина дозвољена у корпи"
"Maximum Qty Allowed in Shopping Cart","Максимална количина дозвољена у корпи"
"Qty Uses Decimals","Количина користи децимале"
"Backorders","Последње поруџбине"
"Notify for Quantity Below","Обавести за количину испод"
"Enable Qty Increments","Омогући повећање количине"
"Qty Increments","Повећање количине"
"Stock Availability","Доступност залиха"
"In Stock","На стању"
"Out of Stock","Нема на лагеру"
"Add Product To Websites","Додај производ на wеб сајт"
"Remove Product From Websites","Уклони производ са wеб сајта"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Да сакријете производ из каталога или претраге, подесите статус ""Онемогућено""."
"We can't save custom-defined options for bundles with dynamic pricing.","Ми не можемо да сачувамо кориснички прилагођене опције за пакете са динамичким ценама."
"Delete Custom Option","Обриши прилагођене опције"
"Sort Custom Options","Сортирај прилагођене опције"
"Input Type","Врста уноса"
"%1 <span>x</span> %2 <span>px.</span>","%1<спан>y</спан>%2<спан>пx.</спан>"
"Sort Custom Option","Прилагођена опција сортирања"
"Item Price","Цена производа"
"Action","Акција"
"and above","и изнад"
"Delete Tier","Обриши ниво"
"Product In Websites","Производи на вебсајту"
"(Copy data from: %1)","(Копирање података из: %1)"
"Browse to find or drag image here","Претражите да пронађете и убаците слику овде"
"Delete image","Обриши слику"
"Hidden","Скривено"
"Alt Text","Алтернативни текст"
"Role","Улога"
"Image Size","Величина Слике"
"{size}","{size}"
"Image Resolution","Резолуција Слике"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","Сакрити од производне странице"
"Allow Multiple Boxes for Shipping","Допустити паковање у више кутија ради испоруке"
"start typing to search attribute","почните да куцате за претрагу атрибута"
"Basic Settings","Основна подешавања"
"Advanced Settings","Напредна подешавања"
"Changes have been made to this section that have not been saved.","Промене које су направљене у овој секцији нису сачуване."
"This tab contains invalid data. Please resolve this before saving.","Ова картица садржи неважеће податке. Молим вас решите ово пре снимања."
"Mass Actions","Масовне радње"
"Select All","Изабери све"
"Unselect All","Поништи изабране"
"Select Visible","Изабери видљиве"
"Unselect Visible","Поништи изабране видљиве"
"Special Price","Посебна цена"
"Regular Price","Редовна цена"
"Buy %1 for: ","Купити %1 за:"
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Купити %1 за %2 сваки и <стронг цласс=""бенефит"">сачувати<спан цласс=""перцент тиер-%3"">&нбсп;%4</спан>%</стронг>"
"Buy %1 for %2 each","Купити %1 за %2 сваки"
"Shop By","Купити по"
"Shopping Options","Опције куповине"
"Compare Products","Поређење производа"
"Print This Page","Штампај ову страну"
"Remove Product","Уклони производ"
"Add to Cart","Додај у корпу"
"In stock","На стању"
"Out of stock","Нема на лагеру"
"Add to Wish List","Додај у листу жеља"
"You have no items to compare.","Немате артикле за поређење."
"Remove This Item","Уклони ову ставку"
"Compare","Пореди"
"Clear All","Очисти све"
"Prev","Претходно"
"Next","Следеће"
"We can't find products matching the selection.","Не можемо пронаћи производе који задовољавају тражено."
"Learn More","Сазнајте више"
"Add to Compare","Додај за упоређивање"
"We found other products you might like!","Пронашли смо ове производе које можда више волите!"
"More Choices:","Више избора:"
"Check items to add to the cart or","Проверити артикле за додавање у корпу или"
"select all","изабери све"
"Items %1-%2 of %3","Ставке %1-%2 од %3"
"%1 Item","%1 ставка"
"%1 Items","%1 ставке"
"Show","Прикажи"
"per page","по страници"
"Sort By","Поређај по"
"Set Ascending Direction","Постави растући смер"
"Set Descending Direction","Постави опадајући смер"
"View as","Прегледи као"
"More Information","Више информација"
"Loading...","Учитавање..."
"* Required Fields","* Обавезна поља"
"Availability","Доступност"
"Warning message","Порука упозорења"
"Submit","Пошаљи"
"We don't recognize or support this file extension type.","Не можемо препознати или пружити подршку за овај тип датотеке."
"Configure Product","Конфигурисани Производ"
"OK","OK"
"This value does not follow the specified format (for example, 200x300).","This value does not follow the specified format (for example, 200x300)."
"Select type of option.","Одабери тип опције."
"Please add rows to option.","Молимо додајте редове у опцију."
"Please select items.","Изаберите ставке."
"Choose existing category.","Изабрати одговарајућу категорију."
"Image Detail","Детаљи слике"
"Adding...","Додавање..."
"Added","Додато"
"does not implement Storage Interface","није имплементиран Стораге Интерфаце"
"unselect all","поништи изабране"
"Inventory","Инвентар"
"Catalog Section","Део каталога"
"Small","Мало"
"Main","Главни"
"Custom image","Custom image"
"Product Fields Auto-Generation","Поља производа Ауто-Генератион"
"Mask for SKU","Маска за СКУ"
"Use {{name}} as Product Name placeholder","Користи {{наме}} као плацехолдер за Име Производа"
"Mask for Meta Title","Маска за Мета Наслов"
"Mask for Meta Keywords","Маска за Мета Кључне речи"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Користи {{наме}} као назив производа или {{ску}} као СКУ Производа плацехолдерс"
"Mask for Meta Description","Маска за Мета Опис"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Користи {{наме}} и {{десцриптион}} као плацехолдерс за Назив и Опис производа"
"Recently Viewed/Compared Products","Недавно Погледано/Упоређени Производи"
"Lifetime of products in Recently Viewed Widget","Век трајања производа у Недавно Прегледаном додатку"
"Lifetime of products in Recently Compared Widget","Век трајања производа у Недавно Упоређеном додатку"
"Synchronize widget products with backend storage","Синхронизујте виџет производе са бацкенд складиштем"
"Storefront","Продавница"
"List Mode","Режим Листе"
"Products per Page on Grid Allowed Values","Производа по страници у мрежи дозвољених вредности"
"Comma-separated.","Одвојено зарезом."
"Products per Page on Grid Default Value","Производа по страници у мрежи дефинисаних вредности"
"Must be in the allowed values list","Мора бити у листи дозвољених вредности"
"Products per Page on List Allowed Values","Производа по страници у листи дозвољених вредности"
"Products per Page on List Default Value","Производа по страници у листи дефинисаних вредности"
"Use Flat Catalog Category","Користи каталог категорија"
"Use Flat Catalog Product","Користи католг производа"
"Product Listing Sort by","Листање производа сортирано по"
"Allow All Products per Page","Дозволи све производе по страници"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Да ли се приказује опција ""Све"" у ""Прикажи X По Страници"" листи"
"Allow Dynamic Media URLs in Products and Categories","Дозволи Дyнамиц Медиа УРЛс ин Производи анд Категорије"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Нпр. {{медиа урл=""патх/то/имаге.јпг""}} {{скин урл=""патх/то/пицтуре.гиф""}}. Динамичко парсирање директива утиче на перформансе каталога."
"Product Image Placeholders","Простор за слике производа"
"Search Engine Optimization","Оптимизација програма за претраживање"
"Page Title Separator","Сепаратор наслова странице"
"Use Canonical Link Meta Tag For Categories","Користи Цаноницал Линк Мета Таг за категорије"
"Use Canonical Link Meta Tag For Products","Користи Цаноницал Линк Мета Таг за производе"
"Catalog Price Scope","Опсег каталога цена"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Ово дефинише основу опсега валута (""Подешавање валуте"" > ""Опције валута"" > ""Основне валуте"")."
"Category Top Navigation","Врх навигација категорија"
"Maximal Depth","Максимална дубина"
"Date & Time Custom Options","Опције подешавања датума и времена"
"Use JavaScript Calendar","Користи ЈаваСцрипт календар"
"Date Fields Order","Распоред поља за упис датума"
"Time Format","Формат времена"
"Year Range","Опсег година"
"Please use a four-digit year format.","Молимо користите четвороцифрени формат за годину."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Усе Статиц УРЛс фор Медиа Садржај ин WYСИWYГ фор Каталог"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Top Level Category","Топ Левел Категорија"
"Product Info Column","Колона са информацијама о производу"
"Block after Info Column","Блок после инфо колоне"
"Product Flat Data","Подаци о производу"
"Reorganize EAV product structure to flat structure","Реорганизуј ЕАВ структуру производа у флет структуру"
"Category Flat Data","Подаци категорије"
"Reorganize EAV category structure to flat structure","Реорганизуј ЕАВ структуру производа у флет структуру"
"Category Products","Категорија производа"
"Indexed category/products association","Индексирана категорија/група производа"
"Product Categories","Категорије производа"
"Indexed product/categories association","Индексирани производи/групе категорија"
"Product Price","Цена производа"
"Index product prices","Индексирање цене производа"
"Product EAV","ЕАВ производа"
"Index product EAV","Индексирање ЕАВ производа"
"Catalog New Products List","Каталог Листа Нових Производа"
"List of Products that are set as New","Листа производа који су постављени као Нови"
"Display Type","Тип Приказа"
"All products - recently added products, New products - products marked as new","Сви производи - недавно додати производи, Нови производи - производи означени као нови"
"All products","Сви производи"
"New products","Нови производи"
"Display Page Control","Контрола приказа производа"
"Number of Products per Page","Број производа по страници"
"Number of Products to Display","Број производа за приказ"
"Template","Шаблон"
"New Products Grid Template","Шаблон мреже нових производа"
"New Products List Template","Шаблон листе нових производа"
"New Products Images and Names Template","Шаблони имена и слика нових производа"
"New Products Names Only Template","Шаблон за Имена Нових Производа"
"New Products Images Only Template","Шаблон за Слике Нових Производа"
"Cache Lifetime (Seconds)","Век трајања кеша (секунде)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","Линк са Каталогом Производа"
"Link to a Specified Product","Линк до одређеног производа"
"Select Product...","Одаберите Производ..."
"Anchor Custom Text","Сидро Одабраног Текста"
"If empty, we'll use the product name here.","Ако је празно, користићемо назив производа овде."
"Anchor Custom Title","Сидро Одабраног Назива"
"Product Link Block Template","Шаблон блока линка производа"
"Product Link Inline Template","Шаблон за Инлине Линк Производа"
"Catalog Category Link","Линк Каталога Категорије"
"Link to a Specified Category","Линкуј на одређену категорију"
"Select Category...","Одабери Категорију..."
"If empty, we'll use the category name here.","Ако је празно, користићемо назив категорије овде."
"Category Link Block Template","Шаблон Блока Линка за Категорију"
"Category Link Inline Template","Шаблон Инлине Линка за Категорију"
"Recently Viewed Products","Недавно прегледани производи"
"List of Products Recently Viewed by Visitor","Листа производа коју је посетилац недавно погледао"
"UI Component","УИ компонента"
"Number of Products to display","Број производа за приказ"
"Product attributes to show","Атрибути производа за приказ"
"Image","Слика"
"Learn More Link","Линк Сазнајте више"
"Buttons to show","Тастери за приказ"
"Add to Wishlist","Додај у листу жеља"
"Viewed Products Grid Template","Шаблон мреже прегледаних производа"
"Viewed Products List Template","Шаблон листе прегледаних производа"
"Viewed Products Sidebar Template","Шаблон Сидебар приказаних производа"
"Recently Compared Products","Недавно Упоређени Производи"
"List of Products Recently Compared by Visitor","Листа Производа које је посетилац недавно упоређивао"
"Compared Products Grid Template","Шаблон Мреже упоређених производа"
"Compared Products List Template","Шаблон листе упоређених производа"
"Set","Подеси"
"Category Information","Информације о категорији"
"Enable Category","Омогући категорију"
"Include in Menu","Укључи у Мени"
"Content","Садржај"
"Category Image","Слика категорије"
"Description","Опис"
"Add CMS Block","Додај ЦМС Блок"
"Display Settings","Подешавање приказа"
"Display Mode","Режим приказа"
"Anchor","Сидро"
"Available Product Listing Sort By","Аваилабле Производ Листинг Сортирај Бy"
"Use All","Користи Све"
"Default Product Listing Sort By","Подразумевани сортирање листе производа"
"Layered Navigation Price Step","Корак у Слојевитој Навигацији"
"URL Key","УРЛ Кључ"
"Meta Title","Мета Наслов"
"Meta Keywords","Мета клјучне речи"
"Meta Description","Мета опис"
"Products in Category","Производи у Категорији"
"Design","Дизајн"
"Theme","Тема"
"Layout","Распоред"
"Layout Update XML","Распоред ажурирања XМЛ-а"
"Apply Design to Products","Примени дизајн на производе"
"Schedule Design Update","Распоред ажурирања дизајна"
"AttributeSetText","AttributeSetText"
"StatusText","StatusText"
"Product Image Watermarks","Ознаке слике производа"
"Base","База"
"Allowed file types: jpeg, gif, png.","Дозвољени типови датотеке: јпег, гиф, пнг."
"Image Opacity","Непровидност Слике"
"Example format: 200x300.","Формат примера: 200x300."
"Image Position","Позиција слике"
"Attribute Properties","Поставке атрибута"
"Attribute Label","Ознака атрибута"
"Catalog Input Type for Store Owner","Тип уноса каталога за Власника Продавнице"
"Values","Вредности"
"Add this attribute to the list of column options in the product grid.","Додај овај атрибут у колону са опцијама у мрежи производа."
"Add this attribute to the list of filter options in the product grid.","Додај овај атрибут у листу филтрирајућих опција у мрежи производа."
"System","Систем"
"All Store Views","Сви прегледи продавница"
"Delete selected items?","Обриши одабране производе?"
"Delete items","Обриши производе"
"Change status","Промена статуса"
"Enable","Омогући"
"Disable","Онемогући"
"Update attributes","Ажурирати атрибуте"
"Overview","Преглед"
"Skip to the end of the images gallery","Прескочи на крај галерије слика"
"Skip to the beginning of the images gallery","Прескочи на почетак галерије слика"
"Details","Детаљи"
"Recently Compared","Недавно Упоређени"
"Add To Cart","Додај У Корпу"
"Add To Compare","Додај за упоређивање"
"Learn more","Сазнај више"
"Recently Viewed","Недавно погледано"
"Save Category","Сними категорију"
"Delete Category","Обриши категорију"
"New Subcategory","Нова подкатегорија"
"New Root Category","Нова коренска категорија"
"Set Root Category for Store","Постави коренску категорију за продавницу"
"Custom Design","Прилагођени дизајн"
"Category Data","Категорија Дата"
"Not shared with other products","Not shared with other products"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Depends on design theme","Depends on design theme"
"We saved the price alert subscription.","We saved the price alert subscription."
"We saved the stock notification.","We saved the stock notification."
"Images and Videos","Images and Videos"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Постави као основу"
"There was a category move error. %1","There was a category move error. %1"
"You moved the category","Преместили сте категорију"
"This product no longer exists.","Овај производ више не постоји."
"We can't find the image file.","Не можемо пронаћи фајл слике."
"productFactory is already set","productFactory is already set"
"Could not save product option","Није могао саве продуцт оптион"
"Product option with id %1 does not exist","Производ оптион wитх ид %1 не постоји"
"Are you sure you want to delete this category?","Да ли сте сигурни да желите да обришете ову категорију?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Поставите коренску категорију за ову продавницу у <а хреф=""%1"">конфигурацији</а>."
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"An attribute group named ""/name/"" already exists"".","Група атрибута под називом ""/наме/"" већ постоји""."
"Close panel","Затвори панел"
"Allow Multiple Boxes for Shipping.","Дозволи Мултипле Боxес фор Достава."
"Ok","У реду"
"Watermark Default Size","Wатермарк Подразумевано Сизе"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark","Watermark"
"Watermark Position","Watermark Position"
"none","none"
"File validation failed.","Неуспешна валидација фајла."
"text","text"
"Tier Price","Цена по нивоу"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"Sort Products By","Сортирај Производе По"
"Default Product Sorting","Подразумевано Сортирање Производа"
"Use Parent Category Settings","Користи Подешавања Родитељске Категорије"
"Page not found","Страница није пронађена"
"Full file path is expected.","Пуна путања фајла је очекивана."
"from","од"
"to","до"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","Атрибут не може бити сачуван због грешке. Проверите информације и покушајте поново. Уколико и даље приказује грешку, молимо покушајте касније."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","Атрибут није потврђен због грешке. Проверите информације и покушајте поново. Уколико се грешка настави, молимо покушајте поново."
"Tier prices data should be array, but actually other type is received","Подаци о попусту на количину треба да буде низ, али други тип је примљен"
"Price indexer ""%1"" must implement %2 or %3","Индеxер цене ""%1"" мора имплементирати %2 или %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","Додали сте производ %1 у <а хреф=""%2"">листу поређења</а>."
"Maximum %1 characters","Максимално %1 карактера"
"remaining","преостало"
"too many","превише"
"Sending attribute values as package.","Sending attribute values as package."
"This value does not follow the specified format (for example, 200X300).","This value does not follow the specified format (for example, 200X300)."
"Applies to category pages","Примењиво на странице категорије"
"Remember Category Pagination","Мемориши Странице Категорије"
"Changing may affect SEO and cache storage consumption.","Мењање може утицати на СЕО и кеш складиштење."
"Images Upload Configuration","Конфигурација учитаних слика"
"Quality","Квалитет"
"Jpeg quality for resized images 1-100%.","Јпег квалитет за измењену величину слике 1-100%."
"Cost","Цена коштања"
"The ""%1"" attribute is required. Enter and try again.","""%1"" атрибут је обавезан. Унесите га и покушајте поново."
"Attributes were missing and must be specified.","Недостају атрибути који морају бити дефинисани."
"The value of Admin must be unique. (%1)","Вредност Админ мора бити јединствена. (%1)"
"The product was unable to be saved. Please try again.","Производ није могуће сачувати. Молимо покушајте касније."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","Вредност ""%1"" својства није јединствена. Подесите јединствену вредност и покушајте поново."
"The category doesn't contain the specified product.","Категорија не садржи наведени производ."
"The %1 value wasn't found in the algorithms.","%1 вредност није пронађена у алгоритмима."
"The filters are invalid. Set them in an array and try again.","Филтери нису исправни. Поставите их у низ и покушајте поново."
"The product wasn't registered.","Производ није регистрован."
"The store wasn't registered. Verify the store and try again.","Продавница није регистрована. Верификујте продавницу и пробајте поново."
"The ""%1"" attribute value is empty. Set the attribute and try again.","""%1"" вредност атрибута је празна. Поставите атрибут и покушајте поново."
"The attribute set couldn't be created because it's based on a non-product attribute set.","Атрибут сет не може бити креиран јер је базиран на атрибут сету који није везан за производ."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","Атрибут сет не може бити креиран јер се базира на непостојећем атрибут сету."
"The image content is invalid. Verify the content and try again.","Слика је неисправна. Проверите садржај и покушајте поново."
"The product can't be saved.","Производ не може бити сачуван."
"The new media gallery entry failed to save.","Нова галерија медије није могла бити сачувана."
"No image with the provided ID was found. Verify the ID and try again.","Слика са унетим ИДем није пронађена. Проверите ИД па покушајте поново."
"The product doesn't exist. Verify and try again.","Производ не постоји. Проверите па покушајте поново."
"The image doesn't exist. Verify and try again.","Слика не постоји. Проверите па покушајте поново."
"The image doesn't exist.","Производ не постоји."
"The image type for the file is invalid. Enter the correct image type and try again.","Тип слике није валидан за овакав фајл. Унесите исправан тип слике па покушајте поново."
"The ""%1"" file couldn't be moved.","Фајл ""%1"" не може да се помери."
"The ProductSku is empty. Set the ProductSku and try again.","ПродуцтСку је празан. Унесите ПродуцтСку па покушајте поново."
"The custom option couldn't be removed.","Прилагођена опција не може да се уклони."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","Обавезне опције производа нису унете. Уверите се да су опције уписане и покушајте поново."
"The file options format is invalid. Use a correct format and try again.","Неисправан формат филе опција. Користите исправан формат и покушајте поново."
"The file ""%1"" is empty. Select another file and try again.","Фајл ""%1"" је празан. Одаберите други фајл и покушајте поново."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","Валидација није успела. Уверите се да су обавезне опције уписане и да је фајл окачен, па покушајте поново."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","Фајл је био превелик и није могао бити окачен. Користите програм да бисте смањили фајл на %1 МБс и покушајте поново."
"The required option wasn't entered. Enter the option and try again.","Обавезна опција није уписана. Унесите опцију и покушајте поново."
"The file is empty. Select another file and try again.","Фајл је празан. Одаберите други фајл и покушајте поново."
"The text is too long. Shorten the text and try again.","Текст је предугачак. Скратите текст и покушајте поново."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Тражени производ не постоји. Проверите производ и покушајте поново. Роw ИД: СКУ = %СКУ, Сторе ИД: %стореИд, Прице Фром: %прицеФром, Прице То: %прицеТо."
"Tier price is unavailable for this product.","Цена с попустом за одређену групу није омогућена за овај производ."
"The tier_price data is invalid. Verify the data and try again.","Тиер_прице подаци нису исправни. Проверите податке и покушајте поново."
"The group price couldn't be saved.","Групна цена не може бити сачувана."
"The data was invalid. Verify the data and try again.","Податак није исправан. Проверите податак и покушајте поново."
"Values in the %1 attributes are invalid. Verify the values and try again.","Вредности у %1 атрибутима нису исправне. Проверите вредности и покушајте поново."
"We can't create the ""%1"" writeable directory.","Не можемо креирати ""%1"" уписни директориј."
"The file upload failed. Try to upload again.","Неуспешно уплоудовање фајла. Покушајте поново."
"The product has required options. Enter the options and try again.","Производ има неке обавезне опције. Попуните те опције и покушајте поново."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","Група са ИД ""%1"" не постоји. Проверите ИД и покушајте поново."
"The attribute group can't be deleted because it contains system attributes.","Атрибут групе не може бити обрисан зато што садржи системске атрибуте."
"The collection provider isn't registered.","Пружалац колекције није регистрован."
"The ""%1"" link type is unknown. Verify the type and try again.","""%1"" тип линка је непознат. Верификујте тип и покушајте поново."
"The ""%1"" link type wasn't found. Verify the type and try again.","""%1"" тип линка није пронађен. Верификујте тип и покушајте поново."
"The linked products data is invalid. Verify the data and try again.","Подаци повезаних производа су неисправни. Верификујте податке и покушајте поново."
"The product that was requested doesn't exist. Verify the product and try again.","Тражени производ не постоји. Проверите производ и покушајте касније."
"The Product with the ""%1"" SKU doesn't exist.","Производ са ""%1"" СКУ не постоји."
"The ""%1"" product couldn't be removed.","""%1"" производ не може бити уклоњен."
"Category with ID: %s doesn't exist","Категорија са ИД: %с не постоји"
"Product Name or SKU","Назив производа или СКУ"
"Start typing to find products","Почните да куцате да бисте пронашли производ"
"Product with ID: %s doesn't exist","Производ са ИД: %с не постоји"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Процесор %1 не имплементира WyсиwyгЦонфигДатаПроцессорИнтерфаце. Биће прескочен"
"An item needs to be selected. Select and try again.","Морате одабрати артикл. Одаберите и покушајте поново."
"Use Static URLs for Media Content in WYSIWYG","Користите статички УРЛ за медиа садржаје у WYСИWYГ"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Медиа садржаји ће бити убачени у едитор као статички УРЛ. Медиа садржаји се неће ажурирати ако се промени системска конфигурација УРЛ-а."
"Default Layouts","Подразумевани Распоред"
"Default Product Layout","Подразумевани распоред производа"
"Default Category Layout","Подразумевани распоред категорија"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","Време у секундама између ажурирања додатака.
                    <бр/>Ако није подешен, једнак је 86400 секунда (24 сата). Ако желите да ажурирате додатак одмах, идите у Кеш Менаџмент и очистите кеш Блоцкс ХТМЛ Оутпут.
                    <бр/>Додатак неће приказати производе који се поклапају са дефинисаним условим док се кеш не освежи."
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Тип уноса у Теxт Едитор захтева да WYСИWYГ буде омогућен у Сторес > Цонфигуратион > Цонтент Манагемент."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Код атрибута ""%1” је неважећи. Молимо вас да користите само слова (а-з или А-З), бројеве (0-9) или доњу црту (_) у овом пољу, први знак треба да буде слово."
"Advanced","Напредни"
