"Root","최상위"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">
 Products &gt; Categories</a>
 ."
"This operation can take a long time","이 작업은 시간이 걸립니다."
"Collapse All","모두 접기"
"Expand All","모두 확장 "
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
"Use Default Value","기본값 사용"
"Manage Titles (Size, Color, etc.)","타이틀 관리(사이즈, 색상 등)"
"Manage Options (Values of Your Attribute)","옵션 관리(어트리뷰트 값)"
"Is Default","Is Default"
"Sort Option","정렬 옵션"
"Groups","그룹"
"Double click on a group to rename it.","그룹을 더블클릭하면 이름을 바꿀 수 있습니다."
"Unassigned Attributes","미할당 어트리뷰트"
"A name is required.","이름은 필수 항목 입니다."
"This group contains system attributes. Please move system attributes to another group and try again.","해당 그룹은 시스템 어트리뷰트를 포함하고 있습니다. 시스템 어트리뷰트를 다른 그룹으로 옮기고 다시 시도해 주십시오."
"Please select a node.","Please select a node."
"Please enter a new group name.","새로운 그룹 이름을 입력해 주십시오."
"An attribute group named ""/name/"" already exists.","An attribute group named ""/name/"" already exists."
"Sorry, we're unable to complete this request.","Sorry, we're unable to complete this request."
"You can't remove attributes from this attribute set.","You can't remove attributes from this attribute set."
"Custom Options","Custom Options"
"This is a required option.","필수 옵션 입니다."
"The field isn't complete.","The field isn't complete."
"Compatible file extensions to upload","업로드할 수 있는 호환가능한 파일 확장자"
"Maximum image width","최대 이미지 폭"
"Maximum image height","최대 이미지 높이"
"Maximum number of characters:","최대 글자수:"
"start typing to search template","start typing to search template"
"Product online","Product online"
"Product offline","Product offline"
"Product online status","Product online status"
"Manage Stock","재고 관리"
"Qty","수량"
"Out-of-Stock Threshold","품절 임계치"
"Minimum Qty Allowed in Shopping Cart","장바구니에 담을 수 있는 최소 수량"
"Maximum Qty Allowed in Shopping Cart","장바구니에 담을 수 있는 최대 수량"
"Qty Uses Decimals","수량에 소수점 사용"
"Backorders","백오더"
"Notify for Quantity Below","해당 수량 이하일때 알림"
"Enable Qty Increments","수량 증가 사용"
"Qty Increments","수량 증가"
"Stock Availability","재고상태"
"In Stock","재고 있음"
"Out of Stock","품절"
"Add Product To Websites","웹사이트에 상품 추가"
"Remove Product From Websites","웹사이트에서 상품 삭제"
"To hide an item in catalog or search results, set the status to ""Disabled"".","카탈로그나 검색에서 상품을 보이지 않게 하려면 상태를 ""비활성화""로 바꾸십시오."
"We can't save custom-defined options for bundles with dynamic pricing.","We can't save custom-defined options for bundles with dynamic pricing."
"Delete Custom Option","Delete Custom Option"
"Sort Custom Options","Sort Custom Options"
"Input Type","입력 타입"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>
 x</span>
 %2 <span>
 px.</span>
 "
"Sort Custom Option","Sort Custom Option"
"Item Price","상품 가격"
"Action","동작"
"and above","and above"
"Delete Tier","Delete Tier"
"Product In Websites","웹사이트 상품"
"(Copy data from: %1)","(%1에서 데이터 복사)"
"Browse to find or drag image here","Browse to find or drag image here"
"Delete image","이미지 삭제"
"Hidden","Hidden"
"Alt Text","대체 텍스트"
"Role","Role"
"Image Size","이미지 사이즈"
"{size}","{size}"
"Image Resolution","이미지 해상도"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","상품 페이지에서 숨기기"
"Allow Multiple Boxes for Shipping","배송시 복수 박스 포장 허용"
"start typing to search attribute","start typing to search attribute"
"Basic Settings","기본 설정"
"Advanced Settings","고급 설정"
"Changes have been made to this section that have not been saved.","Changes have been made to this section that have not been saved."
"This tab contains invalid data. Please resolve this before saving.","이 탭에 잘못된 데이터가 있습니다. 문제 해결후 저장해 주십시오."
"Mass Actions","대량 작업"
"Select All","모두 선택"
"Unselect All","모두 선택취소"
"Select Visible","보이는 항목 선택"
"Unselect Visible","보이는 항목 해제"
"Special Price","특별 가격"
"Regular Price","일반 가격"
"Buy %1 for: ","Buy %1 for: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Buy %1 for %2 each and <strong class=""benefit"">
 save<span class=""percent tier-%3"">
 &nbsp;%4</span>
 %</strong>
 "
"Buy %1 for %2 each","Buy %1 for %2 each"
"Shop By","정렬순서"
"Shopping Options","쇼핑 옵션"
"Compare Products","상품 비교"
"Print This Page","페이지 인쇄"
"Remove Product","상품 삭제"
"Add to Cart","장바구니에 추가"
"In stock","재고 있음"
"Out of stock","품절"
"Add to Wish List","위시리스트에 추가"
"You have no items to compare.","비교 리스트에 상품이 없습니다."
"Remove This Item","항목 삭제"
"Compare","비교"
"Clear All","모두 지우기"
"Prev","이전"
"Next","다음"
"We can't find products matching the selection.","We can't find products matching the selection."
"Learn More","더 알아보기"
"Add to Compare","비교하기에 추가"
"We found other products you might like!","We found other products you might like!"
"More Choices:","More Choices:"
"Check items to add to the cart or","Check items to add to the cart or"
"select all","모두 선택"
"Items %1-%2 of %3","%3개의 상품 중 %1-%2"
"%1 Item","%1 Item"
"%1 Items","%1 Items"
"Show","보기"
"per page","페이지 당"
"Sort By","정렬 기준"
"Set Ascending Direction","오름차순"
"Set Descending Direction","내림차순"
"View as","보기"
"More Information","추가 정보"
"Loading...","Loading..."
"* Required Fields","* 필수 항목"
"Availability","재고상태"
"Warning message","경고 메세지"
"Submit","Submit"
"We don't recognize or support this file extension type.","해당 파일의 확장자를 인식할 수 없거나 지원하지 않는 형식입니다."
"Configure Product","Configure Product"
"OK","확인"
"This value does not follow the specified format (for example, 200x300).","This value does not follow the specified format (for example, 200x300)."
"Select type of option.","옵션 타입을 선택해 주십시오."
"Please add rows to option.","옵션에 열 추가"
"Please select items.","Please select items."
"Choose existing category.","카테고리를 선택해 주십시오."
"Image Detail","이미지 상세"
"Adding...","추가중..."
"Added","추가됨"
"does not implement Storage Interface","does not implement Storage Interface"
"unselect all","모두 해제"
"Inventory","Inventory"
"Catalog Section","Catalog Section"
"Small","Small"
"Main","Main"
"Custom image","Custom image"
"Product Fields Auto-Generation","Product Fields Auto-Generation"
"Mask for SKU","Mask for SKU"
"Use {{name}} as Product Name placeholder","Use {{name}} as Product Name placeholder"
"Mask for Meta Title","Mask for Meta Title"
"Mask for Meta Keywords","Mask for Meta Keywords"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Use {{name}} as Product Name or {{sku}} as Product SKU placeholders"
"Mask for Meta Description","Mask for Meta Description"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Use {{name}} and {{description}} as Product Name and Product Description placeholders"
"Recently Viewed/Compared Products","최근 본 상품/비교한 상품"
"Lifetime of products in Recently Viewed Widget","Lifetime of products in Recently Viewed Widget"
"Lifetime of products in Recently Compared Widget","Lifetime of products in Recently Compared Widget"
"Synchronize widget products with backend storage","Synchronize widget products with backend storage"
"Storefront","스토어프론트"
"List Mode","리스트 모드"
"Products per Page on Grid Allowed Values","그리드 보기에서 페이지당 보이는 상품 수"
"Comma-separated.","콤마 구분."
"Products per Page on Grid Default Value","그리드 보기에서 페이지당 보이는 기본 상품 수"
"Must be in the allowed values list","Must be in the allowed values list"
"Products per Page on List Allowed Values","리스트 보기에서 페이지당 보이는 상품 수"
"Products per Page on List Default Value","리스트 보기에서 페이지당 보이는 기본 상품 수"
"Use Flat Catalog Category","플랫 카탈로그 카테고리 사용"
"Use Flat Catalog Product","플랫 카탈로그 상품 사용"
"Product Listing Sort by","Product Listing Sort by"
"Allow All Products per Page","헌페이지에서 모든 상품 보기 허용"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Whether to show ""All"" option in the ""Show X Per Page"" dropdown"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Product Image Placeholders","Product Image Placeholders"
"Search Engine Optimization","검색 엔진 최적화"
"Page Title Separator","페이지 타이틀 구분자"
"Use Canonical Link Meta Tag For Categories","카테고리에 캐노니컬 링크 사용"
"Use Canonical Link Meta Tag For Products","상품에 캐노니컬 링크 사용"
"Catalog Price Scope","가격 적용범위"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","기본 통화 적용범위를 지정합니다. (""통화 설정"" > ""통화 옵션"" > ""기본 통화"")."
"Category Top Navigation","카테고리 탑 내비게이션"
"Maximal Depth","Maximal Depth"
"Date & Time Custom Options","Date & Time Custom Options"
"Use JavaScript Calendar","자바스트립트 달력 사용"
"Date Fields Order","Date Fields Order"
"Time Format","시간 형식"
"Year Range","연도 범위"
"Please use a four-digit year format.","4자리 연도를 사용해 주십시오."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Top Level Category","최상위 카테고리"
"Product Info Column","Product Info Column"
"Block after Info Column","Block after Info Column"
"Product Flat Data","Product Flat Data"
"Reorganize EAV product structure to flat structure","Reorganize EAV product structure to flat structure"
"Category Flat Data","Category Flat Data"
"Reorganize EAV category structure to flat structure","Reorganize EAV category structure to flat structure"
"Category Products","카테고리 상품"
"Indexed category/products association","Indexed category/products association"
"Product Categories","상품 카테고리"
"Indexed product/categories association","Indexed product/categories association"
"Product Price","상품 가격"
"Index product prices","상품 가격 인덱스"
"Product EAV","상품 EAV"
"Index product EAV","상품 EAV 인덱스"
"Catalog New Products List","카타로그 신규 상품 리스트"
"List of Products that are set as New","신규로 지정된 상품 리스트"
"Display Type","디스플레이 타입"
"All products - recently added products, New products - products marked as new","모든 상품 - 최근 등록된 상품, 신규 상품 - 신규로 지정된 상품"
"All products","모든 상품"
"New products","신규 상품"
"Display Page Control","페이지 표시 컨트롤"
"Number of Products per Page","페이지당 상품 수"
"Number of Products to Display","보여질 상품 수"
"Template","템플릿"
"New Products Grid Template","신규 상품 그리드 템플릿"
"New Products List Template","신규 상품 리스트 템플릿"
"New Products Images and Names Template","신규 상품 이미지와 이름 템플릿"
"New Products Names Only Template","New Products Names Only Template"
"New Products Images Only Template","New Products Images Only Template"
"Cache Lifetime (Seconds)","캐시 활성시간 (초)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","카탈로그 상품 링크"
"Link to a Specified Product","Link to a Specified Product"
"Select Product...","상품 선택..."
"Anchor Custom Text","Anchor Custom Text"
"If empty, we'll use the product name here.","비어있다면 상품 이름을 사용합니다."
"Anchor Custom Title","Anchor Custom Title"
"Product Link Block Template","Product Link Block Template"
"Product Link Inline Template","Product Link Inline Template"
"Catalog Category Link","카탈로그 카테고리 링크"
"Link to a Specified Category","Link to a Specified Category"
"Select Category...","카테고리 선택..."
"If empty, we'll use the category name here.","비어있다면 카테고리 이름을 사용합니다."
"Category Link Block Template","Category Link Block Template"
"Category Link Inline Template","Category Link Inline Template"
"Recently Viewed Products","최근 본 상품"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"UI Component","UI Component"
"Number of Products to display","Number of Products to display"
"Product attributes to show","Product attributes to show"
"Image","이미지"
"Learn More Link","Learn More Link"
"Buttons to show","Buttons to show"
"Add to Wishlist","위시리스트에 추가"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Viewed Products Sidebar Template","Viewed Products Sidebar Template"
"Recently Compared Products","최근 비교한 상품"
"List of Products Recently Compared by Visitor","List of Products Recently Compared by Visitor"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Set","Set"
"Category Information","카테고리 정보"
"Enable Category","카테고리 활성화"
"Include in Menu","메뉴에 포함"
"Content","콘텐츠"
"Category Image","카테고리 이미지"
"Description","상세 설명"
"Add CMS Block","CMS 블럭 추가"
"Display Settings","디스플레이 설정"
"Display Mode","Display Mode"
"Anchor","Anchor"
"Available Product Listing Sort By","Available Product Listing Sort By"
"Use All","모두 사용"
"Default Product Listing Sort By","Default Product Listing Sort By"
"Layered Navigation Price Step","Layered Navigation Price Step"
"URL Key","URL 키 "
"Meta Title","메타 타이틀"
"Meta Keywords","메타 키워드"
"Meta Description","메타 설명"
"Products in Category","카테고리 상품"
"Design","디자인"
"Theme","테마"
"Layout","레이아웃"
"Layout Update XML","레이아웃 업데이트 XML"
"Apply Design to Products","상품에 디자인 적용"
"Schedule Design Update","Schedule Design Update"
"AttributeSetText","어트리뷰트 세트 텍스트"
"StatusText","상태 텍스트"
"Product Image Watermarks","상품 이미지 워터마크"
"Base","Base"
"Allowed file types: jpeg, gif, png.","사용가능한 파일 형식: jpeg, gif, png"
"Image Opacity","이미지 투명도"
"Example format: 200x300.","형식 예: 200x300"
"Image Position","이미지 위치"
"Attribute Properties","어트리뷰트 속성"
"Attribute Label","어트리뷰트 라벨"
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
"Values","밸류"
"Add this attribute to the list of column options in the product grid.","해당 어트리뷰트를 제품 그리드의 열 옵션 목록에 추가합니다."
"Add this attribute to the list of filter options in the product grid.","해당 어트리뷰트를 제품 그리드의 필터 옵션 목록에 추가합니다."
"System","시스템"
"All Store Views","모든 스토어뷰"
"Delete selected items?","선택한 항목을 삭제하시겠습니까?"
"Delete items","항목 삭제"
"Change status","상태 변경"
"Enable","활성"
"Disable","비활성"
"Update attributes","어트리뷰트 업데이트"
"Overview","Overview"
"Skip to the end of the images gallery","Skip to the end of the images gallery"
"Skip to the beginning of the images gallery","Skip to the beginning of the images gallery"
"Details","상세 정보"
"Recently Compared","Recently Compared"
"Add To Cart","장바구니 담기"
"Add To Compare","비교하기에 추가"
"Learn more","더 알아보기"
"Recently Viewed","Recently Viewed"
"Save Category","Save Category"
"Delete Category","Delete Category"
"New Subcategory","New Subcategory"
"New Root Category","New Root Category"
"Set Root Category for Store","Set Root Category for Store"
"Custom Design","Custom Design"
"Category Data","Category Data"
"Not shared with other products","Not shared with other products"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Depends on design theme","Depends on design theme"
"We saved the price alert subscription.","We saved the price alert subscription."
"We saved the stock notification.","We saved the stock notification."
"Images and Videos","Images and Videos"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"There was a category move error. %1","There was a category move error. %1"
"You moved the category","You moved the category"
"This product no longer exists.","This product no longer exists."
"We can't find the image file.","We can't find the image file."
"productFactory is already set","productFactory is already set"
"Could not save product option","Could not save product option"
"Product option with id %1 does not exist","Product option with id %1 does not exist"
"Are you sure you want to delete this category?","이 카테고리를 삭제하시겠습니까?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Set root category for this store in the <a href=""%1"">configuration</a>."
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"An attribute group named ""/name/"" already exists"".","An attribute group named ""/name/"" already exists""."
"Close panel","Close panel"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
"Ok","Ok"
"Watermark Default Size","Watermark Default Size"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark","Watermark"
"Watermark Position","Watermark Position"
"none","none"
"File validation failed.","File validation failed."
"text","text"
"Tier Price","Tier Price"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"Sort Products By","Sort Products By"
"Default Product Sorting","Default Product Sorting"
"Use Parent Category Settings","Use Parent Category Settings"
"Page not found","Page not found"
"Full file path is expected.","Full file path is expected."
"from","from"
"to","to"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","You added product %1 to the <a href=""%2"">comparison list</a>."
"Maximum %1 characters","Maximum %1 characters"
"remaining","remaining"
"too many","too many"
"Sending attribute values as package.","Sending attribute values as package."
"This value does not follow the specified format (for example, 200X300).","This value does not follow the specified format (for example, 200X300)."
"Applies to category pages","Applies to category pages"
"Remember Category Pagination","Remember Category Pagination"
"Changing may affect SEO and cache storage consumption.","Changing may affect SEO and cache storage consumption."
"Images Upload Configuration","Images Upload Configuration"
"Quality","Quality"
"Jpeg quality for resized images 1-100%.","Jpeg quality for resized images 1-100%."
"Cost","Cost"
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Attributes were missing and must be specified.","Attributes were missing and must be specified."
"The value of Admin must be unique. (%1)","The value of Admin must be unique. (%1)"
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The category doesn't contain the specified product.","The category doesn't contain the specified product."
"The %1 value wasn't found in the algorithms.","The %1 value wasn't found in the algorithms."
"The filters are invalid. Set them in an array and try again.","The filters are invalid. Set them in an array and try again."
"The product wasn't registered.","The product wasn't registered."
"The store wasn't registered. Verify the store and try again.","The store wasn't registered. Verify the store and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
"The image content is invalid. Verify the content and try again.","The image content is invalid. Verify the content and try again."
"The product can't be saved.","The product can't be saved."
"The new media gallery entry failed to save.","The new media gallery entry failed to save."
"No image with the provided ID was found. Verify the ID and try again.","No image with the provided ID was found. Verify the ID and try again."
"The product doesn't exist. Verify and try again.","The product doesn't exist. Verify and try again."
"The image doesn't exist. Verify and try again.","The image doesn't exist. Verify and try again."
"The image doesn't exist.","The image doesn't exist."
"The image type for the file is invalid. Enter the correct image type and try again.","The image type for the file is invalid. Enter the correct image type and try again."
"The ""%1"" file couldn't be moved.","The ""%1"" file couldn't be moved."
"The ProductSku is empty. Set the ProductSku and try again.","The ProductSku is empty. Set the ProductSku and try again."
"The custom option couldn't be removed.","The custom option couldn't be removed."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The file options format is invalid. Use a correct format and try again.","The file options format is invalid. Use a correct format and try again."
"The file ""%1"" is empty. Select another file and try again.","The file ""%1"" is empty. Select another file and try again."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again."
"The required option wasn't entered. Enter the option and try again.","The required option wasn't entered. Enter the option and try again."
"The file is empty. Select another file and try again.","The file is empty. Select another file and try again."
"The text is too long. Shorten the text and try again.","The text is too long. Shorten the text and try again."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Tier price is unavailable for this product.","Tier price is unavailable for this product."
"The tier_price data is invalid. Verify the data and try again.","The tier_price data is invalid. Verify the data and try again."
"The group price couldn't be saved.","The group price couldn't be saved."
"The data was invalid. Verify the data and try again.","The data was invalid. Verify the data and try again."
"Values in the %1 attributes are invalid. Verify the values and try again.","Values in the %1 attributes are invalid. Verify the values and try again."
"We can't create the ""%1"" writeable directory.","We can't create the ""%1"" writeable directory."
"The file upload failed. Try to upload again.","The file upload failed. Try to upload again."
"The product has required options. Enter the options and try again.","The product has required options. Enter the options and try again."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group can't be deleted because it contains system attributes.","The attribute group can't be deleted because it contains system attributes."
"The collection provider isn't registered.","The collection provider isn't registered."
"The ""%1"" link type is unknown. Verify the type and try again.","The ""%1"" link type is unknown. Verify the type and try again."
"The ""%1"" link type wasn't found. Verify the type and try again.","The ""%1"" link type wasn't found. Verify the type and try again."
"The linked products data is invalid. Verify the data and try again.","The linked products data is invalid. Verify the data and try again."
"The product that was requested doesn't exist. Verify the product and try again.","The product that was requested doesn't exist. Verify the product and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The ""%1"" product couldn't be removed.","The ""%1"" product couldn't be removed."
"Category with ID: %s doesn't exist","Category with ID: %s doesn't exist"
"Product Name or SKU","Product Name or SKU"
"Start typing to find products","Start typing to find products"
"Product with ID: %s doesn't exist","Product with ID: %s doesn't exist"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"Use Static URLs for Media Content in WYSIWYG","Use Static URLs for Media Content in WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Default Layouts","Default Layouts"
"Default Product Layout","Default Product Layout"
"Default Category Layout","Default Category Layout"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Advanced","Advanced"
