"Root","Rot"
"Related products are shown to customers in addition to the item the customer is looking at.","Relaterte produkter vises for kunder i tillegg til elementet kunden ser på."
"Add Related Products","Legg til beslektede produkter"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at."
"Add Up-Sell Products","Add Up-Sell Products"
"Up-Sell Products","Up-Sell Products"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart."
"Add Cross-Sell Products","Add Cross-Sell Products"
"Cross-Sell Products","Kryss-salg produkter"
"Add Selected Products","Legg til merkede produkter"
"Remove","Fjern"
"Thumbnail","Miniatyrbilde"
"Actions","Handlinger"
"Schedule Update From","Planlegge oppdateringen fra"
"Product in Websites","Produkt i nettsteder"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Hvis Magento installasjonen har flere nettsteder, kan du redigere omfanget for å bruke produktet på bestemte steder."
"name","navn"
"Copy Data from","Kopiere Data fra"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Hvis det er ingen egendefinerte overordnede kategorier, kan du bruke standard overordnet kategori. Du kan tilordne kategori når som helst i <a href=""%1"" target=""_blank"">produkter &gt; kategorier</a>."
"This operation can take a long time","Denne operasjonen kan ta lang tid"
"Collapse All","Skjul alle"
"Expand All","Utvid alle"
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
"Use Default Value","Bruk standardverdi"
"Manage Titles (Size, Color, etc.)","Administrere titler (størrelse, farge, osv.)"
"Manage Options (Values of Your Attribute)","Behandle alternativer (verdier for attributtet)"
"Is Default","Er standard"
"Sort Option","Sorteringsalternativer"
"Groups","Grupper"
"Double click on a group to rename it.","Dobbeltklikk på en gruppe endre navnet."
"Unassigned Attributes","Ikke tilordnede attributter"
"A name is required.","Det kreves et navn."
"This group contains system attributes. Please move system attributes to another group and try again.","Denne gruppen inneholder systemattributter. Vennligst flytte systemattributter til en annen gruppe og prøv på nytt."
"Please select a node.","Velg en node."
"Please enter a new group name.","Skriv inn et nytt gruppenavn."
"An attribute group named ""/name/"" already exists.","Et attributtgruppe kalt ""navn /"" allerede finnes."
"Sorry, we're unable to complete this request.","Sorry, we're unable to complete this request."
"You can't remove attributes from this attribute set.","You can't remove attributes from this attribute set."
"Custom Options","Egendefinerte alternativer"
"This is a required option.","Dette er et nødvendig alternativ."
"The field isn't complete.","Dette feltet er ikke komplett."
"Compatible file extensions to upload","Kompatible filutvidelser å laste opp"
"Maximum image width","Maksimal bildebredde"
"Maximum image height","Maksimal bildehøyde"
"Maximum number of characters:","Maksimalt antall tegn:"
"start typing to search template","begynn å skrive for å søke etter mal"
"Product online","Produkt pålogget"
"Product offline","Produkt frakoblet"
"Product online status","Produkt påloggingsstatus"
"Manage Stock","Administrer lager"
"Qty","Antall"
"Out-of-Stock Threshold","Ut-av-lager terskel"
"Minimum Qty Allowed in Shopping Cart","Minimum antall tillatt i handlekurv"
"Maximum Qty Allowed in Shopping Cart","Maksimum antall tillatt i handlekurv"
"Qty Uses Decimals","Antall bruker desimaler"
"Backorders","Restordre"
"Notify for Quantity Below","Varsle om antall nedenfor"
"Enable Qty Increments","Aktiver antall intervaller"
"Qty Increments","Antall intervaller"
"Stock Availability","Lagertilgjengelighet"
"In Stock","På lager"
"Out of Stock","Ikke på lager"
"Add Product To Websites","Legge til produktet til nettsteder"
"Remove Product From Websites","Fjerne produktet fra nettsteder"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Hvis du vil skjule et element i katalogen eller søkeresultater, kan du sette statusen til ""Deaktivert""."
"We can't save custom-defined options for bundles with dynamic pricing.","We can't save custom-defined options for bundles with dynamic pricing."
"Delete Custom Option","Slett egendefinert alternativ"
"Sort Custom Options","Egendefinert sorteringsalternativ"
"Input Type","Inndatatype"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span></span> %2 <span>px.</span>"
"Sort Custom Option","Egendefinert sorteringsalternativ"
"Item Price","Enhetspris"
"Action","Handling"
"and above","og over"
"Delete Tier","Slett nivå"
"Product In Websites","Produkt i nettsteder"
"(Copy data from: %1)","(Kopiere data: %1)"
"Browse to find or drag image here","Bla gjennom for å finne eller dra bildet her"
"Delete image","Slett bilde"
"Hidden","Skjult"
"Alt Text","Alt-tekst"
"Role","Rolle"
"Image Size","Bildestørrelse"
"{size}","{size}"
"Image Resolution","Bildeoppløsning"
"{width}^{height} px","{width} ^{height} px"
"Hide from Product Page","Skjul fra produktsiden"
"Allow Multiple Boxes for Shipping","Tillat flere esker for levering"
"start typing to search attribute","begynn å skrive for å søke etter kategori"
"Basic Settings","Grunnleggende innstillinger"
"Advanced Settings","Avanserte innstillinger"
"Changes have been made to this section that have not been saved.","Det er gjort endringer i denne seksjonen som ikke er lagret."
"This tab contains invalid data. Please resolve this before saving.","Denne kategorien inneholder ugyldige data. Vennligst rett opp dette før du lagrer."
"Mass Actions","Massehandlinger"
"Select All","Velg alle"
"Unselect All","Opphev merking"
"Select Visible","Velg synlige"
"Unselect Visible","Fjern valg av synlige"
"Special Price","Spesialpris"
"Regular Price","Vanlig pris"
"Buy %1 for: ","Kjøpt %1 for: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Kjøp %1 for %2 pr. stk. og <strong class=""benefit"">spar<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Kjøp %1 for %2 pr. stk."
"Shop By","Handle etter"
"Shopping Options","Butikkalternativer"
"Compare Products","Sammenlign produkter"
"Print This Page","Skriv ut denne siden"
"Remove Product","Fjerne produkt"
"Add to Cart","Legg i handlekurv"
"In stock","På lager"
"Out of stock","Ikke på lager"
"Add to Wish List","Legg til i ønskeliste"
"You have no items to compare.","Ingen produkter å sammenligne."
"Remove This Item","Fjern denne varen"
"Compare","Sammenlign"
"Clear All","Tøm alt"
"Prev","Forrige"
"Next","Neste"
"We can't find products matching the selection.","Vi finner ikke produkter som matcher utvalget."
"Learn More","Lær mer"
"Add to Compare","Legg til sammenligning"
"We found other products you might like!","Vi fant andre produkter du kanskje vil like!"
"More Choices:","Flere valg:"
"Check items to add to the cart or","Sjekk produkter lagt til handlekurv eller"
"select all","velg alle"
"Items %1-%2 of %3","Elementer %1-%2 av %3"
"%1 Item","%1 Produkt"
"%1 Items","%1 Produkter"
"Show","Vis"
"per page","per side"
"Sort By","Sorter etter"
"Set Ascending Direction","Angi stigende retning"
"Set Descending Direction","Angi synkende retning"
"View as","Vise som"
"More Information","Mer informasjon"
"Loading...","Laster..."
"* Required Fields","* Nødvendige felt"
"Availability","Tilgjengelighet"
"Warning message","Advarsel melding"
"Submit","Lagre"
"We don't recognize or support this file extension type.","We don't recognize or support this file extension type."
"Configure Product","Konfigurere produkt"
"OK","OK"
"This value does not follow the specified format (for example, 200x300).","Denne verdien følger ikke angitt format (for eksempel 200 x 300)."
"Select type of option.","Velg type av alternativ."
"Please add rows to option.","Vennligst legg rader til alternativ."
"Please select items.","Vennligst velg element(er)."
"Choose existing category.","Velg eksisterende kategori."
"Image Detail","Bildedetaljer"
"Adding...","Legger til..."
"Added","Lagt til"
"does not implement Storage Interface","implementerer ikke lagergrensesnitt"
"unselect all","opphev merking"
"Inventory","Lager"
"Catalog Section","Katalogen delen"
"Small","Liten"
"Main","Main"
"Custom image","Custom image"
"Product Fields Auto-Generation","Produktet feltene automatisk generering"
"Mask for SKU","Maske for SKU"
"Use {{name}} as Product Name placeholder","Bruk {{name}} som plassholder til produktnavn"
"Mask for Meta Title","Maske for Metatittel"
"Mask for Meta Keywords","Maske for Meta-nøkkelord"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Bruk {{name}} som produktnavn eller {{sku}} som plassholder for produkt SKU"
"Mask for Meta Description","Maske for Metabeskrivelse"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Bruk {{name}} og {{description}} som plassholdere for produktnavn og produktbeskrivelse"
"Recently Viewed/Compared Products","Nylig sett/sammenlignede produkter"
"Lifetime of products in Recently Viewed Widget","Levetid av produkter i nylig sett Widget"
"Lifetime of products in Recently Compared Widget","Levetid av produkter i nylig sammenlignet Widget"
"Synchronize widget products with backend storage","Synkronisere widget produkter med backend-lagring"
"Storefront","Butikk"
"List Mode","Listemodus"
"Products per Page on Grid Allowed Values","Produkter per side på rutenettet tillatte verdier"
"Comma-separated.","Kommadelt."
"Products per Page on Grid Default Value","Produkter per side på rutenettet standardverdi"
"Must be in the allowed values list","Må være i listen over tillatte verdier"
"Products per Page on List Allowed Values","Produkter per side på listen over tillatte verdier"
"Products per Page on List Default Value","Produkter per side på listen standardverdi"
"Use Flat Catalog Category","Bruk Flat katalogen kategori"
"Use Flat Catalog Product","Bruk Flat katalog produkt"
"Product Listing Sort by","Produktliste sortert etter"
"Allow All Products per Page","Tillat alle produkter per side"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Om du vil vise ""Alle"" alternativet i rullegardinlisten for ""Hvis X per side"""
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","F.eks {{media url=""path/to/image.jpg""}} {{hud url=""path/to/picture.gif""}}. Dynamisk direktiver analyse påvirker katalog ytelse."
"Product Image Placeholders","Produkt bilde plassholdere"
"Search Engine Optimization","Søkemotoroptimalisering"
"Page Title Separator","Sidetittel skilletegn"
"Use Canonical Link Meta Tag For Categories","Bruke kanoniske Link metakoden for kategorier"
"Use Canonical Link Meta Tag For Products","Bruke kanoniske Link metakoden for produkter"
"Catalog Price Scope","Katalog pris omfang"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Dette angir standardvalutaen omfanget (""Valuta Setup"" > ""Valuta alternativer"" > ""Standard valuta"")."
"Category Top Navigation","Kategori top navigering"
"Maximal Depth","Maksimal dybde"
"Date & Time Custom Options","Dato & tid egendefinerte alternativer"
"Use JavaScript Calendar","Bruk JavaScript kalender"
"Date Fields Order","Datofelt rekkefølge"
"Time Format","Tidsformat"
"Year Range","År rekkefølge"
"Please use a four-digit year format.","Bruk en firesifret årsformat."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Top Level Category","Topnivå kategori"
"Product Info Column","Produktinfokolonne"
"Block after Info Column","Blokk etter info kolonne"
"Product Flat Data","Produkt Flat Data"
"Reorganize EAV product structure to flat structure","Omorganisere EAV produktstrukturen til flat struktur"
"Category Flat Data","Kategori flat data"
"Reorganize EAV category structure to flat structure","Omorganisere EAV kategoristrukturen til flat struktur"
"Category Products","Kategoriprodukter"
"Indexed category/products association","Indeksert kategori/produkter assoisiasjon"
"Product Categories","Produktkategorier"
"Indexed product/categories association","Indexsert produkter/kategorier assosiasjon"
"Product Price","Produktpris"
"Index product prices","Indeks produktpriser"
"Product EAV","Produkt EAV"
"Index product EAV","Indeks produkt EAV"
"Catalog New Products List","Katalog Ny produkt liste"
"List of Products that are set as New","Listen med produkter er satt som Ny"
"Display Type","Display Type"
"All products - recently added products, New products - products marked as new","Alle produkter - nylig lagt til produkter, Nye produkter - produkter markert som nye"
"All products","Alle produkter"
"New products","Nye produkter"
"Display Page Control","Vis sidekontroll"
"Number of Products per Page","Antall varer per side"
"Number of Products to Display","Antall produkter å vise"
"Template","Mal"
"New Products Grid Template","Nye produkter rutenettet mal"
"New Products List Template","Nye produkter listemal"
"New Products Images and Names Template","Nye produkter bilder og navn mal"
"New Products Names Only Template","Nye produkter navn bare mal"
"New Products Images Only Template","Nye produkter bilder bare malen"
"Cache Lifetime (Seconds)","Buffer levetid (sekunder)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","Katalog produkt Link"
"Link to a Specified Product","Koble til et bestemt produkt"
"Select Product...","Velg produkt..."
"Anchor Custom Text","Egendefinerte ankertekst"
"If empty, we'll use the product name here.","Hvis tom, vil vi bruke produktnavnet her."
"Anchor Custom Title","Anker egendefinert tittel"
"Product Link Block Template","Produktmal Link blokk"
"Product Link Inline Template","Produktmal Link Inline"
"Catalog Category Link","Katalog kategorikobling"
"Link to a Specified Category","Koble til en bestemt kategori"
"Select Category...","Velg kategori..."
"If empty, we'll use the category name here.","Hvis tom, vil vi bruke kategorinavnet her."
"Category Link Block Template","Kategorimalen Link blokk"
"Category Link Inline Template","Kategorimalen Link Inline"
"Recently Viewed Products","Nylig viste produkter"
"List of Products Recently Viewed by Visitor","Liste over produkter nylig sett av besøkende"
"UI Component","UI komponent"
"Number of Products to display","Antall produkter å vise"
"Product attributes to show","Produkt-attributter å vise"
"Image","Bilde"
"Learn More Link","Lær mer Link"
"Buttons to show","Knapp å vise"
"Add to Wishlist","Legg i ønskelisten"
"Viewed Products Grid Template","Sett produkter rutenettet mal"
"Viewed Products List Template","Sett produkter listemal"
"Viewed Products Sidebar Template","Sett produkter Sidebar mal"
"Recently Compared Products","Nylig sammenlignede produkter"
"List of Products Recently Compared by Visitor","Liste over produkter nylig sett av besøkende"
"Compared Products Grid Template","Sammenlignede produkter rutenett mal"
"Compared Products List Template","Sammenlignede produkter liste mal"
"Set","Sett"
"Category Information","Kategoriinformasjon"
"Enable Category","Aktiver kategori"
"Include in Menu","Inkludere i menyen"
"Content","Innhold"
"Category Image","Kategoribilde"
"Description","Beskrivelse"
"Add CMS Block","Legge til CMS-blokk"
"Display Settings","Skjerminnstillinger"
"Display Mode","Display Mode"
"Anchor","Anker"
"Available Product Listing Sort By","Available Product Listing Sort By"
"Use All","Bruke alle"
"Default Product Listing Sort By","Default Product Listing Sort By"
"Layered Navigation Price Step","Lagdelte navigasjon pris trinn"
"URL Key","URL-nøkkel"
"Meta Title","Meta tittel"
"Meta Keywords","Meta nøkkelord"
"Meta Description","Meta beskrivelse"
"Products in Category","Produkter i kategorien"
"Design","Utforming"
"Theme","Tema"
"Layout","Oppsett"
"Layout Update XML","Oppsett Oppdatering XML"
"Apply Design to Products","Brukt design på produkter"
"Schedule Design Update","Planlegge designoppdatering"
"AttributeSetText","AttributeSettTekst"
"StatusText","StatusTekst"
"Product Image Watermarks","Produktbilde vannmerker"
"Base","Standard"
"Allowed file types: jpeg, gif, png.","Tillatte filtyper: jpeg, gif, png."
"Image Opacity","Bilde Opacity"
"Example format: 200x300.","Eksempelformat: 200 x 300."
"Image Position","Bildeposisjon"
"Attribute Properties","Attributtegenskaper"
"Attribute Label","Attributtetikett"
"Catalog Input Type for Store Owner","Katalog innput type for butikkeier"
"Values","Verdier"
"Add this attribute to the list of column options in the product grid.","Legg til attributtet i listen med kolonnealternativer i produktrutenettet."
"Add this attribute to the list of filter options in the product grid.","Legg dette attributtet til listen av filteralternativer i produktrutenettet."
"System","System"
"All Store Views","Alle butikkvisninger"
"Delete selected items?","Slett merkede elementer?"
"Delete items","Slette elementer"
"Change status","Endre status"
"Enable","Aktivere"
"Disable","Deaktiver"
"Update attributes","Oppdater attributter"
"Overview","Oversikt"
"Skip to the end of the images gallery","Gå til slutten av bildegalleri"
"Skip to the beginning of the images gallery","Gå til begynnelsen av bildegalleri"
"Details","Detaljer"
"Recently Compared","Nylig sammenlignet"
"Add To Cart","Legg i handlekurv"
"Add To Compare","Legg til sammenligning"
"Learn more","Lær mer"
"Recently Viewed","Nylig vist"
"Save Category","Lagre kategori"
"Delete Category","Slett kategori"
"New Subcategory","Ny underkategori"
"New Root Category","Ny rot-kategori"
"Set Root Category for Store","Set Root Category for Store"
"Custom Design","Tilpasset design"
"Category Data","Kategoridata"
"Not shared with other products","Ikke delt med andre produkter"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Depends on design theme","Depends on design theme"
"We saved the price alert subscription.","We saved the price alert subscription."
"We saved the stock notification.","We saved the stock notification."
"Images and Videos","Images and Videos"
"Click here or drag and drop to add images.","Klikk her eller dra og slipp for å legge til bilder."
"Make Base","Make Base"
"There was a category move error. %1","There was a category move error. %1"
"You moved the category","You moved the category"
"This product no longer exists.","This product no longer exists."
"We can't find the image file.","We can't find the image file."
"productFactory is already set","productFactory is already set"
"Could not save product option","Could not save product option"
"Product option with id %1 does not exist","Product option with id %1 does not exist"
"Are you sure you want to delete this category?","Are you sure you want to delete this category?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Set root category for this store in the <a href=""%1"">configuration</a>."
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"An attribute group named ""/name/"" already exists"".","An attribute group named ""/name/"" already exists""."
"Close panel","Lukk panel"
"Allow Multiple Boxes for Shipping.","Tillat flere esker i levering."
"Ok","Ok"
"Watermark Default Size","Watermark Default Size"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark","Vannmerke"
"Watermark Position","Vannmerke-posisjon"
"none","ingen"
"File validation failed.","File validation failed."
"text","tekst"
"Tier Price","Kvantumspriser"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"Sort Products By","Sorter varer etter"
"Default Product Sorting","Default Product Sorting"
"Use Parent Category Settings","Use Parent Category Settings"
"Page not found","Siden finnes ikke"
"Full file path is expected.","Full file path is expected."
"from","fra"
"to","til"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","You added product %1 to the <a href=""%2"">comparison list</a>."
"Maximum %1 characters","Maksimalt %1 tegn"
"remaining","gjenstår"
"too many","for mange"
"Sending attribute values as package.","Sending attribute values as package."
"This value does not follow the specified format (for example, 200X300).","Denne verdien følger ikke angitt format (for eksempel 200 x 300)."
"Applies to category pages","Applies to category pages"
"Remember Category Pagination","Remember Category Pagination"
"Changing may affect SEO and cache storage consumption.","Changing may affect SEO and cache storage consumption."
"Images Upload Configuration","Konfigurasjon for opplasting av bilder"
"Quality","Kvalitet"
"Jpeg quality for resized images 1-100%.","Jpeg quality for resized images 1-100%."
"Cost","Kostnad"
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Attributes were missing and must be specified.","Attributes were missing and must be specified."
"The value of Admin must be unique. (%1)","The value of Admin must be unique. (%1)"
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The category doesn't contain the specified product.","The category doesn't contain the specified product."
"The %1 value wasn't found in the algorithms.","The %1 value wasn't found in the algorithms."
"The filters are invalid. Set them in an array and try again.","The filters are invalid. Set them in an array and try again."
"The product wasn't registered.","The product wasn't registered."
"The store wasn't registered. Verify the store and try again.","The store wasn't registered. Verify the store and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
"The image content is invalid. Verify the content and try again.","The image content is invalid. Verify the content and try again."
"The product can't be saved.","The product can't be saved."
"The new media gallery entry failed to save.","The new media gallery entry failed to save."
"No image with the provided ID was found. Verify the ID and try again.","No image with the provided ID was found. Verify the ID and try again."
"The product doesn't exist. Verify and try again.","The product doesn't exist. Verify and try again."
"The image doesn't exist. Verify and try again.","The image doesn't exist. Verify and try again."
"The image doesn't exist.","The image doesn't exist."
"The image type for the file is invalid. Enter the correct image type and try again.","The image type for the file is invalid. Enter the correct image type and try again."
"The ""%1"" file couldn't be moved.","""%1"" filen kan ikke flyttes."
"The ProductSku is empty. Set the ProductSku and try again.","ProductSku er tom. Angi ProductSku og prøv på nytt."
"The custom option couldn't be removed.","Det egendefinerte alternativet kunne ikke fjernes."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The file options format is invalid. Use a correct format and try again.","The file options format is invalid. Use a correct format and try again."
"The file ""%1"" is empty. Select another file and try again.","The file ""%1"" is empty. Select another file and try again."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again."
"The required option wasn't entered. Enter the option and try again.","The required option wasn't entered. Enter the option and try again."
"The file is empty. Select another file and try again.","The file is empty. Select another file and try again."
"The text is too long. Shorten the text and try again.","The text is too long. Shorten the text and try again."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Tier price is unavailable for this product.","Tier price is unavailable for this product."
"The tier_price data is invalid. Verify the data and try again.","The tier_price data is invalid. Verify the data and try again."
"The group price couldn't be saved.","The group price couldn't be saved."
"The data was invalid. Verify the data and try again.","The data was invalid. Verify the data and try again."
"Values in the %1 attributes are invalid. Verify the values and try again.","Values in the %1 attributes are invalid. Verify the values and try again."
"We can't create the ""%1"" writeable directory.","We can't create the ""%1"" writeable directory."
"The file upload failed. Try to upload again.","The file upload failed. Try to upload again."
"The product has required options. Enter the options and try again.","The product has required options. Enter the options and try again."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group can't be deleted because it contains system attributes.","The attribute group can't be deleted because it contains system attributes."
"The collection provider isn't registered.","The collection provider isn't registered."
"The ""%1"" link type is unknown. Verify the type and try again.","The ""%1"" link type is unknown. Verify the type and try again."
"The ""%1"" link type wasn't found. Verify the type and try again.","The ""%1"" link type wasn't found. Verify the type and try again."
"The linked products data is invalid. Verify the data and try again.","The linked products data is invalid. Verify the data and try again."
"The product that was requested doesn't exist. Verify the product and try again.","The product that was requested doesn't exist. Verify the product and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The ""%1"" product couldn't be removed.","The ""%1"" product couldn't be removed."
"Category with ID: %s doesn't exist","Category with ID: %s doesn't exist"
"Product Name or SKU","Produktnavn eller SKU"
"Start typing to find products","Begynn å skrive for å finne produkter"
"Product with ID: %s doesn't exist","Produkt med ID: %s finnes ikke"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Prosessor %1 implementerer ikke WysiwygConfigDataProcessorInterface. Den vil bli hoppet over"
"An item needs to be selected. Select and try again.","Et alternativ må velges. Velg ett og prøv igjen."
"Use Static URLs for Media Content in WYSIWYG","Bruke statiske nettadresser for medieinnhold i WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Default Layouts","Default Layouts"
"Default Product Layout","Default Product Layout"
"Default Category Layout","Default Category Layout"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Advanced","Avansert"
