"Root","Wurzel"
"Provided link type ""%1"" does not exist","Der angegebene Verknüpfungstyp ""%1"" existiert nicht"
"Invalid data provided for linked products","Ungütige Daten für verknüpfte Produkte"
"Product with SKU '%1' is not linked to product with SKU '%2'","Das Produkt mit der SKU '%1' ist nicht verknüpft mit dem Produkt mit der SKU '%2'"
"Product %1 doesn't have linked %2 as %3","Produkt %1 hat %2 nicht als %3 verknüpft"
"Requested product doesn't exist","Angefordertes Produkt existiert nicht"
"Product with SKU ""%1"" does not exist","Produkt mit SKU ""%1"" ist nicht vorhanden"
"Invalid product data: %1","Ungültige Produktdaten: %1"
"Database connection error","Datenbankverbindungsfehler"
"Database deadlock found when trying to get lock","Datenbanksperre gefunden, beim Versuch Sperre zu erhalten"
"Database lock wait timeout exceeded","Timeout beim Warten auf Datenbanksperre überschritten"
"Unable to remove product %1","Produkt %1 konnte nicht gelöscht werden"
"Requested product does not support images.","Angefordertes Produkt unterstützt keine Bilder."
"There are not websites for assign to product","Es gibt keine Website, der dieses Produkt zugewiesen werden kann."
"Could not assign product ""%1"" to websites ""%2""","Produkt ""%1"" konnte nicht der Website ""%2"" zugeordnet werden"
"Could not save product ""%1"" with websites %2","Produkt ""%1"" konnte nicht mit den Webseiten ""%2"" gespeichert werden"
"We cannot determine the field name.","Feldname kann nicht bestimmt werden."
"Attribute '%1' is locked. %2","Attribut '%1' ist gesperrt. %2"
"Do not change the scope. %1","Ändern Sie nicht den Bereich. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Prozessor %1 führt BaseSelectProcessorInterface nicht durch"
"A product type is not defined for the indexer.","Eine Artikelart ist noch nicht definiert für den Indexer."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 erweitert nicht \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","Produkt mit SKU %1 ist nicht mit Produkt mit SKU %2 verknüpft"
"Multiple Select","Mehrfach Auswahl"
"Dropdown","Dropdown-Liste"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 erweitert nicht \Magento\Framework\Filter\Template"
"As low as","Ab"
"test","Test"
"Some text is here.","Hier ist Text."
"Some exception","Eine Ausnahme"
"Could not get extension attributes","Erweiterungsattribute konnten nicht abgerufen werden"
"message","Nachricht"
"fl","fl"
"Lock wait timeout","Wartezeit sperren"
"123","123"
"Images","Bilder"
"Select...","Bitte wählen..."
"Advanced Pricing","Erweiterte Preisgestaltung"
"Customer Group Price","Kundengruppen-Preis"
"Customer Group","Kundengruppe"
"Special Price From","Sonderpreis ab"
"To","Bis"
"Done","Fertig"
"Product Alerts","Artikelbenachrichtigungen"
"Alert stock","Bestandsbenachrichtigung"
"Alert Stock","Bestandsbenachrichtigung"
"Alert price","Preisbenachrichtigung"
"Alert Price","Preisbenachrichtigung"
"Add Selected","Ausgewählte hinzufügen"
"Select Attribute","Attribute auswählen"
"Create New Attribute","Neues Attribut erstellen"
"Customizable Options","Konfigurierbare Optionen"
"Custom options let customers choose the product variations they want.","Konfigurierbare Optionen lassen Kunden die Produktvariationen auswählen, die sie wünschen."
"Add Option","Option hinzufügen"
"New Option","Neue Option"
"Select Product","Artikel auswählen"
"Option Title","Titel Option"
"Add Value","Wert hinzufügen"
"Title","Titel"
"Option Type","Optionstyp"
"Required","Erforderlich"
"Price Type","Preistyp"
"Max Characters","Max Zeichen"
"Compatible File Extensions","Kompatible Datei-Formate"
"Enter separated extensions, like: png, jpg, gif.","Geben Sie getrennte Erweiterungen ein, wie: png, jpg, gif."
"Maximum Image Size","Maximale Bildgröße"
"Please leave blank if it is not an image.","Bitte freilassen, wenn es kein Bild ist."
"%1","%1"
"This item has weight","Dieses Produkt hat ein Gewicht"
"This item has no weight","Dieses Produkt hat kein Gewicht"
"Set Product as New From","Markiere Produkt als NEU ab"
"Related Products, Up-Sells, and Cross-Sells","Verwandte Produkte, Up-Selling und Cross-Sells"
"Related products are shown to customers in addition to the item the customer is looking at.","Verwandte Produkte werden den Kunden zusätzlich zu dem Artikel, den der Kunde betrachtet, angezeigt."
"Add Related Products","Verwandte Produkte hinzufügen"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Ein Up-Selling-Artikel wird dem Kunden als hochpreisigere oder hochwertigere Alternative zu dem Produkt angeboten, das der Kunde betrachtet."
"Add Up-Sell Products","Up-Selling-Produkte hinzufügen"
"Up-Sell Products","Up-Selling-Produkte"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Diese ""Impulskauf""-Produkte erscheinen neben dem Warenkorb als Cross-Selling-Produkte zu den Produkten, die sich bereits im Warenkorb befinden."
"Add Cross-Sell Products","Cross-Selling-Produkte hinzufügen"
"Cross-Sell Products","Cross-Selling-Produkte"
"Add Selected Products","Füge ausgewählte Artikel hinzu"
"Remove","Entfernen"
"Thumbnail","Vorschaubild"
"Actions","Aktionen"
"Schedule Update From","Aktualisierung planen von"
"Product in Websites","Produkt auf Webseiten"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Wenn Ihr Magento mehrere Webseiten hat, können Sie den Geltungsbereich bearbeiten, um das Produkt auf einzelnen Webseiten darzustellen."
"name","Bezeichnung"
"Copy Data from","Kopieren Daten von"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Wenn es keine benutzerdefinierten Hauptkategorien gibt, benutzen Sie bitte die Standard-Hauptkategorie.Sie können die Kategorie jederzeit in <a href=""%1"" target=""_blank"">Produkte > Kategorien</a> neu zuweisen."
"This operation can take a long time","Dieser Vorgang kann einige Zeit in Anspruch nehmen"
"Collapse All","Alle zuklappen"
"Expand All","Alle aufklappen"
"Please confirm site switching. All data that hasn't been saved will be lost.","Bitte Seitenwechsel bestätigen. Alle Daten, die noch nicht gespeichert wurden, gehen verloren."
"Use Default Value","Standardwert verwenden"
"Manage Titles (Size, Color, etc.)","Verwalten von Titeln (Größe, Farbe usw.)"
"Manage Options (Values of Your Attribute)","Optionen verwalten (Ausprägungen des Attributs)"
"Is Default","Ist voreingestellt"
"Sort Option","Sortieroption"
"Groups","Gruppen"
"Double click on a group to rename it.","Doppelklick auf eine Gruppe um sie umzubenennen."
"Unassigned Attributes","Nicht zugewiesene Attribute"
"A name is required.","Ein Name ist erforderlich."
"This group contains system attributes. Please move system attributes to another group and try again.","Diese Gruppe enthält Systemattribute. Bitte verschieben Sie die Systemattribute in eine andere Gruppe und versuchen es erneut."
"Please select a node.","Bitte wählen Sie einen Knoten."
"Please enter a new group name.","Bitte geben Sie einen neuen Gruppennamen ein."
"An attribute group named ""/name/"" already exists.","Eine Attributgruppe mit dem Namen ""/ name /"" ist bereits vorhanden."
"Sorry, we're unable to complete this request.","Entschuldigung, leider konnten wir Ihre Anfrage nicht abschließen."
"You can't remove attributes from this attribute set.","Attribute können aus diesem Attribut-Set nicht entfernt werden."
"Custom Options","Individualisierungsoptionen"
"This is a required option.","Dies ist eine erforderliche Option."
"The field isn't complete.","Das Feld ist nicht vollständig."
"Compatible file extensions to upload","Kompatibel Dateiendungen für Upload"
"Maximum image width","Maximale Bildbreite"
"Maximum image height","Maximale Bildhöhe"
"Maximum number of characters:","Maximale Anzahl der Zeichen:"
"start typing to search template","Tippen, um nach Vorlage zu suchen"
"Product online","Produkt online"
"Product offline","Produkt offline"
"Product online status","Produkt online Status"
"Manage Stock","Lagerbestand verwalten"
"Qty","Menge"
"Out-of-Stock Threshold","Nicht auf Lager Schwellenwert"
"Minimum Qty Allowed in Shopping Cart","Minimal erlaubte Menge im Warenkorb"
"Maximum Qty Allowed in Shopping Cart","Maximal erlaubte Menge im Warenkorb"
"Qty Uses Decimals","Menge verwendet Dezimalzahlen"
"Backorders","Rückstand"
"Notify for Quantity Below","Benachrichtigung bei Menge unter"
"Enable Qty Increments","Mengenerhöhungen aktivieren"
"Qty Increments","Anzahl erhöhen"
"Stock Availability","Lagerverfügbarkeit"
"In Stock","Auf Lager"
"Out of Stock","Nicht auf Lager"
"Add Product To Websites","Produkt zu Webseiten hinzufügen"
"Remove Product From Websites","Produkt von Webseiten entfernen"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Setzen Sie den Status auf ""Deaktiviert"", um ein Artikel im Katalog oder den Suchergebnissen auszublenden."
"We can't save custom-defined options for bundles with dynamic pricing.","Wir können benutzerdefinierte Optionen für Bundles mit dynamischen Preisgestaltung nicht speichern."
"Delete Custom Option","Benutzerdefinierte Option löschen"
"Sort Custom Options","Benutzerdefinierte Optionen sortieren"
"Input Type","Eingabetyp"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","Benutzerdefinierte Option sortieren"
"Item Price","Artikelpreis"
"Action","Aktion"
"and above","und höher"
"Delete Tier","Lösche Staffel"
"Product In Websites","Produkt auf Webseiten"
"(Copy data from: %1)","(Kopiere Daten von: %1)"
"Browse to find or drag image here","Durchsuchen Sie das Dateisystem oder ziehen Sie das Bild hierher"
"Delete image","Bild löschen"
"Hidden","Versteckt"
"Alt Text","Alternativtext"
"Role","Rolle"
"Image Size","Bildgröße"
"{size}","(Größe)"
"Image Resolution","Bildauflösung"
"{width}^{height} px","(Breite)^(Höhe) px"
"Hide from Product Page","Auf Produktseite ausblenden"
"Allow Multiple Boxes for Shipping","Versand in mehreren Lieferungen zulassen"
"start typing to search attribute","Tippen, um nach Attributen zu suchen"
"Basic Settings","Grundeinstellungen"
"Advanced Settings","Erweiterte Einstellungen"
"Changes have been made to this section that have not been saved.","In diesem Abschnitt gibt es ungespeicherte Änderungen."
"This tab contains invalid data. Please resolve this before saving.","Diese Registerkarte enthält ungültige Daten. Bitte korrigieren Sie diese vor dem Speichern."
"Mass Actions","Massenoperationen"
"Select All","Alles auswählen"
"Unselect All","Alle abwählen"
"Select Visible","Sichtbare auswählen"
"Unselect Visible","Sichtbare abwählen"
"Special Price","Sonderpreis"
"Regular Price","Regulärer Preis"
"Buy %1 for: ","Kaufen Sie %1 für: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Kauf %1 für %2 jeweils und <strong class=""benefit"">spare<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Kaufen Sie %1 für %2"
"Shop By","Einkaufsoptionen"
"Shopping Options","Shopping-Möglichkeiten"
"Compare Products","Produkte vergleichen"
"Print This Page","Diese Seite drucken"
"Remove Product","Produkt entfernen"
"Add to Cart","In den Warenkorb"
"In stock","Auf Lager"
"Out of stock","Nicht lieferbar"
"Add to Wish List","Zur Wunschliste hinzufügen"
"You have no items to compare.","Sie haben keine Artikel zum vergleichen."
"Remove This Item","Diesen Artikel entfernen"
"Compare","Vergleichen"
"Clear All","Alles löschen"
"Prev","Zurück"
"Next","Weiter"
"We can't find products matching the selection.","Leider können wir keine passenden Produkte zu ihrer Auswahl finden."
"Learn More","Mehr erfahren"
"Add to Compare","Zur Vergleichsliste hinzufügen"
"We found other products you might like!","Diese Artikel könnten Ihnen eventuell auch gefallen!"
"More Choices:","Mehr Auswahl:"
"Check items to add to the cart or","Wählen Sie die Artikel aus, die dem Warenkorb hinzugefügt werden sollen, oder"
"select all","alle auswählen"
"Items %1-%2 of %3","Artikel %1-%2 von %3"
"%1 Item","%1 Artikel"
"%1 Items","%1 Elemente"
"Show","Zeige"
"per page","pro Seite"
"Sort By","Sortieren nach"
"Set Ascending Direction","Aufsteigend sortieren"
"Set Descending Direction","Absteigend sortieren"
"View as","Anzeigen als"
"More Information","Weitere Informationen"
"Loading...","Wird geladen …"
"* Required Fields","* Pflichtfelder"
"Availability","Verfügbarkeit"
"Warning message","Warnmeldung"
"Submit","Absenden"
"We don't recognize or support this file extension type.","Wir erkennen oder unterstützen diesen Dateierweiterungstyp nicht."
"Configure Product","Konfiguriere Produkt"
"OK","OK"
"This value does not follow the specified format (for example, 200x300).","Dieser Wert entspricht nicht der vorgegebenen Formatierung (zum Beispiel 200x300)."
"Select type of option.","Wählen Sie den Typ der Option."
"Please add rows to option.","Bitte fügen Sie Zeilen zur Option hinzu."
"Please select items.","Bitte Artikel auswählen."
"Choose existing category.","Eine bestehende Kategorie auswählen."
"Image Detail","Bilddetails"
"Adding...","Wird hinzugefügt …"
"Added","Hinzugefügt"
"does not implement Storage Interface","implementiert nicht Storage Interface"
"unselect all","Auswahl aufheben"
"Inventory","Inventar"
"Catalog Section","Katalogbereich"
"Small","Klein"
"Main","Primär"
"Custom image","Benutzerdefiniertes Bild"
"Product Fields Auto-Generation","Produktfelder-Auto-Generierung"
"Mask for SKU","Maske für Artikelnummer"
"Use {{name}} as Product Name placeholder","Verwende {{name}} als Produktnamenplatzhalter"
"Mask for Meta Title","Maske für Meta-Titel"
"Mask for Meta Keywords","Maske für Meta-Keywords"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Verwenden Sie {{name}} als Produktname oder {{sku}} als Artikelnummer Platzhalter"
"Mask for Meta Description","Maske für Meta-Beschreibung"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Benutzen Sie {{name}} und {{description}} als Platzhalter für Produktname und Produktbeschreibung"
"Recently Viewed/Compared Products","Zuletzt angesehene/verglichene Produkte"
"Lifetime of products in Recently Viewed Widget","Lebensdauer der Produkte im Kürzlich-angesehen-Widget"
"Lifetime of products in Recently Compared Widget","Lebensdauer der Produkte im Kürzlich-verglichen-Widget"
"Synchronize widget products with backend storage","Widget-Produkte mit Backend-Speicher synchronisieren"
"Storefront","Frontend"
"List Mode","Liste"
"Products per Page on Grid Allowed Values","Artikel pro Seite (erlaubte Werte für Gitter)"
"Comma-separated.","Durch Kommata getrennt."
"Products per Page on Grid Default Value","Artikel pro Seite (Standardwerte Werte für Gitter)"
"Must be in the allowed values list","Muss in der Liste zulässiger Werte vorhanden sein"
"Products per Page on List Allowed Values","Artikel pro Seite (erlaubte Werte für Liste)"
"Products per Page on List Default Value","Artikel pro Seite (Standardwerte Werte für Liste)"
"Use Flat Catalog Category","Flache Kategorien-Tabelle nutzen"
"Use Flat Catalog Product","Flache Produkt-Tabelle nutzen"
"Product Listing Sort by","Artikelliste sortiert nach"
"Allow All Products per Page","Erlaube alle Artikel pro Seite"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","""Alle""-Option im ""Zeige X pro Seite""-Dropdown anzeigen lassen"
"Allow Dynamic Media URLs in Products and Categories","Erlaube dynamische Media-URLs bei Artikel und Kategorien"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","z.B. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamisches Parsen von Anweisungen hat Auswirkungen auf die Katalogperformance."
"Product Image Placeholders","Platzhalter für Artikelbilder"
"Search Engine Optimization","Suchmaschinenoptimierung"
"Page Title Separator","Seitentitel-Trenner"
"Use Canonical Link Meta Tag For Categories","Canonical-Metatag für Kategorien verwenden"
"Use Canonical Link Meta Tag For Products","Canonical-Metatag für Produkte verwenden"
"Catalog Price Scope","Gültigkeitsbereich des Katalogpreises"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Dies definiert den Basiswährung-Geltungsbereich (""Währungs-Einstellungen""> ""Währungs-Optionen""> ""Basiswährung"")."
"Category Top Navigation","Kategorie Top-Navigation"
"Maximal Depth","Maximale Tiefe"
"Date & Time Custom Options","Benutzerdefinierte Datums- und Uhrzeit-Optionen"
"Use JavaScript Calendar","Javascript-Kalender verwenden"
"Date Fields Order","Reihenfolge der Datum-Felder"
"Time Format","Zeitformat"
"Year Range","Jahrebereich"
"Please use a four-digit year format.","Bitte verwenden Sie ein vierstelliges Jahresformat."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Statische URLs für Medieninhalte in WYSIWYG verwenden."
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Nur anwendbar auf Katalogartikel und Kategorien. Medien-Inhalte werden über den Editor als statische URL eingefügt. Diese wird nicht aktualisiert wenn die Basis-URL in der Systemkonfiguration verändert wird."
"Top Level Category","Hauptkategorie"
"Product Info Column","Produktinfo-Spalte"
"Block after Info Column","Block nach der Info-Spalte"
"Product Flat Data","Produkt-Flat-Daten"
"Reorganize EAV product structure to flat structure","Neuzuordnung der EAV-Produkt-Struktur zur Flat-Struktur"
"Category Flat Data","Kategorie-Flat-Daten"
"Reorganize EAV category structure to flat structure","Neuzuordnung der EAV-Kategorie-Struktur zur Flat-Struktur"
"Category Products","Artikel der Kategorie"
"Indexed category/products association","Indizierte Kategorie/Produkte-Zuordnung"
"Product Categories","Produkt-Kategorien"
"Indexed product/categories association","Indiziertes Produkt/Kategorien-Zuordnung"
"Product Price","Produktpreis"
"Index product prices","Indizierung von Artikel-Preisen"
"Product EAV","Produkt EAV"
"Index product EAV","Produkt-EAV indizieren"
"Catalog New Products List","Liste von neuen Katalogprodukten"
"List of Products that are set as New","Liste von Artikeln die als neu gekennzeichnet sind"
"Display Type","Darstellungsart"
"All products - recently added products, New products - products marked as new","Alle Produkte - kürzlich hinzugefügt Produkte, neue Produkte - als neu markierte Produkte"
"All products","Alle Artikel"
"New products","Neue Produkte"
"Display Page Control","Anzahl der Artikel die angezeigt werden sollen"
"Number of Products per Page","Anzahl Produkte pro Seite"
"Number of Products to Display","Anzahl der Produkte zum Anzeigen"
"Template","Vorlage"
"New Products Grid Template","Neue-Artikel-Gittervorlage"
"New Products List Template","Neue-Artikel-Listenvorlage"
"New Products Images and Names Template","Vorlage für neue Produkte (Namen und Bilder)"
"New Products Names Only Template","Vorlage für neue Produkte (nur Namen)"
"New Products Images Only Template","Vorlage für neue Produkte (nur Bilder)"
"Cache Lifetime (Seconds)","Cache-Lebensdauer (in Sekunden)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 wenn nichts anderes festgelegt. Um sofort zu aktualisieren, löschen Sie bitte den Block-HTML-Ausgabe-Cache."
"Catalog Product Link","Katalogartikel Link"
"Link to a Specified Product","Verlinkung auf einen bestimmten Artikel"
"Select Product...","Wähle Artikel..."
"Anchor Custom Text","Individueller Anker Text"
"If empty, we'll use the product name here.","Wenn leer, verwenden wir hier den Namen des Produkts."
"Anchor Custom Title","Individueller Link-Text"
"Product Link Block Template","Produktlink - Blockvorlage"
"Product Link Inline Template","Produktlink - Inlinevorlage"
"Catalog Category Link","Katalogkategorie Link"
"Link to a Specified Category","Verlinkung auf eine bestimmte Kategorie"
"Select Category...","Wähle Kategorie..."
"If empty, we'll use the category name here.","Wenn leer, verwenden wir hier den Namen der Kategorie."
"Category Link Block Template","Kategorielink - Blockvorlage"
"Category Link Inline Template","Kategorie Link - Inline-Vorlage"
"Recently Viewed Products","Kürzlich angesehene Produkte"
"List of Products Recently Viewed by Visitor","Liste der Produkte, die vor kurzem vom Besucher angesehen wurden"
"UI Component","UI-Komponente"
"Number of Products to display","Anzahl der Artikel, die angezeigt werden sollen"
"Product attributes to show","Anzuzeigende Produktattribute"
"Image","Bild"
"Learn More Link","Mehr erfahren Link"
"Buttons to show","Anzuzeigende Buttons"
"Add to Wishlist","Zur Wunschliste hinzufügen"
"Viewed Products Grid Template","Angesehene-Artikel-Gittervorlage"
"Viewed Products List Template","Angesehene-Artikel-Listenvorlage"
"Viewed Products Sidebar Template","Angesehene-Artikel-Gittervorlage"
"Recently Compared Products","Zuletzt verglichene Artikel"
"List of Products Recently Compared by Visitor","Liste von Artikeln, die kürzlich vom Besucher verglichen wurden"
"Compared Products Grid Template","Verglichene-Artikel-Gittervorlage"
"Compared Products List Template","Verglichene-Artikel-Listenvorlage"
"Set","Einrichten"
"Category Information","Kategorieinformation"
"Enable Category","Kategorie aktivieren"
"Include in Menu","In Menü anzeigen"
"Content","Inhalt"
"Category Image","Kategoriebild"
"Description","Beschreibung"
"Add CMS Block","CMS Block hinzufügen"
"Display Settings","Anzeigeeinstellungen"
"Display Mode","Anzeigemodus"
"Anchor","Anker"
"Available Product Listing Sort By","Verfügbare Sortierungen für Artikelliste"
"Use All","Verwende alle"
"Default Product Listing Sort By","Standardsortierung für Artikelliste"
"Layered Navigation Price Step","Filternavigation Preis-Schritt"
"URL Key","URL-Bezeichner"
"Meta Title","Meta Titel"
"Meta Keywords","Meta-Schlüsselwörter"
"Meta Description","Meta-Beschreibung"
"Products in Category","Produkte in der Kategorie"
"Design","Design"
"Theme","Thema"
"Layout","Layout"
"Layout Update XML","Layout Aktualisierung XML"
"Apply Design to Products","Design auf Produkte anwenden"
"Schedule Design Update","Design-Aktualisierung planen"
"AttributeSetText","AttributeSetText"
"StatusText","Status-Text"
"Product Image Watermarks","Produktbild-Wasserzeichen"
"Base","Basis"
"Allowed file types: jpeg, gif, png.","Erlaubte Dateitypen: jpeg, gif, png."
"Image Opacity","Bild-Transparenz"
"Example format: 200x300.","Beispielformat: 200x300."
"Image Position","Bild-Position"
"Attribute Properties","Attribut-Eigenschaften"
"Attribute Label","Attribut Label"
"Catalog Input Type for Store Owner","Katalog Eingabetyp für Shop-Betreiber"
"Values","Werte"
"Add this attribute to the list of column options in the product grid.","Dieses Attribut zur Liste der Spaltenoptionen im Produktraster hinzufügen."
"Add this attribute to the list of filter options in the product grid.","Dieses Attribut zur Liste der Filteroptionen im Produktraster hinzufügen.."
"System","System"
"All Store Views","Alle Store Views"
"Delete selected items?","Ausgewählte Elemente löschen?"
"Delete items","Elemente löschen"
"Change status","Status ändern"
"Enable","Aktivieren"
"Disable","Deaktivieren"
"Update attributes","Attribute aktualisieren"
"Overview","Übersicht"
"Skip to the end of the images gallery","Zum Ende der Bildgalerie springen"
"Skip to the beginning of the images gallery","Zum Anfang der Bildgalerie springen"
"Details","Details"
"Recently Compared","Kürzlich verglichen"
"Add To Cart","In den Warenkorb"
"Add To Compare","Zur Vergleichsliste hinzufügen"
"Learn more","Weitere Informationen"
"Recently Viewed","Kürzlich angesehen"
"Save Category","Alle abwählen"
"Delete Category","Kategorie löschen"
"New Subcategory","Neue Unterkategorie"
"New Root Category","Neue Hauptkategorie"
"Set Root Category for Store","Hauptkategorie für den Store setzen"
"Custom Design","Eigenes Design"
"Category Data","Kategorie-Daten"
"Not shared with other products","Nicht mit anderen Produkten geteilt"
"Declare attribute value saving scope","Speicherbereich für Attributwert festlegen"
"Depends on design theme","Abhängig vom Design-Thema"
"We saved the price alert subscription.","Preis-Alarm Abonnement gespeichert."
"We saved the stock notification.","Lager Benachrichtigung gespeichert."
"Images and Videos","Bilder und Videos"
"Click here or drag and drop to add images.","Klicken Sie hier, um Bilder hinzufügen oder ziehen Sie Bilder hinein."
"Make Base","Zur Grundlage machen"
"There was a category move error. %1","Ist ein Fehler aufgetreten beim Verschieben der Kategorie. %1"
"You moved the category","Sie haben die Kategorie verschoben"
"This product no longer exists.","Dieses Produkt ist nicht mehr vorhanden."
"We can't find the image file.","Bilddatei konnte nicht gefunden werden."
"productFactory is already set","productFactory ist bereits gesetzt"
"Could not save product option","Produktoption konnte nicht gespeichert werden."
"Product option with id %1 does not exist","Produktoption mit der id %1 existiert nicht"
"Are you sure you want to delete this category?","Sind Sie sicher, dass Sie diese Kategorie löschen möchten?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Root-Kategorie für diesen Shop in der <a href=""%1""> Konfiguration</a> festgelegt."
"Manage Options (values of your attribute)","Optionen verwalten (die Werte des Attributs)"
"An attribute group named ""/name/"" already exists"".","Eine Attributgruppe mit dem Namen ""\name\" existiert bereits."""""""
"Close panel","Panel schließen"
"Allow Multiple Boxes for Shipping.","Mehrere Kartons für den Versand erlauben."
"Ok","Akzeptiert"
"Watermark Default Size","Wasserzeichen - Voreingestellte Größe"
"Watermark Opacity, Percent","Wasserzeichen - Deckkraft in Prozent"
"Watermark","Wasserzeichen"
"Watermark Position","Wasserzeichen Position"
"none","keine"
"File validation failed.","Dateiüberprüfung fehlgeschlagen."
"text","Text"
"Tier Price","Staffelpreis"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Wenn Ihre Magento Website mehrere Ansichten hat, können Sie Scope nutzen, um spezifische Ansicht zuweisen."
"Sort Products By","Sortiere Produkte nach"
"Default Product Sorting","Artikelsortierung (voreingestellt)"
"Use Parent Category Settings","Einstellungen der übergeordneten Kategorie verwenden"
"Page not found","Seite nicht gefunden"
"Full file path is expected.","Voller Dateipfad wird erwartet."
"from","von"
"to","bis"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","Das Attribut konnte aufgrund eines Fehlers nicht gespeichert werden. Überprüfen Sie Ihre Angaben und versuchen Sie es erneut. Falls der Fehler weiterhin besteht, versuchen Sie es bitte später erneut."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","Das Attribut konnte aufgrund eines Fehlers nicht validiert werden. Überprüfen Sie Ihre Angaben und versuchen Sie es erneut. Falls der Fehler weiterhin besteht, versuchen Sie es bitte später erneut."
"Tier prices data should be array, but actually other type is received","Staffelpreise sollten Array sein, jedoch wird ein anderer Typ empfangen"
"Price indexer ""%1"" must implement %2 or %3","Preis-Indexer ""%1"" muss %2 oder %3 implementieren"
"You added product %1 to the <a href=""%2"">comparison list</a>.","Sie haben das Produkt %1 zur <a href=""%2"">Vergleichsliste</a> hinzugefügt."
"Maximum %1 characters","Maximal %1 Zeichen"
"remaining","verbleibend"
"too many","zu viele"
"Sending attribute values as package.","Attributwerte als Paket senden."
"This value does not follow the specified format (for example, 200X300).","Dieser Wert entspricht nicht der vorgegebenen Formatierung (zum Beispiel 200x300)."
"Applies to category pages","Anwendung auf Kategorieseiten"
"Remember Category Pagination","Kategorieseite merken"
"Changing may affect SEO and cache storage consumption.","Änderungen können SEO und Cache-Speicherbedarf beeinflussen."
"Images Upload Configuration","Bild-Upload-Konfiguration"
"Quality","Qualität"
"Jpeg quality for resized images 1-100%.","Jpeg-Qualität für skalierte Bilder 1-100%."
"Cost","Einkaufspreis"
"The ""%1"" attribute is required. Enter and try again.","Das ""%1"" Attribut ist erforderlich. Bitte geben Sie es ein und versuchen Sie es erneut."
"Attributes were missing and must be specified.","Attribute fehlten und müssen angegeben werden."
"The value of Admin must be unique. (%1)","Der Wert für Admin muss eindeutig sein. (%1)"
"The product was unable to be saved. Please try again.","Das Produkt konnte nicht gespeichert werden. Bitte versuchen Sie es erneut."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","Der Wert von Attribut ""%1"" ist nicht eindeutig. Bitte geben Sie einen eindeutigen Wert ein und versuchen Sie es erneut."
"The category doesn't contain the specified product.","Die Kategorie enthält nicht das angegebene Produkt."
"The %1 value wasn't found in the algorithms.","Der %1 Wert wurde nicht in den Algorithmen gefunden."
"The filters are invalid. Set them in an array and try again.","Die Filter sind ungültig. Setzen Sie sie in ein Array und versuchen Sie es erneut."
"The product wasn't registered.","Das Produkt wurde nicht registriert."
"The store wasn't registered. Verify the store and try again.","Der Store wurde nicht registriert. Verifizieren Sie den Store und versuchen Sie es erneut."
"The ""%1"" attribute value is empty. Set the attribute and try again.","Der ""%1"" Attributwert ist leer. Wählen Sie das Attribut und versuchen Sie es erneut."
"The attribute set couldn't be created because it's based on a non-product attribute set.","Das Attributset konnte nicht erstellt werden, da es auf einem Nicht-Produkt-Attribut beruht."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","Das Attributset konnte nicht erstellt werden, da es auf einem nicht existierenden Attributset beruht."
"The image content is invalid. Verify the content and try again.","Der Bildinhalt ist ungültig. Überprüfen Sie den Inhalt und versuchen Sie es erneut."
