"Root","Gyökér"
"Customer Group","Vásárlói csoport"
"Special Price From","Akciós ár (ettől:)"
"To","Eddig"
"Done","Kész"
"Product Alerts","Termék értesítések"
"Alert stock","Riasztási készlet szint"
"Alert Stock","Riasztási készlet szint"
"Alert price","Riasztási árszint"
"Alert Price","Riasztási árszint"
"Add Selected","Kijelölt(ek) hozzáadása"
"Select Attribute","Válasszon jellemzőt"
"Create New Attribute","Új jellemző létrehozása"
"Customizable Options","Testre szabható beállítások"
"Custom options let customers choose the product variations they want.","Az egyéni beállítások segítségével a vevő kiválaszthatja a számára megfelelő termékvariációt."
"Add Option","Opció hozzáadása"
"New Option","Új opció"
"Select Product","Válassza ki a termék"
"Option Title","Opció cím"
"Add Value","Érték megadás"
"Title","Cím"
"Option Type","Opció típus"
"Required","Kötelező"
"Price Type","Ártípus"
"Max Characters","Max karakterek"
"Compatible File Extensions","Kompatibilis fájlkiterjesztések"
"Enter separated extensions, like: png, jpg, gif.","Adja meg a file kiterjesztéseket elválasztva például: png, jpg, gif."
"Maximum Image Size","Maximális képméret"
"Please leave blank if it is not an image.","Kérjük, hagyja üresen, ha nem egy kép."
"%1","%1"
"This item has weight","Ennek a terméknek van súlya"
"This item has no weight","Ennek a terméknek nincs súlya"
"Set Product as New From","Újdonságnak beállítva"
"Related Products, Up-Sells, and Cross-Sells","Kapcsolódó termékek, felülértékesítések, és kereszt eladások"
"Related products are shown to customers in addition to the item the customer is looking at.","Kapcsolódó termékek az éppen megtekintett termék mellett jelennek meg."
"Add Related Products","Kapcsolódó termékek hozzáadása"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Az up-sell termék a jelenleg megtekintett termék drágább vagy jobb minőségű alternatívájaként jelenik meg a vevőnek."
"Add Up-Sell Products","Up-Sell termékek hozzáadása"
"Up-Sell Products","Up-Sell termékek"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Az ""impulzus-vásárlás"" termékek a kosár mellett a már a kosárban lévő termékek cross-sell termékeként jelennek meg."
"Add Cross-Sell Products","Kereszt-eladás termékek hozzáadása"
"Cross-Sell Products","Kereszt-eladás termékek"
"Add Selected Products","Kijelölt termékek hozzáadása"
"Remove","Eltávolítás"
"Thumbnail","Bélyegkép"
"Actions","Műveletek"
"Schedule Update From","Ütemezett frissítés (-tól)"
"Product in Websites","Termék a honlapokon"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Ha a Magento-t több weboldalra telepítette, beállíthatja hogy az egyes termékek melyik weboldalon jelenjenek meg."
"name","név"
"Copy Data from","Az adatok másolása"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Ha nincsenek egyéni szülő kategóriák, kérjük használja az alapértelmezett szülő kategóriát. A <a href=""%1"" target=""_blank""> Termékek &gt; Kategóriák</a> útvonalon bármikor újra összerendezheti a kategóriát."
"This operation can take a long time","Ez a művelet hosszú ideig fog tartani"
"Collapse All","Összes bezárása"
"Expand All","Összes kibontása"
"Please confirm site switching. All data that hasn't been saved will be lost.","Erősítse meg a weboldal váltását. Az összes nem mentett adat el fog veszni."
"Use Default Value","Alapértelmezett érték használata"
"Manage Titles (Size, Color, etc.)","Címek kezelése (Méret, Szín, stb.)"
"Manage Options (Values of Your Attribute)","Lehetőségek kezelése (A jellemző értékei)"
"Is Default","Alapértelmezett"
"Sort Option","Rendezés"
"Groups","Csoportok"
"Double click on a group to rename it.","Csoport átnevezése dupla kattintással."
"Unassigned Attributes","Társítatlan jellemzők"
"A name is required.","Név szükséges."
"This group contains system attributes. Please move system attributes to another group and try again.","Ez a csoport rendszer jellemzőket tartalmaz. Kérem helyezze át őket egy másik csoportba és próbálja újra."
"Please select a node.","Kérjük, válasszon egy csomópontot."
"Please enter a new group name.","Adjon meg egy új csoport nevet."
"An attribute group named ""/name/"" already exists.","""/name/"" nevű jellemző csoport már létezik."
"Sorry, we're unable to complete this request.","Sajnáljuk, de nem tudjuk teljesíteni ezt a kérést."
"You can't remove attributes from this attribute set.","Nem távolíthat el jellemzőket ebből a jellemzőkészletből."
"Custom Options","Lekérdezési kontextus"
"This is a required option.","Ez egy kötelező lehetőség."
"The field isn't complete.","A mező nem teljes."
"Compatible file extensions to upload","Kompatibilis fájl kiterjesztések a feltöltéshez"
"Maximum image width","Kép maximális szélessége"
"Maximum image height","Maximális képmagasság"
"Maximum number of characters:","Karakterek maximális száma:"
"start typing to search template","kezdjen el gépelni, a sablon kereséséhez"
"Product online","A termék online"
"Product offline","A termék offline"
"Product online status","Termék online állapot"
"Manage Stock","Készlet kezelése"
"Qty","Mennyiség"
"Out-of-Stock Threshold","Nincs raktáron küszöbérték"
"Minimum Qty Allowed in Shopping Cart","Megengedett minimum mennyiség a kosárban"
"Maximum Qty Allowed in Shopping Cart","Megengedett maximum mennyiség a kosárban"
"Qty Uses Decimals","Tizedes használata"
"Backorders","Előrendelések"
"Notify for Quantity Below","Értesítés mennyiségnél"
"Enable Qty Increments","Mennyiség növekmények engedélyezése"
"Qty Increments","Mennyiség növekmény"
"Stock Availability","Raktárkészlet"
"In Stock","Raktáron"
"Out of Stock","Nincs raktáron"
"Add Product To Websites","Termék hozzáadása a Weboldalakhoz"
"Remove Product From Websites","Termék eltávolítása a Weboldalakról"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Egy tétel elrejtéséhez a katalógusban vagy a keresésben, állítsa az állapotot ""Letiltva""-ra."
"We can't save custom-defined options for bundles with dynamic pricing.","Nem lehet menteni a Vevő által definiált lehetőségeket az összecsomagolt, dinamikus árazású termékek esetén."
"Delete Custom Option","Egyedi opció törlése"
"Sort Custom Options","Egyedi opciók rendezése"
"Input Type","Beviteli mező típusa"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","Egyedi opció rendezése"
"Item Price","Cikk ára"
"Action","Akció"
"and above","és felette"
"Delete Tier","Akció törlése"
"Product In Websites","Termék a honlapokon"
"(Copy data from: %1)","(Innen másolja az adatokat: %1)"
"Browse to find or drag image here","Tallózza ki, vagy húzza ide a képet"
"Delete image","Kép törlése"
"Hidden","Rejtett"
"Alt Text","Alt szöveg"
"Role","Szerep"
"Image Size","Képméret"
"{size}","{size}"
"Image Resolution","Képfelbontás"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","Termék oldalon elrejteni"
"Allow Multiple Boxes for Shipping","Több csomag engedélyezése szállításkor"
"start typing to search attribute","kezdjen el gépelni a jellemző kereséséhez"
"Basic Settings","Alapbeállítások"
"Advanced Settings","Haladó beállítások"
"Changes have been made to this section that have not been saved.","Az e szakaszban létrehozott változások, melyek nincsenek elmentve."
"This tab contains invalid data. Please resolve this before saving.","E lap érvénytelen adatot tartalmaz! Kérjük, oldja meg a problémát mentés előtt!"
"Mass Actions","Tömeges műveletek"
"Select All","Összes kijelölése"
"Unselect All","Összes kijelölés megszüntetése"
"Select Visible","Láthatóak kiválasztása"
"Unselect Visible","Láthatóak kiválasztásának törlése"
"Special Price","Akciós ár"
"Regular Price","Lista ár"
"Buy %1 for: ","Vegyen %1 -t: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Vegyen %1 -t darabját %2 -ért, és <strong class=""benefit"">spóroljon meg<span class=""percent tier-%3"">&nbsp;%4</span>%-ot</strong>"
"Buy %1 for %2 each","Vegyen %1 -t darabját %2 -ért"
"Shop By","Szűrés"
"Shopping Options","Vásárlási beállítások"
"Compare Products","Termékek összehasonlítása"
"Print This Page","Oldal nyomtatása"
"Remove Product","Termék eltávolítása"
"Add to Cart","Kosárba"
"In stock","Raktáron"
"Out of stock","Nincs raktáron"
"Add to Wish List","Hozzáadás a kívánságlistához"
"You have no items to compare.","Nincs összehasonlítható termék."
"Remove This Item","Termék eltávolítása"
"Compare","Összehasonlítás"
"Clear All","Összes törlése"
"Prev","Előző"
"Next","Következő"
"We can't find products matching the selection.","Nem található a kiválasztásnak megfelelő termék."
"Learn More","További információk"
"Add to Compare","Összehasonlításhoz ad"
"We found other products you might like!","Találtunk pár terméket amely elnyerheti a tetszését!"
"More Choices:","További lehetőségek:"
"Check items to add to the cart or","Jelölje ki a termékeket a kosárhoz való hozzáadáshoz vagy"
"select all","mind kiválaszt"
"Items %1-%2 of %3","%1-%2/%3 termék"
"%1 Item","%1 elem"
"%1 Items","%1 termékek"
"Show","Megjelenítés"
"per page","oldalanként"
"Sort By","Rendezés"
"Set Ascending Direction","Növekvő sorrendbe"
"Set Descending Direction","Csökkenő sorrendbe"
"View as","Megtekintés"
"More Information","További információ"
"Loading...","Loading..."
"* Required Fields","* kitöltése kötelező"
"Availability","Elérhetőség"
"Warning message","Figyelmeztető üzenet"
"Submit","Submit"
"We don't recognize or support this file extension type.","Ismeretlen vagy nem támogatott ez a fajta kiterjesztés."
"Configure Product","Termék beállítása"
"OK","Rendben"
"This value does not follow the specified format (for example, 200x300).","This value does not follow the specified format (for example, 200x300)."
"Select type of option.","Válassza ki a beállítás típusát."
"Please add rows to option.","Kérem adjon értékeket a beállításnak."
"Please select items.","Please select items."
"Choose existing category.","Létező kategóra választása."
"Image Detail","Kép részletek"
"Adding...","Hozzáadás..."
"Added","Hozzáadva"
"does not implement Storage Interface","does not implement Storage Interface"
"unselect all","összes kijelölés megszüntetése"
"Inventory","Készlet"
"Catalog Section","Katalógus szakasz"
"Small","Kicsi"
"Main","Elsődleges"
"Custom image","Egyedi kép"
"Product Fields Auto-Generation","Termék mezők automatikus létrehozása"
"Mask for SKU","Cikkszám maszkja"
"Use {{name}} as Product Name placeholder","{{name}} használva alapértelmezett névként"
"Mask for Meta Title","Meta cím maszk"
"Mask for Meta Keywords","Meta kulcsszavak maszkja"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","{{name}} mint alapértelmezett terméknév vagy {{sku}} mint alapértelmezett termék SKU használata"
"Mask for Meta Description","Meta leírás mező"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","{{name}} és {{description}} használata alapértelmezett terméknév és termékleírásként"
"Recently Viewed/Compared Products","Nemrég megtekintett/összehasonlított termékek"
"Lifetime of products in Recently Viewed Widget","A nemrég megtekintett termék widgetben a termék élettartama"
"Lifetime of products in Recently Compared Widget","A nemrég összehasonlított termékek widgetben a termék élettartama"
"Synchronize widget products with backend storage","Synchronize widget products with backend storage"
"Storefront","Storefront"
"List Mode","Lista mód"
"Products per Page on Grid Allowed Values","Termék/oldal lehetséges értékei"
"Comma-separated.","Vesszővel elválasztott."
"Products per Page on Grid Default Value","Rácsnézetben a termékek alapértelmezett száma oldalanként"
"Must be in the allowed values list","Must be in the allowed values list"
"Products per Page on List Allowed Values","Termékek/oldal a listában engedélyezett értékek"
"Products per Page on List Default Value","Termékek/oldal a listában alapértelmezett értéke"
"Use Flat Catalog Category","Lapos katalógus kategóriákat használjon"
"Use Flat Catalog Product","Lapos katalógus termékeket használjon"
"Product Listing Sort by","Terméklista sorbarendezése"
"Allow All Products per Page","Engedélyezve az összes termék oldalanként"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Whether to show ""All"" option in the ""Show X Per Page"" dropdown"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Product Image Placeholders","Termékkép helyfoglalók"
"Search Engine Optimization","Kereső motor optimalizáció"
"Page Title Separator","Oldalcím-elválasztó"
"Use Canonical Link Meta Tag For Categories","Egyszerűsített Meta Tag hivatkozás használata a Kategóriáknál"
"Use Canonical Link Meta Tag For Products","Egyszerűsített Meta Tag hivatkozás használata a Termékeknél"
"Catalog Price Scope","Katalógus ár hatókör"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Ezt az alapértelmezett pénznem határozza meg (""Pénznem beállítások"" > ""Pénznem lehetőségek"" > ""Alapértelmezett pénznem"")."
"Category Top Navigation","Kategória felső navigáció"
"Maximal Depth","Maximális mélység"
"Date & Time Custom Options","Dátum és idő egyéni beállítások"
"Use JavaScript Calendar","JavaScript naptár használata"
"Date Fields Order","Dátum mezők sorrendje"
"Time Format","Időformátum"
"Year Range","Év tartomány"
"Please use a four-digit year format.","Kérem, négy számjegyű évszámot adjon meg."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Top Level Category","Kategória legfelső szintje"
"Product Info Column","Termék infó oszlop"
"Block after Info Column","Blokk az infó oszlop után"
"Product Flat Data","Termék lapos adatok"
"Reorganize EAV product structure to flat structure","Az EAV termék struktúrájának újjászervezése a lapos struktúrához"
"Category Flat Data","Kategória lapos adatok"
"Reorganize EAV category structure to flat structure","Az EAV kategóriák struktúrájának újjászervezése a lapos struktúrához"
"Category Products","Kategória termékei"
"Indexed category/products association","Indexelt kategória/termék összerendelések"
"Product Categories","Árukategóriák"
"Indexed product/categories association","Indexelt termék/kategória összerendelések"
"Product Price","Termék ár"
"Index product prices","Termék árak indexelés"
"Product EAV","Termék EAV"
"Index product EAV","Termék EAV indexelés"
"Catalog New Products List","A katalógusban új termékek listája"
"List of Products that are set as New","Az újdonságnak jelölt termékek listája"
"Display Type","Megjelenítési formátum"
"All products - recently added products, New products - products marked as new","Minden termék - legfrissebb, új termékek - újnak jelölt termékek"
"All products","Összes termék"
"New products","Új termékek"
"Display Page Control","Oldal vezérlőelem megjelenítése"
"Number of Products per Page","Oldalankénti termékek száma"
"Number of Products to Display","Megjelenített termékek száma"
"Template","Sablon"
"New Products Grid Template","Új termék-rács sablon"
"New Products List Template","Új terméklista sablon"
"New Products Images and Names Template","Új termék képekés nevek sablon"
"New Products Names Only Template","Új termékek csak nevekkel sablon"
"New Products Images Only Template","Új termékek csak képekkel sablon"
"Cache Lifetime (Seconds)","Cache élettartama (másodperc)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","Katalógus termék link"
"Link to a Specified Product","Link egy meghatározott termékhez"
"Select Product...","Válassza ki a terméket..."
"Anchor Custom Text","Egyedi horgony szöveg"
"If empty, we'll use the product name here.","Ha üres, a termék nevét fogjuk itt használni."
"Anchor Custom Title","Egyedi horgony cím"
"Product Link Block Template","Termék link blokk sablon"
"Product Link Inline Template","Termék link inline sablon"
"Catalog Category Link","Katalógus kategória link"
"Link to a Specified Category","Link egy megadott kategóriához"
"Select Category...","Válassza ki a kategóriát..."
"If empty, we'll use the category name here.","Ha üres, a kategória nevét fogjuk itt használni."
"Category Link Block Template","Kategória link blokk sablon"
"Category Link Inline Template","Kategória link inline sablon"
"Recently Viewed Products","Nemrég megtekintett termékek"
"List of Products Recently Viewed by Visitor","A látogatók által legutóbb megnézett termékek"
"UI Component","UI Komponens"
"Number of Products to display","Megjelenített termékek száma"
"Product attributes to show","Megjelenítendő termék jellemzők"
"Image","Kép"
"Learn More Link","Tudj meg többet link"
"Buttons to show","Megjelenítendő gombok"
"Add to Wishlist","Hozzáadás a kívánságlistához"
"Viewed Products Grid Template","Megtekintett termékek rács sablon"
"Viewed Products List Template","Megtekintett termékek felsorolás sablon"
"Viewed Products Sidebar Template","Megtekintett termékek oldalsáv sablon"
"Recently Compared Products","Nemrég összehasonlított termékek"
"List of Products Recently Compared by Visitor","A látogatók által legutóbb összehasonlított termékek"
"Compared Products Grid Template","Összehasonlított termékek rács sablonja"
"Compared Products List Template","Összehasonlított termékek lista sablonja"
"Set","Beállít"
"Category Information","Kategóriaadatok"
"Enable Category","Kategória engedélyezése"
"Include in Menu","Menü tartalmazza"
"Content","Tartalom"
"Category Image","Kategóriakép"
"Description","Leírás"
"Add CMS Block","CMS blokk hozzáadása"
"Display Settings","Megjelenítési beállítások"
"Display Mode","Megjelenítési mód"
"Anchor","Horgony"
"Available Product Listing Sort By","Elérhető termék sorbarendezések"
"Use All","Az összes használata"
"Default Product Listing Sort By","Terméklista alapértelmezett sorbarendezése"
"Layered Navigation Price Step","Ár beállítási fokozat nagysága a navigációs panelen"
"URL Key","URL-kulcs"
"Meta Title","Meta cím"
"Meta Keywords","Meta kulcsszavak"
"Meta Description","Meta leírás"
"Products in Category","Termékek a kategóriában"
"Design","Dizájn"
"Theme","Téma"
"Layout","Elrendezés"
"Layout Update XML","Elrendezés frissítés XML"
"Apply Design to Products","Design alkalmazása a termékekhez"
"Schedule Design Update","Ütemezett Design frissítés"
"AttributeSetText","Jellemző halmaz szöveg"
"StatusText","Állapotszöveg"
"Product Image Watermarks","Termék kép vízjelek"
"Base","Alap"
"Allowed file types: jpeg, gif, png.","Engedélyezett fájltípusok: jpeg, gif, png."
"Image Opacity","Kép átlátszóság"
"Example format: 200x300.","Példa formátum: 200 x 300."
"Image Position","Kép pozíció"
"Attribute Properties","Jellemző tulajdonságok"
"Attribute Label","Jellemző cimke"
"Catalog Input Type for Store Owner","Beviteli mező típusa"
"Values","Értékek"
"Add this attribute to the list of column options in the product grid.","A jellemző a termék rács oszlop kiválaszási lehetőségei közé helyezése."
"Add this attribute to the list of filter options in the product grid.","A jellemző a termék rács szűrő lehetőségei közé helyezése."
"System","Rendszer"
"All Store Views","Minden webáruház nézet"
"Delete selected items?","Törli a kiválasztott elemeket?"
"Delete items","Elemek törlése"
"Change status","Állapot megváltoztatása"
"Enable","Bekapcsolás"
"Disable","Letiltás"
"Update attributes","Jellemzők frissítése"
"Overview","Áttekintés"
"Skip to the end of the images gallery","Ugrás a képgaléria végére"
"Skip to the beginning of the images gallery","Ugrás a képgaléria elejére"
"Details","Részletek"
"Recently Compared","Legutoljára összehasonlítva"
"Add To Cart","Kosárba"
"Add To Compare","Összehasonlításhoz ad"
"Learn more","További tudnivalók"
"Recently Viewed","Nemrég megtekintve"
"Save Category","Save Category"
"Delete Category","Delete Category"
"New Subcategory","New Subcategory"
"New Root Category","New Root Category"
"Set Root Category for Store","Set Root Category for Store"
"Custom Design","Custom Design"
"Category Data","Category Data"
"Not shared with other products","Not shared with other products"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Depends on design theme","Depends on design theme"
"We saved the price alert subscription.","We saved the price alert subscription."
"We saved the stock notification.","We saved the stock notification."
"Images and Videos","Images and Videos"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"There was a category move error. %1","There was a category move error. %1"
"You moved the category","You moved the category"
"This product no longer exists.","This product no longer exists."
"We can't find the image file.","We can't find the image file."
"productFactory is already set","productFactory is already set"
"Could not save product option","Could not save product option"
"Product option with id %1 does not exist","Product option with id %1 does not exist"
"Are you sure you want to delete this category?","Biztos abban, hogy törölni szeretné a kategóriát?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Set root category for this store in the <a href=""%1"">configuration</a>."
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"An attribute group named ""/name/"" already exists"".","An attribute group named ""/name/"" already exists""."
"Close panel","Close panel"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
"Ok","Ok"
"Watermark Default Size","Watermark Default Size"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark","Watermark"
"Watermark Position","Watermark Position"
"none","none"
"File validation failed.","File ellenőrzés hiba."
"text","text"
"Tier Price","Tier Price"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"Sort Products By","Sort Products By"
"Default Product Sorting","Default Product Sorting"
"Use Parent Category Settings","Use Parent Category Settings"
"Page not found","Page not found"
"Full file path is expected.","Teljes útvonal szükséges."
"from","ettől"
"to","eddig"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","Az attribútum nem menthető hiba miatt. Ellenőrizze az adatokat és próbálja újra. Ha a hiba továbbra is fennáll, próbálkozzon később."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","Az attribútumot nem sikerült érvényesíteni hiba miatt. Ellenőrizze az adatokat és próbálja újra. Ha a hiba továbbra is fennáll, próbálkozzon később."
"Tier prices data should be array, but actually other type is received","A mennyiségi kedevezményes árat tömbben kell megadni, de más típusú adatot kap"
"Price indexer ""%1"" must implement %2 or %3","Az ""%1"" ár indexelőnek meg kell adni %2 vagy %3-at"
"You added product %1 to the <a href=""%2"">comparison list</a>.","A %1 terméket hozzáadta a <a href=""%2"">comparison list</a>-hoz."
"Maximum %1 characters","Maximum %1 karakter"
"remaining","fennmaradó"
"too many","túl sok"
"Sending attribute values as package.","Sending attribute values as package."
"This value does not follow the specified format (for example, 200X300).","Ez az érték nem felel meg a megadott formátumnak (például 200X300)."
"Applies to category pages","Applies to category pages"
"Remember Category Pagination","Emlékezzen a kategória oldaltördelésre"
"Changing may affect SEO and cache storage consumption.","A változása befolyásolhatja a SEO és a gyorsítótár használatát."
"Images Upload Configuration","Képfeltöltési konfiguráció"
"Quality","Minőség"
"Jpeg quality for resized images 1-100%.","Jpeg minőség átméretezett képeknél 1-100%."
"Cost","Cost"
"The ""%1"" attribute is required. Enter and try again.","A ""%1"" attribútum szükséges. Írja be és próbálja újra."
"Attributes were missing and must be specified.","Az attribútumok hiányoznak, és meg kell adni őket."
"The value of Admin must be unique. (%1)","Az Admin értékének egyedinek kell lennie. (%1)"
"The product was unable to be saved. Please try again.","Source String
A termék nem menthető el. Próbálja újra."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","A ""%1"" attribútum értéke nem egyedi. Állítson be egyedi értéket és próbálja újra."
"The category doesn't contain the specified product.","A kategória nem tartalmazza a megadott terméket."
"The %1 value wasn't found in the algorithms.","A %1 érték nem található az algoritmusban."
"The filters are invalid. Set them in an array and try again.","A szűrők érvénytelenek. Állítsa be őket egy tömbbe és próbálja újra."
"The product wasn't registered.","A termék nem lett regisztrálva."
"The store wasn't registered. Verify the store and try again.","Nem regisztrált bolt. Ellenőrizze a boltot, és próbálja újra."
"The ""%1"" attribute value is empty. Set the attribute and try again.","A ""%1"" attribútum értéke üres. Állítsa be az attribútumot és próbálja újra."
"The attribute set couldn't be created because it's based on a non-product attribute set.","A jellemző halmazt nem lehet létrehozni, mert nem termék jellemzőhalmazon alapul."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","A jellemző halmazt nem lehet létrehozni, mert nem létező jellemző halmazon alapul."
"The image content is invalid. Verify the content and try again.","A kép tartalma érvénytelen. Ellenőrizze a tartalmat, és próbálja meg újra."
"The product can't be saved.","A termék nem menthető el."
"The new media gallery entry failed to save.","Az új média galéria bejegyzés mentése sikertelen."
"No image with the provided ID was found. Verify the ID and try again.","Nem található a megadott azonosítójú kép. Ellenőrizze az aztonosítót, és próbálja újra."
"The product doesn't exist. Verify and try again.","A termék nem létezik. Ellenőrizze és próbálja újra."
"The image doesn't exist. Verify and try again.","A kép nem létezik. Ellenőrizze és próbálja újra."
"The image doesn't exist.","A kép nem létezik."
"The image type for the file is invalid. Enter the correct image type and try again.","A kép fájl típusa érvénytelen. Adja meg a fájl helyes típusát és próbálja újra."
"The ""%1"" file couldn't be moved.","A ""%1"" file nem mozgatható."
"The ProductSku is empty. Set the ProductSku and try again.","A cikkszám üres. Állítsa be a cikkszámot és próbálja újra."
"The custom option couldn't be removed.","Az egyedi opció nem távolítható el."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","A termék kívánt opciója(i) nincsenek megadva. Győződjön meg arról, hogy az opciók be vannak írva és próbálkozzon újra."
"The file options format is invalid. Use a correct format and try again.","A fájlbeállítások formátuma érvénytelen. Használjon helyes formátumot és próbálja újra."
"The file ""%1"" is empty. Select another file and try again.","A ""%1"" fájl üres. Válasszon ki egy másik fájlt és próbálja újra."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","A fájl túl nagy ezért nem tölthető fel. Használjon %1 MB-nál kisebb fájlt, és próbálja újra."
"The required option wasn't entered. Enter the option and try again.","The required option wasn't entered. Enter the option and try again."
"The file is empty. Select another file and try again.","A fájl üres. Válasszon ki egy másik fájlt és próbálja újra."
"The text is too long. Shorten the text and try again.","A szöveg túl hosszú. Rövidítse le, és próbálja újra."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","A kért termék nem létezik. Ellenőrizze a terméket, és próbálja meg újra. Sor azonosító: Csz=%SKU, Bolt azonosító: %storeId, Ár: %priceFrom-tól %priceTo-ig."
"Tier price is unavailable for this product.","A lépcsős ár nem elérhető ehhez a termékhez."
"The tier_price data is invalid. Verify the data and try again.","A tier_price adat érvénytelen. Ellenőrizze az adatot, és próbálja újra."
"The group price couldn't be saved.","A csoportos ár nem menthető el."
"The data was invalid. Verify the data and try again.","Az adat érvénytelen. Ellenőrizze az adatot, és próbálja újra."
"Values in the %1 attributes are invalid. Verify the values and try again.","A %1 jellemzők értékei érvénytelenek. Ellenőrizze az értékeket, és próbálja újra."
"We can't create the ""%1"" writeable directory.","We can't create the ""%1"" writeable directory."
"The file upload failed. Try to upload again.","A fájl feltöltése nem sikerült. Próbálja feltölteni újra."
"The product has required options. Enter the options and try again.","A terméknek kötelezően megadandó opciója van. Adja meg az opciót, és próbálja újra."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","A ""%1"" azonosítójú csoport nem létezik. Ellenőrizze az azonosítót és próbálja újra."
"The attribute group can't be deleted because it contains system attributes.","A jellemző hallmaz nem törölhető, mert tartalmaz rendszer jellemzőket."
"The collection provider isn't registered.","A gyűjtemény szolgáltató nincs regisztrálva."
"The ""%1"" link type is unknown. Verify the type and try again.","A ""%1"" hivatkozás típus ismeretlen. Ellenőrizze, és próbálja újra."
"The ""%1"" link type wasn't found. Verify the type and try again.","A ""%1"" hivatkozás típus nem található. Ellenőrizze, és próbálja újra."
"The linked products data is invalid. Verify the data and try again.","A kapcsolódó termékadatok érvénytelenek. Ellenőrizze az adatokat, és próbálja meg újra."
"The product that was requested doesn't exist. Verify the product and try again.","A termék nem létezik. Ellenőrizze a terméket, és próbálja újra."
"The Product with the ""%1"" SKU doesn't exist.","""%1"" cikkszámú termék nem létezik."
"The ""%1"" product couldn't be removed.","A ""%1"" termék nem távolítható el."
"Category with ID: %s doesn't exist","A %s azonosítójú kategória nem létezik"
"Product Name or SKU","Termék neve vagy cikkszáma"
"Start typing to find products","Kezdjen el gépelni a a termék kereséshez"
"Product with ID: %s doesn't exist","A %s cikkszámú termék nem létezik"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped"
"An item needs to be selected. Select and try again.","Egy elemet ki kell választani. Jelölje ki, majd próbálkozzon újra."
"Use Static URLs for Media Content in WYSIWYG","Használjon a statikus URL-eket a média tartalomhoz a WYSIWYG-ben"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","A média tartalmat a szövegszerkesztőbe kell beszúrni statikus URL-ként. A Média tartalom nem fog frissülni, ha a rendszerben beállított alap URL változik."
"Default Layouts","Alapértelmezett elrendezések"
"Default Product Layout","Alapértelmezett termékelrendezés"
