"Root","Sakne"
"Could not get extension attributes","Nevar iegūt paplašinājums atribūtus"
"message","ziņa"
"fl","fl"
"Lock wait timeout","Bloķēšanas laika beigas"
"123","123"
"Images","Attēli"
"Select...","Izvēlēties..."
"Advanced Pricing","Izvērsta cenošana"
"Customer Group Price","Klientu grupas cena"
"Customer Group","Klientu grupa"
"Special Price From","Speciālā cena no"
"To","Kam"
"Done","Gatavs"
"Product Alerts","Produktu brīdinājumi"
"Alert stock","Alert stock"
"Alert Stock","Alert Stock"
"Alert price","Alert price"
"Alert Price","Alert Price"
"Add Selected","Pievienot atlasītos"
"Select Attribute","Izvēlēties atribūtu"
"Create New Attribute","Izveidot jaunu atribūtu"
"Customizable Options","Pielāgotas opcijas"
"Custom options let customers choose the product variations they want.","Pielāgotas opcijas ļauj klientiem izvēlēties produktu variācijas, kādas viņi vēlas."
"Add Option","Pievienot opciju"
"New Option","Jauna opcija"
"Select Product","Izvēlēties produktu"
"Option Title","Opcijas nosaukums"
"Add Value","Pievienot vērtību"
"Title","Nosaukums"
"Option Type","Opcijas veids"
"Required","Obligāts"
"Price Type","Cenas veids"
"Max Characters","Maksimālais zīmju skaits"
"Compatible File Extensions","Derīgi failu paplašinājumi"
"Enter separated extensions, like: png, jpg, gif.","Enter separated extensions, like: png, jpg, gif."
"Maximum Image Size","Maksimālais attēla lielums"
"Please leave blank if it is not an image.","Atstājiet tukšu ja tas nav attēls."
"%1","%1"
"This item has weight","Produktam ir svars"
"This item has no weight","Produktam nav svara"
"Set Product as New From","Iestatīt produktu kā jaunu no"
"Related Products, Up-Sells, and Cross-Sells","Saistītie produkti, Papildu pārdošana un Kombinētā pārdošana"
"Related products are shown to customers in addition to the item the customer is looking at.","Papildu produkti tiek rādīti kopār ar produktiem kurus klients aplūko."
"Add Related Products","Pievienot saistītos produktus"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Papildu pārdošanas produkti tiek piedāvāti kā alternatīva esošajam produktam, tam var būt lielāka cena vai augstāka kvalitāte."
"Add Up-Sell Products","Pievienot Papildu pārdošanas produktus"
"Up-Sell Products","Papildu pārdošanas produkti"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","""Impulsīvie pirkumi"" parādās pie pārdošanas groza kā kombinētie pirkumu produkti papildu jau grozā esošajiem."
"Add Cross-Sell Products","Pievienot Kombinētās pārdošanas produktus"
"Cross-Sell Products","Kombinētās pārdošanas produkti"
"Add Selected Products","Pievienot izvēlētos produktus"
"Remove","Dzēst"
"Thumbnail","Sīktēls"
"Actions","Darbības"
"Schedule Update From","Grafiks atjaunojas no"
"Product in Websites","Produkti lapās"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Ja Magento instalācijā ir vairākas mājas lapas, jūs varat rediģēt iespējas lietot produktu uz konkrētām vietām."
"name","nosaukums"
"Copy Data from","Kopēt datus no"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Ja nav speciālu vecāko kategoriju, lietojiet noklusēto galveno kategoriju. Jūs varat pārlikt kategoriju jebkurā laikā <a href=""%1"" target=""_blank"">Produkti &gt; Kategorijas</a>."
"This operation can take a long time","Šī operācija var aizņemt daudz laika"
"Collapse All","Atvērt visu"
"Expand All","Izvērst visu"
"Please confirm site switching. All data that hasn't been saved will be lost.","Apstipriniet lapas pārslēgšanu. Nesaglabātā informācija tiks zaudēta."
"Use Default Value","Izmantot noklusēto vērtību"
"Manage Titles (Size, Color, etc.)","Pārvaldīt nosaukumus (Krāsa, Izmērs, u.c.)"
"Manage Options (Values of Your Attribute)","Pārvaldīt opcijas (Atribūtu vērtības)"
"Is Default","Noklusētais"
"Sort Option","Kārtošanas opcijas"
"Groups","Grupas"
"Double click on a group to rename it.","Dubultklikšķis uz grupas lai izlabotu nosaukumu."
"Unassigned Attributes","Nepiešķirtie atribūti"
"A name is required.","Nosaukums ir obligāts."
"This group contains system attributes. Please move system attributes to another group and try again.","Grupa satur sistēmas atribūtus. Pārvietojiet sistēmas atribūtus uz citu grupu un mēģiniet vēlreiz."
"Please select a node.","Izvēlieties mezglu."
"Please enter a new group name.","Ievadiet jaunu grupas vārdu."
"An attribute group named ""/name/"" already exists.","Atribūtu grupa ""/name/"" jau eksistē."
"Sorry, we're unable to complete this request.","Atvainojiet, šo pieprasījumu nevar izpildīt."
"You can't remove attributes from this attribute set.","Jūs nevarat nodzēst atribūtus no šīs atribūtu grupas."
"Custom Options","Pielāgotas opcijas"
"This is a required option.","Obligāta opcija."
"The field isn't complete.","Lauks nav gatavs."
"Compatible file extensions to upload","Derīgi failu tipi augšupielādei"
"Maximum image width","Maksimālais attēla platums"
"Maximum image height","Maksimālais attēla augstums"
"Maximum number of characters:","Maksimālais simbolu skaits:"
"start typing to search template","sāciet rakstīt lai atrastu šablonu"
"Product online","Produkts ieslēgts"
"Product offline","Produkts izslēgts"
"Product online status","Produkta statuss tiešsaistē"
"Manage Stock","Pārvaldīt noliktavu"
"Qty","Skaits"
"Out-of-Stock Threshold","Nav noliktavā slieksnis"
"Minimum Qty Allowed in Shopping Cart","Minimālais atļautais daudzums grozā"
"Maximum Qty Allowed in Shopping Cart","Maksimālais atļautais daudzums grozā"
"Qty Uses Decimals","Skaitam lieto decimāldaļas"
"Backorders","Iepriekšpasūtījums"
"Notify for Quantity Below","Paziņot ja mazāk par"
"Enable Qty Increments","Ieslēgt skaita pieaugumu"
"Qty Increments","Skaita pieaugums"
"Stock Availability","Noliktavas pieejamība"
"In Stock","Noliktavā"
"Out of Stock","Nav pieejams"
"Add Product To Websites","Pievienot produktu lapām"
"Remove Product From Websites","Izņemt produktu no lapām"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Lai noslēptu kataloga produktu no meklēšanas rezultātiem, iestādiet tā statusu uz ""Izslēgts""."
"We can't save custom-defined options for bundles with dynamic pricing.","Nevar ieslēgt speciāli definētas opcijas komplektiem ar dinamisku cenu."
"Delete Custom Option","Izdzēst pielāgotu opciju"
"Sort Custom Options","Šķirot pielāgotas opcijas"
"Input Type","Ievades veids"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>pikseļi.</span>"
"Sort Custom Option","Šķirot pielāgotas opcijas"
"Item Price","Produkta cena"
"Action","Darbība"
"and above","un vairāk"
"Delete Tier","Dzēst līmeni"
"Product In Websites","Produkti lapās"
"(Copy data from: %1)","(Kopēt datus no: %1)"
"Browse to find or drag image here","Pārlūkot lai pievienotu vai ievilkt šeit attēlu"
"Delete image","Dzēst attēlu"
"Hidden","Slēpts"
"Alt Text","Alt teksts"
"Role","Loma"
"Image Size","Attēla lielums"
"{size}","{size}"
"Image Resolution","Attēla izšķirtspēja"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","Slēpt no produkta lapas"
"Allow Multiple Boxes for Shipping","Atļaut vairākas kastes piegādei"
"start typing to search attribute","sāciet rakstīt lai sameklētu atribūtu"
"Basic Settings","Pamatiestatījumi"
"Advanced Settings","Papildu iestatījumi"
"Changes have been made to this section that have not been saved.","Šai sadaļai ir veiktas izmaiņas, taču tā nav saglabāta."
"This tab contains invalid data. Please resolve this before saving.","Tabs satur nepareizu informāciju. Atrisiniet pirms saglabāšanas."
"Mass Actions","Masu darbības"
"Select All","Izvēlēties visu"
"Unselect All","Noņemt visus atlasītos"
"Select Visible","Izvēlēties redzamos"
"Unselect Visible","Noņemt redzamos"
"Special Price","Īpaša cena"
"Regular Price","Parastā cena"
"Buy %1 for: ","Pirkt %1 par: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Pirkt %1 par %2 katru un <strong class=""benefit"">saglabāt<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Pirkt %1 par %2 katru"
"Shop By","Iepirkties pēc"
"Shopping Options","Iepirkšanās opcijas"
"Compare Products","Salīdzināt produktus"
"Print This Page","Drukāt"
"Remove Product","Nodzēst produktu"
"Add to Cart","Pievienot grozam"
"In stock","Noliktavā"
"Out of stock","Nav pieejams"
"Add to Wish List","Pievienot vēlmju sarakstam"
"You have no items to compare.","Nav produktu salīdzināšanai."
"Remove This Item","Nodzēst šo vienību"
"Compare","Salīdzināt"
"Clear All","Notīrīt visu"
"Prev","Iepr"
"Next","Nākošais"
"We can't find products matching the selection.","Nevar atrast produktus kuri atbilst atlasei."
"Learn More","Uzzināt vairāk"
"Add to Compare","Pievienot salīdzināšanai"
"We found other products you might like!","Mēs atradām vēl produktus kuri Jums varētu patikt!"
"More Choices:","Vairāk izvēles:"
"Check items to add to the cart or","Atzīmējiet produktus kurus pievienot grozam vai"
"select all","atlasīt visu"
"Items %1-%2 of %3","Produkti %1-%2 no %3"
"%1 Item","%1 produkts"
"%1 Items","%1 Produkti"
"Show","Rādīt"
"per page","lapā"
"Sort By","Kārtot pēc"
"Set Ascending Direction","Iestatīt augošā secībā"
"Set Descending Direction","Iestatīt dilstošā secībā"
"View as","Apskatīt kā"
"More Information","Vairāk informācijas"
"Loading...","Loading..."
"* Required Fields","* obligātie lauki"
"Availability","Pieejamība"
"Warning message","Brīdinājuma ziņa"
"Submit","Submit"
"We don't recognize or support this file extension type.","Neatbalsta vai neatpazīst šo faila paplašinājumu."
"Configure Product","Konfigurēt produktu"
"OK","Labi"
"This value does not follow the specified format (for example, 200x300).","This value does not follow the specified format (for example, 200x300)."
"Select type of option.","Izvēlieties opcijas veidu."
"Please add rows to option.","Pievienot rindas opcijai."
"Please select items.","Please select items."
"Choose existing category.","Izvēlēties esošu kategoriju."
"Image Detail","Attēla detaļas"
"Adding...","Pievieno..."
"Added","Pievienots"
"does not implement Storage Interface","neiekļauj Glabāšanas Interfeisa implementāciju"
"unselect all","noņemt atlasi visam"
"Inventory","Inventārs"
"Catalog Section","Kataloga sadaļa"
"Small","Mazs"
"Main","Galvenais"
"Custom image","Pielāgots attēls"
"Product Fields Auto-Generation","Produktu lauku automātiska ģenerācija"
"Mask for SKU","Artikula maska"
"Use {{name}} as Product Name placeholder","Lietot {{name}} kā Produkta nosaukuma vietturi"
"Mask for Meta Title","Maska Meta nosaukumam"
"Mask for Meta Keywords","Maska meta atslēgas vārdiem"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Lietot {{name}} kā Produkta nosaukumu vai {{sku}} kā Produkta artikula vietturus"
"Mask for Meta Description","Meta apraksta maska"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Lietot {{name}} un {{description}} kā Produkta nosaukumu un Produkta apraksta vietturi"
"Recently Viewed/Compared Products","Nesen apskatītie/salīdzinātie produkti"
"Lifetime of products in Recently Viewed Widget","Produktu attēlošanas laiks Nesen Skatīto Produktu Rīklogā"
"Lifetime of products in Recently Compared Widget","Produktu attēlošanas laiks Nesen Salīdzināto Produktu Rīklogā"
"Synchronize widget products with backend storage","Sinhronizēt rīkloga produktus ar lapas administrāciju"
"Storefront","Veikala priekšpuse"
"List Mode","Saraksta režīms"
"Products per Page on Grid Allowed Values","Produkti lapā režģa skatā atļautās vērtības"
"Comma-separated.","Atdalīti ar komatu."
"Products per Page on Grid Default Value","Produkti lapā režģa skatā noklusētās vērtības"
"Must be in the allowed values list","Must be in the allowed values list"
"Products per Page on List Allowed Values","Produkti lapā saraksta skatā atļautās vērtības"
"Products per Page on List Default Value","Produkti lapā saraksta skatā noklusētās vērtības"
"Use Flat Catalog Category","Izmantot vienkāršu kataloga kategoriju"
"Use Flat Catalog Product","Lietot vienkāršu kataloga produktu"
"Product Listing Sort by","Produktu saraksts Šķirot pēc"
"Allow All Products per Page","Atļaut visus produktus vienā lapā"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Whether to show ""All"" option in the ""Show X Per Page"" dropdown"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Product Image Placeholders","Produkta attēlu vietturi"
"Search Engine Optimization","Meklēšana dzinēja optimizācija"
"Page Title Separator","Lappuses virsraksta atdalītājs"
"Use Canonical Link Meta Tag For Categories","Lietot kanoniskās saites meta tagu kategorijām"
"Use Canonical Link Meta Tag For Products","Lietot kanoniskās saites meta tagu produktiem"
"Catalog Price Scope","Kataloga cenu apgabals"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definē pamata valūtas apgabalu (""Valūtas iestatījumi"">""Valūtas opcijas"">""Pamata valūta"")."
"Category Top Navigation","Kategorijas augstākā navigācija"
"Maximal Depth","Maksimālais dziļums"
"Date & Time Custom Options","Datuma un laika pielāgotas opcijas"
"Use JavaScript Calendar","Lietot JavaScript kalendāru"
"Date Fields Order","Datuma lauku kārtība"
"Time Format","Laika formāts"
"Year Range","Gada robežās"
"Please use a four-digit year format.","Izmantojiet četrciparu gadskaitļa formātu."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Top Level Category","Augstākā līmeņa kategorija"
"Product Info Column","Produkta informācijas kolonna"
"Block after Info Column","Bloks pēc Informācijas kolonnas"
"Product Flat Data","Produkta vienkāršie dati"
"Reorganize EAV product structure to flat structure","Reorganizēt EAV produktu struktūru uz vienkāršu struktūru"
"Category Flat Data","Kategoriju vienkārši dati"
"Reorganize EAV category structure to flat structure","Reorganizēt EAV kategoriju struktūru par vienkāršu struktūru"
"Category Products","Kategorijas produkti"
"Indexed category/products association","Indeksēto kategoriju/produktu asociācijas"
"Product Categories","Produktu kategorijas"
"Indexed product/categories association","Indeksēt produktu/kategoriju asociācijas"
"Product Price","Produkta cena"
"Index product prices","Indeksēt produktu cenas"
"Product EAV","Produktu EAV"
"Index product EAV","Indeksēt produktu EAV"
"Catalog New Products List","Kataloga jauno produktu saraksts"
"List of Products that are set as New","Produktu saraksts kuri ir atzīmēti kā jauni"
"Display Type","Displeja tips"
"All products - recently added products, New products - products marked as new","Visi produkti - pēdējie pievienotie produkti, Jauni produkti - produkti kuri ir atzīmēti kā jauni"
"All products","Visi produkti"
"New products","Jauni produkti"
"Display Page Control","Rādīt lapas vadību"
"Number of Products per Page","Produktu skaits lapā"
"Number of Products to Display","Rādāmo produktu skaits"
"Template","Šablons"
"New Products Grid Template","Jaunu produktu režģa šablons"
"New Products List Template","Jaunu produktu saraksta šablons"
"New Products Images and Names Template","Jaunu produktu attēlu un nosaukumu šablons"
"New Products Names Only Template","Jaunu produktu tikai attēlu šablons"
"New Products Images Only Template","Jaunu produktu tikai nosaukumu šablons"
"Cache Lifetime (Seconds)","Kešatmiņas dzīves ilgums (sekundes)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","Kataloga produktu saites"
"Link to a Specified Product","Saite uz norādīto produktu"
"Select Product...","Izvēlieties produktu..."
"Anchor Custom Text","Enkura teksts"
"If empty, we'll use the product name here.","Ja tukšs, tiks izmantots produkta nosaukums."
"Anchor Custom Title","Enkura nosaukums"
"Product Link Block Template","Produkta saites bloka šablons"
"Product Link Inline Template","Produkta saites iekļautais šablons"
"Catalog Category Link","Kataloga kategorijas saite"
"Link to a Specified Category","Saite uz noteiktu kategoriju"
"Select Category...","Izvēlieties kategoriju..."
"If empty, we'll use the category name here.","Ja tukšs, tiks izmantots kategorijas nosaukums."
"Category Link Block Template","Kategorijas saites bloka šablons"
"Category Link Inline Template","Kategorijas saites iekļautais šablons"
"Recently Viewed Products","Nesen apskatītie produkti"
"List of Products Recently Viewed by Visitor","Nesen viesu apskatīto produktu saraksts"
"UI Component","UI Komponents"
"Number of Products to display","Rādāmo produktu skaits"
"Product attributes to show","Attēlojamie produkta atribūti"
"Image","Attēls"
"Learn More Link","Skatīt vairāk saite"
"Buttons to show","Attēlojamās pogas"
"Add to Wishlist","Pievienot Vēlmju sarakstam"
"Viewed Products Grid Template","Skatīto produktu režģa šablons"
"Viewed Products List Template","Skatīto produktu saraksta šablons"
"Viewed Products Sidebar Template","Skatīto produktu sānu saraksta šablons"
"Recently Compared Products","Nesen salīdzinātie produkti"
"List of Products Recently Compared by Visitor","Nesen viesu salīdzināto produktu saraksts"
"Compared Products Grid Template","Salīdzināto produktu režģa šablons"
"Compared Products List Template","Salīdzināto produktu saraksta šablons"
"Set","Iestatīt"
"Category Information","Kategorijas informācija"
"Enable Category","Ieslēgt kategoriju"
"Include in Menu","Iekļaut izvēlnē"
"Content","Saturs"
"Category Image","Kategorijas attēlus"
"Description","Apraksts"
"Add CMS Block","Pievienot CMS bloku"
"Display Settings","Displeja iestatījumi"
"Display Mode","Attēlošanas veids"
"Anchor","Enkurs"
"Available Product Listing Sort By","Pieejamo produktu saraksts kārtots pēc"
"Use All","Lietot visus"
"Default Product Listing Sort By","Noklusēto produktu saraksts kārtots pēc"
"Layered Navigation Price Step","Slāņveida navigācijas cenas solis"
"URL Key","URL atslēga"
"Meta Title","Meta virsraksts"
"Meta Keywords","Meta atslēgas vārdi"
"Meta Description","Meta apraksts"
"Products in Category","Produkti kategorijā"
"Design","Dizains"
"Theme","Tēma"
"Layout","Izkārtojums"
"Layout Update XML","Atjaunot izkārtojuma XML"
"Apply Design to Products","Pielietot dizainu produktiem"
"Schedule Design Update","Iekļaut dizaina atjaunošanu grafikā"
"AttributeSetText","AttributeSetText"
"StatusText","StatusText"
"Product Image Watermarks","Produkta attēlu ūdenszīmes"
"Base","Bāze"
"Allowed file types: jpeg, gif, png.","Atļautie faila veidi: jpeg, gif, png."
"Image Opacity","Attēla caurspīdīgums"
"Example format: 200x300.","Formāta piemērs: 200x300."
"Image Position","Attēla novietojums"
"Attribute Properties","Atribūta Īpašības"
"Attribute Label","Atribūta nosaukums"
"Catalog Input Type for Store Owner","Kataloga ievades veids priekš Veikala īpašnieka"
"Values","Vērtības"
"Add this attribute to the list of column options in the product grid.","Pievienot šo atribūtu kolonnas opcijas sarakstā produktu režģī."
"Add this attribute to the list of filter options in the product grid.","Pievienot šo atribūtu filtra opcijām produktu režģī."
"System","Sistēma"
"All Store Views","Visi veikala skati"
"Delete selected items?","Izdzēst atlasītos produktus?"
"Delete items","Dzēst produktus"
"Change status","Mainīt statusu"
"Enable","Ieslēgt"
"Disable","Izslēgt"
"Update attributes","Atjaunot atribūtus"
"Overview","Pārskats"
"Skip to the end of the images gallery","Iet uz galerijas beigām"
"Skip to the beginning of the images gallery","Iet uz galerijas sākumu"
"Details","Papildus informācija"
"Recently Compared","Nesen salīdzinātie"
"Add To Cart","Pievienot grozam"
"Add To Compare","Pievienot salīdzināšanai"
"Learn more","Uzziniet vairāk"
"Recently Viewed","Nesen apskatītie"
"Save Category","Save Category"
"Delete Category","Delete Category"
"New Subcategory","New Subcategory"
"New Root Category","New Root Category"
"Set Root Category for Store","Set Root Category for Store"
"Custom Design","Custom Design"
"Category Data","Category Data"
"Not shared with other products","Not shared with other products"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Depends on design theme","Depends on design theme"
"We saved the price alert subscription.","We saved the price alert subscription."
"We saved the stock notification.","We saved the stock notification."
"Images and Videos","Images and Videos"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"There was a category move error. %1","There was a category move error. %1"
"You moved the category","You moved the category"
"This product no longer exists.","This product no longer exists."
"We can't find the image file.","We can't find the image file."
"productFactory is already set","productFactory is already set"
"Could not save product option","Could not save product option"
"Product option with id %1 does not exist","Product option with id %1 does not exist"
"Are you sure you want to delete this category?","Vai esat parliecināts/-a, ka vēlaties dzēst šo kategoriju?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Set root category for this store in the <a href=""%1"">configuration</a>."
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"An attribute group named ""/name/"" already exists"".","An attribute group named ""/name/"" already exists""."
"Close panel","Close panel"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
"Ok","Ok"
"Watermark Default Size","Watermark Default Size"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark","Watermark"
"Watermark Position","Watermark Position"
"none","none"
"File validation failed.","File validation failed."
"text","text"
"Tier Price","Tier Price"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"Sort Products By","Sort Products By"
"Default Product Sorting","Default Product Sorting"
"Use Parent Category Settings","Use Parent Category Settings"
"Page not found","Page not found"
"Full file path is expected.","Full file path is expected."
"from","no"
"to","līdz"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","Jūs pievienojāt produktu %1 <a href=""%2"">salīdzināšanai</a>."
"Maximum %1 characters","Maksimums %1 simboli"
"remaining","atlicis"
"too many","par daudz"
"Sending attribute values as package.","Sending attribute values as package."
"This value does not follow the specified format (for example, 200X300).","Vērtība neatbilst norādītajam formātam (piemēram, 200x300)."
"Applies to category pages","Applies to category pages"
"Remember Category Pagination","Remember Category Pagination"
"Changing may affect SEO and cache storage consumption.","Changing may affect SEO and cache storage consumption."
"Images Upload Configuration","Images Upload Configuration"
"Quality","Quality"
"Jpeg quality for resized images 1-100%.","Jpeg quality for resized images 1-100%."
"Cost","Cost"
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Attributes were missing and must be specified.","Attributes were missing and must be specified."
"The value of Admin must be unique. (%1)","Admin vērtībai jābūt unikālai. (%1)"
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The category doesn't contain the specified product.","The category doesn't contain the specified product."
"The %1 value wasn't found in the algorithms.","The %1 value wasn't found in the algorithms."
"The filters are invalid. Set them in an array and try again.","The filters are invalid. Set them in an array and try again."
"The product wasn't registered.","The product wasn't registered."
"The store wasn't registered. Verify the store and try again.","The store wasn't registered. Verify the store and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
"The image content is invalid. Verify the content and try again.","The image content is invalid. Verify the content and try again."
"The product can't be saved.","The product can't be saved."
"The new media gallery entry failed to save.","The new media gallery entry failed to save."
"No image with the provided ID was found. Verify the ID and try again.","No image with the provided ID was found. Verify the ID and try again."
"The product doesn't exist. Verify and try again.","The product doesn't exist. Verify and try again."
"The image doesn't exist. Verify and try again.","The image doesn't exist. Verify and try again."
"The image doesn't exist.","The image doesn't exist."
"The image type for the file is invalid. Enter the correct image type and try again.","The image type for the file is invalid. Enter the correct image type and try again."
"The ""%1"" file couldn't be moved.","The ""%1"" file couldn't be moved."
"The ProductSku is empty. Set the ProductSku and try again.","The ProductSku is empty. Set the ProductSku and try again."
"The custom option couldn't be removed.","The custom option couldn't be removed."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The file options format is invalid. Use a correct format and try again.","The file options format is invalid. Use a correct format and try again."
"The file ""%1"" is empty. Select another file and try again.","The file ""%1"" is empty. Select another file and try again."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again."
"The required option wasn't entered. Enter the option and try again.","The required option wasn't entered. Enter the option and try again."
"The file is empty. Select another file and try again.","The file is empty. Select another file and try again."
"The text is too long. Shorten the text and try again.","The text is too long. Shorten the text and try again."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Tier price is unavailable for this product.","Tier price is unavailable for this product."
"The tier_price data is invalid. Verify the data and try again.","The tier_price data is invalid. Verify the data and try again."
"The group price couldn't be saved.","The group price couldn't be saved."
"The data was invalid. Verify the data and try again.","The data was invalid. Verify the data and try again."
"Values in the %1 attributes are invalid. Verify the values and try again.","Values in the %1 attributes are invalid. Verify the values and try again."
"We can't create the ""%1"" writeable directory.","We can't create the ""%1"" writeable directory."
"The file upload failed. Try to upload again.","The file upload failed. Try to upload again."
"The product has required options. Enter the options and try again.","The product has required options. Enter the options and try again."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group can't be deleted because it contains system attributes.","The attribute group can't be deleted because it contains system attributes."
"The collection provider isn't registered.","The collection provider isn't registered."
"The ""%1"" link type is unknown. Verify the type and try again.","The ""%1"" link type is unknown. Verify the type and try again."
"The ""%1"" link type wasn't found. Verify the type and try again.","The ""%1"" link type wasn't found. Verify the type and try again."
"The linked products data is invalid. Verify the data and try again.","The linked products data is invalid. Verify the data and try again."
"The product that was requested doesn't exist. Verify the product and try again.","The product that was requested doesn't exist. Verify the product and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The ""%1"" product couldn't be removed.","The ""%1"" product couldn't be removed."
"Category with ID: %s doesn't exist","Category with ID: %s doesn't exist"
"Product Name or SKU","Produkta nosaukums vai Artikuls"
"Start typing to find products","Sāciet rakstīt, lai meklētu produktus"
"Product with ID: %s doesn't exist","Product with ID: %s doesn't exist"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"Use Static URLs for Media Content in WYSIWYG","Lietot statiskas saites mēdiju saturam WYSIWYG redaktorā"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Mēdiju saturs tiks ievietots editorā kā statiska saite. Mēdiju saturs netiks atjaunots, ja sistēmas konfigurācijā mainās pamata URL."
"Default Layouts","Default Layouts"
"Default Product Layout","Default Product Layout"
"Default Category Layout","Default Category Layout"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
