"Root","Rot"
"Up-Sell Products","Merförsäljningsprodukter"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Dessa ""impuls-köp"" produkter visas bredvid kundvagnen som korsförsäljer till artiklarna redan i kundvagnen."
"Add Cross-Sell Products","Lägg till korsförsäljningsprodukter"
"Cross-Sell Products","Korsförsäljnings-produkter"
"Add Selected Products","Lägg till valda produkter"
"Remove","Ta bort"
"Thumbnail","Tumnagel"
"Actions","Åtgärder"
"Schedule Update From","Schemalägg uppdatering från"
"Product in Websites","Produkt i webbplatser"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Om din Magento-installation har flera webbplatser, kan du redigera tillämpningsområdet till att använda produkten på specifika platser."
"name","namn"
"Copy Data from","Kopiera data från"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Om det inte finns några anpassade föräldrakategorier, använd standard förälder-katalogen. Du kan redigera kategorins tillhörighet närsomhelst i <a href=""%1"" target=""_blank"">Produkter &gt; Kategorier</a>."
"This operation can take a long time","Denna åtgärd kan ta lång tid"
"Collapse All","Fäll ihop alla"
"Expand All","Expandera alla"
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
"Use Default Value","Använd standardvärde"
"Manage Titles (Size, Color, etc.)","Hantera titlar (storlek, färg, etc.)"
"Manage Options (Values of Your Attribute)","Hantera alternativ (värden på ditt attribut)"
"Is Default","Standard"
"Sort Option","Sorteringsalternativ"
"Groups","Grupper"
"Double click on a group to rename it.","Dubbelklicka på en grupp för att byta namn."
"Unassigned Attributes","Otilldelade attribut"
"A name is required.","Ett namn krävs."
"This group contains system attributes. Please move system attributes to another group and try again.","Denna grupp innehåller systemattribut. Vänligen flytta systemattribut till en annan grupp och försök igen."
"Please select a node.","Välj en nod."
"Please enter a new group name.","Ange ett nytt gruppnamn."
"An attribute group named ""/name/"" already exists.","En attributgrupp som heter ""/ namn /"" redan finns."
"Sorry, we're unable to complete this request.","Sorry, we're unable to complete this request."
"You can't remove attributes from this attribute set.","You can't remove attributes from this attribute set."
"Custom Options","Anpassade alternativ"
"This is a required option.","Detta är ett obligatoriskt alternativ."
"The field isn't complete.","The field isn't complete."
"Compatible file extensions to upload","Kompatibla filändelser för uppladdning"
"Maximum image width","Maximal bildbredd"
"Maximum image height","Maximal bildhöjd"
"Maximum number of characters:","Maximalt antal tecken:"
"start typing to search template","börja skriva för att söka mall"
"Product online","Produkt online"
"Product offline","Produkt offline"
"Product online status","Produkt online-status"
"Manage Stock","Hantera lager"
"Qty","Antal"
"Out-of-Stock Threshold","""Slut i lager""-gräns"
"Minimum Qty Allowed in Shopping Cart","Minsta antal tillåtna i kundvagn"
"Maximum Qty Allowed in Shopping Cart","Högsta antal tillåtna i kundvagn"
"Qty Uses Decimals","Antal använder decimaler"
"Backorders","Restorder"
"Notify for Quantity Below","Notifiera för antal under"
"Enable Qty Increments","Aktivera antal steg"
"Qty Increments","Antal steg"
"Stock Availability","Tillgänglighet"
"In Stock","I lager"
"Out of Stock","Ej i lager"
"Add Product To Websites","Lägga till produkt till webbplatser"
"Remove Product From Websites","Ta bort produkten från webbplatser"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Om du vill dölja ett objekt i katalogen eller i sökresultat, ange status ""Inaktiverad""."
"We can't save custom-defined options for bundles with dynamic pricing.","Vi kan inte spara anpassningsbara val för paket med dynamisk prissättning."
"Delete Custom Option","Ta bort anpassade alternativ"
"Sort Custom Options","Anpassade sorteringsalternativ"
"Input Type","Indatatyp"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","Anpassade sorteringsalternativet"
"Item Price","Artikelpris"
"Action","Åtgärd"
"and above","och över"
"Delete Tier","Ta bort grupp"
"Product In Websites","Produkt i webbplatser"
"(Copy data from: %1)","(Kopiera data från: %1)"
"Browse to find or drag image here","Bläddra för att hitta eller dra bilden hit"
"Delete image","Ta bort Bild"
"Hidden","Dold"
"Alt Text","Alt Text"
"Role","Roll"
"Image Size","Bildstorlek"
"{size}","{size}"
"Image Resolution","Bildupplösning"
"{width}^{height} px","{width} ^{height} px"
"Hide from Product Page","Dölj från produktsidan"
"Allow Multiple Boxes for Shipping","Tillåt flera försändelser för frakt"
"start typing to search attribute","börja skriva för att söka attributet"
"Basic Settings","Grundläggande inställningar"
"Advanced Settings","Advancerade inställningar"
"Changes have been made to this section that have not been saved.","Ändringar som har gjorts till detta avsnitt som inte har sparats."
"This tab contains invalid data. Please resolve this before saving.","Denna flik innehåller ogiltiga data. Vänligen åtgärda detta innan du sparar."
"Mass Actions","Massåtgärd"
"Select All","Markera alla"
"Unselect All","Avmarkera alla"
"Select Visible","Markera synliga"
"Unselect Visible","Avmarkera synliga"
"Special Price","Specialpris"
"Regular Price","Ordinarie pris"
"Buy %1 for: ","Köpa %1 för: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Köp %1 för %2 varje och <strong class=""benefit""> Spara <span class=""percent tier-%3"">%4%</span></strong>"
"Buy %1 for %2 each","Köp %1 för %2 varje"
"Shop By","Handla enligt"
"Shopping Options","Shoppingalternativ"
"Compare Products","Jämför produkter"
"Print This Page","Skriv ut denna sida"
"Remove Product","Ta bort produkt"
"Add to Cart","Lägg till i kundvagn"
"In stock","I lager"
"Out of stock","Ej i lager"
"Add to Wish List","Lägg till i önskelista"
"You have no items to compare.","Du har inga artiklar att jämföra."
"Remove This Item","Ta bort Denna Artikel"
"Compare","Jämför"
"Clear All","Rensa alla"
"Prev","Föregående"
"Next","Nästa"
"We can't find products matching the selection.","Vi kan inte hitta produkter som matchade urvalet."
"Learn More","Läs Mer"
"Add to Compare","Lägg till i jämför"
"We found other products you might like!","Vi hittade andra produkter du kanske gillar!"
"More Choices:","Fler val:"
"Check items to add to the cart or","Välj artiklar att lägga i varukorgen eller"
"select all","välj alla"
"Items %1-%2 of %3","Artiklar %1-%2 av %3"
"%1 Item","%1 Artikel"
"%1 Items","%1 artiklar"
"Show","Visa"
"per page","per sida"
"Sort By","Sortera på"
"Set Ascending Direction","Sätt stigande sortering"
"Set Descending Direction","Sätt fallande sortering"
"View as","Visa som"
"More Information","Mer information"
"Loading...","Loading..."
"* Required Fields","* Obligatoriska fält"
"Availability","Tillgänglighet"
"Warning message","Varningsmeddelande"
"Submit","Submit"
"We don't recognize or support this file extension type.","We don't recognize or support this file extension type."
"Configure Product","Konfigurera produkt"
"OK","Ok"
"This value does not follow the specified format (for example, 200x300).","This value does not follow the specified format (for example, 200x300)."
"Select type of option.","Välj typ av val."
"Please add rows to option.","Lägg till rader till valet."
"Please select items.","Please select items."
"Choose existing category.","Välj befintlig kategori."
"Image Detail","Bildkvalitet"
"Adding...","Lägger till..."
"Added","Tillagd"
"does not implement Storage Interface","implementerar inte lagringsgränssnitt"
"unselect all","avmarkera alla"
"Inventory","Lagerstatus"
"Catalog Section","Katalogdel"
"Small","Liten"
"Main","Main"
"Custom image","Custom image"
"Product Fields Auto-Generation","Produktfält automatgenerering"
"Mask for SKU","Mall för artikelnummer"
"Use {{name}} as Product Name placeholder","Använd {{name}} som produktnamns platshållare"
"Mask for Meta Title","Mall för Meta titel"
"Mask for Meta Keywords","Mall för Meta nyckelord"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Använd {{name}} som produktnamn eller {{sku}} som artikelnummer platshållare"
"Mask for Meta Description","Mall för Meta beskrivning"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Använd {{name}} och {{description}} som platshållare för produktnamn och produktbeskrivning"
"Recently Viewed/Compared Products","Nyligen visade/jämförda produkter"
"Lifetime of products in Recently Viewed Widget","Livstid av produkter i nyligen tittat på Widget"
"Lifetime of products in Recently Compared Widget","Livstid av produkter i nyligen jämfört Widget"
"Synchronize widget products with backend storage","Synkronisera widget produkter med backend-lagring"
"Storefront","Butiksvy"
"List Mode","Listläge"
"Products per Page on Grid Allowed Values","Produkter per sida i tabellen av tillåtna värden"
"Comma-separated.","Kommaseparerad."
"Products per Page on Grid Default Value","Produkter per sida på produktkategorisidan"
"Must be in the allowed values list","Must be in the allowed values list"
"Products per Page on List Allowed Values","Produkter per sida på listan av tillåtna värden"
"Products per Page on List Default Value","Produkter per sida på listan för standardvärde"
"Use Flat Catalog Category","Använd ""Flat Catalog Category"""
"Use Flat Catalog Product","Använd ""Flat Catalog Product"""
"Product Listing Sort by","Produktnotering sortera efter"
"Allow All Products per Page","Tillåt alla produkter per sida"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Whether to show ""All"" option in the ""Show X Per Page"" dropdown"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Product Image Placeholders","Produkt bildplaceholders"
"Search Engine Optimization","Sökmotoroptimering"
"Page Title Separator","Avgränsare för sidrubrik"
"Use Canonical Link Meta Tag For Categories","Använda kanonisk länk Meta-taggen för kategorier"
"Use Canonical Link Meta Tag For Products","Använda kanonisk länk Meta-taggen för produkter"
"Catalog Price Scope","Katalogprisets omfattning"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Detta definierar basvaluta (""Valuta Setup"" > ""Valuta alternativ"" > ""Basvaluta"")."
"Category Top Navigation","Kategori övre navigeringsfältet"
"Maximal Depth","Maxdjup"
"Date & Time Custom Options","Datum & tid anpassade alternativ"
"Use JavaScript Calendar","Använd JavaScript kalender"
"Date Fields Order","Datumfält ordning"
"Time Format","Tidsformat"
"Year Range","Årsintervall"
"Please use a four-digit year format.","Använd ett fyrsiffrigt årtalsformat."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Top Level Category","Överkategori"
"Product Info Column","Produktinformationskolumn"
"Block after Info Column","Block efter informationskolumn"
"Product Flat Data","Flat produktdata"
"Reorganize EAV product structure to flat structure","Omorganisera EAV produktstrukturen till ""flat"" struktur"
"Category Flat Data","Kategori ""flat"" data"
"Reorganize EAV category structure to flat structure","Omorganisera EAV kategoristruktur till ""flat"" struktur"
"Category Products","Produkter i kategori"
"Indexed category/products association","Indexerade kategori/produkter association"
"Product Categories","Produktkategorier"
"Indexed product/categories association","Indexerade produktkategorier/föreningen"
"Product Price","Produktens pris"
"Index product prices","Index för produktpriser"
"Product EAV","Produkt EAV"
"Index product EAV","Index produkt EAV"
"Catalog New Products List","Katalog för nya produkter"
"List of Products that are set as New","Lista över produkter som är inställda som ny"
"Display Type","Visningstyp"
"All products - recently added products, New products - products marked as new","Alla produkter - senast tillagda produkter, nya produkter - produkter märkta som ny"
"All products","Alla produkter"
"New products","Nya produkter"
"Display Page Control","Visa sidkontroll"
"Number of Products per Page","Produkter per sida"
"Number of Products to Display","Produkter att visa"
"Template","Mall"
"New Products Grid Template","Nya produkter tabell-mall"
"New Products List Template","Nya produkter list-mall"
"New Products Images and Names Template","Nya produkter bilder och namn mallar"
"New Products Names Only Template","Nya produkter enbart namn-mall"
"New Products Images Only Template","Nya produkter enbart bild-mall"
"Cache Lifetime (Seconds)","Cache-livstid (sekunder)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","Katalog produktlänk"
"Link to a Specified Product","Länk till en angiven produkt"
"Select Product...","Välj produkt..."
"Anchor Custom Text","Anpassad ankartext"
"If empty, we'll use the product name here.","Om tom, kommer vi använda produktens namn här."
"Anchor Custom Title","Ankarets anpassade titel"
"Product Link Block Template","Produktlänk blockmall"
"Product Link Inline Template","Produktlänk inline-mall"
"Catalog Category Link","Katalog kategorilänk"
"Link to a Specified Category","Länk till en angiven kategori"
"Select Category...","Välj kategori..."
"If empty, we'll use the category name here.","Om tom, används kategorinamn här."
"Category Link Block Template","Kategorilänk blockmall"
"Category Link Inline Template","Kategorilänk inline-mall"
"Recently Viewed Products","Nyligen visade produkter"
"List of Products Recently Viewed by Visitor","Lista över produkter som nyligen tittats på av besökare"
"UI Component","UI Komponent"
"Number of Products to display","Antal produkter att visa"
"Product attributes to show","Produktattribut att visa"
"Image","Bild"
"Learn More Link","Lär dig mer-länk"
"Buttons to show","Knappar att visa"
"Add to Wishlist","Lägg till i önskelista"
"Viewed Products Grid Template","Visade produkter rutnäts-mall"
"Viewed Products List Template","Visade produkter list-mall"
"Viewed Products Sidebar Template","Visade produkter sidofälts-mall"
"Recently Compared Products","Nyligen jämförda produkter"
"List of Products Recently Compared by Visitor","Lista över produkter nyligen jämförda av besökare"
"Compared Products Grid Template","Jämförda produkter rutnäts-mall"
"Compared Products List Template","Jämförda produkter listmall"
"Set","Ange"
"Category Information","Kategoriinformation"
"Enable Category","Aktivera kategori"
"Include in Menu","Inkludera i menyn"
"Content","Innehåll"
"Category Image","Kategoribild"
"Description","Beskrivning"
"Add CMS Block","Lägg till CMS block"
"Display Settings","Visningsalternativ"
"Display Mode","Display Mode"
"Anchor","Ankare"
"Available Product Listing Sort By","Available Product Listing Sort By"
"Use All","Använda alla"
"Default Product Listing Sort By","Default Product Listing Sort By"
"Layered Navigation Price Step","Lager-baserad navigation"
"URL Key","URL"
"Meta Title","Metatitel"
"Meta Keywords","Metanyckelord"
"Meta Description","Metabeskrivning"
"Products in Category","Produkter i kategori"
"Design","Design"
"Theme","Tema"
"Layout","Layout"
"Layout Update XML","Layout xmluppdatering"
"Apply Design to Products","Applicera design för produkter"
"Schedule Design Update","Schemalägg designuppdatering"
"AttributeSetText","AttributUppsättningText"
"StatusText","StatusText"
"Product Image Watermarks","Produktbild vattenstämplar"
"Base","Bas"
"Allowed file types: jpeg, gif, png.","Tillåtna filtyper: jpeg, gif, png."
"Image Opacity","Bild opacitet"
"Example format: 200x300.","Exempelformat: 200 x 300."
"Image Position","Bildposition"
"Attribute Properties","Egenskaper för attribut"
"Attribute Label","Attributetikett"
"Catalog Input Type for Store Owner","Inmatningstyp för butiksägare"
"Values","Värden"
"Add this attribute to the list of column options in the product grid.","Lägg till attributet i listan av kolumnalternativ i produkttabellen."
"Add this attribute to the list of filter options in the product grid.","Lägg till attributet i listan av filter-alternativ i produkttabellen."
"System","System"
"All Store Views","Alla butiksvyer"
"Delete selected items?","Vill du radera valda objekt?"
"Delete items","Ta bort objekt"
"Change status","Ändra status"
"Enable","Aktivera"
"Disable","Inaktivera"
"Update attributes","Uppdatera attribut"
"Overview","Översikt"
"Skip to the end of the images gallery","Hoppa till slutet av bildgalleriet"
"Skip to the beginning of the images gallery","Hoppa till början av bildgalleriet"
"Details","Detaljer"
"Recently Compared","Senast jämförda"
"Add To Cart","Lägg till i kundvagn"
"Add To Compare","Lägg till i jämförelse"
"Learn more","Lär dig mer"
"Recently Viewed","Senast visade"
"Save Category","Save Category"
"Delete Category","Delete Category"
"New Subcategory","New Subcategory"
"New Root Category","New Root Category"
"Set Root Category for Store","Set Root Category for Store"
"Custom Design","Custom Design"
"Category Data","Category Data"
"Not shared with other products","Not shared with other products"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Depends on design theme","Depends on design theme"
"We saved the price alert subscription.","We saved the price alert subscription."
"We saved the stock notification.","We saved the stock notification."
"Images and Videos","Images and Videos"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"There was a category move error. %1","There was a category move error. %1"
"You moved the category","You moved the category"
"This product no longer exists.","This product no longer exists."
"We can't find the image file.","We can't find the image file."
"productFactory is already set","productFactory is already set"
"Could not save product option","Could not save product option"
"Product option with id %1 does not exist","Product option with id %1 does not exist"
"Are you sure you want to delete this category?","Are you sure you want to delete this category?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Set root category for this store in the <a href=""%1"">configuration</a>."
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"An attribute group named ""/name/"" already exists"".","An attribute group named ""/name/"" already exists""."
"Close panel","Close panel"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
"Ok","Ok"
"Watermark Default Size","Watermark Default Size"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark","Watermark"
"Watermark Position","Watermark Position"
"none","none"
"File validation failed.","File validation failed."
"text","text"
"Tier Price","Tier Price"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"Sort Products By","Sort Products By"
"Default Product Sorting","Default Product Sorting"
"Use Parent Category Settings","Use Parent Category Settings"
"Page not found","Page not found"
"Full file path is expected.","Full file path is expected."
"from","från"
"to","till"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","Du har lagt till produkt %1 till <a href=""%2"">jämförelselistan</a>."
"Maximum %1 characters","Max: %1 tecken"
"remaining","återstående"
"too many","för många"
"Sending attribute values as package.","Sending attribute values as package."
"This value does not follow the specified format (for example, 200X300).","Detta värde följer inte det angivna formatet (till exempel 200 X 300)."
"Applies to category pages","Applies to category pages"
"Remember Category Pagination","Remember Category Pagination"
"Changing may affect SEO and cache storage consumption.","Changing may affect SEO and cache storage consumption."
"Images Upload Configuration","Images Upload Configuration"
"Quality","Quality"
"Jpeg quality for resized images 1-100%.","Jpeg quality for resized images 1-100%."
"Cost","Cost"
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Attributes were missing and must be specified.","Attributes were missing and must be specified."
"The value of Admin must be unique. (%1)","The value of Admin must be unique. (%1)"
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The category doesn't contain the specified product.","The category doesn't contain the specified product."
"The %1 value wasn't found in the algorithms.","The %1 value wasn't found in the algorithms."
"The filters are invalid. Set them in an array and try again.","The filters are invalid. Set them in an array and try again."
"The product wasn't registered.","The product wasn't registered."
"The store wasn't registered. Verify the store and try again.","The store wasn't registered. Verify the store and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
"The image content is invalid. Verify the content and try again.","The image content is invalid. Verify the content and try again."
"The product can't be saved.","The product can't be saved."
"The new media gallery entry failed to save.","The new media gallery entry failed to save."
"No image with the provided ID was found. Verify the ID and try again.","No image with the provided ID was found. Verify the ID and try again."
"The product doesn't exist. Verify and try again.","The product doesn't exist. Verify and try again."
"The image doesn't exist. Verify and try again.","The image doesn't exist. Verify and try again."
"The image doesn't exist.","The image doesn't exist."
"The image type for the file is invalid. Enter the correct image type and try again.","The image type for the file is invalid. Enter the correct image type and try again."
"The ""%1"" file couldn't be moved.","The ""%1"" file couldn't be moved."
"The ProductSku is empty. Set the ProductSku and try again.","The ProductSku is empty. Set the ProductSku and try again."
"The custom option couldn't be removed.","The custom option couldn't be removed."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The file options format is invalid. Use a correct format and try again.","The file options format is invalid. Use a correct format and try again."
"The file ""%1"" is empty. Select another file and try again.","The file ""%1"" is empty. Select another file and try again."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again."
"The required option wasn't entered. Enter the option and try again.","The required option wasn't entered. Enter the option and try again."
"The file is empty. Select another file and try again.","The file is empty. Select another file and try again."
"The text is too long. Shorten the text and try again.","The text is too long. Shorten the text and try again."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Tier price is unavailable for this product.","Tier price is unavailable for this product."
"The tier_price data is invalid. Verify the data and try again.","The tier_price data is invalid. Verify the data and try again."
"The group price couldn't be saved.","The group price couldn't be saved."
"The data was invalid. Verify the data and try again.","The data was invalid. Verify the data and try again."
"Values in the %1 attributes are invalid. Verify the values and try again.","Values in the %1 attributes are invalid. Verify the values and try again."
"We can't create the ""%1"" writeable directory.","We can't create the ""%1"" writeable directory."
"The file upload failed. Try to upload again.","The file upload failed. Try to upload again."
"The product has required options. Enter the options and try again.","The product has required options. Enter the options and try again."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group can't be deleted because it contains system attributes.","The attribute group can't be deleted because it contains system attributes."
"The collection provider isn't registered.","The collection provider isn't registered."
"The ""%1"" link type is unknown. Verify the type and try again.","The ""%1"" link type is unknown. Verify the type and try again."
"The ""%1"" link type wasn't found. Verify the type and try again.","The ""%1"" link type wasn't found. Verify the type and try again."
"The linked products data is invalid. Verify the data and try again.","The linked products data is invalid. Verify the data and try again."
"The product that was requested doesn't exist. Verify the product and try again.","The product that was requested doesn't exist. Verify the product and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The ""%1"" product couldn't be removed.","The ""%1"" product couldn't be removed."
"Category with ID: %s doesn't exist","Category with ID: %s doesn't exist"
"Product Name or SKU","Produktnamn eller artikelnummer"
"Start typing to find products","Start typing to find products"
"Product with ID: %s doesn't exist","Product with ID: %s doesn't exist"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"Use Static URLs for Media Content in WYSIWYG","Use Static URLs for Media Content in WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Default Layouts","Default Layouts"
"Default Product Layout","Default Product Layout"
"Default Category Layout","Default Category Layout"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Advanced","Advanced"
