"Root","ルート"
"Thumbnail","サムネイル"
"Actions","アクション"
"Schedule Update From","アップデート対象期間"
"Product in Websites","ウェブサイトの商品"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","お使いのMagentoがマルチウェブサイトインストールの場合は、スコープを切り替えて特定のサイトの商品情報を編集できます。"
"name","名前"
"Copy Data from","データのコピー元"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","カスタム親カテゴリがない場合は、デフォルト親カテゴリを使用してください。 カテゴリはいつでも<a href=""%1"" target=""_blank"">Products &gt; Categories</a>にて再割り当てできます。"
"This operation can take a long time","このオペレーションは時間がかかります"
"Collapse All","すべて折りたたむ"
"Expand All","すべて展開する"
"Please confirm site switching. All data that hasn't been saved will be lost.","サイトの切替を確認してください。保存されていないデータは失われます。"
"Use Default Value","標準の値を使用"
"Manage Titles (Size, Color, etc.)","タイトル管理(サイズ;色, etc.)"
"Manage Options (Values of Your Attribute)","オプション管理 (属性の値)"
"Is Default","標準"
"Sort Option","並べ替えオプション"
"Groups","グループ"
"Double click on a group to rename it.","名前変更する場合はグループをダブルクリックしてください。"
"Unassigned Attributes","未割り当ての属性"
"A name is required.","名前は必須です。"
"This group contains system attributes. Please move system attributes to another group and try again.","グループはシステム属性を含んでいます。システム属性を他のグループに移した後にやり直してください。"
"Please select a node.","ノードを選択してください。"
"Please enter a new group name.","新しいグループ名を入力してください。"
"An attribute group named ""/name/"" already exists.","属性グループ名 ""/name/"" は既に存在します""。"
"Sorry, we're unable to complete this request.","申し訳ありません、このリクエストを完了できませんでした。"
"You can't remove attributes from this attribute set.","属性をこの属性セットから削除できません。"
"Custom Options","カスタムオプション"
"This is a required option.","これは必須オプションです。"
"The field isn't complete.","フィールドが全て埋まっていません。"
"Compatible file extensions to upload","アップロードする互換性のあるファイル拡張子"
"Maximum image width","画像の最大幅"
"Maximum image height","画像の最大高さ"
"Maximum number of characters:","最大文字数:"
"start typing to search template","テンプレートを検索してください"
"Product online","商品オンライン"
"Product offline","商品オフライン"
"Product online status","商品オンラインステータス"
"Manage Stock","在庫管理"
"Qty","個数"
"Out-of-Stock Threshold","在庫切れ限界値"
"Minimum Qty Allowed in Shopping Cart","カートの中で許可する最小個数"
"Maximum Qty Allowed in Shopping Cart","カートの中で許可する最大個数"
"Qty Uses Decimals","個数に小数表記を使う"
"Backorders","バックオーダー"
"Notify for Quantity Below","これ以下の数量になれば通知"
"Enable Qty Increments","個数の増分を許可する"
"Qty Increments","個数の増分"
"Stock Availability","在庫の有無"
"In Stock","在庫あり"
"Out of Stock","在庫切れ"
"Add Product To Websites","商品をウェブサイトに追加"
"Remove Product From Websites","ウェブサイトから商品を削除"
"To hide an item in catalog or search results, set the status to ""Disabled"".","カタログか検索結果から商品を隠すためにステータスは ""無効""にセットしてください。"
"We can't save custom-defined options for bundles with dynamic pricing.","変動価格のバンドルのためのカスタム定義オプションは保存できません。"
"Delete Custom Option","カスタムオプション削除"
"Sort Custom Options","カスタムオプションの並べ替え"
"Input Type","入力形式"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","並べ替えカスタムオプション"
"Item Price","アイテム価格"
"Action","アクション"
"and above","またはそれ以上"
"Delete Tier","削除"
"Product In Websites","ウェブサイト内の商品"
"(Copy data from: %1)","(データのコピー元: %1)"
"Browse to find or drag image here","ブラウズして探すか画像をここにドラッグしてください"
"Delete image","画像削除"
"Hidden","隠し"
"Alt Text","Alt テキスト"
"Role","権限"
"Image Size","画像サイズ"
"{size}","{size}"
"Image Resolution","画像解像度"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","商品ページから隠す"
"Allow Multiple Boxes for Shipping","配送に複数のボックスを許可する"
"start typing to search attribute","属性を検索してください"
"Basic Settings","基本設定"
"Advanced Settings","拡張設定"
"Changes have been made to this section that have not been saved.","保存されていないこのセクションに変更がおこなわれました。"
"This tab contains invalid data. Please resolve this before saving.","このタブは無効なデータが含まれています。保存前に解決してください。"
"Mass Actions","マスアクション"
"Select All","全て選択"
"Unselect All","全て未選択にする"
"Select Visible","表示中を選択"
"Unselect Visible","表示を解除する"
"Special Price","特別価格"
"Regular Price","通常価格"
"Buy %1 for: ","%1を購入: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","%1を%2点お買い上げいただくごとに <span class=""percent tier-%3"">&nbsp;%4</span>%<strong class=""benefit"">お値引き</strong>いたします。"
"Buy %1 for %2 each","%2の%1をそれぞれ購入する"
"Shop By","閲覧中"
"Shopping Options","絞り込み条件"
"Compare Products","商品の比較"
"Print This Page","ページを印刷する"
"Remove Product","商品削除"
"Add to Cart","カートに入れる"
"In stock","在庫あり"
"Out of stock","在庫切れ"
"Add to Wish List","欲しいものリストに追加"
"You have no items to compare.","比較する商品はありません"
"Remove This Item","この商品を削除する"
"Compare","比較する"
"Clear All","すべてクリア"
"Prev","前へ"
"Next","次"
"We can't find products matching the selection.","選択にマッチする商品が見つかりません。"
"Learn More","もっと詳しく"
"Add to Compare","比較リストに入れる"
"We found other products you might like!","こちらの商品はいかがですか？"
"More Choices:","おすすめ商品:"
"Check items to add to the cart or","チェックした商品をカートに入れるか"
"select all","全て選択"
"Items %1-%2 of %3","%3の商品%1-%2"
"%1 Item","%1 注文"
"%1 Items","%1 注文"
"Show","表示"
"per page","件"
"Sort By","並び順"
"Set Ascending Direction","昇順"
"Set Descending Direction","降順"
"View as","表示方法"
"More Information","その他の情報"
"Loading...","読み込み中"
"* Required Fields","* 必須項目"
"Availability","在庫あり"
"Warning message","警告メッセージ"
"Submit","送信"
"We don't recognize or support this file extension type.","このファイル拡張子を認識できないかサポートしていません。"
"Configure Product","商品を構成する"
"OK","OK"
"This value does not follow the specified format (for example, 200x300).","この値は所定の形式ではありません(例: 200x300)"
"Select type of option.","オプションのタイプを選択してください。"
"Please add rows to option.","オプションに行を追加してください。"
"Please select items.","商品を選択してください。"
"Choose existing category.","既存のカテゴリを選択してください。"
"Image Detail","画像詳細"
"Adding...","追加しています..."
"Added","追加済み"
"does not implement Storage Interface","ストレージインターフェースを実装していません"
"unselect all","全て未選択にする"
"Inventory","在庫"
"Catalog Section","カタログセクション"
"Small","スモール"
"Main","メイン"
"Custom image","デフォルトの背景"
"Product Fields Auto-Generation","商品フィールド自動生成"
"Mask for SKU","SKUのマスク"
"Use {{name}} as Product Name placeholder","{{name}} を商品名プレイスホルダーとして使用する"
"Mask for Meta Title","メタタイトルのためのマスク"
"Mask for Meta Keywords","メタキーワードのためのマスク"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","{{name}} を商品名として使うあるいは {{sku}}を商品SKUプレースホルダーとして使う"
"Mask for Meta Description","メタ詳細のマスク"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","{{name}}と{{description}}を商品名と商品詳細プレースホルダーとして使う"
"Recently Viewed/Compared Products","最近見られた/比較された商品"
"Lifetime of products in Recently Viewed Widget","最近見たウィジェットにある製品の有効期間"
"Lifetime of products in Recently Compared Widget","最近比較したウィジェットにある製品の有効期間"
"Synchronize widget products with backend storage","ウィジェット製品をバックエンドストレージと同期する"
"Storefront","ストア"
"List Mode","リストモード"
"Products per Page on Grid Allowed Values","商品グリッド表示で使用できる候補"
"Comma-separated.","コンマ区切り"
"Products per Page on Grid Default Value","商品グリッド表示のデフォルト値"
"Must be in the allowed values list","限界値リスト内でなければなりません"
"Products per Page on List Allowed Values","商品リスト表示の表示件数候補"
"Products per Page on List Default Value","商品リスト表示でのデフォルト値"
"Use Flat Catalog Category","フラットカタログカテゴリを使用する"
"Use Flat Catalog Product","フラットカタログ商品を使用する"
"Product Listing Sort by","商品リスト表示の表示順"
"Allow All Products per Page","全商品を1ページに表示させる"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","""Show X Per Page""ドロップダウン内にて""All""を表示するかどうか"
"Allow Dynamic Media URLs in Products and Categories","動的なメディアURLを商品とカテゴリに許可する"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","例 {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}。 ダイナミックディレクティブはカタログのパフォーマンスに影響を及ぼします。"
"Product Image Placeholders","商品画像プレースホルダ"
"Search Engine Optimization","検索エンジン最適化"
"Page Title Separator","ページタイトル区切文字"
"Use Canonical Link Meta Tag For Categories","カテゴリにCanonicalタグを使用する"
"Use Canonical Link Meta Tag For Products","商品に正確なCanonicalタグを使用する"
"Catalog Price Scope","カタログ価格スコープ"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","これが基本通貨スコープを定義します (""通貨設定"" > ""通貨オプション"" > ""基本通貨"")."
"Category Top Navigation","カテゴリTOPナビゲーション"
"Maximal Depth","最小深度"
"Date & Time Custom Options","日付と時間のオプション"
"Use JavaScript Calendar","JavaScriptカレンダーを使用する"
"Date Fields Order","日付入力欄の形式"
"Time Format","時間のフォーマット"
"Year Range","年範囲"
"Please use a four-digit year format.","4桁の年フォーマットを使用してください。"
"Use Static URLs for Media Content in WYSIWYG for Catalog","WYSIWYGエディタカタログのメディアコンテンツで静的URLを使用する"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","これはカタログ商品とカテゴリにのみ適用されます。 メディアコンテンツは静的コンテンツとしてエディタに挿入されます。 もしシステムコンフィギュレーションベースURLが変わるとメディアコンテンツはアップデートされません。"
"Top Level Category","カテゴリの最上位"
"Product Info Column","商品情報行"
"Block after Info Column","情報列の後にブロックを配置する"
"Product Flat Data","商品フラットデータ"
"Reorganize EAV product structure to flat structure","EAV商品ストラクチャをフラットストラクチャに変換したインデックス"
"Category Flat Data","カテゴリフラットデータ"
"Reorganize EAV category structure to flat structure","EAVカテゴリストラクチャをフラットストラクチャに変換したインデックス"
"Category Products","カテゴリの商品"
"Indexed category/products association","カテゴリ/商品の関連インデックス"
"Product Categories","商品カテゴリ"
"Indexed product/categories association","インデックスされた商品/カテゴリ提携"
"Product Price","商品価格"
"Index product prices","商品価格インデックス"
"Product EAV","商品 EAV"
"Index product EAV","インデックス商品 EAV"
"Catalog New Products List","新着商品リスト"
"List of Products that are set as New","新着商品リスト"
"Display Type","表示方法"
"All products - recently added products, New products - products marked as new","すべての商品 - 最近登録した商品 - 新着商品"
"All products","すべての商品"
"New products","新商品"
"Display Page Control","ページコントロールを表示"
"Number of Products per Page","1ページあたりの商品表示件数"
"Number of Products to Display","商品表示点数"
"Template","テンプレート"
"New Products Grid Template","新着商品グリッドテンプレート"
"New Products List Template","新着商品リストテンプレート"
"New Products Images and Names Template","新着商品画像と名前テンプレート"
"New Products Names Only Template","新着商品名のみテンプレート"
"New Products Images Only Template","新着商品画像のみテンプレート"
"Cache Lifetime (Seconds)","キャッシュ有効期間 (秒)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","設定されて居ない場合86400がディフォルトです。今すぐ更新するには、ブロックHTMLアウトプットキャッシュをクリアしてください。"
"Catalog Product Link","商品リンク"
"Link to a Specified Product","指定商品にリンク"
"Select Product...","商品選択..."
"Anchor Custom Text","アンカーカスタムテキスト"
"If empty, we'll use the product name here.","空であれば、ここで商品名を使います。"
"Anchor Custom Title","アンカーカスタムタイトル"
"Product Link Block Template","商品リンクブロックテンプレート"
"Product Link Inline Template","商品インラインリンクテンプレート"
"Catalog Category Link","カテゴリリンク"
"Link to a Specified Category","特定のカテゴリにひもづける"
"Select Category...","カテゴリ選択..."
"If empty, we'll use the category name here.","空であれば、ここでカテゴリ名を使います。"
"Category Link Block Template","カテゴリリンクブロックテンプレート"
"Category Link Inline Template","カテゴリリンクインラインテンプレート"
"Recently Viewed Products","最近見た製品"
"List of Products Recently Viewed by Visitor","訪問者に最近閲覧された商品のリスト"
"UI Component","UI コンポーネント"
"Number of Products to display","商品表示件数"
"Product attributes to show","表示する商品属性"
"Image","画像"
"Learn More Link","詳細情報のリンク"
"Buttons to show","表示するボタン"
"Add to Wishlist","欲しい物リストに追加"
"Viewed Products Grid Template","閲覧された商品グリッドテンプレート"
"Viewed Products List Template","閲覧の多い商品リストテンプレート"
"Viewed Products Sidebar Template","閲覧された商品サイドバーテンプレート"
"Recently Compared Products","最近比較した商品"
"List of Products Recently Compared by Visitor","訪問者に最近比較された商品のリスト"
"Compared Products Grid Template","商品比較グリッドテンプレート"
"Compared Products List Template","商品比較リストテンプレート"
"Set","セット"
"Category Information","カテゴリ情報"
"Enable Category","有効"
"Include in Menu","メニューに表示"
"Content","コンテンツ"
"Category Image","見出し画像"
"Description","概要"
"Add CMS Block","CMSブロックを追加"
"Display Settings","表示設定"
"Display Mode","表示モード"
"Anchor","アンカーカテゴリ"
"Available Product Listing Sort By","商品ソート順に使用できる属性"
"Use All","すべてを使用"
"Default Product Listing Sort By","標準の商品ソート順属性"
"Layered Navigation Price Step","絞込検索での価格区切り"
"URL Key","URLキー"
"Meta Title","メタタイトル"
"Meta Keywords","メタキーワード"
"Meta Description","メタ概要"
"Products in Category","カテゴリの商品"
"Design","デザイン"
"Theme","テーマ"
"Layout","レイアウト"
"Layout Update XML","レイアウトXMLを更新する"
"Apply Design to Products","商品ページにも適用する"
"Schedule Design Update","デザインアップデートスケジュール"
"AttributeSetText","属性セットテキスト"
"StatusText","ステータステキスト"
"Product Image Watermarks","商品画像ウォーターマーク"
"Base","ベース"
"Allowed file types: jpeg, gif, png.","許可されるファイル形式:PNG, GIF, JPG"
"Image Opacity","画像の不透明度"
"Example format: 200x300.","形式例: 200x300"
"Image Position","画像の位置"
"Attribute Properties","属性のプロパティ"
"Attribute Label","属性ラベル"
"Catalog Input Type for Store Owner","店舗管理者のカタログ入力形式"
"Values","値"
"Add this attribute to the list of column options in the product grid.","この属性を製品グリッドの列オプションのリストに追加します。"
"Add this attribute to the list of filter options in the product grid.","この属性を製品グリッドのフィルターオプションのリストに追加します。"
"System","システム"
"All Store Views","全てのストアビュー"
"Delete selected items?","選択したアイテムを削除しますか?"
"Delete items","商品削除"
"Change status","ステータス変更"
"Enable","有効"
"Disable","無効"
"Update attributes","属性アップデート"
"Overview","オーバービュー"
"Skip to the end of the images gallery","イメージギャラリーの最後に移動する"
"Skip to the beginning of the images gallery","イメージギャラリーの最初に移動する"
"Details","詳細"
"Recently Compared","最近比較した商品"
"Add To Cart","カートに追加"
"Add To Compare","比較リストに入れる"
"Learn more","もっと詳しく知る"
"Recently Viewed","最近閲覧した商品"
"Save Category","保存"
"Delete Category","カテゴリの削除"
"New Subcategory","新しいサブカテゴリ"
"New Root Category","新しいルートカテゴリ"
"Set Root Category for Store","店舗のルートカテゴリをセットしてください。"
"Custom Design","カスタムデザイン"
"Category Data","カテゴリデータ"
"Not shared with other products","他の商品と共有しない"
"Declare attribute value saving scope","属性値の保存スコープを定義"
"Depends on design theme","デザインテーマ依存"
"We saved the price alert subscription.","価格アラート 記述を保存しました。"
"We saved the stock notification.","在庫の通知を保存しました。"
"Images and Videos","画像と動画"
"Click here or drag and drop to add images.","ベース作成"
"Make Base","ベース作成"
"There was a category move error. %1","カテゴリ移動エラーが発生しました。 %1"
"You moved the category","カテゴリを移動しました。"
"This product no longer exists.","この商品は存在していません。"
"We can't find the image file.","画像ファイルがみつかりません。"
"productFactory is already set","productFactoryが既にセットされています"
"Could not save product option","製品のオプションを保存できませんでした"
"Product option with id %1 does not exist","Id %1 を持つ製品オプションは存在しません"
"Are you sure you want to delete this category?","このカテゴリを削除してもよろしいですか？"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","このストアのルートカテゴリを<a href=""%1"">設定</a>　で設定します。"
"Manage Options (values of your attribute)","オプション管理 (属性の値)"
"An attribute group named ""/name/"" already exists"".","属性グループ名 ""/name/"" は既に存在します""。"
"Close panel","閉じるパネル"
"Allow Multiple Boxes for Shipping.","複数のボックスは、出荷許可にします。"
"Ok","OK"
"Watermark Default Size","透かしディフォルトサイズ"
"Watermark Opacity, Percent","ウオーターマーク不透明度"
"Watermark","透かし"
"Watermark Position","透かし位置"
"none","なし"
"File validation failed.","ファイルの認証に失敗しました。"
"text","テキスト"
"Tier Price","段階的価格"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","あなたのMagentoに複数のビューがある場合は、適用対象のビューを指定できます。"
"Sort Products By","製品を並べ替える"
"Default Product Sorting","デフォルトの製品分類"
"Use Parent Category Settings","親カテゴリの設定を利用"
"Page not found","ページが見つかりません"
"Full file path is expected.","ルートディレクトリからのフルパスをご指定ください。"
"from","より"
"to","終了"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","エラーのため属性を保存できませんでした。 情報を確認して、再度お試し下さい。 エラーが解決しない場合は、後で再度お試しください。"
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","エラーのため属性を検証できませんでした。 情報を確認して、再度お試し下さい。 エラーが解決しない場合は、後でもう一度お試しください。"
"Tier prices data should be array, but actually other type is received","段階的価格データは配列でなければなりませんが、他のデータ型が与えられました。"
"Price indexer ""%1"" must implement %2 or %3","価格インデクサー""%1""は、 %2 または %3 を実装する必要があります。"
"You added product %1 to the <a href=""%2"">comparison list</a>.","<a href=""%2"">比較リスト</a> %1 を追加しました。"
"Maximum %1 characters","最大: %1 文字"
"remaining","残存数"
"too many","多すぎる"
"Sending attribute values as package.","パッケージとして属性値を送信。"
"This value does not follow the specified format (for example, 200X300).","この値は指定された形式ではありません(例: 200x300)。"
"Applies to category pages","カテゴリページに適用する"
"Remember Category Pagination","カテゴリのページング設定を維持する"
"Changing may affect SEO and cache storage consumption.","変更はSEO とキャッシュストレージ消費量に影響する可能性があります。"
"Images Upload Configuration","画像アップロード設定"
"Quality","品質"
"Jpeg quality for resized images 1-100%.","リサイズ後のJpeg画像品質 1-100%"
"Cost","原価"
"The ""%1"" attribute is required. Enter and try again.","""%1"" 属性は必須です。入力して再度お試し下さい。"
"Attributes were missing and must be specified.","属性がありません。指定する必要があります。"
"The value of Admin must be unique. (%1)","Adminの値は一意でなければなりません。(%1)"
"The product was unable to be saved. Please try again.","商品を保存できませんでした。再度お試し下さい。"
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","""%1""の属性値は一意ではありません。一意の値を設定して再度お試し下さい。"
"The category doesn't contain the specified product.","そのカテゴリは指定された商品を含みません。"
"The %1 value wasn't found in the algorithms.","%1 の値はそのアルゴリズムで見つかりませんでした。"
"The filters are invalid. Set them in an array and try again.","フィルターは無効です。フィルターを配列で設定して再度お試し下さい。"
"The product wasn't registered.","商品が登録されていません。"
"The store wasn't registered. Verify the store and try again.","ストアが登録されていません。ストアを確認して再度お試し下さい。"
"The ""%1"" attribute value is empty. Set the attribute and try again.","""%1""の属性の値が空です。属性を設定して再度お試し下さい。"
"The attribute set couldn't be created because it's based on a non-product attribute set.","商品でない属性セットに基づいているため、属性セットを作成できませんでした。"
"The attribute set couldn't be created because it's based on a non-existing attribute set.","存在しない属性セットに基づいているため、属性セットを作成できませんでした。"
"The image content is invalid. Verify the content and try again.","画像の内容は無効です。内容を確認して再度お試し下さい。"
"The product can't be saved.","商品を保存できません。"
"The new media gallery entry failed to save.","新しいメディアギャラリーエントリーの保存に失敗しました。"
"No image with the provided ID was found. Verify the ID and try again.","提供されたIDの画像が見つかりません。IDを確認して再度お試し下さい。"
"The product doesn't exist. Verify and try again.","商品は存在しません。確認してから再度お試し下さい。"
"The image doesn't exist. Verify and try again.","画像が存在しません。確認してから再度お試し下さい。"
"The image doesn't exist.","画像が存在しません。"
"The image type for the file is invalid. Enter the correct image type and try again.","ファイルの画像タイプが無効です。正しい画像タイプを入力して、再度お試し下さい。"
"The ""%1"" file couldn't be moved.","""%1""ファイルを移動できませんでした。"
"The ProductSku is empty. Set the ProductSku and try again.","製品SKUが空です。製品SKUを設定して再度お試し下さい。"
"The custom option couldn't be removed.","カスタムオプションを削除できませんでした。"
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","商品の必須オプションが入力されていません。 オプションが入力されていることを確認して、再度お試し下さい。"
"The file options format is invalid. Use a correct format and try again.","ファイルオプションフォーマットは無効です。正しいフォーマットを使用して再度お試し下さい。"
"The file ""%1"" is empty. Select another file and try again.","ファイル ""%1"" が空です。他のファイルを選択して再度お試し下さい。"
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","検証に失敗しました。 必要なオプションが入力され、ファイルがアップロードされていることを確認し、再度お試し下さい。"
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","ファイルが大きすぎるため、アップロードできません。%1MBより小さいファイルを使用し、再度アップロードして下さい。"
"The required option wasn't entered. Enter the option and try again.","必須オプションが入力されていません。オプションを入力して再度お試し下さい。"
"The file is empty. Select another file and try again.","ファイルが空です。他のファイルを選択して再度お試し下さい。"
"The text is too long. Shorten the text and try again.","テキストが長すぎます。テキストを短くして再度お試し下さい。"
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","要求された商品は存在しません。商品を確認して、もう一度やり直してください。行 ID: SKU = %SKU, ストア ID: %storeId, 開始価格: %priceFrom, 終了価格: %priceTo."
"Tier price is unavailable for this product.","この商品に段階的価格は利用できません。"
"The tier_price data is invalid. Verify the data and try again.","tier_priceのデータが無効です。データを確認して再度お試し下さい。"
"The group price couldn't be saved.","グループ価格を保存できませんでした。"
"The data was invalid. Verify the data and try again.","データが無効です。データを確認して再度お試し下さい。"
"Values in the %1 attributes are invalid. Verify the values and try again.","%1 属性の値が不正です。値を確認して再度お試し下さい。"
"We can't create the ""%1"" writeable directory.","""%1"" 書き込み可能なディレクトリを作成できません。"
"The file upload failed. Try to upload again.","ファイルのアップロードに失敗しました。再度アップロードして下さい。"
"The product has required options. Enter the options and try again.","商品にはオプションが必要です。 オプションを入力して再度お試し下さい。"
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","ID ""%1"" のグループが存在しません。IDを確認して再度お試し下さい。"
"The attribute group can't be deleted because it contains system attributes.","属性グループがシステム属性を含むため、削除できません。"
"The collection provider isn't registered.","コレクションプロバイダーは登録していません。"
"The ""%1"" link type is unknown. Verify the type and try again.","""%1"" リンクタイプが不明です。タイプを確認して再度お試し下さい。"
"The ""%1"" link type wasn't found. Verify the type and try again.","""%1"" リンクタイプが見つかりません。タイプを確認して再度お試し下さい。"
"The linked products data is invalid. Verify the data and try again.","リンクされた商品データが無効です。データを確認して再度お試し下さい。"
"The product that was requested doesn't exist. Verify the product and try again.","要求された商品が存在しません。商品を確認して再度お試し下さい。"
"The Product with the ""%1"" SKU doesn't exist.","SKU ""%1"" の商品は存在しません。"
"The ""%1"" product couldn't be removed.","""%1""商品を削除できませんでした。"
"Category with ID: %s doesn't exist","ID を持つカテゴリ: %s が存在しません。"
"Product Name or SKU","商品名もしくはSKU"
"Start typing to find products","商品を検索するには、文字を入力します"
"Product with ID: %s doesn't exist","IDを持つ商品: %s は存在しません"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","プロセッサー %1 は WysiwygConfigDataProcessorInterfaceを実装していません。それはスキップされます。"
"An item needs to be selected. Select and try again.","商品を選択する必要があります。選択して再度お試し下さい。"
"Use Static URLs for Media Content in WYSIWYG","WYSIWYGのメディアコンテンツで静的URLを使用する"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","メディアコンテンツはエディタ上のコンテンツに静的URLとして挿入されます。メディアコンテンツはシステム設定のベースURLを変更しても変更されません。"
"Default Layouts","デフォルトのレイアウト"
"Default Product Layout","デフォルトの商品レイアウト"
"Default Category Layout","デフォルトのカタログレイアウト"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    ウィジェットの更新間隔 (秒)。
                    <br/>設定されていない場合は 86400 秒 (24 時間) です。ウィジェットを即座に更新するには、キャッシュ管理や HTML 出力をブロック キャッシュのクリアを行ってください。
                    <br/>ウィジェットはキャッシュが更新されるまでの間、指定された条件に一致する商品のリストを更新しません。
                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","テキストエディタの入力タイプでは、ストア > 設定 > コンテンツ管理 から WYSIWYGを有効にする必要があります。"
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","属性コード ""%1""は不正です。このフィールドでは、英字 (a-z もしくは A-Z)、数字 (0-9) あるいはアンダースコア(_) のみ使ってください。また最初の文字は英数字でなくてはなりません。"
"Advanced","高度な設定"
