"Root","Rod"
"Option Title","Alternativ titel"
"Add Value","Tilføje værdi"
"Title","Titel"
"Option Type","Optionstype"
"Required","Påkrævet"
"Price Type","Pristype"
"Max Characters","Max tegn"
"Compatible File Extensions","Kompatibel filendelser"
"Enter separated extensions, like: png, jpg, gif.","Angiv adskilte formater, som: png, jpg, gif."
"Maximum Image Size","Maksimal billedstørrelse"
"Please leave blank if it is not an image.","Lad være tomt hvis det ikke er et billede."
"%1","%1"
"This item has weight","Denne vare har vægt"
"This item has no weight","Denne vare har ingen vægt"
"Set Product as New From","Sæt produkt som ny fra"
"Related Products, Up-Sells, and Cross-Sells","Relaterede produkter, Opsalg og krydssalg"
"Related products are shown to customers in addition to the item the customer is looking at.","Relaterede produkter vises ud over den vare, kunden ser på."
"Add Related Products","Tilføje relaterede produkter"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Et op-salgsprodukt er en dyrere eller bedre alternativ til den vare, kunden ser på."
"Add Up-Sell Products","Tilføj Op-salgs produkt"
"Up-Sell Products","Opsalgsprodukt"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart."
"Add Cross-Sell Products","Tilføj krydssalgs produkter"
"Cross-Sell Products","Krydssalgs produkter"
"Add Selected Products","Tilføj udvalgte produkter"
"Remove","Fjern"
"Thumbnail","Miniaturebillede"
"Actions","Handlinger"
"Schedule Update From","Planlægge opdatering fra"
"Product in Websites","Produkt i Websites"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites."
"name","navn"
"Copy Data from","Kopiere data fra"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>."
"This operation can take a long time","Handlingen kan tage lang tid"
"Collapse All","Skjul alle"
"Expand All","Vis alle"
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
"Use Default Value","Brug standardværdi"
"Manage Titles (Size, Color, etc.)","Administrere titler (størrelse, farve, osv.)"
"Manage Options (Values of Your Attribute)","Manage Options (Values of Your Attribute)"
"Is Default","Er standard"
"Sort Option","Sorteringsindstillingen"
"Groups","Grupper"
"Double click on a group to rename it.","Dobbelt klik på en gruppe for at omdøbe den."
"Unassigned Attributes","Ikke-tildelte attributter"
"A name is required.","Der kræves et navn."
"This group contains system attributes. Please move system attributes to another group and try again.","This group contains system attributes. Please move system attributes to another group and try again."
"Please select a node.","Vælg en node."
"Please enter a new group name.","Angiv et nyt gruppenavn."
"An attribute group named ""/name/"" already exists.","An attribute group named ""/name/"" already exists."
"Sorry, we're unable to complete this request.","Sorry, we're unable to complete this request."
"You can't remove attributes from this attribute set.","You can't remove attributes from this attribute set."
"Custom Options","Brugerdefinerede indstillinger"
"This is a required option.","Dette er en påkrævet valgmulighed."
"The field isn't complete.","Feltet er ikke komplet."
"Compatible file extensions to upload","Kompatible filformater som kan uploades"
"Maximum image width","Maksimum billedbredde"
"Maximum image height","Maksimale billedhøjde"
"Maximum number of characters:","Maximum number of characters:"
"start typing to search template","start typing to search template"
"Product online","Produkt online"
"Product offline","Produkt offline"
"Product online status","Produkt online status"
"Manage Stock","Administrer lager"
"Qty","Antal"
"Out-of-Stock Threshold","Ikke på lager grænsværdi"
"Minimum Qty Allowed in Shopping Cart","Minimum antal tilladt i indkøbskurv"
"Maximum Qty Allowed in Shopping Cart","Maksimalt antal tilladt i indkøbskurv"
"Qty Uses Decimals","Antal bruger decimaler"
"Backorders","Restordrer"
"Notify for Quantity Below","Advisér for mængde under"
"Enable Qty Increments","Aktiver antal intervaller"
"Qty Increments","Antal intervaller"
"Stock Availability","Lagerbeholdningen"
"In Stock","På lager"
"Out of Stock","Udsolgt"
"Add Product To Websites","Tilføj produktet til hjemmesiden"
"Remove Product From Websites","Fjern produktet fra hjemmesider"
"To hide an item in catalog or search results, set the status to ""Disabled"".","To hide an item in catalog or search results, set the status to ""Disabled""."
"We can't save custom-defined options for bundles with dynamic pricing.","Vi kan ikke gemme brugerdefinerede indstillinger for samle produkter med dynamisk prissætning."
"Delete Custom Option","Slette brugerdefinerede indstilling"
"Sort Custom Options","Brugerdefinerede sorteringsindstillinger"
"Input Type","Input type"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","Brugerdefinerede sorteringsindstilling"
"Item Price","Varepris"
"Action","Handling"
"and above","og over"
"Delete Tier","Delete Tier"
"Product In Websites","Produkt i Websites"
"(Copy data from: %1)","(Kopiering af data fra: %1)"
"Browse to find or drag image here","Gennemse for at finde eller træk billedet hertil"
"Delete image","Slet billede"
"Hidden","Skjult"
"Alt Text","Alternativ tekst"
"Role","Rolle"
"Image Size","Billedestørrelse"
"{size}","{size}"
"Image Resolution","Billedopløsning"
"{width}^{height} px","{width} ^{height} px"
"Hide from Product Page","Skjul på produktsiden"
"Allow Multiple Boxes for Shipping","Tillad flere kasser til forsendelse"
"start typing to search attribute","start typing to search attribute"
"Basic Settings","Grundlæggende indstillinger"
"Advanced Settings","Avancerede indstillinger"
"Changes have been made to this section that have not been saved.","Der er foretaget ændringer til dette afsnit, der ikke er gemt."
"This tab contains invalid data. Please resolve this before saving.","Denne fane indeholder ugyldige data. ret venligst før du gemmer."
"Mass Actions","Masse handlinger"
"Select All","Vælg alle"
"Unselect All","Fravælg alle"
"Select Visible","Vælg synlige"
"Unselect Visible","Fravælg synlige"
"Special Price","Tilbudspris"
"Regular Price","Normalpris"
"Buy %1 for: ","Køb %1 til: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Køb %1 for %2 pr styk og <strong class=""benefit"">spar<span class=""percent tier-%3"">&nbsp;%4%</span></strong>"
"Buy %1 for %2 each","Købe %1 til %2 hver"
"Shop By","Filtrer"
"Shopping Options","Filtrer efter"
"Compare Products","Sammenlign produkter"
"Print This Page","Udskrive denne side"
"Remove Product","Fjern produkt"
"Add to Cart","Læg i kurv"
"In stock","På lager"
"Out of stock","Udsolgt"
"Add to Wish List","Tilføj til ønske liste"
"You have no items to compare.","Du har ingen varer at sammenligne."
"Remove This Item","Fjern dette produkt"
"Compare","Sammenlign"
"Clear All","Fjern alle"
"Prev","Tilbage"
"Next","Videre"
"We can't find products matching the selection.","Der er ingen produkter, der matcher dit valg."
"Learn More","Læs mere"
"Add to Compare","Sammenlign"
"We found other products you might like!","Vi fandt andre produkter du måske kan lide!"
"More Choices:","Flere valgmuligheder:"
"Check items to add to the cart or","Vælg varer som skal lægges i indkøbskurven eller"
"select all","vælg alle"
"Items %1-%2 of %3","Varer %1-%2 af %3"
"%1 Item","%1 vare"
"%1 Items","%1 varer"
"Show","Vis"
"per page","pr. side"
"Sort By","Sorter efter"
"Set Ascending Direction","Stigende orden"
"Set Descending Direction","Faldende orden"
"View as","Vis som"
"More Information","Specifikationer"
"Loading...","Indlæser..."
"* Required Fields","* Påkrævede felter"
"Availability","Tilgængelighed"
"Warning message","Advarselsmeddelelse"
"Submit","Send"
"We don't recognize or support this file extension type.","We don't recognize or support this file extension type."
"Configure Product","Konfigurer produktet"
"OK","OK"
"This value does not follow the specified format (for example, 200x300).","This value does not follow the specified format (for example, 200x300)."
"Select type of option.","Vælg indstilling."
"Please add rows to option.","Please add rows to option."
"Please select items.","Vælg venligst enheder."
"Choose existing category.","Vælg eksisterende kategori."
"Image Detail","Billed-detaljer"
"Adding...","Tilføjer..."
"Added","Tilføjet"
"does not implement Storage Interface","does not implement Storage Interface"
"unselect all","fravælg alle"
"Inventory","Lager"
"Catalog Section","Katalog afsnit"
"Small","Lille"
"Main","Primær"
"Custom image","Custom image"
"Product Fields Auto-Generation","Product Fields Auto-Generation"
"Mask for SKU","Sortér efter SKU"
"Use {{name}} as Product Name placeholder","Use {{name}} as Product Name placeholder"
"Mask for Meta Title","Mask for Meta Title"
"Mask for Meta Keywords","Mask for Meta Keywords"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Use {{name}} as Product Name or {{sku}} as Product SKU placeholders"
"Mask for Meta Description","Mask for Meta Description"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Use {{name}} and {{description}} as Product Name and Product Description placeholders"
"Recently Viewed/Compared Products","Recently Viewed/Compared Products"
"Lifetime of products in Recently Viewed Widget","Lifetime of products in Recently Viewed Widget"
"Lifetime of products in Recently Compared Widget","Lifetime of products in Recently Compared Widget"
"Synchronize widget products with backend storage","Synkronisere widget produkter med backend"
"Storefront","Storefront"
"List Mode","Listetilstand"
"Products per Page on Grid Allowed Values","Products per Page on Grid Allowed Values"
"Comma-separated.","Komma adskilt."
"Products per Page on Grid Default Value","Products per Page on Grid Default Value"
"Must be in the allowed values list","Skal være på listen over tilladte værdier"
"Products per Page on List Allowed Values","Products per Page on List Allowed Values"
"Products per Page on List Default Value","Products per Page on List Default Value"
"Use Flat Catalog Category","Brug flat katalog kategori"
"Use Flat Catalog Product","Anvend et fladt produktkatalog"
"Product Listing Sort by","Sorter produktliste efter"
"Allow All Products per Page","Tillad alle produkter pr. side"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Om at vise indstillingen ""Alle"" i ""Vis X pr. side"" dropdown"
"Allow Dynamic Media URLs in Products and Categories","Tillad dynamiske medier URLs i produkter og kategorier"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Product Image Placeholders","Product Image Placeholders"
"Search Engine Optimization","Søgemaskine Optimering"
"Page Title Separator","Side titel separator"
"Use Canonical Link Meta Tag For Categories","Use Canonical Link Meta Tag For Categories"
"Use Canonical Link Meta Tag For Products","Use Canonical Link Meta Tag For Products"
"Catalog Price Scope","Katalog pris anvendelsesområde"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Category Top Navigation","Kategori top navigation"
"Maximal Depth","Maksimal dybde"
"Date & Time Custom Options","Dato & tid brugerdefinerede indstillinger"
"Use JavaScript Calendar","Brug JavaScript kalender"
"Date Fields Order","Date Fields Order"
"Time Format","Klokkeslætsformat"
"Year Range","Year Range"
"Please use a four-digit year format.","Please use a four-digit year format."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Top Level Category","Top niveau kategori"
"Product Info Column","Product Info Column"
"Block after Info Column","Block after Info Column"
"Product Flat Data","Flade produkt data"
"Reorganize EAV product structure to flat structure","Reorganiser EAV produktstruktur til flad struktur"
"Category Flat Data","Flade kategoridata"
"Reorganize EAV category structure to flat structure","Reorganiser EAV kategoristruktur til flad struktur"
"Category Products","Kategori produkter"
"Indexed category/products association","Indekserede associerede kategori/produkter"
"Product Categories","Produktkategorier"
"Indexed product/categories association","Indekserede associerede produkter/kategorier"
"Product Price","Produktpris"
"Index product prices","Indekserede produktpriser"
"Product EAV","Produkt EAV"
"Index product EAV","Indekser produktpriser"
"Catalog New Products List","Katalogliste nye produkter"
"List of Products that are set as New","Liste over produkter, der er indstillet som nye"
"Display Type","Visningstype"
"All products - recently added products, New products - products marked as new","Alle produkter - for nylig tilføjet produkter, nye produkter - produkter mærket som nyheder"
"All products","Alle produkter"
"New products","Nye produkter"
"Display Page Control","Display Page Control"
"Number of Products per Page","Antal produkter pr. side"
"Number of Products to Display","Antallet af produkter som vises"
"Template","Skabelon"
"New Products Grid Template","Nye produkter gitterskabelon"
"New Products List Template","Nye produkter listeskabelon"
"New Products Images and Names Template","New Products Images and Names Template"
"New Products Names Only Template","New Products Names Only Template"
"New Products Images Only Template","New Products Images Only Template"
"Cache Lifetime (Seconds)","Datacachens levetid (sekunder)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","Catalog Product Link"
"Link to a Specified Product","Link til et angivet produkt"
"Select Product...","Vælg produkt..."
"Anchor Custom Text","Anchor Custom Text"
"If empty, we'll use the product name here.","If empty, we'll use the product name here."
"Anchor Custom Title","Anchor Custom Title"
"Product Link Block Template","Product Link Block Template"
"Product Link Inline Template","Product Link Inline Template"
"Catalog Category Link","Catalog Category Link"
"Link to a Specified Category","Link to a Specified Category"
"Select Category...","Vælg kategori..."
"If empty, we'll use the category name here.","If empty, we'll use the category name here."
"Category Link Block Template","Category Link Block Template"
"Category Link Inline Template","Category Link Inline Template"
"Recently Viewed Products","Nyligt viste produkter"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"UI Component","UI komponent"
"Number of Products to display","Antallet af produkter som vises"
"Product attributes to show","Produktattributter til visning"
"Image","Billede"
"Learn More Link","Lær mere link"
"Buttons to show","Knapper, som skal vises"
"Add to Wishlist","Føj til ønskeliste"
"Viewed Products Grid Template","Viste produkter gitterskabelon"
"Viewed Products List Template","Viste produkter listeskabelon"
"Viewed Products Sidebar Template","Viewed Products Sidebar Template"
"Recently Compared Products","For nyligt sammenlignede produkter"
"List of Products Recently Compared by Visitor","List of Products Recently Compared by Visitor"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Set","Indstil"
"Category Information","Kategorioplysninger"
"Enable Category","Aktivere kategori"
"Include in Menu","Inkluderer i menuen"
"Content","Indhold"
"Category Image","Kategoribillede"
"Description","Beskrivelse"
"Add CMS Block","Tilføj CMS blok"
"Display Settings","Display Settings"
"Display Mode","Display Mode"
"Anchor","Fastgør"
"Available Product Listing Sort By","Available Product Listing Sort By"
"Use All","Brug alle"
"Default Product Listing Sort By","Default Product Listing Sort By"
"Layered Navigation Price Step","Lagdelt navigation pris trin"
"URL Key","URL nøgle"
"Meta Title","Metatitel"
"Meta Keywords","Metanøgleord"
"Meta Description","Metabeskrivelse"
"Products in Category","Produkter i kategorien"
"Design","Design"
"Theme","Tema"
"Layout","Layout"
"Layout Update XML","XML Layoutopdatering"
"Apply Design to Products","Apply Design to Products"
"Schedule Design Update","Schedule Design Update"
"AttributeSetText","AttributeSetText"
"StatusText","StatusTekst"
"Product Image Watermarks","Produktbillede vandmærke"
"Base","Base"
"Allowed file types: jpeg, gif, png.","Tilladte filtyper: jpeg, gif, png."
"Image Opacity","Billede gennemsigtighed"
"Example format: 200x300.","Eksempel format: 200 x 300."
"Image Position","Billedplaceringen"
"Attribute Properties","Egenskaber for attribut"
"Attribute Label","Attribut etiket"
"Catalog Input Type for Store Owner","Katalog input type for forretningsejer"
"Values","Værdier"
"Add this attribute to the list of column options in the product grid.","Tilføj denne attribut til listen over kolonneindstillinger for produktgrid."
"Add this attribute to the list of filter options in the product grid.","Tilføj denne attribut til listen over filtrerbare i produktgrid."
"System","System"
"All Store Views","Alle butiks visninger"
"Delete selected items?","Vil du slette de valgte elementer?"
"Delete items","Slet elementer"
"Change status","Ændre status"
"Enable","Aktivér"
"Disable","Slå fra"
"Update attributes","Opdater attributter"
"Overview","Oversigt"
"Skip to the end of the images gallery","Gå til slutningen af billedgalleriet"
"Skip to the beginning of the images gallery","Gå til starten af billedgalleriet"
"Details","Detaljer"
"Recently Compared","Nyligt sammenlignet"
"Add To Cart","Læg i kurv"
"Add To Compare","Sammenlign"
"Learn more","Læs mere"
"Recently Viewed","Senest viste"
"Save Category","Gem kategori"
"Delete Category","Slet kategori"
"New Subcategory","Ny underkategori"
"New Root Category","Nye rod kategori"
"Set Root Category for Store","Sæt Root kategori for butik"
"Custom Design","Brugerdefineret Design"
"Category Data","Kategoridata"
"Not shared with other products","Ikke delt med andre produkter"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Depends on design theme","Afhænger af designtema"
"We saved the price alert subscription.","Vi gemte prise alarm abonnement."
"We saved the stock notification.","Vi gemte lager notifikationen."
"Images and Videos","Billeder og videoer"
"Click here or drag and drop to add images.","Klik her eller træk og slip for at tilføje billeder."
"Make Base","Make Base"
"There was a category move error. %1","Der opstod en fejl %1 under kategori flytning"
"You moved the category","Du har flyttet kategorien"
"This product no longer exists.","Dette produkt findes ikke længere."
"We can't find the image file.","Vi kan ikke finde billedfilen."
"productFactory is already set","productFactory is already set"
"Could not save product option","Kunne ikke gemme produktet valg"
"Product option with id %1 does not exist","Product option with id %1 does not exist"
"Are you sure you want to delete this category?","Are you sure you want to delete this category?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Set root category for this store in the <a href=""%1"">configuration</a>."
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"An attribute group named ""/name/"" already exists"".","An attribute group named ""/name/"" already exists""."
"Close panel","Close panel"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
"Ok","Okay"
"Watermark Default Size","Watermark Default Size"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark","Watermark"
"Watermark Position","Watermark Position"
"none","ingen"
"File validation failed.","File validation failed."
"text","tekst"
"Tier Price","Tier Price"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"Sort Products By","Sortér produkter efter"
"Default Product Sorting","Default Product Sorting"
"Use Parent Category Settings","Use Parent Category Settings"
"Page not found","Page not found"
"Full file path is expected.","Full file path is expected."
"from","fra"
"to","til"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","Du tilføjede product %1 til <a href=""%2"">sammenligning</a>."
"Maximum %1 characters","Maximum %1 characters"
"remaining","remaining"
"too many","alt for mange"
"Sending attribute values as package.","Sending attribute values as package."
"This value does not follow the specified format (for example, 200X300).","Denne værdi følger ikke den angivne format (for eksempel, 200 X 300)."
"Applies to category pages","Applies to category pages"
"Remember Category Pagination","Remember Category Pagination"
"Changing may affect SEO and cache storage consumption.","Changing may affect SEO and cache storage consumption."
"Images Upload Configuration","Images Upload Configuration"
"Quality","Quality"
"Jpeg quality for resized images 1-100%.","Jpeg quality for resized images 1-100%."
"Cost","Pris"
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Attributes were missing and must be specified.","Attributes were missing and must be specified."
"The value of Admin must be unique. (%1)","The value of Admin must be unique. (%1)"
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The category doesn't contain the specified product.","The category doesn't contain the specified product."
"The %1 value wasn't found in the algorithms.","The %1 value wasn't found in the algorithms."
"The filters are invalid. Set them in an array and try again.","The filters are invalid. Set them in an array and try again."
"The product wasn't registered.","The product wasn't registered."
"The store wasn't registered. Verify the store and try again.","The store wasn't registered. Verify the store and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
"The image content is invalid. Verify the content and try again.","The image content is invalid. Verify the content and try again."
"The product can't be saved.","The product can't be saved."
"The new media gallery entry failed to save.","The new media gallery entry failed to save."
"No image with the provided ID was found. Verify the ID and try again.","No image with the provided ID was found. Verify the ID and try again."
"The product doesn't exist. Verify and try again.","The product doesn't exist. Verify and try again."
"The image doesn't exist. Verify and try again.","The image doesn't exist. Verify and try again."
"The image doesn't exist.","The image doesn't exist."
"The image type for the file is invalid. Enter the correct image type and try again.","The image type for the file is invalid. Enter the correct image type and try again."
"The ""%1"" file couldn't be moved.","The ""%1"" file couldn't be moved."
"The ProductSku is empty. Set the ProductSku and try again.","The ProductSku is empty. Set the ProductSku and try again."
"The custom option couldn't be removed.","The custom option couldn't be removed."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The file options format is invalid. Use a correct format and try again.","The file options format is invalid. Use a correct format and try again."
"The file ""%1"" is empty. Select another file and try again.","The file ""%1"" is empty. Select another file and try again."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again."
"The required option wasn't entered. Enter the option and try again.","The required option wasn't entered. Enter the option and try again."
"The file is empty. Select another file and try again.","The file is empty. Select another file and try again."
"The text is too long. Shorten the text and try again.","The text is too long. Shorten the text and try again."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Tier price is unavailable for this product.","Tier price is unavailable for this product."
"The tier_price data is invalid. Verify the data and try again.","The tier_price data is invalid. Verify the data and try again."
"The group price couldn't be saved.","The group price couldn't be saved."
"The data was invalid. Verify the data and try again.","The data was invalid. Verify the data and try again."
"Values in the %1 attributes are invalid. Verify the values and try again.","Values in the %1 attributes are invalid. Verify the values and try again."
"We can't create the ""%1"" writeable directory.","We can't create the ""%1"" writeable directory."
"The file upload failed. Try to upload again.","The file upload failed. Try to upload again."
"The product has required options. Enter the options and try again.","The product has required options. Enter the options and try again."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group can't be deleted because it contains system attributes.","The attribute group can't be deleted because it contains system attributes."
"The collection provider isn't registered.","The collection provider isn't registered."
"The ""%1"" link type is unknown. Verify the type and try again.","The ""%1"" link type is unknown. Verify the type and try again."
"The ""%1"" link type wasn't found. Verify the type and try again.","The ""%1"" link type wasn't found. Verify the type and try again."
"The linked products data is invalid. Verify the data and try again.","The linked products data is invalid. Verify the data and try again."
"The product that was requested doesn't exist. Verify the product and try again.","The product that was requested doesn't exist. Verify the product and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The ""%1"" product couldn't be removed.","The ""%1"" product couldn't be removed."
"Category with ID: %s doesn't exist","Category with ID: %s doesn't exist"
"Product Name or SKU","Produktnavn eller Varenummer"
"Start typing to find products","Start typing to find products"
"Product with ID: %s doesn't exist","Product with ID: %s doesn't exist"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"Use Static URLs for Media Content in WYSIWYG","Use Static URLs for Media Content in WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Default Layouts","Default Layouts"
"Default Product Layout","Default Product Layout"
"Default Category Layout","Default Category Layout"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Advanced","Avanceret"
