"Root","Raiz"
"Custom options let customers choose the product variations they want.","As opções personalizadas deixam os clientes escolher as variações de um produto que quiserem."
"Add Option","Adicionar opção"
"New Option","Nova Opção"
"Select Product","Selecione o produto"
"Option Title","Opção de título"
"Add Value","Adicionar Valor"
"Title","Título"
"Option Type","Tipo de Opção"
"Required","Obrigatório"
"Price Type","Tipo de preço"
"Max Characters","Caracteres Máximo"
"Compatible File Extensions","Extensões de Arquivo Compatíveis"
"Enter separated extensions, like: png, jpg, gif.","Insira extensões separadas, como: png, jpg, gif."
"Maximum Image Size","Tamanho Máximo da Imagem"
"Please leave blank if it is not an image.","Por favor, deixe em branco se não for uma imagem."
"%1","%1"
"This item has weight","Este item tem peso"
"This item has no weight","Este item não tem peso"
"Set Product as New From","Definir Produto como Novo de"
"Related Products, Up-Sells, and Cross-Sells","Produtos Relacionados para Up-selling e Cross-selling"
"Related products are shown to customers in addition to the item the customer is looking at.","Produtos relacionados são mostrados para clientes, além do item que o cliente está olhando."
"Add Related Products","Adicionar Produtos Relacionados"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Uma sugestão de produto up-sell é oferecida ao cliente como uma alternativa mais cara ou de maior qualidade do que o produto que o cliente está a visualizar."
"Add Up-Sell Products","Adicionar Produtos Up-Sell"
"Up-Sell Products","Produtos Up-Sell"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Estes produtos de ""compra de impulso"" aparecem ao lado do carrinho de compras como sugestão de cross-sell para os itens que já estão no carrinho de compras."
"Add Cross-Sell Products","Adicionar Produtos Cross-Sell"
"Cross-Sell Products","Produtos Cross-Sell"
"Add Selected Products","Adicionar Produtos Selecionados"
"Remove","Remover"
"Thumbnail","Miniatura"
"Actions","Ações"
"Schedule Update From","Agendar Atualização De"
"Product in Websites","Produto nos Sites"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Se sua instalação Magento tem vários sites, você pode editar o escopo para usar o produto em locais específicos."
"name","nome"
"Copy Data from","Copiar Dados de"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Se não houver nenhuma categoria pai personalizada, por favor use a categoria pai pré-definida. Pode re-atribuir a categoria a qualquer momento em <a href=""%1"" target=""_blank"">Produtos &gt; Categorias</a>."
"This operation can take a long time","Esta operação pode demorar muito tempo"
"Collapse All","Recolher Tudo"
"Expand All","Expandir Tudo"
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor, confirme a mudança de escopo. Todos os dados que ainda não foram salvos serão perdidos."
"Use Default Value","Utilizar Valor Padrão"
"Manage Titles (Size, Color, etc.)","Gerenciar Títulos (tamanho, cor, etc.)"
"Manage Options (Values of Your Attribute)","Gerenciar Opções (Valores do Seu Atributo)"
"Is Default","É o Padrão"
"Sort Option","Opção de Ordenação"
"Groups","Grupos"
"Double click on a group to rename it.","Clique duas vezes em um grupo para renomeá-lo."
"Unassigned Attributes","Atributos Não Associados"
"A name is required.","Um nome é necessário."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contém os atributos de sistema. Por favor mover atributos do sistema para outro grupo e tente novamente."
"Please select a node.","Por favor selecione um papel."
"Please enter a new group name.","Por favor, digite um novo nome para o grupo."
"An attribute group named ""/name/"" already exists.","Um grupo de atributo nomeado ""/ nome /"" já existe""."
"Sorry, we're unable to complete this request.","Desculpe, não foi possível concluir esta solicitação."
"You can't remove attributes from this attribute set.","Você não pode remover atributos a partir deste conjunto de atributos."
"Custom Options","Opções personalizadas"
"This is a required option.","Esta é uma opção obrigatória."
"The field isn't complete.","O campo não está completo."
"Compatible file extensions to upload","Extensões de arquivo compatíveis para envio"
"Maximum image width","Largura máxima da imagem"
"Maximum image height","Altura máxima da imagem"
"Maximum number of characters:","Número máximo de caracteres:"
"start typing to search template","comece a escrever para pesquisar o template"
"Product online","Produto on-line"
"Product offline","Produto off-line"
"Product online status","Status do produto on-line"
"Manage Stock","Gerenciar Estoque"
"Qty","Qtd"
"Out-of-Stock Threshold","Indisponível no estoque"
"Minimum Qty Allowed in Shopping Cart","Quantidade Mínima Permitida no Carrinho"
"Maximum Qty Allowed in Shopping Cart","Quantidade Máxima Permitida no Carrinho"
"Qty Uses Decimals","Qtd Usa Casas Decimais"
"Backorders","Pedidos pendentes"
"Notify for Quantity Below","Notificar para Quantidade Abaixo"
"Enable Qty Increments","Habilitar os Incrementos de Qtd"
"Qty Increments","Incrementos de Qtd"
"Stock Availability","Disponibilidade de Estoque"
"In Stock","Em Estoque"
"Out of Stock","Fora de Estoque"
"Add Product To Websites","Adicionar Produto Para Websites"
"Remove Product From Websites","Remover Produto dos Websites"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Para ocultar um item no catálogo ou resultado de buscas, defina o status para ""Desativado""."
"We can't save custom-defined options for bundles with dynamic pricing.","Não é possível gravar opções personalizadas para pacotes com precificação dinâmica."
"Delete Custom Option","Excluir Opção Personalizada"
"Sort Custom Options","Ordenar Opções Customizadas"
"Input Type","Tipo de input"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","Ordenar Opção Customizada"
"Item Price","Preço do item"
"Action","Ação"
"and above","e acima"
"Delete Tier","Excluir Camada"
"Product In Websites","Produto em Websites"
"(Copy data from: %1)","(Copiar dados de: %1)"
"Browse to find or drag image here","Navegue para encontrar ou arraste a imagem aqui"
"Delete image","Excluir Imagem"
"Hidden","Oculto"
"Alt Text","Texto Alternativo"
"Role","Função"
"Image Size","Tamanho da Imagem"
"{size}","{size}"
"Image Resolution","Resolução da Imagem"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","Ocultar da Página de Produtos"
"Allow Multiple Boxes for Shipping","Permitir Várias Caixas para o Transporte"
"start typing to search attribute","comece a escrever para pesquisar o atributo"
"Basic Settings","Configurações Básicas"
"Advanced Settings","Configurações avançadas"
"Changes have been made to this section that have not been saved.","Não foram salvas mudanças feitas nessa seleção."
"This tab contains invalid data. Please resolve this before saving.","Essa aba contém dados inválidos. Por favor corrija antes de salvar."
"Mass Actions","Ações em massa"
"Select All","Selecionar Todos"
"Unselect All","Desmarcar Todos"
"Select Visible","Selecionar Todos da Página"
"Unselect Visible","Desmarcar Todos da Página"
"Special Price","Preço Especial"
"Regular Price","Preço Normal"
"Buy %1 for: ","Compre %1 para: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Comprar %1 para %2 cada e <strong class=""benefit""> Salvar<span class=""percent tier-%3"">%4%</span></strong>"
"Buy %1 for %2 each","Comprar %1 para %2 cada"
"Shop By","Filtrar por"
"Shopping Options","Opções de Compra"
"Compare Products","Comparar Produtos"
"Print This Page","Imprimir esta Página"
"Remove Product","Remover Produto"
"Add to Cart","Adicionar ao Carrinho"
"In stock","Em estoque"
"Out of stock","Fora de estoque"
"Add to Wish List","Adicionar à lista de desejos"
"You have no items to compare.","Você não tem itens para comparar."
"Remove This Item","Remover este Item"
"Compare","Comparar"
"Clear All","Limpar Tudo"
"Prev","Anterior"
"Next","Próximo"
"We can't find products matching the selection.","Não encontramos produtos correspondentes a seleção."
"Learn More","Saiba Mais"
"Add to Compare","Adicionar para Comparar"
"We found other products you might like!","Encontramos outros produtos que você pode gostar!"
"More Choices:","Mais opções:"
"Check items to add to the cart or","Verifique itens para adicionar ao carrinho ou"
"select all","selecionar tudo"
"Items %1-%2 of %3","Itens %1-%2 de %3"
"%1 Item","%1 Item"
"%1 Items","%1 itens"
"Show","Mostrar"
"per page","por página"
"Sort By","Ordenar por"
"Set Ascending Direction","Definir Direção Crescente"
"Set Descending Direction","Definir Direção Decrescente"
"View as","Ver como"
"More Information","Mais informações"
"Loading...","Carregando..."
"* Required Fields","* Campos Obrigatórios"
"Availability","Disponibilidade"
"Warning message","Mensagem de aviso"
"Submit","Enviar"
"We don't recognize or support this file extension type.","Nós não reconhecemos ou suportamos este tipo de extensão de arquivo."
"Configure Product","Configurar produto"
"OK","OK"
"This value does not follow the specified format (for example, 200x300).","Esse valor não segue o formato especificado (por exemplo, 200x300)."
"Select type of option.","Selecione o tipo de opção."
"Please add rows to option.","Por favor, adicione linhas a opção."
"Please select items.","Por favor, selecione itens."
"Choose existing category.","Escolha uma categoria existente."
"Image Detail","Detalhe da Imagem"
"Adding...","Adicionando..."
"Added","Adicionado"
"does not implement Storage Interface","não implementa Storage Interface"
"unselect all","desmarcar todos"
"Inventory","Inventário"
"Catalog Section","Secção de catálogo"
"Small","Pequena"
"Main","Principal"
"Custom image","Imagem personalizada"
"Product Fields Auto-Generation","Geração automática de campos de produto"
"Mask for SKU","Máscara para SKU"
"Use {{name}} as Product Name placeholder","Usar {{name}} como espaço reservado para o nome do produto"
"Mask for Meta Title","Máscara para Título Meta"
"Mask for Meta Keywords","Máscara para Palavras-chave Meta"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Usar {{name}} como Nome do Produto ou {{sku}} como referência (SKU) do produto"
"Mask for Meta Description","Máscara para Meta Descrição"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Usar {{name}} e {{description}} como Nome do Produto e Descrição do Produto"
"Recently Viewed/Compared Products","Produtos visualizados/comparados recentemente"
"Lifetime of products in Recently Viewed Widget","Tempo de vida dos produtos no widget Visualizado Recentemente"
"Lifetime of products in Recently Compared Widget","Tempo de vida dos produtos no widget Recentemente Comparado"
"Synchronize widget products with backend storage","Sincronizar produtos widget com o armazenamento backend"
"Storefront","Frente de Loja"
"List Mode","Modo de lista"
"Products per Page on Grid Allowed Values","Valores Permitidos para o Número de Produtos por Página quando Visualizados em Grade"
"Comma-separated.","Separados por vírgula."
"Products per Page on Grid Default Value","Valor pré-definido para Produtos por Página quando visto em Grade"
"Must be in the allowed values list","Deve estar na lista de valores permitidos"
"Products per Page on List Allowed Values","Valores Permitidos para o Número de Produtos por Página quando Visualizados em Lista"
"Products per Page on List Default Value","Valor pré-definido para Produtos por Página quando visto em Lista"
"Use Flat Catalog Category","Usar Categoria do Catálogo Flat"
"Use Flat Catalog Product","Usar Produto do Catálogo Flat"
"Product Listing Sort by","Listagem de produto, ordenar por"
"Allow All Products per Page","Permitir todos os produtos por página"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Se deve aparecer a opção ""Todos"" no menu 'mostrar X por página'"
"Allow Dynamic Media URLs in Products and Categories","Permitir URLs Dinâmicas de Arquivos de Mídia em Categorias e Produtos"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Por exemplo, {{media url=""caminho/para/imagem""}} {{skin url=""caminho/para/imagem""}}. A análise dinâmica de diretivas têm impacto no desempenho do catálogo."
"Product Image Placeholders","Espaços reservados da imagem de produto"
"Search Engine Optimization","Otimização para Motores de Pesquisa (Seo)"
"Page Title Separator","Separador do título da página"
"Use Canonical Link Meta Tag For Categories","Usar o Link Meta Tag Canônico para Categorias"
"Use Canonical Link Meta Tag For Products","Usar o Link Meta Tag Canônico para Produtos"
"Catalog Price Scope","Escopo do Preço de Catálogo"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Isto define o escopo de moeda base (""Definições de Moeda"" > ""Opções de Moeda"" > ""Moeda-Base"")."
"Category Top Navigation","Categoria de Navegação Superior"
"Maximal Depth","Profundidade máxima"
"Date & Time Custom Options","Opções Personalizadas de Data e Hora"
"Use JavaScript Calendar","Usar calendário JavaScript"
"Date Fields Order","Ordem dos Campos de Data"
"Time Format","Formato de hora"
"Year Range","Intervalo de ano"
"Please use a four-digit year format.","Por favor, use o formato de quatro dígitos no ano."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Usar URLs estáticas para o Conteúdo de Media no editor WYSIWYG do Catálogo"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Isto aplica-se apenas às categorias e a produtos de catálogo. O conteúdo de mídia será inserido no editor como URL estática. O conteúdo de mídia não é atualizado se a URL base da configuração do sistema se alterar."
"Top Level Category","Categoria de Topo"
"Product Info Column","Coluna de Informações do Produto"
"Block after Info Column","Bloco após Coluna de Informações"
"Product Flat Data","Dados Flat do Produto"
"Reorganize EAV product structure to flat structure","Reorganizar a estrutura EAV do produto para estrutura flat"
"Category Flat Data","Dados Flat da Categoria"
"Reorganize EAV category structure to flat structure","Reorganizar a estrutura EAV da categoria para estrutura flat"
"Category Products","Produtos da Categoria"
"Indexed category/products association","Associação categoria/produtos indexados"
"Product Categories","Categorias de Produto"
"Indexed product/categories association","Associação produto/categorias indexadas"
"Product Price","Preço do Produto"
"Index product prices","Indexar os preços de produtos"
"Product EAV","Produto EAV"
"Index product EAV","Indexar EAV do produto"
"Catalog New Products List","Lista de Novos Produtos do Catálogo"
"List of Products that are set as New","Lista de produtos definidos como novo"
"Display Type","Tipo de Exibição"
"All products - recently added products, New products - products marked as new","Todos os produtos - produtos recentemente adicionados, novos produtos - produtos marcados como novo"
"All products","Todos os produtos"
"New products","Novos Produtos"
"Display Page Control","Exibir controle de página"
"Number of Products per Page","Número de produtos por página"
"Number of Products to Display","Número de produtos para exibir"
"Template","Template"
"New Products Grid Template","Novo modelo de grade de produtos"
"New Products List Template","Novo modelo de lista de produtos"
"New Products Images and Names Template","Novo Template de Imagens e Nomes de Produtos"
"New Products Names Only Template","Template apenas para Imagens dos Novos Produtos"
"New Products Images Only Template","Template apenas para Imagens dos Novos Produtos"
"Cache Lifetime (Seconds)","Tempo de Vida da Cache (Segundos)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 por pré-definição, se não estiver definido. Para atualizar instantaneamente, limpe a cache de Output HTML dos Blocos."
"Catalog Product Link","Link de Produto do Catálogo"
"Link to a Specified Product","Link para um produto específico"
"Select Product...","Selecionar Produto..."
"Anchor Custom Text","Texto Personalizado da Âncora"
"If empty, we'll use the product name here.","Se estiver vazio, nós usaremos o nome do produto aqui."
"Anchor Custom Title","Título Personalizado da Âncora"
"Product Link Block Template","Template de Bloco para o Link do Produto"
"Product Link Inline Template","Template Inline para o Link do Produto"
"Catalog Category Link","Link da Categoria do Catálogo"
"Link to a Specified Category","Link para uma Categoria Especificada"
"Select Category...","Selecione a Categoria..."
"If empty, we'll use the category name here.","Se estiver vazio, usaremos o nome da categoria aqui."
"Category Link Block Template","Template do Bloco de Link de Categoria"
"Category Link Inline Template","Template de Link Inline de Categoria"
"Recently Viewed Products","Produtos Recentemente Visualizados"
"List of Products Recently Viewed by Visitor","Lista de Produtos Recentemente Visualizados pelo Visitante"
"UI Component","Componente da Interface do Usuário"
"Number of Products to display","Número de Produtos a serem exibidos"
"Product attributes to show","Atributos do produto a serem exibidos"
"Image","Imagem"
"Learn More Link","Link Saiba Mais"
"Buttons to show","Botões a serem exibidos"
"Add to Wishlist","Adicionar à Lista de Desejos"
"Viewed Products Grid Template","Template em Grade dos Produtos Visualizados"
"Viewed Products List Template","Template em Lista dos Produtos Visualizados"
"Viewed Products Sidebar Template","Template da Navegação Lateral dos Produtos Visualizados"
"Recently Compared Products","Produtos Recentemente Comparados"
"List of Products Recently Compared by Visitor","Lista de Produtos Recentemente Comparados pelo Visitante"
"Compared Products Grid Template","Template em Grade dos Produtos Comparados"
"Compared Products List Template","Template em Lista dos Produtos Comparados"
"Set","Definir"
"Category Information","Informação da Categoria"
"Enable Category","Ativar Categoria"
"Include in Menu","Incluir no Menu"
"Content","Conteúdo"
"Category Image","Imagem da Categoria"
"Description","Descrição"
"Add CMS Block","Adicionar Bloco CMS"
"Display Settings","Configurações de exibição"
"Display Mode","Modo de exibição"
"Anchor","Âncora"
"Available Product Listing Sort By","Lista de produtos ordenada por"
"Use All","Usar Todos"
"Default Product Listing Sort By","Ordem padrão da lista de produtos:"
"Layered Navigation Price Step","Dimensão dos Intervalos de Preço na Navegação por Intervalos de Preço"
"URL Key","Chave URL"
"Meta Title","Meta título"
"Meta Keywords","Meta Palavras-chave"
"Meta Description","Meta Descrição"
"Products in Category","Produtos na Categoria"
"Design","Visual"
"Theme","Tema"
"Layout","Layout"
"Layout Update XML","Atualização do Layout XML"
"Apply Design to Products","Aplicar o Design aos Produtos"
"Schedule Design Update","Agendar Atualização do Design"
"AttributeSetText","Texto do Conjunto de Atributos"
"StatusText","Texto do Status"
"Product Image Watermarks","Marcas D'água da Imagem de Produto"
"Base","Base"
"Allowed file types: jpeg, gif, png.","Tipos de arquivo permitidos: jpeg, gif, png."
"Image Opacity","Opacidade da Imagem"
"Example format: 200x300.","Exemplo de formato: 200x300."
"Image Position","Posição da Imagem"
"Attribute Properties","Propriedades do atributo"
"Attribute Label","Rótulo do atributo"
"Catalog Input Type for Store Owner","Tipo de entrada no catálogo para o dono da loja"
"Values","Valores"
"Add this attribute to the list of column options in the product grid.","Adicione esse atributo à lista de opções de coluna na grade de produto."
"Add this attribute to the list of filter options in the product grid.","Adicione esse atributo à lista de opções de filtro na grade de produto."
"System","Sistema"
"All Store Views","Todas as Visões de Loja"
"Delete selected items?","Deseja excluir os itens selecionados?"
"Delete items","Excluir itens"
"Change status","Alterar status"
"Enable","Habilitado"
"Disable","Desabilitado"
"Update attributes","Atualizar atributos"
"Overview","Visão geral"
"Skip to the end of the images gallery","Pular para o final da Galeria de imagens"
"Skip to the beginning of the images gallery","Saltar para o início da Galeria de imagens"
"Details","Detalhes"
"Recently Compared","Recentemente Comparado"
"Add To Cart","Adicionar Ao Carrinho"
"Add To Compare","Adicionar à Comparação"
"Learn more","Saiba mais"
"Recently Viewed","Visualizados recentemente"
"Save Category","Salvar Categoria"
"Delete Category","Excluir Categoria"
"New Subcategory","Nova Subcategoria"
"New Root Category","Nova Categoria Raiz"
"Set Root Category for Store","Selecione a Categoria Raiz da Loja"
"Custom Design","Design Personalizado"
"Category Data","Dados da Categoria"
"Not shared with other products","Não compartilhado com outros produtos"
"Declare attribute value saving scope","Declarar valor do atributo de escopo"
"Depends on design theme","Depende do tema do projeto"
"We saved the price alert subscription.","Seu alerta de preço foi salvo."
"We saved the stock notification.","Sua notificação de estoque foi salva."
"Images and Videos","Imagens e Vídeos"
"Click here or drag and drop to add images.","Clique aqui ou arraste e solte para adicionar imagens."
"Make Base","Tornar Base"
"There was a category move error. %1","Houve um erro na mudança de categoria. %1"
"You moved the category","Você moveu a categoria"
"This product no longer exists.","Este produto não existe mais."
"We can't find the image file.","O arquivo de imagem não foi localizado."
"productFactory is already set","productFactory já está definido"
"Could not save product option","Não foi possível salvar a opção de produto"
"Product option with id %1 does not exist","Não existe opção de produto com id %1"
"Are you sure you want to delete this category?","Você tem certeza que deseja excluir essa categoria?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Definir a categoria raiz para esta loja em <a href=""%1""> configuração</a>."
"Manage Options (values of your attribute)","Gerenciar Opções (valores do seu atributo)"
"An attribute group named ""/name/"" already exists"".","Um grupo de atributo nomeado ""/ nome /"" já existe""."
"Close panel","Fechar Painel"
"Allow Multiple Boxes for Shipping.","Permitir vários pacotes para envio."
"Ok","Ok"
"Watermark Default Size","Tamanho Watermark Padrão"
"Watermark Opacity, Percent","Opacidade da Marca D'água, porcento"
"Watermark","Marca d'água"
"Watermark Position","Posição da marca d'água"
"none","nenhum"
"File validation failed.","Falha na validação do arquivo."
"text","texto"
"Tier Price","Preço por Níveis"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Se seu site tiver múltiplas visualizações, voce poderá configurar o escopo para aplicar uma visualização específica."
"Sort Products By","Ordenar Produtos Por"
"Default Product Sorting","Ordenação de Produtos Pré-definida"
"Use Parent Category Settings","Usar Definições da Categoria Pai"
"Page not found","Página não encontrada"
"Full file path is expected.","Caminho completo do arquivo é esperado."
"from","de"
"to","para"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","O atributo não pode ser salvo devido a um erro. Verifique suas informações e tente novamente. Se o erro persistir, por favor, tente novamente mais tarde."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","O atributo não pôde ser validado devido a um erro. Verifique suas informações e tente novamente. Se o erro persistir, por favor tente novamente mais tarde."
"Tier prices data should be array, but actually other type is received","Faixas de preço devem ser to tipo array, porém outro tipo foi recebido"
"Price indexer ""%1"" must implement %2 or %3","Indexador de preços ""%1"" deve implementar %2 ou %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","Você adicionou o produto %1 para a <a href=""%2"">lista de comparação</a>."
"Maximum %1 characters","Máximo %1 caracteres"
"remaining","restantes"
"too many","muitas(os)"
"Sending attribute values as package.","Enviando valores de atributos como pacote."
"This value does not follow the specified format (for example, 200X300).","Esse valor não segue o formato especificado (por exemplo, 200 x 300)."
"Applies to category pages","Aplica-se às páginas de categoria"
"Remember Category Pagination","Lembrar paginação de Categoria"
"Changing may affect SEO and cache storage consumption.","Alterar pode afetar o consumo de SEO e cache de armazenamento."
"Images Upload Configuration","Configuração de Upload de Imagens"
"Quality","Qualidade"
"Jpeg quality for resized images 1-100%.","Qualidade Jpeg para imagens redimensionadas 1-100%."
"Cost","Custo"
"The ""%1"" attribute is required. Enter and try again.","O atributo ""%1"" é obrigatório. Informe-o e tente novamente."
"Attributes were missing and must be specified.","Atributos estão faltando e devem ser especificados."
"The value of Admin must be unique. (%1)","O valor do Admin deve ser único. (%1)"
"The product was unable to be saved. Please try again.","O produto não pôde ser salvo. Por favor, tente novamente."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","O valor do atributo ""%1"" não é único. Defina um valor único e tente novamente."
"The category doesn't contain the specified product.","A categoria não contém o produto especificado."
"The %1 value wasn't found in the algorithms.","O valor %1 não foi encontrado nos algoritmos."
"The filters are invalid. Set them in an array and try again.","Os filtros são inválidos. Defina-os em um array e tente novamente."
"The product wasn't registered.","Produto não foi registrado."
"The store wasn't registered. Verify the store and try again.","Loja não encontrada. Verifique-a e tente novamente."
"The ""%1"" attribute value is empty. Set the attribute and try again.","O valor do atributo ""%1"" está vazio. Informe o atributo e tente novamente."
"The attribute set couldn't be created because it's based on a non-product attribute set.","O grupo de atributo não pôde ser criado porque ele foi baseado em um conjunto de atributos que não é de produto."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","O grupo de atributo não pôde ser criado porque ele foi baseado em um conjunto de atributos inexistente."
"The image content is invalid. Verify the content and try again.","O conteúdo da imagem é inválido. Verifique-o e tente novamente."
"The product can't be saved.","O produto não pode ser salvo."
"The new media gallery entry failed to save.","Erro ao salvar o novo valor da galeria de imagens."
"No image with the provided ID was found. Verify the ID and try again.","Nenhuma imagem foi encontrada para o ID informado. Verifique-o e tente novamente."
"The product doesn't exist. Verify and try again.","O produto não existe. Verifique e tente novamente."
"The image doesn't exist. Verify and try again.","A imagem não existe. Verifique-a e tente novamente."
"The image doesn't exist.","A imagem não existe."
"The image type for the file is invalid. Enter the correct image type and try again.","A extensão do arquivo de imagem é inválida. Insira uma imagem com uma extensão válida e tente novamente."
"The ""%1"" file couldn't be moved.","O arquivo ""%1"" não pôde ser movido."
"The ProductSku is empty. Set the ProductSku and try again.","O SKU do produto está vazio. Informe um SKU e tente novamente."
"The custom option couldn't be removed.","A opção personalizada não pôde ser removida."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","A(s) opção(ões) obrigatória(s) do produto não foram informadas. Verifique este(s) dado(s) e tente novamente."
"The file options format is invalid. Use a correct format and try again.","A extensão do arquivo de opções informado é inválido. Informe uma extensão correta e tente novamente."
"The file ""%1"" is empty. Select another file and try again.","O arquivo ""%1"" está vazio. Selecione outro arquivo e tente novamente."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","A validação falhou. Certifique-se de que as opções necessárias são inseridas e o arquivo é enviado, e então tente novamente."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","O arquivo foi muito grande e não pôde ser carregado. Use um arquivo menor que %1 MBs e tente fazer o upload novamente."
"The required option wasn't entered. Enter the option and try again.","A opção requerida não foi inserida. Digite a opção e tente novamente."
"The file is empty. Select another file and try again.","O arquivo está vazio. Selecione outro arquivo e tente novamente."
"The text is too long. Shorten the text and try again.","O texto é muito longo. Encurte o texto e tente novamente."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","O produto que foi solicitado não existe. Verifique o produto e tente novamente. Linha ID: SKU = %SKU, ID da loja: %storeId, Preço a partir de: %priceFrom, Preço para: %priceTo."
"Tier price is unavailable for this product.","O preço da camada não está disponível para este produto."
"The tier_price data is invalid. Verify the data and try again.","Os dados do tier_price são inválidos. Verifique os dados e tente novamente."
"The group price couldn't be saved.","O preço do grupo não pôde ser salvo."
"The data was invalid. Verify the data and try again.","Os dados foram inválidos. Verifique os dados e tente novamente."
"Values in the %1 attributes are invalid. Verify the values and try again.","Valores nos atributos %1 são inválidos. Verifique os valores e tente novamente."
"We can't create the ""%1"" writeable directory.","Não podemos criar o diretório ""%1"" gravável."
"The file upload failed. Try to upload again.","O carregamento do arquivo falhou. Tente fazer o upload novamente."
"The product has required options. Enter the options and try again.","O produto tem opções necessárias. Insira as opções e tente novamente."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","O grupo com ""%1"" ID não existe. Verifique o ID e tente novamente."
"The attribute group can't be deleted because it contains system attributes.","O grupo de atributos não pode ser excluído porque contém atributos do sistema."
"The collection provider isn't registered.","O provedor de coleção não está registrado."
"The ""%1"" link type is unknown. Verify the type and try again.","O tipo de link ""%1"" é desconhecido. Verifique o tipo e tente novamente."
"The ""%1"" link type wasn't found. Verify the type and try again.","O tipo de link ""%1"" não foi encontrado. Verifique o tipo e tente novamente."
"The linked products data is invalid. Verify the data and try again.","Os dados de produtos vinculados são inválidos. Verifique os dados e tente novamente."
"The product that was requested doesn't exist. Verify the product and try again.","O produto que foi solicitado não existe. Verifique o produto e tente novamente."
"The Product with the ""%1"" SKU doesn't exist.","O produto com ""%1"" SKU não existe."
"The ""%1"" product couldn't be removed.","O produto ""%1"" não pôde ser removido."
"Category with ID: %s doesn't exist","Categoria com ID: %s não existe"
"Product Name or SKU","Nome do Produto ou Produto SKU"
"Start typing to find products","Comece a digitar para encontrar produtos"
"Product with ID: %s doesn't exist","Produto com ID: %s não existe"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processador %1 não implementa WysiwygConfigDataProcessorInterface. Ele será ignorado"
"An item needs to be selected. Select and try again.","Um item precisa ser selecionado. Selecione e tente novamente."
"Use Static URLs for Media Content in WYSIWYG","Use URLs estáticas para conteúdo de mídia no WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","O conteúdo de mídia será inserido no editor como uma URL estática. O conteúdo de mídia não é atualizado se a URL base de configuração do sistema mudar."
"Default Layouts","Layouts padrões"
"Default Product Layout","Layout Padrão do Produto"
"Default Category Layout","Layout Padrão da Categoria"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Tempo em segundos entre as atualizações do widget.
                    <br/>Se não for definido, é igual a 86400 segundos (24 horas). Para atualizar o widget instantaneamente, acesse o Gerenciamento de Cache e limpe o cache de Blocos de Saída HTML.
                    <br/>O widget não exibirá produtos que comecem a corresponder as condições especificadas até que o cache seja atualizado.                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","O tipo do campo Editor de Texto requer que o editor WYSIWYG seja ativado em Lojas > Configuração > Gerenciamento de Conteúdo."
