"Root","Hlavný"
"Custom options let customers choose the product variations they want.","Vlastné možnosti umožňujú nakupujúcim vybrať variácie produktu."
"Add Option","Pridaj možnosť"
"New Option","Nová možnosť"
"Select Product","Vyberte produkt"
"Option Title","Názov možnosti"
"Add Value","Pridanú hodnotu"
"Title","Titulok"
"Option Type","Typ možnosti"
"Required","Požadované"
"Price Type","Typ ceny"
"Max Characters","Max znakov"
"Compatible File Extensions","Použitelné prípony súborov"
"Enter separated extensions, like: png, jpg, gif.","Enter separated extensions, like: png, jpg, gif."
"Maximum Image Size","Maximálna veľkosť obrázku"
"Please leave blank if it is not an image.","Prosím nechajte prázdne, ak to nie je obrázok."
"%1","%1"
"This item has weight","Táto položka má hmotnosť"
"This item has no weight","Táto položka nemá hmotnosť"
"Set Product as New From","Nastaviť produkt ako nový od"
"Related Products, Up-Sells, and Cross-Sells","Podobné, hodotnejšie a zaujmavé produkty"
"Related products are shown to customers in addition to the item the customer is looking at.","Súvisiace produkty sa zobrazujú nakupujúcému vo spojení s položkou, na ktorú sa nakupujúci prezera."
"Add Related Products","Pridať súvisiace produkty"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Produkt ""hodnotnejšia varianta"" zobrazí zákazníkovy cennejšiu alebo kvalitnejšiu alternatívu k produktu na ktorý práve pozerá."
"Add Up-Sell Products","Pridať ""hodnotnejšie varianty"""
"Up-Sell Products","Hodnotnejšie varianty"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Tieto produkty sú zobrazené na výpisu košíka ako produkty o ktoré by mohl mať kupucí záujem vzhľadom k produktom v košíku."
"Add Cross-Sell Products","Pridať zaujmavé produkty"
"Cross-Sell Products","Zaujmavé produkty"
"Add Selected Products","Pridať vybrané produkty"
"Remove","Odstrániť"
"Thumbnail","Náhľad"
"Actions","Akcie"
"Schedule Update From","Naplánovať aktualizáciu od"
"Product in Websites","Produkt na webových stránkach"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites."
"name","meno"
"Copy Data from","Kopírovanie údajov z"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Ak neexistujú žiadne vlastné nadradené kategórie, použite predvolenú nadradenú kategóriu. Kategóriu môžete kedykoľvek priradiť v <a href=""%1"" target=""_blank""> Produkty &gt; Kategórie</a>."
"This operation can take a long time","Táto operácia môže trvať dlho"
"Collapse All","Zbaliť všetko"
"Expand All","Rozbaliť všetko"
"Please confirm site switching. All data that hasn't been saved will be lost.","Potvrďte, zmenu stránky. Všetky úpravý, ktoré ešte neboli uložené budú stratené."
"Use Default Value","Použiť predvolenú hodnotu"
"Manage Titles (Size, Color, etc.)","Spravovať popisky (veľkosť, farba, atď.)"
"Manage Options (Values of Your Attribute)","Správováť možností (hodnoty atribútov)"
"Is Default","Je predvolené"
"Sort Option","Možnosť zoradenia"
"Groups","Skupiny"
"Double click on a group to rename it.","Dvojitým kliknutím na skupinu možete zmeniť jej názov."
"Unassigned Attributes","Nepriradené atribúty"
"A name is required.","Meno je povinné."
"This group contains system attributes. Please move system attributes to another group and try again.","Táto skupina obsahuje systémové atribúty. Prosím presuňte systémové atribúty do inej skupiny a skúste to znova."
"Please select a node.","Please select a node."
"Please enter a new group name.","Prosím zadajte názov novej skupiny."
"An attribute group named ""/name/"" already exists.","Skupina atribútov s názvom ""/name/"" už existuje."
"Sorry, we're unable to complete this request.","Je nám ľúto, ale nie sme schopní dokončiť túto požiadavku."
"You can't remove attributes from this attribute set.","Nemôžete odstraniť atribút z tejto sady atribútov."
"Custom Options","Vlastné možnosti"
"This is a required option.","Táto možnosť musí byť zadaná."
"The field isn't complete.","Pole nie je kompletné."
"Compatible file extensions to upload","Povolené prípony súboru pre nahranie"
"Maximum image width","Maximálna šírka obrázku"
"Maximum image height","Maximálna výška obrázku"
"Maximum number of characters:","Maximálny počet znakov:"
"start typing to search template","začnite písať pre vyhľadánie šablónach"
"Product online","Produkt online"
"Product offline","Produkt v režime offline"
"Product online status","Product online status"
"Manage Stock","Správa zásob"
"Qty","Množstvo"
"Out-of-Stock Threshold","Out-of-Stock Threshold"
"Minimum Qty Allowed in Shopping Cart","Minimálne množstvo povolené v nákupnom košíku"
"Maximum Qty Allowed in Shopping Cart","Maximálne množstvo povolené v nákupnom košíku"
"Qty Uses Decimals","Množstvo používa desatinné miesta"
"Backorders","Do-objednávky"
"Notify for Quantity Below","Upozorniť na množstvo nižšie"
"Enable Qty Increments","Povoliť množstvo po krokoch"
"Qty Increments","Množstevný krok"
"Stock Availability","Dostupnosť na sklade"
"In Stock","Skladom"
"Out of Stock","Vypredané"
"Add Product To Websites","Pridať produkt do webových stránok"
"Remove Product From Websites","Odstrániť produkt z webových stránok"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Ak chcete skryť položku v katalógu alebo vo výsledky vyhľadávania, nastavte stav na ""Zakázaný""."
"We can't save custom-defined options for bundles with dynamic pricing.","Nemôžeme uložiť prispôsobené možnosti pre zoskupenie s dynamickými cenami."
"Delete Custom Option","Odstrániť vlastnú možnosť"
"Sort Custom Options","Zoradiť vlasné možnosti"
"Input Type","Typ vstupu"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","Vlastná možnosť radenia"
"Item Price","Cena položky"
"Action","Akcia"
"and above","a viac"
"Delete Tier","Delete Tier"
"Product In Websites","Produkt na webových stránkach"
"(Copy data from: %1)","(Kopírovať údaje z: %1)"
"Browse to find or drag image here","Vyhladať prechádzaním alebo pretiahnite obrázok sem"
"Delete image","Zmazať obrázok"
"Hidden","Skrytý"
"Alt Text","Alternatívny Text"
"Role","Úloha"
"Image Size","Veľkosť obrázka"
"{size}","{size}"
"Image Resolution","Rozlíšenie obrazku"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","Nezobrazovať na stránke produktu"
"Allow Multiple Boxes for Shipping","Povoliť viaceré balíky pre doručenie"
"start typing to search attribute","začnite písať pre vyhľadánie atribútu"
"Basic Settings","Základné nastavenia"
"Advanced Settings","Pokročilé nastavenia"
"Changes have been made to this section that have not been saved.","V tejto časti boli vykonané zmeny ktoré ešte neboli uložené."
"This tab contains invalid data. Please resolve this before saving.","Táto karta obsahuje neplatné údaje. Prosím vyriešiť tento problém pred uložením."
"Mass Actions","Hromadné príkazy"
"Select All","Vybrať všetko"
"Unselect All","Zrušiť výber všetkých"
"Select Visible","Vybrať viditeľné"
"Unselect Visible","Zrušiť výber viditeľných"
"Special Price","Znížená cena"
"Regular Price","Bežná cena"
"Buy %1 for: ","Kúpiť %1 za: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Kúpte %1 po %2 a <strong class=""benefit"">ušetríte<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Kúpiť %1 po %2"
"Shop By","Nakupovať podľa"
"Shopping Options","Nákupné možnosti"
"Compare Products","Porovnať produkty"
"Print This Page","Vytlačiť stránku"
"Remove Product","Odstrániť produkt"
"Add to Cart","Pridať do košíka"
"In stock","Skladom"
"Out of stock","Vypredané"
"Add to Wish List","Pridať do zoznamu prianí"
"You have no items to compare.","Nemáte žiadne položky na porovnanie."
"Remove This Item","Odstrániť túto položku"
"Compare","Porovnať"
"Clear All","Vymazať všetky"
"Prev","Predch."
"Next","Nasledujúca"
"We can't find products matching the selection.","Zvolenému výberu neodpovedá žiadny produkt."
"Learn More","Zistiť viac"
"Add to Compare","Pridať k porovnaniu"
"We found other products you might like!","Našli sme ďalšie produkty o ktoré by ste mohli mať záujem!"
"More Choices:","Viac možností:"
"Check items to add to the cart or","Zaškrtnite položky pre pridanie do košíka alebo"
"select all","vybrať všetky"
"Items %1-%2 of %3","Položky %1-%2 z %3"
"%1 Item","%1 položka"
"%1 Items","%1 položiek"
"Show","Zobraziť"
"per page","na stránku"
"Sort By","Zoradiť podľa"
"Set Ascending Direction","Nastaviť vzostupný smer"
"Set Descending Direction","Nastaviť zostupný smer"
"View as","Zobraziť ako"
"More Information","Viac informácií"
"Loading...","Loading..."
"* Required Fields","* Povinné políčka"
"Availability","Dostupnosť"
"Warning message","Upozornenie"
"Submit","Submit"
"We don't recognize or support this file extension type.","Nerozpoznaný alebo nepodporovaný typ súboru."
"Configure Product","Konfigurácia produktu"
"OK","OK"
"This value does not follow the specified format (for example, 200x300).","This value does not follow the specified format (for example, 200x300)."
"Select type of option.","Vyberte typ možnosti."
"Please add rows to option.","Prosím pridajte riadky k možnosti."
"Please select items.","Please select items."
"Choose existing category.","Vyberte existujúcu kategóriu."
"Image Detail","Detail obrázku"
"Adding...","Pridávanie..."
"Added","Pridané"
"does not implement Storage Interface","does not implement Storage Interface"
"unselect all","zrušiť výber všetkých"
"Inventory","Inventár"
"Catalog Section","Výber katalógu"
"Small","Malé"
"Main","Hlavné"
"Custom image","Vlastný obrázok"
"Product Fields Auto-Generation","Samotvorba políčok produktu"
"Mask for SKU","Predefinované katalogového čísla"
"Use {{name}} as Product Name placeholder","Použite {{name}} ako zástupný reťazec pre Názov produktu"
"Mask for Meta Title","Predefinovaný META titulok"
"Mask for Meta Keywords","Preddefinované META kľučové slova"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Používať {{name}} ako názov produktu alebo {{sku}} ako katalogové číslo produktu"
"Mask for Meta Description","Preddefinovaný META popis"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Používať {{name}} a {{description}} ako preddefinovaný názov a popis produktu"
"Recently Viewed/Compared Products","Recently Viewed/Compared Products"
"Lifetime of products in Recently Viewed Widget","Lifetime of products in Recently Viewed Widget"
"Lifetime of products in Recently Compared Widget","Lifetime of products in Recently Compared Widget"
"Synchronize widget products with backend storage","Synchronize widget products with backend storage"
"Storefront","Obchod"
"List Mode","Režim zoznamu"
"Products per Page on Grid Allowed Values","Prednastavný počet produktov na stránke pri použití mriežky"
"Comma-separated.","Oddelené čiarkou."
"Products per Page on Grid Default Value","Prednastavný počet produktov na stránke pri použití mriežky"
"Must be in the allowed values list","Must be in the allowed values list"
"Products per Page on List Allowed Values","Prednastavný počet produktov na stránke pri použití zoznamu"
"Products per Page on List Default Value","Prednastavný počet produktov na stránke"
"Use Flat Catalog Category","Použiť predpripravené kategórie v katalógu"
"Use Flat Catalog Product","Použiť predpripravené zoznami produktov v katalógu"
"Product Listing Sort by","Produkty zoradené podľa"
"Allow All Products per Page","Povoliť možnost zobraziť všetky produkty"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Whether to show ""All"" option in the ""Show X Per Page"" dropdown"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Product Image Placeholders","Zástupný obrázok"
"Search Engine Optimization","Optimalizácia pre vyhľadávače"
"Page Title Separator","Oddeľovač názvu stránky"
"Use Canonical Link Meta Tag For Categories","Použite kanonické odkazy Meta tagu pre kategórie"
"Use Canonical Link Meta Tag For Products","Použite kanonické odkazy Meta tagu pre produkty"
"Catalog Price Scope","Catalog Price Scope"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Category Top Navigation","Menu v hlavičke stránky"
"Maximal Depth","Maximálna hĺbka"
"Date & Time Custom Options","Vlastné možnosti dátumu a času"
"Use JavaScript Calendar","Používať JavaScript kalendár"
"Date Fields Order","Poradie políčok v dátume"
"Time Format","Formát času"
"Year Range","Rozsah rokov"
"Please use a four-digit year format.","Prosím, zadajte rok vo štvormiestom formáte."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Top Level Category","Kategória najvyššej úrovne"
"Product Info Column","Product Info Column"
"Block after Info Column","Block after Info Column"
"Product Flat Data","Predpripravné data produktov"
"Reorganize EAV product structure to flat structure","Zmeniť štruktúru produktov z EAV na predpripravenú"
"Category Flat Data","Predpripravné data kategórie"
"Reorganize EAV category structure to flat structure","Zmeniť štruktúru kategórii z EAV na predpripravenú"
"Category Products","Produkty kategórie"
"Indexed category/products association","Indexované zoskupenie kategórii k produktom"
"Product Categories","Kategórie produktov"
"Indexed product/categories association","Indexované zoskupenie produktov ku kategóriam"
"Product Price","Cena produktu"
"Index product prices","Indexovať ceny produktov"
"Product EAV","EAV produktu"
"Index product EAV","Indexy EAV produktu"
"Catalog New Products List","Nový zoznam produktov katalogu"
"List of Products that are set as New","Zoznam výrobkov, ktoré sú nastavené ako nový"
"Display Type","Zobraziť typ"
"All products - recently added products, New products - products marked as new","Všetky produkty - naposledy pridané produkty, Nové výrobky - výrobky označené ako nové"
"All products","Všetky produkty"
"New products","Nové produkty"
"Display Page Control","Zobraziť ovládací prvok stránky"
"Number of Products per Page","Počet produktov na stránku"
"Number of Products to Display","Počet produktov k zobrazeniu"
"Template","Šablóna"
"New Products Grid Template","Nová šablóna pre výpis produktov v mriežke"
"New Products List Template","Nová šablóna pre výpis produktov v zozname"
"New Products Images and Names Template","Nová šablona pre obrázky a názvy produktov"
"New Products Names Only Template","Nová šablona pre Samotné názvy produktov"
"New Products Images Only Template","Nová šablona pre Samotné obrázky produktov"
"Cache Lifetime (Seconds)","Životnosť vyrovnávacej pamäte (v sekundách)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","Odkaz na produkt v katalogu"
"Link to a Specified Product","Odkaz na určitý produkt"
"Select Product...","Vyberte produkt..."
"Anchor Custom Text","Vlastný Text kotvy"
"If empty, we'll use the product name here.","Ak je prázdne, použijeme názov produktu."
"Anchor Custom Title","Vlastný titulok kotvy"
"Product Link Block Template","Šablóna odkazu na produkt ako blok"
"Product Link Inline Template","Šablóna odkazu na produkt v riadku"
"Catalog Category Link","Odkaz na kategóriu v katalogu"
"Link to a Specified Category","Odkaz na určitú kategóriu"
"Select Category...","Vyberte si kategóriu..."
"If empty, we'll use the category name here.","Ak je prázdne, použijeme názov kategórie."
"Category Link Block Template","Šablóna odkazu na kategóriu ako blok"
"Category Link Inline Template","Šablóna odkazu na kategóriu v riadku"
"Recently Viewed Products","Recently Viewed Products"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"UI Component","UI Component"
"Number of Products to display","Number of Products to display"
"Product attributes to show","Product attributes to show"
"Image","Obrázok"
"Learn More Link","Learn More Link"
"Buttons to show","Buttons to show"
"Add to Wishlist","Pridať do zoznamu prianí"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Viewed Products Sidebar Template","Viewed Products Sidebar Template"
"Recently Compared Products","Recently Compared Products"
"List of Products Recently Compared by Visitor","List of Products Recently Compared by Visitor"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Set","Nastaviť"
"Category Information","Informácie o kategórii"
"Enable Category","Povoliť kategóriu"
"Include in Menu","Zobraziť v menu"
"Content","Obsah"
"Category Image","Obrázok kategórie"
"Description","Popis"
"Add CMS Block","Pridanie CMS bloku"
"Display Settings","Zobraziť nastavenia"
"Display Mode","Display Mode"
"Anchor","Kotva"
"Available Product Listing Sort By","Available Product Listing Sort By"
"Use All","Použiť všetky"
"Default Product Listing Sort By","Default Product Listing Sort By"
"Layered Navigation Price Step","Cenový schod v vrstvovej navigácii"
"URL Key","Kľúč URL"
"Meta Title","META titulok"
"Meta Keywords","META kľúčové slová"
"Meta Description","META popis"
"Products in Category","Produkty v kategórii"
"Design","Dizajn"
"Theme","Motív"
"Layout","Rozloženie"
"Layout Update XML","Úprava XML rozloženia "
"Apply Design to Products","Aplikovať dizajn na produkty"
"Schedule Design Update","Schedule Design Update"
"AttributeSetText","AttributeSetText"
"StatusText","StatusText"
"Product Image Watermarks","Vodoznaky obrázkov produktu"
"Base","Základný"
"Allowed file types: jpeg, gif, png.","Povolené typy súborov: jpeg, gif, png."
"Image Opacity","Nepriehľadnosť obrázku"
"Example format: 200x300.","Príklad formátu: 200x300."
"Image Position","Pozícia obrázku"
"Attribute Properties","Vlastnosti atribútu"
"Attribute Label","štítok atribútu"
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
"Values","Hodnoty"
"Add this attribute to the list of column options in the product grid.","Add this attribute to the list of column options in the product grid."
"Add this attribute to the list of filter options in the product grid.","Add this attribute to the list of filter options in the product grid."
"System","Systém"
"All Store Views","Všetky zobrazenia obchodu"
"Delete selected items?","Odstrániť vybraté položky?"
"Delete items","Odstrániť položky"
"Change status","Zmeniť stav"
"Enable","Zapnúť"
"Disable","Vypnúť"
"Update attributes","Aktualizovať atribúty"
"Overview","Prehľad"
"Skip to the end of the images gallery","Preskočiť na koniec galérie obrázkov"
"Skip to the beginning of the images gallery","Preskočiť na začiatok galérie obrázkov"
"Details","Podrobnosti"
"Recently Compared","Recently Compared"
"Add To Cart","Pridať do košíka"
"Add To Compare","Pridať k porovnaniu"
"Learn more","Learn more"
"Recently Viewed","Recently Viewed"
"Save Category","Save Category"
"Delete Category","Delete Category"
"New Subcategory","New Subcategory"
"New Root Category","New Root Category"
"Set Root Category for Store","Set Root Category for Store"
"Custom Design","Custom Design"
"Category Data","Category Data"
"Not shared with other products","Not shared with other products"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Depends on design theme","Depends on design theme"
"We saved the price alert subscription.","We saved the price alert subscription."
"We saved the stock notification.","We saved the stock notification."
"Images and Videos","Images and Videos"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"There was a category move error. %1","There was a category move error. %1"
"You moved the category","You moved the category"
"This product no longer exists.","This product no longer exists."
"We can't find the image file.","We can't find the image file."
"productFactory is already set","productFactory is already set"
"Could not save product option","Could not save product option"
"Product option with id %1 does not exist","Product option with id %1 does not exist"
"Are you sure you want to delete this category?","Naozaj chcete odstrániť túto kategóriu?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Set root category for this store in the <a href=""%1"">configuration</a>."
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"An attribute group named ""/name/"" already exists"".","An attribute group named ""/name/"" already exists""."
"Close panel","Close panel"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
"Ok","Ok"
"Watermark Default Size","Watermark Default Size"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark","Watermark"
"Watermark Position","Watermark Position"
"none","none"
"File validation failed.","File validation failed."
"text","text"
"Tier Price","Tier Price"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"Sort Products By","Sort Products By"
"Default Product Sorting","Default Product Sorting"
"Use Parent Category Settings","Use Parent Category Settings"
"Page not found","Page not found"
"Full file path is expected.","Full file path is expected."
"from","from"
"to","to"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","You added product %1 to the <a href=""%2"">comparison list</a>."
"Maximum %1 characters","Maximum %1 characters"
"remaining","remaining"
"too many","too many"
"Sending attribute values as package.","Sending attribute values as package."
"This value does not follow the specified format (for example, 200X300).","This value does not follow the specified format (for example, 200X300)."
"Applies to category pages","Applies to category pages"
"Remember Category Pagination","Remember Category Pagination"
"Changing may affect SEO and cache storage consumption.","Changing may affect SEO and cache storage consumption."
"Images Upload Configuration","Images Upload Configuration"
"Quality","Quality"
"Jpeg quality for resized images 1-100%.","Jpeg quality for resized images 1-100%."
"Cost","Cost"
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Attributes were missing and must be specified.","Attributes were missing and must be specified."
"The value of Admin must be unique. (%1)","The value of Admin must be unique. (%1)"
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The category doesn't contain the specified product.","The category doesn't contain the specified product."
"The %1 value wasn't found in the algorithms.","The %1 value wasn't found in the algorithms."
"The filters are invalid. Set them in an array and try again.","The filters are invalid. Set them in an array and try again."
"The product wasn't registered.","The product wasn't registered."
"The store wasn't registered. Verify the store and try again.","The store wasn't registered. Verify the store and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
"The image content is invalid. Verify the content and try again.","The image content is invalid. Verify the content and try again."
"The product can't be saved.","The product can't be saved."
"The new media gallery entry failed to save.","The new media gallery entry failed to save."
"No image with the provided ID was found. Verify the ID and try again.","No image with the provided ID was found. Verify the ID and try again."
"The product doesn't exist. Verify and try again.","The product doesn't exist. Verify and try again."
"The image doesn't exist. Verify and try again.","The image doesn't exist. Verify and try again."
"The image doesn't exist.","The image doesn't exist."
"The image type for the file is invalid. Enter the correct image type and try again.","The image type for the file is invalid. Enter the correct image type and try again."
"The ""%1"" file couldn't be moved.","The ""%1"" file couldn't be moved."
"The ProductSku is empty. Set the ProductSku and try again.","The ProductSku is empty. Set the ProductSku and try again."
"The custom option couldn't be removed.","The custom option couldn't be removed."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The file options format is invalid. Use a correct format and try again.","The file options format is invalid. Use a correct format and try again."
"The file ""%1"" is empty. Select another file and try again.","The file ""%1"" is empty. Select another file and try again."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again."
"The required option wasn't entered. Enter the option and try again.","The required option wasn't entered. Enter the option and try again."
"The file is empty. Select another file and try again.","The file is empty. Select another file and try again."
"The text is too long. Shorten the text and try again.","The text is too long. Shorten the text and try again."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Tier price is unavailable for this product.","Tier price is unavailable for this product."
"The tier_price data is invalid. Verify the data and try again.","The tier_price data is invalid. Verify the data and try again."
"The group price couldn't be saved.","The group price couldn't be saved."
"The data was invalid. Verify the data and try again.","The data was invalid. Verify the data and try again."
"Values in the %1 attributes are invalid. Verify the values and try again.","Values in the %1 attributes are invalid. Verify the values and try again."
"We can't create the ""%1"" writeable directory.","We can't create the ""%1"" writeable directory."
"The file upload failed. Try to upload again.","The file upload failed. Try to upload again."
"The product has required options. Enter the options and try again.","The product has required options. Enter the options and try again."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group can't be deleted because it contains system attributes.","The attribute group can't be deleted because it contains system attributes."
"The collection provider isn't registered.","The collection provider isn't registered."
"The ""%1"" link type is unknown. Verify the type and try again.","The ""%1"" link type is unknown. Verify the type and try again."
"The ""%1"" link type wasn't found. Verify the type and try again.","The ""%1"" link type wasn't found. Verify the type and try again."
"The linked products data is invalid. Verify the data and try again.","The linked products data is invalid. Verify the data and try again."
"The product that was requested doesn't exist. Verify the product and try again.","The product that was requested doesn't exist. Verify the product and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The ""%1"" product couldn't be removed.","The ""%1"" product couldn't be removed."
"Category with ID: %s doesn't exist","Category with ID: %s doesn't exist"
"Product Name or SKU","Product Name or SKU"
"Start typing to find products","Start typing to find products"
"Product with ID: %s doesn't exist","Product with ID: %s doesn't exist"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"Use Static URLs for Media Content in WYSIWYG","Use Static URLs for Media Content in WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Default Layouts","Default Layouts"
"Default Product Layout","Default Product Layout"
"Default Category Layout","Default Category Layout"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Advanced","Advanced"
