"Root","Ρίζα"
"Validation failed. Required options were not filled or the file was not uploaded.","Απέτυχε η επικύρωση. Οι απαιτούμενες επιλογές δεν συμπληρώθηκαν ή το αρχείο δεν φορτώθηκε."
"The file you uploaded is larger than %1 Megabytes allowed by server","Το αρχείο που ανεβάσατε είναι μεγαλύτερο από %1 Μb που επιτρέπεται από το διακομιστή"
"Option required.","Επιλογή Aπαιτείται."
"The file is empty. Please choose another one","Το αρχείο είναι κενό. Παρακαλείστε να επιλέξετε κάποιο άλλο"
"Some of the selected item options are not currently available.","Μερικές από τις επιλογές του επιλεγμένου στοιχείου δεν είναι διαθέσιμες αυτή τη στιγμή."
"The text is too long.","Το κείμενο είναι πολύ μεγάλο."
"Invalid attribute %fieldName = %fieldValue.","Μη έγκυρο χαρακτηριστικό %fieldName = %fieldValue."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","Το κατάστημα δεν βρέθηκε. Row ID: SKU = %SKU, Row ID: %storeId."
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","Μη έγκυρο κόστος χαρακτηριστικού = %cost. Αναγνωριστικό σειράς: SKU = %SKU, Αναγνωριστικό καταστήματος: %storeId."
"Could not save Prices.","Αδύνατη η αποθήκευση Τιμών."
"Could not delete Prices","Αδυναμία διαγραφής Τιμών"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Could not save Tier Prices","Αδύνατη η αποθήκευση Κλιμακωτών Τιμών"
"Could not replace Tier Prices","Αδύνατη η αντικατάσταση Κλιμακωτών Τιμών"
"Could not delete Tier Prices","Αδύνατη η διαγραφή Κλιμακωτών Τιμών"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty."
"This product doesn't have tier price","Αυτό το προϊόν δεν έχει βαθμίδα τιμής"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","Το προϊόν δεν έχει ομάδα τιμής με τέτοια δεδομένα: customerGroupId = '%1', ιστοσελίδα = %2, ποσ = %3"
"Invalid data provided for tier_price","Μη έγκυρα δεδομένα για tier_price"
"Could not save group price","Αδύνατη η αποθήκευση της τιμής ομάδας"
"Please provide valid data","Παραθέστε έγκυρα δεδομένα"
"Values of following attributes are invalid: %1","Οι τιμές των παρακάτω χαρακτηριστικών δεν είναι έγκυρες: %1"
"We can't create writeable directory ""%1"".","Δεν μπορούμε δημιουργήσουμε καταλόγο εγγράψιμο ""%1""."
"The file upload failed.","Το ανέβασμα του αρχείου απέτυχε."
"The product has required options.","Το προϊόν έχει απαιτούμενες επιλογές."
"Something went wrong while processing the request.","Κάτι πήγε στραβά κατά την επεξεργασία της αίτησης."
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 δεν επεκτείνει το \Magento\Catalog\Model\Product\Type\AbstractType"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 δεν επεκτείνει το \Magento\Catalog\Model\Product\Type\Price"
"Not Visible Individually","Δεν είναι ορατά ξεχωριστά"
"Search","Αναζήτηση"
"Catalog, Search","Κατάλογος, Αναζήτηση"
"Something went wrong while removing products from the websites.","Κάτι πήγε στραβά κατά την αφαίρεση προϊόντων από τις τοποθεσίες Web."
"Something went wrong while adding products to websites.","Κάτι πήγε στραβά κατά την προσθήκη προϊόντων σε ιστοσελίδες."
"Group with id ""%1"" does not exist.","Δεν υπάρχει ομάδα με id ""%1""."
"Attribute group that contains system attributes can not be deleted","Η ομάδα χαρακτηριστικό που περιέχει τα χαρακτηριστικά του συστήματος δεν μπορεί να διαγραφεί"
"Collection provider is not registered","Ο πάροχος συλλογής δεν είναι εγγεγραμμένος"
"Unknown link type: %1","Άγνωστος τύπος συνδέσμου: %1"
"Provided link type ""%1"" does not exist","Ο παρεχόμενος τύπος συνδέσμου ""%1"" δεν υπάρχει"
"Invalid data provided for linked products","Μη έγκυρα δεδομένα που παρέχονται για συνδεδεμένα προϊόντα"
"Product with SKU '%1' is not linked to product with SKU '%2'","Προϊόν με SKU '%1' δεν συνδέεται με το προϊόν με SKU '%2'"
"Product %1 doesn't have linked %2 as %3","Το Προϊόν %1 δεν έχει συνδεδεμένο το %2 ως %3"
"Requested product doesn't exist","Το ζητούμενο προϊόν δεν υπάρχει"
"Product with SKU ""%1"" does not exist","Δεν υπάρχει προϊόν με SKU ""%1"""
"Invalid product data: %1","Μη έγκυρα δεδομένα προϊόντος: %1"
"Database connection error","Σφάλμα σύνδεσης βάσης δεδομένων"
"Database deadlock found when trying to get lock","Database deadlock found when trying to get lock"
"Database lock wait timeout exceeded","Υπέρβαση χρόνου αναμονής κλειδώματος βάσης δεδομένων"
"Unable to remove product %1","Δεν είναι δυνατή η κατάργηση προϊόντος %1"
"Requested product does not support images.","Το ζητούμενο προϊόν δεν υποστηρίζει εικόνες."
"There are not websites for assign to product","Δεν υπάρχουν ιστοσελίδες για ανάθεση σε προϊόν"
"Could not assign product ""%1"" to websites ""%2""","Δεν μπορούμε να αντιστοιχίσουμε προϊόν ""%1"" σε τοποθεσίες Web ""%2"""
"Could not save product ""%1"" with websites %2","Δεν μπορούμε να αποθηκεύσουμε προϊόν ""%1"" σε τοποθεσίες Web ""%2"""
"We cannot determine the field name.","Δεν μπορούμε να προσδιορίσουμε το όνομα του πεδίου."
"Attribute '%1' is locked. %2","Το χαρακτηριστικό '%1' είναι κλειδωμένο. %2"
"Do not change the scope. %1","Μην αλλάξετε το πεδίο εφαρμογής. %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","Processor %1 doesn't implement BaseSelectProcessorInterface"
"A product type is not defined for the indexer.","Ένας τύπος προϊόντος δεν έχει οριστεί για το ευρετήριο."
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 δεν επεκτείνει το \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","Προϊόν με SKU %1 δεν συνδέεται με το προϊόν με SKU %2"
"Multiple Select","Πολλαπλή Επιλογή"
"Dropdown","Αναπτυσσόμενο μενού"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 δεν επεκτείνει το \Magento\Framework\Filter\Template"
"As low as","Τόσο χαμηλά όσο"
"test","δοκιμή"
"Some text is here.","Κάποιο κείμενο είναι εδώ."
"Some exception","Κάποια εξαίρεση"
"Could not get extension attributes","Δεν ήταν δυνατή η λήψη χαρακτηριστικών επέκτασης"
"message","μήνυμα"
"fl","fl"
"Lock wait timeout","Χρονικό όριο αναμονής κλειδώματος"
"123","123"
"Images","Εικόνες"
"Select...","Επιλέξτε..."
"Advanced Pricing","Τιμολόγηση για προχωρημένους"
"Customer Group Price","Ομαδική Τιμή Πελάτη"
"Customer Group","Ομάδα Πελατών"
"Special Price From","Ειδική τιμή από"
"To","Έως"
"Done","Επιτυχής"
"Product Alerts","Ειδοποιήσεις Προϊόντος(ων)"
"Alert stock","Ειδοποίηση αποθέματος"
"Alert Stock","Ειδοποίηση Αποθέματος"
"Alert price","Ειδοποίηση τιμής"
"Alert Price","Ειδοποίηση Τιμής"
"Add Selected","Προσθήκη επιλεγμένων"
"Select Attribute","Επιλέξτε Χαρακτηριστικό"
"Create New Attribute","Δημιουργήστε νέο χαρακτηριστικό"
"Customizable Options","Προσαρμόσιμες Επιλογές"
"Custom options let customers choose the product variations they want.","Οι προσαρμοσμένες επιλογές επιτρέπουν στους πελάτες να επιλέγουν τις παραλλαγές του προϊόντος που θέλουν."
"Add Option","Προσθήκη επιλογής"
"New Option","Νέα Eπιλογή"
"Select Product","Επιλέξτε Προϊόν"
"Option Title","Τίτλος Επιλογής"
"Add Value","Προσθήκη Τιμής"
"Title","Τίτλος"
"Option Type","Τύπος Επιλογής"
"Required","Απαιτείται"
"Price Type","Τύπος Τιμής"
"Max Characters","Μέγιστοι Χαρακτήρες"
"Compatible File Extensions","Συμβατό με Επεκτάσεις Αρχείου"
"Enter separated extensions, like: png, jpg, gif.","Εισαγάγετε ξεχωριστές επεκτάσεις, όπως: png, jpg, gif."
"Maximum Image Size","Μέγιστο μέγεθος εικόνας"
"Please leave blank if it is not an image.","Παρακαλούμε αφήστε κενό αν δεν είναι μια εικόνα."
"%1","%1"
"This item has weight","Αυτό το στοιχείο έχει βάρος"
"This item has no weight","Αυτό το στοιχείο δεν έχει βάρος"
"Set Product as New From","Θέστε το Προϊόν ως Νέο Από"
"Related Products, Up-Sells, and Cross-Sells","Σχετικά προϊόντα, Μετέπειτα-Πωλήσεις, και Διασταυρούμενες-Πωλήσεις"
"Related products are shown to customers in addition to the item the customer is looking at.","Σχετικά προϊόντα εμφανίζονται στους πελάτες εκτός από το στοιχείο που ο πελάτης βλέπει."
"Add Related Products","Προσθήκη Σχετικών Προϊόντων"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Ένα στοιχείο πρόσθετων-πωλήσεων προσφέρεται στον πελάτη ως πιό καλύτερης τιμής ή υψηλότερης ποιότητας εναλλακτική λύση στο προϊόν που βλέπει ο πελάτης."
"Add Up-Sell Products","Προσθέσετε Προϊόντα Μετέπειτα-Πωλήσεων"
"Up-Sell Products","Μετέπειτα-Πωλήσεις Προϊόντα"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Τα προϊόντα αυτά ""ώθηση-προς-αγορά"" εμφανίζονται δίπλα από το καλάθι ως διασταυρούμενες-πωλήσεις στα στοιχεία ήδη στο καλάθι."
"Add Cross-Sell Products","Προσθέστε Διασταυρούμενα Προϊόντων"
"Cross-Sell Products","Εμφάνιση Διασταυρούμενων Προϊόντων"
"Add Selected Products","Προσθήκη Επιλεγμένων Προϊόντων"
"Remove","Διαγραφή"
"Thumbnail","Μικρογραφία"
"Actions","Ενέργειες"
"Schedule Update From","Προγραμματισμένη Ενημέρωση Από"
"Product in Websites","Προϊόν σε ιστοσελίδες"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Εάν η εγκατάστασή σας Magento διαθέτει πολλούς ιστότοπους, μπορείτε να επεξεργαστείτε το πεδίο εφαρμογής για να χρησιμοποιήσετε το προϊόν σε συγκεκριμένους ιστότοπους."
"name","όνομα"
"Copy Data from","Αντιγράψτε τα δεδομένα από"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Εάν δεν υπάρχουν προσαρμοσμένες γονικές κατηγορίες, παρακαλούμε χρησιμοποιήστε την προεπιλεγμένη κατηγορία γονέα. Να εκχωρείτε την κατηγορία ανά πάσα στιγμή σε <a href=""%1"" target=""_blank"">προϊόντα > κατηγορίες</a>."
"This operation can take a long time","Αυτή η λειτουργία μπορεί να πάρει πολύ χρόνο"
"Collapse All","Σύμπτυξη όλων"
"Expand All","Ανάπτυξη όλων"
"Please confirm site switching. All data that hasn't been saved will be lost.","Επιβεβαιώστε την εναλλαγή ιστότοπου. Όλα τα δεδομένα που δεν έχουν αποθηκευτεί θα χαθούν."
"Use Default Value","Χρησιμοποιήστε την Προεπιλεγμένη Τιμή"
"Manage Titles (Size, Color, etc.)","Διαχείριση τίτλων (Μέγεθος, Χρώμα, κ.λπ.)"
"Manage Options (Values of Your Attribute)","Διαχείριση επιλογών (τιμές του χαρακτηριστικού σας)"
"Is Default","Είναι Προεπιλογή"
"Sort Option","Επιλογή Ταξινόμησης"
"Groups","Ομάδες"
"Double click on a group to rename it.","Κάντε διπλό κλικ σε μια ομάδα να το μετονομάσετε."
"Unassigned Attributes","Μη αντιστοιχισμένα χαρακτηριστικά"
"A name is required.","Ένα όνομα είναι υποχρεωτικό."
"This group contains system attributes. Please move system attributes to another group and try again.","Αυτή η ομάδα περιέχει χαρακτηριστικά συστήματος. Παρακαλώ μετακινήστε τα χαρακτηριστικά συστήματος σε άλλη ομάδα και προσπαθήστε ξανά."
"Please select a node.","Παρακαλώ, επιλέξτε έναν κόμβο."
"Please enter a new group name.","Παρακαλώ εισάγετε ένα νέο όνομα ομάδας."
"An attribute group named ""/name/"" already exists.","Μία ομάδα χαρακτηριστικού που ονομάζεται ""/name/"" υπάρχει ήδη."
"Sorry, we're unable to complete this request.","Συγγνώμη, δεν είμαστε σε θέση να ολοκληρώσουμε αυτήν την αίτηση."
"You can't remove attributes from this attribute set.","Δεν μπορείτε να καταργήσετε τα χαρακτηριστικά από αυτό το σύνολο χαρακτηριστικών."
"Custom Options","Προσαρμοσμένες επιλογές"
"This is a required option.","Αυτή είναι μια απαιτούμενη επιλογή."
"The field isn't complete.","Το πεδίο δεν είναι πλήρης."
"Compatible file extensions to upload","Συμβατή επέκταση αρχείου για ανέβασμα"
"Maximum image width","Μέγιστο πλάτος εικόνας"
"Maximum image height","Μέγιστο ύψος εικόνας"
"Maximum number of characters:","Μέγιστος αριθμός χαρακτήρων:"
"start typing to search template","ξεκινήστε να πληκτρολογείτε για αναζήτηση προτύπου"
"Product online","Προϊόν σε σύνδεση"
"Product offline","Προϊόν χωρίς σύνδεση"
"Product online status","Κατάσταση προϊόντος σε σύνδεση"
"Manage Stock","Διαχείριση Αποθεμάτων"
"Qty","Ποσότητα"
"Out-of-Stock Threshold","Όριο εκτός αποθέματος"
"Minimum Qty Allowed in Shopping Cart","Ελάχιστη ποσότητα που επιτρέπεται στο καλάθι αγορών"
"Maximum Qty Allowed in Shopping Cart","Μέγιστη ποσότητα που επιτρέπεται στο καλάθι αγορών"
"Qty Uses Decimals","Η Ποσ. χρησιμοποιεί δεκαδικά ψηφία"
"Backorders","Προπαραγγελίες"
"Notify for Quantity Below","Ειδοποίηση για ποσότητα κάτω από"
"Enable Qty Increments","Ενεργοποίηση Προσαυξήσεις Ποσ"
"Qty Increments","Προσαυξήσεις Ποσ."
"Stock Availability","Διαθεσιμότητα"
"In Stock","Σε Απόθεμα"
"Out of Stock","Εξαντλημένο"
"Add Product To Websites","Προσθήκη προϊόντος σε ιστοσελίδες"
"Remove Product From Websites","Αφαιρέστε το προϊόν από ιστοσελίδες"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Για να αποκρύψετε ένα στοιχείο στον κατάλογο ή στα αποτελέσματα αναζήτησης, ορίστε την κατάσταση σε ""Απενεργοποιημένη""."
"We can't save custom-defined options for bundles with dynamic pricing.","Δεν είναι δυνατή η αποθήκευση προσαρμοσμένων-ορισμών επιλογών για δέσμες με δυναμική τιμολόγηση."
"Delete Custom Option","Διαγραφή Προσαρμοσμένης Επιλογής"
"Sort Custom Options","Ταξινόμηση Προσαρμοσμένης Επιλογής"
"Input Type","Τύπος εισόδου"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","Ταξινόμηση Προσαρμοσμένης Επιλογής"
"Item Price","Τιμή Είδους"
"Action","Ενέργεια"
"and above","και πάνω"
"Delete Tier","Διαγραφή Βαθμίδας"
"Product In Websites","Προϊόν σε ιστοσελίδες"
"(Copy data from: %1)","(Αντιγράψτε δεδομένα από: %1)"
"Browse to find or drag image here","Αναζήτηση για να βρείτε ή σύρετε την εικόνα εδώ"
"Delete image","Διαγραφή εικόνας"
"Hidden","Κρυφό"
"Alt Text","Εναλλακτικό κείμενο"
"Role","Ρόλος"
"Image Size","Μέγεθος Εικόνας"
"{size}","{size}"
"Image Resolution","Ανάλυση εικόνας"
"{width}^{height} px","{width} ^{height} px"
"Hide from Product Page","Απόκρυψη από τη σελίδα προϊόντος"
"Allow Multiple Boxes for Shipping","Επιτρέπονται Πολλαπλά Πλαίσια για τη Αποστολή"
"start typing to search attribute","ξεκινήστε να πληκτρολογείτε για αναζήτηση χαρακτηριστικού"
"Basic Settings","Βασικές Ρυθμίσεις"
"Advanced Settings","Ρυθμίσεις για Προχωρημένους"
"Changes have been made to this section that have not been saved.","Έχουν γίνει αλλαγές σε αυτό το τμήμα που δεν έχουν αποθηκευτεί."
"This tab contains invalid data. Please resolve this before saving.","Αυτή η καρτέλα περιέχει μη έγκυρα δεδομένα. Μπορείτε να επιλύσετε αυτό το πρόβλημα πριν από την αποθήκευση."
"Mass Actions","Μαζικές Ενέργειες"
"Select All","Επιλογή όλων"
"Unselect All","Αποεπιλογή όλων"
"Select Visible","Επιλογή Ορατών"
"Unselect Visible","Αποεπιλογή Ορατών"
"Special Price","Ειδική Τιμή"
"Regular Price","Κανονική Τιμή"
"Buy %1 for: ","Αγοράστε %1 για: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Αγοράστε %1 με %2 το ένα και <strong class=""benefit""> κερδίστε <span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Αγοράστε %1 με %2 το ένα"
"Shop By","Αγορά κατά"
"Shopping Options","Επιλογες Αγορων"
"Compare Products","Σύγκριση Προϊόντων"
"Print This Page","Εκτύπωση αυτής της Σελίδας"
"Remove Product","Αφαίρεση Προϊόντος"
"Add to Cart","Προσθήκη στο Καλάθι"
"In stock","Σε απόθεμα"
"Out of stock","Εξαντλημένο"
"Add to Wish List","Προσθήκη στη Λίστα Επιθυμιών"
"You have no items to compare.","Δεν έχετε επιλέξει προϊόντα για σύγκριση."
"Remove This Item","Διαγραφή Αυτού του Είδους"
"Compare","Σύγκριση"
"Clear All","Απαλοιφή Όλων"
"Prev","Προηγ."
"Next","Επόμενο"
"We can't find products matching the selection.","Δεν μπορούμε να βρούμε προϊόντα που να ταιριάζουν στην επιλογή."
"Learn More","Μάθετε Περισσότερα"
"Add to Compare","Προσθήκη για Σύγκριση"
"We found other products you might like!","Βρήκαμε άλλα προϊόντα που μπορεί να σας αρέσουν!"
"More Choices:","Περισσότερες επιλογές:"
"Check items to add to the cart or","Έλεγχος στοιχείων για να προσθέσετε στο καλάθι ή"
"select all","επιλογή όλων"
"Items %1-%2 of %3","Στοιχεία %1-%2 από %3"
"%1 Item","%1 είδος"
"%1 Items","%1 είδη"
"Show","Εμφάνιση"
"per page","ανά σελίδα"
"Sort By","Ταξινόμηση κατά"
"Set Ascending Direction","Ορίστε Αύξουσα Κατεύθυνση"
"Set Descending Direction","Φθίνουσα ταξινόμηση"
"View as","Προβολή ως"
"More Information","Περισσότερες Πληροφορίες"
"Loading...","Φόρτωση..."
"* Required Fields","* Απαιτούμενα πεδία"
"Availability","Διαθεσιμότητα"
"Warning message","Προειδοποιητικό μήνυμα"
"Submit","Υποβολή"
"We don't recognize or support this file extension type.","Δεν αναγνωρίζουμε ή υποστηρίζουμε αυτόν την επέκταση τύπου αρχείου."
"Configure Product","Ρύθμιση Προϊόντος"
"OK","Οκ"
"This value does not follow the specified format (for example, 200x300).","Η τιμή αυτή δεν ακολουθεί την καθορισμένη μορφή (για παράδειγμα, 200 x 300)."
"Select type of option.","Επιλέξτε τύπο της επιλογής."
"Please add rows to option.","Παρακαλώ προσθέστε γραμμές στην επιλογή."
"Please select items.","Παρακαλώ επιλέξτε αντικείμενα."
"Choose existing category.","Επιλέξτε υπάρχουσα κατηγορία."
"Image Detail","Λεπτομέρειες Εικόνας"
"Adding...","Προσθήκη..."
"Added","Προστέθηκε"
"does not implement Storage Interface","does not implement Storage Interface"
"unselect all","αποεπιλογή όλων"
"Inventory","Απόθεμα"
"Catalog Section","Ενότητα Καταλόγου"
"Small","Μικρό"
"Main","Κεντρικό"
"Custom image","Προσαρμοσμένη εικόνα"
"Product Fields Auto-Generation","Αυτόματη Παραγωγή Πεδίων Προϊόντος"
"Mask for SKU","Μάσκα για Κωδικό Προϊόντος"
"Use {{name}} as Product Name placeholder","Χρήση {{name}} ως σύμβολο κράτησης θέσης Ονόματος Προϊόντος"
"Mask for Meta Title","Μάσκα για Μέτα-Τίτλο"
"Mask for Meta Keywords","Μάσκα για Μέτα-Λέξεις κλειδιά"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Χρησιμοποιήστε το {{name}} ως όνομα προϊόντος ή {{sku}} ως σύμβολα κράτησης θέσης SKU προϊόντος"
"Mask for Meta Description","Μάσκα για Μέτα-Περιγραφή"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Χρησιμοποιήστε {{name}} και {{description}} ως σύμβολα κράτησης θέσης Ονόματος Προϊόντος και Περιγραφής Προϊόντος"
"Recently Viewed/Compared Products","Πρόσφατα Προβληθέντα/Συγκριθέντα Προϊόντα"
"Lifetime of products in Recently Viewed Widget","Lifetime of products in Recently Viewed Widget"
"Lifetime of products in Recently Compared Widget","Lifetime of products in Recently Compared Widget"
"Synchronize widget products with backend storage","Synchronize widget products with backend storage"
"Storefront","Βιτρίνα Καταστήματος"
"List Mode","Λειτουργία Λίστας"
"Products per Page on Grid Allowed Values","Προϊόντα ανά Σελίδα σε Επιτρεπόμενες Τιμές Πλέγματος"
"Comma-separated.","Διαχωρισμένες με κόμμα."
"Products per Page on Grid Default Value","Προϊόντα ανά Σελίδα σε Προεπιλεγμένη Τιμή Πλέγματος"
"Must be in the allowed values list","Πρέπει να είναι στη λίστα επιτρεπόμενων τιμών"
"Products per Page on List Allowed Values","Προϊόντα ανά σελίδα στη Λίστα Επιτρεπόμενων Τιμών"
"Products per Page on List Default Value","Προϊόντα ανά σελίδα στη Λίστα Προεπιλεγμένης Τιμής"
"Use Flat Catalog Category","Χρήση Επίπεδης Κατηγορίας Καταλόγου"
"Use Flat Catalog Product","Χρήση Επίπεδων Προϊόντων Καταλόγου"
"Product Listing Sort by","Ταξινόμηση Λίστας Προϊόντων κατά"
"Allow All Products per Page","Επιτρέψτε Όλα τα Προϊόντα ανά Σελίδα"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Αν θα προβληθεί η επιλογή ""Όλων"" στο αναπτυσσόμενο μενού «Εμφάνιση X ανά σελίδα»"
"Allow Dynamic Media URLs in Products and Categories","Επιτρέψτε τις Δυναμικές Διευθύνσεις URLs Πολυμέσων στις Κατηγορίες και στα Προϊόντα"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Π.χ. {{πολυμέσα url=""path/to/image.jpg""}} {{θέμα url=""path/to/picture.gif""}}. Δυναμικές οδηγίες κατά την ανάλυση έχουν επίπτωση στην επίδοση καταλόγου."
"Product Image Placeholders","Σύμβολα κράτησης θέσης Εικόνας Προϊόντος"
"Search Engine Optimization","Βελτιστοποίηση Μηχανών Αναζήτησης (SEO)"
"Page Title Separator","Διαχωριστικό Τίτλου Σελίδας"
"Use Canonical Link Meta Tag For Categories","Χρήση Μετα-Ετικέτας Κανονικού Σύνδεσμου για Κατηγορίες"
"Use Canonical Link Meta Tag For Products","Χρήση Μετα-Ετικέτας Κανονικού Σύνδεσμου για Προϊόντα"
"Catalog Price Scope","Πεδίο Τιμής Καταλόγου"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Αυτό ορίζει το πεδίο εφαρμογής της νομισματικής βάσης (""Διαμόρφωση Νομίσματος"" > ""Επιλογές Νομίσματος"" > ""Νόμισμα Βάσης"")."
"Category Top Navigation","Επάνω Πλοήγηση Καταλόγου"
"Maximal Depth","Μέγιστο βάθος"
"Date & Time Custom Options","Προσαρμοσμένες Επιλογές Ημερομηνίας & Ώρας"
"Use JavaScript Calendar","Χρήση Ημερολογίου JavaScript"
"Date Fields Order","Ταξινόμιση Πεδία Ημ/νίας"
"Time Format","Μορφή Ώρας"
"Year Range","Εύρος Έτους"
"Please use a four-digit year format.","Χρησιμοποιήστε μια τετραψήφια μορφή έτους."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Χρήση Στατικών Διευθύνσεων URL για Περιεχόμενο Πολυμέσων σε WYSIWYG για Κατάλογο"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Αυτό ισχύει μόνο για προϊόντα καταλόγου και κατηγορίες. Το περιεχόμενο πολυμέσων θα εισαχθεί στο πρόγραμμα επεξεργασίας ως στατική διεύθυνση URL. Το περιεχόμενο των πολυμέσων δεν ενημερώνεται, εάν η ρύθμιση παραμέτρων συστήματος URL βάσης αλλάξει."
"Top Level Category","Κορυφαίο Επιπέδο Κατηγορίας"
"Product Info Column","Στήλη Πληροφοριών Προϊόντος"
"Block after Info Column","Τμήμα μετά τη Στήλη Πληροφοριών"
"Product Flat Data","Επίπεδα Δεδομένα Προϊόντος"
"Reorganize EAV product structure to flat structure","Αναδιοργάνωση δομής προϊόντος EAV σε επίπεδη δομή"
"Category Flat Data","Επίπεδα Δεδομένα Κατηγορίας"
"Reorganize EAV category structure to flat structure","Αναδιοργάνωση δομής κατηγορίας EAV σε επίπεδη δομή"
"Category Products","Προϊόντα Κατηγορίας"
"Indexed category/products association","Ευρετήριο σύνδεσης κατηγορία/προϊόντα"
"Product Categories","Κατηγορίες Προϊόντων"
"Indexed product/categories association","Ευρετήριο σύνδεσης προϊόντα/κατηγορία"
"Product Price","Τιμή Προϊόντος"
"Index product prices","Δείκτης τιμών των προϊόντων"
"Product EAV","EAV Προϊόντος"
