"Root","जड़"
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","ग्राहक समूह =%customerGroup के साथ ऐसी कोई इकाई नहीं। पंक्ति आईडी: SKU =%SKU, वेबसाइट आईडी:%websiteId, ग्राहक समूह:%customerGroup, मात्रा:%qty।"
"This product doesn't have tier price","This product doesn't have tier price"
"Product hasn't group price with such data: customerGroupId = '%1', website = %2, qty = %3","उत्पाद में ऐसे डेटा के साथ समूह मूल्य नहीं है: customergroupid = '%1', वेबसाइट = < div class = ""notranslate"" > १ </div>, qty = < div वर्ग = ""notranslate"" > 2 </div>"
"Invalid data provided for tier_price","Invalid data provided for tier_price"
"Could not save group price","Could not save group price"
"Please provide valid data","Please provide valid data"
"Values of following attributes are invalid: %1","Values of following attributes are invalid: %1"
"We can't create writeable directory ""%1"".","We can't create writeable directory ""%1""."
"The file upload failed.","The file upload failed."
"The product has required options.","The product has required options."
"Something went wrong while processing the request.","अनुरोध संसाधित करते समय कुछ गलत हो गया।"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\AbstractType","%1 \Magento\Catalog\Model\Product\Type\AbstractType का विस्तार नहीं करता है"
"%1 doesn't extends \Magento\Catalog\Model\Product\Type\Price","%1 \Magento\Catalog\Model\Product\Type\Price का विस्तार नहीं करता है"
"Not Visible Individually","व्यक्तिगत रूप से दृश्यमान नहीं"
"Search","खोज"
"Catalog, Search","कैटलॉग, खोज"
"Something went wrong while removing products from the websites.","वेबसाइटों से उत्पादों को हटाते समय कुछ गलत हो गया।"
"Something went wrong while adding products to websites.","वेबसाइटों पर उत्पाद जोड़ते समय कुछ गलत हो गया।"
"Group with id ""%1"" does not exist.","Group with id ""%1"" does not exist."
"Attribute group that contains system attributes can not be deleted","Attribute group that contains system attributes can not be deleted"
"Collection provider is not registered","Collection provider is not registered"
"Unknown link type: %1","Unknown link type: %1"
"Provided link type ""%1"" does not exist","Provided link type ""%1"" does not exist"
"Invalid data provided for linked products","Invalid data provided for linked products"
"Product with SKU '%1' is not linked to product with SKU '%2'","SKU '%1' के साथ उत्पाद SKU '%2' के साथ उत्पाद से जुड़ा नहीं है"
"Product %1 doesn't have linked %2 as %3","उत्पाद %1 के पास लिंक नहीं है < div class = ""notranslate"" > १ </div> as %3"
"Requested product doesn't exist","Requested product doesn't exist"
"Product with SKU ""%1"" does not exist","Product with SKU ""%1"" does not exist"
"Invalid product data: %1","अमान्य उत्पाद डेटा:%1"
"Database connection error","डेटाबेस कनेक्शन त्रुटि"
"Database deadlock found when trying to get lock","डेटाबेस गतिरोध पाया जब ताला पाने की कोशिश कर रहा"
"Database lock wait timeout exceeded","डेटाबेस लॉक प्रतीक्षा समय समाप्त हो गया"
"Unable to remove product %1","Unable to remove product %1"
"Requested product does not support images.","Requested product does not support images."
"There are not websites for assign to product","उत्पाद को असाइन करने के लिए वेबसाइट नहीं हैं"
"Could not assign product ""%1"" to websites ""%2""","वेबसाइट ""%2"" पर उत्पाद ""%1"" असाइन नहीं किया जा सका"
"Could not save product ""%1"" with websites %2","वेबसाइट %2 के साथ उत्पाद ""%1"" को बचा नहीं सका"
"We cannot determine the field name.","हम क्षेत्र का नाम निर्धारित नहीं कर सकते।"
"Attribute '%1' is locked. %2","विशेषता '%1' बंद है। %2"
"Do not change the scope. %1","दायरा न बदलें। %1"
"Processor %1 doesn't implement BaseSelectProcessorInterface","प्रोसेसर %1 BaseSelectProcessorInterface को लागू नहीं करता है"
"A product type is not defined for the indexer.","इंडेक्सर के लिए एक उत्पाद प्रकार परिभाषित नहीं है।"
"%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice","%1 doesn't extend \Magento\Catalog\Model\ResourceModel\Product\Indexer\Price\DefaultPrice"
"Product with SKU %1 is not linked to product with SKU %2","SKU %1 के साथ उत्पाद SKU %2 के साथ उत्पाद से जुड़ा नहीं है"
"Multiple Select","एकाधिक चयन करें"
"Dropdown","ड्रॉप डाउन"
"%1 doesn't extend \Magento\Framework\Filter\Template","%1 \Magento\Framework\Filter\Template का विस्तार नहीं करता है"
"As low as","जितना कम"
"test","test"
"Some text is here.","Some text is here."
"Some exception","Some exception"
"Could not get extension attributes","एक्सटेंशन विशेषताएँ नहीं मिल सकीं"
"message","संदेश"
"fl","Fl"
"Lock wait timeout","लॉक वेट टाइमआउट"
"123","123"
"Images","इमेजिस"
"Select...","चयन..."
"Advanced Pricing","उन्नत मूल्य निर्धारण"
"Customer Group Price","ग्राहक समूह मूल्य"
"Customer Group","ग्राहक समूह"
"Special Price From","से विशेष मूल्य"
"To","सेवा मेरे"
"Done","पूर्ण"
"Product Alerts","उत्पाद अलर्ट"
"Alert stock","Alert stock"
"Alert Stock","Alert Stock"
"Alert price","Alert price"
"Alert Price","Alert Price"
"Add Selected","चुने हुए को जोड़ो"
"Select Attribute","विशेषता का चयन करें"
"Create New Attribute","नई विशेषता बनाएँ"
"Customizable Options","अनुकूलन विकल्प"
"Custom options let customers choose the product variations they want.","कस्टम विकल्प ग्राहकों को उनके इच्छित उत्पाद रूपांतर चुनने देते हैं।"
"Add Option","विकल्प जोड़ें"
"New Option","नया विकल्प"
"Select Product","उत्पाद का चयन करें"
"Option Title","विकल्प का शीर्षक"
"Add Value","मूल्य जोड़ें"
"Title","शीर्षक"
"Option Type","विकल्प का प्रकार"
"Required","आवश्यक"
"Price Type","मूल्य प्रकार"
"Max Characters","अधिकतम वर्ण"
"Compatible File Extensions","संगत फ़ाइल एक्सटेंशन"
"Enter separated extensions, like: png, jpg, gif.","Enter separated extensions, like: png, jpg, gif."
"Maximum Image Size","अधिकतम छवि आकार"
"Please leave blank if it is not an image.","कृपया खाली छोड़ दें यदि यह एक छवि नहीं है।"
"%1","%1"
"This item has weight","इस आइटम का वजन है"
"This item has no weight","इस आइटम का कोई वजन नहीं है"
"Set Product as New From","नए से उत्पाद सेट करें"
"Related Products, Up-Sells, and Cross-Sells","संबंधित उत्पाद, अप-सेल और क्रॉस-सेल"
"Related products are shown to customers in addition to the item the customer is looking at.","संबंधित उत्पादों को ग्राहकों को उस वस्तु के अतिरिक्त दिखाया जाता है जिसे ग्राहक देख रहा है।"
"Add Related Products","संबंधित उत्पाद जोड़ें"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","ग्राहक को जो उत्पाद दिख रहा है, उसके लिए एक pricier या उच्च-गुणवत्ता वाले विकल्प के रूप में ग्राहक को एक अप-सेल आइटम की पेशकश की जाती है।"
"Add Up-Sell Products","अप-सेल उत्पाद जोड़ें"
"Up-Sell Products","उत्पाद बेचते हैं"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","ये ""आवेग-खरीद"" उत्पाद खरीदारी की टोकरी के बगल में दिखाई देते हैं क्योंकि खरीदारी की टोकरी में पहले से ही वस्तुओं को क्रॉस-सेल करता है।"
"Add Cross-Sell Products","क्रॉस-सेल उत्पाद जोड़ें"
"Cross-Sell Products","क्रॉस-सेल उत्पाद"
"Add Selected Products","चयनित उत्पाद जोड़ें"
"Remove","निकालें"
"Thumbnail","थंबनेल"
"Actions","कार्रवाई"
"Schedule Update From","से अनुसूची अद्यतन"
"Product in Websites","वेबसाइट में उत्पाद"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","यदि आपकी Magento की स्थापना में कई वेबसाइट हैं, तो आप विशिष्ट साइटों पर उत्पाद का उपयोग करने के लिए गुंजाइश संपादित कर सकते हैं।"
"name","नाम"
"Copy Data from","से डेटा कॉपी करें"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","यदि कोई कस्टम पैरेंट श्रेणियां नहीं हैं, तो कृपया डिफ़ॉल्ट पैरेंट श्रेणी का उपयोग करें। आप <a href=""%1"" target=""_blank""> उत्पाद & gt; में किसी भी समय श्रेणी को पुन: असाइन कर सकते हैं; श्रेणियाँ </a>।"
"This operation can take a long time","इस ऑपरेशन में लंबा समय लग सकता है"
"Collapse All","सभी को संकुचित करें"
"Expand All","सभी का विस्तार करें"
"Please confirm site switching. All data that hasn't been saved will be lost.","कृपया साइट स्विचिंग की पुष्टि करें। सहेजे नहीं गए सभी डेटा खो जाएगा।"
"Use Default Value","डिफ़ॉल्ट मान का उपयोग करें"
"Manage Titles (Size, Color, etc.)","शीर्षक प्रबंधित करें (आकार, रंग, आदि)"
"Manage Options (Values of Your Attribute)","विकल्प प्रबंधित करें (आपके गुण का मूल्य)"
"Is Default","डिफ़ॉल्ट है"
"Sort Option","क्रमबद्ध विकल्प"
"Groups","समूह"
"Double click on a group to rename it.","नाम बदलने के लिए एक समूह पर डबल क्लिक करें।"
"Unassigned Attributes","निरुपित गुण"
"A name is required.","एक नाम की आवश्यकता है।"
"This group contains system attributes. Please move system attributes to another group and try again.","इस समूह में सिस्टम विशेषताएँ हैं। कृपया सिस्टम विशेषताओं को दूसरे समूह में ले जाएं और पुनः प्रयास करें।"
"Please select a node.","कृपया एक नोड चुनें।"
"Please enter a new group name.","एक नए समूह का नाम दर्ज करें।"
"An attribute group named ""/name/"" already exists.","""/ नाम /"" नाम का एक विशेषता समूह पहले से मौजूद है।"
"Sorry, we're unable to complete this request.","क्षमा करें, हम इस अनुरोध को पूरा करने में असमर्थ हैं।"
"You can't remove attributes from this attribute set.","आप इस विशेषता सेट से विशेषताएँ नहीं निकाल सकते।"
"Custom Options","कस्टम विकल्प"
"This is a required option.","यह एक आवश्यक विकल्प है।"
"The field isn't complete.","क्षेत्र पूर्ण नहीं है।"
"Compatible file extensions to upload","अपलोड करने के लिए संगत फ़ाइल एक्सटेंशन"
"Maximum image width","अधिकतम छवि चौड़ाई"
"Maximum image height","अधिकतम छवि ऊंचाई"
"Maximum number of characters:","अधिकतम वर्ण:"
"start typing to search template","खोज टेम्प्लेट टाइप करना शुरू करें"
"Product online","उत्पाद ऑनलाइन"
"Product offline","उत्पाद ऑफ़लाइन"
"Product online status","उत्पाद ऑनलाइन स्थिति"
"Manage Stock","स्टॉक प्रबंधित करें"
"Qty","मात्रा"
"Out-of-Stock Threshold","आउट-ऑफ-स्टॉक थ्रेशोल्ड"
"Minimum Qty Allowed in Shopping Cart","खरीदारी की टोकरी में न्यूनतम मात्रा"
"Maximum Qty Allowed in Shopping Cart","शॉपिंग कार्ट में अधिकतम अनुमति दी गई"
"Qty Uses Decimals","मात्रा का उपयोग करता है दशमलव"
"Backorders","backorders"
"Notify for Quantity Below","नीचे मात्रा के लिए सूचित करें"
"Enable Qty Increments","क्यूटी इंक्रीमेंट को सक्षम करें"
"Qty Increments","मात्रा वृद्धि"
"Stock Availability","स्टॉक की उपलब्धता"
"In Stock","स्टॉक में"
"Out of Stock","स्टॉक ख़त्म"
"Add Product To Websites","वेबसाइट में उत्पाद जोड़ें"
"Remove Product From Websites","वेबसाइट से उत्पाद निकालें"
"To hide an item in catalog or search results, set the status to ""Disabled"".","किसी आइटम को कैटलॉग या खोज परिणामों में छिपाने के लिए, स्थिति को ""अक्षम"" पर सेट करें।"
"We can't save custom-defined options for bundles with dynamic pricing.","हम गतिशील मूल्य निर्धारण के साथ बंडलों के लिए कस्टम-परिभाषित विकल्प नहीं बचा सकते हैं।"
"Delete Custom Option","कस्टम विकल्प हटाएं"
"Sort Custom Options","कस्टम विकल्प को क्रमबद्ध करें"
"Input Type","निवेष का प्रकार"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","कस्टम विकल्प को क्रमबद्ध करें"
"Item Price","सामान की क़ीमत"
"Action","कार्य"
"and above","और ऊपर"
"Delete Tier","टियर डिलीट करें"
"Product In Websites","वेबसाइट में उत्पाद"
"(Copy data from: %1)","(कॉपी डेटा: %1)"
"Browse to find or drag image here","यहां चित्र खोजने या खींचने के लिए ब्राउज़ करें"
"Delete image","छवि हटाएं"
"Hidden","छिपा हुआ"
"Alt Text","वैकल्पिक शब्द"
"Role","भूमिका"
"Image Size","छवि का आकार"
"{size}","{size}"
"Image Resolution","छवि वियोजन"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","उत्पाद पृष्ठ से छिपाएँ"
"Allow Multiple Boxes for Shipping","शिपिंग के लिए एकाधिक बॉक्स की अनुमति दें"
"start typing to search attribute","खोज विशेषता लिखना शुरू करें"
"Basic Settings","मूल सेटिंग्स"
"Advanced Settings","एडवांस सेटिंग"
"Changes have been made to this section that have not been saved.","इस खंड में परिवर्तन किए गए हैं जो सहेजे नहीं गए हैं।"
"This tab contains invalid data. Please resolve this before saving.","इस टैब में अमान्य डेटा है। कृपया इसे सहेजने से पहले हल करें।"
"Mass Actions","मास क्रिया"
"Select All","सभी का चयन करें"
"Unselect All","सभी का चयन रद्द"
"Select Visible","दर्शनीय का चयन करें"
"Unselect Visible","अचयनित दृश्यमान"
"Special Price","विशेष मूल्य"
"Regular Price","नियमित मूल्य"
"Buy %1 for: ","इसके लिए %1 खरीदें: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","%2 प्रत्येक के लिए %1 खरीदें और <strong class = ""लाभ""> <span class = ""प्रतिशत tier-%3>> & nbsp;%4 </ span>%</ strong> सहेजें"
"Buy %1 for %2 each","%2 के लिए %1 खरीदें"
"Shop By","द्वारा खरीदारी"
"Shopping Options","खरीदारी के विकल्प"
"Compare Products","उत्पाद की तुलना करें"
"Print This Page","इस पृष्ठ का मुद्रण कीजिए"
"Remove Product","उत्पाद निकालें"
"Add to Cart","कार्ट में डालें"
"In stock","स्टॉक में"
"Out of stock","स्टॉक ख़त्म"
"Add to Wish List","इच्छा सूचि में डालें"
"You have no items to compare.","आपके पास तुलना करने के लिए कोई आइटम्स नहीं है।"
"Remove This Item","इस सामान को हटाओ"
"Compare","तुलना"
"Clear All","सभी साफ करें"
"Prev","पिछला"
"Next","अगला"
"We can't find products matching the selection.","चयन से मेल खाते कोई उत्पादों रहे हैं।"
"Learn More","और अधिक जानें"
"Add to Compare","तुलना में जोड़ें"
"We found other products you might like!","हमें आपके द्वारा पसंद किए जा सकने वाले अन्य उत्पाद मिले!"
"More Choices:","और अधिक विकल्प:"
"Check items to add to the cart or","कार्ट में जोड़ने के लिए आइटम चेक करें या"
"select all","सभी का चयन करें"
"Items %1-%2 of %3","आइटंस < div class = ""notranslate"" > 0 </div>-< div क्लास = ""notranslate"" > 1 </div> < div class = ""notranslate"" > 2 </div>"
"%1 Item","%1 समान"
"%1 Items","%1 आइटम"
"Show","प्रदर्शन"
"per page","प्रति पृष्ठ"
"Sort By","इसके अनुसार क्रमबद्ध करें"
"Set Ascending Direction","आरोही दिशा निर्धारित करें"
"Set Descending Direction","अवरोही दिशा निर्धारित करें"
"View as","के रूप में देखें"
"More Information","अधिक जानकारी"
"Loading...","Loading..."
"* Required Fields","* आवश्यक फील्ड्स"
"Availability","उपलब्धता"
"Warning message","चेतावनी संदेश"
"Submit","Submit"
"We don't recognize or support this file extension type.","विषयों जावास्क्रिप्ट और सीएसएस एक फ़ाइल के लिए संयुक्त फ़ाइलें ।"
"Configure Product","उत्पाद कॉन्फ़िगर करें"
"OK","ठीक"
"This value does not follow the specified format (for example, 200x300).","This value does not follow the specified format (for example, 200x300)."
"Select type of option.","विकल्प का प्रकार चुनें।"
"Please add rows to option.","कृपया विकल्पों में पंक्तियाँ जोड़ें।"
"Please select items.","Please select items."
"Choose existing category.","मौजूदा श्रेणी चुनें।"
"Image Detail","छवि विस्तार"
"Adding...","जोड़ रहा है ..."
"Added","जोड़ा गया"
"does not implement Storage Interface","संग्रहण इंटरफ़ेस लागू नहीं करता है"
"unselect all","सभी का चयन रद्द"
"Inventory","इन्वेंटरी"
"Catalog Section","कैटलॉग अनुभाग"
"Small","छोटा"
"Main","मुख्‍य"
"Custom image","कस्टम छवि"
"Product Fields Auto-Generation","उत्पाद फ़ील्ड ऑटो-जेनरेशन"
"Mask for SKU","SKU के लिए मास्क"
"Use {{name}} as Product Name placeholder","उत्पाद नाम प्लेसहोल्डर के रूप में {{नाम}} का उपयोग करें"
"Mask for Meta Title","मेटा शीर्षक के लिए मास्क"
"Mask for Meta Keywords","मेटा कीवर्ड्स के लिए मास्क"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","{{name}} as production Name या {{sku}} उत्पाद sku प्लेसहोल्डर्स के रूप में उपयोग करें"
"Mask for Meta Description","मेटा विवरण के लिए मास्क"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","उत्पाद नाम और उत्पाद विवरण प्लेसहोल्डर के रूप में {{नाम}} और {{विवरण}} का उपयोग करें"
"Recently Viewed/Compared Products","हाल ही में देखा / तुलना उत्पादों"
"Lifetime of products in Recently Viewed Widget","हाल ही में देखे गए विजेट में उत्पादों का जीवनकाल"
"Lifetime of products in Recently Compared Widget","हाल ही में तुलना की गई विजेट में उत्पादों का जीवनकाल"
"Synchronize widget products with backend storage","बैकएंड स्टोरेज के साथ विजेट उत्पादों को सिंक्रनाइज़ करें"
"Storefront","स्टोर"
"List Mode","सूची मोड"
"Products per Page on Grid Allowed Values","ग्रिड अनुमत मूल्यों पर प्रति पृष्ठ उत्पाद"
"Comma-separated.","अल्पविराम से अलग।"
"Products per Page on Grid Default Value","ग्रिड डिफ़ॉल्ट मूल्य पर प्रति पृष्ठ उत्पाद"
"Must be in the allowed values list","Must be in the allowed values list"
"Products per Page on List Allowed Values","उत्पादों की प्रति पृष्ठ सूची अनुमत मूल्यों पर"
"Products per Page on List Default Value","सूची डिफ़ॉल्ट मूल्य पर प्रति पृष्ठ उत्पाद"
"Use Flat Catalog Category","फ्लैट कैटलॉग श्रेणी का उपयोग करें"
"Use Flat Catalog Product","फ्लैट कैटलॉग उत्पाद का उपयोग करें"
"Product Listing Sort by","द्वारा सूचीबद्ध उत्पादों की सूची"
"Allow All Products per Page","प्रति पृष्ठ सभी उत्पादों को अनुमति दें"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Whether to show ""All"" option in the ""Show X Per Page"" dropdown"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Product Image Placeholders","उत्पाद छवि प्लेसहोल्डर"
"Search Engine Optimization","खोज इंजिन अनुकूलन"
"Page Title Separator","पृष्ठ शीर्षक विभाजक"
"Use Canonical Link Meta Tag For Categories","श्रेणियों के लिए कैननिकल लिंक मेटा टैग का उपयोग करें"
"Use Canonical Link Meta Tag For Products","उत्पादों के लिए कैननिकल लिंक मेटा टैग का उपयोग करें"
"Catalog Price Scope","कैटलॉग मूल्य स्कोप"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","यह आधार मुद्रा क्षेत्र (""मुद्रा सेटअप""> ""मुद्रा विकल्प""> ""आधार मुद्रा"") को परिभाषित करता है।"
"Category Top Navigation","श्रेणी शीर्ष नेविगेशन"
"Maximal Depth","अधिकतम गहराई"
"Date & Time Custom Options","दिनांक और समय कस्टम विकल्प"
"Use JavaScript Calendar","जावास्क्रिप्ट कैलेंडर का उपयोग करें"
"Date Fields Order","दिनांक फ़ील्ड आदेश"
"Time Format","समय प्रारूप"
"Year Range","वर्ष श्रेणी"
"Please use a four-digit year format.","कृपया चार अंकों के वर्ष के प्रारूप का उपयोग करें।"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Top Level Category","शीर्ष स्तर की श्रेणी"
"Product Info Column","उत्पाद जानकारी कॉलम"
"Block after Info Column","इंफो कॉलम के बाद ब्लॉक करें"
"Product Flat Data","उत्पाद फ्लैट डेटा"
"Reorganize EAV product structure to flat structure","समतल संरचना के लिए EAV उत्पाद संरचना का पुनर्गठन करें"
"Category Flat Data","श्रेणी फ्लैट डेटा"
"Reorganize EAV category structure to flat structure","समतल संरचना को EAV श्रेणी संरचना का पुनर्गठन करें"
"Category Products","श्रेणी के उत्पाद"
"Indexed category/products association","अनुक्रमित श्रेणी / उत्पाद संघ"
"Product Categories","उत्पाद श्रेणियाँ"
"Indexed product/categories association","अनुक्रमित उत्पाद / श्रेणियां संघ"
"Product Price","उत्पाद की कीमत"
"Index product prices","सूचकांक उत्पाद की कीमतें"
"Product EAV","उत्पाद ई.वी.ए."
"Index product EAV","सूचकांक उत्पाद ई.ए.वी."
"Catalog New Products List","कैटलॉग नए उत्पादों की सूची"
"List of Products that are set as New","उत्पादों की सूची जो नई के रूप में सेट की गई है"
"Display Type","प्रदर्शन प्रकार"
"All products - recently added products, New products - products marked as new","सभी उत्पाद - हाल ही में जोड़े गए उत्पाद, नए उत्पाद - नए के रूप में चिह्नित उत्पाद"
"All products","सारे उत्पाद"
"New products","नये उत्पाद"
"Display Page Control","पृष्ठ नियंत्रण प्रदर्शित करें"
"Number of Products per Page","प्रति पृष्ठ उत्पादों की संख्या"
"Number of Products to Display","प्रदर्शित करने के लिए उत्पादों की संख्या"
"Template","खाका"
"New Products Grid Template","नए उत्पाद ग्रिड टेम्पलेट"
"New Products List Template","नए उत्पादों की सूची टेम्पलेट"
"New Products Images and Names Template","नए उत्पाद छवियाँ और नाम टेम्पलेट"
"New Products Names Only Template","नए उत्पाद नाम केवल टेम्पलेट"
"New Products Images Only Template","नए उत्पाद छवियाँ केवल टेम्पलेट"
"Cache Lifetime (Seconds)","कैश लाइफटाइम (सेकंड्स)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","कैटलॉग उत्पाद लिंक"
"Link to a Specified Product","एक निर्दिष्ट उत्पाद का लिंक"
"Select Product...","उत्पाद का चयन करें ..."
"Anchor Custom Text","लंगर कस्टम पाठ"
"If empty, we'll use the product name here.","यदि खाली है, तो हम यहां उत्पाद नाम का उपयोग करेंगे।"
"Anchor Custom Title","एंकर कस्टम शीर्षक"
"Product Link Block Template","उत्पाद लिंक ब्लॉक टेम्पलेट"
"Product Link Inline Template","उत्पाद लिंक इनलाइन टेम्पलेट"
"Catalog Category Link","कैटलॉग श्रेणी लिंक"
"Link to a Specified Category","एक निर्दिष्ट श्रेणी से लिंक"
"Select Category...","श्रेणी का चयन करें..."
"If empty, we'll use the category name here.","यदि खाली है, तो हम यहाँ श्रेणी नाम का उपयोग करेंगे।"
"Category Link Block Template","श्रेणी लिंक ब्लॉक टेम्पलेट"
"Category Link Inline Template","श्रेणी लिंक इनलाइन टेम्पलेट"
"Recently Viewed Products","अभी देखे उत्पाद"
"List of Products Recently Viewed by Visitor","हाल ही में आगंतुक द्वारा देखे गए उत्पादों की सूची"
"UI Component","यूआई घटक"
"Number of Products to display","प्रदर्शित करने के लिए उत्पादों की संख्या"
"Product attributes to show","उत्पाद विशेषताएँ दिखाने के लिए"
"Image","छवि"
"Learn More Link","अधिक लिंक जानें"
"Buttons to show","दिखाने के लिए बटन"
"Add to Wishlist","इच्छा सूचि में डालें"
"Viewed Products Grid Template","देखा उत्पाद ग्रिड टेम्पलेट"
"Viewed Products List Template","देखे गए उत्पादों की सूची टेम्पलेट"
"Viewed Products Sidebar Template","देखा उत्पाद साइडबार टेम्पलेट"
"Recently Compared Products","हाल ही में तुलनात्मक उत्पाद"
"List of Products Recently Compared by Visitor","हाल ही में आगंतुक की तुलना में उत्पादों की सूची"
"Compared Products Grid Template","तुलना उत्पाद ग्रिड टेम्पलेट"
"Compared Products List Template","तुलना उत्पाद सूची टेम्पलेट"
"Set","सेट"
"Category Information","श्रेणी की जानकारी"
"Enable Category","श्रेणी सक्षम करें"
"Include in Menu","मेनू में शामिल करें"
"Content","सामग्री"
"Category Image","श्रेणी छवि"
"Description","विवरण"
"Add CMS Block","CMS ब्लॉक जोड़ें"
"Display Settings","प्रदर्शन सेटिंग्स"
"Display Mode","प्रदर्शन प्रणाली"
"Anchor","लंगर"
"Available Product Listing Sort By","उपलब्ध उत्पाद लिस्टिंग द्वारा क्रमबद्ध करें"
"Use All","सभी का उपयोग करें"
"Default Product Listing Sort By","डिफ़ॉल्ट उत्पाद लिस्टिंग द्वारा क्रमबद्ध करें"
"Layered Navigation Price Step","स्तरित नेविगेशन मूल्य कदम"
"URL Key","URL कुंजी"
"Meta Title","मेटा शीर्षक"
"Meta Keywords","मेटा कीवर्ड"
"Meta Description","मेटा विवरण"
"Products in Category","श्रेणी में उत्पाद"
"Design","डिज़ाइन"
"Theme","विषय"
"Layout","ख़ाका"
"Layout Update XML","लेआउट अपडेट XML"
"Apply Design to Products","उत्पादों के लिए डिजाइन लागू करें"
"Schedule Design Update","अनुसूची डिजाइन अद्यतन"
"AttributeSetText","AttributeSetText"
"StatusText","StatusText"
"Product Image Watermarks","उत्पाद छवि वॉटरमार्क"
"Base","आधार"
"Allowed file types: jpeg, gif, png.","अनुमत फ़ाइल प्रकार: jpeg, gif, png।"
"Image Opacity","छवि अपारदर्शिता"
"Example format: 200x300.","उदाहरण स्वरूप: 200x300"
"Image Position","छवि स्थिति"
"Attribute Properties","गुण गुण"
"Attribute Label","लेबल संलग्न करें"
"Catalog Input Type for Store Owner","संग्रह स्वामी के लिए कैटलॉग इनपुट प्रकार"
"Values","मान"
"Add this attribute to the list of column options in the product grid.","उत्पाद ग्रिड में कॉलम विकल्पों की सूची में इस विशेषता को जोड़ें।"
"Add this attribute to the list of filter options in the product grid.","इस विशेषता को उत्पाद ग्रिड में फ़िल्टर विकल्पों की सूची में जोड़ें।"
"System","सिस्‍टम"
"All Store Views","सभी स्टोर दृश्य"
"Delete selected items?","चयनित आइटम हटाएं?"
"Delete items","आइटम हटाएं"
"Change status","अवस्था बदलो"
"Enable","सक्षम"
"Disable","अक्षम"
"Update attributes","अद्यतन विशेषताएँ"
"Overview","अवलोकन"
"Skip to the end of the images gallery","छवियों गैलरी के अंत तक छोड़ें"
"Skip to the beginning of the images gallery","छवियों गैलरी की शुरुआत के लिए छोड़ दें"
"Details","विवरण"
"Recently Compared","हाल ही में तुलना की"
"Add To Cart","कार्ट में डालें"
"Add To Compare","तुलना करने के लिए जोड़ें"
"Learn more","और अधिक जानें"
"Recently Viewed","हाल में ही देखा गया"
"Save Category","Save Category"
"Delete Category","Delete Category"
"New Subcategory","New Subcategory"
"New Root Category","New Root Category"
"Set Root Category for Store","Set Root Category for Store"
"Custom Design","Custom Design"
"Category Data","Category Data"
"Not shared with other products","Not shared with other products"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Depends on design theme","Depends on design theme"
"We saved the price alert subscription.","We saved the price alert subscription."
"We saved the stock notification.","We saved the stock notification."
"Images and Videos","Images and Videos"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"There was a category move error. %1","There was a category move error. %1"
"You moved the category","You moved the category"
"This product no longer exists.","This product no longer exists."
"We can't find the image file.","We can't find the image file."
"productFactory is already set","productFactory is already set"
"Could not save product option","Could not save product option"
"Product option with id %1 does not exist","Product option with id %1 does not exist"
"Are you sure you want to delete this category?","क्या आपको पूरा यकीन है कि आप इस भाग को हटाना चाहते हैं?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Set root category for this store in the <a href=""%1"">configuration</a>."
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
