"Root","Корень"
"Related Products, Up-Sells, and Cross-Sells","Связанные продукты, вверх продажи и кросс продажи"
"Related products are shown to customers in addition to the item the customer is looking at.","Связанные продукты показаны клиентам в дополнение к тому, на что смотрит клиент."
"Add Related Products","Добавить похожие продукты"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Элемент вверх продажи предлагается заказчику более дорогих или более высокого качества альтернативы нужный клиент на продукт."
"Add Up-Sell Products","Добавить вверх продажи Товары"
"Up-Sell Products","Вверх продажи Товары"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Эти продукты «импульс купить» появляются рядом с корзиной как кросс продажи элементов уже в корзине."
"Add Cross-Sell Products","Добавить продукты кросс продажи"
"Cross-Sell Products","Кросс продажи Товары"
"Add Selected Products","Добавить Выбранные Продукты"
"Remove","Удалить"
"Thumbnail","Мини-изображение"
"Actions","Действия"
"Schedule Update From","Расписание обновления от"
"Product in Websites","Продукт на веб-сайтах"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Если ваша установка Magento имеет несколько веб-сайтов, вы можете редактировать область использования продукта на определенных сайтах."
"name","название"
"Copy Data from","Копировать данные из"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Если существует без пользовательских родительской категории, пожалуйста, используйте по умолчанию родительской категории. Вы можете переназначить категорию в любое время в <a href=""%1"" target=""_blank"">продукты &gt; категории</a>."
"This operation can take a long time","Эта операция может занять много времени"
"Collapse All","Свернуть все"
"Expand All","Развернуть всё"
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
"Use Default Value","Использовать значение по умолчанию"
"Manage Titles (Size, Color, etc.)","Управление названиями (размер, цвет и т. д.)"
"Manage Options (Values of Your Attribute)","Управление параметрами (значения атрибута)"
"Is Default","По умолчанию"
"Sort Option","Вариант сортировки"
"Groups","Группы"
"Double click on a group to rename it.","Дважды щелкните по группе, чтобы переименовать ее."
"Unassigned Attributes","Неназначенные атрибуты"
"A name is required.","Требуется имя."
"This group contains system attributes. Please move system attributes to another group and try again.","Эта группа содержит системные атрибуты. Переместите системные атрибуты в другую группу и повторите попытку."
"Please select a node.","Пожалуйста, выберите узел."
"Please enter a new group name.","Пожалуйста, введите имя новой группы."
"An attribute group named ""/name/"" already exists.","Группа атрибутов с именем «имя /» уже существует."
"Sorry, we're unable to complete this request.","Sorry, we're unable to complete this request."
"You can't remove attributes from this attribute set.","You can't remove attributes from this attribute set."
"Custom Options","Пользовательские настройки"
"This is a required option.","Это обязательный параметр."
"The field isn't complete.","Поле не является полным."
"Compatible file extensions to upload","Совместимые расширения файлов для загрузки"
"Maximum image width","Максимальная ширина изображения"
"Maximum image height","Максимальная высота изображения"
"Maximum number of characters:","Максимальное количество символов:"
"start typing to search template","начните ввод для поиска шаблона"
"Product online","Товар онлайн"
"Product offline","Товар оффлайн"
"Product online status","Онлайн статус продукта"
"Manage Stock","Управление наличием"
"Qty","Кол-во"
"Out-of-Stock Threshold","Порог из запасов"
"Minimum Qty Allowed in Shopping Cart","Минимальное Кол-во в корзину"
"Maximum Qty Allowed in Shopping Cart","Максимальное кол-во в корзину"
"Qty Uses Decimals","Количество использует десятичные дроби"
"Backorders","Предзаказы"
"Notify for Quantity Below","Уведомления для количества ниже"
"Enable Qty Increments","Включение Qty с шагом"
"Qty Increments","Qty с шагом"
"Stock Availability","Наличие на складе"
"In Stock","В наличии"
"Out of Stock","Нет в наличии"
"Add Product To Websites","Добавить продукт для веб-сайтов"
"Remove Product From Websites","Удалить продукт из веб-сайтов"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Чтобы скрыть элемент в результатах поиска или каталога, установите состояние «Запрещено»."
"We can't save custom-defined options for bundles with dynamic pricing.","Мы не можем сохранить пользовательские параметры для связки с динамической калькуляцией цены."
"Delete Custom Option","Удаление пользовательского параметра"
"Sort Custom Options","Пользовательские параметры сортировки"
"Input Type","Тип ввода"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span></span> %2 <span>px.</span>"
"Sort Custom Option","Сортировка пользовательских настроек"
"Item Price","Цена товара"
"Action","Действие"
"and above","и выше"
"Delete Tier","Удалить уровень"
"Product In Websites","Продукт на веб-сайтах"
"(Copy data from: %1)","(Копирование данных из: %1)"
"Browse to find or drag image here","Найдите или перетащите изображение здесь"
"Delete image","Удалить изображение"
"Hidden","Скрытое"
"Alt Text","Замещающий текст"
"Role","Роль"
"Image Size","Размер изображения"
"{size}","{size}"
"Image Resolution","Разрешение изображения"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","Скрыть от страницы товара"
"Allow Multiple Boxes for Shipping","Разрешить несколько коробок для доставки"
"start typing to search attribute","начать вводить атрибут поиска"
"Basic Settings","Основные настройки"
"Advanced Settings","Расширенные настройки"
"Changes have been made to this section that have not been saved.","Были внесены изменения для этого раздела, которые не были сохранены."
"This tab contains invalid data. Please resolve this before saving.","Эта вкладка содержит недопустимые данные. Пожалуйста, решите проблему перед сохранением."
"Mass Actions","Массовые действия"
"Select All","Выбрать всё"
"Unselect All","Снять все выделения"
"Select Visible","Выделить видимые"
"Unselect Visible","Снять выделение с видимых"
"Special Price","Специальная цена"
"Regular Price","Обычная цена"
"Buy %1 for: ","Купить %1 для: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Купить %1 на %2 и <strong class=""benefit"">сохранить<span class=""percent tier-%3"">&nbsp;%4<div class=""notranslate"">%</div></strong>"
"Buy %1 for %2 each","Купить %1 для %2"
"Shop By","Магазин по"
"Shopping Options","Варианты покупок"
"Compare Products","Сравнение продуктов"
"Print This Page","Распечатать эту страницу"
"Remove Product","Удалить товар"
"Add to Cart","Добавить в корзину"
"In stock","В наличии"
"Out of stock","Нет в наличии"
"Add to Wish List","Добавить в список желаний"
"You have no items to compare.","У вас нет товаров для сравнения."
"Remove This Item","Удалить этот элемент"
"Compare","Сравнить"
"Clear All","Очистить все"
"Prev","Назад"
"Next","Следующее"
"We can't find products matching the selection.","Мы не можем найти продукты, соответствующие выбору."
"Learn More","Подробнее"
"Add to Compare","Добавить в сравнение"
"We found other products you might like!","Мы нашли другие продукты, которые вам могут понравиться!"
"More Choices:","Больше вариантов:"
"Check items to add to the cart or","Проверьте продукты для добавления в корзину или"
"select all","выбрать все"
"Items %1-%2 of %3","Элементы %1-%2 из %3"
"%1 Item","элемент %1"
"%1 Items","%1 элементов"
"Show","Показать"
"per page","на странице"
"Sort By","Сортировать по"
"Set Ascending Direction","Задать направление по возрастанию"
"Set Descending Direction","Задать направление по убыванию"
"View as","Посмотреть, как"
"More Information","Подробная информация"
"Loading...","Загрузка..."
"* Required Fields","* Обязательные поля"
"Availability","Наличие"
"Warning message","Предупреждающее сообщение"
"Submit","Отправить"
"We don't recognize or support this file extension type.","We don't recognize or support this file extension type."
"Configure Product","Настроить продукт"
"OK","OK"
"This value does not follow the specified format (for example, 200x300).","This value does not follow the specified format (for example, 200x300)."
"Select type of option.","Выберите тип опции."
"Please add rows to option.","Пожалуйста, добавьте строки к варианту."
"Please select items.","Пожалуйста, выберите элементы."
"Choose existing category.","Выберите существующую категорию."
"Image Detail","Детали изображения"
"Adding...","Добавление..."
"Added","Добавлено"
"does not implement Storage Interface","не реализуют интерфейс хранения"
"unselect all","снять все выделения"
"Inventory","Запасы"
"Catalog Section","Раздел каталога"
"Small","Маленький"
"Main","Главная"
"Custom image","Свое изображение"
"Product Fields Auto-Generation","Автоматическое создание поля продукта"
"Mask for SKU","Маска для SKU"
"Use {{name}} as Product Name placeholder","Используйте {{name}} в качестве заполнителя название продукта"
"Mask for Meta Title","Маска для мета название"
"Mask for Meta Keywords","Маска для мета ключевые слова"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Используйте {{name}} в качестве имени продукта или {{sku}} местозаполнителями SKU продукта"
"Mask for Meta Description","Маска для мета-описания"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Используйте {{name}} и {{description}} в качестве заполнителей название продукта и описание продукта"
"Recently Viewed/Compared Products","Недавно Просмотрели по сравнению продуктов"
"Lifetime of products in Recently Viewed Widget","Срок службы изделий в недавно Просмотрели виджет"
"Lifetime of products in Recently Compared Widget","Срок службы изделий в недавно по сравнению виджет"
"Synchronize widget products with backend storage","Синхронизировать виджет продуктов с бэкэнд хранения"
"Storefront","Витрина"
"List Mode","Режим списка"
"Products per Page on Grid Allowed Values","Товаров на странице на сетке допустимые значения"
"Comma-separated.","Разделенные запятой."
"Products per Page on Grid Default Value","Товаров на странице сетки значение по умолчанию"
"Must be in the allowed values list","Должен быть в списке допустимых значений"
"Products per Page on List Allowed Values","Товаров на странице в списке допустимых значений"
"Products per Page on List Default Value","Товаров на странице в списке значение по умолчанию"
"Use Flat Catalog Category","Использовать плоский каталог категории"
"Use Flat Catalog Product","Использовать плоский Каталог продукции"
"Product Listing Sort by","Сортировать список продуктов"
"Allow All Products per Page","Разрешить все продуктов на странице"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Показывать вариант «Все» в раскрывающемся списке «Показать X на страницу»"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Например {{Сми url=""path/to/image.jpg»}} {{кожи url=""path/to/picture.gif»}}. Динамический директивы синтаксического анализа воздействия каталог производительность."
"Product Image Placeholders","Местозаполнители изображений продукта"
"Search Engine Optimization","Поисковая оптимизация"
"Page Title Separator","Разделитель заголовка страницы"
"Use Canonical Link Meta Tag For Categories","Использование тега мета каноническую ссылку для категории"
"Use Canonical Link Meta Tag For Products","Использование тега мета каноническую ссылку для продуктов"
"Catalog Price Scope","Каталог цен область"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Это определяет область базовой валюты («Настройка валют» > «Валютные опции» > «Базовая валюта»)."
"Category Top Navigation","Верхняя навигация категории"
"Maximal Depth","Максимальная глубина"
"Date & Time Custom Options","Дата & время пользовательские параметры"
"Use JavaScript Calendar","Использование JavaScript календарь"
"Date Fields Order","Порядок полей Дата"
"Time Format","Формат времени"
"Year Range","Диапазон лет"
"Please use a four-digit year format.","Просьба используйте четырехзначный формат."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Top Level Category","Топ категории"
"Product Info Column","Информация в столбце Product"
"Block after Info Column","Блок после столбца информация"
"Product Flat Data","Плоский данные продукта"
"Reorganize EAV product structure to flat structure","Реорганизовать структуру продукта EAV плоской структуры"
"Category Flat Data","Плоский данные категории"
"Reorganize EAV category structure to flat structure","Реорганизовать структуру категории EAV плоской структуры"
"Category Products","Товары категории"
"Indexed category/products association","Ассоциация индексированной категории/продукция"
"Product Categories","Категории продуктов"
"Indexed product/categories association","Индексированные продукта/категории Ассоциация"
"Product Price","Цена продукта"
"Index product prices","Цены на индекс товар"
"Product EAV","Продукта EAV"
"Index product EAV","Индекс продукта EAV"
"Catalog New Products List","Каталог список новых продуктов"
"List of Products that are set as New","Список продуктов, которые установлены как новые"
"Display Type","Тип дисплея"
"All products - recently added products, New products - products marked as new","Все продукты - недавно добавленные продукты, Новые продукты - продукция, обозначенная как новая"
"All products","Все товары"
"New products","Новые товары"
"Display Page Control","Контроль экранной страницы"
"Number of Products per Page","Количество продуктов на страницу"
"Number of Products to Display","Количество продуктов для отображения"
"Template","Шаблон"
"New Products Grid Template","Новый шаблон сетки продуктов"
"New Products List Template","Шаблон новых продуктов"
"New Products Images and Names Template","Шаблоны с изображениями и именами новых продуктов"
"New Products Names Only Template","Новый шаблон только названия продуктов"
"New Products Images Only Template","Новый шаблон только изображения продукции"
"Cache Lifetime (Seconds)","Время жизни кэша (в секундах)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","Каталог продукта ссылка"
"Link to a Specified Product","Ссылка на указанный продукт"
"Select Product...","Выберите продукт..."
"Anchor Custom Text","Якорь текст"
"If empty, we'll use the product name here.","Если параметр пуст, мы будем использовать имя продукта здесь."
"Anchor Custom Title","Пользовательский заголовок якорь"
"Product Link Block Template","Шаблон блок ссылок продукта"
"Product Link Inline Template","Ссылка продукта встроенного шаблона"
"Catalog Category Link","Категория ссылки каталога"
"Link to a Specified Category","Ссылка на указанной категории"
"Select Category...","Выберите категорию..."
"If empty, we'll use the category name here.","Если параметр пуст, мы будем использовать имя категории здесь."
"Category Link Block Template","Категория ссылки блок шаблона"
"Category Link Inline Template","Категория ссылки встроенного шаблона"
"Recently Viewed Products","Недавно просмотренные товары"
"List of Products Recently Viewed by Visitor","Список товаров, недавно просматривал посетитель"
"UI Component","Компонент пользовательского интерфейса"
"Number of Products to display","Количество товаров для отображения"
"Product attributes to show","Показать атрибуты продукта"
"Image","Изображение"
"Learn More Link","Узнайте больше ссылка"
"Buttons to show","Кнопки Показать"
"Add to Wishlist","Добавить в Список желаний"
"Viewed Products Grid Template","Шаблон ""Сетка"" просмотренные товары"
"Viewed Products List Template","Шаблон списка просмотренные товары"
"Viewed Products Sidebar Template","Просмотренные товары боковой шаблона"
"Recently Compared Products","Недавно по сравнению продуктов"
"List of Products Recently Compared by Visitor","Список продуктов недавно сравнивающихся посетителем"
"Compared Products Grid Template","Шаблон ""Сетка"" по сравнению продуктов"
"Compared Products List Template","По сравнению шаблон списка продуктов"
"Set","Задать"
"Category Information","Категории информации"
"Enable Category","Включить категорию"
"Include in Menu","Включить в меню"
"Content","Контент"
"Category Image","Изображение категории"
"Description","Описание"
"Add CMS Block","Добавьте блок CMS"
"Display Settings","Параметры отображения"
"Display Mode","Режим отображения"
"Anchor","Якорь"
"Available Product Listing Sort By","Available Product Listing Sort By"
"Use All","Использовать все"
"Default Product Listing Sort By","Default Product Listing Sort By"
"Layered Navigation Price Step","Слоистых навигации Цена шаг"
"URL Key","Ключ URL-адреса"
"Meta Title","Мета-заголовок"
"Meta Keywords","Мета Ключевые Слова"
"Meta Description","Мета Описание"
"Products in Category","Продукты в категории"
"Design","Дизайн"
"Theme","Тема"
"Layout","Раскладка"
"Layout Update XML","Обновление макета XML"
"Apply Design to Products","Применить дизайн продукции"
"Schedule Design Update","График дизайн обновление"
"AttributeSetText","AttributeSetText"
"StatusText","StatusText"
"Product Image Watermarks","Продукт изображений водяных знаков"
"Base","Основа"
"Allowed file types: jpeg, gif, png.","Допустимые типы файлов: jpeg, gif, png."
"Image Opacity","Непрозрачность изображения"
"Example format: 200x300.","Пример формат: 200 x 300."
"Image Position","Положение изображения"
"Attribute Properties","Свойства атрибута"
"Attribute Label","Метка атрибута"
"Catalog Input Type for Store Owner","Входной тип каталога для владелец магазина"
"Values","Значения"
"Add this attribute to the list of column options in the product grid.","Этот атрибут добавляется к списку параметров столбца в сетке продукта."
"Add this attribute to the list of filter options in the product grid.","Этот атрибут добавляется к списку параметров фильтра в сетке продукта."
"System","Система"
"All Store Views","Хранилище всех просмотров"
"Delete selected items?","Удалить выбранные файлы?"
"Delete items","Удаление объектов"
"Change status","Изменить статус"
"Enable","Включить"
"Disable","Отключить"
"Update attributes","Обновить атрибуты"
"Overview","Обзор"
"Skip to the end of the images gallery","Пропустить и перейти к галереям изображений"
"Skip to the beginning of the images gallery","Перейти к началу галереи изображений"
"Details","Подробнее"
"Recently Compared","Недавно по сравнению"
"Add To Cart","Добавить в корзину"
"Add To Compare","Добавить к сравнению"
"Learn more","Подробнее"
"Recently Viewed","Недавно просмотренные"
"Save Category","Сохранить категорию"
"Delete Category","Удалить категорию"
"New Subcategory","Новая подкатегория"
"New Root Category","Новая корневая категория"
"Set Root Category for Store","Выберите домашнею категорию для магазина"
"Custom Design","Индивидуальный дизайн"
"Category Data","Категория данных"
"Not shared with other products","Не используется совместно с другими продуктами"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Depends on design theme","Зависит от дизайна темы"
"We saved the price alert subscription.","We saved the price alert subscription."
"We saved the stock notification.","We saved the stock notification."
"Images and Videos","Изображения и видео"
"Click here or drag and drop to add images.","Нажмите здесь, или перетащите изображения для добавления."
"Make Base","Make Base"
"There was a category move error. %1","There was a category move error. %1"
"You moved the category","Вы переместили категорию"
"This product no longer exists.","Этот товар больше не существует."
"We can't find the image file.","Мы не можем найти файл изображения."
"productFactory is already set","productFactory is already set"
"Could not save product option","Не удалось сохранить параметр продукта"
"Product option with id %1 does not exist","Product option with id %1 does not exist"
"Are you sure you want to delete this category?","Вы уверены, что вы хотите удалить эту категорию?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Set root category for this store in the <a href=""%1"">configuration</a>."
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"An attribute group named ""/name/"" already exists"".","An attribute group named ""/name/"" already exists""."
"Close panel","Закрыть панель"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
"Ok","Oк"
"Watermark Default Size","Размер водяного знака по умолчанию"
"Watermark Opacity, Percent","Непрозрачность водяного знака, в процент"
"Watermark","Водяной знак"
"Watermark Position","Позиция водяного знака"
"none","none"
"File validation failed.","File validation failed."
"text","text"
"Tier Price","Tier Price"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"Sort Products By","Sort Products By"
"Default Product Sorting","Default Product Sorting"
"Use Parent Category Settings","Use Parent Category Settings"
"Page not found","Page not found"
"Full file path is expected.","Full file path is expected."
"from","from"
"to","до"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","You added product %1 to the <a href=""%2"">comparison list</a>."
"Maximum %1 characters","Максимум %1 символов"
"remaining","осталось"
"too many","слишком много"
"Sending attribute values as package.","Sending attribute values as package."
"This value does not follow the specified format (for example, 200X300).","Это значение не соответствует указанному формату (например, 200X300)."
"Applies to category pages","Applies to category pages"
"Remember Category Pagination","Remember Category Pagination"
"Changing may affect SEO and cache storage consumption.","Changing may affect SEO and cache storage consumption."
"Images Upload Configuration","Images Upload Configuration"
"Quality","Качество"
"Jpeg quality for resized images 1-100%.","Jpeg quality for resized images 1-100%."
"Cost","Cost"
"The ""%1"" attribute is required. Enter and try again.","The ""%1"" attribute is required. Enter and try again."
"Attributes were missing and must be specified.","Attributes were missing and must be specified."
"The value of Admin must be unique. (%1)","The value of Admin must be unique. (%1)"
"The product was unable to be saved. Please try again.","The product was unable to be saved. Please try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The category doesn't contain the specified product.","The category doesn't contain the specified product."
"The %1 value wasn't found in the algorithms.","The %1 value wasn't found in the algorithms."
"The filters are invalid. Set them in an array and try again.","The filters are invalid. Set them in an array and try again."
"The product wasn't registered.","The product wasn't registered."
"The store wasn't registered. Verify the store and try again.","The store wasn't registered. Verify the store and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
"The image content is invalid. Verify the content and try again.","The image content is invalid. Verify the content and try again."
"The product can't be saved.","Товар не может быть сохранен."
"The new media gallery entry failed to save.","The new media gallery entry failed to save."
"No image with the provided ID was found. Verify the ID and try again.","No image with the provided ID was found. Verify the ID and try again."
"The product doesn't exist. Verify and try again.","The product doesn't exist. Verify and try again."
"The image doesn't exist. Verify and try again.","The image doesn't exist. Verify and try again."
"The image doesn't exist.","The image doesn't exist."
"The image type for the file is invalid. Enter the correct image type and try again.","The image type for the file is invalid. Enter the correct image type and try again."
"The ""%1"" file couldn't be moved.","The ""%1"" file couldn't be moved."
"The ProductSku is empty. Set the ProductSku and try again.","The ProductSku is empty. Set the ProductSku and try again."
"The custom option couldn't be removed.","The custom option couldn't be removed."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The file options format is invalid. Use a correct format and try again.","The file options format is invalid. Use a correct format and try again."
"The file ""%1"" is empty. Select another file and try again.","The file ""%1"" is empty. Select another file and try again."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again."
"The required option wasn't entered. Enter the option and try again.","The required option wasn't entered. Enter the option and try again."
"The file is empty. Select another file and try again.","The file is empty. Select another file and try again."
"The text is too long. Shorten the text and try again.","The text is too long. Shorten the text and try again."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Tier price is unavailable for this product.","Tier price is unavailable for this product."
"The tier_price data is invalid. Verify the data and try again.","The tier_price data is invalid. Verify the data and try again."
"The group price couldn't be saved.","The group price couldn't be saved."
"The data was invalid. Verify the data and try again.","The data was invalid. Verify the data and try again."
"Values in the %1 attributes are invalid. Verify the values and try again.","Values in the %1 attributes are invalid. Verify the values and try again."
"We can't create the ""%1"" writeable directory.","We can't create the ""%1"" writeable directory."
"The file upload failed. Try to upload again.","The file upload failed. Try to upload again."
"The product has required options. Enter the options and try again.","The product has required options. Enter the options and try again."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group can't be deleted because it contains system attributes.","The attribute group can't be deleted because it contains system attributes."
"The collection provider isn't registered.","The collection provider isn't registered."
"The ""%1"" link type is unknown. Verify the type and try again.","The ""%1"" link type is unknown. Verify the type and try again."
"The ""%1"" link type wasn't found. Verify the type and try again.","The ""%1"" link type wasn't found. Verify the type and try again."
"The linked products data is invalid. Verify the data and try again.","The linked products data is invalid. Verify the data and try again."
"The product that was requested doesn't exist. Verify the product and try again.","The product that was requested doesn't exist. Verify the product and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The ""%1"" product couldn't be removed.","Товар ""%1"" не может быть удален."
"Category with ID: %s doesn't exist","Category with ID: %s doesn't exist"
"Product Name or SKU","Product Name or SKU"
"Start typing to find products","Начните набирать для поиска товаров"
"Product with ID: %s doesn't exist","Product with ID: %s doesn't exist"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"Use Static URLs for Media Content in WYSIWYG","Use Static URLs for Media Content in WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Default Layouts","Default Layouts"
"Default Product Layout","Макет товара по умолчанию"
"Default Category Layout","Макет категории по умолчанию"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Advanced","Расширенный"
