"Billing Agreements","قراردادهای صورت حساب"
"You will be required to enter your payment details after you place an order.","بعد از اینکه سفارش خود را درج کردید، لازم است جزئیات پرداخت خود را وارد کنید."
"Continue","ادامه"
"Additional Options","گزینه‌های اضافی"
"-- Please Select Billing Agreement--","-- لطفا قرارداد صدور صورت حساب را انتخاب نمایید--"
"Acceptance Mark","نشان پذیرش"
"What is PayPal?","پی پال چیست؟"
"Sign a billing agreement to streamline further purchases  with PayPal.","برای ساده کردن بیشتر خریدها با پی پال یک قرارداد صدور صورت حساب را امضا کنید."
"Sign a billing agreement to streamline further purchases with PayPal.","برای ساده کردن بیشتر خریدها با پی پال یک قرارداد صدور صورت حساب را امضا کنید."
"Continue to PayPal","ادامه در پی‌پال"
"Save credit card information for future use.","اطلاعات کارت اعتباری برای استفاده در آینده ذخیره کنید."
"Sorry, something went wrong.","با عرض پوزش، اشتباهی رخ داده."
"Sorry, something went wrong. Please try again later.","با عرض پوزش، اشتباهی رخ داده. لطفا بعدا دوباره امتحان کنید."
"PayPal Section","بخش پی پال"
"PayPal Settlement","معامله PayPal"
"Fetch","واکشی"
"Actions","کنش‌ها"
"Manage","مدیریت"
"Place Order Using Billing Agreements","سفارش دادن با استفاده از قراردادهای صورت حساب"
"Orders","Orders"
"Payment Amount Authorization","Payment Amount Authorization"
"Merchant Location","محل سكونت فروشنده"
"Merchant Country","کشور فروشنده"
"If not specified, Default Country from General Config will be used","If not specified, Default Country from General Config will be used"
"Recommended Solutions:","راه حل های توصیه شده:"
"Other PayPal Payment Solutions:","دیگر راه حل پرداخت PayPal:"
"Other Payment Methods:","دیگر روش های پرداخت:"
"PayPal Express Checkout","پرداخت سريع پي پال"
"Add another payment method to your existing solution or as a stand-alone option.","اضافه کردن یکی دیگر از روش پرداخت به راه حل های موجود شما و یا به عنوان یک گزینه مستقل."
"PayPal All-in-One Payment Solutions&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal All-in-One راه حل های پرداخت&nbsp;<i> پذیرش و پردازش کارت های اعتباری و پرداخت PayPal </i>"
"Choose a secure bundled payment solution for your business.","امن به همراه راه حل های پرداخت برای کسب و کار شما را انتخاب کنید."
"Payments Pro","پرونده پرداخت"
"Payments Pro and Express Checkout","پرداخت حرفه اي و پرداخت سريع"
"Basic Settings - PayPal Payments Pro","تنظیمات اولیه - PayPal Payments Pro"
"PayPal Payment Gateways&nbsp;<i>Process payments using your own internet merchant account.</i>","دروازه های پرداخت پی پال و&nbsp;<i> پردازش پرداخت ها با استفاده از حساب کاربری اینترنت خودتان </i>"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal All-in-One Solutions پرداخت و &nbsp;&nbsp;<i> پذیرش و پردازش کارت های اعتباری و پرداخت PayPal </i>"
"Accept payments with a completely customizable checkout page.","قبول پرداخت به طور كامل همراه صفحه سفارشي."
"Process payments using your own internet merchant account.","فرآیند پرداخت ها با استفاده از حساب کاربری اینترنت خودتان."
"Website Payments Pro","پرداخت آنلاین حرفه ای"
"Express Checkout","تسویه‌ی سریع"
"Add PayPal as an additional payment method to your checkout page.","اضافه کردن پی پال به عنوان یک روش پرداخت اضافی به صفحه پرداخت شما."
"Required PayPal Settings","تنظیمات مورد نیاز پی پال "
"Email Associated with PayPal Merchant Account (Optional)","ایمیل با حساب فروشنده‌ی پی پال متناظر شد (اختیاری)"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>"
"Don't have a PayPal account? Simply enter your email address.","حساب پی پال ندارید؟ به سادگی آدرس ایمیل‌تان را وارد نمایید."
"API Authentication Methods","API روش های تأیید هویت"
"API Username","نام کاربری API"
"API Password","گذرواژه‌ی API"
"Get Credentials from PayPal","دریافت گواهی نامه‌ها از پی پال"
"Sandbox Mode","حالت سندباکس"
"API Uses Proxy","پیراکسی مورد استفاده‌ی API"
"Proxy Host","هاست پیراکسی"
"Proxy Port","پورت پیراکسی"
"Enable this Solution","فعال کردن این راه حل"
"Enable In-Context Checkout Experience","فعال کردن  تجربه درون محتوا"
"See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>.","See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>."
"Merchant Account ID","شناسه حساب فروشنده"
"Enable PayPal Credit","اعتبار پی پال را فعال کنید"
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>"
"Sort Order PayPal Credit","ترتیب پرداخت اعتباری پی پال"
"Advertise PayPal Credit","تبلیغات اعتبار PayPal"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Publisher ID","شناسه ناشر"
"Required to display a banner","مورد نیاز برای نمایش بنر"
"Get Publisher ID from PayPal","دریافت شناسه ناشر از پی پال"
"Home Page","صفحه نخست"
"Display","نمایش"
"Position","موقعيت"
"Size","اندازه"
"Catalog Category Page","صفحه کاتالوگ دسته بندی"
"Catalog Product Page","صفحه کاتالوگ محصولات"
"Checkout Cart Page","صفحه پرداخت کارت"
"Basic Settings - PayPal Express Checkout","تنظیمات اولیه - PayPal Express Checkout "
"Title","عنوان"
"It is recommended to set this value to ""PayPal"" per store views.","توصیه می‌شود این مقدار را به ""پی پال"" بر نماهای فروشگاه تنظیم کنید."
"Sort Order","ترتيب سفارش"
"Payment Action","عمل پرداخت"
"Display on Product Details Page","نمایش در صفحه جزئیات محصول"
"Authorization Honor Period (days)","مجوز دوره افتخار(روز)"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","تعیین دوره افتخاری مجوز در حساب PayPal بازرگان. این باید تنظیم در PayPal آینه است."
"Order Valid Period (days)","دوره معتبر سفارش (روز)"
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","مشخص می کند که دوره تأخیر سفارش در حساب PayPal بازرگان است. این باید تنظیم در PayPal آینه است."
"Number of Child Authorizations","تعداد مجوزها کودک"
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","شماره پیش فرض مجوز در حساب پی پال خود 1 است. براي مجوز هاي چندگانه لطفا درخواست خود را براي پي پال ارسال كنيد."
"Advanced Settings","تنظیمات پیشرفته"
"Display on Shopping Cart","نمایش در سبد خرید"
"Also affects mini-shopping cart.","همچنین بر سبد خرید کوچک  نیز اثر می‌کند."
"Payment Applicable From","پرداخت قابل اجرا از"
"Countries Payment Applicable From","پرداخت کشورها قابل اجرا از"
"Debug Mode","حالت اشکال زدایی"
"Enable SSL verification","فعال کردن تایید SSL"
"Transfer Cart Line Items","انتقال آیتم‌های سطری سبد"
"Transfer Shipping Options","انتقال گزینه‌های ارسال"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","اگر این گزینه ممکن شده باشد، مشتری می‌تواند آدرس ارسال و روش ارسال را در وب‌سایت پی پال تغییر دهد. در حالت واقعی تنها با پروتوکل HTTPS کار می‌کند."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","توجه داشته باشید که PayPal می تواند تا 10 گزینه حمل و نقل را اداره کند. به همین دلیل است که مجنتو تنها 10 گزینه ارزان تر از گزینه های حمل و نقل را انتقال می دهد اگر بیش از 10 موجود باشد."
"Shortcut Buttons Flavor","چاشنی دکمه‌های میانبر"
"Enable PayPal Guest Checkout","امکان تسویه‌ی مهمان پی پال"
"Ability for buyer to purchase without PayPal account.","توانایی خرید برای خریداران بدون حساب پی پال."
"Require Customer's Billing Address","نیاز به آدرس صورتحساب مشتری"
"This feature needs be enabled first for the merchant account through PayPal technical support.","برای پشتیبانی از طریق PayPal این ویژگی ابتدا باید برای حساب تجاری باز شود."
"Billing Agreement Signup","ثبت نام موافقتنامه صورتحساب"
"Whether to create a billing agreement, if there are no active billing agreements available.","چه برای ایجاد یک قرارداد صدور صورت حساب، اگر قراردادهای صدور صورت حساب در دسترس فعالی وجود نداشتند."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account."
"Skip Order Review Step","رد کردن مرحله بررسی سفارش"
"PayPal Billing Agreement Settings","تنظیمات توافقنامه صدور صورت حساب پی پال"
"Enabled","فعال"
"Will appear as a payment option only for customers who have at least one active billing agreement.","Will appear as a payment option only for customers who have at least one active billing agreement."
"Allow in Billing Agreement Wizard","ممکن در ویزارد قرارداد صدور صورت حساب"
"Settlement Report Settings","تنظیمات گزارش توافق"
"SFTP Credentials","گواهی نامه‌های SFTP"
"Login","ورود"
"Password","کلمه عبور"
"Custom Endpoint Hostname or IP-Address","بخش پایانی نام هاست یا آدرس IP سفارشی"
"By default it is ""reports.paypal.com"".","به طور پیش فرض ""reports.paypal.com"" است."
"Use colon to specify port. For example: ""test.example.com:5224"".","برای مشخص کردن پورت از دونقطه استفاده کنید. برای مثال: ""test.example.com:5224""."
"Custom Path","مسیر سفارشی"
"Scheduled Fetching","آوردن زمان بندی شده"
"Enable Automatic Fetching","امکان آوردن خودکار"
"Schedule","زمان بندی"
"PayPal retains reports for 45 days.","پی پال گزارش‌ها را برای 45 روز نگه می‌دارد."
"Time of Day","زمان روز"
"Frontend Experience Settings","تنظیمات آزمایش فرانت‌اند"
"PayPal Product Logo","لوگوی محصول پی پال"
"Displays on catalog pages and homepage.","در صفحات کاتالوگ و صفحه‌ی خانگی نمایش می‌دهد."
"PayPal Merchant Pages Style","طرح صفحات فروشنده‌ی پی پال"
"Page Style","طرح صفحه"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile)."
"Header Image URL","URL تصویر هدر"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged."
"Header Background Color","رنگ پس زمینه سرصفحه"
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII."
"Header Border Color","رنگ حاشیه‌ی هدر"
"2-pixel perimeter around the header space.","2 پیکسل پیرامون اطراف فضای هدر."
"Page Background Color","رنگ پس زمینه‌ی صفحه"
"The background color for the checkout page around the header and payment form.","The background color for the checkout page around the header and payment form."
"Payments Advanced","پرداخت های پیشرفته"
"Accept payments with a PCI-compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","پذیرش پرداخت با پرداخت PCI سازگار که مشتریان را در سایت خود نگه می دارد. (<u> شامل پرداخت اکسپرس </u>)"
"Payments Advanced and Express Checkout","پرداخت های پیشرفته و اکسپرس پرداخت"
"Partner","شریک"
"Vendor","فروشنده"
"User","كاربر"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","پی پال توصیه می کند که به شما در تنظیم کاربر اضافی حساب کاربری خود  در manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal توصیه می کند که یک کاربر اضافی را در حساب کاربری خود در manager.paypal.com راه اندازی کنید، به جای وارد کردن نام کاربری و رمز عبور مدیر خود اینجا. اگر بعدا رمز عبور خود را تغییر دهید، امنیت شما افزایش می یابد و مانع از وقفه های سرویس می شود. اگر نمی خواهید یک کاربر اضافی را راه اندازی کنید، می توانید ورود Merchant Login خود را دوباره وارد کنید."
"Test Mode","حالت آزمایشی"
"Use Proxy","استفاده از پیراکسی"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Basic Settings - PayPal Payments Advanced","تنظیمات اولیه - PayPal Payments Advanced"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","توصیه می‌شود این مقدار را به ""دبیت کارت یا کارت اعتباری"" بر نماهای فروشگاه تنظیم کنید."
"CVV Entry is Editable","CVV ورود قابل ویرایش"
"Require CVV Entry","نیاز به ورود CVV"
"Send Email Confirmation","ارسال تأییدیه به ایمیل"
"URL method for Cancel URL and Return URL","روش URL برای لغو URL و URL بازگشت"
"Payflow Link","لینک Payflow"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","حساب تجاری خود را با یک دروازه سازگار با PCI، که مشتریان را بدون ترک سایت خود پرداخت می کند، وصل کنید. (<u> شامل اکسپرس پرداخت </u>)"
"Payflow Link and Express Checkout","پیوند پیوسته و اکسپرس پرداخت"
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","اگر چند کاربر را در حساب کاربری خود تنظیم نکنید، لطفا ورود / فروشنده Merchant خود را دوباره وارد کنید."
"Enable Payflow Link","فعال کردن لینک Payflow"
"Enable Express Checkout","فعال کردن پرداخت سريع"
"Basic Settings - PayPal Payflow Link","تنظیمات اولیه - PayPal Payflow Link"
"Website Payments Pro Hosted Solution","پرداخت های حرفه ای میزبانی وب سایت "
"Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","پذیرش پرداخت با پرداخت PCI سازگار که مشتریان را در سایت خود نگه می دارد. (<u> شامل پرداخت اکسپرس </u>)"
"Payments Pro Hosted Solution","راه حل پرداخت حرفه ای میزبانی"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Basic Settings - PayPal Payments Pro Hosted Solution","تنظیمات اولیه - PayPal Payments Pro Hosted Solution"
"Display Express Checkout in the Payment Information step","نمایش پرداخت اکسپرس در مرحله اطلاعات پرداخت"
"Website Payments Pro Hosted Solution and Express Checkout","پرداخت های حرفه ای میزبانی وب سایت و پرداخت سريع"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","تنظیمات اولیه - PayPal Website Payments Pro Hosted Solution"
"Payflow Pro","Payflow حرفه ای"
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","حساب تجاری خود را با یک دروازه کاملا قابل تنظیم که مشتریان را بدون ترک سایت خود پرداخت می کنید، وصل کنید. (<u> شامل اکسپرس پرداخت </u>)"
"Vault Enabled","نقش فعال شد"
"Basic Settings - PayPal Payflow Pro","تنظیمات اولیه - PayPal Payflow Pro"
"Vault Title","Vault عنوان"
"Credit Card Settings","تنظیمات کارت اعتباری"
"Allowed Credit Card Types","انواع کارت‌ های بانکی قابل قبول"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"CVV and AVS Settings","تنظیمات CVV و AVS"
"Reject Transaction if:","معامله را رد کنید:"
"AVS Street Does Not Match","خیابان AVS مطابقت ندارد"
"AVS Zip Does Not Match","AVS Zip تطبیق ندارد"
"Card Issuer Is Outside The United States","صادر کننده کارت خارج از ایالات متحده است"
"Card Security Code Does Not Match","کارت کد امنیتی مطابقت ندارد"
"Payflow Pro and Express Checkout","Payflow Pro و پرداخت سريع"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"We can't contact the PayPal gateway.","We can't contact the PayPal gateway."
"The ordering amount of %1 is pending approval on the payment gateway.","The ordering amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"Matched whole nine-didgit ZIP (no Address)","Matched whole nine-didgit ZIP (no Address)"
"Yes. Matched Address and five-didgit ZIP","Yes. Matched Address and five-didgit ZIP"
"Invalid method %1::%2(%3)","Invalid method %1::%2(%3)"
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.","To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website."
"PayPal Payment Gateways","PayPal Payment Gateways"
"1","1"
"PayPal Payment Solutions","PayPal Payment Solutions"
"Email Associated with PayPal Merchant Account","Email Associated with PayPal Merchant Account"
"Sandbox Credentials","Sandbox Credentials"
"It is recommended to set this value to ""Magento_Paypal"" per store views.","It is recommended to set this value to ""Magento_Paypal"" per store views."
"Payments Advanced (Includes Express Checkout)","Payments Advanced (Includes Express Checkout)"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Accept payments with a PCI-compliant checkout that keeps customers on your site."
"Payflow Link (Includes Express Checkout)","Payflow Link (Includes Express Checkout)"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Accept payments with a PCI compliant checkout that keeps customers on your site."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site."
"International AVS Indicator Does Not Match","International AVS Indicator Does Not Match"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (Includes Express Checkout)"
"Save for later use.","Save for later use."
"Payments Standard","Payments Standard"
"Accept credit card and PayPal payments securely.","Accept credit card and PayPal payments securely."
"Basic Settings - PayPal Website Payments Standard","Basic Settings - PayPal Website Payments Standard"
"Website Payments Standard","Website Payments Standard"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The payment couldn't be processed at this time. Please try again later.","The payment couldn't be processed at this time. Please try again later."
"The verification transaction can't be voided. ","The verification transaction can't be voided. "
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Vault enabled","Vault enabled"
"Gold","Gold"
"Blue","Blue"
"Silver","Silver"
"Black","Black"
"Vertical","Vertical"
"Horizontal","Horizontal"
"Pill","Pill"
"Rectangle","Rectangle"
"Medium","Medium"
"Large","Large"
"Responsive","Responsive"
"Checkout","پرداخت نهایی"
"Pay","Pay"
"Buy Now","Buy Now"
"PayPal","پی‌پال"
"Installment","Installment"
"PayPal Credit","PayPal Credit"
"PayPal Guest Checkout Credit Card Icons","PayPal Guest Checkout Credit Card Icons"
"Elektronisches Lastschriftverfahren - German ELV","Elektronisches Lastschriftverfahren - German ELV"
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"Customize Smart Buttons","Customize Smart Buttons"
