"Billing Agreements","Paypal Zahlungsfreigaben"
"Please do not refresh the page until you complete payment.","Bitte aktualisieren Sie die Seite nicht, bis Sie die Zahlung abgeschlossen haben."
"You will be required to enter your payment details after you place an order.","Sie werden gebeten, Ihre Zahlungsinformationen einzugeben, nachdem Sie Ihre Bestellung aufgeben haben."
"Continue","Fortsetzen"
"Additional Options","Zusätzliche Optionen"
"-- Please Select Billing Agreement--","-- Bitte Zahlungsvereinbarung auswählen --"
"Acceptance Mark","Akzeptanz-Markierung"
"What is PayPal?","Was ist PayPal?"
"Sign a billing agreement to streamline further purchases  with PayPal.","Zeichnen Sie eine Abrechnungsvereinbarung ab, um weitere Einkäufe bei PayPal zu optimieren."
"Sign a billing agreement to streamline further purchases with PayPal.","Unterzeichnen Sie eine Rechnungsvereinbarung, um weitere Einkäufe mit PayPal zu optimieren."
"Continue to PayPal","Weiter zu PayPal"
"Save credit card information for future use.","Kreditkarteninformation für zukünftige Verwendung speichern."
"Sorry, something went wrong.","Entschuldigung, es ist ein Fehler aufgetreten."
"Sorry, something went wrong. Please try again later.","Entschuldigung, es ist ein Fehler aufgetreten. Bitte versuchen Sie es später erneut."
"PayPal Section","Abschnitt PayPal"
"PayPal Settlement","PayPal Regelung"
"Fetch","Abrufen"
"Actions","Aktionen"
"Manage","Verwalten"
"Place Order Using Billing Agreements","Bestellung aufgeben unter Anwendung von Abrechnungsvereinbarungen"
"Orders","Bestellungen"
"Payment Amount Authorization","Zahlungsbetrag-Authorisierung"
"Merchant Location","Händlerstandort"
"Merchant Country","Händlerland"
"If not specified, Default Country from General Config will be used","Wenn nicht angegeben, wird das Standardland der allgemeinen Konfiguration verwendet."
"Recommended Solutions:","Empfohlene Lösungen:"
"Other PayPal Payment Solutions:","Andere PayPal Zahlungslösungen:"
"Other Payment Methods:","Andere Zahlungsmethoden:"
"PayPal Express Checkout","PayPal Express Checkout"
"Add another payment method to your existing solution or as a stand-alone option.","Fügen Sie eine andere Zahlungsmethode Ihrer bestehenden Lösung oder als Stand-Alone-Option hinzu."
"PayPal All-in-One Payment Solutions&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal All-in-One-Zahlungslösungen&nbsp;<i>Kreditkarten und PayPal-Zahlungen akzeptieren und bearbeiten.</i>"
"Choose a secure bundled payment solution for your business.","Wählen Sie eine sichere gebündelte Zahlungslösung für Ihr Unternehmen."
"Payments Pro","Payments Pro"
"Payments Pro and Express Checkout","Payments Pro und Express Checkout"
"Basic Settings - PayPal Payments Pro","Grundeinstellungen- PayPal Payments Pro"
"PayPal Payment Gateways&nbsp;<i>Process payments using your own internet merchant account.</i>","PayPal-Payment-Gateways&nbsp;<i>Abwicklung von Zahlungen mit Ihrem eigenen Internet-Händler-Konto.</i>"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal All-in-One-Zahlungslösungen&nbsp;&nbsp;<i>Kreditkarten und PayPal-Zahlungen akzeptieren und bearbeiten.</i>"
"Accept payments with a completely customizable checkout page.","Akzpetieren Sie Zahlungen mit einem angepasst gestalteten Zahlungsvorgang."
"Process payments using your own internet merchant account.","Abwicklung von Zahlungen mit Ihrem eigenen Internet-Händler-Konto."
"Website Payments Pro","Website Payments Pro"
"Express Checkout","Express Checkout"
"Add PayPal as an additional payment method to your checkout page.","PayPal als zusätzliche Zahlungsmethode zu Ihrer Checkout-Seite hinzufügen."
"Required PayPal Settings","Erforderliche PayPal-Einstellungen"
"Email Associated with PayPal Merchant Account (Optional)","Einem PayPal-Händler-Konto zugeordnete E-Mail (optional)"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Beginnen Sie Zahlungen per PayPal zu akzeptieren!</a>"
"Don't have a PayPal account? Simply enter your email address.","Sie haben noch kein PayPal-Konto? Geben Sie einfach Ihre E-Mail-Adresse ein."
"API Authentication Methods","API-Authentifizierungsmethoden"
"API Username","API-Benutzername"
"API Password","API Passwort"
"Get Credentials from PayPal","Anmeldeinformationen von PayPal bekommen"
"Sandbox Mode","Sandbox Modus"
"API Uses Proxy","API verwendet Proxy"
"Proxy Host","Proxy-Host"
"Proxy Port","Proxy-Port"
"Enable this Solution","Diese Lösung aktivieren"
"Enable In-Context Checkout Experience","Im-Kontext Checkout Verhalten aktivieren"
"See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>.","
                    Siehe PayPal Feature-Support-Details und Liste der unterstützten Regionen
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">hier</a>.
."
"Merchant Account ID","Händler-Konto-ID"
"Enable PayPal Credit","PayPal Credit® aktivieren"
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout ermöglicht es Kunden, über PayPal Credit&#174; zu finanzieren - ohne zusätzliche Kosten für Sie.
                        Sie werden vorab bezahlt, obwohl Kunden mehr Zeit haben zu bezahlen. Eine vorintegrierte Zahlungsbutton ermöglicht es Kunden, schnell mit PayPal-Guthaben&#174;zu bezahlen.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Mehr erfahren</a>"
"Sort Order PayPal Credit","Bestellen Sie mit PayPal Guthaben"
"Advertise PayPal Credit","Für PayPal Credit werben"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","
                    <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Warum Finanzierung bewerben?</a><br/>
                            <strong>Geben Sie Ihrem Umsatz einen Schub, wenn Sie für Finanzierung werben.</strong><br/>PayPal hilft damit, Betrachter mit Hilfe der PayPal Credit&#174; in
                            Käufer umzuwandeln. Ihre Kunden habe mehr Zeit zu bezahlen und Sie werden sofort bezahlt – ohne Zusatzkosten für Sie.
                            Benutzen Sie PayPals kostenlosen Werbe-Banner um PayPal Credit&#174;  Finanzierung als eine Zahlungsart zu bewerben, wenn Ihre Kunden mit PayPal bezahlen.
                            Das PayPal Werbeprogramm hat eine Erhöhung der Einkäufe sowie auch  eine Erhöhung der durchschnittlichen Kaufmengen um 15 % oder mehr nachgewiesen.
                            <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Details ansehen</a>.
                "
"Publisher ID","Publisher-ID"
"Required to display a banner","Erforderlich, um einen Banner einzubinden"
"Get Publisher ID from PayPal","Publisher-ID von PayPal bekommen"
"Home Page","Startseite"
"Display","Anzeigen"
"Position","Reihenfolge"
"Size","Größe"
"Catalog Category Page","Kategorieseite"
"Catalog Product Page","Produktseite"
"Checkout Cart Page","Warenkorb-Seite"
"Basic Settings - PayPal Express Checkout","Grundeinstellungen - PayPal Express Checkout"
"Title","Titel"
"It is recommended to set this value to ""PayPal"" per store views.","Es wird empfohlen, diesen Wert auf ""PayPal"" pro Store View zu setzen."
"Sort Order","Sortierreihenfolge"
"Payment Action","Zahlungsvorgang"
"Display on Product Details Page","Auf Produktdetail-Seite anzeigen"
"Authorization Honor Period (days)","Autorisierungs-Honorierungs-Zeitraum (Tage)"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Gibt den Autorisierungs-Honorierungs-Zeitraum auf dem Händler PayPal-Konto an. Muss mit der Einstellung in PayPal übereinstimmen."
"Order Valid Period (days)","Gültigskeitsdauer von Bestellungen (Tage)"
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Gibt die Gültigskeitsdauer von Bestellungen im Händler-PayPal-Konto an. Muss mit den Einstellungen in PayPal übereinstimmen."
"Number of Child Authorizations","Anzahl der Child-Genehmigungen"
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","Die Standardanzahl der Child-Genehmigungen in Ihrem PayPal-Konto ist 1. Um mehrere Genehmigungen auszuführen, wenden Sie sich an PayPal, um eine Erhöhung zu beantragen."
"Advanced Settings","Erweiterte Einstellungen"
"Display on Shopping Cart","Im Warenkorb anzeigen"
"Also affects mini-shopping cart.","Dies betrifft auch den Mini-Warenkorb."
"Payment Applicable From","Zahlung anwendbar von"
"Countries Payment Applicable From","Länderzahlung anwendbar von"
"Debug Mode","Debug-Modus"
"Enable SSL verification","SSL-Prüfung aktivieren"
"Transfer Cart Line Items","Artikel des Warenkorbs übertragen"
"Transfer Shipping Options","Versandoptionen übertragen"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Wenn diese Option aktiviert ist, können Kunden die Lieferadresse und die Versandart auf der PayPal-Website ändern. Im Live-Modus funktioniert das nur über HTTPS-Protokoll."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Beachten Sie, dass PayPal bis zu 10 Versandoptionen verarbeiten kann. Deshalb wird Magento die ersten 10 günstigsten Versandoptionen übertragen, wenn es mehr als 10 sind."
"Shortcut Buttons Flavor","Shortcut-Flavor"
"Enable PayPal Guest Checkout","PayPal-Checkout für Gäste aktivieren"
"Ability for buyer to purchase without PayPal account.","Möglichkeit für Käufer, ohne PayPal-Account zu kaufen"
"Require Customer's Billing Address","Pflichtangabe der Rechnungsadresse des Kunden"
"This feature needs be enabled first for the merchant account through PayPal technical support.","Dieses Feature muss zunächst für das Händler-Konto über den technischen PayPal-Support aktiviert sein."
"Billing Agreement Signup","Abrechnungsvereinbarungsregistrierung"
"Whether to create a billing agreement, if there are no active billing agreements available.","Eine Abrechnungsvereinbarung erstellen, wenn keine aktiven Abrechnungsvereinbarungen verfügbar sind."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Händler müssen sich für die Verwendung der ""Zahlungsvereinbarung"" bei PayPal anmelden. Bitte aktivieren Sie diese Option erst, wenn PayPal die Zahlungsvereinbarungen für Ihr Händlerkonto freigeschaltet hat."
"Skip Order Review Step","Bestellbewertungs-Schritt überspringen"
"PayPal Billing Agreement Settings","PayPal-Abrechnungsvereinbarungeinstellungen"
"Enabled","Aktiviert"
"Will appear as a payment option only for customers who have at least one active billing agreement.","Wird nur dann als Zahlungsoption angezeigt, wenn der Kunde mindestens eine aktive Zahlungsvereinbarung besitzt."
"Allow in Billing Agreement Wizard","Im Abrechnungsvereinbarungs-Wizard erlauben"
"Settlement Report Settings","Abwicklungs-Bericht-Einstellungen"
"SFTP Credentials","SFTP Zugangsdaten"
"Login","Anmelden"
"Password","Passwort"
"Custom Endpoint Hostname or IP-Address","Benutzerdefinierter Endpoint-Hostname oder IP-Adresse"
"By default it is ""reports.paypal.com"".","Standardmäßig ist es ""reports.paypal.com""."
"Use colon to specify port. For example: ""test.example.com:5224"".","Verwenden Sie einen Doppelpunkt, um den Port anzugeben. Zum Beispiel: ""test.example.com:5224""."
"Custom Path","Benutzerdefinierter Pfad"
"Scheduled Fetching","Geplantes Abrufen"
"Enable Automatic Fetching","Automatisches Abrufen aktivieren"
"Schedule","Zeitplan"
"PayPal retains reports for 45 days.","PayPal behält Berichte für 45 Tage."
"Time of Day","Tageszeit"
"Frontend Experience Settings","Frontenderfahrungs-Einstellungen"
"PayPal Product Logo","PayPal Produktlogo"
"Displays on catalog pages and homepage.","Wird auf Katalogseiten und Homepage angezeigt"
"PayPal Merchant Pages Style","PayPal Händler-Seiten-Stil"
"Page Style","Seitenstil"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Erlaubte Werte: ""paypal"", ""primary"" (Standard), your_custom_value (eine benutzerdefinierter Zahlungsseitenstil von Ihrem Händler-Konto-Profil)."
"Header Image URL","Header-Bild-URL"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","Das Bild oben links auf der Bezahlseite. Max. 750px × 90px. <strong style=""color:red"">https</strong> wird dringend empfohlen."
"Header Background Color","Header-Hintergrundfarbe"
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Die Hintergrundfarbe des Kopfbereichs der Bezahlseite. 6-stelliger Hex-Farbcode in ASCII Zeichen."
"Header Border Color","Farbe des Header-Rahmens"
"2-pixel perimeter around the header space.","2-Pixel Umfang um den Header."
"Page Background Color","Seiten-Hintergrundfarbe"
"The background color for the checkout page around the header and payment form.","Die Hintergrundfarbe für die Checkout Seite rund um den Kopfbreich und das Zahlungsformular."
"Payments Advanced","Payments Advanced"
"Accept payments with a PCI-compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Akzeptieren Sie Zahlungen mit einer PCI-konformen Kasse, sodass die Kunden auf Ihrer Website bleiben. (<u>Beinhaltet Express Checkout</u>)"
"Payments Advanced and Express Checkout","Payments Advanced und Express Checkout"
"Partner","Partner"
"Vendor","Verkäufer"
"User","Benutzer"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","PayPal empfiehlt, dass Sie einen zusätzlichen Benutzer auf Ihrem Konto unter manager.paypal.com einrichten."
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal empfiehlt, dass Sie einen zusätzlichen Benutzer auf Ihrem Konto unter manager.paypal.com einrichten, anstatt Ihren Admin-Benutzernamen und -passwort einzugeben. Dies wird Ihre Sicherheit erhöhen und Service-Unterbrechungen verhindern, wenn Sie Ihr Passwort später ändern. Wenn Sie die Einrichtung eines zusätzlichen Benutzers nicht möchten, können Sie wieder mit Ihrem Händler-Login hier einloggen."
"Test Mode","Test Modus"
"Use Proxy","Proxy verwenden"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","
                    <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Warum Finanzierung bewerben?</a><br/>
                            <strong>Geben Sie Ihrem Umsatz einen Schub, wenn Sie für Finanzierung werben.</strong><br/>PayPal hilft damit, Betrachter mit Hilfe der PayPal Credit&#174; in
                            Käufer umzuwandeln. Ihre Kunden habe mehr Zeit zu bezahlen und Sie werden sofort bezahlt – ohne Zusatzkosten für Sie.
                            Benutzen Sie PayPals kostenlosen Werbe-Banner um PayPal Credit&#174;  Finanzierung als eine Zahlungsart zu bewerben, wenn Ihre Kunden mit PayPal bezahlen.
                            Das PayPal Werbeprogramm hat eine Erhöhung der Einkäufe sowie auch  eine Erhöhung der durchschnittlichen Kaufmengen um 15 % oder mehr nachgewiesen.
                            <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Details ansehen</a>.
                "
"Basic Settings - PayPal Payments Advanced","Grundeinstellungen - PayPal Payments Advanced"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Es wird empfohlen, diesen Wert auf ""Lastschrift oder Kreditkarte"" pro Store View zu setzen."
"CVV Entry is Editable","CVV-Eintrag ist editierbar"
"Require CVV Entry","Erfordert CVV-Eintrag"
"Send Email Confirmation","E-Mail-Bestätigung senden"
"URL method for Cancel URL and Return URL","URL-Methode zum Abbrechen der URL und Rückgabe der URL"
"Payflow Link","Payflow Link"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","Verbinden Sie Ihr Händler-Konto mit einem PCI-konformen Gateway, sodass die Kunden zahlen können, ohne Ihre Website zu verlassen.. (<u>Beinhaltet Express Checkout</u>)"
"Payflow Link and Express Checkout","Payflow Link und Express Checkout"
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Wenn Sie nicht mehrere Benutzer auf Ihrem Konto eingerichtet haben, bitte Ihren Lieferanten/Händler erneut eingeben. Hier anmelden."
"Enable Payflow Link","Payflow Link aktivieren"
"Enable Express Checkout","Express Checkout aktivieren"
"Basic Settings - PayPal Payflow Link","Grundeinstellungen - PayPal Payflow Link"
"Website Payments Pro Hosted Solution","Websitezahlungen Pro-Hosting-Lösung"
"Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Akzeptieren Sie Zahlungen mit einer PCI-konformen Kasse, sodass die Kunden auf Ihrer Website bleiben. (<u>Beinhaltet Express Checkout</u>)"
"Payments Pro Hosted Solution","Zahlungen Pro-Hosting-Lösung"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","
                    <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Warum Finanzierung bewerben?</a><br/>
                            <strong>Geben Sie Ihrem Umsatz einen Schub, wenn Sie für Finanzierung werben.</strong><br/>PayPal hilft damit, Betrachter mit Hilfe der PayPal Credit&#174; in
                            Käufer umzuwandeln. Ihre Kunden habe mehr Zeit zu bezahlen und Sie werden sofort bezahlt – ohne Zusatzkosten für Sie.
                            Benutzen Sie PayPals kostenlosen Werbe-Banner um PayPal Credit&#174;  Finanzierung als eine Zahlungsart zu bewerben, wenn Ihre Kunden mit PayPal bezahlen.
                            Das PayPal Werbeprogramm hat eine Erhöhung der Einkäufe sowie auch  eine Erhöhung der durchschnittlichen Kaufmengen um 15 % oder mehr nachgewiesen.
                            <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Details ansehen</a>.
                "
"Basic Settings - PayPal Payments Pro Hosted Solution","Grundeinstellungen - PayPal Zahlungen Pro-Hosting-Lösung"
"Display Express Checkout in the Payment Information step","Express Checkout im Zahlungsinformations-Schritt anzeigen"
"Website Payments Pro Hosted Solution and Express Checkout","Websitezahlungen Pro-Hosting-Lösung und Express Checkout"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Grundeinstellungen - PayPal-Websitezahlungen Pro-Hosting-Lösung"
"Payflow Pro","Payflow Pro"
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","Verbinden Sie Ihr Händler-Konto mit einem voll anpassbaren Gateway, um die Kunden zahlen lassen zu können, ohne Ihre Website zu verlassen. (<u>Beinhaltet Express Checkout</u>)"
"Vault Enabled","Tresor aktiviert"
"Basic Settings - PayPal Payflow Pro","Grundeinstellungen- PayPal Payflow Pro"
"Vault Title","Tresor-Titel"
"Credit Card Settings","Kreditkarteneinstellungen"
"Allowed Credit Card Types","Pflichtangabe der Rechnungsadresse des Kunden"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Die Unterstützung von American Express Karten erfordert einen Ergänzungsvertrag. Erfahren Sie mehr bei <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"CVV and AVS Settings","CVV- und AVS-Einstellungen"
"Reject Transaction if:","Transaktion ablehnen wenn:"
"AVS Street Does Not Match","AVS-Straße entspricht nicht"
"AVS Zip Does Not Match","AVS-PLZ stimmt nicht überein"
"Card Issuer Is Outside The United States","Kartenbesitzer ist außerhalb der Vereinigten Staaten"
"Card Security Code Does Not Match","Karten-Sicherheits-Code stimmt nicht überein"
"Payflow Pro and Express Checkout","Payflow Pro und Express Checkout"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","
                    <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Warum Finanzierung bewerben?</a><br/>
                            <strong>Geben Sie Ihrem Umsatz einen Schub, wenn Sie für Finanzierung werben.</strong><br/>PayPal hilft damit, Betrachter mit Hilfe der PayPal Credit&#174; in
                            Käufer umzuwandeln. Ihre Kunden habe mehr Zeit zu bezahlen und Sie werden sofort bezahlt – ohne Zusatzkosten für Sie.
                            Benutzen Sie PayPals kostenlosen Werbe-Banner um PayPal Credit&#174;  Finanzierung als eine Zahlungsart zu bewerben, wenn Ihre Kunden mit PayPal bezahlen.
                            Das PayPal Werbeprogramm hat eine Erhöhung der Einkäufe sowie auch  eine Erhöhung der durchschnittlichen Kaufmengen um 15 % oder mehr nachgewiesen.
                            <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Details ansehen</a>.
                "
"We can't contact the PayPal gateway.","Wir konnten die PayPal-Gateway nicht kontaktieren."
"The ordering amount of %1 is pending approval on the payment gateway.","Der Bestellmenge %1 ist vorbehaltlich der Zustimmung auf dem Zahlungs-Gateway."
"Ordered amount of %1","Bestellte Menge von %1"
"Matched whole nine-didgit ZIP (no Address)","Nur übereinstimmende ganze neunstellige PLZ (keine Adresse)"
"Yes. Matched Address and five-didgit ZIP","Ja. Übereinstimmende Adresse und fünfstellige PLZ"
"Invalid method %1::%2(%3)","Ungültige Methode %1::%2(%3)"
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.","Um erweiterte PayPal-Zahlungen verwenden zu können, müssen Sie Ihr erweitertes PayPal-Zahlungen-Konto auf der PayPal-Website konfigurieren."
"PayPal Payment Gateways","PayPal-Payment-Gateways"
"1","1"
"PayPal Payment Solutions","PayPal Payment Solutions"
"Email Associated with PayPal Merchant Account","Einem PayPal-Händler-Konto zugeordnete E-Mail"
"Sandbox Credentials","Sandkasten Anmeldeinformationen"
"It is recommended to set this value to ""Magento_Paypal"" per store views.","Es wird empfohlen, diesen Wert je Store View auf ""Magento_Paypal"" zu setzen."
"Payments Advanced (Includes Express Checkout)","Payments Advanced (eingeschlossen Express Checkout)"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Akzeptieren Sie Zahlungen mit einem PCI-konformen Zahlungsvorgang, der Ihre Kunden auf Ihrer Seite hält."
"Payflow Link (Includes Express Checkout)","Payflow Link (Enthält Express Checkout)"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Verbinden Sie Ihr Händler-Konto mit einem PCI-konformen Gateway, sodass die Kunden zahlen können, ohne Ihre Website zu verlassen."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Akzeptieren Sie Zahlungen mit einem PCI-konformen Zahlungsvorgang, der Ihre Kunden auf Ihrer Seite hält."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Verbinden Sie Ihr Händler-Konto mit einem voll anpassbaren Gateway, um die Kunden zahlen lassen zu können, ohne Ihre Website zu verlassen."
"International AVS Indicator Does Not Match","Internationaler AVS-Indikator stimmt nicht"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (eingeschlossen Express Checkout)"
"Save for later use.","Für die spätere Verwendung speichern."
"Payments Standard","Payments Standard"
"Accept credit card and PayPal payments securely.","Akzeptieren Sie Kreditkarten und PayPal-Zahlungen sicher."
"Basic Settings - PayPal Website Payments Standard","Grundeinstellungen - PayPal Website Payments Standard"
"Website Payments Standard","Website Payments Standard"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","Die Bestellung wurde nicht aufgenommen. Bitte stimmen Sie zuerst den Allgemeinen Geschäftsbedingungen zu, bevor Sie die Bestellung erneut aufgeben."
"The payment couldn't be processed at this time. Please try again later.","Ihre Zahlungsanfrage konnte zu diesem Zeitpunkt nicht bearbeitet werden. Bitte versuchen Sie es später noch einmal."
"The verification transaction can't be voided. ","Die Verifizierungs-Transaktion kann nicht gelöscht werden. "
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout ermöglicht es Kunden, über PayPal Credit&#174; zu finanzieren - ohne zusätzliche Kosten für Sie.
                        Sie werden vorab bezahlt, obwohl Kunden mehr Zeit haben zu bezahlen. Eine vorintegrierte Zahlungsbutton ermöglicht es Kunden, schnell mit PayPal-Guthaben&#174;zu bezahlen.
                        <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Mehr erfahren</a>"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","                    <a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Warum Finanzierung bewerben?</a><br/>
                            <strong>Geben Sie Ihrem Umsatz einen Schub, wenn Sie für Finanzierung werben.</strong><br/>PayPal hilft damit, Betrachter mit Hilfe der PayPal Credit&#174; in
                            Käufer umzuwandeln. Ihre Kunden habe mehr Zeit zu bezahlen und Sie werden sofort bezahlt – ohne Zusatzkosten für Sie.
                            Benutzen Sie PayPals kostenlosen Werbe-Banner um PayPal Credit&#174;  Finanzierung als eine Zahlungsart zu bewerben, wenn Ihre Kunden mit PayPal bezahlen.
                            Das PayPal Werbeprogramm hat eine Erhöhung der Einkäufe sowie auch  eine Erhöhung der durchschnittlichen Kaufmengen um 15 % oder mehr nachgewiesen.
                            <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Details ansehen</a>.
                "
