"Billing Agreements","支払い同意"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Publisher ID","パブリッシャーID"
"Required to display a banner","バナー表示必須"
"Get Publisher ID from PayPal","PayPalよりパブリッシャーIDを入手"
"Home Page","ホームページ"
"Display","表示"
"Position","おすすめ"
"Size","サイズ"
"Catalog Category Page","カタログカテゴリページ"
"Catalog Product Page","カタログプロダクトページ"
"Checkout Cart Page","チェックアウトカートページ"
"Basic Settings - PayPal Express Checkout","基本設定 - PayPalエクスプレスチェックアウト"
"Title","タイトル"
"It is recommended to set this value to ""PayPal"" per store views.","ストアのビューごとにこの値を ""PayPal"" に設定することをお勧めします。"
"Sort Order","表示順"
"Payment Action","決済アクション"
"Display on Product Details Page","商品詳細ページに表示"
"Authorization Honor Period (days)","認証オナー期間 (日)"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","マーチャントのPayPalアカウントにて認証オナー期間が何かを指定。PayPalの設定を反映させてなければなりません。"
"Order Valid Period (days)","注文有効期間 (日)"
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","マーチャントのPayPalアカウントでの注文有効期間がなんであるか指定します。PayPalでの設定と同じでなければなりません。"
"Number of Child Authorizations","子の認証の数"
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","あなたのPayPalアカウントの子の認証のデフォルト値は1です。複数認証をおこなうにはPayPalに増やすように要求する連絡をしてください。"
"Advanced Settings","拡張設定"
"Display on Shopping Cart","ショッピングカートに表示"
"Also affects mini-shopping cart.","ミニショッピングカートにも影響します。"
"Payment Applicable From","支払申し込みフォーム"
"Countries Payment Applicable From","国支払申し込みフォーム"
"Debug Mode","ディバクモード"
"Enable SSL verification","SSL証明書有効化"
"Transfer Cart Line Items","トランスファーカートラインアイテム"
"Transfer Shipping Options","トランスファー配送オプション"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","このオプションが有効化されると、顧客はPayPalのウェブサイトにて配送住所と配送方法を変更できます。実環境ではHTTPSプロトコルを通してのみ可能です。"
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","PayPalは10までの配送オプションを取り扱うことができます。そのためMagentoはもし10以上の配送オプションがある場合に最初の最も安い10個のオプションをトランスファーします。"
"Shortcut Buttons Flavor","ショートカットボタン風"
"Enable PayPal Guest Checkout","PayPalゲスト購入を有効化"
"Ability for buyer to purchase without PayPal account.","PayPalアカウントなしで購入者に購入を行わせる"
"Require Customer's Billing Address","顧客の支払住所必須"
"This feature needs be enabled first for the merchant account through PayPal technical support.","この機能はPayPalのテクニカルサポートを通してマーチャントのアカウントのために有効化されなければなりません。"
"Billing Agreement Signup","支払契約サインアップ"
"Whether to create a billing agreement, if there are no active billing agreements available.","利用できる支払契約がない場合は、支払契約を作成する"
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","マーチャントは支払い契約機能を有効化するためにPayPalに申し込みする必要があります。PayPalがあなたのマーチャントアカウントの支払い契約が有効化されたことを確認するまでこのオプションを有効化しないでください。"
"Skip Order Review Step","注文リビューステップをとばす"
"PayPal Billing Agreement Settings","PayPal支払契約設定"
"Enabled","有効"
"Will appear as a payment option only for customers who have at least one active billing agreement.","少なくとも1つの有効な支払い契約をお持ちの顧客にのみ支払いオプションは表示されます。"
"Allow in Billing Agreement Wizard","支払契約ウィザード内で許可"
"Settlement Report Settings","決済レポート設定"
"SFTP Credentials","SFTP証明書"
"Login","ログイン"
"Password","パスワード"
"Custom Endpoint Hostname or IP-Address","カスタムエンドポイントホスト名かIPアドレス"
"By default it is ""reports.paypal.com"".","デフォルトは ""reports.paypal.com""."
"Use colon to specify port. For example: ""test.example.com:5224"".","コロンを使用してポートを指定してください。例: ""test.example.com:5224""."
"Custom Path","カスタムパス"
"Scheduled Fetching","スケジュールされた入手"
"Enable Automatic Fetching","自動取得を有効化"
"Schedule","スケジュール"
"PayPal retains reports for 45 days.","PayPalは45日レポートを保持します。"
"Time of Day","日の時間"
"Frontend Experience Settings","フロントエンド体験設定"
"PayPal Product Logo","PayPal製品ロゴ"
"Displays on catalog pages and homepage.","カタログページとホームページに表示"
"PayPal Merchant Pages Style","PayPalマーチャントページスタイル"
"Page Style","ページスタイル"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","許可される値: ""paypal"", ""primary"" (デフォルト), your_custom_value (あなたのマーチャントアカウントプロフィールのカスタムペイメントページスタイル)."
"Header Image URL","ヘッダー画像URL"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","画像はチェックアウトページの左上です。最大サイズは750x90ピクセル。<strong style=""color:red"">https</strong>を強く推奨します。"
"Header Background Color","ヘッダーバックグラウンドカラー"
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","チェックアウトページのヘッダーのバックグラウンドカラー。大文字小文字無関係の6文字HTML16進数ASCIIカラーコード。"
"Header Border Color","ヘッダーボーダーカラー"
"2-pixel perimeter around the header space.","ヘッダースペースの周囲2ピクセル"
"Page Background Color","ページバックグラウンドカラー"
"The background color for the checkout page around the header and payment form.","チェックアウトページのヘッダと支払いフォームの背景色"
"Payments Advanced","ペイメンツアドバンスド"
"Accept payments with a PCI-compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","あなたのサイトに顧客を保つPCI準拠のチェックアウトで支払いを受け入れます。 （<u>エクスプレスチェックアウトを含む</u>）"
"Payments Advanced and Express Checkout","ペイメンツアドバンスドおよびエクスプレスチェックアウト"
"Partner","パートナー"
"Vendor","ベンダー"
"User","ユーザー"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","PayPalは、お客様のアカウントにmanager.paypal.comで追加のユーザーを設定することをお勧めします"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPalはここに管理者のユーザ名とパスワードを入力するのではなく、manager.paypal.comでアカウントに追加のユーザを設定することをお勧めします。これにより、後でパスワードを変更するとセキュリティが強化され、サービスの中断を防ぐことができます。追加のユーザーを設定したくない場合は、ここにマーチャントログインを再入力することができます"
"Test Mode","テストモード"
"Use Proxy","プロキシー使用"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Basic Settings - PayPal Payments Advanced","基本設定 - PayPalペイメンツアドバンスト"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","この値をストアビュー毎""デビットかクレジットカード""にセットすることをおすすめします。"
"CVV Entry is Editable","CVV エントリーは編集可能です"
"Require CVV Entry","CVVエントリー必須"
"Send Email Confirmation","Eメール確認を送る"
"URL method for Cancel URL and Return URL","キャンセル URLとリターン URLのURL手法"
"Payflow Link","ペイフロウリンク"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","お客様がサイトから離れることなく料金を支払うPCI対応のゲートウェイを使用して、マーチャントアカウントを接続します。 （<u>エクスプレスチェックアウトを含む</u>）"
"Payflow Link and Express Checkout","Payflowリンクとエクスプレスチェックアウト"
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","もし複数ユーザーがアカウントにて設定されてなければ、ベンダー/マーチャントログインを再入力してください。"
"Enable Payflow Link","Payflowリンクを有効化"
"Enable Express Checkout","エクスプレスチェックアウトを有効化"
"Basic Settings - PayPal Payflow Link","基本設定 - PayPal Payflow リンク"
"Website Payments Pro Hosted Solution","Websites Hosted Solution"
"Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","あなたのサイトに顧客を保つPCI準拠のチェックアウトで支払いを受け入れます。 （<u>エクスプレスチェックアウトを含む</u>）"
"Payments Pro Hosted Solution","ペイメンツプロのホスティングソリューション"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Basic Settings - PayPal Payments Pro Hosted Solution","基本設定 -  PayPal Payments Proのホスティングソリューション"
"Display Express Checkout in the Payment Information step","支払情報ステップでエクスプレスチェックアウトを照会する"
"Website Payments Pro Hosted Solution and Express Checkout","Website Payments Pro Hosted Solutionとチェックアウト"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","基本設定 - PayPal Website Payments Pro Hosted Solution"
"Payflow Pro","Payflowプロ"
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","あなたのサイトを離れることなく顧客が支払うことができる完全にカスタマイズ可能なゲートウェイでマーチャントアカウントを接続します。 （<u>エクスプレスチェックアウトを含む</u>）"
"Vault Enabled","Vault有効"
"Basic Settings - PayPal Payflow Pro","基本設定 - PayPal Payflow Pro"
"Vault Title","Vaultのタイトル"
"Credit Card Settings","クレジットカード設定"
"Allowed Credit Card Types","使用可能なクレジットカードタイプ"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","アメリカンエクスプレスカードをサポートするには追加の合意が必要です。詳しくはこちらで<a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>ご確認ください。"
"CVV and AVS Settings","CVVとAVS設定"
"Reject Transaction if:","もしトランザクションが拒否されたら:"
"AVS Street Does Not Match","AVS番地がマッチしません"
"AVS Zip Does Not Match","AVS郵便番号がマッチしません"
"Card Issuer Is Outside The United States","カード発行会社が米国外"
"Card Security Code Does Not Match","カードセキュリティコードはマッチしません"
"Payflow Pro and Express Checkout","Payflow Pro とチェックアウトエクスプレス"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"We can't contact the PayPal gateway.","PayPal ゲートウェイにコンタクトできません"
"The ordering amount of %1 is pending approval on the payment gateway.","注文額の1%は決済ゲートウェイで認証待ちです。"
"Ordered amount of %1","注文額 %1"
"Matched whole nine-didgit ZIP (no Address)","全ての９桁ZIP合致 (住所なし)"
"Yes. Matched Address and five-didgit ZIP","住所と５桁の郵便番号"
"Invalid method %1::%2(%3)","メソッドが無効です %1::%2(%3)"
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.","PayPal Payments Advanced, PayPal Payments AdvancedのアカウントをPayPalウェブサイト上で設定しなければなりません。"
"PayPal Payment Gateways","PayPalペイメント・ゲートウェイ"
"1","1"
"PayPal Payment Solutions","PayPal 決済ソリューション"
"Email Associated with PayPal Merchant Account","PayPal出店者アカウントにひもづいたメールアドレス"
"Sandbox Credentials","サンドボックス クレデンシャル"
"It is recommended to set this value to ""Magento_Paypal"" per store views.","ストアビューごとにこの値を「Magento_Paypal」に設定することをお勧めします。"
"Payments Advanced (Includes Express Checkout)","Payments Advanced (エクスプレスチェックアウトを含む)"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","PCI標準のチェックアウトを受け入れることは、顧客の信頼を向上させる効果があります。"
"Payflow Link (Includes Express Checkout)","Payflow Link (エクスプレスチェックアウトを含む)"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","お客様がサイトから離れることなく料金を支払うことができるPCI対応ゲートウェイを使用して、マーチャントアカウントを接続します。 （エクスプレスチェックアウトを含む）"
"Accept payments with a PCI compliant checkout that keeps customers on your site.","PCI標準のチェックアウトを受け入れることは、顧客の信頼を向上させる効果があります。"
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","お客様がサイトから離れることなく料金を支払うことができるフルカスタマイズ可能なゲートウェイを使用して、マーチャントアカウントを接続します。 （エクスプレスチェックアウトを含む）"
"International AVS Indicator Does Not Match","国際AVSインディケーターがマッチしません"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (エクスプレスチェックアウトを含む)"
"Save for later use.","後で使用するために保存してください。"
"Payments Standard","Payments Standard"
"Accept credit card and PayPal payments securely.","クレジットカードとPayPalによる支払いを安全に受け入れます。"
"Basic Settings - PayPal Website Payments Standard","基本設定 - PayPal Website Payments Standard"
"Website Payments Standard","Website Payments Standard"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","注文は行われませんでした。まず、利用規約に同意してから、もう一度注文して下さい。"
"The payment couldn't be processed at this time. Please try again later.","今回、支払いが処理されませんでした。 後で再度お試し下さい。"
"The verification transaction can't be voided. ","検証トランザクションを無効にすることはできません。 "
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkoutを使用すると、顧客はPayPalクレジットを介して資金調達にアクセスできます。追加費用なしで。顧客が支払う時間がもっとあるとしても、前払いされます。事前に統合された支払いボタンにより、顧客はPayPalクレジット&#174; ですばやく支払いできます<a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">詳細を見る</a>"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Vault enabled","Vault有効"
"Gold","ゴールド"
"Blue","ブルー"
"Silver","シルバー"
"Black","ブラック"
"Vertical","垂直"
"Horizontal","水平"
"Pill","Pill"
"Rectangle","長方形"
"Medium","ミディアム"
"Large","ラージ"
"Responsive","レスポンシブ"
"Checkout","レジに進む"
"Pay","支払う"
"Buy Now","今すぐ購入する"
"PayPal","PayPal"
"Installment","定期請求"
"PayPal Credit","PayPal クレジット"
"PayPal Guest Checkout Credit Card Icons","PayPalゲストチェックアウトクレジットカードアイコン"
"Elektronisches Lastschriftverfahren - German ELV","Elektronisches Lastschriftverfahren - German ELV"
"Something went wrong with your request. Please try again later.","リクエストを処理中に問題が発生しました。後で再度お試し下さい。"
"Customize Smart Buttons","スマートボタンをカスタマイズ"
"Checkout Page","チェックアウトページ"
"Customize Button","ボタンをカスタマイズ"
"Label","ラベル"
"The installment feature is available only in these locales: en_MX, es_MX, en_BR, pt_BR.","分割払い機能は次のロケールでご利用いただけます: en_MX, es_MZ, en_BR, pt_BR"
"Mexico Installment Period","メキシコ分割払い"
"Brazil Installment Period","ブラジル分割払い"
"Layout","レイアウト"
"Select Responsive to ensure the PayPal button renders correctly on mobile devices.","レスポンシブを選択して、PayPalボタンがモバイル端末で正しく描画されるようにしてください。"
"Shape","形"
"Color","色"
"Product Pages","商品ページ"
"Cart Page","カートページ"
"Mini Cart","ミニカート"
"Features","機能"
"Disable Funding Options","資金調達オプションを無効にする"
"PayPal will automatically display each enabled funding option to eligible buyers.
                                For example, PayPal Credit is only shown to buyers in countries where PayPal Credit is
                                offered and the currency offered by the merchant is USD.","PayPalは、有効な各資金調達オプションを適格な購入者に自動的に表示します。
たとえば、PayPalクレジットは、PayPalクレジットが存在する国の購入者にのみ表示されます。
販売者が提供する通貨は米ドルです。"
