"Billing Agreements","Acordos de Faturamento"
"Don't have a PayPal account? Simply enter your email address.","Não tem uma conta PayPal? Basta digite o seu endereço de e-mail."
"API Authentication Methods","Métodos de Autenticação da API"
"API Username","Nome de usuário API"
"API Password","Senha da API"
"Get Credentials from PayPal","Obter Credenciais da PayPal"
"Sandbox Mode","Modo Sandbox"
"API Uses Proxy","API usa Proxy"
"Proxy Host","Host do Proxy"
"Proxy Port","Porta do Proxy"
"Enable this Solution","Ativar esta Solução"
"Enable In-Context Checkout Experience","Ativar Experiência Checkout no Contexto"
"See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>.","Veja os Detalhes de Suporte dos Recursos PayPal e a lista de regiões com suporte                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">aqui</a>."
"Merchant Account ID","ID da Conta de Comerciante"
"Enable PayPal Credit","Ativar Crédito PayPal"
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","O Checkout Express PayPal permite dar aos clientes acesso a financiamento através do PayPal Credit&#174; - sem custos adicionais para si.
                        O comerciante é pago de imediato, mas os clientes têm mais tempo para pagar. Existe um botão de pagamento integrado que deixa os clientes pagarem rapidamente com o PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Saiba Mais</a>"
"Sort Order PayPal Credit","Ordem de Classificação Crédito PayPal"
"Advertise PayPal Credit","Anunciar Crédito PayPal"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Porque Devo Anunciar Financiamento?</a><br/>
                                <strong>Aumente as suas vendas ao anunciar financiamento.</strong><br/>O PayPal ajuda a converter visitantes em compradores com o seu financiamento
                                PayPal Credit&#174;. Os seus clientes têm mais tempo para pagar, enquanto o comerciante é pago imediatamente - e sem custos adicionais para si.
                                Use os banners gratuitos do PayPal para anunciar o Crédito PayPal &#174; e fornecer financiamento aos clientes como opção de pagamento quando efetuarem checkout com PayPal.
                                O Programa de Anúncios PayPal comprovou gerar compras adicionais bem como aumentar o valor da compra média dos clientes por 15%
                                ou mais. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Ver Detalhes</a>."
"Publisher ID","ID do Editor"
"Required to display a banner","Necessário para exibir um banner"
"Get Publisher ID from PayPal","Obter o ID de editor do PayPal"
"Home Page","Página inicial"
"Display","Exibir"
"Position","Posição"
"Size","Tamanho"
"Catalog Category Page","Página de Categoria"
"Catalog Product Page","Página de Produto"
"Checkout Cart Page","Página do Carrinho de Compras"
"Basic Settings - PayPal Express Checkout","Configurações Básicas - PayPal Checkout Rápido"
"Title","Título"
"It is recommended to set this value to ""PayPal"" per store views.","É recomendado definir este valor para ""PayPal"" por visão de loja."
"Sort Order","Ordenação"
"Payment Action","Ação de Pagamento"
"Display on Product Details Page","Visualizar na Página de detalhes do Produto"
"Authorization Honor Period (days)","Período de Honra de Autorização (dias)"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Especifica qual é o Período de Honra de Autorização na conta de PayPal do comerciante. Deve igualar a definição no PayPal."
"Order Valid Period (days)","Período de Validade da Encomenda (dias)"
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Especifica qual é o Prazo de Validade da Encomenda na conta de PayPal do comerciante. Deve ser igual a configuração no PayPal."
"Number of Child Authorizations","Numero de Autorizações Filhas"
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","O numero total de autorizações filhas na sua conta PayPal é 1. Para múltiplas autorizações, por favor entre em contato com o PayPal e solicite um aumento."
"Advanced Settings","Configurações avançadas"
"Display on Shopping Cart","Mostrar no Carrinho de Compras"
"Also affects mini-shopping cart.","Também Afetam o mini-carrinho de compras."
"Payment Applicable From","Pagamento Aplicável De"
"Countries Payment Applicable From","Países com Pagamento Aplicável de"
"Debug Mode","Modo de depuração"
"Enable SSL verification","Ativar Verificação SSL"
"Transfer Cart Line Items","Transferir Itens da Linha do Carrinho"
"Transfer Shipping Options","Transferir Opções de Envio"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Se esta opção estiver ativa, o cliente poderá alterar a morada e o modo de envio no site do PayPal. Em modo produção funcionará apenas através do protocolo HTTPS."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Note que o PayPal pode gerir até 10 opções de envio. Devido a isto, o Magento irá transferir apenas as 10 opções de envio mais baratas se existirem mais de 10."
"Shortcut Buttons Flavor","Tipo de Botões de Atalho"
"Enable PayPal Guest Checkout","Ativar Checkout PayPal para Usuários Não Registrados"
"Ability for buyer to purchase without PayPal account.","Capacitar comprador para efetuar a compra sem uma conta PayPal."
"Require Customer's Billing Address","Exigir Endereço de Faturação do Cliente"
"This feature needs be enabled first for the merchant account through PayPal technical support.","Esta funcionalidade precisa de ser primeiro ativada para a conta de comerciante através do suporte técnico do PayPal."
"Billing Agreement Signup","Assinatura do Contrato de Cobrança"
"Whether to create a billing agreement, if there are no active billing agreements available.","Seja para criar um contrato de cobrança, se não houver acordos de cobrança ativos disponíveis."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Os comerciantes tem de contactar a PayPal para ativar a funcionalidade dos acordos de faturação. Não ative esta opção até que a PayPal confirme que os acordos de faturação foram ativados para a sua conta de comerciante."
"Skip Order Review Step","Pular Passo de Revisão do Pedido"
"PayPal Billing Agreement Settings","Configurações de acordo de faturamento do PayPal"
"Enabled","Habilitado"
"Will appear as a payment option only for customers who have at least one active billing agreement.","Aparecerá como uma opção de pagamento apenas para clientes que tenham pelo menos um contrato de cobrança ativo."
"Allow in Billing Agreement Wizard","Permitir no Assistente de Acordo de Fatura"
"Settlement Report Settings","Configurações de relatório de liquidação"
"SFTP Credentials","Credenciais SFTP"
"Login","Entrar"
"Password","Senha"
"Custom Endpoint Hostname or IP-Address","Hostname ou Endereço IP do Endpoint Personalizado"
"By default it is ""reports.paypal.com"".","Por padrão é ""reports.paypal.com""."
"Use colon to specify port. For example: ""test.example.com:5224"".","Use dois pontos para especificar o porto. Por exemplo: ""teste.exemplo.com:5224""."
"Custom Path","Caminho Personalizado"
"Scheduled Fetching","Obtenção Agendada"
"Enable Automatic Fetching","Ativar Obtenção Automática"
"Schedule","Agenda"
"PayPal retains reports for 45 days.","O Paypal mantém os relatórios durante 45 dias."
"Time of Day","Hora do Dia"
"Frontend Experience Settings","Configurações de Experiência no Frontend"
"PayPal Product Logo","Logo de Produto do PayPal"
"Displays on catalog pages and homepage.","Exibir nas páginas do catálogo e homepage."
"PayPal Merchant Pages Style","Estilo das Páginas de Comerciante PayPal"
"Page Style","Estilo de página"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Valores permitidos: ""paypal"", ""primary"" (pré-definido), o_seu_valor_personalizado (um estilo de página de pagamento personalizado do seu perfil da conta de comerciante)."
"Header Image URL","URL da Imagem do Cabeçalho"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","A imagem no canto superior esquerdo da página de checkout. O tamanho máximo é de 750x90 píxeis.É altamente recomendado o uso de <strong style=""color:red"">https</strong>."
"Header Background Color","Cor do Fundo do Cabeçalho"
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","A cor do fundo para o cabeçalho da página de checkout. Código de cor ASCII hexadecimal HTML sem distinção de maiúsculas e minúsculas."
"Header Border Color","Cor da Borda do Cabeçalho"
"2-pixel perimeter around the header space.","Perímetro de 2 pixeis ao redor do espaço do cabeçalho."
"Page Background Color","Cor de Fundo da Página"
"The background color for the checkout page around the header and payment form.","A cor de fundo para a página de checkout em torno do formulário cabeçalho e pagamento."
"Payments Advanced","Pagamentos Avançados"
"Accept payments with a PCI-compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Aceite pagamentos com um checkout compatível com PCI que mantém os clientes em seu site. (<u>incluindo</u> Express Checkout)"
"Payments Advanced and Express Checkout","Pagamentos Avançados e Checkout Express"
"Partner","Parceiro"
"Vendor","Fornecedor"
"User","Usuário"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","O PayPal recomenda que configure um Utilizador adicional na sua conta em manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","O PayPal recomenda que configure um Utilizador adicional na sua conta em manager.paypal.com, em vez de inserir o seu nome de utilizador e palavra-passe de administrador. Isto irá melhorar a segurança dos seus dados e irá prevenir interrupções de serviço se mais tarde desejar alterar a sua palavra-passe. Se não quiser configurar um Utilizador adicional, pode re-introduzir os seus dados de Comerciante aqui."
"Test Mode","Modo de Teste"
"Use Proxy","Usar Proxy"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Porque Devo Anunciar Financiamento?</a><br/>
                                <strong>Aumente as suas vendas ao anunciar financiamento.</strong><br/>O PayPal ajuda a converter visitantes em compradores com o seu financiamento
                                PayPal Credit&#174;. Os seus clientes têm mais tempo para pagar, enquanto o comerciante é pago imediatamente - e sem custos adicionais para si.
                                Use os banners gratuitos do PayPal para anunciar o Crédito PayPal &#174; e fornecer financiamento aos clientes como opção de pagamento quando efetuarem checkout com PayPal.
                                O Programa de Anúncios PayPal comprovou gerar compras adicionais bem como aumentar o valor da compra média dos clientes por 15%
                                ou mais. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Ver Detalhes</a>."
"Basic Settings - PayPal Payments Advanced","Definições Básicas - Pagamentos PayPal Advanced"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","É recomendado definir este valor para ""Cartão de Débito ou Crédito"" por vista de loja."
"CVV Entry is Editable","A Entrada CVV é Editável"
"Require CVV Entry","Exigir entrada CVV"
"Send Email Confirmation","Enviar E-mail de Confirmação"
"URL method for Cancel URL and Return URL","Método URL para Cancelar URL e URL de Retorno"
"Payflow Link","Payflow Link"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","Ligue a sua conta de comerciante com um gateway compatível com a norma PCI que permita aos clientes pagar sem deixar o seu site"
"Payflow Link and Express Checkout","Payflow Link e Express Checkout"
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Se não tiver múltiplos utilizadores configurados na sua conta, por favor re-introduza os seus dados de Vendedor/Comerciante aqui."
"Enable Payflow Link","Habilitar Payflow Link"
"Enable Express Checkout","Habilitar o Express Checkout"
"Basic Settings - PayPal Payflow Link","Configurações Básicas - PayPal Payflow Link"
"Website Payments Pro Hosted Solution","Solução de Pagamentos Pro Hosted"
"Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Aceita pagamentos com um checkout compatível com PCI que mantém os clientes em seu site. (<u>incluindo</u> Express Checkout)"
"Payments Pro Hosted Solution","Solução de Pagamentos Pro Hosted"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Porque Devo Anunciar Financiamento?</a><br/>
                                <strong>Aumente as suas vendas ao anunciar financiamento.</strong><br/>O PayPal ajuda a converter visitantes em compradores com o seu financiamento
                                PayPal Credit&#174;. Os seus clientes têm mais tempo para pagar, enquanto o comerciante é pago imediatamente - e sem custos adicionais para si.
                                Use os banners gratuitos do PayPal para anunciar o Crédito PayPal &#174; e fornecer financiamento aos clientes como opção de pagamento quando efetuarem checkout com PayPal.
                                O Programa de Anúncios PayPal comprovou gerar compras adicionais bem como aumentar o valor da compra média dos clientes por 15%
                                ou mais. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Ver Detalhes</a>."
"Basic Settings - PayPal Payments Pro Hosted Solution","Aa"
"Display Express Checkout in the Payment Information step","Todod"
"Website Payments Pro Hosted Solution and Express Checkout","Solução de Pagamentos de Site da Web Pro Hospedado e Finalizar Compra Expresso"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Definições Básicas - Solução de Pagamentos PayPal Pro Hosted"
"Payflow Pro","Payflow Pro"
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","Ligue a sua conta de comerciante com um gateway completamente personalizável que permita aos clientes pagar sem sair do seu site."
"Vault Enabled","Vault habilitado"
"Basic Settings - PayPal Payflow Pro","Configurações Básicas - PayPal Payflow Pro"
"Vault Title","Título Vault"
"Credit Card Settings","Configurações de Cartão de Crédito"
"Allowed Credit Card Types","Permitido tipos de Cartão de Crédito"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Aceitar cartões American Express exige um acordo adicional. Saiba mais em <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"CVV and AVS Settings","Definições CVV e AVS"
"Reject Transaction if:","Rejeitar a transação se:"
"AVS Street Does Not Match","O endereço da rua AVS não Corresponde"
"AVS Zip Does Not Match","Cód. Postal AVS Não Corresponde"
"Card Issuer Is Outside The United States","Emissor do cartão está fora dos Estados Unidos"
"Card Security Code Does Not Match","O Código de Segurança do Cartão Não Coincide"
"Payflow Pro and Express Checkout","Payflow Pro e Express Checkout"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Porque Devo Anunciar Financiamento?</a><br/>
                                <strong>Aumente as suas vendas ao anunciar financiamento.</strong><br/>O PayPal ajuda a converter visitantes em compradores com o seu financiamento
                                PayPal Credit&#174;. Os seus clientes têm mais tempo para pagar, enquanto o comerciante é pago imediatamente - e sem custos adicionais para si.
                                Use os banners gratuitos do PayPal para anunciar o Crédito PayPal &#174; e fornecer financiamento aos clientes como opção de pagamento quando efetuarem checkout com PayPal.
                                O Programa de Anúncios PayPal comprovou gerar compras adicionais bem como aumentar o valor da compra média dos clientes por 15%
                                ou mais. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Ver Detalhes</a>."
"We can't contact the PayPal gateway.","Não podemos entrar em contato com o gateway PayPal."
"The ordering amount of %1 is pending approval on the payment gateway.","O valor de %1 está com aprovação pendente no gateway de pagamentos."
"Ordered amount of %1","Valor comprado de %1"
"Matched whole nine-didgit ZIP (no Address)","Correspondência do código postal de 9 dígitos (sem Morada)"
"Yes. Matched Address and five-didgit ZIP","Sim. Morada e código postal correspondido"
"Invalid method %1::%2(%3)","Método inválido %1::%2(%3)"
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.","Para usar PayPal Payments Advanced, você precisa configurar sua conta PayPal no site do PayPal."
"PayPal Payment Gateways","Gateways de Pagamento PayPal"
"1","1"
"PayPal Payment Solutions","Soluções de Pagamento PayPal"
"Email Associated with PayPal Merchant Account","E-mail Associado com a Conta de Comerciante PayPal"
"Sandbox Credentials","Credenciais Sandbox"
"It is recommended to set this value to ""Magento_Paypal"" per store views.","Recomenda-se definir este valor como ""Magento Paypal"" para vistas da loja."
"Payments Advanced (Includes Express Checkout)","Pagamentos Avançados (Inclui Checkout Express)"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Aceite pagamentos com um checkout segundo a norma PCI que mantenha os clientes no seu site."
"Payflow Link (Includes Express Checkout)","Link Payflow (Inclui Checkout Express)"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Ligue a sua conta de comerciante com um gateway compatível com a norma PCI que permita aos clientes pagar sem deixar o seu site."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Aceite pagamentos com um checkout segundo a norma PCI que mantenha os clientes no seu site."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Ligue a sua conta de comerciante com um gateway completamente personalizável que permita aos clientes pagar sem sair do seu site."
"International AVS Indicator Does Not Match","O Indicador Internacional AVS Não Coincide"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (Inclui Checkout Express)"
"Save for later use.","Gravar para uso futuro."
"Payments Standard","Pagamentos Padrão"
"Accept credit card and PayPal payments securely.","Aceitamos cartão de crédito e pagamentos PayPal de forma segura."
"Basic Settings - PayPal Website Payments Standard","Definições Básicas - Solução de Pagamentos PayPal Padrão"
"Website Payments Standard","Padrão de pagamentos do site"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","O pedido não foi feito. Primeiro, concorde com os termos e condições e tente fazer seu pedido novamente."
"The payment couldn't be processed at this time. Please try again later.","O pagamento não pôde ser processado neste momento. Por favor, tente novamente mais tarde."
"The verification transaction can't be voided. ","A transação de verificação não pode ser anulada. "
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","O Checkout Express PayPal permite dar aos clientes acesso a financiamento através do PayPal Credit&#174; - sem custos adicionais para si.
                        O comerciante é pago de imediato, mas os clientes têm mais tempo para pagar. Existe um botão de pagamento integrado que deixa os clientes pagarem rapidamente com o PayPal Credit&#174;.
                        <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Saiba Mais</a>"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Porque Devo Anunciar Financiamento?</a><br/>
                                <strong>Aumente as suas vendas ao anunciar financiamento.</strong><br/>O PayPal ajuda a converter visitantes em compradores com o seu financiamento
                                PayPal Credit&#174;. Os seus clientes têm mais tempo para pagar, enquanto o comerciante é pago imediatamente - e sem custos adicionais para si.
                                Use os banners gratuitos do PayPal para anunciar o Crédito PayPal &#174; e fornecer financiamento aos clientes como opção de pagamento quando efetuarem checkout com PayPal.
                                O Programa de Anúncios PayPal comprovou gerar compras adicionais bem como aumentar o valor da compra média dos clientes por 15%
                                ou mais. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Ver Detalhes</a>."
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Porque Devo Anunciar Financiamento?</a><br/>
                                <strong>Aumente as suas vendas ao anunciar financiamento.</strong><br/>O PayPal ajuda a converter visitantes em compradores com o seu financiamento
                                PayPal Credit&#174;. Os seus clientes têm mais tempo para pagar, enquanto o comerciante é pago imediatamente - e sem custos adicionais para si.
                                Use os banners gratuitos do PayPal para anunciar o Crédito PayPal &#174; e fornecer financiamento aos clientes como opção de pagamento quando efetuarem checkout com PayPal.
                                O Programa de Anúncios PayPal comprovou gerar compras adicionais bem como aumentar o valor da compra média dos clientes por 15%
                                ou mais. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Ver Detalhes</a>."
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Porque Devo Anunciar Financiamento?</a><br/>
                                <strong>Aumente as suas vendas ao anunciar financiamento.</strong><br/>O PayPal ajuda a converter visitantes em compradores com o seu financiamento
                                PayPal Credit&#174;. Os seus clientes têm mais tempo para pagar, enquanto o comerciante é pago imediatamente - e sem custos adicionais para si.
                                Use os banners gratuitos do PayPal para anunciar o Crédito PayPal &#174; e fornecer financiamento aos clientes como opção de pagamento quando efetuarem checkout com PayPal.
                                O Programa de Anúncios PayPal comprovou gerar compras adicionais bem como aumentar o valor da compra média dos clientes por 15%
                                ou mais. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Ver Detalhes</a>."
"Vault enabled","Cofre habilitado"
"Gold","Ouro"
"Blue","Azul"
"Silver","Prata"
"Black","Preto"
"Vertical","Vertical"
"Horizontal","Horizontal"
"Pill","Pilha"
"Rectangle","Retângulo"
"Medium","Média"
"Large","Grande"
"Responsive","Responsivo"
"Checkout","Finalizar Compra"
"Pay","Pagar"
"Buy Now","Compre agora"
"PayPal","PayPal"
"Installment","Parcela"
"PayPal Credit","Crédito PayPal"
"PayPal Guest Checkout Credit Card Icons","Ícones de Cartão de Crédito do PayPal Checkout como convidado"
"Elektronisches Lastschriftverfahren - German ELV","Elektronisches Lastschriftverfahren - ELV alemão"
"Something went wrong with your request. Please try again later.","Algo deu errado com sua requisição. Por favor, tente novamente mais tarde."
"Customize Smart Buttons","Personalizar botões inteligentes"
"Checkout Page","Página de Finalizar Compra"
"Customize Button","Botão personalizado"
"Label","Título"
"The installment feature is available only in these locales: en_MX, es_MX, en_BR, pt_BR.","O recurso de parcelamento está disponível apenas nestas localidades: en_MX, es_MX, en_BR, pt_BR."
"Mexico Installment Period","Período do parcelamento no México"
"Brazil Installment Period","Período do parcelamento no Brasil"
"Layout","Layout"
"Select Responsive to ensure the PayPal button renders correctly on mobile devices.","Selecione a Resposta para garantir que o botão PayPal renderize corretamente em dispositivos móveis."
"Shape","Formato"
"Color","Cor"
"Product Pages","Páginas de Produto"
"Cart Page","Página do carrinho"
"Mini Cart","Mini carrinho"
"Features","Recursos"
"Disable Funding Options","Desativar opções de financiamento"
"PayPal will automatically display each enabled funding option to eligible buyers.
                                For example, PayPal Credit is only shown to buyers in countries where PayPal Credit is
                                offered and the currency offered by the merchant is USD.","O PayPal exibirá automaticamente cada opção de financiamento ativada para compradores qualificados.
                                 Por exemplo, o crédito do PayPal é mostrado apenas para compradores em países onde o crédito do PayPal é
                                 oferecido e a moeda oferecida pelo comerciante é USD."
