"Billing Agreements","Ententes de facturation"
"Email Associated with PayPal Merchant Account (Optional)","Adresse email associée au compte marchand PayPal (facultatif)"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal""> commencer à accepter les paiements via PayPal !</a>"
"Don't have a PayPal account? Simply enter your email address.","Vous n'avez pas de compte PayPal ? Il suffit d'entrer votre adresse email."
"API Authentication Methods","Modes d'authentification de l'API"
"API Username","Pseudo API"
"API Password","Mot de passe API"
"Get Credentials from PayPal","Obtenez les informations d'accès de PayPal"
"Sandbox Mode","Mode Sandbox"
"API Uses Proxy","API utilisant un proxy"
"Proxy Host","Hôte proxy"
"Proxy Port","Port de proxy"
"Enable this Solution","Activer cette solution"
"Enable In-Context Checkout Experience","Activer l'expérience de paiement In-Context"
"See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>.","Voir les détails de support de Paypal et les régions supportées
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">ici</a>."
"Merchant Account ID","Identifiant du compte marchand"
"Enable PayPal Credit","Activer le crédit PayPal"
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout vous permet d'accéder au financement via PayPal Credit&#174; - sans frais supplémentaires.
                        Vous recevez un paiement en première ligne, même si les clients ont plus de temps à payer. Un bouton de paiement pré-intégré permet aux clients de payer rapidement avec PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Apprenez plus</a>"
"Sort Order PayPal Credit","Ordre de tri PayPal Crédit"
"Advertise PayPal Credit","Promouvoir le crédit PayPal"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Pourquoi le financement de la publicité ?</a><br/>
                        <strong>Donnez à vos ventes un coup de fouet lorsque vous annoncez le financement.</strong><br/>PayPal aide à transformer les navigateurs en acheteurs avec le financement
                        à partir de PayPal Credit&#174;. Vos clients ont plus de temps à payer, alors que vous vous payez avant – sans frais supplémentaires.
                        Utilisez les annonces de bannières gratuites de PayPal qui vous permettent de faire la publicité de crédit PayPal&#174; comme option de paiement lorsque vos clients se rendent sur PayPal.
                        Le programme de publicité PayPal a été montré pour générer des achats supplémentaires ainsi que pour augmenter la taille moyenne d'achat du consommateur de 15%
                        ou plus. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Voir les détails</a>."
"Publisher ID","Identifiant de l'éditeur"
"Required to display a banner","Requis pour afficher une bannière"
"Get Publisher ID from PayPal","Obtenir l'identifiant de l'éditeur auprès de PayPal"
"Home Page","Page d'accueil"
"Display","Afficher"
"Position","Position"
"Size","Taille"
"Catalog Category Page","Page des catégories du catalogue"
"Catalog Product Page","Page des produits du catalogue"
"Checkout Cart Page","Page du paiement du panier"
"Basic Settings - PayPal Express Checkout","Réglages de base - PayPal Express Checkout"
"Title","Titre"
"It is recommended to set this value to ""PayPal"" per store views.","Il est recommandé de fixer cette valeur à ""PayPal"" par vues de magasin."
"Sort Order","Ordre de tri""Abandoned Carts"
"Payment Action","Action de paiement"
"Display on Product Details Page","Afficher sur la page de détails du produit"
"Authorization Honor Period (days)","Période d'autorisation d'honneur (jours)"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Indiquez quelle est la période d'autorisation d'honneur sur ​​le compte PayPal du marchand. Il doit refléter le paramétrage dans PayPal."
"Order Valid Period (days)","Période de validité d'une commande (jours)"
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Indiquez quelle est la période de validité de commande sur ​​le compte PayPal du marchand. Il doit refléter le paramétrage dans PayPal."
"Number of Child Authorizations","Nombre d'autorisations enfants"
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","Le nombre par défaut d'autorisations enfants dans votre compte Paypal est de 1. Veuillez contacter PayPal pour demander une augmentation."
"Advanced Settings","Paramètres avancés"
"Display on Shopping Cart","Afficher dans le panier"
"Also affects mini-shopping cart.","Affecte également le panier de mini-achats."
"Payment Applicable From","Paiement valable depuis"
"Countries Payment Applicable From","Pays applicables pour le paiement"
"Debug Mode","Mode debug"
"Enable SSL verification","Autoriser la vérification SSL"
"Transfer Cart Line Items","Transférer les articles dans votre panier"
"Transfer Shipping Options","Options d'expédition de transfert"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Si cette option est activée, le client peut changer l'adresse de livraison et d'expédition méthode sur le site de PayPal. Travail en mode direct via le protocole HTTPS uniquement."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","PayPal est capable de gérer jusqu'à 10 options de livraison. C'est pour cela que Magento transfèrera uniquement les 10 options de livraison les moins chères s'il y en a plus que 10."
"Shortcut Buttons Flavor","Boutons de raccourci Flavor"
"Enable PayPal Guest Checkout","Activer le passage de commande pour invité avec PayPal"
"Ability for buyer to purchase without PayPal account.","Capacité pour l'acheteur d'acheter sans compte PayPal."
"Require Customer's Billing Address","Nécessite l'adresse de facturation du client"
"This feature needs be enabled first for the merchant account through PayPal technical support.","Cette fonctionnalité doit d'abord être activée pour le compte commerçant via le support technique de PayPal."
"Billing Agreement Signup","Engagement d'entente de facturation "
"Whether to create a billing agreement, if there are no active billing agreements available.","Créer une entente de facturation, s'il n'y a aucune entente de facturation active disponible."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Les commerçants ont besoin d'appliquer l'option chez PayPal pour permettre aux ententes de facturation de fonctionner. Ne pas activer cette option jusqu'à ce que PayPal confirme que les ententes de facturation sont activées pour votre compte marchand."
"Skip Order Review Step","Ignorer l'étape d'examen des commandes"
"PayPal Billing Agreement Settings","Paramètres de l'accord de facturation PayPal"
"Enabled","Activé"
"Will appear as a payment option only for customers who have at least one active billing agreement.","Apparaît comme une option de paiement uniquement pour les clients qui ont au moins une entente de facturation active."
"Allow in Billing Agreement Wizard","Autoriser dans l'assistant d'entente de facturation"
"Settlement Report Settings","Les paramètres du rapport de règlement"
"SFTP Credentials","Informations d'accès SFTP"
"Login","Connexion"
"Password","Mot de passe"
"Custom Endpoint Hostname or IP-Address","Critère Personnalisé Hostname ou adresse IP"
"By default it is ""reports.paypal.com"".","Par défaut il est ""reports.paypal.com""."
"Use colon to specify port. For example: ""test.example.com:5224"".","Employez les deux points pour spécifier le port. Par exemple : ""test.example.com:5224""."
"Custom Path","Chemin d'accès personnalisé"
"Scheduled Fetching","Récupération de ligne"
"Enable Automatic Fetching","Activer la récupération automatique"
"Schedule","Programme"
"PayPal retains reports for 45 days.","PayPal conserve des rapports pendant 45 jours."
"Time of Day","Heure du jour"
"Frontend Experience Settings","Paramètres d'expérience en frontend"
"PayPal Product Logo","Logo du produit PayPal"
"Displays on catalog pages and homepage.","L'affichage sur les pages de catalogue et l'accueil"
"PayPal Merchant Pages Style","PayPal marchand pages de style"
"Page Style","Style de page"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Valeurs autorisées: ""paypal"", ""primary"" (par défaut), your_custom_value (un style de page de paiement personnalisé à partir de votre profil de compte marchand)."
"Header Image URL","URL de l'image d'entête"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","L'ajout d'une image en haut à gauche de la page de paiement (Taille maxi 750x90 pixels. <strong style=""color:red""> https</strong>) est fortement conseillé."
"Header Background Color","Couleur d'arrière plan de l'entête"
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Couleur de fond pour l'entête de la page de paiement. Insensible à la casse (Six caractères de couleur hexadécimal HTML en ASCII)."
"Header Border Color","Couleur de la bordure de l'entête"
"2-pixel perimeter around the header space.","Périmètre de 2 pixels autour de l'espace d'en-tête"
"Page Background Color","Couleur d'arrière plan de la page"
"The background color for the checkout page around the header and payment form.","Couleur d'arrière plan entre l'entête et le formulaire de paiement."
"Payments Advanced","Paiements Avancés"
"Accept payments with a PCI-compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Acceptez les paiements avec une caisse conforme à la norme PCI qui maintient les clients sur votre site. (<u>inclut le paiement express</u>)"
"Payments Advanced and Express Checkout","Paiements avancés et Express Checkout"
"Partner","Partenaire"
"Vendor","Vendeur"
"User","Utilisateur"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","PayPal vous recommande de configurer un utilisateur supplémentaire sur votre compte à l'adresse manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal vous recommande de configurer un utilisateur supplémentaire sur votre compte à l'adresse manager.paypal.com, au lieu de saisir votre nom d'utilisateur et votre mot de passe admin ici. Cela renforcera votre sécurité et empêchera les interruptions de service si vous modifiez ultérieurement votre mot de passe. Si vous ne souhaitez pas créer d'utilisateur supplémentaire, vous pouvez entrer à nouveau votre identifiant de commerçant ici."
"Test Mode","Mode test"
"Use Proxy","Utiliser un proxy"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Pourquoi le financement de la publicité ?</a><br/>
                                            <strong>Donnez à vos ventes un coup de fouet lorsque vous annoncez le financement.</strong><br/>PayPal aide à transformer les navigateurs en acheteurs avec le financement
                                            de PayPal Credit&#174;. Vos clients ont plus de temps à payer, alors que vous vous payez avant – sans frais supplémentaires.
                                            Utilisez les annonces de bannières gratuites de PayPal qui vous permettent de faire la publicité de crédit PayPal&#174; comme option de paiement lorsque vos clients se rendent sur PayPal.
                                            Le programme de publicité PayPal a été montré pour générer des achats supplémentaires ainsi que pour augmenter la taille moyenne d'achat du consommateur de 15%
                                            ou plus. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Voir les détails</a>."
"Basic Settings - PayPal Payments Advanced","Paramètres de base - Paiements PayPal avancés"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Il est recommandé de fixer cette valeur à ""Carte de débit ou de crédit"" pour chaque vue magasin."
"CVV Entry is Editable","L'entrée CVV est modifiable"
"Require CVV Entry","Entrée CVV Exiger"
"Send Email Confirmation","Envoyer une confirmation par courriel"
"URL method for Cancel URL and Return URL","Méthode d'URL pour annuler l'URL et renvoyer l'URL"
"Payflow Link","Lien de flux de paiement"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","Connectez votre compte marchand à une passerelle compatible PCI qui permet aux clients de payer sans quitter votre site. (<u> inclut le paiement express </u>)"
"Payflow Link and Express Checkout","Lien de flux de paiement et paiement express"
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Si vous n'avez pas plusieurs utilisateurs configurés sur votre compte, veuillez entrer à nouveau votre identifiant de vendeur / commerçant ici."
"Enable Payflow Link","Activer le lien flux de paiement"
"Enable Express Checkout","Activer le paiement express"
"Basic Settings - PayPal Payflow Link","Paramètres de base - Lien PayPal Payflow"
"Website Payments Pro Hosted Solution","Solution hébergée Website Payments Pro"
"Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Acceptez les paiements avec une caisse conforme à la norme PCI qui maintient les clients sur votre site. (<u>inclut le paiement express</u>)"
"Payments Pro Hosted Solution","Solution de paiement Pro hébergée"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Pourquoi le financement de la publicité ?</a><br/>
                            <strong>Donnez à vos ventes un coup de fouet lorsque vous annoncez le financement.</strong><br/>PayPal aide à transformer les navigateurs en acheteurs avec le financement
                            de PayPal Credit&#174;. Vos clients ont plus de temps à payer, alors que vous vous payez avant – sans frais supplémentaires.
                            Utilisez les annonces de bannières gratuites de PayPal qui vous permettent de faire la publicité de crédit PayPal&#174; comme option de paiement lorsque vos clients se rendent sur PayPal.
                            Le programme de publicité PayPal a été montré pour générer des achats supplémentaires ainsi que pour augmenter la taille moyenne d'achat du consommateur de 15%
                            ou plus. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Voir les détails</a>."
"Basic Settings - PayPal Payments Pro Hosted Solution","Paramètres de base - Solution hébergée de PayPal Payments Pro"
"Display Express Checkout in the Payment Information step","Afficher le paiement Express dans l'étape des informations de paiement"
"Website Payments Pro Hosted Solution and Express Checkout","Solution hébergée et paiements express de Website Payments Pro"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Paramètres de base - Solution hébergée PayPal Payments Pro sur site marchand"
"Payflow Pro","Payflow Pro"
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","Connectez votre compte marchand avec une passerelle entièrement personnalisable qui permet aux clients de payer sans quitter votre site. (<u>inclut le paiement express</u>)"
"Vault Enabled","Coffre activé"
"Basic Settings - PayPal Payflow Pro","Réglages de base - mode de paiement PayPal Pro"
"Vault Title","Nom du coffre"
"Credit Card Settings","Paramètres de carte de crédit"
"Allowed Credit Card Types","Types de cartes de crédit autorisées"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Le support des cartes American Express nécessite un accord supplémentaire. Pour en savoir plus : <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"CVV and AVS Settings","CVV et paramètres AVS"
"Reject Transaction if:","Rejeter la transaction si :"
"AVS Street Does Not Match","La rue AVS ne correspond pas"
"AVS Zip Does Not Match","Le code postal AVS ne correspond pas"
"Card Issuer Is Outside The United States","L'émetteur de la carte est en dehors des Etats-Unis"
"Card Security Code Does Not Match","Le code secret de la carte ne correspond pas"
"Payflow Pro and Express Checkout","Payflow Pro et paiement express"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Pourquoi le financement de la publicité ?</a><br/>
                                <strong>Donnez à vos ventes un coup de fouet lorsque vous annoncez le financement.</strong><br/>PayPal aide à transformer les navigateurs en acheteurs avec le financement
                                de PayPal Credit&#174;. Vos clients ont plus de temps à payer, alors que vous vous payez avant – sans frais supplémentaires.
                                Utilisez les bannières gratuites de PayPal qui vous permettent de faire la publicité de crédit PayPal&#174; comme option de paiement lorsque vos clients se rendent sur PayPal.
                                Le programme de publicité PayPal a été montré pour générer des achats supplémentaires ainsi que pour augmenter la taille moyenne d'achat du consommateur de 15%
                                ou plus. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Voir les détails</a>."
"We can't contact the PayPal gateway.","Nous ne pouvons pas contacter la passerelle PayPal."
"The ordering amount of %1 is pending approval on the payment gateway.","Le montant de commande de %1 est en attente d'approbation sur la passerelle de paiement."
"Ordered amount of %1","Montant commandé de %1"
"Matched whole nine-didgit ZIP (no Address)","Correspondance sur 9 chiffres du code postal"
"Yes. Matched Address and five-didgit ZIP","Oui, Correspondance de l'adresse et du code postal à 5 chiffres"
"Invalid method %1::%2(%3)","Méthode non valide %1::%2(%3)"
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.","Pour utiliser PayPal Payments Advanced, vous devez configurer votre compte PayPal Payments Advanced sur le site PayPal."
"PayPal Payment Gateways","Passerelles de paiement PayPal"
"1","1"
"PayPal Payment Solutions","Solutions de paiement PayPal"
"Email Associated with PayPal Merchant Account","Email associée à Compte Marchand PayPal"
"Sandbox Credentials","Informations d'accès en mode Sandbox"
"It is recommended to set this value to ""Magento_Paypal"" per store views.","Il est recommandé de définir cette valeur à ""Magento_Paypal"" par vue magasin."
"Payments Advanced (Includes Express Checkout)","Paiements Avancés (Inclut le paiement Express)"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Acceptez les paiements avec un paiement conforme à la norme PCI qui garde les clients sur votre site."
"Payflow Link (Includes Express Checkout)","Lien de paiement (Inclut le paiement Express)"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Connectez votre compte marchand avec une passerelle conforme à la norme PCI qui permet aux clients de payer sans quitter votre site."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Acceptez les paiements avec un paiement conforme à la norme PCI qui garde les clients sur votre site."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Connectez votre compte marchand avec une passerelle entièrement personnalisable qui permet aux clients de payer sans quitter votre site."
"International AVS Indicator Does Not Match","Indicateur AVS international ne correspond pas"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (Inclut le paiement Express)"
"Save for later use.","Sauvegarder pour plus tard."
"Payments Standard","Norme Sur Les Paiements"
"Accept credit card and PayPal payments securely.","Accepter la carte de crédit et les paiements par PayPal en toute sécurité."
"Basic Settings - PayPal Website Payments Standard","Des Paramètres De Base - Site De PayPal Norme Sur Les Paiements"
"Website Payments Standard","Site Web De La Norme Sur Les Paiements"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","La commande n'a pas été passée. Tout d'abord, acceptez les conditions générales, puis essayez de passer votre commande à nouveau."
"The payment couldn't be processed at this time. Please try again later.","Le paiement n'a pas pu être traité pour le moment. Veuillez réessayer plus tard."
"The verification transaction can't be voided. ","La transaction de vérification ne peut pas être annulée. "
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout vous permet d'accéder au financement via PayPal Credit&#174; - sans frais supplémentaires.
                        Vous recevez un paiement en première ligne, même si les clients ont plus de temps à payer. Un bouton de paiement pré-intégré permet aux clients de payer rapidement avec PayPal Credit&#174;.
                        <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Apprenez plus</a>"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Pourquoi le financement de la publicité ?</a><br/>
                        <strong>Donnez à vos ventes un coup de fouet lorsque vous annoncez le financement.</strong><br/>PayPal aide à transformer les navigateurs en acheteurs avec le financement
                        à partir de PayPal Credit&#174;. Vos clients ont plus de temps à payer, alors que vous vous payez avant – sans frais supplémentaires.
                        Utilisez les annonces de bannières gratuites de PayPal qui vous permettent de faire la publicité de crédit PayPal&#174; comme option de paiement lorsque vos clients se rendent sur PayPal.
                        Le programme de publicité PayPal a été montré pour générer des achats supplémentaires ainsi que pour augmenter la taille moyenne d'achat du consommateur de 15%
                        ou plus. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Voir les détails</a>."
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Pourquoi le financement de la publicité ?</a><br/>
                            <strong>Donnez à vos ventes un coup de fouet lorsque vous annoncez le financement.</strong><br/>PayPal aide à transformer les navigateurs en acheteurs avec le financement
                            de PayPal Credit&#174;. Vos clients ont plus de temps à payer, alors que vous vous payez avant – sans frais supplémentaires.
                            Utilisez les annonces de bannières gratuites de PayPal qui vous permettent de faire la publicité de crédit PayPal&#174; comme option de paiement lorsque vos clients se rendent sur PayPal.
                            Le programme de publicité PayPal a été montré pour générer des achats supplémentaires ainsi que pour augmenter la taille moyenne d'achat du consommateur de 15%
                            ou plus. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Voir les détails</a>."
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Pourquoi le financement de la publicité ?</a><br/>
                                <strong>Donnez à vos ventes un coup de fouet lorsque vous annoncez le financement.</strong><br/>PayPal aide à transformer les navigateurs en acheteurs avec le financement
                                de PayPal Credit&#174;. Vos clients ont plus de temps à payer, alors que vous vous payez avant – sans frais supplémentaires.
                                Utilisez les bannières gratuites de PayPal qui vous permettent de faire la publicité de crédit PayPal&#174; comme option de paiement lorsque vos clients se rendent sur PayPal.
                                Le programme de publicité PayPal a été montré pour générer des achats supplémentaires ainsi que pour augmenter la taille moyenne d'achat du consommateur de 15%
                                ou plus. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Voir les détails</a>."
"Vault enabled","Coffre activé"
"Gold","Gold  "
"Blue","Blue"
"Silver","Silver"
"Black","Black"
"Vertical","Vertical"
"Horizontal","Horizontal"
"Pill","Pille"
"Rectangle","Rectangle"
"Medium","Standard"
"Large","Grand"
"Responsive","Adaptatif"
"Checkout","Commander"
"Pay","Payer"
"Buy Now","Acheter"
"PayPal","PayPal"
"Installment","Paiement échelonné"
"PayPal Credit","Crédit PayPal"
"PayPal Guest Checkout Credit Card Icons","Icônes de carte de crédit PayPal Guest Checkout"
"Elektronisches Lastschriftverfahren - German ELV","Elektronisches Lastschriftverfahren - ELV allemand"
"Something went wrong with your request. Please try again later.","Une erreur s'est produite avec votre demande. Veuillez réessayer plus tard."
"Customize Smart Buttons","Personnaliser les boutons intelligents"
"Checkout Page","Page de commande"
"Customize Button","Personnaliser le bouton"
"Label","Libellé"
"The installment feature is available only in these locales: en_MX, es_MX, en_BR, pt_BR.","La fonctionnalité d'installation est disponible uniquement dans ces locales : en_MX, es_MX, en_BR, pt_BR."
"Mexico Installment Period","Paiement échelonné Mexique"
"Brazil Installment Period","Paiement échelonné Brésil"
"Layout","Agencement"
"Select Responsive to ensure the PayPal button renders correctly on mobile devices.","Sélectionnez Adaptatif pour s'assurer que le bouton PayPal s'affiche correctement sur les appareils mobiles."
"Shape","Forme"
"Color","Couleur"
"Product Pages","Pages de produits"
"Cart Page","Page du panier"
"Mini Cart","Mini panier"
"Features","Fonctionnalités"
"Disable Funding Options","Désactiver les options de financement"
"PayPal will automatically display each enabled funding option to eligible buyers.
                                For example, PayPal Credit is only shown to buyers in countries where PayPal Credit is
                                offered and the currency offered by the merchant is USD.","PayPal affichera automatiquement chaque option de financement activée aux acheteurs admissibles.
                                Par exemple, le crédit PayPal n'est montré qu'aux acheteurs dans les pays où le crédit PayPal est offert
                                et la devise offerte par le marchand est USD."
