"Billing Agreements","ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದಗಳು"
"View Order","ವ್ಯಾಪಾರಾದೇಶ ವೀಕ್ಷಿಸಿ"
"Back to Billing Agreements","ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದಗಳಿಗೆ ಹಿಂದಿರುಗಿ"
"Payment Method","ಪಾವತಿ ವಿಧಾನ"
"View","ವೀಕ್ಷಿಸಿ"
"There are no billing agreements yet.","ಇನ್ನೂ ಯಾವುದೇ ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದಗಳಿಲ್ಲ."
"New Billing Agreement","ಹೊಸ ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದ"
"You will be redirected to the payment system website.","ನಿಮ್ಮನ್ನು ಪಾವತಿ ವ್ಯವಸ್ಥೆ ಜಾಲತಾಣಕ್ಕೆ ಮರುನಿರ್ದೇಶಿಸಲಾಗುವುದು."
"-- Please Select --","--ದಯವಿಟ್ಟು ಆರಿಸಿ--"
"Create...","ರಚಿಸಿ..."
"Your credit card will be charged for","Your credit card will be charged for"
"Your billing agreement # is: ","ನಿಮ್ಮ ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದ #: "
"Shipping Method","ಸಾಗಾಣಿಕೆ ವಿಧಾನ"
"Please select a shipping method...","ದಯವಿಟ್ಟು ರವಾನೆ ವಿಧಾನವನ್ನು ಆರಿಸಿ..."
"Update Shipping Method","Update Shipping Method"
"Sorry, no quotes are available for this order right now.","Sorry, no quotes are available for this order right now."
"Shipping Address","ರವಾನೆ ವಿಳಾಸ"
"Edit","ಸಂಪಾದಿಸಿ"
"Buy now with PayPal","ಈಗ PayPal ನೊಂದಿಗೆ ಖರೀದಿಸಿ"
"Edit Payment Information","ಪಾವತಿ ಮಾಹಿತಿಯನ್ನು ಸಂಪಾದಿಸಿ"
"Items in Your Shopping Cart","ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿನ ವಸ್ತುಗಳು"
"Edit Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸಂಪಾದಿಸಿ"
"Place Order","ಖರೀದಿಸಿ"
"Submitting order information...","ವ್ಯಾಪಾರಾದೇಶದ ಮಾಹಿತಿಯನ್ನು ಸಲ್ಲಿಸಲಾಗುತ್ತಿದೆ..."
"Item","ವಸ್ತು"
"Price","ದರ"
"Qty","ಪರಿಮಾಣ"
"Subtotal","ಉಪಮೊತ್ತ"
"Please update order data to get shipping methods and rates","Please update order data to get shipping methods and rates"
"or","ಅಥವಾ"
"Checkout with PayPal","Checkout with PayPal"
"Please do not refresh the page until you complete payment.","Please do not refresh the page until you complete payment."
"You will be required to enter your payment details after you place an order.","You will be required to enter your payment details after you place an order."
"Continue","ಮುಂದುವರೆಯಿರಿ"
"Additional Options","ಹೆಚ್ಚುವರಿ ಆಯ್ಕೆಗಳು"
"-- Please Select Billing Agreement--","-- Please Select Billing Agreement--"
"Acceptance Mark","Acceptance Mark"
"What is PayPal?","What is PayPal?"
"Sign a billing agreement to streamline further purchases  with PayPal.","Sign a billing agreement to streamline further purchases  with PayPal."
"Sign a billing agreement to streamline further purchases with PayPal.","Sign a billing agreement to streamline further purchases with PayPal."
"Continue to PayPal","PayPal ಗೆ ಮುಂದುವರೆಯಿರಿ"
"Save credit card information for future use.","ಭವಿಷ್ಯದ ಬಳಕೆಗೆ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡಿನ ಮಾಹಿತಿಯನ್ನು ಉಳಿಸಿ."
"Sorry, something went wrong.","ಕ್ಷಮಿಸಿ, ಆದರೆ ಏನೋ ತೊಂದರೆಯಾಗಿದೆ."
"Sorry, something went wrong. Please try again later.","ಏನೋ ದೋಷವುಂಟಾಗಿದೆ. ದಯವಿಟ್ಟು ನಂತರ ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"PayPal Section","PayPal ವಿಭಾಗ"
"PayPal Settlement","PayPal Settlement"
"Fetch","ಹುಡುಕಿ ತೆಗೆ"
"Actions","ಕ್ರಿಯೆಗಳು"
"Manage","ನಿರ್ವಹಿಸಿ"
"Place Order Using Billing Agreements","Place Order Using Billing Agreements"
"Orders","ವ್ಯಾಪಾರಾದೇಶಗಳು"
"Payment Amount Authorization","Payment Amount Authorization"
"Merchant Location","ವರ್ತಕರ ಜಾಗ"
"Merchant Country","ವರ್ತಕರ ದೇಶ"
"If not specified, Default Country from General Config will be used","If not specified, Default Country from General Config will be used"
"Recommended Solutions:","ಶಿಫಾರಸ್ಸು ಮಾಡಿದ ಪರಿಹಾರಗಳು:"
"Other PayPal Payment Solutions:","Other PayPal Payment Solutions:"
"Other Payment Methods:","ಇತರೆ ಪಾವತಿ ವಿಧಾನಗಳು:"
"PayPal Express Checkout","PayPal Express Checkout"
"Add another payment method to your existing solution or as a stand-alone option.","Add another payment method to your existing solution or as a stand-alone option."
"PayPal All-in-One Payment Solutions&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal All-in-One Payment Solutions&nbsp;<i>Accept and process credit cards and PayPal payments.</i>"
"Choose a secure bundled payment solution for your business.","Choose a secure bundled payment solution for your business."
"Payments Pro","Payments Pro"
"Payments Pro and Express Checkout","Payments Pro and Express Checkout"
"Basic Settings - PayPal Payments Pro","Basic Settings - PayPal Payments Pro"
"PayPal Payment Gateways&nbsp;<i>Process payments using your own internet merchant account.</i>","PayPal Payment Gateways&nbsp;<i>Process payments using your own internet merchant account.</i>"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>"
"Accept payments with a completely customizable checkout page.","Accept payments with a completely customizable checkout page."
"Process payments using your own internet merchant account.","Process payments using your own internet merchant account."
"Website Payments Pro","Website Payments Pro"
"Express Checkout","Express Checkout"
"Add PayPal as an additional payment method to your checkout page.","Add PayPal as an additional payment method to your checkout page."
"Required PayPal Settings","Required PayPal Settings"
"Email Associated with PayPal Merchant Account (Optional)","Email Associated with PayPal Merchant Account (Optional)"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>"
"Don't have a PayPal account? Simply enter your email address.","Don't have a PayPal account? Simply enter your email address."
"API Authentication Methods","API Authentication Methods"
"API Username","API Username"
"API Password","API Password"
"Get Credentials from PayPal","Get Credentials from PayPal"
"Sandbox Mode","Sandbox Mode"
"API Uses Proxy","API Uses Proxy"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Enable this Solution","Enable this Solution"
"Enable In-Context Checkout Experience","Enable In-Context Checkout Experience"
"See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>.","See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>."
"Merchant Account ID","Merchant Account ID"
"Enable PayPal Credit","PayPal ಕ್ರೆಡಿಟ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>"
"Sort Order PayPal Credit","Sort Order PayPal Credit"
"Advertise PayPal Credit","Advertise PayPal Credit"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Publisher ID","Publisher ID"
"Required to display a banner","Required to display a banner"
"Get Publisher ID from PayPal","Get Publisher ID from PayPal"
"Home Page","ಮುಖಪುಟ"
"Display","ಪ್ರದರ್ಶಿಸಿ"
"Position","ಸ್ಥಾನ"
"Size","ಗಾತ್ರ"
"Catalog Category Page","Catalog Category Page"
"Catalog Product Page","Catalog Product Page"
"Checkout Cart Page","ಬುಟ್ಟಿ ಚೆಕೌಟ್ ಪುಟ"
"Basic Settings - PayPal Express Checkout","Basic Settings - PayPal Express Checkout"
"Title","ಶೀರ್ಷಿಕೆ"
"It is recommended to set this value to ""PayPal"" per store views.","It is recommended to set this value to ""PayPal"" per store views."
"Sort Order","ವಿಂಗಡಣಾ ಕ್ರಮ"
"Payment Action","ಪಾವತಿ ಕ್ರಿಯೆ"
"Display on Product Details Page","ಉತ್ಪನ್ನದ ವಿವರಗಳ ಪುಟದಲ್ಲಿ ಪ್ರದರ್ಶಿಸಿ"
"Authorization Honor Period (days)","Authorization Honor Period (days)"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal."
"Order Valid Period (days)","Order Valid Period (days)"
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal."
"Number of Child Authorizations","Number of Child Authorizations"
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase."
"Advanced Settings","ಸುಧಾರಿತ ಸಂಯೋಜನೆಗಳು"
"Display on Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿ ಪ್ರದರ್ಶಿಸಿ"
"Also affects mini-shopping cart.","Also affects mini-shopping cart."
"Payment Applicable From","Payment Applicable From"
"Countries Payment Applicable From","Countries Payment Applicable From"
"Debug Mode","Debug Mode"
"Enable SSL verification","SSL ಪರಿಶೀಲನೆಯನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Transfer Cart Line Items","Transfer Cart Line Items"
"Transfer Shipping Options","Transfer Shipping Options"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available."
"Shortcut Buttons Flavor","Shortcut Buttons Flavor"
"Enable PayPal Guest Checkout","Enable PayPal Guest Checkout"
"Ability for buyer to purchase without PayPal account.","Ability for buyer to purchase without PayPal account."
"Require Customer's Billing Address","ಗ್ರಾಹಕರ ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸ ಅಗತ್ಯವಿದೆ"
"This feature needs be enabled first for the merchant account through PayPal technical support.","This feature needs be enabled first for the merchant account through PayPal technical support."
"Billing Agreement Signup","Billing Agreement Signup"
"Whether to create a billing agreement, if there are no active billing agreements available.","Whether to create a billing agreement, if there are no active billing agreements available."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account."
"Skip Order Review Step","Skip Order Review Step"
"PayPal Billing Agreement Settings","PayPal ಬಿಲ್ಲಿಂಗ್ ಒಪ್ಪಂದದ ಸಂಯೋಜನೆಗಳು"
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"Will appear as a payment option only for customers who have at least one active billing agreement.","Will appear as a payment option only for customers who have at least one active billing agreement."
"Allow in Billing Agreement Wizard","Allow in Billing Agreement Wizard"
"Settlement Report Settings","Settlement Report Settings"
"SFTP Credentials","SFTP Credentials"
"Login","ಲಾಗಿನ್"
"Password","ಗುಪ್ತಪದ"
"Custom Endpoint Hostname or IP-Address","Custom Endpoint Hostname or IP-Address"
"By default it is ""reports.paypal.com"".","By default it is ""reports.paypal.com""."
"Use colon to specify port. For example: ""test.example.com:5224"".","Use colon to specify port. For example: ""test.example.com:5224""."
"Custom Path","Custom Path"
"Scheduled Fetching","Scheduled Fetching"
"Enable Automatic Fetching","Enable Automatic Fetching"
"Schedule","Schedule"
"PayPal retains reports for 45 days.","PayPal retains reports for 45 days."
"Time of Day","ದಿನದ ಸಮಯ"
"Frontend Experience Settings","Frontend Experience Settings"
"PayPal Product Logo","PayPal Product Logo"
"Displays on catalog pages and homepage.","Displays on catalog pages and homepage."
"PayPal Merchant Pages Style","PayPal Merchant Pages Style"
"Page Style","ಪುಟದ ಶೈಲಿ"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile)."
"Header Image URL","ತಲೆಬರಹದ ಚಿತ್ರದ URL"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged."
"Header Background Color","ತಲೆಬರಹದ ಹಿನ್ನೆಲೆ ಬಣ್ಣ"
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII."
"Header Border Color","ತಲೆಬರಹದ ಅಂಚಿನ ಬಣ್ಣ"
"2-pixel perimeter around the header space.","2-pixel perimeter around the header space."
"Page Background Color","ಪುಟದ ಹಿನ್ನೆಲೆ ಬಣ್ಣ"
"The background color for the checkout page around the header and payment form.","The background color for the checkout page around the header and payment form."
"Payments Advanced","ಸುಧಾರಿತ ಪಾವತಿಗಳು"
"Accept payments with a PCI-compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Accept payments with a PCI-compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)"
"Payments Advanced and Express Checkout","Payments Advanced and Express Checkout"
"Partner","ಪಾಲುದಾರರು"
"Vendor","Vendor"
"User","ಬಳಕೆದಾರರು"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","PayPal recommends that you set up an additional User on your account at manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here."
"Test Mode","Test Mode"
"Use Proxy","Use Proxy"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Basic Settings - PayPal Payments Advanced","Basic Settings - PayPal Payments Advanced"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","It is recommended to set this value to ""Debit or Credit Card"" per store views."
"CVV Entry is Editable","CVV Entry is Editable"
"Require CVV Entry","CVV ನಮೂದಿನ ಅಗತ್ಯವಿದೆ"
"Send Email Confirmation","Send Email Confirmation"
"URL method for Cancel URL and Return URL","URL method for Cancel URL and Return URL"
"Payflow Link","Payflow Link"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)"
"Payflow Link and Express Checkout","Payflow Link and Express Checkout"
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here."
"Enable Payflow Link","Enable Payflow Link"
"Enable Express Checkout","Enable Express Checkout"
"Basic Settings - PayPal Payflow Link","Basic Settings - PayPal Payflow Link"
"Website Payments Pro Hosted Solution","Website Payments Pro Hosted Solution"
"Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)"
"Payments Pro Hosted Solution","Payments Pro Hosted Solution"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Basic Settings - PayPal Payments Pro Hosted Solution","Basic Settings - PayPal Payments Pro Hosted Solution"
"Display Express Checkout in the Payment Information step","Display Express Checkout in the Payment Information step"
"Website Payments Pro Hosted Solution and Express Checkout","Website Payments Pro Hosted Solution and Express Checkout"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Basic Settings - PayPal Website Payments Pro Hosted Solution"
"Payflow Pro","Payflow Pro"
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)"
"Vault Enabled","Vault Enabled"
"Basic Settings - PayPal Payflow Pro","Basic Settings - PayPal Payflow Pro"
"Vault Title","Vault Title"
"Credit Card Settings","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಸಂಯೋಜನೆಗಳು"
"Allowed Credit Card Types","ಅನುಮತಿಸಿರುವ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ವಿಧಗಳು"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"CVV and AVS Settings","CVV ಮತ್ತು AVS ಸಂಯೋಜನೆಗಳು"
"Reject Transaction if:","Reject Transaction if:"
"AVS Street Does Not Match","AVS Street Does Not Match"
"AVS Zip Does Not Match","AVS Zip Does Not Match"
"Card Issuer Is Outside The United States","Card Issuer Is Outside The United States"
"Card Security Code Does Not Match","ಕಾರ್ಡಿನ ಗೌಪ್ಯತಾ ಸಂಕೇತ ಹೊಂದಿಕೆಯಾಗಿಲ್ಲ"
"Payflow Pro and Express Checkout","Payflow Pro and Express Checkout"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"We can't contact the PayPal gateway.","We can't contact the PayPal gateway."
"The ordering amount of %1 is pending approval on the payment gateway.","The ordering amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"Matched whole nine-didgit ZIP (no Address)","Matched whole nine-didgit ZIP (no Address)"
"Yes. Matched Address and five-didgit ZIP","Yes. Matched Address and five-didgit ZIP"
"Invalid method %1::%2(%3)","Invalid method %1::%2(%3)"
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.","To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website."
"PayPal Payment Gateways","PayPal Payment Gateways"
"1","1"
"PayPal Payment Solutions","PayPal Payment Solutions"
"Email Associated with PayPal Merchant Account","Email Associated with PayPal Merchant Account"
"Sandbox Credentials","Sandbox Credentials"
"It is recommended to set this value to ""Magento_Paypal"" per store views.","It is recommended to set this value to ""Magento_Paypal"" per store views."
"Payments Advanced (Includes Express Checkout)","Payments Advanced (Includes Express Checkout)"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Accept payments with a PCI-compliant checkout that keeps customers on your site."
"Payflow Link (Includes Express Checkout)","Payflow Link (Includes Express Checkout)"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Accept payments with a PCI compliant checkout that keeps customers on your site."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site."
"International AVS Indicator Does Not Match","International AVS Indicator Does Not Match"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (Includes Express Checkout)"
"Save for later use.","ನಂತರದ ಬಳಕೆಗಾಗಿ ಉಳಿಸಿ."
"Payments Standard","Payments Standard"
"Accept credit card and PayPal payments securely.","Accept credit card and PayPal payments securely."
"Basic Settings - PayPal Website Payments Standard","Basic Settings - PayPal Website Payments Standard"
"Website Payments Standard","Website Payments Standard"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The payment couldn't be processed at this time. Please try again later.","The payment couldn't be processed at this time. Please try again later."
"The verification transaction can't be voided. ","The verification transaction can't be voided. "
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
