"Billing Agreements","Συμφωνίες Χρέωσης"
"The PayPal certificate file is empty.","Το αρχείο πιστοποιητικού του PayPal είναι κενό."
"Header (center)","Κεφαλίδα (Κέντρο)"
"Sidebar (right)","Πλευρική γραμμή (δεξιά)"
"Near PayPal Credit checkout button","Κοντά στο κουμπί ολοκλήρωση παραγγελίας PayPal Credit"
"--Please Select--","--Παρακαλώ Επιλέξτε--"
"Daily","Καθημερινά"
"Every 3 days","Κάθε 3 μέρες"
"Every 7 days","Κάθε 7 ημέρες"
"Every 10 days","Κάθε 10 ημέρες"
"Every 14 days","Κάθε 14 ημέρες"
"Every 30 days","Κάθε 30 ημέρες"
"Every 40 days","Κάθε 40 ημέρες"
"No Logo","Χωρίς Λογότυπο"
"Yes (PayPal recommends this option)","Ναι (Το PayPal συνιστά αυτή την επιλογή)"
"Created billing agreement #%1.","Δημιουργήθηκε χρέωσης συμφωνίας #%1."
"We can't create a billing agreement for this order.","Δεν μπορούμε να δημιουργήσουμε μια συμφωνία χρέωσης για αυτήν την παραγγελία."
"An invoice cannot be created when none of authorization transactions available.","An invoice cannot be created when none of authorization transactions available."
"Pending PayPal","PayPal σε Εκκρεμότητα"
"PayPal Reversed","Αντιστράφηκε από PayPal"
"PayPal Canceled Reversal","Το PayPal Ακυρωσε την Aντιστροφή"
"Error","Σφάλμα"
"Billing Agreement","Συμφωνία Χρέωσης"
"Please Select","Παρακαλώ Επιλέξτε"
"Customer","Πελάτης"
"Created At","Δημιουργήθηκε στις"
"Updated At","Ενημερώθηκε στις"
"Not sure what PayPal payment method to use? Click ","Δεν είστε σίγουροι ποια μέθοδο πληρωμής PayPal να χρησιμοποιήσετε; Κάντε κλικ "
"here","εδώ"
" to learn more."," για να μάθετε περισσότερα."
"Important: ","Σημαντικό: "
"To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website.","To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website."
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Μόλις συνδεθείτε στο λογαριασμό σας PayPal για προχωρημένους, μεταβείτε στο μενού Ρυθμίσεις Υπηρεσίας - Φιλοξενία Σελίδων Ολοκλήρωσης Παραγγελίας - Ρυθμίσεις Μενού και ορίστε τις επιλογές που περιγράφονται παρακάτω"
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","Για να χρησιμοποιήσετε το σύνδεσμο PayPal Payflow, πρέπει να ρυθμίσετε το σύνδεσμο λογαριασμού σας PayPal Payflow στην ιστοσελίδα του PayPal."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Μόλις συνδεθείτε στο σύνδεσμο λογαριασμού σας PayPal Payflow, μεταβείτε στο μενού Ρυθμίσεις Υπηρεσίας - Φιλοξενία Σελίδων Ολοκλήρωσης Παραγγελίας - Ρυθμίσεις Μενού και ορίστε τις επιλογές που περιγράφονται παρακάτω"
"Credit Card Type","Είδος Πιστωτικής Κάρτας"
"Credit Card Number","Αριθμός πιστωτικής κάρτας"
"Expiration Date","Ημερομηνία λήξης"
"Card Verification Number","Αριθμός Επικύρωσης Κάρτας"
"Billing Agreement # ","Συμφωνία Χρέωσης # "
"Agreement Information","Πληροφορίες Συμφωνίας"
"Reference ID:","ID Αναφοράς:"
"Status:","Κατάσταση:"
"Created:","Δημιουργήθηκε:"
"Updated:","Ενημερώθηκε:"
"Payment Method:","Μέθοδος Πληρωμής:"
"Order #","Παραγγελία #"
"Date","Ημερομηνία"
"Ship To","Αποστολή Σε"
"Order Status","Κατάσταση Παραγγελίας"
"View Order","Προβολή Παραγγελίας"
"Back to Billing Agreements","Πίσω στις Συμφωνίες Χρέωσης"
"Payment Method","Μέθοδος Πληρωμής"
"View","Προβολή"
"There are no billing agreements yet.","Δεν υπάρχουν ακόμα συμφωνίες χρέωσης."
"New Billing Agreement","Νέα συμφωνία χρέωσης"
"You will be redirected to the payment system website.","Θα μεταφερθείτε στην ιστοσελίδα του συστήματος πληρωμών."
"-- Please Select --","--Παρακαλώ επιλέξτε--"
"Create...","Δημιουργία..."
"Your credit card will be charged for","Την πιστωτική σας κάρτα θα χρεωθεί με"
"Your billing agreement # is: ","Η συμφωνία χρέωσής σας # είναι: "
"Shipping Method","Μέθοδος Αποστολής"
"Please select a shipping method...","Παρακαλώ επιλέξτε μία μέθοδο αποστολής..."
"Update Shipping Method","Ενημέρωση τρόπου αποστολής"
"Sorry, no quotes are available for this order right now.","Συγνώμη, δεν υπάρχουν διαθέσιμες προσφορές για αυτήν την παραγγελία αυτή τη στιγμή."
"Shipping Address","Διεύθυνση Αποστολής"
"Edit","Επεξεργασία"
"Buy now with PayPal","Αγοράστε τώρα με PayPal"
"Edit Payment Information","Επεξεργασία Πληροφοριών Πληρωμής"
"Items in Your Shopping Cart","Αντικείμενα στο Καλάθι Αγορών Σας"
"Edit Shopping Cart","Επεξεργασία του Καλαθιού Αγορών"
"Place Order","Υποβολή Παραγγελίας"
"Submitting order information...","Υποβολή Πληροφοριών Παραγγελίας..."
"Item","Είδος"
"Price","Τιμή"
"Qty","Ποσότητα"
"Subtotal","Υποσύνολο"
"Please update order data to get shipping methods and rates","Παρακαλούμε να ενημερώσετε δεδομένα προκειμένου να πάρουν τις μεθόδους αποστολής και τα ποσοστά"
"or","ή"
"Checkout with PayPal","Ολοκλήρωση Αγοράς με PayPal"
"Please do not refresh the page until you complete payment.","Παρακαλώ μην ανανεώσετε τη σελίδα μέχρι να ολοκληρώσετε την πληρωμή."
"You will be required to enter your payment details after you place an order.","Θα χρειαστεί να εισάγετε τα στοιχεία πληρωμής, αφού τοποθετήσετε μια παραγγελία."
"Continue","Συνέχεια"
"Additional Options","Πρόσθετες Επιλογές"
"-- Please Select Billing Agreement--","--Παρακαλώ Επιλέξτε Συμφωνία Χρέωσης--"
"Acceptance Mark","Εικόνας Αποδοχής"
"What is PayPal?","Τι είναι το PayPal;"
"Sign a billing agreement to streamline further purchases  with PayPal.","Υπογράψτε μια συμφωνία χρέωσης για να βελτιώσετε περαιτέρω τις αγορές με το PayPal."
"Sign a billing agreement to streamline further purchases with PayPal.","Υπογράψτε μια συμφωνία χρέωσης για να βελτιώσετε περαιτέρω τις αγορές με το PayPal."
"Continue to PayPal","Συνέχεια στο PayPal"
"Save credit card information for future use.","Αποθηκεύστε τις πληροφορίες πιστωτικής κάρτας για μελλοντική χρήση."
"Sorry, something went wrong.","Συγνώμη, κάτι πήγε λάθος."
"Sorry, something went wrong. Please try again later.","Λυπούμαστε, κάτι πήγε στραβά. Παρακαλώ προσπαθήστε ξανά αργότερα."
"PayPal Section","Ενότητα PayPal"
"PayPal Settlement","Διευθέτηση Paypal"
"Fetch","Λήψη"
"Actions","Ενέργειες"
"Manage","Διαχείριση"
"Place Order Using Billing Agreements","Τοποθέτηση Παραγγελίας Χρησιμοποιώντας Συμφωνίες Χρέωσης"
"Orders","Παραγγελίες"
"Payment Amount Authorization","Payment Amount Authorization"
"Merchant Location","Τοποθεσία Εμπόρου"
"Merchant Country","Χώρα Εμπόρου"
"If not specified, Default Country from General Config will be used","Εάν δεν καθοριστεί, θα χρησιμοποιηθεί προεπιλεγμένη χώρα από Γενική Ρύθμιση"
"Recommended Solutions:","Προτεινόμενες Λύσεις:"
"Other PayPal Payment Solutions:","Άλλες PayPal Λύσεις Πληρωμών:"
"Other Payment Methods:","Άλλοι Τρόποι Πληρωμής:"
"PayPal Express Checkout","PayPal Express Checkout"
"Add another payment method to your existing solution or as a stand-alone option.","Προσθέστε μια άλλη μέθοδο πληρωμής στην υπάρχουσα λύση ή ως μεμονωμένη επιλογή."
"PayPal All-in-One Payment Solutions&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","Λύσεις πληρωμής PayPal All-in-One&nbsp;<i>Αποδοχή και Επεξεργασία Πιστωτικών Κάρτών και πληρωμών PayPal.</i>"
"Choose a secure bundled payment solution for your business.","Επιλέξτε μια συνδυαστική λύση ασφαλών πληρωμών για την επιχείρησή σας."
"Payments Pro","Πληρωμές Pro"
"Payments Pro and Express Checkout","Payments Pro και Express Checkout"
"Basic Settings - PayPal Payments Pro","Βασικές Ρυθμίσεις - Πληρωμές PayPal Pro"
"PayPal Payment Gateways&nbsp;<i>Process payments using your own internet merchant account.</i>","PayPal Payment Gateways&nbsp;<i>Process payments using your own internet merchant account.</i>"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","Λύσεις πληρωμής PayPal All-in-One&nbsp;&nbsp;<i>Αποδοχή και Επεξεργασία Πιστωτικών Κάρτών και πληρωμών PayPal.</i>"
"Accept payments with a completely customizable checkout page.","Δέχονται πληρωμές με μία πλήρως προσαρμοσμένη σελίδα ολοκλήρωσης παραγγελίας."
"Process payments using your own internet merchant account.","Επεξεργασία πληρωμών, χρησιμοποιώντας το δικό σας εμπορικό λογαριασμό internet."
"Website Payments Pro","Website Payments Pro"
"Express Checkout","Γρήγορη Πληρωμή Παραγγελίας"
"Add PayPal as an additional payment method to your checkout page.","Προσθέστε το PayPal σαν μια επιπλέον μέθοδο πληρωμής στη σελίδα ολοκλήρωση της παραγγελίας σας."
"Required PayPal Settings","Απαραίτητες ρυθμίσεις PayPal"
"Email Associated with PayPal Merchant Account (Optional)","Διεύθυνση Email που συσχετίζεται με το λογαριασμό εμπόρου PayPal (προαιρετικά)"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>"
"Don't have a PayPal account? Simply enter your email address.","Δεν έχετε λογαριασμό PayPal; Απλά εισάγετε τη διεύθυνση του email σας."
"API Authentication Methods","Μέθοδοι ελέγχου ταυτότητας API"
"API Username","API Όνομα χρήστη"
"API Password","API Κωδικός Πρόσβασης"
"Get Credentials from PayPal","Λάβετε διαπιστευτήρια από PayPal"
"Sandbox Mode","Κατάσταση λειτουργίας sandbox"
"API Uses Proxy","Το API Χρησιμοποιεί Διακομιστή Μεσολάβησης (Proxy)"
"Proxy Host","Διακομιστής Μεσολάβησης"
"Proxy Port","Θύρα Διακομιστή Μεσολάβησης"
"Enable this Solution","Ενεργοποίηση αυτής της λύσης"
"Enable In-Context Checkout Experience","Ενεργοποίηση στο πλαίσιο της Διαδικασίας Ολοκλήρωσης Παραγγελίας"
"See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>.","Δείτε Λεπτομέρειες Χαρακτηριστικών Γνωρισμάτων Υποστήριξης PayPal και λίστα υποστηριζόμενων περιοχών <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">εδώ</a>."
"Merchant Account ID","ID του λογαριασμού εμπόρου"
"Enable PayPal Credit","Ενεργοποίηση PayPal Credit"
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","Γρήγορη Ολοκλήρωση Παραγγελίας PayPal Express Checkout σάς δίνει τη δυνατότητα να παρέχετε στους πελάτες πρόσβαση σε χρηματοδότηση μέσω PayPal Credit® - χωρίς επιπλέον κόστος για εσάς.                         Μπορείτε να πληρώνεστε μπροστά, ακόμα κι αν οι πελάτες έχουν περισσότερο χρόνο για να πληρώσουν. Ένα προ-ολοκληρωμένο κουμπί πληρωμής  επιτρέπει στους πελάτες να πληρώσουν γρήγορα και με PayPal Credit®.                         <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Μάθετε περισσότερα</a>"
"Sort Order PayPal Credit","Ταξινόμηση Πίστωσης PayPal"
"Advertise PayPal Credit","Διαφημίστε το PayPal Credit"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","                     <a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Γιατί διαφημίσετε χρηματοδοτήσεις;</a><br/>                         <strong>Ενισχύστε τις πωλήσεις σας όταν μπορείτε να διαφημίσετε χρηματοδότηση.</strong> <br/>Το PayPal βοηθά να μετατρέψει το προγράμματα περιήγησης σε αγοραστές με χρηματοδότηση από το PayPal Credit®. Οι πελάτες σας έχουν περισσότερο χρόνο για να πληρώσουν, ενώ μπορείτε να πληρώνεστε εκ των προτέρων – χωρίς επιπλέον κόστος για εσάς.                         Η Χρήση των δωρεάν διαφημιστικών banners του PayPal σας επιτρέπουν να διαφημιστείτε PayPal Credit® χρηματοδότηση ως μέσο πληρωμής, όταν οι πελάτες σας πληρώνουν με PayPal.                         Το διαφημιστικό πρόγραμμα PayPal έχει αποδειχθεί ότι δημιουργεί πρόσθετες αγορές, καθώς και αύξηση μεγεθών της μέση αγοράς του καταναλωτή κατά 15% <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Δείτε λεπτομέρειες</a>."
"Publisher ID","ID Εκδότη"
"Required to display a banner","Απαιτείται για να εμφανιστεί ένα banner"
"Get Publisher ID from PayPal","Λάβετε το Αναγνωριστικό Εκδότη από το PayPal"
"Home Page","Αρχική σελίδα"
"Display","Προβολή"
"Position","Θέσης"
"Size","Μέγεθος"
"Catalog Category Page","Σελίδα Κατηγορίας καταλόγου"
"Catalog Product Page","Σελίδα Καταλόγου Προϊόντος"
"Checkout Cart Page","Σελίδα Καλάθιού Ολοκλήρωσης Παραγγελίας"
"Basic Settings - PayPal Express Checkout","Βασικές ρυθμίσεις - PayPal Express Ολοκλήρωση Παραγγελίας"
"Title","Τίτλος"
"It is recommended to set this value to ""PayPal"" per store views.","Συνιστάται να ρυθμίσετε αυτήν την τιμή ""Paypal"" ανά προβολές καταστήματος."
"Sort Order","Σειρά Ταξινόμησης"
"Payment Action","Ενέργεια Πληρωμής"
"Display on Product Details Page","Προβολή στη Σελίδα Λεπτομερειών του Προϊόντος"
"Authorization Honor Period (days)","Τιμητική Περίοδος Εξουσιοδότησης (ημέρες)"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Καθορίζει ποια είναι Περίοδος Δόξας Εξουσιοδότισης στο λογαριασμό PayPal του εμπόρου. Αυτό πρέπει να αντικατοπτρίζει τη ρύθμιση στο PayPal."
"Order Valid Period (days)","Έγκυρη Περίοδος Παραγγελίας (ημέρες)"
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Καθορίζει ποια είναι Έγκυρη Περίοδος Παραγγελίας στο λογαριασμό PayPal του εμπόρου. Αυτό πρέπει να αντικατοπτρίζει τη ρύθμιση στο PayPal."
"Number of Child Authorizations","Αριθμός Εγκρίσεων Παιδιών"
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","Ο προεπιλεγμένος αριθμός αδειών παιδιών στο λογαριασμό σας PayPal είναι 1. Για να κάνετε πολλαπλές άδειες επικοινωνήστε με PayPal για να ζητήσετε αύξηση."
"Advanced Settings","Ρυθμίσεις για Προχωρημένους"
"Display on Shopping Cart","Προβολή στο καλάθι αγορών"
"Also affects mini-shopping cart.","Επηρεάζει επίσης το μίνι-καλάθι αγορών."
"Payment Applicable From","Πληρωμή που Eφαρμόζεται Από"
"Countries Payment Applicable From","Εφαρμόσιμες Χώρες Πληρωμής Από"
"Debug Mode","Λειτουργία Αποσφαλμάτωσης"
"Enable SSL verification","Ενεργοποίηση Eπαλήθευσης SSL"
"Transfer Cart Line Items","Μεταφορά των Ειδών απ'τη Γραμμή του Καλαθιού"
"Transfer Shipping Options","Μεταφορά των Επιλογών Αποστολής"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Εάν αυτή η επιλογή είναι ενεργοποιημένη, ο πελάτης μπορεί να αλλάξει την διεύθυνση αποστολής και τη μέθοδο αποστολής στην ιστοσελίδα PayPal. Σε λειτουργία ζωντανής προβολής λειτουργεί μόνο μέσω του πρωτοκόλλου HTTPS."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Λάβετε υπόψη ότι το PayPal μπορεί να χειριστεί μέχρι 10 μεθόδους αποστολής. Γι ' αυτό το Magento θα μεταφέρει μόνο τις πρώτες 10 φθηνότερες επιλογές αποστολής αν υπάρχουν διαθέσιμες περισσότερες από 10."
"Shortcut Buttons Flavor","Γεύση Κουμπιών Συντόμευσης"
"Enable PayPal Guest Checkout","Ενεργοποίηση Ολοκλήρωσης Παραγγελίας PayPal Επισκέπτη"
"Ability for buyer to purchase without PayPal account.","Δυνατότητα για τον αγοραστή να αγοράζει χωρίς λογαριασμό PayPal."
"Require Customer's Billing Address","Απαιτείται Διεύθυνση Χρέωσης του Πελάτη"
"This feature needs be enabled first for the merchant account through PayPal technical support.","Αυτή η δυνατότητα πρέπει να ενεργοποιηθεί πρώτα για τον εμπορικό λογαριασμό μέσω της τεχνικής υποστήριξης του PayPal."
"Billing Agreement Signup","Εγγραφή Συμφωνίας Χρέωσης"
"Whether to create a billing agreement, if there are no active billing agreements available.","Αν θέλετε να δημιουργήσετε μια συμφωνία χρέωσης, αν δεν υπάρχουν ενεργές διαθέσιμες συμφωνίες χρέωσης."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Οι έμποροι πρέπει να απευθυνθούν στο PayPal για ενεργοποίηση της δυνατότητας συμφωνιών χρέωσης. Μην ενεργοποιήσετε αυτή την επιλογή μέχρι το PayPal να επιβεβαιώσει ότι οι συμφωνίες χρέωσης είναι ενεργοποιημένες για τον εμπορικό λογαριασμό σας."
"Skip Order Review Step","Παράκαμψη του Βήματος της Ανασκόπησης της Παραγγελίας"
"PayPal Billing Agreement Settings","Ρυθμίσεις Συμφωνίας Χρέωσης PayPal"
"Enabled","Ενεργό"
"Will appear as a payment option only for customers who have at least one active billing agreement.","Will appear as a payment option only for customers who have at least one active billing agreement."
"Allow in Billing Agreement Wizard","Επιτρέψτε στον Οδηγό της Συμφωνίας Χρέωσης"
"Settlement Report Settings","Ρυθμίσεις Αναφορών Επίλυσης"
"SFTP Credentials","Πιστοποιητικά SFTP"
"Login","Σύνδεση"
"Password","Κωδικός πρόσβασης"
"Custom Endpoint Hostname or IP-Address","Προσαρμοσμένη Απόληξη Ονόματος Κεντρικού Υπολογιστή ή Διεύθυνσης IP"
"By default it is ""reports.paypal.com"".","Από προεπιλογή είναι ""reports.paypal.com""."
"Use colon to specify port. For example: ""test.example.com:5224"".","Χρήση άνω και κάτω τελείας για να καθορίσετε τη θύρα. Για παράδειγμα: ""test.example.com:5224""."
"Custom Path","Προσαρμοσμένη διαδρομή"
"Scheduled Fetching","Προγραμματισμένη Ανάκτηση"
"Enable Automatic Fetching","Ενεργοποιήσετε την Αυτόματη Ανάκτηση"
"Schedule","Χρονοδιάγραμμα"
"PayPal retains reports for 45 days.","Το PayPal διατηρεί τις αναφορές για 45 ημέρες."
"Time of Day","Ώρα της ημέρας"
"Frontend Experience Settings","Ρυθμίσεις Εμπειρίας Περιβάλλοντος Χρήστη"
"PayPal Product Logo","Λογότυπο του Προϊόντος PayPal"
"Displays on catalog pages and homepage.","Προβολή στις σελίδες του καταλόγου και στην αρχική σελίδα."
"PayPal Merchant Pages Style","Στυλ Σελίδων Εμπόρου PayPal"
"Page Style","Στυλ Σελίδας"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Επιτρεπόμενες τιμές: ""paypal"", ""κύρια"" (προεπιλογή), your_custom_value (ένα προσαρμοσμένο στυλ σελίδας πληρωμής από το προφίλ του λογαριασμού εμπόρου)."
"Header Image URL","Διεύθυνση URL Εικόνας Κεφαλίδας"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","Η εικόνα στο πάνω αριστερό μέρος της σελίδας ολοκλήρωσης παραγγελίας. Μέγιστο μέγεθος είναι 750x90-pixel. <strong style=""color:red"">Https</strong> προτιμάται ιδιαίτερα."
"Header Background Color","Χρώμα Φόντου Κεφαλίδας"
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Το χρώμα φόντου για την επικεφαλίδα της σελίδα ολοκλήρωσης παραγγελίας. Διάκριση πεζών-κεφαλαίων έξι χαρακτήρων HTML κώδικα χρωμάτων δεκαεξαδικού σε ASCII."
"Header Border Color","Χρώμα Περιγράμματος Κεφαλίδας"
"2-pixel perimeter around the header space.","2-pixel περίμετρο γύρω από το χώρο της κεφαλίδας."
"Page Background Color","Χρώμα Φόντου Σελίδας"
"The background color for the checkout page around the header and payment form.","The background color for the checkout page around the header and payment form."
"Payments Advanced","Payments Advanced"
"Accept payments with a PCI-compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Accept payments with a PCI-compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)"
"Payments Advanced and Express Checkout","Προηγμένη Πληρωμή και Γρήγορη Ολοκλήρωση Παραγγελίας"
"Partner","Συνεργάτης"
"Vendor","Προμηθευτής"
"User","Χρήστης"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","Το PayPal συνιστά να ορίσετε έναν πρόσθετο χρήστη στο λογαριασμό σας στο manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","Το PayPal συνιστά να ρυθμίσετε ένα πρόσθετο χρήστη στο λογαριασμό σας στο manager.paypal.com, αντί να εισάγετε το admin όνομα χρήστη και κωδικό εδώ. Αυτό θα ενισχύσει την ασφάλειά σας και θα αποτρέψει διακοπές υπηρεσιών, αν αργότερα αλλάξετε τον κωδικό πρόσβασής σας. Εάν δεν θέλετε να ρυθμίσετε ένα πρόσθετο χρήστη, μπορείτε να εισαγάγετε ξανά την σύνδεσή εμπόρου σας εδώ."
"Test Mode","Δοκιμαστική Λειτουργία"
"Use Proxy","Χρήση Διακομιστή Μεσολάβησης (Proxy)"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","                     <a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Γιατί διαφημίσετε χρηματοδοτήσεις;</a><br/>                         <strong>Ενισχύστε τις πωλήσεις σας όταν μπορείτε να διαφημίσετε χρηματοδότηση.</strong> <br/>Το PayPal βοηθά να μετατρέψει το προγράμματα περιήγησης σε αγοραστές με χρηματοδότηση από το PayPal Credit®. Οι πελάτες σας έχουν περισσότερο χρόνο για να πληρώσουν, ενώ μπορείτε να πληρώνεστε εκ των προτέρων – χωρίς επιπλέον κόστος για εσάς.                         Η Χρήση των δωρεάν διαφημιστικών banners του PayPal σας επιτρέπουν να διαφημιστείτε PayPal Credit® χρηματοδότηση ως μέσο πληρωμής, όταν οι πελάτες σας πληρώνουν με PayPal.                         Το διαφημιστικό πρόγραμμα PayPal έχει αποδειχθεί ότι δημιουργεί πρόσθετες αγορές, καθώς και αύξηση μεγεθών της μέση αγοράς του καταναλωτή κατά 15% <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Δείτε λεπτομέρειες</a>."
"Basic Settings - PayPal Payments Advanced","Βασικές Ρυθμίσεις - PayPal Πληρωμές για Προχωρημένους"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Συνιστάται να ορίσετε αυτήν την τιμή για την ""Χρεωστική ή Πιστωτική Κάρτα"" ανά προβολή καταστήματος."
"CVV Entry is Editable","To Πεδίο CVV είναι Επεξεργάσιμο"
"Require CVV Entry","Να Απαιτείται Καταχώριση CVV"
"Send Email Confirmation","Αποστολή Email Επιβεβαίωσης"
"URL method for Cancel URL and Return URL","Μέθοδοι Διευθύνσεων URL για URL Ακύρωσης και URL Επιστρoφής"
"Payflow Link","Payflow Link"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)"
"Payflow Link and Express Checkout","Payflow Link και Express Checkout"
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Αν δεν έχετε πολλαπλούς χρήστες που έχουν συσταθεί στο λογαριασμό σας, πληκτρολογήστε ξανά την είσοδο προμηθευτή/εμπόρου σας εδώ."
"Enable Payflow Link","Ενεργοποίηση Συνδέσου Payflow"
"Enable Express Checkout","Ενεργοποιήστε τη Γρήγορη Πληρωμή Παραγγελίας"
"Basic Settings - PayPal Payflow Link","Βασικές Ρυθμίσεις - Σύνδεσμος PayPal Payflow"
"Website Payments Pro Hosted Solution","Ιστοσελίδα Φιλοξενημένης Λύσης Πληρωμών Pro"
"Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)"
"Payments Pro Hosted Solution","Φιλοξενημένη Λύση Πληρωμών Pro"
