"Billing Agreements","Acuerdos de pago"
"Email Associated with PayPal Merchant Account (Optional)","Correo electrónico asociado con la cuenta de minorista de PayPal (opcional)"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">¡Empiece a aceptar pagos a través de PayPal!</a>"
"Don't have a PayPal account? Simply enter your email address.","¿No tiene una cuenta PayPal? Simplemente introduzca su dirección de correo electrónico."
"API Authentication Methods","Métodos de autenticación API"
"API Username","Nombre de usuario API"
"API Password","Contraseña API"
"Get Credentials from PayPal","Obtenga sus credenciales de PayPal"
"Sandbox Mode","Modo de prueba"
"API Uses Proxy","Proxy de usos API"
"Proxy Host","Servidor Proxy"
"Proxy Port","Puerto proxy"
"Enable this Solution","Habilitar esta solución"
"Enable In-Context Checkout Experience","Habilitar Experiencia de Compra en Contexto"
"See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>.","Ver detalles de compatibilidad con la función PayPal y lista de regiones compatibles <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank""> aquí</a>."
"Merchant Account ID","ID de cuenta del comerciante"
"Enable PayPal Credit","Habilitar crédito de PayPal"
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout le permite brindarles a los clientes acceso a financiamiento a través de PayPal Credit&#174; - sin costo adicional para usted. 
                        Se le paga por adelantado, a pesar de que los clientes tienen más tiempo para pagar. Un botón de pago preintegrado permite a los clientes pagar rápidamente con PayPal Credit&#174;.
                         <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank""> Más información </a>"
"Sort Order PayPal Credit","Organizar orden de Paypal Credit"
"Advertise PayPal Credit","Anuncian crédito PayPal"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank""> ¿Por qué financiar publicidad?</a><br/>
                         <strong> Aumente sus ventas cuando publicite financiación. </strong><br/> PayPal ayuda a convertir navegadores en compradores con financiación 
                        de PayPal Credit&#174; Sus clientes tienen más tiempo para pagar, mientras que se les paga por adelantado, sin costo adicional para usted. 
                        Use los anuncios de banner gratuitos de PayPal que le permiten anunciar PayPal Credit&#174; Financiamiento como una opción de pago cuando sus clientes pagan con PayPal. 
                        Se ha demostrado que el Programa de publicidad de PayPal genera compras adicionales y aumenta el tamaño promedio de compra del consumidor en un 15% 
                        o más. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank""> Ver detalles </a>."
"Publisher ID","ID de editor"
"Required to display a banner","Necesario para mostrar un banner"
"Get Publisher ID from PayPal","Obtenga la ID del editor de PayPal"
"Home Page","Página de inicio"
"Display","Mostrar"
"Position","Posición"
"Size","Tamaño"
"Catalog Category Page","Página de categorías del catálogo"
"Catalog Product Page","Página de artículos del catálogo"
"Checkout Cart Page","Página de pedidos de la cesta"
"Basic Settings - PayPal Express Checkout","Ajustes básicos: Pago exprés de PayPal"
"Title","Título"
"It is recommended to set this value to ""PayPal"" per store views.","Se recomienda fijar este valor en ""PayPal"" por vistas de tienda."
"Sort Order","Orden de aparición"
"Payment Action","Acción de pago"
"Display on Product Details Page","Mostrar en páginas de detalles del artículo"
"Authorization Honor Period (days)","Período de autorización (días)"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Especifica cuál es el período de autorización de la cuenta de PayPal del comerciante. Tiene que ser igual a la configuración de PayPal."
"Order Valid Period (days)","Período válido del pedido (días)"
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Especifica cuál es el período de validez del pedido de la cuenta de PayPal del comerciante. Tiene que ser igual a la configuración de PayPal."
"Number of Child Authorizations","Número de autorizaciones infantiles"
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","El número de autorizaciones infantiles por defecto de su cuenta de PayPal es 1. Para tener autorizaciones múltiples, póngase en contacto con PayPal para solicitar un aumento."
"Advanced Settings","Configuración avanzada"
"Display on Shopping Cart","Mostrar en la cesta de compras"
"Also affects mini-shopping cart.","También afecta al mini-carro de la compra."
"Payment Applicable From","Pago posible desde"
"Countries Payment Applicable From","Países desde los que es posible el pago"
"Debug Mode","Modo depuración"
"Enable SSL verification","Habilitar verificación SSL"
"Transfer Cart Line Items","Transferir la línea de los artículos en el carrito"
"Transfer Shipping Options","Transferir las opciones de envío"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Si se activa esta opción, el cliente podrá cambiar la dirección y el método de envío desde el sitio de Internet de PayPal. La modalidad en vivo funciona sólo a través de protocolo HTTPS."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Tenga en cuenta que PayPal puede gestionar hasta 10 opciones de envío. Por eso Magento solamente transferirá las primeras 10 opciones de envío más baratas si hay mas de 10 opciones disponibles."
"Shortcut Buttons Flavor","Tipo de Botones de Atajo"
"Enable PayPal Guest Checkout","Habilitar proceso de pago Paypal para visitantes"
"Ability for buyer to purchase without PayPal account.","Capacidad del comprador para comprar sin cuenta PayPal."
"Require Customer's Billing Address","Requiere la dirección de facturación del cliente"
"This feature needs be enabled first for the merchant account through PayPal technical support.","Esta característica necesita primero ser activada para la cuenta comercial a través del soporte técnico de PayPal."
"Billing Agreement Signup","Firma de acuerdo de facturación"
"Whether to create a billing agreement, if there are no active billing agreements available.","Opción de creación de un contrato de facturación, si no hay contratos de facturación activos disponibles."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Los comerciantes deben enviar una solicitud a PayPal para habilitar la función de acuerdos de facturación. No habilite esta opción hasta que PayPal confirme que los acuerdos de facturación están habilitados para su cuenta de comerciante."
"Skip Order Review Step","Saltar el paso de resumen del pedido"
"PayPal Billing Agreement Settings","Configuración del acuerdo de facturación de PayPal"
"Enabled","Habilitado"
"Will appear as a payment option only for customers who have at least one active billing agreement.","Aparecerá como una opción de pago solo para clientes que tengan al menos un acuerdo de facturación activo."
"Allow in Billing Agreement Wizard","Permitir el asistente de acuerdo de facturación"
"Settlement Report Settings","Ajustes del informe de liquidación"
"SFTP Credentials","Credenciales SFTP"
"Login","Entrar"
"Password","Contraseña"
"Custom Endpoint Hostname or IP-Address","Dirección IP o nombre de servidor de destino personalizado"
"By default it is ""reports.paypal.com"".","Por defecto es ""reports.paypal.com""."
"Use colon to specify port. For example: ""test.example.com:5224"".","Utilice dos puntos para especificar el puerto. Por ejemplo: ""prueba.ejemplo.com:5224""."
"Custom Path","Ruta personalizada"
"Scheduled Fetching","Compra programada"
"Enable Automatic Fetching","Habilitar acceso automático"
"Schedule","Programa"
"PayPal retains reports for 45 days.","PayPal almacena los informes durante 45 días."
"Time of Day","Hora del día"
"Frontend Experience Settings","Ajustes de la experiencia con fachada"
"PayPal Product Logo","Logotipo del producto en PayPal"
"Displays on catalog pages and homepage.","Muestra en las páginas de catálogo y página web."
"PayPal Merchant Pages Style","Estilo de la página de la tienda en PayPal"
"Page Style","Estilo de página"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Valores admitidos: ""paypal"", ""primary"" (default), your_custom_value (un estilo de página de pago personalizado de su perfil de cuenta mercantil)."
"Header Image URL","URL de la imagen de la cabecera"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","La imagen en la parte superior izquierda de la página de pago. Tamaño máximo es 750 x 90 píxeles. El uso de <strong style=""color:red""> https</strong> es muy recomendado."
"Header Background Color","Color de fondo de cabecera"
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","Color de fondo para la cabecera de la página de pago. Código ASCII de color hexadecimal HTML de seis caracteres sin diferencias mayúsculas o minúsculas."
"Header Border Color","Color del borde de la cabecera"
"2-pixel perimeter around the header space.","Perímetro de 2 píxeles alrededor del espacio de cabera."
"Page Background Color","Color del fondo de página"
"The background color for the checkout page around the header and payment form.","El color de fondo de la página de reembolso de la cabecera y formulario de pago."
"Payments Advanced","Pagos avanzados"
"Accept payments with a PCI-compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Acepta pagos con una extracción compatible con PCI que mantiene a los clientes en su sitio. (<u>Incluye Express Checkout</u>)"
"Payments Advanced and Express Checkout","Pago avanzado y Express Checkout"
"Partner","Socio"
"Vendor","Vendedor"
"User","Usuario"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","PayPal recomienda que configure otro usuario en su cuenta en manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal recomienda que configure otro usuario en su cuenta en manager.paypal.com, en lugar de introducir su nombre de usuario de administrador y su contraseña aquí. Esto mejorará el grado de seguridad y evitará interrupciones del servicio si cambia la contraseña posteriormente. Si no desea configurar otro usuario, puede volver a introducir su nombre de usuario minorista aquí."
"Test Mode","Modo de prueba"
"Use Proxy","Utilizar Proxy"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank""> ¿Por qué anunciar financiamiento?</a><br/>
                                            <strong>Mejore sus ventas cuando anuncie financiamiento.</strong><br/>PayPal ayuda a convertir navegadores en compradores con financiamiento
                                            de crédito de PayPal&#174; Sus clientes tienen más tiempo para pagar, mientras que a usted se le paga por adelantado, sin costo adicional para usted.
                                            Use los anuncios de banner gratuitos de PayPal que le permiten anunciar el crédito de PayPal&#174; financiamiento como una opción de pago cuando sus clientes pagan con PayPal.
                                            Se ha demostrado que el Programa de publicidad de PayPal genera compras adicionales y aumenta el tamaño promedio de compra del consumidor en un 15%
                                            o más.<a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">Ver detalles</a>."
"Basic Settings - PayPal Payments Advanced","Ajustes básicos: Pagos avanzados con PayPal"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Se recomienda fijar este valor en ""Tarjeta de débito o crédito"" por vistas de tienda."
"CVV Entry is Editable","La entrada de CVV es editable."
"Require CVV Entry","Requiere el código de seguridad de la tarjeta"
"Send Email Confirmation","Enviar confirmación por correo electrónico"
"URL method for Cancel URL and Return URL","Método de URL para URL de cancelación y URL de retorno"
"Payflow Link","Enlace de Payflow"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","Conecte su cuenta de comerciante con una puerta de enlace compatible con PCI que permita a los clientes pagar sin salir de su sitio. (<u>Incluye Pago exprés</u>)"
"Payflow Link and Express Checkout","Payflow Link y Express Checkout"
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Si no ha configurado diversos usuarios en su cuenta, vuelva a introducir el nombre de usuario del vendedor/minorista aquí."
"Enable Payflow Link","Habilitar el enlace de Payflow"
"Enable Express Checkout","Habilitar el pago exprés"
"Basic Settings - PayPal Payflow Link","Ajustes básicos: Enlace de PayPal Payflow"
"Website Payments Pro Hosted Solution","Solución Hospedada de Pagos Web Pro"
"Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Acepte pagos con un pago compatible con PCI que mantenga a los clientes en su sitio. (<u>Incluye Pago exprés</u>)"
"Payments Pro Hosted Solution","Solución alojada de Payments Pro"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank""> ¿Por qué financiar publicidad?</a><br/>
                         <strong> Aumente sus ventas cuando publicite financiación. </strong><br/> PayPal ayuda a convertir navegadores en compradores con financiación 
                        de PayPal Credit&#174; Sus clientes tienen más tiempo para pagar, mientras que se les paga por adelantado, sin costo adicional para usted. 
                        Use los anuncios de banner gratuitos de PayPal que le permiten anunciar PayPal Credit&#174; Financiamiento como una opción de pago cuando sus clientes pagan con PayPal. 
                        Se ha demostrado que el Programa de publicidad de PayPal genera compras adicionales y aumenta el tamaño promedio de compra del consumidor en un 15% 
                        o más. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank""> Ver detalles </a>."
"Basic Settings - PayPal Payments Pro Hosted Solution","Ajustes básicos: Solución alojada de Payments Pro de PayPal"
"Display Express Checkout in the Payment Information step","Mostrar pago exprés en la pantalla de información del pago"
"Website Payments Pro Hosted Solution and Express Checkout","Solución alojada de Website Payments Pro y Pago exprés"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Ajustes básicos: Solución alojada de Website Payments Pro de PayPal"
"Payflow Pro","Payflow Pro"
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","Conecte su cuenta de comerciante con una puerta de enlace totalmente personalizable que permita a los clientes pagar sin salir de su sitio. (<u>Incluye Pago exprés</u>)"
"Vault Enabled","Bóveda habilitada"
"Basic Settings - PayPal Payflow Pro","Ajustes básicos: Payflow Pro de PayPal"
"Vault Title","Título de la bóveda"
"Credit Card Settings","Configuración de la tarjeta de crédito"
"Allowed Credit Card Types","Tipos de tarjetas de crédito permitidas"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","La admisión de tarjetas American Express requiere de un acuerdo adicional. Consulte los requisitios en <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"CVV and AVS Settings","Ajustes CVV y AVS"
"Reject Transaction if:","Rechazar la transacción si:"
"AVS Street Does Not Match","Calle AVS no coincide"
"AVS Zip Does Not Match","AVS Zip no coincide"
"Card Issuer Is Outside The United States","Emisor de la tarjeta está fuera de los Estados Unidos"
"Card Security Code Does Not Match","Código de seguridad de la tarjeta no coincide"
"Payflow Pro and Express Checkout","Payflow Pro y Pago exprés"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank""> ¿Por qué financiar publicidad?</a><br/>
                         <strong> Aumente sus ventas cuando publicite financiación. </strong><br/> PayPal ayuda a convertir navegadores en compradores con financiación 
                        de PayPal Credit&#174; Sus clientes tienen más tiempo para pagar, mientras que se les paga por adelantado, sin costo adicional para usted. 
                        Use los anuncios de banner gratuitos de PayPal que le permiten anunciar PayPal Credit&#174; Financiamiento como una opción de pago cuando sus clientes pagan con PayPal. 
                        Se ha demostrado que el Programa de publicidad de PayPal genera compras adicionales y aumenta el tamaño promedio de compra del consumidor en un 15% 
                        o más. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank""> Ver detalles </a>."
"We can't contact the PayPal gateway.","No podemos establecer contacto con el gateway de PayPal."
"The ordering amount of %1 is pending approval on the payment gateway.","La cantidad de pedidos de %1 está pendiente de aprobación en la pasarela de pago."
"Ordered amount of %1","Cantidad ordenada de %1"
"Matched whole nine-didgit ZIP (no Address)","Sólo Encaja el Código Postal de nueve dígitos (no la Dirección)"
"Yes. Matched Address and five-didgit ZIP","Sí. La dirección y el código postal de cinco dígitos coinciden."
"Invalid method %1::%2(%3)","Método inválido %1::%2(%3)"
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.","Para utilizar PayPal Payments Advanced, debe configurar su cuenta de PayPal Payments Advanced en el sitio web de PayPal."
"PayPal Payment Gateways","Pasarela de pago PayPal"
"1","1"
"PayPal Payment Solutions","Soluciones de pago de PayPal"
"Email Associated with PayPal Merchant Account","Correo electrónico asociado con la cuenta de minorista de PayPal"
"Sandbox Credentials","Credenciales de Supervisión"
"It is recommended to set this value to ""Magento_Paypal"" per store views.","Se recomienda establecer este valor como ""Magento_Paypal"" en las vistas de tienda."
"Payments Advanced (Includes Express Checkout)","Payments avanzado (incluido pago exprés)"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Acepte pagos según la normativa PCI en procesos de compra en línea con el objetivo de que los clientes permanezcan en su sitio durante dicho proceso."
"Payflow Link (Includes Express Checkout)","Enlace de Payflow (incluido Pago exprés)"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Conecta su cuenta de minorista con una pasarela que cumple con la normativa PCI y que permite a los clientes pagar sin abandonar su sitio."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Acepte pagos según la normativa PCI en procesos de compra en línea con el objetivo de que sus cliente permanezcan en el sitio durante dicho proceso."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Conecte su cuenta de minorista con una pasarela completamente personalizable que permite a los clientes pagar sin tener que abandonar su sitio."
"International AVS Indicator Does Not Match","El indicador internacional AVS no coincide"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (incluido Pago exprés)"
"Save for later use.","Guardar para su uso posterior."
"Payments Standard","PayPal Payments Standard"
"Accept credit card and PayPal payments securely.","Acepte tarjetas de crédito y pagos con PayPal de forma segura."
"Basic Settings - PayPal Website Payments Standard","Ajustes básicos: Pagos estándares de website con PayPal"
"Website Payments Standard","Estándar de pagos del sitio web"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","El pedido no fue realizado. Primero, acepte los términos y condiciones, luego intente realizar su pedido nuevamente."
"The payment couldn't be processed at this time. Please try again later.","El pago no pudo ser procesado en este momento. Por favor, inténtelo de nuevo más tarde."
"The verification transaction can't be voided. ","La transacción de verificación no puede ser anulada. "
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout le permite brindarles a los clientes acceso a financiación a través de PayPal Credit&#174; - sin costo adicional para usted. 
                        Se le paga por adelantado, a pesar de que los clientes tienen más tiempo para pagar. Un botón de pago preintegrado permite a los clientes pagar rápidamente con PayPal Credit&#174;.
                         <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank""> Más información </a>"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">¿Por qué anunciar financiación?</a><br/>
                        <strong>Impulsar sus ventas cuando anuncia financiación.</strong><br/>PayPal ayuda a convertir los buscadores en compradores con financiación
                        de crédito PayPal&#174;. Sus clientes tienen más tiempo para pagar, mientras tu cobras por adelantado – sin costo adicional para usted.
                        Usa el banner gratuito PayPal que anuncian crédito PayPal&#174; financiación como opción de pago cuando sus clientes pagan con PayPal.
                        El programa de publicidad de PayPal se ha creado para generar compras adicionales así como la compra media del consumidor aumenta un 15%. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">ver detalles</a>."
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">¿Por qué anunciar financiación?</a><br/>
                            <strong>Impulsar sus ventas cuando anuncia financiación.</strong><br/>PayPal ayuda a convertir los buscadores en compradores con financiación
                            de crédito PayPal&#174;. Sus clientes tienen más tiempo para pagar, mientras tu cobras por adelantado – sin costo adicional para usted.
                           El banners de uso gratuito PayPal que anuncian crédito PayPal&#174; financiación como opción de pago cuando sus clientes pagan con PayPal.
                            El programa de publicidad de PayPal ha demostrado generar compras adicionales así como un aumento en la compra media del consumidor hasta un 15%. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">ver detalles</a>."
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank""> ¿Por qué anunciar la financiación? </a><br/>
                                 <strong> Dé un impulso a sus ventas cuando anuncie la financiación. </strong><br/> PayPal ayuda a convertir los buscadores en compradores con financiación
                                 de PayPal Credit&#174;. Sus clientes tienen más tiempo para pagar, mientras que usted recibe el pago por adelantado, sin costo adicional para usted.
                                 Use los anuncios publicitarios gratuitos de PayPal que le permiten anunciar la financiación de PayPal Credit&#174; como una opción de pago cuando sus clientes pagan con PayPal.
                                 Se ha demostrado que el programa de publicidad de PayPal genera compras adicionales y aumenta el tamaño promedio de compra del consumidor en un 15%
                                 o más. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank""> Consulte los detalles </a>."
"Vault enabled","Bóveda activada"
"Gold","Oro"
"Blue","Azul"
"Silver","Plata"
"Black","Negro"
"Vertical","Vertical"
"Horizontal","Horizontal"
"Pill","Pill"
"Rectangle","Rectángulo"
"Medium","Medio"
"Large","Grande"
"Responsive","Responsivo"
"Checkout","Realizar pedido"
"Pay","Pagar"
"Buy Now","Comprar ahora"
"PayPal","PayPal"
"Installment","Entrega"
"PayPal Credit","Crédito PayPal"
"PayPal Guest Checkout Credit Card Icons","Iconos de tarjeta de crédito de pago de PayPal Guest Checkout"
"Elektronisches Lastschriftverfahren - German ELV","Elektronisches Lastschriftverfahren - German ELV"
"Something went wrong with your request. Please try again later.","Algo fue mal con su solicitud. Por favor, intentalo de nuevo."
"Customize Smart Buttons","Personalizar botones inteligentes"
"Checkout Page","Página de pago"
"Customize Button","Personalizar botón"
"Label","Etiqueta"
"The installment feature is available only in these locales: en_MX, es_MX, en_BR, pt_BR.","La función de instalación está disponible sólo en estos locales: es_MX, es_MX, es_BR, pt_BR."
"Mexico Installment Period","Periodo de Instalación México"
"Brazil Installment Period","Periodo de instalación de Brasil"
"Layout","Diseño"
"Select Responsive to ensure the PayPal button renders correctly on mobile devices.","Seleccione Responsive para asegurar que el botón PayPal se renderiza correctamente en dispositivos móviles."
"Shape","Forma"
"Color","Color"
"Product Pages","Páginas de producto"
"Cart Page","Página del carrito"
"Mini Cart","Mini carrito"
"Features","Características"
"Disable Funding Options","Desactivar opciones de financiación"
"PayPal will automatically display each enabled funding option to eligible buyers.
                                For example, PayPal Credit is only shown to buyers in countries where PayPal Credit is
                                offered and the currency offered by the merchant is USD.","PayPal mostrará automáticamente cada opción de financiación habilitada a los compradores elegibles.
                                Por ejemplo, el crédito de PayPal solo se muestra a los compradores en países donde el crédito de PayPal es
                                ofrecido y la moneda ofrecida por el comerciante es USD."
