"Billing Agreements","බිල්පත් ගිවිසුම්"
"PayPal Buyer Warranty Bonus","PayPal ගැනුම්කරු වගකීම් බෝනස්"
"PayPal Debit Card Cash Advance","PayPal ඩෙබිට් කාඩ් මුදල් අත්තිකාරම්"
"PayPal Debit Card Withdrawal from ATM","PayPal ඩෙබිට් කාඩ්පත ATM වෙතින් ආපසු ගැනීම"
"PayPal Protection Bonus","PayPal ආරක්ෂණ බෝනස්"
"Payment Refund initiated by merchant","වෙළෙන්දා විසින් ආරම්භ කරන ලද ගෙවීම් ආපසු ගෙවීම"
"Points Incentive Redemption","ලකුණු දිරිගැන්වීම් මුදාගැනීම"
"Postage Payment to either USPS or UPS","USPS හෝ UPS වෙත තැපැල් ගාස්තු ගෙවීම"
"Preapproved Payment (BillUser API, either sent or received","පෙර අනුමත ගෙවීම (BillUser API, යවන ලද හෝ ලැබුණු"
"Reauthorization","නැවත අවසර දීම"
"Reimbursement of Chargeback","අයකිරීම් ආපසු ගෙවීම"
"Reversal","ආපසු හැරවීම"
"Reversal of General Account Hold","සාමාන්‍ය ගිණුම් රඳවා තබා ගැනීම ආපසු හැරවීම"
"Reversal of Points Usage","ලකුණු භාවිතය ආපසු හැරවීම"
"Reversal of hold for Dispute Investigation","ආරවුල් විමර්ශනය සඳහා රඳවා තබා ගැනීම ආපසු හැරවීම"
"Reward Voucher Redemption","ත්‍යාග වවුචර මුදාගැනීම"
"Settlement Consolidation","බේරුම්කරණ ඒකාබද්ධ කිරීම"
"Subscription Payment, either payment sent or payment received","දායකත්ව ගෙවීම, එක්කෝ ගෙවීම යවන ලද හෝ ලැබුණු ගෙවීම"
"User-initiated Currency Conversion","පරිශීලක විසින් ආරම්භ කරන ලද මුදල් පරිවර්තනය"
"Virtual PayPal Debit Card Transaction","අතථ්‍ය PayPal ඩෙබිට් කාඩ් ගනුදෙනු"
"Virtual Terminal Payment","අතථ්‍ය පර්යන්ත ගෙවීම"
"Void","ශුන්‍ය"
"WorldLink Withdrawal","WorldLink Withdrawal"
"eBay Auction Payment","eBay වෙන්දේසි ගෙවීම"
"The PayPal certificate file is empty.","PayPal සහතික ගොනුව හිස් ය."
"Header (center)","ශීර්ෂකය (මැද)"
"Sidebar (right)","පැති තීරුව (දකුණ)"
"Near PayPal Credit checkout button","PayPal ණය පිටවීමේ බොත්තම අසල"
"--Please Select--","--කරුණාකර තෝරන්න--"
"Daily","දිනපතා"
"Every 3 days","සෑම දින 3 කට වරක්"
"Every 7 days","සෑම දින 7 කට වරක්"
"Every 10 days","සෑම දින 10 කට වරක්"
"Every 14 days","සෑම දින 14 කට වරක්"
"Every 30 days","සෑම දින 30 කට වරක්"
"Every 40 days","සෑම දින 40 කට වරක්"
"No Logo","ලාංඡනය නැත"
"Yes (PayPal recommends this option)","ඔව් (PayPal මෙම විකල්පය නිර්දේශ කරයි)"
"Created billing agreement #%1.","බිල්පත් ගිවිසුම #%1සාදන ලදී."
"We can't create a billing agreement for this order.","අපට මෙම ඇණවුම සඳහා බිල්පත් ගිවිසුමක් සෑදිය නොහැක."
"An invoice cannot be created when none of authorization transactions available.","බලය පැවරීමේ ගනුදෙනු කිසිවක් නොමැති විට ඉන්වොයිසියක් සෑදිය නොහැක."
"Pending PayPal","පොරොත්තු PayPal"
"PayPal Reversed","PayPal ආපසු හැරවිය"
"PayPal Canceled Reversal","PayPal අවලංගු කරන ලද ආපසු හැරවීම"
"Error","දෝෂයකි"
"Billing Agreement","බිල්පත් ගිවිසුම"
"Please Select","කරුණාකර තෝරන්න"
"Customer","පාරිභෝගික"
"Created At","දී නිර්මාණය කරන ලදී"
"Updated At","දී යාවත්කාලීන කරන ලදී"
"Not sure what PayPal payment method to use? Click ","භාවිතා කළ යුතු PayPal ගෙවීම් ක්‍රමය කුමක්දැයි විශ්වාස නැද්ද? ක්ලික් කරන්න "
"here","මෙතන"
" to learn more."," වැඩිදුර ඉගෙන ගැනීමට."
"Important: ","වැදගත්: "
"To use PayPal Payments Advanced, you must configure your PayPal Payments Advanced account on the PayPal website.","PayPal Payments Advanced භාවිතා කිරීමට, ඔබ PayPal වෙබ් අඩවියේ ඔබේ PayPal ගෙවීම් උසස් ගිණුම වින්‍යාසගත කළ යුතුය."
"Once you log into your PayPal Advanced account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","ඔබ ඔබේ PayPal උසස් ගිණුමට ලොග් වූ පසු, සේවා සැකසීම් වෙත සංචාලනය කරන්න - සත්කාරක පිරික්සුම් පිටු - මෙනුව සකසන්න සහ පහත විස්තර කර ඇති විකල්ප සකසන්න."
"To use PayPal Payflow Link, you must configure your PayPal Payflow Link account on the PayPal website.","PayPal Payflow Link භාවිතා කිරීමට, ඔබ PayPal වෙබ් අඩවියේ ඔබේ PayPal Payflow Link ගිණුම වින්‍යාසගත කළ යුතුය."
"Once you log into your PayPal Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","ඔබ ඔබේ PayPal Payflow Link ගිණුමට ලොග් වූ පසු, සේවා සැකසීම් වෙත සංචාලනය කරන්න - සත්කාරක පිරික්සුම් පිටු - මෙනුව සකසන්න සහ පහත විස්තර කර ඇති විකල්ප සකසන්න."
"Credit Card Type","ක්රෙඩිට් කාඩ් වර්ගය"
"Credit Card Number","ණය පත් අංකය"
"Expiration Date","කල්පිරෙන දිනය"
"Card Verification Number","කාඩ් සත්යාපනය අංකය"
"Billing Agreement # ","බිල්පත් ගිවිසුම # "
"Agreement Information","ගිවිසුම් තොරතුරු"
"Reference ID:","යොමු ID:"
"Status:","තත්ත්වය:"
"Created:","සාදන ලදී:"
"Updated:","යාවත්කාලීන:"
"Payment Method:","ගෙවීම් ක්රමය:"
"Order #","නියෝග #"
"Date","දිනය"
"Ship To","වෙත නැව්ගත කරන්න"
"Order Status","ඇණවුම් තත්ත්වය"
"View Order","ඇණවුම බලන්න"
"Back to Billing Agreements","බිල්පත් ගිවිසුම් වෙත නැවත යන්න"
"Payment Method","ගෙවීම් ක්රමය"
"View","දැක්ම"
"There are no billing agreements yet.","තවමත් බිල්පත් ගිවිසුම් නොමැත."
"New Billing Agreement","නව බිල්පත් ගිවිසුම"
"You will be redirected to the payment system website.","ඔබව ගෙවීම් පද්ධති වෙබ් අඩවියට හරවා යවනු ලැබේ."
"-- Please Select --","-- කරුණාකර තෝරන්න --"
"Create...","නිර්මාණය කරන්න..."
"Your credit card will be charged for","ඔබේ ක්‍රෙඩිට් කාඩ්පත සඳහා අය කෙරේ"
"Your billing agreement # is: ","ඔබේ බිල්පත් ගිවිසුම # වන්නේ: "
"Shipping Method","නැව්ගත කිරීමේ ක්රමය"
"Please select a shipping method...","කරුණාකර නැව්ගත කිරීමේ ක්‍රමයක් තෝරන්න..."
"Update Shipping Method","Update Shipping Method"
"Sorry, no quotes are available for this order right now.","සමාවන්න, දැන් මෙම ඇණවුම සඳහා උපුටා දැක්වීම් නොමැත."
"Shipping Address","බෙදාහැරීමේ ලිපිනය"
"Edit","සංස්කරණය කරන්න"
"Buy now with PayPal","PayPal සමඟ දැන් මිලදී ගන්න"
"Edit Payment Information","ගෙවීම් තොරතුරු සංස්කරණය කරන්න"
"Items in Your Shopping Cart","ඔබේ සාප්පු කරත්තයේ ඇති අයිතම"
"Edit Shopping Cart","සාප්පු කරත්තය සංස්කරණය කරන්න"
"Place Order","ඇනවුම කරන්න"
"Submitting order information...","ඇණවුම් තොරතුරු ඉදිරිපත් කරමින්..."
"Item","අයිතමය"
"Price","මිල"
"Qty","Qty"
"Subtotal","උප එකතුව"
"Please update order data to get shipping methods and rates","නැව්ගත කිරීමේ ක්‍රම සහ ගාස්තු ලබා ගැනීමට කරුණාකර ඇණවුම් දත්ත යාවත්කාලීන කරන්න"
"or","හෝ"
"Checkout with PayPal","PayPal සමඟ පිටවීම"
"Please do not refresh the page until you complete payment.","ඔබ ගෙවීම සම්පූර්ණ කරන තුරු කරුණාකර පිටුව නැවුම් නොකරන්න."
"You will be required to enter your payment details after you place an order.","ඔබ ඇණවුමක් කිරීමෙන් පසු ඔබේ ගෙවීම් විස්තර ඇතුළත් කිරීමට ඔබට අවශ්‍ය වනු ඇත."
"Continue","දිගටම කරගෙන යන්න"
"Additional Options","අමතර විකල්ප"
"-- Please Select Billing Agreement--","-- කරුණාකර බිල්පත් ගිවිසුම තෝරන්න--"
"Acceptance Mark","පිළිගැනීමේ ලකුණ"
"What is PayPal?","PayPal යනු කුමක්ද?"
"Sign a billing agreement to streamline further purchases  with PayPal.","PayPal සමඟ තවදුරටත් මිලදී ගැනීම් විධිමත් කිරීමට බිල්පත් ගිවිසුමක් අත්සන් කරන්න."
"Sign a billing agreement to streamline further purchases with PayPal.","PayPal සමඟ තවදුරටත් මිලදී ගැනීම් විධිමත් කිරීමට බිල්පත් ගිවිසුමක් අත්සන් කරන්න."
"Continue to PayPal","PayPal වෙත ඉදිරියට යන්න"
"Save credit card information for future use.","අනාගත භාවිතය සඳහා ක්‍රෙඩිට් කාඩ් තොරතුරු සුරකින්න."
"Sorry, something went wrong.","සමාවෙන්න, කිසියම් වරදක් සිදු වී ඇත."
"Sorry, something went wrong. Please try again later.","සමාවෙන්න, කිසියම් වරදක් සිදු වී ඇත. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"PayPal Section","PayPal අංශය"
"PayPal Settlement","PayPal බේරුම්කරණය"
"Fetch","ගෙන්වා ගන්න"
"Actions","ක්රියාවන්"
"Manage","කළමනාකරණය කරන්න"
"Place Order Using Billing Agreements","බිල්පත් ගිවිසුම් භාවිතයෙන් ඇණවුම් කරන්න"
"Orders","නියෝග"
"Payment Amount Authorization","ගෙවීමේ මුදල අවසරය"
"Merchant Location","වෙළඳ ස්ථානය"
"Merchant Country","වෙළඳ රට"
"If not specified, Default Country from General Config will be used","If not specified, Default Country from General Config will be used"
"Recommended Solutions:","නිර්දේශිත විසඳුම්:"
"Other PayPal Payment Solutions:","වෙනත් PayPal ගෙවීම් විසඳුම්:"
"Other Payment Methods:","වෙනත් ගෙවීම් ක්‍රම:"
"PayPal Express Checkout","PayPal Express Checkout"
"Add another payment method to your existing solution or as a stand-alone option.","ඔබගේ පවතින විසඳුමට හෝ ස්වාධීන විකල්පයක් ලෙස වෙනත් ගෙවීමේ ක්‍රමයක් එක් කරන්න."
"PayPal All-in-One Payment Solutions&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal All-in-One ගෙවීම් විසඳුම්&nbsp;<i>ක්‍රෙඩිට් කාඩ්පත් සහ PayPal ගෙවීම් පිළිගෙන සැකසීම.</i>"
"Choose a secure bundled payment solution for your business.","ඔබේ ව්‍යාපාරය සඳහා ආරක්ෂිත මිටි ගෙවීම් විසඳුමක් තෝරන්න."
"Payments Pro","ගෙවීම් Pro"
"Payments Pro and Express Checkout","ගෙවීම් Pro සහ Express Checkout"
"Basic Settings - PayPal Payments Pro","මූලික සැකසුම් - PayPal ගෙවීම් Pro"
"PayPal Payment Gateways&nbsp;<i>Process payments using your own internet merchant account.</i>","PayPal Payment Gateways&nbsp;<i>ඔබේම අන්තර්ජාල වෙළඳ ගිණුම භාවිතයෙන් ගෙවීම් ක්‍රියාවට නංවන්න.</i>"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal All-in-One ගෙවීම් විසඳුම්&nbsp;&nbsp;<i>ක්‍රෙඩිට් කාඩ්පත් සහ PayPal ගෙවීම් පිළිගෙන සැකසීම.</i>"
"Accept payments with a completely customizable checkout page.","සම්පූර්ණයෙන්ම අභිරුචිකරණය කළ හැකි පිටවීමේ පිටුවක් සමඟ ගෙවීම් පිළිගන්න."
"Process payments using your own internet merchant account.","ඔබගේම අන්තර්ජාල වෙළඳ ගිණුම භාවිතයෙන් ගෙවීම් ක්‍රියාවට නංවන්න."
"Website Payments Pro","වෙබ් අඩවි ගෙවීම් Pro"
"Express Checkout","Express Checkout"
"Add PayPal as an additional payment method to your checkout page.","ඔබගේ පිටවීමේ පිටුවට අමතර ගෙවීමේ ක්‍රමයක් ලෙස PayPal එක් කරන්න."
"Required PayPal Settings","අවශ්‍ය PayPal සැකසුම්"
"Email Associated with PayPal Merchant Account (Optional)","PayPal වෙළඳ ගිණුම හා සම්බන්ධ විද්‍යුත් තැපෑල (විකල්ප)"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">PayPal හරහා ගෙවීම් භාර ගැනීම අරඹන්න!</a>"
"Don't have a PayPal account? Simply enter your email address.","PayPal ගිණුමක් නැද්ද? සරලව ඔබගේ ඊමේල් ලිපිනය ඇතුලත් කරන්න."
"API Authentication Methods","API සත්‍යාපන ක්‍රම"
"API Username","API පරිශීලක නාමය"
"API Password","API මුරපදය"
"Get Credentials from PayPal","PayPal වෙතින් අක්තපත්‍ර ලබා ගන්න"
"Sandbox Mode","සෑන්ඩ්බොක්ස් මාදිලිය"
"API Uses Proxy","API ප්‍රොක්සි භාවිතා කරයි"
"Proxy Host","ප්‍රොක්සි සත්කාරක"
"Proxy Port","ප්‍රොක්සි වරාය"
"Enable this Solution","මෙම විසඳුම සක්රිය කරන්න"
"Enable In-Context Checkout Experience","සන්දර්භය තුළ පිරික්සුම් අත්දැකීම සබල කරන්න"
"See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>.","PayPal විශේෂාංග සහය විස්තර සහ සහය දක්වන කලාප ලැයිස්තුව බලන්න
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">මෙතන</a>."
"Merchant Account ID","වෙළඳ ගිණුම් හැඳුනුම්පත"
"Enable PayPal Credit","PayPal ණය සක්රිය කරන්න"
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>"
"Sort Order PayPal Credit","පේපෑල් ක්‍රෙඩිට් ඇණවුම් කරන්න"
"Advertise PayPal Credit","PayPal ණය ප්‍රචාරණය කරන්න"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Publisher ID","ප්‍රකාශක හැඳුනුම්පත"
"Required to display a banner","බැනරයක් පෙන්වීමට අවශ්‍යයි"
"Get Publisher ID from PayPal","PayPal වෙතින් Publisher ID ලබා ගන්න"
"Home Page","මුල් පිටුව"
"Display","ප්රදර්ශනය කරන්න"
"Position","තනතුර"
"Size","ප්රමාණය"
"Catalog Category Page","නාමාවලි කාණ්ඩය පිටුව"
"Catalog Product Page","නාමාවලි නිෂ්පාදන පිටුව"
"Checkout Cart Page","කරත්ත පිටුව පිරික්සන්න"
"Basic Settings - PayPal Express Checkout","මූලික සැකසුම් - PayPal Express Checkout"
"Title","ශීර්ෂය"
"It is recommended to set this value to ""PayPal"" per store views.","මෙම අගය එක් ගබඩා බැලීම් සඳහා ""PayPal"" ලෙස සැකසීමට නිර්දේශ කෙරේ."
"Sort Order","අනුපිළිවෙල අනුපිළිවෙල"
"Payment Action","ගෙවීම් ක්‍රියාව"
"Display on Product Details Page","නිෂ්පාදන විස්තර පිටුවේ පෙන්වන්න"
"Authorization Honor Period (days)","බලය පැවරීමේ ගෞරව කාලය (දින)"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","වෙළෙන්දාගේ PayPal ගිණුමේ බලය පැවරීමේ ගෞරව කාල සීමාව කුමක් දැයි සඳහන් කරයි. එය PayPal හි සැකසුම පිළිබිඹු කළ යුතුය."
"Order Valid Period (days)","ඇණවුම වලංගු කාල සීමාව (දින)"
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","වෙළෙන්දාගේ PayPal ගිණුමේ ඇණවුම වලංගු කාල සීමාව කුමක් දැයි සඳහන් කරයි. එය PayPal හි සැකසුම පිළිබිඹු කළ යුතුය."
"Number of Child Authorizations","ළමා අවසර ගණන"
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","ඔබගේ PayPal ගිණුමේ පෙරනිමි ළමා අවසර සංඛ්‍යාව 1. බහු අවසරයන් කිරීමට කරුණාකර වැඩි කිරීමක් ඉල්ලා සිටීමට PayPal අමතන්න."
"Advanced Settings","උසස් සැකසුම්"
"Display on Shopping Cart","සාප්පු කරත්තයේ සංදර්ශකය"
"Also affects mini-shopping cart.","කුඩා සාප්පු කරත්තයට ද බලපායි."
"Payment Applicable From","ගෙවීම් අදාළ වේ"
"Countries Payment Applicable From","රටවලින් ගෙවීම් අදාළ වේ"
"Debug Mode","නිදොස් කිරීමේ මාදිලිය"
"Enable SSL verification","SSL සත්‍යාපනය සබල කරන්න"
"Transfer Cart Line Items","කරත්ත රේඛා අයිතම මාරු කරන්න"
"Transfer Shipping Options","හුවමාරු නැව්ගත කිරීමේ විකල්ප"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","මෙම විකල්පය සක්‍රීය කර ඇත්නම්, පාරිභෝගිකයාට PayPal වෙබ් අඩවියේ නැව්ගත කිරීමේ ලිපිනය සහ නැව්ගත කිරීමේ ක්‍රමය වෙනස් කළ හැක. සජීවී මාදිලියේ HTTPS ප්‍රොටෝකෝලය හරහා පමණක් ක්‍රියා කරයි."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","PayPal හට නැව්ගත කිරීමේ විකල්ප 10ක් දක්වා හැසිරවිය හැකි බව සලකන්න. Magento ලබා ගත හැකි 10 කට වඩා තිබේ නම් පළමු ලාභම නැව්ගත කිරීමේ විකල්ප 10 පමණක් මාරු කරන්නේ එබැවිනි."
"Shortcut Buttons Flavor","කෙටිමං බොත්තම් රසය"
"Enable PayPal Guest Checkout","PayPal Guest Checkout සබල කරන්න"
"Ability for buyer to purchase without PayPal account.","PayPal ගිණුමකින් තොරව මිලදී ගන්නෙකුට මිලදී ගැනීමේ හැකියාව."
"Require Customer's Billing Address","පාරිභෝගිකයාගේ බිල්පත් ලිපිනය අවශ්‍ය වේ"
"This feature needs be enabled first for the merchant account through PayPal technical support.","PayPal තාක්ෂණික සහාය හරහා වෙළඳ ගිණුම සඳහා මෙම විශේෂාංගය පළමුව සක්‍රීය කළ යුතුය."
"Billing Agreement Signup","බිල්පත් ගිවිසුම අත්සන් කිරීම"
"Whether to create a billing agreement, if there are no active billing agreements available.","සක්‍රීය බිල්පත් ගිවිසුම් නොමැති නම්, බිල්පත් ගිවිසුමක් නිර්මාණය කරන්නේද යන්න."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","බිල්පත් ගිවිසුම් විශේෂාංගය සබල කිරීම සඳහා වෙළෙන්දන් PayPal වෙත අයදුම් කළ යුතුය. ඔබේ වෙළඳ ගිණුම සඳහා බිල්පත් ගිවිසුම් සබල කර ඇති බව PayPal තහවුරු කරන තුරු මෙම විකල්පය සක්‍රීය නොකරන්න."
"Skip Order Review Step","ඇණවුම් සමාලෝචන පියවර මඟ හරින්න"
"PayPal Billing Agreement Settings","PayPal බිල්පත් ගිවිසුම් සැකසීම්"
"Enabled","සබල කර ඇත"
"Will appear as a payment option only for customers who have at least one active billing agreement.","අවම වශයෙන් එක් සක්‍රීය බිල්පත් ගිවිසුමක් ඇති පාරිභෝගිකයින් සඳහා පමණක් ගෙවීම් විකල්පයක් ලෙස දිස්වනු ඇත."
"Allow in Billing Agreement Wizard","බිල්පත් ගිවිසුම විශාරදයේ ඉඩ දෙන්න"
"Settlement Report Settings","බේරුම්කරණ වාර්තා සැකසීම්"
"SFTP Credentials","SFTP අක්තපත්‍ර"
"Login","ඇතුල් වන්න"
"Password","මුරපදය"
"Custom Endpoint Hostname or IP-Address","අභිරුචි අන්ත ලක්ෂ්‍ය සත්කාරක නාමය හෝ IP-ලිපිනය"
"By default it is ""reports.paypal.com"".","පෙරනිමියෙන් එය ""reports.paypal.com"" වේ."
"Use colon to specify port. For example: ""test.example.com:5224"".","වරාය සඳහන් කිරීමට colon භාවිතා කරන්න. උදාහරණයක් ලෙස: ""test.example.com:5224""."
"Custom Path","අභිරුචි මාර්ගය"
"Scheduled Fetching","උපලේඛනගත ලබා ගැනීම"
"Enable Automatic Fetching","ස්වයංක්‍රීයව ලබා ගැනීම සබල කරන්න"
"Schedule","කාලසටහන"
"PayPal retains reports for 45 days.","PayPal දින 45 ක් සඳහා වාර්තා තබා ගනී."
"Time of Day","දවසේ වේලාව"
"Frontend Experience Settings","ඉදිරිපස අත්දැකීම් සැකසීම්"
"PayPal Product Logo","PayPal නිෂ්පාදන ලාංඡනය"
"Displays on catalog pages and homepage.","නාමාවලි පිටු සහ මුල් පිටුවේ සංදර්ශන."
"PayPal Merchant Pages Style","PayPal Merchant Pages Style"
"Page Style","පිටු විලාසය"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","අවසර ලත් අගයන්: ""paypal"", ""primary"" (default), your_custom_value (ඔබේ වෙළඳ ගිණුම් පැතිකඩෙන් අභිරුචි ගෙවීම් පිටු විලාසයක්)."
"Header Image URL","ශීර්ෂ රූප URL"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged."
"Header Background Color","ශීර්ෂයේ පසුබිම් වර්ණය"
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","පිටවීමේ පිටුවේ ශීර්ෂය සඳහා පසුබිම් වර්ණය. ASCII හි කේස් සංවේදී නොවන අකුරු හයක HTML ෂඩ් දශම වර්ණ කේතය."
"Header Border Color","ශීර්ෂයේ මායිම් වර්ණය"
"2-pixel perimeter around the header space.","ශීර්ෂ අවකාශය වටා පික්සල් 2 පරිමිතිය."
"Page Background Color","පිටු පසුබිම් වර්ණය"
"The background color for the checkout page around the header and payment form.","ශීර්ෂකය සහ ගෙවීම් පෝරමය වටා පිටවීමේ පිටුව සඳහා පසුබිම් වර්ණය."
"Payments Advanced","ගෙවීම් උසස්"
"Accept payments with a PCI-compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","ඔබේ වෙබ් අඩවියේ පාරිභෝගිකයන් තබා ගන්නා PCI-අනුකූල පිරික්සුමකින් ගෙවීම් පිළිගන්න. (<u>Express Checkout</u>ඇතුළත් වේ)"
"Payments Advanced and Express Checkout","ගෙවීම් උසස් සහ සීඝ්‍ර පිටවීම"
"Partner","හවුල්කරු"
"Vendor","වෙළෙන්දා"
"User","පරිශීලක"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","Manager.paypal.com හි ඔබගේ ගිණුමේ අතිරේක පරිශීලකයෙකු පිහිටුවීමට PayPal නිර්දේශ කරයි"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","ඔබගේ පරිපාලක පරිශීලක නාමය සහ මුරපදය මෙහි ඇතුළත් කිරීම වෙනුවට, manager.paypal.com හි ඔබගේ ගිණුමේ අතිරේක පරිශීලකයෙකු පිහිටුවීමට PayPal නිර්දේශ කරයි. මෙය ඔබගේ ආරක්ෂාව වැඩිදියුණු කරන අතර ඔබ පසුව ඔබගේ මුරපදය වෙනස් කළහොත් සේවා බාධා කිරීම් වලක්වනු ඇත. ඔබට අමතර පරිශීලකයෙකු පිහිටුවීමට අවශ්‍ය නැතිනම්, ඔබට ඔබේ වෙළඳ පිවිසුම මෙතැනින් නැවත ඇතුළු කළ හැක."
"Test Mode","පරීක්ෂණ මාදිලිය"
"Use Proxy","Proxy භාවිතා කරන්න"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">මුල්‍යකරණය ප්‍රචාරණය කරන්නේ ඇයි?</a><br/>
                                            <strong>ඔබ මූල්‍යකරණය ප්‍රචාරණය කරන විට ඔබේ විකුණුම් වැඩි දියුණු කරන්න.</strong><br/>පේපෑල් ක්‍රෙඩිට්&#174;වෙතින් මූල්‍යකරණය
                                            සමඟ බ්‍රව්සර් ගැනුම්කරුවන් බවට පත් කිරීමට PayPal උදවු කරයි. ඔබේ ගනුදෙනුකරුවන්ට ගෙවීමට වැඩි කාලයක් ඇත, ඔබ ඉදිරියෙන් ගෙවනු ලබන අතර - ඔබට අමතර වියදමකින් තොරව.
                                            ඔබේ ගනුදෙනුකරුවන් PayPal සමඟ පරීක්ෂා කරන විට ගෙවීම් විකල්පයක් ලෙස PayPal Credit&#174; මූල්‍යකරණය ප්‍රචාරණය කිරීමට ඉඩ සලසන PayPal හි නොමිලේ බැනර් දැන්වීම් භාවිතා කරන්න.
                                            PayPal වෙළඳ ප්‍රචාරණ වැඩසටහන අමතර මිලදී ගැනීම් උත්පාදනය කිරීම මෙන්ම පාරිභෝගිකයාගේ සාමාන්‍ය මිලදී ගැනීමේ ප්‍රමාණය 15%
                                            හෝ ඊට වැඩි ප්‍රමාණයකින් වැඩි කරන බව පෙන්වා දී ඇත. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">විස්තර</a>බලන්න."
"Basic Settings - PayPal Payments Advanced","මූලික සැකසුම් - PayPal ගෙවීම් උසස්"
