"Billing Agreements","Umowy rozliczeniowe"
"Add PayPal as an additional payment method to your checkout page.","Dodaj PayPal jako dodatkową metodę płatności do strony zamówienia."
"Required PayPal Settings","Required PayPal Settings"
"Email Associated with PayPal Merchant Account (Optional)","E-mail powiązany z kontem handlowca PayPal (opcjonalne)"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>"
"Don't have a PayPal account? Simply enter your email address.","Nie masz konta PayPal? Po prostu podaj swój adres e-mail."
"API Authentication Methods","Metody autentykacji API"
"API Username","Nazwa użytkownika API"
"API Password","Hasło API"
"Get Credentials from PayPal","Pobierz dane z PayPal."
"Sandbox Mode","Tryb testowy"
"API Uses Proxy","Proxy użytkownika API"
"Proxy Host","Host proxy"
"Proxy Port","Port proxy"
"Enable this Solution","Włącz to rozwiązanie"
"Enable In-Context Checkout Experience","Włącz w kontekście realizacji transakcji"
"See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>.","See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>."
"Merchant Account ID","Identyfikator konta sprzedawcy"
"Enable PayPal Credit","Włącz PayPal Credit"
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>"
"Sort Order PayPal Credit","Sort Order PayPal Credit"
"Advertise PayPal Credit","Reklama PayPal Credit"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Publisher ID","ID wydawcy"
"Required to display a banner","Wymagane do wyświetlania banerów"
"Get Publisher ID from PayPal","Uzyskaj identyfikator wydawcy z PayPal"
"Home Page","Strona główna"
"Display","Wyświetl"
"Position","Pozycja"
"Size","Rozmiar"
"Catalog Category Page","Strona kategorii katalogu"
"Catalog Product Page","Strona produktu katalog"
"Checkout Cart Page","Strona zamówienia"
"Basic Settings - PayPal Express Checkout","Podstawowe ustawienia - PayPal Express Checkout"
"Title","Tytuł"
"It is recommended to set this value to ""PayPal"" per store views.","Zalecane jest ustawienia tej wartości na ""PayPal"" na każy widok sklepu."
"Sort Order","Kolejność sortowania"
"Payment Action","Akcja płatności"
"Display on Product Details Page","Pokazuj na stronie produktu"
"Authorization Honor Period (days)","Okres honorowania autoryzacji (dni)"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Określa, co okresu cześć autoryzacji jest na konto PayPal handlowca. To musi odpowiadać ustawienia w PayPal."
"Order Valid Period (days)","Okres ważności zamówienia (dni)"
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Określa, co okresu prawidłową kolejność jest na konto PayPal handlowca. To musi odpowiadać ustawienia w PayPal."
"Number of Child Authorizations","Ilość podrzędnych autoryzacji"
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase."
"Advanced Settings","Zaawansowane ustawienia"
"Display on Shopping Cart","Wyświetl w koszyk"
"Also affects mini-shopping cart.","Również dotyczy mini-koszyka."
"Payment Applicable From","Formularz kawlifikowanych płatności"
"Countries Payment Applicable From","Formularz kwalifikowanych płatności krajów"
"Debug Mode","Tryb debugowania"
"Enable SSL verification","Włącz weryfikację SSL"
"Transfer Cart Line Items","Produkty linii koszyka transferowego"
"Transfer Shipping Options","Transfer Shipping Options"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Jeśli ta opcja jest wybrana, klienta może zmeinić adres dostawy i metodę dostawy na stronie PayPal. W trybie produkcyjnym działa tylko przez protokół HTTPS."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Zauważ, że PayPal może obsłużyć d 10 opcji dostawy. To jest powodem, dlaczego Magento przesyła tylk o10 majtańszych opcji dostawy, jeśli więcej niż 10 jest dostępnych."
"Shortcut Buttons Flavor","Styl przycisku skrótu"
"Enable PayPal Guest Checkout","Włącz gościnne zamówienia z PayPal"
"Ability for buyer to purchase without PayPal account.","Możliwość kupowania bez posiadania konta PayPal"
"Require Customer's Billing Address","Wymagania Adres Rozliczeniowy Klienta"
"This feature needs be enabled first for the merchant account through PayPal technical support.","This feature needs be enabled first for the merchant account through PayPal technical support."
"Billing Agreement Signup","Rejestracja umowy rozliczeniowej"
"Whether to create a billing agreement, if there are no active billing agreements available.","Whether to create a billing agreement, if there are no active billing agreements available."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account."
"Skip Order Review Step","Pomiń krok z podsumowaniem zamówienia"
"PayPal Billing Agreement Settings","Ustawienia umowy rozliczeniowej PayPal"
"Enabled","Włączone"
"Will appear as a payment option only for customers who have at least one active billing agreement.","Will appear as a payment option only for customers who have at least one active billing agreement."
"Allow in Billing Agreement Wizard","Dopuść w wizardzie umowy rozliczeniowej"
"Settlement Report Settings","Settlement Report Settings"
"SFTP Credentials","Dane SFTP"
"Login","Zaloguj się"
"Password","Hasło"
"Custom Endpoint Hostname or IP-Address","Niestandardowa nazwa hosta lub adres IP dla punktu końcowego"
"By default it is ""reports.paypal.com"".","Domyślnie to jest reports.paypal.com""."""
"Use colon to specify port. For example: ""test.example.com:5224"".","Użyj dwukropka, aby podać port. Np. ""test.example.com:5224""."
"Custom Path","Niestandardowa ścieżka"
"Scheduled Fetching","Zaplanowane pobieranie"
"Enable Automatic Fetching","Włącz automatyczne pobierania"
"Schedule","Harmonogram"
"PayPal retains reports for 45 days.","PayPal retains reports for 45 days."
"Time of Day","Czas dnia"
"Frontend Experience Settings","Ustawienia wyglądu"
"PayPal Product Logo","PayPal Product Logo"
"Displays on catalog pages and homepage.","Wyświetla na stronach katalogu i stronie głownej."
"PayPal Merchant Pages Style","PayPal Merchant Pages Style"
"Page Style","Styl strony"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile)."
"Header Image URL","URL obrazka nagłówka"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged."
"Header Background Color","Kolor tła nagłowka"
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII."
"Header Border Color","Kolor ramki nagłówka"
"2-pixel perimeter around the header space.","2-pikselowa odległość naokoło przestrzeni nagłówka."
"Page Background Color","Kolor tła strony"
"The background color for the checkout page around the header and payment form.","The background color for the checkout page around the header and payment form."
"Payments Advanced","Payments Advanced"
"Accept payments with a PCI-compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Accept payments with a PCI-compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)"
"Payments Advanced and Express Checkout","Zaawansowane Płatności i Ekspresowe Transakcje"
"Partner","Partner"
"Vendor","Dostawca"
"User","Użytkownik"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","PayPal recommends that you set up an additional User on your account at manager.paypal.com"
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here."
"Test Mode","Tryb testowy"
"Use Proxy","Używaj proxy"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Basic Settings - PayPal Payments Advanced","Podstawowe ustawienia - PayPal Payments Advanced"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Zalecane jest ustawienia tej wartości na ""Karta debetowa lub kredytowa"" na każy widok sklepu."
"CVV Entry is Editable","Pole CVV jest edytowalne"
"Require CVV Entry","Wymaga wpisu CVV"
"Send Email Confirmation","Send Email Confirmation"
"URL method for Cancel URL and Return URL","URL method for Cancel URL and Return URL"
"Payflow Link","Payflow Link"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)"
"Payflow Link and Express Checkout","Payflow Link i ekspresowa realizacja transakcji"
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here."
"Enable Payflow Link","Włącz Payflow Link"
"Enable Express Checkout","Włącz Express Checkout"
"Basic Settings - PayPal Payflow Link","Podstawowe ustawienia - PayPal Payflow Link"
"Website Payments Pro Hosted Solution","Website Payments Pro Hosted Solution"
"Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)"
"Payments Pro Hosted Solution","Payments Pro Hosted Solution"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Basic Settings - PayPal Payments Pro Hosted Solution","Podstawowe ustawienia - PayPal Payments Pro Hosted Solution"
"Display Express Checkout in the Payment Information step","Display Express Checkout in the Payment Information step"
"Website Payments Pro Hosted Solution and Express Checkout","Website Payments Pro Hosted Solution i Express Checkout"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Podstawowe ustawienia - PayPal Website Payments Pro Hosted Solution"
"Payflow Pro","Payflow Pro"
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)"
"Vault Enabled","Domyślny włączone"
"Basic Settings - PayPal Payflow Pro","Podstawowe ustawienia - PayPal Payflow Pro"
"Vault Title","Domyślny tytuł"
"Credit Card Settings","Ustawienia kart kredytowych"
"Allowed Credit Card Types","Dopuszczone rodzaje kart kredytowych"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"CVV and AVS Settings","Ustawienia CVV i AVS"
"Reject Transaction if:","Odrzucenie transakcji, jeśli:"
"AVS Street Does Not Match","Droga AVS nie pasuje"
"AVS Zip Does Not Match","Zip AVS nie pasuje"
"Card Issuer Is Outside The United States","Card Issuer Is Outside The United States"
"Card Security Code Does Not Match","Kod bezpieczeństwa karty nie pasuje"
"Payflow Pro and Express Checkout","Payflow Pro and Express Checkout"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"We can't contact the PayPal gateway.","Nie możemy nawiązać połączenia z bramą PayPal."
"The ordering amount of %1 is pending approval on the payment gateway.","Kwota zamówienia %1 oczekuje na zatwierdzenie na bramki płatności."
"Ordered amount of %1","Kwota zamówienia %1"
"Matched whole nine-didgit ZIP (no Address)","Pasujący cały 9-cyfrowy kod pocztowy (bez adresu)"
"Yes. Matched Address and five-didgit ZIP","Tak. Dokładne dopasowanie adresu i 5 cyfrowego kodu pocztowego"
"Invalid method %1::%2(%3)","Nieprawidłowa metoda %1::%2(%3)"
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.","W celu użycia Płatności Zaawansowanych PayPal, musisz skonfigurować konto Płatności Zaawansowanych PayPal na stronie PayPal."
"PayPal Payment Gateways","PayPal Payment Gateways"
"1","1"
"PayPal Payment Solutions","PayPal Payment Solutions"
"Email Associated with PayPal Merchant Account","E-mail powiązany z kontem handlowca PayPal"
"Sandbox Credentials","Dane środowiska testowego"
"It is recommended to set this value to ""Magento_Paypal"" per store views.","Zaleca się by ustawić tą wartość na ""Magento_Paypal"" dla każdego widoku."
"Payments Advanced (Includes Express Checkout)","Payments Advanced (Includes Express Checkout)"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Akceptuj płatności ze zgodnym z PCI procesem zamówień, który utrzyma twojego klienta na stronie."
"Payflow Link (Includes Express Checkout)","Payflow Link (Includes Express Checkout)"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Połącz swoje konto handlowe ze zgodną z PCI bramką płatności, która pozwoli klientom płacić bez opuszczania Twojej strony."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Akceptuj płatności ze zgodnym z PCI procesem zamówień, który utrzyma twojego klienta na stronie."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Połącz swoje konto handlowe z w pełni dostosowywalną bramką płatności, która pozwoli klientom płacić bez opuszczania Twojej strony."
"International AVS Indicator Does Not Match","Wskaźnik międzynarodowy AVS nie pasuje"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (Includes Express Checkout)"
"Save for later use.","Zapisz do późniejszego wykorzystania."
"Payments Standard","Payments Standard"
"Accept credit card and PayPal payments securely.","Akceptuj bezpiecznie płatności kartami kredytowymi i PayPal."
"Basic Settings - PayPal Website Payments Standard","Basic Settings - PayPal Website Payments Standard"
"Website Payments Standard","Website Payments Standard"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The payment couldn't be processed at this time. Please try again later.","The payment couldn't be processed at this time. Please try again later."
"The verification transaction can't be voided. ","The verification transaction can't be voided. "
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Vault enabled","Vault enabled"
"Gold","Gold"
"Blue","Blue"
"Silver","Silver"
"Black","Black"
"Vertical","Vertical"
"Horizontal","Horizontal"
"Pill","Pill"
"Rectangle","Rectangle"
"Medium","Średni"
"Large","Duży"
"Responsive","Responsive"
"Checkout","Zamówienie"
"Pay","Pay"
"Buy Now","Buy Now"
"PayPal","PayPal"
"Installment","Installment"
"PayPal Credit","PayPal Credit"
"PayPal Guest Checkout Credit Card Icons","PayPal Guest Checkout Credit Card Icons"
"Elektronisches Lastschriftverfahren - German ELV","Elektronisches Lastschriftverfahren - German ELV"
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"Customize Smart Buttons","Customize Smart Buttons"
"Checkout Page","Checkout Page"
"Customize Button","Customize Button"
"Label","Etykieta"
"The installment feature is available only in these locales: en_MX, es_MX, en_BR, pt_BR.","The installment feature is available only in these locales: en_MX, es_MX, en_BR, pt_BR."
"Mexico Installment Period","Mexico Installment Period"
"Brazil Installment Period","Brazil Installment Period"
"Layout","Układ"
"Select Responsive to ensure the PayPal button renders correctly on mobile devices.","Select Responsive to ensure the PayPal button renders correctly on mobile devices."
"Shape","Shape"
"Color","Kolor"
"Product Pages","Product Pages"
"Cart Page","Cart Page"
"Mini Cart","Mini Cart"
"Features","Features"
"Disable Funding Options","Disable Funding Options"
"PayPal will automatically display each enabled funding option to eligible buyers.
                                For example, PayPal Credit is only shown to buyers in countries where PayPal Credit is
                                offered and the currency offered by the merchant is USD.","PayPal will automatically display each enabled funding option to eligible buyers.
                                For example, PayPal Credit is only shown to buyers in countries where PayPal Credit is
                                offered and the currency offered by the merchant is USD."
