"Billing Agreements","Ödeme anlaşmaları"
"Fetch","Getir"
"Actions","İşlemler"
"Manage","Yönet"
"Place Order Using Billing Agreements","Ödeme Sözleşmesi Kullanarak Siparişi Tamamla"
"Orders","Orders"
"Payment Amount Authorization","Payment Amount Authorization"
"Merchant Location","Satıcı Lokasyonu"
"Merchant Country","Satıcı Ülkesi"
"If not specified, Default Country from General Config will be used","If not specified, Default Country from General Config will be used"
"Recommended Solutions:","Önerilen Çözümler:"
"Other PayPal Payment Solutions:","Diğer PayPal Ödeme Çözümleri:"
"Other Payment Methods:","Diğer Ödeme Seçenekleri:"
"PayPal Express Checkout","PayPal Ekspres Ödeme"
"Add another payment method to your existing solution or as a stand-alone option.","Mevcut çözüme veya tekil seçeneğe alternatif ödeme metodu ekle"
"PayPal All-in-One Payment Solutions&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal Hepsi Bir Arada Ödeme Çözümleri&nbsp;<i>Kredi kartlarını ve PayPal ödemelerini kabul edin ve işleme koyun.</i>"
"Choose a secure bundled payment solution for your business.","Bu işlem için güvenli birleştirilmiş bir ödeme seçeneği seçiniz."
"Payments Pro","Ödemeler Pro"
"Payments Pro and Express Checkout","Ödemeler Pro ve Ekspres Satın Alma"
"Basic Settings - PayPal Payments Pro","Başlangıç Ayarları - PayPal Payments Pro"
"PayPal Payment Gateways&nbsp;<i>Process payments using your own internet merchant account.</i>","PayPal Ödeme Ağ Geçitleri&nbsp;<i>Ödemeleri kendi internet satıcı hesabınızı kullanarak işleme koyun.</i>"
"PayPal All-in-One Payment Solutions&nbsp;&nbsp;<i>Accept and process credit cards and PayPal payments.</i>","PayPal Hepsi Bir Arada Ödeme Çözümleri&nbsp;&nbsp;<i>Kredi kartlarını ve PayPal ödemelerini kabul edin ve işleme koyun.</i>"
"Accept payments with a completely customizable checkout page.","Ödemeleri tamamıyla özelleştirilmiş alışverişi sonlandır sayfasıyla abul et."
"Process payments using your own internet merchant account.","Ödeme işlemleri için sizin internet satıcı hesabınız kullanılıyor."
"Website Payments Pro","Web Sitesi Ödemeleri Pro"
"Express Checkout","Ekspres Ödeme"
"Add PayPal as an additional payment method to your checkout page.","Alışverişi sonlandır sayfanıza alternatif ödeme yöntemi olarak Paypal 'ı ekle"
"Required PayPal Settings","Paypal Ayarları Zorunludur"
"Email Associated with PayPal Merchant Account (Optional)","E-posta Associated with PayPal Merchant Account (Opsiyonel)"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>"
"Don't have a PayPal account? Simply enter your email address.","Bir PayPal hesabınız yok mu? Sadce e-posta adresinizi giriniz."
"API Authentication Methods","API Doğrulama Yöntemleri"
"API Username","API Kullanıcı Adı"
"API Password","API Şifresi"
"Get Credentials from PayPal","Bilgileri PayPal 'dan al"
"Sandbox Mode","Sandbox (Test) Kipi"
"API Uses Proxy","API Geçit Kullanır"
"Proxy Host","Vekil Sunucu Adresi"
"Proxy Port","Vekil Sunucu Portu"
"Enable this Solution","Bu Çözümü Etkinleştir"
"Enable In-Context Checkout Experience","Bağlamda Deneme Deneyimini Etkinleştir"
"See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>.","See PayPal Feature Support details and list of supported regions
                    <a href=""https://developer.paypal.com/docs/classic/express-checkout/in-context/"" target=""_blank"">here</a>."
"Merchant Account ID","Ticari Hesap Kimliği"
"Enable PayPal Credit","PayPal Kredisini Etkinleştir"
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https:/www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>"
"Sort Order PayPal Credit","Sıralama Sipariş PayPal Kredisi"
"Advertise PayPal Credit","PayPal Kredisini Duyur"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Publisher ID","Yayımcı kimliği"
"Required to display a banner","Bir sembol görüntülemek için gerekli"
"Get Publisher ID from PayPal","PayPal'dan Yayıncı Kimliği Alın"
"Home Page","Ana Sayfa"
"Display","Göster"
"Position","Konum"
"Size","Boyut"
"Catalog Category Page","Katalog Kategori Sayfası"
"Catalog Product Page","Katalog Ürün Sayfası"
"Checkout Cart Page","Sepet Sayfasından Ayrıl"
"Basic Settings - PayPal Express Checkout","Başlangıç Ayarları - PayPal Express Checkout"
"Title","Başlık"
"It is recommended to set this value to ""PayPal"" per store views.","Bu değeri her mağaza görünümü için ""PayPal"" olarak ayarlamanız tavsiye edilir."
"Sort Order","Sıralama"
"Payment Action","Ödeme İşlemi"
"Display on Product Details Page","Ürün Ayrıntıları Sayfasında Görüntüle"
"Authorization Honor Period (days)","Doğrulama güven süresi (gün)"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Satıcının Paypal hesabındaki Yetkilendirme Onur Periyodu ne olduğunu belirtir. Paypal hesabındaki ayarla aynı olmalıdır."
"Order Valid Period (days)","Sipariş Geçerlilik Süresi (gün)"
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Siparişin Geçerlilik Süresinin ne olduğunu belirtir. Paypal hesabındaki ayarla aynı olmalıdır."
"Number of Child Authorizations","Alt Doğrulama Sayısı"
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","Alt doğrulama işlemi sayısı için varsayılan değer. Bu değer PayPal sisteminde varsayılan olarak 1 dir. Bu değeri artırarak aynı anda 1 den fazla doğrulama işlemi yapabilmek istiyorsanız PayPal ile iletişim kurun."
"Advanced Settings","Gelişmiş Ayarlar"
"Display on Shopping Cart","Alışveriş Sepeti Ekranı"
"Also affects mini-shopping cart.","Mini alışveriş sepetini de etkiler."
"Payment Applicable From","Uygun Ödeme Formu"
"Countries Payment Applicable From","Ödeme Kabul edilen Ülkeler"
"Debug Mode","Hata Ayıklama Modu"
"Enable SSL verification","SSL doğrulamayı Aktif et"
"Transfer Cart Line Items","Transfer Sepet Ürünleri"
"Transfer Shipping Options","Transfer Teslimat Seçenekleri"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Bu seçenek aktifse, müşteri teslimat yöntemini ve teslimat adresini PayPal sitesindeyken değiştirebilir. Gerçek modda iken sadece HTTPS protokolü ile çalışır."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Paypal, 10 adede kadar teslimat seçeneğini desteklemektedir. Eğer 10 taneden fazla teslimat seçeneği varsa Magento en ucuz ilk 10 tanesini gönderecektir."
"Shortcut Buttons Flavor","Kısayol Butonu Şekli"
"Enable PayPal Guest Checkout","PayPal Guest Checkout Aktif et"
"Ability for buyer to purchase without PayPal account.","PayPal hesabı olmadan satın almak için alıcı özelliği"
"Require Customer's Billing Address","Müşterinin Fatura Adresini İste"
"This feature needs be enabled first for the merchant account through PayPal technical support.","Bu özellik, öncelikle Paypal teknik destek yoluyla satıcı  hesabının aktif olmasını gerektirir."
"Billing Agreement Signup","Ödeme Sözleşmesi Üyeliği"
"Whether to create a billing agreement, if there are no active billing agreements available.","Eğer aktif ödeme sözleşmesi yoksa, yeni sözleşme oluşturunuz."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account."
"Skip Order Review Step","Sipariş gözden geçirme adımını atla"
"PayPal Billing Agreement Settings","Paypal Ödeme Sözleşmesi Ayarları"
"Enabled","Aktif edildi"
"Will appear as a payment option only for customers who have at least one active billing agreement.","Will appear as a payment option only for customers who have at least one active billing agreement."
"Allow in Billing Agreement Wizard","Ödeme Anlaşması Sihirbazında İzin Ver"
"Settlement Report Settings","Anlaşma Raporu Ayarları"
"SFTP Credentials","SFTP Hesap Bilgileri"
"Login","Giriş"
"Password","Şifre"
"Custom Endpoint Hostname or IP-Address","Özel Sunucu Adresi veya IP Adresi"
"By default it is ""reports.paypal.com"".","Varsayılan değer ""reports.paypal.com""."
"Use colon to specify port. For example: ""test.example.com:5224"".","Port belirtmek için iki nokta kullanın. Örnek: ""test.example.com:5224""."
"Custom Path","Özel Dosya Yolu"
"Scheduled Fetching","Zamanlanmış Tahsilat"
"Enable Automatic Fetching","Otomatik getirmeyi Aktif et"
"Schedule","Zamanlama"
"PayPal retains reports for 45 days.","Paypal 45 günlük raporları barındırır."
"Time of Day","Zaman"
"Frontend Experience Settings","Ön Sayfa Deneyim Ayarları"
"PayPal Product Logo","PayPal Ürün Logosu"
"Displays on catalog pages and homepage.","Katalog sayfalarında ve Ana sayfada gözükür."
"PayPal Merchant Pages Style","PayPal Satıcı Sayfa Stilleri"
"Page Style","Sayfa Biçimi"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile)."
"Header Image URL","Başlık Resim URL"
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged."
"Header Background Color","Başlık Arka Plan Rengi"
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII."
"Header Border Color","Başlık Çerçeve Rengi"
"2-pixel perimeter around the header space.","Başlık alanına 2 piksel boşluk bırak."
"Page Background Color","Sayfa Arka Plan Rengi"
"The background color for the checkout page around the header and payment form.","The background color for the checkout page around the header and payment form."
"Payments Advanced","Gelişmiş Ödemeler"
"Accept payments with a PCI-compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Müşterileri sitenizde tutan bir PCI uyumlu ödeme ile ödemeleri kabul edin. (<u>Includes Express Checkout</u>)"
"Payments Advanced and Express Checkout","Ödemeler Gelişmiş ve Ekspres Satın Alma"
"Partner","Çözüm Ortağı"
"Vendor","Tedarikçi"
"User","Kullanıcı"
"PayPal recommends that you set up an additional User on your account at manager.paypal.com","PayPal manager.paypal.com adresindeki hesabınızda ek bir kullanıcı oluşturulmasını önerir."
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal, buraya gireceğiniz kullanıcı adı ve şifreye göre manager.paypal.com adresinde hesabınız üzerinde ek bir kullanıcı oluşturulmasını önerir. Eğer daha sonra şifrenizi değiştirirseniz, bu özellik güvenlik ve hizmet kesintilerini önlemeyi arttırır. Eğer bu özellik ile ek bir hesap yaratılmasını istemezseniz, Satıcı Login hesabınıza yeniden giriş yapınız."
"Test Mode","Test Kipi"
"Use Proxy","Vekil Sunucu Kullan"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Basic Settings - PayPal Payments Advanced","Başlangıç Ayarları - PayPal Payments Advanced"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Bu değeri her mağaza görünümü için ""Debit veya Kredi Kartı"" olarak ayarlamanız tavsiye edilir."
"CVV Entry is Editable","CVV Bilgisi düzenlenebilir"
"Require CVV Entry","CVV Bilgisi iste"
"Send Email Confirmation","E-posta Onayı Gönder"
"URL method for Cancel URL and Return URL","İptal ve Dönüş işlem URL si için URL metodu"
"Payflow Link","Payflow Bağlantısı"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","Satıcı hesabınızı müşterilerin sitenizden ayrılmadan ödeme yapmasını sağlayan bir PCI uyumlu ağ geçidi ile bağlayın. (<u>Includes Express Checkout</u>)"
"Payflow Link and Express Checkout","Payflow Bağlantısı ve Ekspres Satın Alma"
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Hesabında tanımlanmış çoklu kullanıcı mevcut değilse, lütfen tedarikçi/satıcı hesap girişini yeniden yapınız."
"Enable Payflow Link","Payflow Link Aktif et"
"Enable Express Checkout","Express Checkout Aktif et"
"Basic Settings - PayPal Payflow Link","Başlangıç Ayarları - PayPal Payflow Link"
"Website Payments Pro Hosted Solution","Website Payments Pro Hosted Çözüm"
"Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>)","Müşterileri sitenizde tutan bir PCI uyumlu ödeme ile ödemeleri kabul edin. (<u>Includes Express Checkout</u>)"
"Payments Pro Hosted Solution","Payments Pro Hosted Çözümü"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Basic Settings - PayPal Payments Pro Hosted Solution","Başlangıç Ayarları - PayPal Payments Pro Hosted Solution"
"Display Express Checkout in the Payment Information step","Ödeme Bilgisi adımında Express Checkout u göster"
"Website Payments Pro Hosted Solution and Express Checkout","Website Payments Pro Hosted Solution ve Express Checkout"
"Basic Settings - PayPal Website Payments Pro Hosted Solution","Başlangıç Ayarları - PayPal Website Payments Pro Hosted Solution"
"Payflow Pro","Payflow Pro"
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>)","Satıcı hesabınızı müşterilerin sitenizden ayrılmadan ödeme yapmasını sağlayan tamamen özelleştirilebilir bir ağ geçidi ile bağlayın. (<u>Includes Express Checkout</u>)"
"Vault Enabled","Kasa Etkinleştirildi"
"Basic Settings - PayPal Payflow Pro","Başlangıç Ayarları - PayPal Payflow Pro"
"Vault Title","Kasa Başlığı"
"Credit Card Settings","Kredi Kartı Ayarları"
"Allowed Credit Card Types","Kullanılabilen Kart Tipleri"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"CVV and AVS Settings","CVV ve AVS Ayarları"
"Reject Transaction if:","İşlemi Reddet eğer:"
"AVS Street Does Not Match","AVS Caddesi Eşleşmiyor"
"AVS Zip Does Not Match","AVS Zip eşleşmiyor"
"Card Issuer Is Outside The United States","Kart Çıkarıcısı Birleşik Devletler Dışında"
"Card Security Code Does Not Match","Kart Güvenlik Kodu Eşleşmiyor"
"Payflow Pro and Express Checkout","Payflow Pro ve Ekspres Satın Alma"
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"We can't contact the PayPal gateway.","We can't contact the PayPal gateway."
"The ordering amount of %1 is pending approval on the payment gateway.","The ordering amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"Matched whole nine-didgit ZIP (no Address)","Matched whole nine-didgit ZIP (no Address)"
"Yes. Matched Address and five-didgit ZIP","Yes. Matched Address and five-didgit ZIP"
"Invalid method %1::%2(%3)","Invalid method %1::%2(%3)"
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.","To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website."
"PayPal Payment Gateways","PayPal Payment Gateways"
"1","1"
"PayPal Payment Solutions","PayPal Payment Solutions"
"Email Associated with PayPal Merchant Account","Email Associated with PayPal Merchant Account"
"Sandbox Credentials","Sandbox Credentials"
"It is recommended to set this value to ""Magento_Paypal"" per store views.","It is recommended to set this value to ""Magento_Paypal"" per store views."
"Payments Advanced (Includes Express Checkout)","Payments Advanced (Includes Express Checkout)"
"Accept payments with a PCI-compliant checkout that keeps customers on your site.","Accept payments with a PCI-compliant checkout that keeps customers on your site."
"Payflow Link (Includes Express Checkout)","Payflow Link (Includes Express Checkout)"
"Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.","Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site."
"Accept payments with a PCI compliant checkout that keeps customers on your site.","Accept payments with a PCI compliant checkout that keeps customers on your site."
"Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.","Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site."
"International AVS Indicator Does Not Match","International AVS Indicator Does Not Match"
"Payflow Pro (Includes Express Checkout)","Payflow Pro (Includes Express Checkout)"
"Save for later use.","Save for later use."
"Payments Standard","Payments Standard"
"Accept credit card and PayPal payments securely.","Accept credit card and PayPal payments securely."
"Basic Settings - PayPal Website Payments Standard","Basic Settings - PayPal Website Payments Standard"
"Website Payments Standard","Website Payments Standard"
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The payment couldn't be processed at this time. Please try again later.","The payment couldn't be processed at this time. Please try again later."
"The verification transaction can't be voided. ","The verification transaction can't be voided. "
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.
                        You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.
                        <a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                        <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                        from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                        Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                        The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                        or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                            <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                            from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                            Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                            The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                            or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>
                                <strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing
                                from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.
                                Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.
                                The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%
                                or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"Vault enabled","Vault enabled"
"Gold","Gold"
"Blue","Blue"
"Silver","Silver"
"Black","Black"
"Vertical","Vertical"
"Horizontal","Horizontal"
"Pill","Pill"
"Rectangle","Rectangle"
"Medium","Medium"
"Large","Large"
"Responsive","Responsive"
"Checkout","Alışveriş"
"Pay","Pay"
"Buy Now","Buy Now"
"PayPal","PayPal"
"Installment","Installment"
"PayPal Credit","PayPal Credit"
"PayPal Guest Checkout Credit Card Icons","PayPal Guest Checkout Credit Card Icons"
"Elektronisches Lastschriftverfahren - German ELV","Elektronisches Lastschriftverfahren - German ELV"
"Something went wrong with your request. Please try again later.","Something went wrong with your request. Please try again later."
"Customize Smart Buttons","Customize Smart Buttons"
"Checkout Page","Checkout Page"
"Customize Button","Customize Button"
"Label","Etiket"
"The installment feature is available only in these locales: en_MX, es_MX, en_BR, pt_BR.","The installment feature is available only in these locales: en_MX, es_MX, en_BR, pt_BR."
"Mexico Installment Period","Mexico Installment Period"
"Brazil Installment Period","Brazil Installment Period"
"Layout","Şablon"
"Select Responsive to ensure the PayPal button renders correctly on mobile devices.","Select Responsive to ensure the PayPal button renders correctly on mobile devices."
"Shape","Shape"
"Color","Color"
"Product Pages","Product Pages"
"Cart Page","Cart Page"
"Mini Cart","Mini Cart"
"Features","Features"
"Disable Funding Options","Disable Funding Options"
"PayPal will automatically display each enabled funding option to eligible buyers.
                                For example, PayPal Credit is only shown to buyers in countries where PayPal Credit is
                                offered and the currency offered by the merchant is USD.","PayPal will automatically display each enabled funding option to eligible buyers.
                                For example, PayPal Credit is only shown to buyers in countries where PayPal Credit is
                                offered and the currency offered by the merchant is USD."
