"Sign Out","Logg ut"
"Customer Data Lifetime","Customer Data Lifetime"
"Please specify value in minutes.","Angi verdi i minutter."
"Customer Notification","Kundevarsling"
"Assign a Customer Group","Tildel en kundegruppe"
"Are you sure to assign selected customers to new group?","Are you sure to assign selected customers to new group?"
"Customer Grid","Kunde rutenett"
"Rebuild Customer grid index","Gjenoppbygg kunde rutenett indeks"
"Group","Gruppe"
"Add New Customer","Legg til ny kunde"
"Are you sure to delete selected customers?","Er du sikker slette valgte kunder?"
"Delete items","Slette elementer"
"Subscribe to Newsletter","Abonnerer på nyhetsbrev"
"Are you sure to unsubscribe selected customers from newsletter?","Er du sikker på at du vil avslutte abonnementet til nyhetsbrevet for valgte kunder?"
"Unsubscribe from Newsletter","Avslutte abonnementet til nyhetsbrev"
"Phone","Telefon"
"ZIP","ZIP"
"Customer Since","Kunde siden"
"Confirmed email","Bekreftet e-post"
"Account Created in","Konto opprettet i"
"Tax VAT Number","Mva-nummer"
"Billing Firstname","Fakturering fornavn"
"Billing Lastname","Fakturering etternavn"
"Account Lock","Konto låst"
"First Name","Fornavn"
"Last Name","Etternavn"
"Last Activity","Siste aktivitet"
"Type","Type"
"Customer Information","Kundeinformasjon"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","Hvis Magento installasjonen har flere nettsteder, kan du redigere omfanget for å knytte kunden til en bestemt butikk."
"Disable Automatic Group Change Based on VAT ID","Deaktiver automatisk Gruppeendring basert på mva-ID"
"Send Welcome Email From","Send velkomst e-post fra"
"Are you sure you want to delete this item?","Er du sikker på at du vil slette dette elementet?"
"Addresses","Adresser"
"Account Dashboard","Kontooversikt"
"Edit Account Information","Rediger kontoinformasjon"
"Password forgotten","Passord glemt"
"My Dashboard","Min Kontooversikt"
"You are signed out","Du er avlogget"
"You subscribe to our newsletter.","Du abonnerer på vårt nyhetsbrev."
"You don't subscribe to our newsletter.","Du abonnerer ikke på nyhetsbrevet."
"Maximum length must be less then %1 symbols","Maximum length must be less then %1 symbols"
"Invalid input","Invalid input"
"Confirm your new password.","Bekreft ditt nye passord."
"Something went wrong while changing the password.","Noe gikk galt når du endret passordet."
"Please enter the first name.","Skriv inn fornavnet."
"Please enter the last name.","Skriv inn etternavnet."
"Please enter the street.","Angi gaten."
"Please enter the city.","Angi byen."
"Please enter the phone number.","Skriv inn telefonnummeret."
"Please enter the zip/postal code.","Angi postnummeret."
"Please enter the country.","Angi land."
"Please enter a first name.","Please enter a first name."
"Please enter a last name.","Please enter a last name."
"Please correct this email address: ""%1"".","Korriger e-postadressen: ""%1""."
"Please enter a date of birth.","Please enter a date of birth."
"Please enter a TAX/VAT number.","Please enter a TAX/VAT number."
"Please enter a gender.","Please enter a gender."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' looks like a DNS hostname but we cannot match the TLD against known list."
"You subscribe to ""General Subscription"".","Du abonnerer på ""Generelt abonnement""."
"Submit","Lagre"
"Login","Logg inn"
"The password for your account has been successfully changed.","Passordet for kontoen er endret."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Checkout out as a new customer","Sjekk ut som en ny kunde"
"Create Account","Create Account"
"Checkout out using your account","Sjekk ut ved hjelp av din konto"
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Last Logged In","Last Logged In"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"You are signed out.","Du er avlogget"
"Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2."
"Could not authenticate. Please try again later","Could not authenticate. Please try again later"
"Page not found","Siden finnes ikke"
"Account will be unlocked after provided time.","Account will be unlocked after provided time."
"Text","Tekst"
"Text One Line","Text One Line"
"HTML","HTML"
"PDF","PDF"
"The account is locked. Please wait and try again or contact %1.","Kontoen er låst. Vennligst vent og prøv igjen eller kontakt %1."
"Provided Zip/Postal Code seems to be invalid.","Gitt postnummeret synes å være ugyldig."
" Example: "," Eksempel: "
"If you believe it is the right one you can ignore this notice.","Hvis du mener det er riktig kan du ignorere denne meldingen."
"Invalid Form Key. Please refresh the page.","Ugyldig skjemanøkkel. Vennligst oppdater siden."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"The password doesn't match this account. Verify the password and try again.","The password doesn't match this account. Verify the password and try again."
"The email address is incorrect. Verify the email address and try again.","The email address is incorrect. Verify the email address and try again."
"The customer ID isn't defined.","The customer ID isn't defined."
"The quote items are incorrect. Verify the quote items and try again.","The quote items are incorrect. Verify the quote items and try again."
"The ""%1"" section source isn't supported.","The ""%1"" section source isn't supported."
"Confirmation isn't needed.","Confirmation isn't needed."
"The account is already active.","The account is already active."
"The confirmation token is invalid. Verify the token and try again.","The confirmation token is invalid. Verify the token and try again."
"This account isn't confirmed. Verify and try again.","This account isn't confirmed. Verify and try again."
"The password needs at least %1 characters. Create a new password and try again.","The password needs at least %1 characters. Create a new password and try again."
"The password can't begin or end with a space. Verify the password and try again.","The password can't begin or end with a space. Verify the password and try again."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
"The store view is not in the associated website.","The store view is not in the associated website."
"A customer with the same email address already exists in an associated website.","A customer with the same email address already exists in an associated website."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The password token is mismatched. Reset and try again.","The password token is mismatched. Reset and try again."
"The password token is expired. Reset and try again.","The password token is expired. Reset and try again."
"The transactional account email type is incorrect. Verify and try again.","The transactional account email type is incorrect. Verify and try again."
"A valid password reset token is missing. Enter and try again.","A valid password reset token is missing. Enter and try again."
"The customer email is missing. Enter and try again.","The customer email is missing. Enter and try again."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","A customer website ID wasn't specified. The ID must be specified to use the website scope."
"""regionId"" is required. Enter and try again.","""regionId"" is required. Enter and try again."
"Delete %1","Slett %1"
"Are you sure you want to delete a %1 record?","Er du sikker på at du vil slette en %1 oppføring?"
"Customer not logged in","Customer not logged in"
"There is no address id in setting default billing address.","There is no address id in setting default billing address."
"Default billing address has been changed.","Default billing address has been changed."
"We can't change default billing address right now.","We can't change default billing address right now."
"There is no address id in setting default shipping address.","There is no address id in setting default shipping address."
"Default shipping address has been changed.","Default shipping address has been changed."
"We can't change default shipping address right now.","We can't change default shipping address right now."
"A total of %1 record(s) have been deleted.","Totalt %1 post(er) ble slettet."
"There is no such address entity to delete.","There is no such address entity to delete."
"We can't mass delete the addresses right now.","We can't mass delete the addresses right now."
"Customer address has been updated.","Customer address has been updated."
"New customer address has been added.","New customer address has been added."
"There is no customer with such id.","There is no customer with such id."
"We can't change customer address right now.","We can't change customer address right now."
"Street","Street"
"Set as default billing","Set as default billing"
"Set address as default billing","Set address as default billing"
"Are you sure you want to set the address as default billing address?","Are you sure you want to set the address as default billing address?"
"Set as default shipping","Set as default shipping"
"Set address as default shipping","Set address as default shipping"
"Are you sure you want to set the address as default shipping address?","Are you sure you want to set the address as default shipping address?"
"Delete address","Delete address"
"Are you sure you want to delete the address?","Are you sure you want to delete the address?"
"Additional addresses","Additional addresses"
"State","Fylke"
"Actions","Handlinger"
"Sorry, there has been an error processing your request. Please try again later.","Beklager, det oppstod en feil under behandling av forespørselen. Prøv igjen senere."
"Reset password","Reset password"
"Invalidate tokens","Invalidate tokens"
"Update Address","Update Address"
"Name Prefix","Name Prefix"
"Name Suffix","Name Suffix"
"Middle Name/Initial","Mellomnavn/Initial"
"Are you sure to delete selected address?","Are you sure to delete selected address?"
"Are you sure you want to delete the selected customers?","Are you sure you want to delete the selected customers?"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","Are you sure you want to unsubscribe the selected customers from the newsletter?"
"The customer does not have default billing address","The customer does not have default billing address"
"The customer does not have default shipping address","The customer does not have default shipping address"
