"Sign Out","Déconnexion"
"Enable Autocomplete on login/forgot password forms","Activer la saisie semi-automatique sur les formulaires avec login/mot de passe oubliés"
"Account Information Options","Options d'informations de compte"
"Change Email Template","Changer le modèle d'email"
"Change Email and Password Template","Modifier les gabarits d'emails et de mots de passe"
"Name and Address Options","Options de nom et d'adresse"
"Number of Lines in a Street Address","Nombre de lignes dans l'adresse"
"Valid range: 1-4","Plage valide : 1-4"
"Show Prefix","Afficher le préfixe"
"The title that goes before name (Mr., Mrs., etc.)","Le préfixe vient avant le nom (M., Mme, etc.)"
"Prefix Dropdown Options","Options de la liste déroulante des préfixes"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Valeurs séparées par un point-virgule (;).<br/>Laissez vide pour un champ texte libre."
"Show Middle Name (initial)","Afficher les initiales"
"Always optional.","Toujours optionnel."
"Show Suffix","Afficher le suffixe"
"The suffix that goes after name (Jr., Sr., etc.)","Le suffixe vient après le nom (Jr., Sr., etc.)"
"Suffix Dropdown Options","Options de la liste déroulante des suffixes"
"Show Date of Birth","Afficher la date de naissance"
"Show Tax/VAT Number","Afficher le numéro de TVA intracommunautaire"
"Show Gender","Afficher le genre"
"Show Telephone","Afficher le téléphone"
"Show Company","Afficher la société"
"Show Fax","Afficher le fax"
"Login Options","Options de connexion"
"Redirect Customer to Account Dashboard after Logging in","Rediriger les clients vers leur tableau de bord après connexion"
"Customer will stay on the current page if ""No"" is selected.","Le client restera sur la page en cours si ""Non"" est sélectionné."
"Address Templates","Gabarits d'adresse"
"Online Customers Options","Options des clients en ligne"
"Online Minutes Interval","Intervalle en minutes"
"Leave empty for default (15 minutes).","Laisser vide pour utiliser la valeur par défaut (15 minutes)."
"Customer Data Lifetime","Durée de vie des données client"
"Please specify value in minutes.","Veuillez spécifier la valeur en minutes."
"Customer Notification","Notification client"
"Assign a Customer Group","Assigner un groupe clients"
"Are you sure to assign selected customers to new group?","Êtes-vous sûr de vouloir assigner les clients sélectionnés à un nouveau groupe ?"
"Customer Grid","Grille de client"
"Rebuild Customer grid index","Reconstruire l'index de la grille client"
"Group","Groupe"
"Add New Customer","Ajouter un nouveau client"
"Are you sure to delete selected customers?","Êtes-vous sûr de vouloir supprimer les client sélectionnés ?"
"Delete items","Supprimer les éléments"
"Subscribe to Newsletter","S'abonner à la newsletter"
"Are you sure to unsubscribe selected customers from newsletter?","Êtes-vous sûr de vouloir désabonner les clients sélectionnés de la newsletter ?"
"Unsubscribe from Newsletter","Se désinscrire de la newsletter"
"Phone","Téléphone"
"ZIP","Code postal"
"Customer Since","Client depuis"
"Confirmed email","Email confirmé"
"Account Created in","Compte créé dans"
"Tax VAT Number","Numéro de TVA intracommunautaire"
"Billing Firstname","Prénom de facturation"
"Billing Lastname","Nom de facturation"
"Account Lock","Compte bloqué"
"First Name","Prénom"
"Last Name","Nom"
"Last Activity","Dernière activité"
"Type","Type"
"Customer Information","Informations client"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","Si votre installation Magento comporte plusieurs sites Web, vous pouvez modifier la portée pour associer des clients à un site particulier."
"Disable Automatic Group Change Based on VAT ID","Désactiver le changement automatique de groupe en fonction du numéro de TVA"
"Send Welcome Email From","Envoyer l'email de bienvenue depuis"
"Are you sure you want to delete this item?","Êtes-vous sûr de vouloir supprimer cet élément ?"
"Addresses","Adresses"
"Account Dashboard","Tableau de bord du compte"
"Edit Account Information","Éditer les informations du compte"
"Password forgotten","Mot de passe oublié"
"My Dashboard","Mon tableau de bord"
"You are signed out","Vous êtes deconnecté"
"You subscribe to our newsletter.","Vous êtes abonné à notre newsletter."
"You don't subscribe to our newsletter.","Vous n'êtes pas abonné à notre newsletter."
"Maximum length must be less then %1 symbols","La longueur maximale est de %1 symboles"
"Invalid input","Entrée non valide"
"Confirm your new password.","Confirmez votre nouveau mot de passe."
"Something went wrong while changing the password.","Une erreur s'est produite durant l'enregistrement du nouveau mot de passe."
"Please enter the first name.","Veuillez renseigner le prénom."
"Please enter the last name.","Veuillez renseigner le nom de famille."
"Please enter the street.","Veuillez renseigner la rue."
"Please enter the city.","Veuillez renseigner la ville."
"Please enter the phone number.","Merci de saisir un numéro de téléphone."
"Please enter the zip/postal code.","Veuillez renseigner le code postal."
"Please enter the country.","Veuillez renseigner le pays."
"Please enter a first name.","Veuillez entrer un prénom."
"Please enter a last name.","Veuillez entrer un nom."
"Please correct this email address: ""%1"".","Veuillez corriger cette adresse mail : ""%1""."
"Please enter a date of birth.","Veuillez entrer une date de naissance."
"Please enter a TAX/VAT number.","Veuillez saisir un numéro de TVA valide."
"Please enter a gender.","Veuillez entrer votre genre."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' ressemble à un nom d'hôte DNS, mais nous ne pouvons pas correspondre au TLD comparé à la liste connue."
"You subscribe to ""General Subscription"".","Vous vous abonnez à ""Abonnement général""."
"Submit","Valider"
"Login","Connexion"
"The password for your account has been successfully changed.","Le mot de passe pour votre compte a été modifié avec succès."
"If you did not request this change, please contact us.","Si vous n’avez pas demandé ce changement, merci de nous contacter."
"Checkout out as a new customer","Commander comme nouveau client"
"Create Account","Créer un compte"
"Checkout out using your account","Commander en utilisant votre compte"
"Recovery Link Expiration Period (days)","Durée avant expiration d'un lien de récupération (en jours)"
"Leave empty for default (2). Valid range: 1-4","Laisser vide pour utiliser la valeur par défaut (2). Éventail autorisé : 1-4"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Point-virgule ( ;) en séparation de velaures. <br/> Mettre le point-virgule au début pour la première option vide. <br/> Laissez vide pour le champ de texte libre."
"Last Logged In","Dernière connexion"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Si votre site Magento comporte plusieurs vues, vous pouvez définir la portée à appliquer à une vue spécifique."
"You are signed out.","Vous êtes déconnecté."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2.","Valeur invalide de ""%value"" fournie pour le champ %fieldName. Les valeurs possibles sont %template1 ou %template2."
"Could not authenticate. Please try again later","Impossible d'authentifier. Veuillez réessayer plus tard"
"Page not found","Page non trouvée"
"Account will be unlocked after provided time.","Le compte sera déverrouillé après le temps prévu."
"Text","Texte"
"Text One Line","Texte sur une ligne"
"HTML","HTML"
"PDF","PDF"
"The account is locked. Please wait and try again or contact %1.","Le compte est verrouillé. S’il vous plaît attendez et réessayez ou contactez %1."
"Provided Zip/Postal Code seems to be invalid.","Il semble que le code postal fourni soit non valide."
" Example: "," Exemple : "
"If you believe it is the right one you can ignore this notice.","Si vous pensez que c'est correct vous pouvez ignorer cette remarque."
"Invalid Form Key. Please refresh the page.","Clé de formulaire invalide. Veuillez actualiser la page."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","La connexion au compte est incorrecte ou votre compte est temporairement désactivé. S’il vous plaît attendez et réessayez plus tard."
"The password doesn't match this account. Verify the password and try again.","Le mot de passe ne correspond pas à ce compte. Vérifiez le mot de passe, puis réessayez."
"The email address is incorrect. Verify the email address and try again.","L'adresse e-mail est incorrecte. Vérifiez l'adresse e-mail et réessayez."
"The customer ID isn't defined.","L'ID client n'est pas défini."
"The quote items are incorrect. Verify the quote items and try again.","Les articles de devis sont incorrects. Vérifiez les articles de devis et réessayez."
"The ""%1"" section source isn't supported.","La source de section ""%1"" n'est pas supportée."
"Confirmation isn't needed.","La confirmation n'est pas nécessaire."
"The account is already active.","Le compte est déjà actif."
"The confirmation token is invalid. Verify the token and try again.","Le jeton de confirmation n’est pas valide. Vérifiez le jeton et réessayez."
"This account isn't confirmed. Verify and try again.","Ce compte n’est pas confirmé. Vérifiez et réessayez."
"The password needs at least %1 characters. Create a new password and try again.","Le mot de passe a besoin d'au moins %1 caractères. Créez un nouveau mot de passe et réessayez."
"The password can't begin or end with a space. Verify the password and try again.","Le mot de passe ne peut pas commencer ou se terminer avec un espace. Vérifiez le mot de passe et réessayez."
"The password can't be the same as the email address. Create a new password and try again.","Le mot de passe ne peut pas être le même que l'adresse e-mail. Créez un nouveau mot de passe et réessayez."
"The store view is not in the associated website.","La vue du magasin n'est pas dans le site associé."
"A customer with the same email address already exists in an associated website.","Les clients ayant le même e-mail existent déjà dans un site web du groupe."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" est requis. Entrez une valeur et réessayez."
"The password token is mismatched. Reset and try again.","Le jeton de mot de passe est incorrect. Réinitialiser et réessayer."
"The password token is expired. Reset and try again.","Le jeton de mot de passe est expiré. Réinitialiser et réessayer."
"The transactional account email type is incorrect. Verify and try again.","Le type d'e-mail du compte transactionnel est incorrect. Vérifiez et réessayez."
"A valid password reset token is missing. Enter and try again.","Un jeton de réinitialisation de mot de passe valide est manquant. Entrez et réessayez."
"The customer email is missing. Enter and try again.","L'e-mail client est manquant. Entrez et réessayez."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","Un ID du site web du client n'a pas été spécifié. L'ID doit être spécifié pour utiliser le champ d'application du site."
"""regionId"" is required. Enter and try again.","""regionId"" est nécessaire. Entrez et réessayez."
"Delete %1","Supprimer %1"
"Are you sure you want to delete a %1 record?","Êtes-vous certain(e) de vouloir supprimer un enregistrement de $%1 ?"
"Customer not logged in","Client non connecté"
"There is no address id in setting default billing address.","Il n'y a pas d'adresse dans le paramètre de l'adresse de facturation par défaut."
"Default billing address has been changed.","L'adresse de facturation par défaut a été modifiée."
"We can't change default billing address right now.","Nous ne pouvons pas modifier l'adresse de facturation par défaut pour le moment."
"There is no address id in setting default shipping address.","Il n'y a pas d'adresse dans le réglage de l'adresse de livraison par défaut."
"Default shipping address has been changed.","L'adresse de livraison par défaut a été modifiée."
"We can't change default shipping address right now.","Nous ne pouvons pas modifier l'adresse de livraison par défaut pour le moment."
"A total of %1 record(s) have been deleted.","%1 enregistrement(s) a (ont) été effacé(s)."
"There is no such address entity to delete.","Il n'y a pas d'entité d'adresse à supprimer."
"We can't mass delete the addresses right now.","Nous ne pouvons pas supprimer massivement les adresses pour le moment."
"Customer address has been updated.","L'adresse du client a été mise à jour."
"New customer address has been added.","Nouvelle adresse client a été ajoutée."
"There is no customer with such id.","Il n'y a pas de client avec cet id."
"We can't change customer address right now.","Nous ne pouvons pas changer l'adresse client maintenant."
"Street","Rue"
"Set as default billing","Définir comme facturation par défaut"
"Set address as default billing","Définir l'adresse comme facturation par défaut"
"Are you sure you want to set the address as default billing address?","Êtes-vous sûr de vouloir définir l'adresse comme adresse de facturation par défaut ?"
"Set as default shipping","Définir comme livraison par défaut"
"Set address as default shipping","Définir l'adresse comme expédition par défaut"
"Are you sure you want to set the address as default shipping address?","Êtes-vous sûr de vouloir définir l'adresse par défaut ?"
"Delete address","Supprimer l'adresse"
"Are you sure you want to delete the address?","Êtes-vous sûr de vouloir supprimer l'adresse ?"
"Additional addresses","Adresses supplémentaires"
"State","État/Région/Dpt"
"Actions","Actions"
"Sorry, there has been an error processing your request. Please try again later.","Désolé, une erreur s'est produite lors du traitement de votre demande. Veuillez réessayer plus tard."
"Reset password","Réinitialiser le mot de passe"
"Invalidate tokens","Invalider les jetons"
"Update Address","Mettre à jour l'adresse"
"Name Prefix","Préfixe de nom"
"Name Suffix","Suffixe de nom"
"Middle Name/Initial","Deuxième prénom / Initiale"
"Are you sure to delete selected address?","Êtes-vous sûr de vouloir supprimer l'adresse sélectionnée ?"
"Are you sure you want to delete the selected customers?","Êtes-vous sûr de vouloir supprimer les clients sélectionnés ?"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","Êtes-vous sûr de vouloir désabonner les clients sélectionnés de la newsletter ?"
"The customer does not have default billing address","Le client n'a pas d'adresse de facturation par défaut"
"The customer does not have default shipping address","Le client n'a pas d'adresse de livraison par défaut"
