"Sign Out","Kijelentkezés"
"Number of Lines in a Street Address","A címben az utcanév sorainak száma"
"Valid range: 1-4","Valid range: 1-4"
"Show Prefix","Előtag megjelenítése"
"The title that goes before name (Mr., Mrs., etc.)","Az előtag, ami a név előtt van (Mr., Mrs., stb.)"
"Prefix Dropdown Options","Előtag legördülő lehetősévek"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Leave empty for open text field."
"Show Middle Name (initial)","Középső név megjelenítése (elöl)"
"Always optional.","Mindig választható."
"Show Suffix","Utótag megjelenítése"
"The suffix that goes after name (Jr., Sr., etc.)","Az utótag, ami a név után van (Ifj., Id., stb.)"
"Suffix Dropdown Options","Utótag legördülő lehetőségek"
"Show Date of Birth","Születési dátum megjelenítése"
"Show Tax/VAT Number","Adószám megjelenítése"
"Show Gender","Nem megjelenítése"
"Show Telephone","Telefonszám megjelenítése"
"Show Company","Cégnév megjelenítése"
"Show Fax","Show Fax"
"Login Options","Bejelentkezési beállítások"
"Redirect Customer to Account Dashboard after Logging in","Vevő átirányítása a saját fiókjának irányítópultjára bejelentkezés után"
"Customer will stay on the current page if ""No"" is selected.","A vevő az aktuális oldalon marad ha a ""Nem"" van kiválasztva."
"Address Templates","Cím sablonok"
"Online Customers Options","Online vásárlók beállítások"
"Online Minutes Interval","Bejelentkezés időtartama percben"
"Leave empty for default (15 minutes).","Hagyja üresen az alapértelmezett értékhez (15 perc)."
"Customer Data Lifetime","Customer Data Lifetime"
"Please specify value in minutes.","Please specify value in minutes."
"Customer Notification","Vásárló figyelmeztetések"
"Assign a Customer Group","Vevőcsoport hozzárendelése"
"Are you sure to assign selected customers to new group?","Are you sure to assign selected customers to new group?"
"Customer Grid","Vevő rács"
"Rebuild Customer grid index","Vevő rács index újraépítése"
"Group","Csoport"
"Add New Customer","Új vásárló hozzáadása"
"Are you sure to delete selected customers?","Are you sure to delete selected customers?"
"Delete items","Elemek törlése"
"Subscribe to Newsletter","Feliratkozás a hírlevélre"
"Are you sure to unsubscribe selected customers from newsletter?","Are you sure to unsubscribe selected customers from newsletter?"
"Unsubscribe from Newsletter","Leiratkozás a hírlevélről"
"Phone","Telefon"
"ZIP","Irányítószám"
"Customer Since","Első vásárlás"
"Confirmed email","Visszaigazolt email"
"Account Created in","Fiók létrehozva"
"Tax VAT Number","Adószám"
"Billing Firstname","Számlázási vezetéknév"
"Billing Lastname","Számlázási keresztnév"
"Account Lock","Fiók zárolva"
"First Name","Vezetéknév"
"Last Name","Keresztnév"
"Last Activity","Utolsó aktivitás"
"Type","Típus"
"Customer Information","Vevő információk"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","Ha a Magento-t több weboldalra telepítette, beállíthatja hogy a különböző oldalakon regisztrált vevők melyik weboldalhoz legyenek hozzárendelve."
"Disable Automatic Group Change Based on VAT ID","Az adószám alapján történő vevőcsoport váltás letiltása"
"Send Welcome Email From","Üdvözlő email küldése"
"Are you sure you want to delete this item?","Are you sure you want to delete this item?"
"Addresses","Címek"
"Account Dashboard","Account Dashboard"
"Edit Account Information","Fiókadatok módosítása"
"Password forgotten","Elfelejtett jelszó"
"My Dashboard","My Dashboard"
"You are signed out","Ön kijelentkezett"
"You subscribe to our newsletter.","You subscribe to our newsletter."
"You don't subscribe to our newsletter.","You don't subscribe to our newsletter."
"Maximum length must be less then %1 symbols","Maximum length must be less then %1 symbols"
"Invalid input","Invalid input"
"Confirm your new password.","Confirm your new password."
"Something went wrong while changing the password.","Something went wrong while changing the password."
"Please enter the first name.","Please enter the first name."
"Please enter the last name.","Please enter the last name."
"Please enter the street.","Please enter the street."
"Please enter the city.","Please enter the city."
"Please enter the phone number.","Please enter the phone number."
"Please enter the zip/postal code.","Please enter the zip/postal code."
"Please enter the country.","Please enter the country."
"Please enter a first name.","Please enter a first name."
"Please enter a last name.","Please enter a last name."
"Please correct this email address: ""%1"".","Please correct this email address: ""%1""."
"Please enter a date of birth.","Please enter a date of birth."
"Please enter a TAX/VAT number.","Please enter a TAX/VAT number."
"Please enter a gender.","Please enter a gender."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' looks like a DNS hostname but we cannot match the TLD against known list."
"You subscribe to ""General Subscription"".","You subscribe to ""General Subscription""."
"Submit","Submit"
"Login","Login"
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Checkout out as a new customer","Checkout out as a new customer"
"Create Account","Create Account"
"Checkout out using your account","Checkout out using your account"
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Last Logged In","Last Logged In"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"You are signed out.","You are signed out."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2."
"Could not authenticate. Please try again later","Could not authenticate. Please try again later"
"Page not found","Page not found"
"Account will be unlocked after provided time.","Account will be unlocked after provided time."
"Text","Text"
"Text One Line","Text One Line"
"HTML","HTML"
"PDF","PDF"
"The account is locked. Please wait and try again or contact %1.","The account is locked. Please wait and try again or contact %1."
"Provided Zip/Postal Code seems to be invalid.","Provided Zip/Postal Code seems to be invalid."
" Example: "," Example: "
"If you believe it is the right one you can ignore this notice.","If you believe it is the right one you can ignore this notice."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"The password doesn't match this account. Verify the password and try again.","The password doesn't match this account. Verify the password and try again."
"The email address is incorrect. Verify the email address and try again.","The email address is incorrect. Verify the email address and try again."
"The customer ID isn't defined.","The customer ID isn't defined."
"The quote items are incorrect. Verify the quote items and try again.","The quote items are incorrect. Verify the quote items and try again."
"The ""%1"" section source isn't supported.","The ""%1"" section source isn't supported."
"Confirmation isn't needed.","Confirmation isn't needed."
"The account is already active.","The account is already active."
"The confirmation token is invalid. Verify the token and try again.","The confirmation token is invalid. Verify the token and try again."
"This account isn't confirmed. Verify and try again.","This account isn't confirmed. Verify and try again."
"The password needs at least %1 characters. Create a new password and try again.","The password needs at least %1 characters. Create a new password and try again."
"The password can't begin or end with a space. Verify the password and try again.","The password can't begin or end with a space. Verify the password and try again."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
"The store view is not in the associated website.","The store view is not in the associated website."
"A customer with the same email address already exists in an associated website.","A customer with the same email address already exists in an associated website."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The password token is mismatched. Reset and try again.","The password token is mismatched. Reset and try again."
"The password token is expired. Reset and try again.","The password token is expired. Reset and try again."
"The transactional account email type is incorrect. Verify and try again.","The transactional account email type is incorrect. Verify and try again."
"A valid password reset token is missing. Enter and try again.","A valid password reset token is missing. Enter and try again."
"The customer email is missing. Enter and try again.","The customer email is missing. Enter and try again."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","A customer website ID wasn't specified. The ID must be specified to use the website scope."
"""regionId"" is required. Enter and try again.","""regionId"" is required. Enter and try again."
"Delete %1","Delete %1"
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?"
"Customer not logged in","Customer not logged in"
"There is no address id in setting default billing address.","There is no address id in setting default billing address."
"Default billing address has been changed.","Default billing address has been changed."
"We can't change default billing address right now.","We can't change default billing address right now."
"There is no address id in setting default shipping address.","There is no address id in setting default shipping address."
"Default shipping address has been changed.","Default shipping address has been changed."
"We can't change default shipping address right now.","We can't change default shipping address right now."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"There is no such address entity to delete.","There is no such address entity to delete."
"We can't mass delete the addresses right now.","We can't mass delete the addresses right now."
"Customer address has been updated.","Customer address has been updated."
"New customer address has been added.","New customer address has been added."
"There is no customer with such id.","There is no customer with such id."
"We can't change customer address right now.","We can't change customer address right now."
"Street","Street"
"Set as default billing","Set as default billing"
"Set address as default billing","Set address as default billing"
"Are you sure you want to set the address as default billing address?","Are you sure you want to set the address as default billing address?"
"Set as default shipping","Set as default shipping"
"Set address as default shipping","Set address as default shipping"
"Are you sure you want to set the address as default shipping address?","Are you sure you want to set the address as default shipping address?"
"Delete address","Delete address"
"Are you sure you want to delete the address?","Are you sure you want to delete the address?"
"Additional addresses","Additional addresses"
"State","State"
"Actions","Actions"
"Sorry, there has been an error processing your request. Please try again later.","Sorry, there has been an error processing your request. Please try again later."
"Reset password","Reset password"
"Invalidate tokens","Invalidate tokens"
"Update Address","Update Address"
"Name Prefix","Name Prefix"
"Name Suffix","Name Suffix"
"Middle Name/Initial","Middle Name/Initial"
"Are you sure to delete selected address?","Are you sure to delete selected address?"
"Are you sure you want to delete the selected customers?","Are you sure you want to delete the selected customers?"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","Are you sure you want to unsubscribe the selected customers from the newsletter?"
"The customer does not have default billing address","The customer does not have default billing address"
"The customer does not have default shipping address","The customer does not have default shipping address"
