"Sign Out","Αποσύνδεση"
"Forgot Your Password?","Ξεχάσατε τον Κωδικό σας;"
"Subscription option","Επιλογές Συνδρομής"
"General Subscription","Γενική Συνδρομή"
"Sign Up for Newsletter","Εγγραφή στο Ενημερωτικό Δελτίο"
"Address Information","Πληροφορίες Διεύθυνσης"
"Sign-in Information","Πληροφορίες Σύνδεσης"
"Confirm Password","Επιβεβαίωση Κωδικού Πρόσβασης"
"Create an Account","Δημιουργία Λογαριασμού"
"Set a New Password","Καθορίστε Νέο Κωδικό"
"You have signed out and will go to our homepage in 5 seconds.","Έχετε αποσυνδεθεί και θα μεταβείτε στην αρχική μας σελίδα σε 5 δευτερόλεπτα."
"New Customers","Νέοι Πελάτες"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Η δημιουργία ενός λογαριασμού έχει πολλά οφέλη: Ολοκληρώστε τις παραγγελίες πιο γρήγορα, αποθηκεύστε περισσότερες από μία διεύθυνσεις, παρακολουθείστε τις παραγγελίες και άλλα."
"Company","Εταιρία"
"Fax","Φαξ"
"Gender","Φύλο"
"Name","Όνομα"
"Tax/VAT number","Α.Φ.Μ."
"Phone Number","Αριθμός Τηλεφώνου"
"Welcome to %store_name","Καλώς ήλθατε στο %store_name"
"%name,","%name,"
"Welcome to %store_name.","Καλώς ήλθατε στο %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Για να συνδεθείτε στην ιστοσελίδα μας, χρησιμοποιήστε αυτά τα στοιχεία κατά τη διάρκεια της αγοράς ή στη σελίδα <a href=""%customer_url""> Ο Λογαριασμός μου</a>:"
"Email:","Email:"
"Password:","Κωδικός πρόσβασης:"
"Password you set when creating account","Ο κωδικός πρόσβασης που ορίσατε κατά τη δημιουργία λογαριασμού"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Ξεχάσατε τον κωδικό πρόσβασης του λογαριασμού σας; Κάντε κλικ <a href=""%reset_url""> εδώ</a> για να τον επαναφέρετε."
"When you sign in to your account, you will be able to:","Όταν συνδεθείτε στο λογαριασμό σας, θα είστε σε θέση να:"
"Proceed through checkout faster","Προχωρήστε στο ταμείο πιο γρήγορα"
"Check the status of orders","Ελέγξτε την Κατάσταση των Παραγγελιών"
"View past orders","Προβολή προηγούμενων παραγγελιών"
"Store alternative addresses (for shipping to multiple family members and friends)","Εναλλακτικές διευθύνσεις Καταστήματος (για αποστολές σε πολαπλούς συγγενείς και φίλους)"
"Please confirm your %store_name account","Παρακαλείστε να επιβεβαιώσετε το λογαριασμό σας στο %store_name"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Θα πρέπει να επιβεβαιώσετε το email σας %customer_email για να συνδεθείτε (ο σύνδεσμος είναι έγκυρος μόνο μία φορά):"
"Confirm Your Account","Επιβεβαιώστε τον Λογαριασμό Σας"
"Thank you for confirming your %store_name account.","Σας ευχαριστώ για την επιβεβαίωση του λογαριασμού σας %store_name."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Για να εισέλθετε στην τοποθεσία μας και να ορίσετε έναν κωδικό πρόσβασης, κάντε κλικ στο <a href=""%create_password_url""> σύνδεσμο</a>:"
"Your %store_name email has been changed","Το email σας στο %store_name έχει αλλάξει"
"Hello,","Γεια,"
"We have received a request to change the following information associated with your account at %store_name: email.","Έχουμε λάβει μια αίτηση για να αλλάξετε τις παρακάτω πληροφορίες που σχετίζονται με το λογαριασμό σας στο %store_name: email."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Αν δεν έχετε εξουσιοδοτήσει αυτήν την ενέργεια, επικοινωνήστε μαζί μας αμέσως στο <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","ή καλέστε μας στο <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Σας ευχαριστούμε, %store_name"
"Your %store_name email and password has been changed","Το email σας και ο κωδικός πρόσβασης στο %store_name έχει αλλάξει"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Έχουμε λάβει μια αίτηση για να αλλάξετε τις παρακάτω πληροφορίες που σχετίζονται με το λογαριασμό σας στο %store_name: email, κωδικός πρόσβασης."
"Reset your %store_name password","Επαναφορά κωδικού πρόσβασης στο %store_name"
"There was recently a request to change the password for your account.","Υπήρχε ένα πρόσφατο αίτημα για να αλλάξετε τον κωδικό πρόσβασης για το λογαριασμό σας."
"If you requested this change, set a new password here:","Αν ζητήσατε αυτή την αλλαγή, ορίστε ένα νέο κωδικό πρόσβασης εδώ:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Αν δεν έχετε κάνει αυτό το αίτημα, μπορείτε να αγνοήσετε αυτό το email και ο κωδικός πρόσβασής σας θα παραμείνει ο ίδιος."
"Your %store_name password has been changed","Ο κωδικός πρόσβασης στο %store_name έχει αλλάξει"
"We have received a request to change the following information associated with your account at %store_name: password.","Έχουμε λάβει μια αίτηση για να αλλάξετε τις παρακάτω πληροφορίες που σχετίζονται με το λογαριασμό σας στο %store_name: κωδικός πρόσβασης."
"Checkout as a new customer","Ολοκλήρωση Παραγγελίας ως νέος πελάτης"
"Creating an account has many benefits:","Η δημιουργία ενός λογαριασμού έχει πολλά πλεονεκτήματα:"
"See order and shipping status","Δείτε τη παραγγελία και την κατάσταση της αποστολής"
"Track order history","Ιστορικό παρακολουθησης παραγγελιών"
"Check out faster","Ολοκλήρωση Παραγγελίας πιο γρήγορα"
"Checkout using your account","Ολοκλήρωση Παραγγελίας χρησιμοποιώντας το λογαριασμό σας"
"Email Address","Διεύθυνση Email"
"Are you sure you want to do this?","Είστε βέβαιοι ότι θέλετε να το κάνετε αυτό;"
"Are you sure you want to delete this address?","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτή τη διεύθυνση;"
"Weak","Ασθενής"
"Medium","Μεσαίο"
"Strong","Ισχυρός"
"Very Strong","Πολύ Ισχυρός"
"Guest checkout is disabled.","Η αγορά ως επισκέπτης είναι απενεργοποιημένη."
"All Customers","Όλοι οι Πελάτες"
"Now Online","Σε Σύνδεση Τώρα"
"Customers Section","Τμήμα Πελατών"
"Customer Configuration","Ρύθμιση παραμέτρων του πελάτη"
"Account Sharing Options","Επιλογές κοινής χρήσης λογαριασμού"
"Share Customer Accounts","Μοιραστείτε τους λογαριασμούς των πελατών"
"Create New Account Options","Δημιουργήστε νέες επιλογές λογαριασμού"
"Enable Automatic Assignment to Customer Group","Ενεργοποιήσετε την αυτόματη εκχώρηση σε ομάδα πελατών"
"Tax Calculation Based On","Υπολογισμός Φόρου Βάση"
"Default Group","Προεπιλεγμένη Ομάδα"
"Group for Valid VAT ID - Domestic","Ομάδα για το έγκυρο ID Φόρου - εγχώριες"
"Group for Valid VAT ID - Intra-Union","Ομάδα για έγκυρο ΑΦΜ - εντός της Ένωσης"
"Group for Invalid VAT ID","Ομάδα για το μη έγκυρο ΑΦΜ"
"Validation Error Group","Σφάλμα Επικύρωσης Ομάδας"
"Validate on Each Transaction","Επικύρωση σε κάθε συναλλαγή"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Προεπιλεγμένη τιμή για την απενεργοποίηση Αυτόματων αλλαγών Ομάδας με βάση ID Φόρου"
"Show VAT Number on Storefront","Εμφάνιση ΑΦΜ στην Βιτρίνα Καταστήματος"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","Για να εμφανίσετε τον ΑΦΜ στη Βιτρίνα Καταστήματος, ορίστε την επιλογή Προβολής ΑΦΜ στη Βιτρίνα Καταστήματος σε Ναι."
"Default Email Domain","Προεπιλεγμένος τομέας Email"
"Default Welcome Email","Προπιλεγμένο Email Kαλωσορίσματος"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Το επιλεγμένο πρότυπο Email βασίζεται στo μητρικό θέμα όταν έχει επιλεχθεί η επιλογή ""Default""."
"Default Welcome Email Without Password","Προεπιλεγμένο Email Καλωσορίσματος Χωρίς κωδικό πρόσβασης"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Αυτό το email θα σταλεί αντί για το προεπιλεγμένο Email καλωσορίσματος, εάν ένας πελάτης έχει δημιουργηθεί χωρίς κωδικό πρόσβασης. < br / > < br / > To πρότυπο Email επιλέγεται βάσει την επιστροφή θέματος όταν είναι ενεργοποιημένη η επιλογή ""Προεπιλογή""."
"Email Sender","Αποστολέας ηλεκτρονικού ταχυδρομείου"
"Require Emails Confirmation","Να Απαιτείται Eπαλήθευση Email"
"Confirmation Link Email","Σύνδεσμος Επιβεβαίωσης Email"
"Welcome Email","Email Καλώς Ορίσματος"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Αυτό το email θα σταλεί αντί για το προεπιλεγμένο Email καλωσορίσματος, μετά την επιβεβαίωση του λογαριασμού. < br / > < br / > To πρότυπο Email επιλέγεται βάσει την επιστροφή θέματος όταν είναι ενεργοποιημένη η επιλογή ""Προεπιλογή""."
"Generate Human-Friendly Customer ID","Δημιουργία Φιλικού προς Ανθρώπους ID πελάτη"
"Password Options","Επιλογές Κωδικού Πρόσβασης"
"Forgot Email Template","Πρότυπο Email του Ξεχάσατε τον κωδικό πρόσβασης"
"Remind Email Template","Πρότυπο υπενθύμισης κωδικού πρόσβασης"
"Reset Password Template","Πρότυπο επαναφοράς κωδικού πρόσβασης"
"Password Template Email Sender","Προτύπου Email αποστολέα κωδικού πρόσβασης"
"Recovery Link Expiration Period (hours)","Λήξη περιόδου Σύνδεσμου Ανάκτησης (ώρες)"
"Please enter a number 1 or greater in this field.","Σε αυτό το πεδίο εισαγάγετε αριθμό 1 ή μεγαλύτερο."
"Number of Required Character Classes","Αριθμός απαραίτητων κλάσεων χαρακτήρα"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Αριθμός διαφορετικών κατηγοριών χαρακτήρων που απαιτείται στο κωδικό πρόσβασης: πεζά, κεφαλαία, ψηφία, ειδικοί χαρακτήρες."
"Minimum Password Length","Ελάχιστο μήκος κωδικού"
"Maximum Login Failures to Lockout Account","Μέγιστες αποτυχίες σύνδεσης για κλείδωμα λογαριασμού"
"Use 0 to disable account locking.","Χρησιμοποιήστε το 0 για να απενεργοποιήσετε το κλείδωμα του λογαριασμού."
"Lockout Time (minutes)","Χρόνος Κλειδώματος (λεπτά)"
"Enable Autocomplete on login/forgot password forms","Ενεργοποίηση αυτόματης καταχώρησης σε φόρμες σύνδεσης/υπενθύμισης κωδικού πρόσβασης"
"Account Information Options","Επιλογές Πληροφοριών Λογαριασμού"
"Change Email Template","Πρότυπο Αλλαγής Email"
"Change Email and Password Template","Πρότυπο Αλλαγής Email και Κωδικού Πρόσβασης"
"Name and Address Options","Επιλογές ονόματος και διεύθυνσης"
"Number of Lines in a Street Address","Αριθμός γραμμών σε μια διεύθυνση οδού"
"Valid range: 1-4","Valid range: 1-4"
"Show Prefix","Εμφάνιση προθέματος"
"The title that goes before name (Mr., Mrs., etc.)","Ο τίτλος που πάει πριν από το όνομα (Κος, κα, κτλ.)"
"Prefix Dropdown Options","Επιλογές Αναπτυσσόμενου μενού Προθέματος"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Leave empty for open text field."
"Show Middle Name (initial)","Εμφάνιση πατρώνυμο (αρχικό)"
"Always optional.","Πάντα προαιρετική."
"Show Suffix","Εμφάνιση επιθέματος"
"The suffix that goes after name (Jr., Sr., etc.)","Το επίθημα που πηγαίνει μετά από το όνομα (νεώτερος, πρεσβύτερος, κλπ.)"
"Suffix Dropdown Options","Αναπτυσσόμενο μενού επιλογών Επιθέματος"
"Show Date of Birth","Εμφάνιση Ημερομηνίας Γέννησης"
"Show Tax/VAT Number","Εμφάνιση ΑΦΜ"
"Show Gender","Εμφάνιση Φύλου"
"Show Telephone","Εμφάνιση Τηλεφώνου"
"Show Company","Εμφάνιση Εταιρίας"
"Show Fax","Εμφάνιση Φαξ"
"Login Options","Επιλογές Σύνδεσης"
"Redirect Customer to Account Dashboard after Logging in","Ανακατευθύνετε τον πελάτη στον πίνακα ελέγχου του λογαριασμού αφού συνδεθεί στο"
"Customer will stay on the current page if ""No"" is selected.","Ο Πελάτης θα παραμείνει στην τρέχουσα σελίδα, αν το ""Όχι"" είναι επιλεγμένο."
"Address Templates","Πρότυπα Διεύθυνσης"
"Online Customers Options","Επιλογές Πελατών σε Σύνδεση"
"Online Minutes Interval","Διάστημα σε λεπτά σε Σύνδεση"
"Leave empty for default (15 minutes).","Αφήστε κενό για την προεπιλογή (15 λεπτά)."
"Customer Data Lifetime","Διάρκεια ζωής Δεδομένων Πελάτη"
"Please specify value in minutes.","Παρακαλούμε να προσδιορίσετε την τιμή σε λεπτά."
"Customer Notification","Ειδοποίηση Πελάτη"
"Assign a Customer Group","Αντιστοιχίσετε μια Ομάδα Πελατών"
"Are you sure to assign selected customers to new group?","Είστε βέβαιοι ότι για την αντιστοίχιση των επιλεγμένων πελατών σε νέα ομάδα;"
"Customer Grid","Πλέγμα πελάτη"
"Rebuild Customer grid index","Αναδημιουργία ευρετηρίου πλέγματος πελάτη"
"Group","Ομάδα"
"Add New Customer","Προσθήκη νέου πελάτη"
"Are you sure to delete selected customers?","Είστε σίγουρος(η) ότι θέλετε να διαγράψετε τους επιλεγμένους πελάτες;"
"Delete items","Διαγραφή αντικειμένων"
"Subscribe to Newsletter","Εγγραφή στο Ενημερωτικό Δελτίο"
"Are you sure to unsubscribe selected customers from newsletter?","Είστε βέβαιοι για την διαγραφή των επιλεγμένων πελατών από το ενημερωτικό δελτίο;"
"Unsubscribe from Newsletter","Διαγραφή από το Ενημερωτικό Δελτίο"
"Phone","Τηλέφωνο"
"ZIP","TK"
"Customer Since","Πελάτης Από"
"Confirmed email","Επιβεβαιωμένο ηλεκτρονικό ταχυδρομείο"
"Account Created in","Ο Λογαριασμός Δημιουργήθηκε Στις"
"Tax VAT Number","Α.Φ.Μ."
"Billing Firstname","Όνομα Χρέωσης"
"Billing Lastname","Επώνυμο Χρέωσης"
"Account Lock","Κλείδωμα Λογαριασμού"
"First Name","Όνομα"
"Last Name","Επώνυμο"
"Last Activity","Τελευταία Δραστηριότητα"
"Type","Τύπος"
"Customer Information","Στοιχεία Πελάτη"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","Εάν η εγκατάσταση Magento σας έχει πολλές τοποθεσίες Web, μπορείτε να επεξεργαστείτε το πεδίο για να συσχετίσετε τον πελάτη με μια συγκεκριμένη τοποθεσία."
"Disable Automatic Group Change Based on VAT ID","Απενεργοποιήσετε την αυτόματη αλλαγή ομάδας βάσει ΑΦΜ"
"Send Welcome Email From","Αποστολή Email Καλωσορίσματος Από"
"Are you sure you want to delete this item?","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτό το στοιχείο;"
"Addresses","Διευθύνσεις"
"Account Dashboard","Πίνακας Λογαριασμού"
"Edit Account Information","Επεξεργασία Στοιχείων Λογαριασμού"
"Password forgotten","Ξεχάσατε τον κωδικό σας"
"My Dashboard","Ο Πίνακας Ελέγχου Μου"
"You are signed out","Έχετε αποσυνδεθεί."
"You subscribe to our newsletter.","Έχετε εγγραφεί στο ενημερωτικό δελτίο μας."
"You don't subscribe to our newsletter.","Δεν έχετε εγγραφεί στο ενημερωτικό δελτίο μας."
"Maximum length must be less then %1 symbols","Το μέγιστο μήκος χαρακτήρων πρέπει να είναι λιγότερο από %1 σύμβολα"
"Invalid input","Μη έγκυρη εισαγωγή"
"Confirm your new password.","Επιβεβαιώστε τον νέο κωδικό σας."
"Something went wrong while changing the password.","Κάτι πήγε στραβά κατά την αλλαγή του κωδικού."
"Please enter the first name.","Παρακαλούμε εισάγετε το όνομα."
"Please enter the last name.","Παρακαλούμε εισάγετε το επώνυμο."
"Please enter the street.","Παρακαλούμε εισάγετε το δρόμο."
"Please enter the city.","Παρακαλούμε εισάγετε την πόλη."
"Please enter the phone number.","Παρακαλώ εισάγετε τον αριθμό τηλεφώνου."
"Please enter the zip/postal code.","Παρακαλώ εισάγετε τον ταχυδρομικό κωδικό."
"Please enter the country.","Παρακαλώ εισάγετε τη χώρα."
"Please enter a first name.","Παρακαλώ εισάγετε ένα όνομα."
"Please enter a last name.","Παρακαλώ εισάγετε ένα επώνυμο."
"Please correct this email address: ""%1"".","Παρακαλώ διορθώστε τη διεύθυνση email: ""%1""."
"Please enter a date of birth.","Παρακαλώ εισάγετε μια ημερομηνία γέννησης."
"Please enter a TAX/VAT number.","Παρακαλώ εισάγετε το ΑΦΜ."
"Please enter a gender.","Παρακαλώ εισάγετε ένα φύλο."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' μοιάζει με ένα όνομα κεντρικού υπολογιστή DNS, αλλά εμείς δεν μπορούμε να ταιριάξουμε το TLD με μια γνωστή λίστα."
"You subscribe to ""General Subscription"".","Μπορείτε να εγγραφείτε στην «Γενική συνδρομή»."
"Submit","Υποβολή"
"Login","Σύνδεση"
"The password for your account has been successfully changed.","Ο κωδικό πρόσβασης για το λογαριασμό σας έχει τροποποιηθεί με επιτυχία."
"If you did not request this change, please contact us.","Αν δεν έχετε ζητήσει αυτήν την αλλαγή, επικοινωνήστε μαζί μας."
"Checkout out as a new customer","Ολοκλήρωση Παραγγελίας ως νέος πελάτης"
"Create Account","Δημιουργία Λογαριασμού"
"Checkout out using your account","Ολοκλήρωση Παραγγελίας χρησιμοποιώντας το λογαριασμό σας"
"Recovery Link Expiration Period (days)","Λήξη περιόδου Σύνδεσμου Ανάκτησης (ημέρες)"
"Leave empty for default (2). Valid range: 1-4","Αφήστε κενό για την προεπιλογή (2). Έγκυρη περιοχή: 1-4"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Το ερωτηματικό (;) διαχωρίζει τιμές. <br/> Βάλτε ερωτηματικό στην αρχή για την κενή πρώτη επιλογή. <br/> Αφήστε κενό για άνοιχτό πεδίο κειμένου."
"Last Logged In","Τελευταία Σύνδεση Στις"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Αν το Magento site σας έχει πολαπλές προβολές, μπορείτε να ορίσετε το πεδίο για να εφαρμόσετε σε μια συγκεκριμένη προβολή."
"You are signed out.","Έχετε αποσυνδεθεί."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2."
"Could not authenticate. Please try again later","Could not authenticate. Please try again later"
"Page not found","Η σελίδα δεν βρέθηκε"
"Account will be unlocked after provided time.","Account will be unlocked after provided time."
"Text","Κείμενο"
"Text One Line","Text One Line"
"HTML","HTML"
"PDF","PDF"
"The account is locked. Please wait and try again or contact %1.","Ο λογαριασμός έχει κλειδωθεί. Περιμένετε και δοκιμάστε ξανά ή επικοινωνήστε με %1."
"Provided Zip/Postal Code seems to be invalid.","Ο παρεχόμενος Ταχυδρομικός Κώδικας φαίνεται να μην είναι έγκυρος."
" Example: "," Παράδειγμα: "
"If you believe it is the right one you can ignore this notice.","Αν πιστεύετε ότι είναι το σωστό, μπορείτε να παραβλέψετε αυτήν την ειδοποίηση."
"Invalid Form Key. Please refresh the page.","Το κλειδί δεν είναι έγκυρη μορφή. Παρακαλούμε ανανεώστε τη σελίδα."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"The password doesn't match this account. Verify the password and try again.","The password doesn't match this account. Verify the password and try again."
"The email address is incorrect. Verify the email address and try again.","The email address is incorrect. Verify the email address and try again."
"The customer ID isn't defined.","The customer ID isn't defined."
"The quote items are incorrect. Verify the quote items and try again.","The quote items are incorrect. Verify the quote items and try again."
"The ""%1"" section source isn't supported.","The ""%1"" section source isn't supported."
"Confirmation isn't needed.","Confirmation isn't needed."
"The account is already active.","The account is already active."
"The confirmation token is invalid. Verify the token and try again.","The confirmation token is invalid. Verify the token and try again."
"This account isn't confirmed. Verify and try again.","This account isn't confirmed. Verify and try again."
"The password needs at least %1 characters. Create a new password and try again.","The password needs at least %1 characters. Create a new password and try again."
"The password can't begin or end with a space. Verify the password and try again.","The password can't begin or end with a space. Verify the password and try again."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
"The store view is not in the associated website.","The store view is not in the associated website."
"A customer with the same email address already exists in an associated website.","A customer with the same email address already exists in an associated website."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The password token is mismatched. Reset and try again.","The password token is mismatched. Reset and try again."
"The password token is expired. Reset and try again.","The password token is expired. Reset and try again."
"The transactional account email type is incorrect. Verify and try again.","The transactional account email type is incorrect. Verify and try again."
"A valid password reset token is missing. Enter and try again.","A valid password reset token is missing. Enter and try again."
"The customer email is missing. Enter and try again.","The customer email is missing. Enter and try again."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","A customer website ID wasn't specified. The ID must be specified to use the website scope."
"""regionId"" is required. Enter and try again.","""regionId"" is required. Enter and try again."
"Delete %1","Διαγραφή %1"
"Are you sure you want to delete a %1 record?","Είστε βέβαιοι ότι θέλετε να διαγράψετε μια εγγραφή %1;"
"Customer not logged in","Customer not logged in"
"There is no address id in setting default billing address.","There is no address id in setting default billing address."
"Default billing address has been changed.","Default billing address has been changed."
"We can't change default billing address right now.","We can't change default billing address right now."
"There is no address id in setting default shipping address.","There is no address id in setting default shipping address."
"Default shipping address has been changed.","Default shipping address has been changed."
"We can't change default shipping address right now.","We can't change default shipping address right now."
"A total of %1 record(s) have been deleted.","Συνολικά %1 εγγραφη(ές) έχουν διαγραφεί."
"There is no such address entity to delete.","There is no such address entity to delete."
"We can't mass delete the addresses right now.","We can't mass delete the addresses right now."
"Customer address has been updated.","Customer address has been updated."
"New customer address has been added.","New customer address has been added."
"There is no customer with such id.","There is no customer with such id."
"We can't change customer address right now.","We can't change customer address right now."
"Street","Οδός"
"Set as default billing","Set as default billing"
"Set address as default billing","Set address as default billing"
"Are you sure you want to set the address as default billing address?","Are you sure you want to set the address as default billing address?"
"Set as default shipping","Set as default shipping"
"Set address as default shipping","Set address as default shipping"
"Are you sure you want to set the address as default shipping address?","Are you sure you want to set the address as default shipping address?"
"Delete address","Διαγραφή διεύθυνσης"
"Are you sure you want to delete the address?","Είστε βέβαιοι ότι θέλετε να διαγράψετε τη διεύθυνση;"
"Additional addresses","Επιπλέον Διευθύνσεις"
"State","Κατάσταση"
"Actions","Ενέργειες"
"Sorry, there has been an error processing your request. Please try again later.","Λυπούμαστε, υπήρξε σφάλμα κατά την επεξεργασία του αιτήματός σας. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"Reset password","Επαναφορά κωδικού πρόσβασης"
"Invalidate tokens","Invalidate tokens"
"Update Address","Update Address"
"Name Prefix","Πρόθεμα Ονόματος"
"Name Suffix","Επίθημα Ονόματος"
"Middle Name/Initial","Μεσαίο όνομα/Αρχικά"
"Are you sure to delete selected address?","Are you sure to delete selected address?"
"Are you sure you want to delete the selected customers?","Are you sure you want to delete the selected customers?"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","Are you sure you want to unsubscribe the selected customers from the newsletter?"
"The customer does not have default billing address","Ο πελάτης δεν έχει προεπιλεγμένη διεύθυνση χρέωσης"
"The customer does not have default shipping address","The customer does not have default shipping address"
