"Sign Out","Odhlásit se"
"Show Tax/VAT Number","Zobrazit DIČ"
"Show Gender","Zobrazit pohlaví"
"Show Telephone","Zobrazit telefon"
"Show Company","Zobrazit společnost"
"Show Fax","Zobrazit fax"
"Login Options","Možnosti přihlášení"
"Redirect Customer to Account Dashboard after Logging in","Po přihlášení přesměrovat zákazníka na přehled účtu"
"Customer will stay on the current page if ""No"" is selected.","Zvolíte-li ""Ne"", zákazník zůstane na původní stránce."
"Address Templates","Šablony adres"
"Online Customers Options","Nastavení on-line zákazníků"
"Online Minutes Interval","Online interval v minutách"
"Leave empty for default (15 minutes).","Pro výchozích 15 minut nechte údaj prázdný."
"Customer Data Lifetime","Customer Data Lifetime"
"Please specify value in minutes.","Please specify value in minutes."
"Customer Notification","Oznámení pro zákazníka"
"Assign a Customer Group","Přiřadit skupinu zákazníků"
"Are you sure to assign selected customers to new group?","Are you sure to assign selected customers to new group?"
"Customer Grid","Tabulka zákazníků"
"Rebuild Customer grid index","Přeindexovat tabulku zákazníků"
"Group","Skupina"
"Add New Customer","Přidat nového zákazníka"
"Are you sure to delete selected customers?","Are you sure to delete selected customers?"
"Delete items","Odstranit položky"
"Subscribe to Newsletter","Přihlásit se k odběru newsletteru"
"Are you sure to unsubscribe selected customers from newsletter?","Are you sure to unsubscribe selected customers from newsletter?"
"Unsubscribe from Newsletter","Odhlásit odběr newsletteru"
"Phone","Telefon"
"ZIP","PSČ"
"Customer Since","Zákazníkem od"
"Confirmed email","Potvrzený e-mail"
"Account Created in","Účet vytvořen v"
"Tax VAT Number","DIČ"
"Billing Firstname","Křestní jméno fakturační adresy"
"Billing Lastname","Příjmení fakturační adresy"
"Account Lock","Uzamčení účtu"
"First Name","Jméno"
"Last Name","Příjmení"
"Last Activity","Poslední aktivita"
"Type","Typ"
"Customer Information","Informace o zákazníkovi"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site."
"Disable Automatic Group Change Based on VAT ID","Vypnout automatickou změnu skupiny podle DIČ"
"Send Welcome Email From","Uvítací e-mail zaslat z"
"Are you sure you want to delete this item?","Are you sure you want to delete this item?"
"Addresses","Adresy"
"Account Dashboard","Account Dashboard"
"Edit Account Information","Upravit údaje účtu"
"Password forgotten","Zapomenuté heslo"
"My Dashboard","My Dashboard"
"You are signed out","Jste odhlášeni"
"You subscribe to our newsletter.","You subscribe to our newsletter."
"You don't subscribe to our newsletter.","You don't subscribe to our newsletter."
"Maximum length must be less then %1 symbols","Maximum length must be less then %1 symbols"
"Invalid input","Invalid input"
"Confirm your new password.","Confirm your new password."
"Something went wrong while changing the password.","Something went wrong while changing the password."
"Please enter the first name.","Please enter the first name."
"Please enter the last name.","Please enter the last name."
"Please enter the street.","Please enter the street."
"Please enter the city.","Please enter the city."
"Please enter the phone number.","Please enter the phone number."
"Please enter the zip/postal code.","Please enter the zip/postal code."
"Please enter the country.","Please enter the country."
"Please enter a first name.","Please enter a first name."
"Please enter a last name.","Please enter a last name."
"Please correct this email address: ""%1"".","Please correct this email address: ""%1""."
"Please enter a date of birth.","Please enter a date of birth."
"Please enter a TAX/VAT number.","Please enter a TAX/VAT number."
"Please enter a gender.","Please enter a gender."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' looks like a DNS hostname but we cannot match the TLD against known list."
"You subscribe to ""General Subscription"".","You subscribe to ""General Subscription""."
"Submit","Submit"
"Login","Login"
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Checkout out as a new customer","Checkout out as a new customer"
"Create Account","Create Account"
"Checkout out using your account","Checkout out using your account"
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Last Logged In","Last Logged In"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"You are signed out.","You are signed out."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2."
"Could not authenticate. Please try again later","Nelze se autentizovat. Opakujte akci později"
"Page not found","Page not found"
"Account will be unlocked after provided time.","Účet bude odemčen po stanoveném čase."
"Text","Text"
"Text One Line","Text One Line"
"HTML","HTML"
"PDF","PDF"
"The account is locked. Please wait and try again or contact %1.","The account is locked. Please wait and try again or contact %1."
"Provided Zip/Postal Code seems to be invalid.","Zadané PSČ je neplatné."
" Example: "," příklad: "
"If you believe it is the right one you can ignore this notice.","Pokud se domníváte, že je vše v pořádku, toto upozornění ignorujte."
"Invalid Form Key. Please refresh the page.","Neplatný klíč formuláře. Prosím obnovte stránku."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Přihlášení k účtu bylo nesprávné nebo je Váš účet dočasně zakázán. Počkejte prosím a opakujte akci později."
"The password doesn't match this account. Verify the password and try again.","Heslo se neshoduje s tímto účtem. Ověřte heslo a zkuste to znovu."
"The email address is incorrect. Verify the email address and try again.","E-mailová adresa je neplatná. Zkontrolujte e-mailovou adresu a zkuste znovu."
"The customer ID isn't defined.","ID zákazníka není definováno."
"The quote items are incorrect. Verify the quote items and try again.","Položky v nabídce nejsou správné. Ověřte položky v nabídce a zkuste to znovu."
"The ""%1"" section source isn't supported.","Zdroj sekce ""%1"" není podporován."
"Confirmation isn't needed.","Potvrzení není nutné."
"The account is already active.","Účet je již aktivní."
"The confirmation token is invalid. Verify the token and try again.","Potvrzovací token je neplatný. Ověřte token a zkuste to znovu."
"This account isn't confirmed. Verify and try again.","Tento účet není potvrzen. Ověřte a zkuste to znovu."
"The password needs at least %1 characters. Create a new password and try again.","Heslo potřebuje alespoň %1 znaků. Vytvořte nové heslo a zkuste to znovu."
"The password can't begin or end with a space. Verify the password and try again.","Heslo nemůže začínat nebo končit mezerou. Zkontrolujte heslo a zkuste to znovu."
"The password can't be the same as the email address. Create a new password and try again.","Heslo nemůže být stejné jako e-mailová adresa. Vytvořte nové heslo a zkuste to znovu."
"The store view is not in the associated website.","Zobrazení obchodu není v přidružené webové stránce."
"A customer with the same email address already exists in an associated website.","Zákazník se stejnou e-mailovou adresou již existuje v přidruženém webu."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" je povinný. Zadejte jej a zkuste znovu."
"The password token is mismatched. Reset and try again.","Heslo tokenu není shodné. Obnovte jej a zkuste to znovu."
"The password token is expired. Reset and try again.","Platnost tokenu hesla vypršela. Obnovte jej a zkuste to znovu."
"The transactional account email type is incorrect. Verify and try again.","Typ e-mailu transakčního účtu je nesprávný. Ověřte jej a zkuste to znovu."
"A valid password reset token is missing. Enter and try again.","Chybí platný token pro obnovení hesla. Zadejte jej a zkuste to znovu."
"The customer email is missing. Enter and try again.","Chybí e-mail zákazníka. Zadejte jej a zkuste to znovu."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","Nebylo zadáno zákazníkovo website ID. Pro použití website scope musí být zadáno ID."
"""regionId"" is required. Enter and try again.","Atribut ""regionId"" je povinný. Zadejte jej a zkuste to znovu."
"Delete %1","Odstranit %1"
"Are you sure you want to delete a %1 record?","Skutečně chcete odstranit záznam %1?"
"Customer not logged in","Zákazník nepřihlášen"
"There is no address id in setting default billing address.","V nastavení výchozí fakturační adresy není ID adresy."
"Default billing address has been changed.","Výchozí fakturační adresa byla změněna."
"We can't change default billing address right now.","Výchozí fakturační adresu momentálně nelze změnit."
"There is no address id in setting default shipping address.","V nastavení výchozí doručovací adresy není ID adresy."
"Default shipping address has been changed.","Výchozí dodací adresa byla změněna."
"We can't change default shipping address right now.","Výchozí dodací adresu momentálně nelze změnit."
"A total of %1 record(s) have been deleted.","Bylo odstraněno celkem %1 záznam(ů)."
"There is no such address entity to delete.","Neexistuje žádná entita adresy k odstranění."
"We can't mass delete the addresses right now.","Adresy momentálně nelze hromadně odstranit."
"Customer address has been updated.","Adresa zákazníka byla aktualizována."
"New customer address has been added.","Nová adresa zákazníka byla přidána."
"There is no customer with such id.","Neexistuje žádný zákazník s tímto ID."
"We can't change customer address right now.","Adresu zákazníka momentálně nelze změnit."
"Street","Ulice"
"Set as default billing","Nastavit jako výchozí fakturaci"
"Set address as default billing","Nastavit adresu jako výchozí pro fakturační adresu"
"Are you sure you want to set the address as default billing address?","Opravdu chcete nastavit adresu jako výchozí fakturační adresu?"
"Set as default shipping","Nastavit adresu jako výchozí dodací adresu"
"Set address as default shipping","Nastavit adresu jako výchozí dodací"
"Are you sure you want to set the address as default shipping address?","Opravdu chcete nastavit adresu jako výchozí dodací adresu?"
"Delete address","Odstranit adresu"
"Are you sure you want to delete the address?","Skutečně chcete adresu odstranit?"
"Additional addresses","Další adresy"
"State","Kraj / region"
"Actions","Akce"
"Sorry, there has been an error processing your request. Please try again later.","Omlouváme se, při zpracování požadavku došlo k chybě. Opakujte akci později."
"Reset password","Obnovit heslo"
"Invalidate tokens","Zneplatnit tokeny"
"Update Address","Update Address"
"Name Prefix","Name Prefix"
"Name Suffix","Name Suffix"
"Middle Name/Initial","Middle Name/Initial"
"Are you sure to delete selected address?","Are you sure to delete selected address?"
"Are you sure you want to delete the selected customers?","Are you sure you want to delete the selected customers?"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","Are you sure you want to unsubscribe the selected customers from the newsletter?"
"The customer does not have default billing address","The customer does not have default billing address"
"The customer does not have default shipping address","The customer does not have default shipping address"
