"Sign Out","Log ud"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Antallet af forskellige karakter klasser krævet i adgangskoden: små bogstaver, store bogstaver, cifre og specialtegn."
"Minimum Password Length","Minimumlængde for adgangskode"
"Maximum Login Failures to Lockout Account","Maximum Login Failures to Lockout Account"
"Use 0 to disable account locking.","Use 0 to disable account locking."
"Lockout Time (minutes)","Lockout Time (minutes)"
"Account will be unlocked after provided time.","Account will be unlocked after provided time."
"Enable Autocomplete on login/forgot password forms","Enable Autocomplete on login/forgot password forms"
"Account Information Options","Account Information Options"
"Change Email Template","Change Email Template"
"Change Email and Password Template","Change Email and Password Template"
"Name and Address Options","Name and Address Options"
"Number of Lines in a Street Address","Number of Lines in a Street Address"
"Valid range: 1-4","Valid range: 1-4"
"Show Prefix","Show Prefix"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"Prefix Dropdown Options","Prefix Dropdown Options"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Leave empty for open text field."
"Show Middle Name (initial)","Show Middle Name (initial)"
"Always optional.","Always optional."
"Show Suffix","Show Suffix"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"Suffix Dropdown Options","Suffix Dropdown Options"
"Show Date of Birth","Vis fødselsdag"
"Show Tax/VAT Number","Vis CVR nummer"
"Show Gender","Vis køn"
"Show Telephone","Vis telefonnummer"
"Show Company","Vis virksomhed"
"Show Fax","Vis Fax"
"Login Options","Login Options"
"Redirect Customer to Account Dashboard after Logging in","Redirect Customer to Account Dashboard after Logging in"
"Customer will stay on the current page if ""No"" is selected.","Customer will stay on the current page if ""No"" is selected."
"Address Templates","Address Templates"
"Text","Text"
"Text One Line","Text One Line"
"HTML","HTML"
"PDF","PDF"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Customer Data Lifetime","Customer Data Lifetime"
"Please specify value in minutes.","Please specify value in minutes."
"Customer Notification","Customer Notification"
"Assign a Customer Group","Assign a Customer Group"
"Are you sure to assign selected customers to new group?","Are you sure to assign selected customers to new group?"
"Customer Grid","Customer Grid"
"Rebuild Customer grid index","Rebuild Customer grid index"
"Update Address","Update Address"
"Name Prefix","Name Prefix"
"Name Suffix","Name Suffix"
"Middle Name/Initial","Mellemnavn/initialer"
"State/Province","Stat eller Region"
"VAT Number","CVR nummer"
"Are you sure to delete selected address?","Are you sure to delete selected address?"
"Delete items","Slet elementer"
"Group","Gruppe"
"Add New Customer","Opret ny kunde"
"Are you sure you want to delete the selected customers?","Are you sure you want to delete the selected customers?"
"Subscribe to Newsletter","Tilmeld nyhedsbrev"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","Are you sure you want to unsubscribe the selected customers from the newsletter?"
"Unsubscribe from Newsletter","Afmeld nyhedsbrev"
"ZIP","Postnr."
"Customer Since","Kunde siden"
"Confirmed email","Bekræftet e-mail"
"Account Created in","Konto oprettet i"
"Tax VAT Number","CVR nummer"
"Gender","Køn"
"Billing Firstname","Faktureringsfornavn"
"Billing Lastname","Faktureringsefternavn"
"Account Lock","Account Lock"
"Last Activity","Sidste aktivitet"
"Type","Type"
"Customer Information","Kundeoplysninger"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site."
"Disable Automatic Group Change Based on VAT ID","Disable Automatic Group Change Based on VAT ID"
"Send Welcome Email From","Send velkomst e-mail fra"
"Addresses","Adresser"
"The customer does not have default billing address","The customer does not have default billing address"
"The customer does not have default shipping address","The customer does not have default shipping address"
"Add/Update Address","Add/Update Address"
"Edit Account Information","Rediger kontooplysninger"
"Password forgotten","Glemt adgangskode"
"You are signed out","Du er logget ud"
