"Sign Out","Çıkış"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Bir müşteri parolasız oluşturulmuşsa, bu e-posta Varsayılan Karşılama E-postası yerine gönderilecektir.<br /><br />
                         E-posta şablonu, ""Varsayılan"" seçeneği seçildiğinde o anki temanın geri düşümü temel alınarak seçildi."
"Email Sender","E-posta Göndericisi"
"Require Emails Confirmation","E-posta doğrulaması istensin"
"Confirmation Link Email","Doğrulama Bağlantısı E-postası"
"Welcome Email","Karşılama E-postası"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Bu e-posta, hesap onayından sonra Varsayılan Hoş Geldiniz E-postası yerine gönderilecek.<br /><br />
                         E-posta şablonu, ""Varsayılan"" seçeneği seçildiğinde o anki temanın geri düşümü temel alınarak seçildi."
"Generate Human-Friendly Customer ID","Kullanıcı dostu Müşteri Numarası üret"
"Password Options","Şifre Seçenekleri"
"Forgot Email Template","Şifremi Unuttum E-posta Şablonu"
"Remind Email Template","Hatırlatma E-posta Şablonu"
"Reset Password Template","Parola Şablonunu Sıfırla"
"Password Template Email Sender","Parola Şablonu E-posta Göndericisi"
"Recovery Link Expiration Period (hours)","Kurtarma Bağlantısının Sona Erme Süresi (saatler)"
"Please enter a number 1 or greater in this field.","Lütfen bu alana 1 veya daha büyük bir sayı giriniz."
"Number of Required Character Classes","Gerekli Karakter Sınıflarının Sayısı"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Parola içinde kullanılacak gerekli olan farklı karakter sınıflarının sayısı: Küçük harf, Büyük harf, Basamaklar, Özel Karakterler."
"Minimum Password Length","Minimum şifre uzunluğu"
"Maximum Login Failures to Lockout Account","Hesabı Kilitlemek İçin Maksimum Oturum Açma Hatasına eriştiniz"
"Use 0 to disable account locking.","Hesap kilidini devre dışı bırakmak için 0 kullanın."
"Lockout Time (minutes)","Kilitleme Süresi (dakikalar)"
"Enable Autocomplete on login/forgot password forms","Girişte otomatik tamamlamayı etkinleştir / şifre formlarını unuttum"
"Account Information Options","Hesap Bilgisi Seçenekleri"
"Change Email Template","E-posta Şablonunu Değiştir"
"Change Email and Password Template","E-posta ve Parola Şablonunu Değiştir"
"Name and Address Options","Ad ve Adres seçenekleri"
"Number of Lines in a Street Address","Bir Sokak Adresi içindeki Satır Sayısı"
"Valid range: 1-4","Geçerli aralık: 1-4"
"Show Prefix","Öneki Göster"
"The title that goes before name (Mr., Mrs., etc.)","Önek, isimden önce gelen eklerdir (Bay, Bayan vb. gibi)"
"Prefix Dropdown Options","Önek Açılır Menü Seçenekleri"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Noktalı virgül (;) ayrılmış değerler. <br/> Açık metin alanı için boş bırakın."
"Show Middle Name (initial)","Orta ad alanını göster"
"Always optional.","Her zaman isteğe bağlı."
"Show Suffix","Soneki Göster"
"The suffix that goes after name (Jr., Sr., etc.)","Sonek, isimden sonra gelen ikinci isim veya isim ekidir (Jr., Sr., veya ikinci ad gibi)"
"Suffix Dropdown Options","Sonek Açılır Menü Seçenekleri"
"Show Date of Birth","Doğum tarihini göster"
"Show Tax/VAT Number","Vergi/Vatandaşlık Numarasını göster"
"Show Gender","Cinsiyet alanını göster"
"Show Telephone","Telefon Numarasını Göster"
"Show Company","Şirketi Göster"
"Show Fax","Faks Numarasını Göster"
"Login Options","Giriş Seçenekleri"
"Redirect Customer to Account Dashboard after Logging in","Müşteri giriş yaptıktan sonra Hesap Kontrol Paneline yönlendir"
"Customer will stay on the current page if ""No"" is selected.","Eğer ""Hayır"" seçilirse, müşteri bulunduğu sayfada kalacaktır."
"Address Templates","Adres Şablonları"
"Online Customers Options","Çevrimiçi Müşteri Seçenekleri"
"Online Minutes Interval","Ziyaretçinin sitede sayılması için süre"
"Leave empty for default (15 minutes).","Varsayılan değer (15 dakika) için boş bırakınız."
"Customer Data Lifetime","Kullanıcı Veri Süresi"
"Please specify value in minutes.","Lütfen değeri dakika olarak belirtin."
"Customer Notification","Müşteri Bildirimi"
"Assign a Customer Group","Bir Müşteri Grubuna Ata"
"Are you sure to assign selected customers to new group?","Seçilen müşterileri yeni gruba atadığınızdan emin misiniz?"
"Customer Grid","Müşteri Ağı"
"Rebuild Customer grid index","Müşteri ağı dizinini yeniden yapılandır"
"Group","Grup"
"Add New Customer","Yeni Müşteri Ekle"
"Are you sure to delete selected customers?","Seçili müşterileri silmek istediğinizden emin misiniz?"
"Delete items","Öğeleri sil"
"Subscribe to Newsletter","Duyuru Servisine Abone Ol"
"Are you sure to unsubscribe selected customers from newsletter?","Seçilen müşterileri haber bülteni aboneliğinden çıkarmak istediğinize emin misiniz?"
"Unsubscribe from Newsletter","Duyuru Aboneliğini İptal Et"
"Phone","Telefon Numarası"
"ZIP","Posta Kodu"
"Customer Since","Müşteri Geçmişi"
"Confirmed email","E-posta onaylandı"
"Account Created in","Hesap Oluşturuldu"
"Tax VAT Number","Vergi numarası"
"Billing Firstname","Faturalanan İsmi"
"Billing Lastname","Faturalanan Soyadı"
"Account Lock","Hesabı kilitle"
"First Name","Adı"
"Last Name","Soyadı"
"Last Activity","Son İşlem"
"Type","Tip"
"Customer Information","Müşteri Bilgisi"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","Magento kurulumunuzda birden fazla web sitesi varsa, müşteriyi belirli bir siteyle ilişkilendirmek için kapsamı düzenleyebilirsiniz."
"Disable Automatic Group Change Based on VAT ID","Vergi numarasına göre otomatik grup değiştirmeyi iptal et"
"Send Welcome Email From","Hoşgeldin E-postası Gönder"
"Are you sure you want to delete this item?","Bu öğeyi silmek istediğinizden emin misiniz?"
"Addresses","Adresler"
"Account Dashboard","Hesap Paneli"
"Edit Account Information","Hesap Bilgisini Düzenle"
"Password forgotten","Şifremi Unuttum"
"My Dashboard","Panelim"
"You are signed out","Oturumunuzu kapattınız"
"You subscribe to our newsletter.","Bültenimize abone olun."
"You don't subscribe to our newsletter.","Bültenimize abone olmuyorsunuz."
"Maximum length must be less then %1 symbols","Maximum uzunluk %1 karakterden az olmalıdır"
"Invalid input","Geçersiz giriş"
"Confirm your new password.","Yeni parolanızı onaylayın."
"Something went wrong while changing the password.","Parola değiştirme sırasında bir hata oluştu."
"Please enter the first name.","Lütfen adı giriniz."
"Please enter the last name.","Lütfen soyadı giriniz."
"Please enter the street.","Lütfen adres bilgisi giriniz."
"Please enter the city.","Lütfen şehir giriniz."
"Please enter the phone number.","Lütfen telefon numarası giriniz."
"Please enter the zip/postal code.","Lütfen Posta Kodu giriniz."
"Please enter the country.","Lütfen ülke giriniz."
"Please enter a first name.","Lütfen bir ad girin."
"Please enter a last name.","Lütfen bir soyadı girin."
"Please correct this email address: ""%1"".","Lütfen bu e-posta adresini düzeltin: ""%1""."
"Please enter a date of birth.","Lütfen doğum tarihi girin."
"Please enter a TAX/VAT number.","Lütfen bir vergi/KDV numarası girin."
"Please enter a gender.","Lütfen cinsiyet girin."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' bir DNS ana makine adına benziyor ancak TLD'yi bilinen listeyle eşleştiremiyoruz."
"You subscribe to ""General Subscription"".","""Genel abonelik için"" abone olun."
"Submit","Gönder"
"Login","Giriş"
"The password for your account has been successfully changed.","Hesabınıza ait parola başarıyla değiştirildi."
"If you did not request this change, please contact us.","Bu değişikliği istemediyseniz lütfen bize ulaşın."
"Checkout out as a new customer","Ödeme işlemini yeni kullanıcı olarak yapın"
"Create Account","Hesap Oluştur"
"Checkout out using your account","Ödeme işlemini hesabınızı kullanarak yapın"
"Recovery Link Expiration Period (days)","Geri Kurtarma Bağlantısı Bitiş Süresi (gün)"
"Leave empty for default (2). Valid range: 1-4","Varsayılan değer (2) için boş bırakınız. Geçerli aralık: 1-4"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Noktalı virgül (;) ile ayrılmış değerler.<br/>Boş ilk seçeneğin başına noktalı virgül koyun. <br/>Açık metin alanı için boş bırakın."
"Last Logged In","Son Giriş:"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Magento siteniz birden çok görünüme sahipse kapsamı belirli bir görünüme ayarlayabilirsiniz."
"You are signed out.","Oturumunuz kapatıldı."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2.","%fieldName alanı için verilen ""%value"" değeri geçersiz. Olabilecek değerler: %template1 veya %template2."
"Could not authenticate. Please try again later","Doğrulanamadı. Lütfen daha sonra tekrar deneyiniz"
"Page not found","Sayfa bulunamadı"
"Account will be unlocked after provided time.","Verilen süre sonunda hesabın kilidi açılacaktır."
"Text","Yazı"
"Text One Line","Tek satır yazı"
"HTML","HTML"
"PDF","PDF"
"The account is locked. Please wait and try again or contact %1.","Hesap kilitli. Lütfen bekleyin ve yeniden deneyin veya %1 başvurun."
"Provided Zip/Postal Code seems to be invalid.","Posta Kodu'nun geçersiz görünüyor."
" Example: "," Örnek: "
"If you believe it is the right one you can ignore this notice.","Doğru olduğuna inanıyorsanız, bu uyarıyı yoksayabilirsiniz."
"Invalid Form Key. Please refresh the page.","Geçersiz Form Anahtarı. Lütfen sayfayı yenileyin."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Oturum açma bilgileriniz yanlış ya da hesabınız geçici olarak devre dışı. Lütfen bekleyin ve daha sonra tekrar deneyin."
"The password doesn't match this account. Verify the password and try again.","Şifre bu hesapla eşleşmiyor. Şifreyi doğrulayıp tekrar deneyiniz."
"The email address is incorrect. Verify the email address and try again.","E-mail adresi yanlış. E-mail adresini doğrulayıp tekrar deneyiniz."
"The customer ID isn't defined.","Müşteri numarası tanımlanmadı."
"The quote items are incorrect. Verify the quote items and try again.","Fiyat teklifi yanlıştır. Teklif öğelerini doğrulayıp tekrar deneyiniz."
"The ""%1"" section source isn't supported.","''%1'' Bölüm kaynağı desteklenmiyor."
"Confirmation isn't needed.","Onay gerekli değildir."
"The account is already active.","Hesap zaten aktif."
"The confirmation token is invalid. Verify the token and try again.","Onay simgesi geçersiz. Belirteci doğrulayıp tekrar deneyiniz."
"This account isn't confirmed. Verify and try again.","Hesap doğrulanmadı. Lütfen doğrulama yapıp tekrar deneyiniz."
"The password needs at least %1 characters. Create a new password and try again.","Şifre en az %1 karakter gerektiriyor. Yeni bir şifre oluşturup tekrar deneyiniz."
"The password can't begin or end with a space. Verify the password and try again.","Parola bir boşlukla başlayamaz veya bitemez. Şifreyi doğrulayıp tekrar deneyiniz."
"The password can't be the same as the email address. Create a new password and try again.","Şifre, e-mail adresiyle aynı olamaz. Yeni bir şifre oluşturup tekrar deneyiniz."
"The store view is not in the associated website.","Mağaza görünümü ilişkili web sitesinde değil."
"A customer with the same email address already exists in an associated website.","Bu web sitesinde aynı e-mail adresiyle kayıtlı bir müşteri zaten var."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" alanı boş bırakılamaz. Veri girip tekrar deneyiniz."
"The password token is mismatched. Reset and try again.","Şifre anahtar kelimesi eşleşmedi. Sıfırlayıp tekrar deneyiniz."
"The password token is expired. Reset and try again.","Parolanın süresi doldu. Sıfırlayıp tekrar deneyiniz."
"The transactional account email type is incorrect. Verify and try again.","İşlem hesabı e-mail türü yanlış. Doğrulayıp tekrar deneyiniz."
"A valid password reset token is missing. Enter and try again.","Geçerli bir şifre sıfırlama belirteci eksik. Girip tekrar deneyiniz."
"The customer email is missing. Enter and try again.","Müşteri e-maili eksik. Girip tekrar deneyiniz."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","Bir müşteri web sitesi kimliği belirtilmedi. Web sitesi kapsamını kullanmak için kimlik belirtilmelidir."
"""regionId"" is required. Enter and try again.","""regionId"" alanı boş bırakılamaz. Veri girip tekrar deneyiniz."
"Delete %1","%1 Sil"
"Are you sure you want to delete a %1 record?","%1 kaydını silmek istediğinizden emin misiniz?"
"Customer not logged in","Müşteri giriş yapılmadı"
"There is no address id in setting default billing address.","Varsayılan fatura adresini alanında adres numarası kayıtlı değil."
"Default billing address has been changed.","Varsayılan fatura adresi değiştirildi."
"We can't change default billing address right now.","Şu anda varsayılan fatura adresini değiştiremiyoruz."
"There is no address id in setting default shipping address.","Varsayılan gönderim adresini ayarlamada adres kimliği yoktur."
"Default shipping address has been changed.","Varsayılan gönderim adresi değiştirildi."
"We can't change default shipping address right now.","Şu anda varsayılan gönderim adresini değiştiremiyoruz."
"A total of %1 record(s) have been deleted.","Toplam %1 kayıt(lar) silindi."
"There is no such address entity to delete.","Silinecek böyle bir adres varlığı yok."
"We can't mass delete the addresses right now.","Şu anda adresleri toplu olarak silemiyoruz."
"Customer address has been updated.","Müşteri adresi güncellendi."
"New customer address has been added.","Yeni müşteri adresi eklendi."
"There is no customer with such id.","Bu numara ile kayıtlı bir müşteri yok."
"We can't change customer address right now.","Şu an müşteri adresini değiştiremeyiz."
"Street","Sokak"
"Set as default billing","Varsayılan fatura adresi olarak ayarla"
"Set address as default billing","Set address as default billing"
"Are you sure you want to set the address as default billing address?","Are you sure you want to set the address as default billing address?"
"Set as default shipping","Set as default shipping"
"Set address as default shipping","Set address as default shipping"
"Are you sure you want to set the address as default shipping address?","Are you sure you want to set the address as default shipping address?"
"Delete address","Delete address"
"Are you sure you want to delete the address?","Are you sure you want to delete the address?"
"Additional addresses","Additional addresses"
"State","Eyalet"
"Actions","İşlemler"
"Sorry, there has been an error processing your request. Please try again later.","Üzgünüm, İsteğiniz işlenirken bir hata oluştu. Lütfen daha sonra yeniden deneyin."
"Reset password","Reset password"
"Invalidate tokens","Invalidate tokens"
"Update Address","Update Address"
"Name Prefix","Name Prefix"
"Name Suffix","Name Suffix"
"Middle Name/Initial","İkinci Ad"
"Are you sure to delete selected address?","Are you sure to delete selected address?"
"Are you sure you want to delete the selected customers?","Are you sure you want to delete the selected customers?"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","Are you sure you want to unsubscribe the selected customers from the newsletter?"
"The customer does not have default billing address","The customer does not have default billing address"
"The customer does not have default shipping address","The customer does not have default shipping address"
