"Sign Out","Odjavi se"
"My Dashboard","My Dashboard"
"You are signed out","You are signed out"
"You subscribe to our newsletter.","You subscribe to our newsletter."
"You don't subscribe to our newsletter.","You don't subscribe to our newsletter."
"Maximum length must be less then %1 symbols","Maximum length must be less then %1 symbols"
"Invalid input","Invalid input"
"Confirm your new password.","Confirm your new password."
"Something went wrong while changing the password.","Something went wrong while changing the password."
"Please enter the first name.","Please enter the first name."
"Please enter the last name.","Please enter the last name."
"Please enter the street.","Please enter the street."
"Please enter the city.","Please enter the city."
"Please enter the phone number.","Please enter the phone number."
"Please enter the zip/postal code.","Please enter the zip/postal code."
"Please enter the country.","Please enter the country."
"Please enter a first name.","Please enter a first name."
"Please enter a last name.","Please enter a last name."
"Please correct this email address: ""%1"".","Please correct this email address: ""%1""."
"Please enter a date of birth.","Please enter a date of birth."
"Please enter a TAX/VAT number.","Please enter a TAX/VAT number."
"Please enter a gender.","Please enter a gender."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' looks like a DNS hostname but we cannot match the TLD against known list."
"You subscribe to ""General Subscription"".","You subscribe to ""General Subscription""."
"Submit","Submit"
"Login","Login"
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Checkout out as a new customer","Checkout out as a new customer"
"Create Account","Create Account"
"Checkout out using your account","Checkout out using your account"
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Last Logged In","Last Logged In"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"You are signed out.","You are signed out."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2."
"Could not authenticate. Please try again later","Could not authenticate. Please try again later"
"Page not found","Page not found"
"Account will be unlocked after provided time.","Account will be unlocked after provided time."
"Text","Text"
"Text One Line","Text One Line"
"HTML","HTML"
"PDF","PDF"
"The account is locked. Please wait and try again or contact %1.","The account is locked. Please wait and try again or contact %1."
"Provided Zip/Postal Code seems to be invalid.","Provided Zip/Postal Code seems to be invalid."
" Example: "," Example: "
"If you believe it is the right one you can ignore this notice.","If you believe it is the right one you can ignore this notice."
"Invalid Form Key. Please refresh the page.","Nevažeća šifra za formu. Molim osvežite stranicu."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Netočni podaci za prijavu korisnika. Molimo sačekajte i pokušajte ponovo kasnije."
"The password doesn't match this account. Verify the password and try again.","Lozinka se ne poklapa sa korisničkim profilom. Proverite lozinku i pokušajte ponovo."
"The email address is incorrect. Verify the email address and try again.","Email adresa nije ispravna. Proverite email adresu i pokušajte ponovo."
"The customer ID isn't defined.","The customer ID isn't defined."
"The quote items are incorrect. Verify the quote items and try again.","The quote items are incorrect. Verify the quote items and try again."
"The ""%1"" section source isn't supported.","The ""%1"" section source isn't supported."
"Confirmation isn't needed.","Confirmation isn't needed."
"The account is already active.","The account is already active."
"The confirmation token is invalid. Verify the token and try again.","The confirmation token is invalid. Verify the token and try again."
"This account isn't confirmed. Verify and try again.","Ovaj Profile nije potvrđen. Proverite i pokušajte ponovo."
"The password needs at least %1 characters. Create a new password and try again.","Za Lozinku je potrebno najmanje %1 karaktera. Kreirajte novu Lozinku i pokušajte ponovo."
"The password can't begin or end with a space. Verify the password and try again.","Lozinka ne može započeti niti se završiti praznim mestom. Proverite Lozinku i pokušajte ponovo."
"The password can't be the same as the email address. Create a new password and try again.","Lozinka ne može biti email adresa. Kreirajte novu Lozinku i pokušajte ponovo."
"The store view is not in the associated website.","Pregled stranice nije pridružen ovom web sajtu."
"A customer with the same email address already exists in an associated website.","Korisnik sa istim emailom već postoji na pridruženom web sajtu."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" je obavezno. Unesite i probajte ponovo."
"The password token is mismatched. Reset and try again.","Token lozinke nije usklađen. Resetujte i pokušajte ponovo."
"The password token is expired. Reset and try again.","Token lozinke je istekao. Resetujte i pokušajte ponovo."
"The transactional account email type is incorrect. Verify and try again.","Vrsta emaila transakcionog računa je netačna. Verifikujte i pokušajte ponovo."
"A valid password reset token is missing. Enter and try again.","Validni token za resetovanje šifre nedostaje. Unesite ga i pokušajte ponovo."
"The customer email is missing. Enter and try again.","The customer email is missing. Enter and try again."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","A customer website ID wasn't specified. The ID must be specified to use the website scope."
"""regionId"" is required. Enter and try again.","""regionId"" je obavezan. Upišite i pokušajte ponovo."
"Delete %1","Obriši %1"
"Are you sure you want to delete a %1 record?","Da li ste sigurni da želite da obrišete %1 zapis?"
"Customer not logged in","Kupac nije prijavljen"
"There is no address id in setting default billing address.","There is no address id in setting default billing address."
"Default billing address has been changed.","Default billing address has been changed."
"We can't change default billing address right now.","We can't change default billing address right now."
"There is no address id in setting default shipping address.","There is no address id in setting default shipping address."
"Default shipping address has been changed.","Default shipping address has been changed."
"We can't change default shipping address right now.","We can't change default shipping address right now."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"There is no such address entity to delete.","There is no such address entity to delete."
"We can't mass delete the addresses right now.","We can't mass delete the addresses right now."
"Customer address has been updated.","Customer address has been updated."
"New customer address has been added.","New customer address has been added."
"There is no customer with such id.","There is no customer with such id."
"We can't change customer address right now.","We can't change customer address right now."
"Street","Ulica"
"Set as default billing","Podesi kao podrazumavanu naplatu"
"Set address as default billing","Podesi adresu kao za podrazumevanu naplatu"
"Are you sure you want to set the address as default billing address?","Da li ste sigurni da želite da podesite ovu adresu kao podrazumevanu adresu za naplatu?"
"Set as default shipping","Podesi kao podrazumevanu dostavu"
"Set address as default shipping","Podesi adresu kao podrazumevanu za dostavu"
"Are you sure you want to set the address as default shipping address?","Da li ste sigurni da želite da podesite adresu kao podrazumevanu adresu za dostavu?"
"Delete address","Delete address"
"Are you sure you want to delete the address?","Are you sure you want to delete the address?"
"Additional addresses","Dodatne adrese"
"State","Država"
"Actions","Radnje"
"Sorry, there has been an error processing your request. Please try again later.","Sorry, there has been an error processing your request. Please try again later."
"Reset password","Reset password"
"Invalidate tokens","Invalidate tokens"
"Update Address","Update Address"
"Name Prefix","Name Prefix"
"Name Suffix","Name Suffix"
"Middle Name/Initial","Middle Name/Initial"
"Are you sure to delete selected address?","Are you sure to delete selected address?"
"Are you sure you want to delete the selected customers?","Are you sure you want to delete the selected customers?"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","Are you sure you want to unsubscribe the selected customers from the newsletter?"
"The customer does not have default billing address","The customer does not have default billing address"
"The customer does not have default shipping address","The customer does not have default shipping address"
