"Sign Out","Sair"
"Show Telephone","Exibir Telefone"
"Show Company","Exibir Empresa"
"Show Fax","Exibir Fax"
"Login Options","Opções de Login"
"Redirect Customer to Account Dashboard after Logging in","Redirecionar Cliente para Dashboard depois do Login"
"Customer will stay on the current page if ""No"" is selected.","Clientes permanecerão na página corrente se ""Não"" estiver selecionado."
"Address Templates","Modelo de Endereço"
"Online Customers Options","Opções de Clientes Online"
"Online Minutes Interval","Intervalo de Minutos Online"
"Leave empty for default (15 minutes).","Deixe em branco para o padrão (15 minutos)."
"Customer Data Lifetime","Vida útil de dados do cliente"
"Please specify value in minutes.","Por favor especifique o valor em minutos."
"Customer Notification","Notificação ao Cliente"
"Assign a Customer Group","Atribuir um grupo de cliente"
"Are you sure to assign selected customers to new group?","Você tem certeza que deseja atribuir a clientes selecionados para um novo grupo?"
"Customer Grid","Tabela de Clientes"
"Rebuild Customer grid index","Reconstrua índice da tabela de clientes"
"Group","Grupo"
"Add New Customer","Adicionar Novo Cliente"
"Are you sure to delete selected customers?","Você tem certeza que deseja excluir os clientes selecionados?"
"Delete items","Excluir itens"
"Subscribe to Newsletter","Assinar newsletter"
"Are you sure to unsubscribe selected customers from newsletter?","Você está certo que deseja cancelar a assinatura de clientes na newsletter?"
"Unsubscribe from Newsletter","Cancelar assinatura de Newsletter"
"Phone","Telefone"
"ZIP","CEP"
"Customer Since","Cliente desde"
"Confirmed email","E-mail confirmado"
"Account Created in","Conta criada em"
"Tax VAT Number","CPF/CNPJ"
"Billing Firstname","Nome de cobrança"
"Billing Lastname","Sobrenome de cobrança"
"Account Lock","Bloqueio de Conta"
"First Name","Nome"
"Last Name","Sobrenome"
"Last Activity","Última atividade"
"Type","Tipo"
"Customer Information","Informações do cliente"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","Se sua instalação Magento tem vários sites, você pode editar o escopo para associar o cliente com um site específico."
"Disable Automatic Group Change Based on VAT ID","Desativar mudança automática de grupo baseada no CPF/CNPJ"
"Send Welcome Email From","Enviar E-mail de Bem Vindo Por"
"Are you sure you want to delete this item?","Você tem certeza que deseja excluir este item?"
"Addresses","Endereços"
"Account Dashboard","Painel de Clientes"
"Edit Account Information","Editar informações da conta"
"Password forgotten","Esqueci a senha"
"My Dashboard","Meu painel de controle"
"You are signed out","Seu Login foi finalizado"
"You subscribe to our newsletter.","Você se inscreveu em nossa newsletter."
"You don't subscribe to our newsletter.","Você não se inscreveu em nossa newsletter."
"Maximum length must be less then %1 symbols","O tamanho máximo deve ser menor que %1 símbolos"
"Invalid input","Entrada Inválida"
"Confirm your new password.","Confirme sua nova senha."
"Something went wrong while changing the password.","Falha ao alterar a senha."
"Please enter the first name.","Por favor, informe o nome."
"Please enter the last name.","Por favor, informe o sobrenome."
"Please enter the street.","Por favor, informe a rua."
"Please enter the city.","Por favor, informe a cidade."
"Please enter the phone number.","Por favor, informe o telefone."
"Please enter the zip/postal code.","Por favor, informe o Cep."
"Please enter the country.","Por favor, informe o país."
"Please enter a first name.","Por favor insira seu primeiro nome."
"Please enter a last name.","Por favor insira seu último nome."
"Please correct this email address: ""%1"".","Por favor, corrija este endereço de e-mail: ""%1""."
"Please enter a date of birth.","Por favor, insira a data de nascimento."
"Please enter a TAX/VAT number.","Por favor, insira seu CPF/CNPJ."
"Please enter a gender.","Por favor insira um gênero."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' se parece com um nome de host DNS, mas nós não pudemos encontrar o TLD em uma lista conhecida."
"You subscribe to ""General Subscription"".","Você se inscreveu na ""Lista Geral""."
"Submit","Enviar"
"Login","Entrar"
"The password for your account has been successfully changed.","A senha para sua conta foi alterada com sucesso."
"If you did not request this change, please contact us.","Se você não solicitou essa mudança, entre em contato conosco."
"Checkout out as a new customer","Efetue a compra como um novo cliente"
"Create Account","Create Account"
"Checkout out using your account","Efetue a compra usando sua conta"
"Recovery Link Expiration Period (days)","Período de Expiração de Link de Recuperação (dias)"
"Leave empty for default (2). Valid range: 1-4","Deixe vazio para padrão (2). Intervalo válido: 1-4"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valores separados por ponto e vírgula (;).<br/>Coloque ponto e vírgula no começo para deixar a primeira opção vazia.<br/>Deixe vazio para utilizar o campo texto."
"Last Logged In","Último login em"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Se seu site tiver múltiplas visualizações, voce poderá configurar o escopo para aplicar uma visualização específica."
"You are signed out.","Você está desconectado."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2."
"Could not authenticate. Please try again later","Could not authenticate. Please try again later"
"Page not found","Página não encontrada"
"Account will be unlocked after provided time.","Account will be unlocked after provided time."
"Text","Texto"
"Text One Line","Text One Line"
"HTML","HTML"
"PDF","PDF"
"The account is locked. Please wait and try again or contact %1.","A conta está bloqueada. Por favor aguarde e tente novamente ou entre em contacto com %1."
"Provided Zip/Postal Code seems to be invalid.","O código postal fornecido parece ser inválido."
" Example: "," Exemplo: "
"If you believe it is the right one you can ignore this notice.","Se acredita que está correto então pode ignorar este aviso."
"Invalid Form Key. Please refresh the page.","Chave de formulário inválida. Por favor, atualize a página."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","O login da conta estava incorreto ou sua conta está desativada temporariamente. Por favor, espere e tente novamente mais tarde."
"The password doesn't match this account. Verify the password and try again.","A senha não corresponde a essa conta. Verifique a senha e tente novamente."
"The email address is incorrect. Verify the email address and try again.","The email address is incorrect. Verify the email address and try again."
"The customer ID isn't defined.","O ID do cliente não está definido."
"The quote items are incorrect. Verify the quote items and try again.","The quote items are incorrect. Verify the quote items and try again."
"The ""%1"" section source isn't supported.","The ""%1"" section source isn't supported."
"Confirmation isn't needed.","Confirmation isn't needed."
"The account is already active.","The account is already active."
"The confirmation token is invalid. Verify the token and try again.","The confirmation token is invalid. Verify the token and try again."
"This account isn't confirmed. Verify and try again.","Esta conta não está confirmada. Verifique e tente novamente."
"The password needs at least %1 characters. Create a new password and try again.","A senha precisa de pelo menos %1 caracteres. Crie uma nova senha e tente novamente."
"The password can't begin or end with a space. Verify the password and try again.","The password can't begin or end with a space. Verify the password and try again."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
"The store view is not in the associated website.","The store view is not in the associated website."
"A customer with the same email address already exists in an associated website.","Um cliente com o mesmo endereço de e-mail já existe em um site associado."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" é obrigatório. Entre e tente novamente."
"The password token is mismatched. Reset and try again.","The password token is mismatched. Reset and try again."
"The password token is expired. Reset and try again.","The password token is expired. Reset and try again."
"The transactional account email type is incorrect. Verify and try again.","The transactional account email type is incorrect. Verify and try again."
"A valid password reset token is missing. Enter and try again.","A valid password reset token is missing. Enter and try again."
"The customer email is missing. Enter and try again.","The customer email is missing. Enter and try again."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","A customer website ID wasn't specified. The ID must be specified to use the website scope."
"""regionId"" is required. Enter and try again.","""regionId"" is required. Enter and try again."
"Delete %1","Excluir %1"
"Are you sure you want to delete a %1 record?","Você tem certeza que deseja excluir o registro %1?"
"Customer not logged in","Cliente não logado"
"There is no address id in setting default billing address.","There is no address id in setting default billing address."
"Default billing address has been changed.","Default billing address has been changed."
"We can't change default billing address right now.","We can't change default billing address right now."
"There is no address id in setting default shipping address.","There is no address id in setting default shipping address."
"Default shipping address has been changed.","Default shipping address has been changed."
"We can't change default shipping address right now.","We can't change default shipping address right now."
"A total of %1 record(s) have been deleted.","Um total de %1 registro(s) foram excluídos."
"There is no such address entity to delete.","There is no such address entity to delete."
"We can't mass delete the addresses right now.","We can't mass delete the addresses right now."
"Customer address has been updated.","Customer address has been updated."
"New customer address has been added.","New customer address has been added."
"There is no customer with such id.","There is no customer with such id."
"We can't change customer address right now.","We can't change customer address right now."
"Street","Rua"
"Set as default billing","Set as default billing"
"Set address as default billing","Set address as default billing"
"Are you sure you want to set the address as default billing address?","Are you sure you want to set the address as default billing address?"
"Set as default shipping","Definir como envio padrão"
"Set address as default shipping","Endereço definido como frete padrão"
"Are you sure you want to set the address as default shipping address?","Are you sure you want to set the address as default shipping address?"
"Delete address","Excluir endereço"
"Are you sure you want to delete the address?","Você tem certeza que deseja excluir este endereço?"
"Additional addresses","Additional addresses"
"State","Estado"
"Actions","Ações"
"Sorry, there has been an error processing your request. Please try again later.","Desculpe, ocorreu um erro ao processar o seu pedido. Por favor, tente novamente mais tarde."
"Reset password","Reset password"
"Invalidate tokens","Invalidate tokens"
"Update Address","Update Address"
"Name Prefix","Name Prefix"
"Name Suffix","Name Suffix"
"Middle Name/Initial","Nome do meio/inicial"
"Are you sure to delete selected address?","Are you sure to delete selected address?"
"Are you sure you want to delete the selected customers?","Are you sure you want to delete the selected customers?"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","Are you sure you want to unsubscribe the selected customers from the newsletter?"
"The customer does not have default billing address","The customer does not have default billing address"
"The customer does not have default shipping address","The customer does not have default shipping address"
