"Sign Out","Đăng xuất"
"Show VAT Number on Storefront","Hiển thị số thuế GTGT trên Storefront"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","Để hiển thị số thuế GTGT trên Storefront, thiết lập Hiển thị tùy chọn số thuế GTGT Storefront đến có."
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Email chào mừng Mặc định"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Mẫu Email được lựa chọn dựa trên chủ đề dự phòng khi tùy chọn ""Mặc định"" được chọn."
"Default Welcome Email Without Password","Email Chào mừng mặc định mà không cần mật khẩu"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","Người gửi Email"
"Require Emails Confirmation","Yêu cầu xác nhận email"
"Confirmation Link Email","Liên kết Xác nhận Email"
"Welcome Email","Email Chào mừng"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Generate Human-Friendly Customer ID","Tạo ID khách hàng thân thiện"
"Password Options","Tùy chọn mật khẩu"
"Forgot Email Template","Quên mẫu Email"
"Remind Email Template","Mẫu Email Nhắc nhở"
"Reset Password Template","Đặt lại mật khẩu mẫu"
"Password Template Email Sender","Mật khẩu mẫu Email người gửi"
"Recovery Link Expiration Period (hours)","Thời gian hết hạn liên kết Phục hồi (giờ)"
"Please enter a number 1 or greater in this field.","Hãy điền một số lớn hơn hoặc bằng 1 vào trường này."
"Number of Required Character Classes","Số lượng yêu cầu loại ký tự"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Số lượng các Loại ký tự khác nhau yêu cầu mật khẩu: chữ thường, chữ hoa, chữ số, ký tự đặc biệt."
"Minimum Password Length","Độ dài mật khẩu tối thiểu"
"Maximum Login Failures to Lockout Account","Tối đa đăng nhập thất bại để khóa tài khoản"
"Use 0 to disable account locking.","Sử dụng 0 để vô hiệu hóa tài khoản khóa."
"Lockout Time (minutes)","Khóa thời gian (phút)"
"Enable Autocomplete on login/forgot password forms","Sử dụng tự động hoàn thành trên hình thức đăng nhập/quên mật khẩu"
"Account Information Options","Account Information Options"
"Change Email Template","Change Email Template"
"Change Email and Password Template","Change Email and Password Template"
"Name and Address Options","Tên và địa chỉ các tùy chọn"
"Number of Lines in a Street Address","Số dòng trong một địa chỉ đường phố"
"Valid range: 1-4","Valid range: 1-4"
"Show Prefix","Hiển thị tiền tố"
"The title that goes before name (Mr., Mrs., etc.)","Tiêu đề đi trước tên (ông, bà, vv)"
"Prefix Dropdown Options","Tiền tố tùy chọn trình đơn xổ dọc"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Leave empty for open text field."
"Show Middle Name (initial)","Hiển thị tên đệm (ban đầu)"
"Always optional.","Luôn tùy chọn."
"Show Suffix","Hiển thị các hậu tố"
"The suffix that goes after name (Jr., Sr., etc.)","Các hậu tố đi sau khi tên (Jr., Sr, vv)"
"Suffix Dropdown Options","Hậu tố tùy chọn trình đơn xổ dọc"
"Show Date of Birth","Hiển thị ngày tháng năm sinh"
"Show Tax/VAT Number","Hiển thị số thuế/thuế GTGT"
"Show Gender","Hiển thị giới tính"
"Show Telephone","Show Telephone"
"Show Company","Show Company"
"Show Fax","Show Fax"
"Login Options","Tùy chọn đăng nhập"
"Redirect Customer to Account Dashboard after Logging in","Chuyển hướng khách hàng đến trang tổng quan của tài khoản sau khi đăng nhập"
"Customer will stay on the current page if ""No"" is selected.","Khách hàng sẽ ở lại trên trang hiện thời nếu ""Không"" được chọn."
"Address Templates","Mẫu Địa chỉ"
"Online Customers Options","Tùy chọn khách trực tuyến"
"Online Minutes Interval","Khoảng phút trực tuyến"
"Leave empty for default (15 minutes).","Để trống để mặc định (15 phút)."
"Customer Data Lifetime","Customer Data Lifetime"
"Please specify value in minutes.","Please specify value in minutes."
"Customer Notification","Thông báo khách hàng"
"Assign a Customer Group","Chỉ định một nhóm khách hàng"
"Are you sure to assign selected customers to new group?","Are you sure to assign selected customers to new group?"
"Customer Grid","Mạng lưới khách hàng"
"Rebuild Customer grid index","Xây dựng lại các chỉ số lưới khách hàng"
"Group","Nhóm"
"Add New Customer","Thêm khách hàng mới"
"Are you sure to delete selected customers?","Are you sure to delete selected customers?"
"Delete items","Xóa bỏ sản phẩm"
"Subscribe to Newsletter","Đăng ký nhận bản tin"
"Are you sure to unsubscribe selected customers from newsletter?","Are you sure to unsubscribe selected customers from newsletter?"
"Unsubscribe from Newsletter","Bỏ Đăng ký nhận bản tin"
"Phone","Điện thoại"
"ZIP","SỐ ZIP"
"Customer Since","Khách hàng kể từ"
"Confirmed email","Xác nhận địa chỉ email"
"Account Created in","Tài khoản được tạo trong"
"Tax VAT Number","Số Thuế VAT"
"Billing Firstname","Tên trong hóa đơn thanh toán"
"Billing Lastname","Họ trong hóa đơn thanh toán"
"Account Lock","Khóa tài khoản"
"First Name","Tên"
"Last Name","Họ"
"Last Activity","Lần hoạt động cuối"
"Type","Loại"
"Customer Information","Thông tin khách hàng"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site."
"Disable Automatic Group Change Based on VAT ID","Vô hiệu hoá tự động thay đổi nhóm dựa trên ID thuế VAT"
"Send Welcome Email From","Gửi Email chào mừng từ"
"Are you sure you want to delete this item?","Are you sure you want to delete this item?"
"Addresses","Địa chỉ"
"Account Dashboard","Account Dashboard"
"Edit Account Information","Chỉnh sửa thông tin tài khoản"
"Password forgotten","Quên mật khẩu"
"My Dashboard","My Dashboard"
"You are signed out","Bạn đã đăng xuất"
"You subscribe to our newsletter.","You subscribe to our newsletter."
"You don't subscribe to our newsletter.","You don't subscribe to our newsletter."
"Maximum length must be less then %1 symbols","Maximum length must be less then %1 symbols"
"Invalid input","Invalid input"
"Confirm your new password.","Confirm your new password."
"Something went wrong while changing the password.","Something went wrong while changing the password."
"Please enter the first name.","Please enter the first name."
"Please enter the last name.","Please enter the last name."
"Please enter the street.","Please enter the street."
"Please enter the city.","Please enter the city."
"Please enter the phone number.","Please enter the phone number."
"Please enter the zip/postal code.","Please enter the zip/postal code."
"Please enter the country.","Please enter the country."
"Please enter a first name.","Please enter a first name."
"Please enter a last name.","Please enter a last name."
"Please correct this email address: ""%1"".","Please correct this email address: ""%1""."
"Please enter a date of birth.","Please enter a date of birth."
"Please enter a TAX/VAT number.","Please enter a TAX/VAT number."
"Please enter a gender.","Please enter a gender."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' looks like a DNS hostname but we cannot match the TLD against known list."
"You subscribe to ""General Subscription"".","You subscribe to ""General Subscription""."
"Submit","Submit"
"Login","Login"
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Checkout out as a new customer","Checkout out as a new customer"
"Create Account","Create Account"
"Checkout out using your account","Checkout out using your account"
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Last Logged In","Last Logged In"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"You are signed out.","You are signed out."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2."
"Could not authenticate. Please try again later","Could not authenticate. Please try again later"
"Page not found","Page not found"
"Account will be unlocked after provided time.","Account will be unlocked after provided time."
"Text","Text"
"Text One Line","Text One Line"
"HTML","HTML"
"PDF","PDF"
"The account is locked. Please wait and try again or contact %1.","The account is locked. Please wait and try again or contact %1."
"Provided Zip/Postal Code seems to be invalid.","Provided Zip/Postal Code seems to be invalid."
" Example: "," Example: "
"If you believe it is the right one you can ignore this notice.","If you believe it is the right one you can ignore this notice."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"The password doesn't match this account. Verify the password and try again.","The password doesn't match this account. Verify the password and try again."
"The email address is incorrect. Verify the email address and try again.","The email address is incorrect. Verify the email address and try again."
"The customer ID isn't defined.","The customer ID isn't defined."
"The quote items are incorrect. Verify the quote items and try again.","The quote items are incorrect. Verify the quote items and try again."
"The ""%1"" section source isn't supported.","The ""%1"" section source isn't supported."
"Confirmation isn't needed.","Confirmation isn't needed."
"The account is already active.","The account is already active."
"The confirmation token is invalid. Verify the token and try again.","The confirmation token is invalid. Verify the token and try again."
"This account isn't confirmed. Verify and try again.","This account isn't confirmed. Verify and try again."
"The password needs at least %1 characters. Create a new password and try again.","The password needs at least %1 characters. Create a new password and try again."
"The password can't begin or end with a space. Verify the password and try again.","The password can't begin or end with a space. Verify the password and try again."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
"The store view is not in the associated website.","The store view is not in the associated website."
"A customer with the same email address already exists in an associated website.","A customer with the same email address already exists in an associated website."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The password token is mismatched. Reset and try again.","The password token is mismatched. Reset and try again."
"The password token is expired. Reset and try again.","The password token is expired. Reset and try again."
"The transactional account email type is incorrect. Verify and try again.","The transactional account email type is incorrect. Verify and try again."
"A valid password reset token is missing. Enter and try again.","A valid password reset token is missing. Enter and try again."
"The customer email is missing. Enter and try again.","The customer email is missing. Enter and try again."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","A customer website ID wasn't specified. The ID must be specified to use the website scope."
"""regionId"" is required. Enter and try again.","""regionId"" is required. Enter and try again."
"Delete %1","Delete %1"
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?"
"Customer not logged in","Customer not logged in"
"There is no address id in setting default billing address.","There is no address id in setting default billing address."
"Default billing address has been changed.","Default billing address has been changed."
"We can't change default billing address right now.","We can't change default billing address right now."
"There is no address id in setting default shipping address.","There is no address id in setting default shipping address."
"Default shipping address has been changed.","Default shipping address has been changed."
"We can't change default shipping address right now.","We can't change default shipping address right now."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"There is no such address entity to delete.","There is no such address entity to delete."
"We can't mass delete the addresses right now.","We can't mass delete the addresses right now."
"Customer address has been updated.","Customer address has been updated."
"New customer address has been added.","New customer address has been added."
"There is no customer with such id.","There is no customer with such id."
"We can't change customer address right now.","We can't change customer address right now."
"Street","Street"
"Set as default billing","Set as default billing"
"Set address as default billing","Set address as default billing"
"Are you sure you want to set the address as default billing address?","Are you sure you want to set the address as default billing address?"
"Set as default shipping","Set as default shipping"
"Set address as default shipping","Set address as default shipping"
"Are you sure you want to set the address as default shipping address?","Are you sure you want to set the address as default shipping address?"
"Delete address","Delete address"
"Are you sure you want to delete the address?","Are you sure you want to delete the address?"
"Additional addresses","Additional addresses"
"State","State"
"Actions","Actions"
"Sorry, there has been an error processing your request. Please try again later.","Sorry, there has been an error processing your request. Please try again later."
"Reset password","Reset password"
"Invalidate tokens","Invalidate tokens"
"Update Address","Update Address"
"Name Prefix","Name Prefix"
"Name Suffix","Name Suffix"
"Middle Name/Initial","Tên đệm/ban đầu"
"Are you sure to delete selected address?","Are you sure to delete selected address?"
"Are you sure you want to delete the selected customers?","Are you sure you want to delete the selected customers?"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","Are you sure you want to unsubscribe the selected customers from the newsletter?"
"The customer does not have default billing address","The customer does not have default billing address"
"The customer does not have default shipping address","The customer does not have default shipping address"
