"Sign Out","Uitloggen"
"Share Customer Accounts","Klantaccounts delen"
"Create New Account Options","Nieuwe account-opties aanmaken"
"Enable Automatic Assignment to Customer Group","Inschakelen automatische verandering van groep a.h.v. BTW-nummer."
"Tax Calculation Based On","BTW berekening op basis van"
"Default Group","Standaardgroep"
"Group for Valid VAT ID - Domestic","Groep voor geldig BTW-nummer - Binnenland"
"Group for Valid VAT ID - Intra-Union","Groep voor geldig BTW-nummer - EU"
"Group for Invalid VAT ID","Groep voor ongeldig BTW-nummer"
"Validation Error Group","Valideer fout-groep"
"Validate on Each Transaction","Valideer bij elke transactie"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Standaard-waarde voor 'Uitschakelen automatische verandering van groep a.h.v. BTW-nummer.'"
"Show VAT Number on Storefront","BTW-nummer op winkelaanzicht weergeven"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","Om het BTW-nummer in winkelaanzicht weer te geven, optie BTW-nummer op Winkelaanzicht weergeven op Ja zetten."
"Default Email Domain","Default Email Domain"
"Default Welcome Email","Standaard welkomst-mail"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
"Default Welcome Email Without Password","Standaard welkom email zonder wachtwoord"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","Afzender E-mail"
"Require Emails Confirmation","E-mailbevestiging verplichten"
"Confirmation Link Email","Bevestinglink e-mail"
"Welcome Email","Welkomstmail"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Generate Human-Friendly Customer ID","Genereer klantvriendelijk klant-ID"
"Password Options","Wachtwoordopties"
"Forgot Email Template","Sjabloon e-mail vergeten"
"Remind Email Template","Email Template herinnering-e-mail"
"Reset Password Template","Reset wachtwoord sjabloon"
"Password Template Email Sender","Afzender Wachtwoord Sjabloon E-mail"
"Recovery Link Expiration Period (hours)","Herstel Link verloopperiode (uur)"
"Please enter a number 1 or greater in this field.","Vul een nummer van 1 of groter in in dit veld."
"Number of Required Character Classes","Aantal vereiste tekenklassen"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Aantal verschillende karakterklassen vereist in wachtwoord: kleine letters, hoofdletters, cijfers en speciale tekens."
"Minimum Password Length","Minimale wachtwoordlengte"
"Maximum Login Failures to Lockout Account","Maximaal aantal foute logins waarna het account wordt vergrendeld"
"Use 0 to disable account locking.","Gebruik 0 om het blokkeren van accounts uit te schakelen."
"Lockout Time (minutes)","Duur vergrendeling (minuten)"
"Account will be unlocked after provided time.","Account will be unlocked after provided time."
"Enable Autocomplete on login/forgot password forms","Inschakelen automatisch aanvullen op login en wachtwoord vergeten formulieren"
"Account Information Options","Opties Account Informatie"
"Change Email Template","Wijzig E-mail sjabloon"
"Change Email and Password Template","Wijziging e-mailadres en wachtwoord sjabloon"
"Name and Address Options","Naam- en adresopties"
"Number of Lines in a Street Address","Aantal regels in adres"
"Valid range: 1-4","Valid range: 1-4"
"Show Prefix","Voorvoegsel tonen"
"The title that goes before name (Mr., Mrs., etc.)","De aanhef die voor de naam staat (heer, mevrouw, etc.)"
"Prefix Dropdown Options","Dropdown-opties voorvoegsel"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Leave empty for open text field."
"Show Middle Name (initial)","Midden-initiaal tonen"
"Always optional.","Altijd optioneel"
"Show Suffix","Achtervoegsel tonen"
"The suffix that goes after name (Jr., Sr., etc.)","De afkorting die achter de naam staat (Jr., Sr., etc.)"
"Suffix Dropdown Options","Dropdown-opties achtervoegsel"
"Show Date of Birth","Geboortedatum tonen"
"Show Tax/VAT Number","BTW-nummer tonen"
"Show Gender","Geslacht tonen"
"Show Telephone","Toon Telefoonnummer"
"Show Company","Toon Bedrijfsnaam"
"Show Fax","Toon Fax"
"Login Options","Aanmeldopties"
"Redirect Customer to Account Dashboard after Logging in","Redirect klant naar Accountpagina na inloggen"
"Customer will stay on the current page if ""No"" is selected.","Klant zal op de huidige pagina blijven als Nee is geselecteerd."
"Address Templates","Adres sjablonen"
"Text","Text"
"Text One Line","Text One Line"
"HTML","HTML"
"PDF","PDF"
"Online Customers Options","Opties Online klanten"
"Online Minutes Interval","Online minuteninterval"
"Leave empty for default (15 minutes).","Laat leeg voor standaard (15 minuten)."
"Customer Data Lifetime","Customer Data Lifetime"
"Please specify value in minutes.","Please specify value in minutes."
"Customer Notification","Klantnotificatie"
"Assign a Customer Group","Klantgroep toewijzen"
"Are you sure to assign selected customers to new group?","Are you sure to assign selected customers to new group?"
"Customer Grid","Klantentabel"
"Rebuild Customer grid index","Klant-tabel index herbouwen"
"Update Address","Update Address"
"Name Prefix","Name Prefix"
"Name Suffix","Name Suffix"
"Middle Name/Initial","Initialen"
"State/Province","Staat/Provincie"
"VAT Number","BTW nummer"
"Are you sure to delete selected address?","Are you sure to delete selected address?"
"Delete items","Items verwijderen"
"Group","Groep"
"Add New Customer","Nieuwe klant toevoegen"
"Are you sure you want to delete the selected customers?","Weet je zeker dat je de geselecteerde klanten wilt wissen?"
"Subscribe to Newsletter","Abonneren op de nieuwsbrief"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","Ben je er zeker van dat je de geselecteerde klanten wil uitschrijven van de nieuwsbrief?"
"Unsubscribe from Newsletter","Afmelden voor nieuwsbrief"
"ZIP","Postcode"
"Customer Since","Klant Sinds"
"Confirmed email","E-mailbevestiging"
"Account Created in","Account gemaakt in"
"Tax VAT Number","BTW nummer"
"Gender","Geslacht"
"Billing Firstname","Facturering voornaam"
"Billing Lastname","Facturering achternaam"
"Account Lock","Account-blokkade"
"Last Activity","Laatste activiteit"
"Type","Soort"
"Customer Information","Klantgegevens"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","Als je Magento installatie meerdere websites heeft, dan kun je de scope aanpassen om een klant te associëren met een specifieke website."
"Disable Automatic Group Change Based on VAT ID","Automatische verandering van groep a.h.v. BTW-nummer uitschakelen"
"Send Welcome Email From","Verzend welkom e-mail vanuit"
"Addresses","Adressen"
"The customer does not have default billing address","The customer does not have default billing address"
"The customer does not have default shipping address","The customer does not have default shipping address"
"Add/Update Address","Add/Update Address"
"Edit Account Information","Bewerk accountgegevens"
"Password forgotten","Wachtwoord vergeten"
"You are signed out","Je bent uitgelogd"
