"Sign Out","خروج"
"Group for Invalid VAT ID","گروه برای شناسه مالياتی معتبر"
"Validation Error Group","گروه خطای اعتبار سنجی"
"Validate on Each Transaction","اعتبارسنجی در هر تراکنش"
"Default Value for Disable Automatic Group Changes Based on VAT ID","مقدار پیش فرض برای غیرفعال کردن خودکار تغییرات گروه بر اساس مالیات بر ارزش افزوده شناسه"
"Show VAT Number on Storefront","نمایش شماره مالیات بر ارزش افزوده در نمای فروشگاه"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","برای نمایش شماره مالیات بر ارزش افزوده در نمای فروشگاه، گزینه نمایش شماره مالیات بر ارزش افزوده در نمای فروشگاه را به بله تغییر دهید."
"Default Email Domain","Default Email Domain"
"Default Welcome Email","ایمیل خوش‌ آمد گویی پیش فرض"
"Email template chosen based on theme fallback when ""Default"" option is selected.","قالب ایمیل انتخاب شده بر اساس پشت زمینه تم هنگامی که گزینه "" پیش فرض"" انتخاب شده است."
"Default Welcome Email Without Password","ایمیل خوش آمد گویی پیش فرض بدون کلمه عبور"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","فرستنده‌ی ایمیل"
"Require Emails Confirmation","در انتظار تأیید ایمیل ها"
"Confirmation Link Email","ایمیل لینک تأییدیه"
"Welcome Email","ایمیل خوش‌ آمد گویی"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Generate Human-Friendly Customer ID","تولید شناسه‌ مشتری انسان پسند"
"Password Options","گزینه‌ های کلمه عبور"
"Forgot Email Template","قالب ایمیل فراموش شده"
"Remind Email Template","قالب ایمیل یادآوری"
"Reset Password Template","قالب تنظیم مجدد کلمه عبور"
"Password Template Email Sender","فرستنده ایمیل قالب کلمه عبور"
"Recovery Link Expiration Period (hours)","دوره انقضای لینک بازیابی (براساس ساعت)"
"Please enter a number 1 or greater in this field.","لطفا در این فیلد عدد 1 یا مقداری بزرگتر وارد نمایید."
"Number of Required Character Classes","تعداد کلاس های کاراکتر الزامی"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","تعداد کلاس های کاراکتر مختلف الزامی در کلمه عبور: حروف، ارقام، کاراکترهای ویژه."
"Minimum Password Length","حداقل طول کلمه عبور"
"Maximum Login Failures to Lockout Account","حداکثر تعداد ورودهای ناموفق به حساب کاربری که منجر به قفل شدن حساب می شود"
"Use 0 to disable account locking.","برای غیرفعال کردن قفل حساب کاربری، از 0 استفاده کنید."
"Lockout Time (minutes)","زمان قفل شدن (براساس دقیقه)"
"Enable Autocomplete on login/forgot password forms","فعالسازی امکان تکمیل خودکار در فرم های ورود به سیستم / فراموشی کلمه عبور"
"Account Information Options","گزینه های اطلاعات حساب"
"Change Email Template","قالب تغییر ایمیل"
"Change Email and Password Template","قالب تغییر ایمیل و کلمه عبور"
"Name and Address Options","گزینه‌ های آدرس و نام"
"Number of Lines in a Street Address","تعداد خطوط در آدرس خیابان"
"Valid range: 1-4","Valid range: 1-4"
"Show Prefix","نمایش پیشوند"
"The title that goes before name (Mr., Mrs., etc.)","عنوانی که پیش از نام قرار می‌گیرد (آقا، خانم، و غیره)"
"Prefix Dropdown Options","گزینه‌ های کشویی پیشوند"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Leave empty for open text field."
"Show Middle Name (initial)","نمایش نام میانی (نخستین)"
"Always optional.","همیشه اختیاری."
"Show Suffix","نمایش پسوند"
"The suffix that goes after name (Jr., Sr., etc.)","پسوندی که پس از نام قرار می‌گیرد (Jr.، Sr.، و غیره)"
"Suffix Dropdown Options","گزینه‌ های کشویی پسوند"
"Show Date of Birth","نمایش تاریخ تولد"
"Show Tax/VAT Number","نمایش شماره مالیات/ مالیات بر ارزش افزوده"
"Show Gender","نمایش جنسیت"
"Show Telephone","نمایش تلفن"
"Show Company","نمایش شرکت"
"Show Fax","نمایش فکس"
"Login Options","گزینه‌ های ورود"
"Redirect Customer to Account Dashboard after Logging in","مشتری را پس از ورود به داشبورد حساب کاربری هدایت کن"
"Customer will stay on the current page if ""No"" is selected.","اگر ""خیر"" انتخاب شود، مشتری در صفحه‌ جاری خواهد ماند."
"Address Templates","قالب های آدرس"
"Online Customers Options","گزینه‌ های مشتریان آنلاین"
"Online Minutes Interval","مدت دقایق آنلاین"
"Leave empty for default (15 minutes).","برای پیش فرض (15 دقیقه) خالی بگذارید."
"Customer Data Lifetime","Customer Data Lifetime"
"Please specify value in minutes.","Please specify value in minutes."
"Customer Notification","اطلاعیه مشتری"
"Assign a Customer Group","اختصاص یک گروه مشتری"
"Are you sure to assign selected customers to new group?","Are you sure to assign selected customers to new group?"
"Customer Grid","شبکه مشتری"
"Rebuild Customer grid index","بازسازی شاخص شبکه مشتری"
"Group","گروه"
"Add New Customer","افزودن مشتری جدید"
"Are you sure to delete selected customers?","Are you sure to delete selected customers?"
"Delete items","حذف موارد"
"Subscribe to Newsletter","عضویت در خبرنامه"
"Are you sure to unsubscribe selected customers from newsletter?","Are you sure to unsubscribe selected customers from newsletter?"
"Unsubscribe from Newsletter","لغو عضویت در خبرنامه"
"Phone","تلفن"
"ZIP","کد پستی"
"Customer Since","مشتری از زمان"
"Confirmed email","ایمیل تأیید شده"
"Account Created in","حساب کاربری ایجاد شده در"
"Tax VAT Number","شماره مالیات بر ارزش افزوده"
"Billing Firstname","نام صورتحساب"
"Billing Lastname","نام خانوادگی صورتحساب"
"Account Lock","قفل حساب"
"First Name","نام"
"Last Name","نام خانوادگی"
"Last Activity","آخرین فعالیت"
"Type","نوع"
"Customer Information","اطلاعات مشتری"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","اگر در هنگام نصب مجنتو وب سایت های متعدد را انتخاب کرده باشید، می توانید محدوده را برای استفاده از یک محصول در سایت های خاص ویرایش کنید."
"Disable Automatic Group Change Based on VAT ID","غیرفعال کردن تغییر گروه خودکار براساس شناسه مالیات بر ارزش افزوده"
"Send Welcome Email From","ارسال ایمیل خوش آمد گویی از"
"Are you sure you want to delete this item?","Are you sure you want to delete this item?"
"Addresses","آدرس‌ ها"
"Account Dashboard","Account Dashboard"
"Edit Account Information","ویرایش اطلاعات حساب"
"Password forgotten","کلمه عبور فراموش شده"
"My Dashboard","My Dashboard"
"You are signed out","شما خارج شدید"
"You subscribe to our newsletter.","You subscribe to our newsletter."
"You don't subscribe to our newsletter.","You don't subscribe to our newsletter."
"Maximum length must be less then %1 symbols","Maximum length must be less then %1 symbols"
"Invalid input","Invalid input"
"Confirm your new password.","Confirm your new password."
"Something went wrong while changing the password.","Something went wrong while changing the password."
"Please enter the first name.","Please enter the first name."
"Please enter the last name.","Please enter the last name."
"Please enter the street.","Please enter the street."
"Please enter the city.","Please enter the city."
"Please enter the phone number.","Please enter the phone number."
"Please enter the zip/postal code.","Please enter the zip/postal code."
"Please enter the country.","Please enter the country."
"Please enter a first name.","Please enter a first name."
"Please enter a last name.","Please enter a last name."
"Please correct this email address: ""%1"".","Please correct this email address: ""%1""."
"Please enter a date of birth.","Please enter a date of birth."
"Please enter a TAX/VAT number.","Please enter a TAX/VAT number."
"Please enter a gender.","Please enter a gender."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' looks like a DNS hostname but we cannot match the TLD against known list."
"You subscribe to ""General Subscription"".","You subscribe to ""General Subscription""."
"Submit","Submit"
"Login","Login"
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Checkout out as a new customer","Checkout out as a new customer"
"Create Account","Create Account"
"Checkout out using your account","Checkout out using your account"
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Last Logged In","Last Logged In"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"You are signed out.","You are signed out."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2."
"Could not authenticate. Please try again later","Could not authenticate. Please try again later"
"Page not found","Page not found"
"Account will be unlocked after provided time.","Account will be unlocked after provided time."
"Text","Text"
"Text One Line","Text One Line"
"HTML","HTML"
"PDF","PDF"
"The account is locked. Please wait and try again or contact %1.","The account is locked. Please wait and try again or contact %1."
"Provided Zip/Postal Code seems to be invalid.","Provided Zip/Postal Code seems to be invalid."
" Example: "," Example: "
"If you believe it is the right one you can ignore this notice.","If you believe it is the right one you can ignore this notice."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"The password doesn't match this account. Verify the password and try again.","The password doesn't match this account. Verify the password and try again."
"The email address is incorrect. Verify the email address and try again.","The email address is incorrect. Verify the email address and try again."
"The customer ID isn't defined.","The customer ID isn't defined."
"The quote items are incorrect. Verify the quote items and try again.","The quote items are incorrect. Verify the quote items and try again."
"The ""%1"" section source isn't supported.","The ""%1"" section source isn't supported."
"Confirmation isn't needed.","Confirmation isn't needed."
"The account is already active.","The account is already active."
"The confirmation token is invalid. Verify the token and try again.","The confirmation token is invalid. Verify the token and try again."
"This account isn't confirmed. Verify and try again.","This account isn't confirmed. Verify and try again."
"The password needs at least %1 characters. Create a new password and try again.","The password needs at least %1 characters. Create a new password and try again."
"The password can't begin or end with a space. Verify the password and try again.","The password can't begin or end with a space. Verify the password and try again."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
"The store view is not in the associated website.","The store view is not in the associated website."
"A customer with the same email address already exists in an associated website.","A customer with the same email address already exists in an associated website."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The password token is mismatched. Reset and try again.","The password token is mismatched. Reset and try again."
"The password token is expired. Reset and try again.","The password token is expired. Reset and try again."
"The transactional account email type is incorrect. Verify and try again.","The transactional account email type is incorrect. Verify and try again."
"A valid password reset token is missing. Enter and try again.","A valid password reset token is missing. Enter and try again."
"The customer email is missing. Enter and try again.","The customer email is missing. Enter and try again."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","A customer website ID wasn't specified. The ID must be specified to use the website scope."
"""regionId"" is required. Enter and try again.","""regionId"" is required. Enter and try again."
"Delete %1","Delete %1"
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?"
"Customer not logged in","Customer not logged in"
"There is no address id in setting default billing address.","There is no address id in setting default billing address."
"Default billing address has been changed.","Default billing address has been changed."
"We can't change default billing address right now.","We can't change default billing address right now."
"There is no address id in setting default shipping address.","There is no address id in setting default shipping address."
"Default shipping address has been changed.","Default shipping address has been changed."
"We can't change default shipping address right now.","We can't change default shipping address right now."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"There is no such address entity to delete.","There is no such address entity to delete."
"We can't mass delete the addresses right now.","We can't mass delete the addresses right now."
"Customer address has been updated.","Customer address has been updated."
"New customer address has been added.","New customer address has been added."
"There is no customer with such id.","There is no customer with such id."
"We can't change customer address right now.","We can't change customer address right now."
"Street","Street"
"Set as default billing","Set as default billing"
"Set address as default billing","Set address as default billing"
"Are you sure you want to set the address as default billing address?","Are you sure you want to set the address as default billing address?"
"Set as default shipping","Set as default shipping"
"Set address as default shipping","Set address as default shipping"
"Are you sure you want to set the address as default shipping address?","Are you sure you want to set the address as default shipping address?"
"Delete address","Delete address"
"Are you sure you want to delete the address?","Are you sure you want to delete the address?"
"Additional addresses","Additional addresses"
"State","State"
"Actions","Actions"
"Sorry, there has been an error processing your request. Please try again later.","Sorry, there has been an error processing your request. Please try again later."
"Reset password","Reset password"
"Invalidate tokens","Invalidate tokens"
"Update Address","Update Address"
"Name Prefix","Name Prefix"
"Name Suffix","Name Suffix"
"Middle Name/Initial","نام متوسط / اولیه"
"Are you sure to delete selected address?","Are you sure to delete selected address?"
"Are you sure you want to delete the selected customers?","Are you sure you want to delete the selected customers?"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","Are you sure you want to unsubscribe the selected customers from the newsletter?"
"The customer does not have default billing address","The customer does not have default billing address"
"The customer does not have default shipping address","The customer does not have default shipping address"
