"Sign Out","サインアウト"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","お使いのMagentoがマルチウェブサイトインストールの場合は、スコープを切り替えて特定のサイトの顧客情報を編集できます。"
"Disable Automatic Group Change Based on VAT ID","VAT IDによる顧客グループの自動変更を無効にする"
"Send Welcome Email From","ウェルカムメールの送信元"
"Are you sure you want to delete this item?","本当に削除しますか？"
"Addresses","住所"
"Account Dashboard","アカウントダッシュボード"
"Edit Account Information","アカウント情報編集"
"Password forgotten","パスワードを忘れた場合"
"My Dashboard","マイダッシュボード"
"You are signed out","ログアウトしています"
"You subscribe to our newsletter.","ニュースレターを購読中です"
"You don't subscribe to our newsletter.","ニュースレターは購読していません。"
"Maximum length must be less then %1 symbols","長さは %1 文字以下でなければなりません"
"Invalid input","不正な入力"
"Confirm your new password.","新しいパスワードを確認してください。"
"Something went wrong while changing the password.","パスワード変更中に問題が発生しました。"
"Please enter the first name.","名を入力してください。"
"Please enter the last name.","姓を入力してください。"
"Please enter the street.","住所を入力してください。"
"Please enter the city.","市区町村を入力してください。"
"Please enter the phone number.","電話番号を入力してください。"
"Please enter the zip/postal code.","郵便番号を入力してください。"
"Please enter the country.","国を入力してください。"
"Please enter a first name.","名を入力してください"
"Please enter a last name.","姓を入力してください"
"Please correct this email address: ""%1"".","Eメールアドレスを修正してください: ""%1""。"
"Please enter a date of birth.","生年月日を入力して下さい。"
"Please enter a TAX/VAT number.","TAX/VAT番号を入力してください。"
"Please enter a gender.","性別を入力してください。"
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%'はDNSホストネームのようですがTLDが既知のリストにマッチしません"
"You subscribe to ""General Subscription""."," ""全般購読""を購読しました"
"Submit","送信"
"Login","ログイン"
"The password for your account has been successfully changed.","あなたのアカウントのパスワードが正常に変更されました。"
"If you did not request this change, please contact us.","この変更を要求していない場合はお問い合わせください。"
"Checkout out as a new customer","会員登録して購入する"
"Create Account","アカウントを作成"
"Checkout out using your account","ご登録済みのアカウントでご購入"
"Recovery Link Expiration Period (days)","再発行リンク有効期限(日)"
"Leave empty for default (2). Valid range: 1-4","空白の場合は初期値(2)になります。 有効範囲: 1-4"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","セミコロン(;) で区切って下さい。<br/>セミコロンを先頭にすると空白の選択肢になります。<br/>この項目を使わない場合は空のままにしてください。"
"Last Logged In","最終ログイン"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","あなたのMagentoに複数のビューがある場合は、適用対象のビューを指定できます。"
"You are signed out.","サインアウトしました。"
"Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2.","%fieldNameフィールドに指定された ""%value"" の値が無効です。可能な値: %template1 または %template2 です。"
"Could not authenticate. Please try again later","認証できませんでした。再度お試し下さい。"
"Page not found","ページが見つかりません"
"Account will be unlocked after provided time.","アカウントロックは一定時間後に解除されます。"
"Text","テキスト"
"Text One Line","一行テキスト"
"HTML","HTML"
"PDF","PDF"
"The account is locked. Please wait and try again or contact %1.","アカウントがロックされています。しばらくお待ちいただくか、%1にお問い合わせください。"
"Provided Zip/Postal Code seems to be invalid.","ご入力された郵便番号は正しくないようです。"
" Example: "," 例: "
"If you believe it is the right one you can ignore this notice.","ご入力された内容が正しい場合は、このメッセージを無視してください。"
"Invalid Form Key. Please refresh the page.","不正なフォームキーです。ページを再読み込みしてください。"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","ログイン情報が正しくないか、あなたのアカウントは一時的に無効になっています。しばらく待ってやり直してください。"
"The password doesn't match this account. Verify the password and try again.","パスワードがこのアカウントと一致しません。パスワードを確認して再度お試し下さい。"
"The email address is incorrect. Verify the email address and try again.","メールアドレスが正しくありません。メールアドレスを確認して再度お試し下さい。"
"The customer ID isn't defined.","顧客IDが定義されていません。"
"The quote items are incorrect. Verify the quote items and try again.","見積もり商品が正しくありません。見積商品を確認して再度お試し下さい。"
"The ""%1"" section source isn't supported.","""%1""セクションのソースはサポートされていません。"
"Confirmation isn't needed.","確認は必要ありません。"
"The account is already active.","アカウントはすでにアクティブです。"
"The confirmation token is invalid. Verify the token and try again.","確認トークンが無効です。トークンを確認して再度お試し下さい。"
"This account isn't confirmed. Verify and try again.","このアカウントは確認できません。確認して再度お試し下さい。"
"The password needs at least %1 characters. Create a new password and try again.","パスワードは %1 文字以上必要です。新しいパスワードを作成して再度お試し下さい。"
"The password can't begin or end with a space. Verify the password and try again.","パスワードの始まりと終わりはスペースであってはなりません。パスワードを確認して再度お試し下さい。"
"The password can't be the same as the email address. Create a new password and try again.","パスワードはメールアドレスと同じにすることはできません。 新しいパスワードを作成し、再度お試し下さい。"
"The store view is not in the associated website.","このストアビューはウェブサイトに関連付けられていません。"
"A customer with the same email address already exists in an associated website.","顧客と同じE-メールアドレスがすでに関連するウェブサイトに存在します。"
"""%fieldName"" is required. Enter and try again.","""%fieldName"" は必須です。入力して再度お試し下さい。"
"The password token is mismatched. Reset and try again.","パスワードトークンが一致しません。リセットして再度お試し下さい。"
"The password token is expired. Reset and try again.","パスワードトークンが期限切れです。リセットして再度お試し下さい。"
"The transactional account email type is incorrect. Verify and try again.","トランザクションアカウントのメールタイプが正しくありません。確認して再度お試し下さい。"
"A valid password reset token is missing. Enter and try again.","有効なパスワードのリセットトークンがありません。入力して再度お試し下さい。"
"The customer email is missing. Enter and try again.","顧客のメールが見つかりません。入力して再度お試し下さい。"
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","顧客ウェブサイトIDが指定されていません。ウェブサイトスコープを使用するにはIDを指定しなければなりません。"
"""regionId"" is required. Enter and try again.","""regionId"" は必須です。入力して再度お試し下さい。"
"Delete %1","削除 %1"
"Are you sure you want to delete a %1 record?","%1 のレコードを削除してもよろしいですか?"
"Customer not logged in","顧客はログインしていません"
"There is no address id in setting default billing address.","標準の請求先設定には住所idがありません。"
"Default billing address has been changed.","標準の請求先住所が変更されました。"
"We can't change default billing address right now.","現在、デフォルトの請求先住所を変更することができません。"
"There is no address id in setting default shipping address.","標準の配送先設定には住所idがありません。"
"Default shipping address has been changed.","標準の配送先が変更されました。"
"We can't change default shipping address right now.","現在、標準の配送先を変更することができません。"
"A total of %1 record(s) have been deleted.","合計 %1 レコードが削除されました。"
"There is no such address entity to delete.","削除する住所のエンティティがありません。"
"We can't mass delete the addresses right now.","ただいま住所を一括削除できません。"
"Customer address has been updated.","顧客住所を更新しました。"
"New customer address has been added.","新しい顧客住所を追加しました。"
"There is no customer with such id.","そのような id の顧客はいません。"
"We can't change customer address right now.","現在、顧客住所を変更できません。"
"Street","番地"
"Set as default billing","標準の請求先として設定する"
"Set address as default billing","標準の請求先として住所を設定する"
"Are you sure you want to set the address as default billing address?","標準の請求先として設定してもよろしいですか。"
"Set as default shipping","標準の配送先として設定する"
"Set address as default shipping","標準の配送先として住所を設定する"
"Are you sure you want to set the address as default shipping address?","標準の配送先として設定してもよろしいですか。"
"Delete address","住所の削除"
"Are you sure you want to delete the address?","この住所を削除してもよろしいですか？"
"Additional addresses","追加住所"
"State","都道府県"
"Actions","アクション"
"Sorry, there has been an error processing your request. Please try again later.","申し訳ありませんが、リクエストの処理中にエラーが発生しました。後で再度お試し下さい。"
"Reset password","パスワードのリセット"
"Invalidate tokens","無効なトークン"
"Update Address","住所を更新"
"Name Prefix","敬称（前）"
"Name Suffix","敬称（後）"
"Middle Name/Initial","ミドルネーム/イニシャル"
"Are you sure to delete selected address?","選択した住所を削除してもよろしいですか？"
"Are you sure you want to delete the selected customers?","選択した顧客を削除してもよろしいですか？"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","選択した顧客のニュースレターの購読を解除してもよろしいですか？"
"The customer does not have default billing address","この顧客は標準の請求先を登録していません。"
"The customer does not have default shipping address","この顧客は標準の配送先を登録していません。"
