"Sign Out","Esci"
"Redirect Customer to Account Dashboard after Logging in","Reindirizzare il cliente alla Dashboard dell'Account dopo il login"
"Customer will stay on the current page if ""No"" is selected.","Il cliente rimarrà nella pagina corrente se ""No"" è selezionato."
"Address Templates","Template indirizzi"
"Online Customers Options","Opzioni clienti online"
"Online Minutes Interval","Intervallo minuti online"
"Leave empty for default (15 minutes).","Lasciare vuoto per predefinito (15 minuti)."
"Customer Data Lifetime","Vita dati cliente"
"Please specify value in minutes.","Si prega di specificare il valore in minuti."
"Customer Notification","Notifica al cliente"
"Assign a Customer Group","Assegna a un gruppo cliente"
"Are you sure to assign selected customers to new group?","Sei sicuro di assegnare clienti selezionati al nuovo gruppo?"
"Customer Grid","Griglia cliente"
"Rebuild Customer grid index","Ricostruisci l'indice della griglia cliente"
"Group","Gruppo"
"Add New Customer","Aggiungi nuovo cliente"
"Are you sure to delete selected customers?","Sei sicuro di voler eliminare i clienti selezionati?"
"Delete items","Elimina elementi"
"Subscribe to Newsletter","Iscriviti alla Newsletter"
"Are you sure to unsubscribe selected customers from newsletter?","Sei sicuro di cancellare i clienti selezionati dalla newsletter?"
"Unsubscribe from Newsletter","Cancellarsi dalla Newsletter"
"Phone","Telefono"
"ZIP","CAP"
"Customer Since","Cliente dal"
"Confirmed email","Conferma email"
"Account Created in","Account creato il"
"Tax VAT Number","Partita IVA"
"Billing Firstname","Nome di fatturazione"
"Billing Lastname","Cognome di fatturazione"
"Account Lock","Blocco dell'account"
"First Name","Nome"
"Last Name","Cognome"
"Last Activity","Ultima Attività"
"Type","Tipo"
"Customer Information","Informazioni cliente"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","Se la tua installazione di Magento ha più siti web, è possibile associare il cliente ad un sito specifico."
"Disable Automatic Group Change Based on VAT ID","Disabilitare il cambio di gruppo automatico basata su IVA ID"
"Send Welcome Email From","Invia Email di benvenuto da"
"Are you sure you want to delete this item?","Sei sicuro di voler eliminare questo elemento?"
"Addresses","Indirizzi"
"Account Dashboard","Dashboard Account"
"Edit Account Information","Modificare le informazioni Account"
"Password forgotten","Password dimenticata"
"My Dashboard","La mia Dashboard"
"You are signed out","Ti sei disconnesso"
"You subscribe to our newsletter.","Ti sei iscritto alla nostra newsletter."
"You don't subscribe to our newsletter.","Non sei iscritto alla nostra newsletter."
"Maximum length must be less then %1 symbols","La lunghezza massima deve essere inferiore a %1 simboli"
"Invalid input","Input non valido"
"Confirm your new password.","Conferma la nuova password."
"Something went wrong while changing the password.","Qualcosa è andato storto durante il cambiamento della password."
"Please enter the first name.","Inserisci il nome."
"Please enter the last name.","Inserisci il cognome."
"Please enter the street.","Inserisci la via."
"Please enter the city.","Inserisci la città."
"Please enter the phone number.","Inserisci il numero di telefono."
"Please enter the zip/postal code.","Inserisci il codice postale."
"Please enter the country.","Inserisci il paese."
"Please enter a first name.","Inserisci un nome."
"Please enter a last name.","Inserisci un cognome."
"Please correct this email address: ""%1"".","Correggi l'indirizzo email: ""%1""."
"Please enter a date of birth.","Inserisci una data di nascita."
"Please enter a TAX/VAT number.","Inserisci un numero di P.IVA."
"Please enter a gender.","Inserisci un genere."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' sembra un hostname DNS, ma non è possibile abbinare il TLD contro lista conosciuta."
"You subscribe to ""General Subscription"".","Ti sei iscritto all""abbonamento generale""."
"Submit","Invia"
"Login","Login"
"The password for your account has been successfully changed.","La password per il tuo account è stata modificata con successo."
"If you did not request this change, please contact us.","Se non hai richiesto questa modifica, ti preghiamo di contattarci."
"Checkout out as a new customer","Esegui il checkout come nuovo cliente"
"Create Account","Create Account"
"Checkout out using your account","Esegui il checkout utilizzando il tuo account"
"Recovery Link Expiration Period (days)","Periodo di scadenza recupero Link (giorni)"
"Leave empty for default (2). Valid range: 1-4","Lascia vuoto per impostazione predefinita (2). Intervallo valido: 1-4"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valori separati da punto e virgola (;).<br/>Mettere il punto e virgola all'inizio per lasciare vuota la prima opzione.<br/>Lasciare vuoto per campo di testo aperto."
"Last Logged In","Ultimo accesso"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Se il tuo Magento ha più viste, è possibile impostare l'ambito di applicazione per applicare a una specifica vista."
"You are signed out.","Ti sei disconnesso."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2."
"Could not authenticate. Please try again later","Could not authenticate. Please try again later"
"Page not found","Pagina non trovata"
"Account will be unlocked after provided time.","L'account sarà sbloccato dopo il tempo stabilito."
"Text","Testo"
"Text One Line","Text One Line"
"HTML","HTML"
"PDF","PDF"
"The account is locked. Please wait and try again or contact %1.","L'account è bloccato. Si prega di attendere e riprovare oppure contattare %1."
"Provided Zip/Postal Code seems to be invalid.","Il CAP fornito sembra non essere valido."
" Example: "," Esempio: "
"If you believe it is the right one you can ignore this notice.","Se credi che sia quello giusto puoi ignorare questo avviso."
"Invalid Form Key. Please refresh the page.","Chiave form non valida. Si prega di aggiornare la pagina."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","L'accesso all'account non è corretto o il tuo account è temporaneamente disabilitato. Attendere e riprovare più tardi."
"The password doesn't match this account. Verify the password and try again.","La password non corrisponde a questo account. Verificare la password e riprovare."
"The email address is incorrect. Verify the email address and try again.","The email address is incorrect. Verify the email address and try again."
"The customer ID isn't defined.","L'ID del cliente non è definito."
"The quote items are incorrect. Verify the quote items and try again.","The quote items are incorrect. Verify the quote items and try again."
"The ""%1"" section source isn't supported.","The ""%1"" section source isn't supported."
"Confirmation isn't needed.","Conferma non necessaria."
"The account is already active.","Account già attivo."
"The confirmation token is invalid. Verify the token and try again.","Il token di conferma non è valido. Verificare il token e riprovare."
"This account isn't confirmed. Verify and try again.","Questo account non è confermato. Verificare e riprovare."
"The password needs at least %1 characters. Create a new password and try again.","La password deve contenere almeno %1 caratteri. Inserire una nuova password e riprovare."
"The password can't begin or end with a space. Verify the password and try again.","La password non può iniziare o terminare con uno spazio. Verificare la password e riprovare."
"The password can't be the same as the email address. Create a new password and try again.","La password non può essere uguale all'indirizzo di posta elettronica. Creare una nuova password e riprovare."
"The store view is not in the associated website.","The store view is not in the associated website."
"A customer with the same email address already exists in an associated website.","Un utente con questo indirizzo email è già presente nello store associato."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" è obbligatorio. Inseriscilo e riprova."
"The password token is mismatched. Reset and try again.","Il token della password non è corretto. Reimpostare e riprovare."
"The password token is expired. Reset and try again.","The password token is expired. Reset and try again."
"The transactional account email type is incorrect. Verify and try again.","The transactional account email type is incorrect. Verify and try again."
"A valid password reset token is missing. Enter and try again.","A valid password reset token is missing. Enter and try again."
"The customer email is missing. Enter and try again.","The customer email is missing. Enter and try again."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","A customer website ID wasn't specified. The ID must be specified to use the website scope."
"""regionId"" is required. Enter and try again.","""regionId"" is required. Enter and try again."
"Delete %1","Elimina %1"
"Are you sure you want to delete a %1 record?","Sei sicuro di voler cancellare a %1 record?"
"Customer not logged in","Customer not logged in"
"There is no address id in setting default billing address.","There is no address id in setting default billing address."
"Default billing address has been changed.","L'indirizzo di fatturazione predefinito è stato modificato."
"We can't change default billing address right now.","Non è possibile modificare l'indirizzo di fatturazione predefinito in questo momento."
"There is no address id in setting default shipping address.","There is no address id in setting default shipping address."
"Default shipping address has been changed.","L'indirizzo di spedizione predefinito è stato modificato."
"We can't change default shipping address right now.","Non è possibile modificare l'indirizzo di spedizione predefinito in questo momento."
"A total of %1 record(s) have been deleted.","Un totale di %1 record sono stati eliminati."
"There is no such address entity to delete.","Indirizzo da eliminare inesistente."
"We can't mass delete the addresses right now.","We can't mass delete the addresses right now."
"Customer address has been updated.","L'Indirizzo del cliente è stato aggiornato."
"New customer address has been added.","Il nuovo indirizzo è stato aggiunto."
"There is no customer with such id.","Non c'è nessun cliente con questo id."
"We can't change customer address right now.","Non è possibile aggiornare l'indirizzo del cliente in questo momento."
"Street","Via"
"Set as default billing","Set as default billing"
"Set address as default billing","Set address as default billing"
"Are you sure you want to set the address as default billing address?","Are you sure you want to set the address as default billing address?"
"Set as default shipping","Set as default shipping"
"Set address as default shipping","Set address as default shipping"
"Are you sure you want to set the address as default shipping address?","Are you sure you want to set the address as default shipping address?"
"Delete address","Delete address"
"Are you sure you want to delete the address?","Are you sure you want to delete the address?"
"Additional addresses","Additional addresses"
"State","Stato"
"Actions","Azioni"
"Sorry, there has been an error processing your request. Please try again later.","Siamo spiacenti, si è verificato un errore durante l'elaborazione della tua richiesta. Per favore riprova più tardi."
"Reset password","Reset password"
"Invalidate tokens","Invalidate tokens"
"Update Address","Aggiorna l'indirizzo"
"Name Prefix","Name Prefix"
"Name Suffix","Name Suffix"
"Middle Name/Initial","Secondo nome/Iniziali"
"Are you sure to delete selected address?","Sei sicuro di voler eliminare l'indirizzo selezionato?"
"Are you sure you want to delete the selected customers?","Sei sicuro di voler eliminare i clienti selezionati?"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","Sei sicuro di voler annullare l'iscrizione alla newsletter dei clienti selezionati?"
"The customer does not have default billing address","Il cliente non ha l'indirizzo di fatturazione predefinito"
"The customer does not have default shipping address","Il cliente non ha un indirizzo di spedizione predefinito"
