"Sign Out","Uitloggen"
"Lockout Time (minutes)","Duur vergrendeling (minuten)"
"Enable Autocomplete on login/forgot password forms","Inschakelen automatisch aanvullen op login en wachtwoord vergeten formulieren"
"Account Information Options","Opties Account Informatie"
"Change Email Template","Wijzig E-mail sjabloon"
"Change Email and Password Template","Wijziging e-mailadres en wachtwoord sjabloon"
"Name and Address Options","Naam- en adresopties"
"Number of Lines in a Street Address","Aantal regels in adres"
"Valid range: 1-4","Geldig bereik: 1-4"
"Show Prefix","Voorvoegsel tonen"
"The title that goes before name (Mr., Mrs., etc.)","De aanhef die voor de naam staat (heer, mevrouw, etc.)"
"Prefix Dropdown Options","Dropdown-opties voorvoegsel"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Puntkomma (;) gescheiden waarden.<br/>Laat leeg voor een open tekst veld."
"Show Middle Name (initial)","Midden-initiaal tonen"
"Always optional.","Altijd optioneel"
"Show Suffix","Achtervoegsel tonen"
"The suffix that goes after name (Jr., Sr., etc.)","De afkorting die achter de naam staat (Jr., Sr., etc.)"
"Suffix Dropdown Options","Dropdown-opties achtervoegsel"
"Show Date of Birth","Geboortedatum tonen"
"Show Tax/VAT Number","BTW-nummer tonen"
"Show Gender","Geslacht tonen"
"Show Telephone","Toon Telefoonnummer"
"Show Company","Toon Bedrijfsnaam"
"Show Fax","Toon Fax"
"Login Options","Aanmeldopties"
"Redirect Customer to Account Dashboard after Logging in","Redirect klant naar Accountpagina na inloggen"
"Customer will stay on the current page if ""No"" is selected.","Klant zal op de huidige pagina blijven als Nee is geselecteerd."
"Address Templates","Adres sjablonen"
"Online Customers Options","Opties Online klanten"
"Online Minutes Interval","Online minuteninterval"
"Leave empty for default (15 minutes).","Laat leeg voor standaard (15 minuten)."
"Customer Data Lifetime","Klant-data levensduur"
"Please specify value in minutes.","Geef een waarde op in minuten."
"Customer Notification","Klantnotificatie"
"Assign a Customer Group","Klantgroep toewijzen"
"Are you sure to assign selected customers to new group?","Ben u zeker dat u de geselecteerde klanten wil toevoegen aan een nieuwe groep?"
"Customer Grid","Klantentabel"
"Rebuild Customer grid index","Klant-tabel index herbouwen"
"Group","Groep"
"Add New Customer","Nieuwe klant toevoegen"
"Are you sure to delete selected customers?","Weet u zeker dat u de geselecteerde klanten wilt verwijderen?"
"Delete items","Items verwijderen"
"Subscribe to Newsletter","Abonneren op de nieuwsbrief"
"Are you sure to unsubscribe selected customers from newsletter?","Ben u zeker dat u de geselecteerde klanten wil uitschrijven op de nieuwsbrief?"
"Unsubscribe from Newsletter","Afmelden voor nieuwsbrief"
"Phone","Telefoonnummer"
"ZIP","Postcode"
"Customer Since","Klant Sinds"
"Confirmed email","E-mailbevestiging"
"Account Created in","Account gemaakt in"
"Tax VAT Number","BTW nummer"
"Billing Firstname","Facturering voornaam"
"Billing Lastname","Facturering achternaam"
"Account Lock","Account-blokkade"
"First Name","Voornaam"
"Last Name","Achternaam"
"Last Activity","Laatste activiteit"
"Type","Soort"
"Customer Information","Klantgegevens"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","Als uw Magento installatie meerdere websites heeft, dan kunt u de scope aanpassen om een klant te associëren met een specifieke website."
"Disable Automatic Group Change Based on VAT ID","Automatische verandering van groep a.h.v. BTW-nummer uitschakelen"
"Send Welcome Email From","Verzend welkom e-mail vanuit"
"Are you sure you want to delete this item?","Weet u zeker dat u dit artikel wil verwijderen?"
"Addresses","Adressen"
"Account Dashboard","Accountoverzicht"
"Edit Account Information","Bewerk accountgegevens"
"Password forgotten","Wachtwoord vergeten"
"My Dashboard","Overzicht"
"You are signed out","U bent afgemeld"
"You subscribe to our newsletter.","U abonneert zich op onze nieuwsbrief."
"You don't subscribe to our newsletter.","U heeft zich niet op onze nieuwsbrief geabonneerd."
"Maximum length must be less then %1 symbols","Maximale lengte moet minder zijn dan %1 tekens"
"Invalid input","Ongeldige invoer"
"Confirm your new password.","Bevestig uw nieuwe wachtwoord."
"Something went wrong while changing the password.","Er ging iets mis tijdens het wijzigen van het wachtwoord."
"Please enter the first name.","Vul alstublieft de voornaam in."
"Please enter the last name.","Vul alstublieft de achternaam in."
"Please enter the street.","Vul de straatnaam in."
"Please enter the city.","Voer de plaats in."
"Please enter the phone number.","Vul het telefoonnummer in."
"Please enter the zip/postal code.","Vul de postcode in."
"Please enter the country.","Voer het land in."
"Please enter a first name.","Voer een voornaam in."
"Please enter a last name.","Voer een achternaam in."
"Please correct this email address: ""%1"".","Corrigeer het e-mailadres: ""%1""."
"Please enter a date of birth.","Voer uw geboortedatum in."
"Please enter a TAX/VAT number.","Voer uw BTW nummer in."
"Please enter a gender.","Vul uw geslacht in."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' lijkt een DNS hostname maar we kunnen geen onvereenkomstige TLD vinden op een bekende lijst."
"You subscribe to ""General Subscription"".","U heeft zich geabonneerd op ""Algemeen Abonnement""."
"Submit","Bevestig"
"Login","Log in"
"The password for your account has been successfully changed.","Het wachtwoord voor uw account werd met success gewijzigd."
"If you did not request this change, please contact us.","Indien u deze aanvraag niet heeft ingediend, contacteer ons."
"Checkout out as a new customer","Afrekenen als een nieuwe klant"
"Create Account","Account Aanmaken"
"Checkout out using your account","Reken af met uw account"
"Recovery Link Expiration Period (days)","Wachtwoord-herstellink-verloop-periode"
"Leave empty for default (2). Valid range: 1-4","Laat leeg voor standaard (2). Geldige opties: 1-4"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Waarden scheiden met puntkomma (;) <br/>Zet een puntkomma aan het begin voor een lege eerste optie.<br/> Niets invullen voor een leeg tekstveld."
"Last Logged In","Laatst ingelogd"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Als uw Magento site meerdere weergaven heeft, kunt u de scope instellen naar een bepaalde weergave."
"You are signed out.","U bent afgemeld."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2.","Ongeldige waarde van ""value"" opgegeven voor het veld %fieldName. Mogelijke waarden: %template1 of %template2."
"Could not authenticate. Please try again later","Kan niet worden geverifieerd. Probeer het later opnieuw"
"Page not found","Pagina niet gevonden"
"Account will be unlocked after provided time.","Account zal worden ontgrendeld na de opgegeven tijd."
"Text","Tekst"
"Text One Line","Tekst één regel"
"HTML","HTML"
"PDF","PDF"
"The account is locked. Please wait and try again or contact %1.","Dit account is vergrendeld. Probeer het op een ander moment opnieuw of neem contact op met %1."
"Provided Zip/Postal Code seems to be invalid.","Opgegeven postcode lijkt ongeldig."
" Example: "," Voorbeeld: "
"If you believe it is the right one you can ignore this notice.","Als u denkt dat het de juiste is, kunt u deze mededeling negeren."
"Invalid Form Key. Please refresh the page.","Ongeldige formuliersleutel. Ververs de pagina."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","De account aanmelding is onjuist of uw account is tijdelijk uitgeschakeld. Wacht en probeer het later opnieuw."
"The password doesn't match this account. Verify the password and try again.","Het wachtwoord komt niet overeen met dit account. Controleer het wachtwoord en probeer het opnieuw."
"The email address is incorrect. Verify the email address and try again.","Het e-mailadres is ongeldig. Controleer het e-mailadres en probeer het opnieuw."
"The customer ID isn't defined.","De klant-ID is niet gedefinieerd."
"The quote items are incorrect. Verify the quote items and try again.","De offerte items zijn onjuist. Controleer de offerte items en probeer het opnieuw."
"The ""%1"" section source isn't supported.","De ""%1"" sectie bron wordt niet ondersteund."
"Confirmation isn't needed.","Bevestiging is niet nodig."
"The account is already active.","Het account is al actief."
"The confirmation token is invalid. Verify the token and try again.","De bevestigingstoken is ongeldig. Controleer het token en probeer het opnieuw."
"This account isn't confirmed. Verify and try again.","Dit account is niet bevestigd. Controleer en probeer het opnieuw."
"The password needs at least %1 characters. Create a new password and try again.","Het wachtwoord heeft minstens %1 tekens nodig. Maak een nieuw wachtwoord en probeer het opnieuw."
"The password can't begin or end with a space. Verify the password and try again.","Het wachtwoord kan niet beginnen of eindigen met een spatie. Controleer het wachtwoord en probeer het opnieuw."
"The password can't be the same as the email address. Create a new password and try again.","Het wachtwoord kan niet hetzelfde zijn als het e-mailadres. Maak een nieuw wachtwoord en probeer het opnieuw."
"The store view is not in the associated website.","De winkelaanzicht is niet in de bijbehorende website."
"A customer with the same email address already exists in an associated website.","Een klant met hetzelfde e-mailadres bestaat al in een bijbehorende website."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is verplicht. Voer in en probeer het nogmaals."
"The password token is mismatched. Reset and try again.","Het wachtwoord token komt niet overeen. Reset en probeer opnieuw."
"The password token is expired. Reset and try again.","Het wachtwoord token is verlopen. Reset en probeer opnieuw."
"The transactional account email type is incorrect. Verify and try again.","Het transactionele account e-mailtype is onjuist. Controleer en probeer het opnieuw."
"A valid password reset token is missing. Enter and try again.","Een geldig wachtwoord reset token ontbreekt. Voer in en probeer het opnieuw."
"The customer email is missing. Enter and try again.","Het e-mailadres van de klant ontbreekt. Voer deze in en probeer het opnieuw."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","Een klantwebsite ID is niet opgegeven. Het ID moet worden opgegeven om de website scope te gebruiken."
"""regionId"" is required. Enter and try again.","""regionId"" is vereist. Voer in en probeer het opnieuw."
"Delete %1","Verwijder %1"
"Are you sure you want to delete a %1 record?","Weet u zeker dat u een %1 record wilt verwijderen?"
"Customer not logged in","Klant niet ingelogd"
"There is no address id in setting default billing address.","Er is geen adres id in het instellen van standaard factuuradres."
"Default billing address has been changed.","Standaard factuuradres is gewijzigd."
"We can't change default billing address right now.","We kunnen het standaard factuuradres nu niet wijzigen."
"There is no address id in setting default shipping address.","Er is geen adres id in het instellen van standaard verzendadres."
"Default shipping address has been changed.","Standaard verzendadres is gewijzigd."
"We can't change default shipping address right now.","We kunnen het standaard verzendadres nu niet wijzigen."
"A total of %1 record(s) have been deleted.","%1 record(s) verwijderd."
"There is no such address entity to delete.","Er is geen dergelijke adresentiteit om te verwijderen."
"We can't mass delete the addresses right now.","We kunnen de adressen nu niet massaal verwijderen."
"Customer address has been updated.","Klant adres is bijgewerkt."
"New customer address has been added.","Nieuw klantadres is toegevoegd."
"There is no customer with such id.","Er is geen klant met zo'n id."
"We can't change customer address right now.","We kunnen het klantadres nu niet wijzigen."
"Street","Straatnaam"
"Set as default billing","Instellen als standaard facturering"
"Set address as default billing","Adres instellen als standaard facturering"
"Are you sure you want to set the address as default billing address?","Weet u zeker dat u het adres wilt instellen als standaard factuuradres?"
"Set as default shipping","Instellen als standaard verzending"
"Set address as default shipping","Adres instellen als standaard verzending"
"Are you sure you want to set the address as default shipping address?","Weet u zeker dat u het adres wilt instellen als standaard verzendadres?"
"Delete address","Adres verwijderen"
"Are you sure you want to delete the address?","Weet u zeker dat u het adres wilt verwijderen?"
"Additional addresses","Extra adressen"
"State","Provincie"
"Actions","Acties"
"Sorry, there has been an error processing your request. Please try again later.","Sorry, er is een fout opgetreden bij het verwerken van uw aanvraag. Probeer het later nog eens."
"Reset password","Wachtwoord opnieuw instellen"
"Invalidate tokens","Ongeldige token"
"Update Address","Adres bijwerken"
"Name Prefix","Voorvoegsel"
"Name Suffix","Achtervoegsel"
"Middle Name/Initial","Initialen"
"Are you sure to delete selected address?","Weet u zeker dat u het geselecteerde adres wilt verwijderen?"
"Are you sure you want to delete the selected customers?","Weet u zeker dat u de geselecteerde klanten wilt wissen?"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","Bent u er zeker van dat u de geselecteerde klanten wil uitschrijven van de nieuwsbrief?"
"The customer does not have default billing address","De klant heeft geen standaard factuuradres"
"The customer does not have default shipping address","De klant heeft geen standaard verzendadres"
