"Sign Out","Keluar"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Jumlah kelas karakter yang berbeda yang dibutuhkan dalam kata sandi: Huruf Kecil, Huruf Besar, Digit, Karakter Khusus."
"Minimum Password Length","Minimum Password Length"
"Maximum Login Failures to Lockout Account","Kegagalan Login Maksimum ke Akun Penguncian"
"Use 0 to disable account locking.","Gunakan 0 untuk menonaktifkan penguncian akun."
"Lockout Time (minutes)","Waktu penguncian (menit)"
"Enable Autocomplete on login/forgot password forms","Aktifkan Pelengkapan Otomatis pada formulir login / lupa kata sandi"
"Account Information Options","Account Information Options"
"Change Email Template","Change Email Template"
"Change Email and Password Template","Ubah Template Email dan Password"
"Name and Address Options","Name and Address Options"
"Number of Lines in a Street Address","Jumlah Baris di Alamat Jalan"
"Valid range: 1-4","Valid range: 1-4"
"Show Prefix","Show Prefix"
"The title that goes before name (Mr., Mrs., etc.)","Judul yang masuk sebelum nama (Mr, Mrs, dll)"
"Prefix Dropdown Options","Prefix Dropdown Options"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Leave empty for open text field."
"Show Middle Name (initial)","Tampilkan nama tengah (awal)"
"Always optional.","Selalu opsional."
"Show Suffix","Akhiran Tampilkan"
"The suffix that goes after name (Jr., Sr., etc.)","Akhiran yang sesuai dengan namanya (Jr., Sr., dll.)"
"Suffix Dropdown Options","Akhiran Dropdown pilihan"
"Show Date of Birth","Tampilkan tanggal lahir"
"Show Tax/VAT Number","Tampilkan jumlah pajak PPN"
"Show Gender","Menunjukkan jenis kelamin"
"Show Telephone","Telepon Tampilkan"
"Show Company","Tampilkan Perusahaan"
"Show Fax","Tampilkan Fax"
"Login Options","Pilihan login"
"Redirect Customer to Account Dashboard after Logging in","Arahkan kembali Pelanggan ke Dasbor Account setelah masuk"
"Customer will stay on the current page if ""No"" is selected.","Pelanggan akan tetap berada di halaman saat ini jika ""Tidak"" dipilih."
"Address Templates","Alamat template"
"Online Customers Options","Pilihan pelanggan online"
"Online Minutes Interval","Interval menit online"
"Leave empty for default (15 minutes).","Biarkan kosong untuk default (15 menit)."
"Customer Data Lifetime","Data Pelanggan Seumur Hidup"
"Please specify value in minutes.","Harap tentukan nilai dalam beberapa menit."
"Customer Notification","Pemberitahuan pelanggan"
"Assign a Customer Group","Tetapkan Grup Pelanggan"
"Are you sure to assign selected customers to new group?","Apakah Anda yakin untuk menetapkan pelanggan terpilih ke grup baru?"
"Customer Grid","Kotak pelanggan"
"Rebuild Customer grid index","Rebuild Indeks grid pelanggan"
"Group","Kelompok"
"Add New Customer","Tambahkan Pelanggan Baru"
"Are you sure to delete selected customers?","Anda yakin untuk menghapus pelanggan terpilih?"
"Delete items","Hapus item"
"Subscribe to Newsletter","Berlangganan Newsletter"
"Are you sure to unsubscribe selected customers from newsletter?","Apakah Anda yakin untuk berhenti berlangganan pelanggan terpilih dari buletin?"
"Unsubscribe from Newsletter","Berhenti berlangganan dari Newsletter"
"Phone","Telepon"
"ZIP","Zip"
"Customer Since","Pelanggan sejak"
"Confirmed email","Email yang dikonfirmasi"
"Account Created in","Akun Dibuat dalam"
"Tax VAT Number","Nomor PPN Pajak"
"Billing Firstname","Nama belakang penagihan"
"Billing Lastname","Nama terakhir penagihan"
"Account Lock","Kunci akun"
"First Name","Nama depan"
"Last Name","Nama Belakang"
"Last Activity","Aktivitas terakhir"
"Type","Mengetik"
"Customer Information","Customer Information"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","Jika instalasi Magento Anda memiliki banyak situs web, Anda dapat mengedit ruang lingkup untuk mengaitkan pelanggan dengan situs tertentu."
"Disable Automatic Group Change Based on VAT ID","Nonaktifkan Perubahan Grup Otomatis Berdasarkan ID PPN"
"Send Welcome Email From","Send Welcome Email From"
"Are you sure you want to delete this item?","Yakin ingin menghapus item ini?"
"Addresses","Addresses"
"Account Dashboard","Dashboard Akun"
"Edit Account Information","Account Dashboard"
"Password forgotten","Account Dashboard"
"My Dashboard","My Dashboard"
"You are signed out","Anda keluar"
"You subscribe to our newsletter.","Anda berlangganan untuk laporan berkala kami."
"You don't subscribe to our newsletter.","Anda tidak berlangganan untuk laporan berkala kami."
"Maximum length must be less then %1 symbols","Panjang maksimum harus kurang dari simbol %1"
"Invalid input","Masukan tidak valid"
"Confirm your new password.","Konfirmasikan kata sandi baru Anda."
"Something went wrong while changing the password.","Ada yang tidak beres saat mengganti kata sandinya."
"Please enter the first name.","Silakan masukkan nama pertama."
"Please enter the last name.","Masukkan nama terakhir."
"Please enter the street.","Masukkan jalan."
"Please enter the city.","Masukkan kota."
"Please enter the phone number.","Masukkan nomor telepon."
"Please enter the zip/postal code.","Masukkan zip/kode pos."
"Please enter the country.","Masukkan negeri."
"Please enter a first name.","Harap masukkan nama depan."
"Please enter a last name.","Harap masukkan nama belakang."
"Please correct this email address: ""%1"".","Perbaiki alamat email ini: ""%1""."
"Please enter a date of birth.","Harap masukkan tanggal lahir."
"Please enter a TAX/VAT number.","Harap masukkan nomor PAJAK / PPN."
"Please enter a gender.","Harap masukkan jenis kelamin."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' terlihat seperti nama host DNS tapi kami tidak dapat mencocokkan TLD dengan daftar yang diketahui."
"You subscribe to ""General Subscription"".","Anda berlangganan ""General Langganan""."
"Submit","Menyerahkan"
"Login","Masuk"
"The password for your account has been successfully changed.","Kata sandi untuk akun Anda telah berhasil diubah."
"If you did not request this change, please contact us.","Jika Anda tidak meminta perubahan ini, hubungi kami."
"Checkout out as a new customer","Checkout keluar sebagai pelanggan baru"
"Create Account","Create Account"
"Checkout out using your account","Keluar menggunakan akun Anda"
"Recovery Link Expiration Period (days)","Periode Kadaluarsa Pemulihan (hari)"
"Leave empty for default (2). Valid range: 1-4","Biarkan kosong secara default (2). Rentang yang valid: 1-4"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Titik koma (;) memisahkan nilai.<br/>Letakkan titik koma di awal untuk opsi pertama yang kosong.<br/>Biarkan kosong untuk bidang teks terbuka."
"Last Logged In","Terakhir Masuk"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Jika situs Magento Anda memiliki banyak tampilan, Anda dapat mengatur cakupan untuk diterapkan ke tampilan tertentu."
"You are signed out.","Anda keluar."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2."
"Could not authenticate. Please try again later","Could not authenticate. Please try again later"
"Page not found","Halaman tidak ditemukan"
"Account will be unlocked after provided time.","Account will be unlocked after provided time."
"Text","Teks"
"Text One Line","Text One Line"
"HTML","HTML"
"PDF","PDF"
"The account is locked. Please wait and try again or contact %1.","Akun terkunci Harap tunggu dan coba lagi atau hubungi %1."
"Provided Zip/Postal Code seems to be invalid.","Kode Zip / Postal yang Diberikan nampaknya tidak valid."
" Example: "," Contoh: "
"If you believe it is the right one you can ignore this notice.","Jika Anda yakin itu salah, Anda bisa mengabaikan pemberitahuan ini."
"Invalid Form Key. Please refresh the page.","Form Key tidak valid. Silakan segarkan halaman."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"The password doesn't match this account. Verify the password and try again.","Password tidak cocok account ini. Periksa sandi dan coba lagi."
"The email address is incorrect. Verify the email address and try again.","The email address is incorrect. Verify the email address and try again."
"The customer ID isn't defined.","The customer ID isn't defined."
"The quote items are incorrect. Verify the quote items and try again.","The quote items are incorrect. Verify the quote items and try again."
"The ""%1"" section source isn't supported.","The ""%1"" section source isn't supported."
"Confirmation isn't needed.","Confirmation isn't needed."
"The account is already active.","The account is already active."
"The confirmation token is invalid. Verify the token and try again.","The confirmation token is invalid. Verify the token and try again."
"This account isn't confirmed. Verify and try again.","Account ini tidak dikonfirmasikan. Periksa dan coba lagi."
"The password needs at least %1 characters. Create a new password and try again.","The password needs at least %1 characters. Create a new password and try again."
"The password can't begin or end with a space. Verify the password and try again.","The password can't begin or end with a space. Verify the password and try again."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
"The store view is not in the associated website.","The store view is not in the associated website."
"A customer with the same email address already exists in an associated website.","Pelanggan dengan email yang sama sudah ada di situs web terkait."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The password token is mismatched. Reset and try again.","The password token is mismatched. Reset and try again."
"The password token is expired. Reset and try again.","The password token is expired. Reset and try again."
"The transactional account email type is incorrect. Verify and try again.","The transactional account email type is incorrect. Verify and try again."
"A valid password reset token is missing. Enter and try again.","A valid password reset token is missing. Enter and try again."
"The customer email is missing. Enter and try again.","The customer email is missing. Enter and try again."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","A customer website ID wasn't specified. The ID must be specified to use the website scope."
"""regionId"" is required. Enter and try again.","""regionId"" is required. Enter and try again."
"Delete %1","Hapus%1"
"Are you sure you want to delete a %1 record?","Yakin ingin menghapus rekaman%1?"
"Customer not logged in","Customer not logged in"
"There is no address id in setting default billing address.","There is no address id in setting default billing address."
"Default billing address has been changed.","Default billing address has been changed."
"We can't change default billing address right now.","We can't change default billing address right now."
"There is no address id in setting default shipping address.","There is no address id in setting default shipping address."
"Default shipping address has been changed.","Default shipping address has been changed."
"We can't change default shipping address right now.","We can't change default shipping address right now."
"A total of %1 record(s) have been deleted.","Total %1 Record telah dihapus."
"There is no such address entity to delete.","There is no such address entity to delete."
"We can't mass delete the addresses right now.","We can't mass delete the addresses right now."
"Customer address has been updated.","Customer address has been updated."
"New customer address has been added.","New customer address has been added."
"There is no customer with such id.","There is no customer with such id."
"We can't change customer address right now.","We can't change customer address right now."
"Street","Jalan"
"Set as default billing","Set as default billing"
"Set address as default billing","Set address as default billing"
"Are you sure you want to set the address as default billing address?","Are you sure you want to set the address as default billing address?"
"Set as default shipping","Set as default shipping"
"Set address as default shipping","Set address as default shipping"
"Are you sure you want to set the address as default shipping address?","Are you sure you want to set the address as default shipping address?"
"Delete address","Delete address"
"Are you sure you want to delete the address?","Are you sure you want to delete the address?"
"Additional addresses","Additional addresses"
"State","Negara"
"Actions","Tindakan"
"Sorry, there has been an error processing your request. Please try again later.","Maaf, telah terjadi kesalahan saat memproses permintaan Anda. Silakan coba lagi nanti."
"Reset password","Reset password"
"Invalidate tokens","Invalidate tokens"
"Update Address","Update Address"
"Name Prefix","Name Prefix"
"Name Suffix","Name Suffix"
"Middle Name/Initial","Nama tengah /awal"
"Are you sure to delete selected address?","Are you sure to delete selected address?"
"Are you sure you want to delete the selected customers?","Are you sure you want to delete the selected customers?"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","Are you sure you want to unsubscribe the selected customers from the newsletter?"
"The customer does not have default billing address","The customer does not have default billing address"
"The customer does not have default shipping address","The customer does not have default shipping address"
