"Sign Out","වරන්න"
"Please enter your email address below to receive a password reset link.","මුරපද යළි පිහිටුවීමේ සබැඳියක් ලබා ගැනීමට කරුණාකර ඔබගේ විද්‍යුත් තැපැල් ලිපිනය ඇතුලත් කරන්න."
"Reset My Password","මගේ මුර පදය නැවත සකසන්න"
"Registered Customers","ලියාපදිංචි පාරිභෝගිකයින්"
"If you have an account, sign in with your email address.","ඔබට ගිණුමක් තිබේ නම්, ඔබගේ විද්‍යුත් තැපැල් ලිපිනයෙන් පුරනය වන්න."
"Password","මුරපදය"
"Forgot Your Password?","මුරපදය අමතක වුනාද?"
"Subscription option","දායකත්ව විකල්පය"
"General Subscription","සාමාන්ය දායකත්වය"
"Sign Up for Newsletter","පුවත් පත්‍රිකාව සඳහා ලියාපදිංචි වන්න"
"Address Information","ලිපින තොරතුරු"
"Sign-in Information","පුරනය වීමේ තොරතුරු"
"Confirm Password","මුරපදය තහවුරු කරන්න"
"Create an Account","ගිණුමක් තනන්න"
"Set a New Password","නව මුරපදයක් සකසන්න"
"You have signed out and will go to our homepage in 5 seconds.","ඔබ වරනය වී ඇති අතර තත්පර 5 කින් අපගේ මුල් පිටුවට යනු ඇත."
"New Customers","නව පාරිභෝගිකයින්"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","ගිණුමක් සෑදීමෙන් බොහෝ ප්‍රතිලාභ ඇත: වේගයෙන් පරීක්ෂා කරන්න, ලිපින එකකට වඩා තබා ගන්න, ඇණවුම් ලුහුබැඳීම සහ තවත් දේ."
"Company","සමාගම"
"Fax","ෆැක්ස්"
"Gender","ස්ත්රී පුරුෂ භාවය"
"Name","නම"
"Tax/VAT number","Tax/VAT number"
"Phone Number","දුරකථන අංකය"
"Welcome to %store_name","%store_name වෙත සාදරයෙන් පිළිගනිමු"
"%name,","%nam,"
"Welcome to %store_name.","%store_name වෙත සාදරයෙන් පිළිගනිමු."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","අපගේ වෙබ් අඩවියට පුරනය වීමට, පිටවීමේදී හෝ <a href=""%customer_url"">My Account</a> පිටුවේ මෙම අක්තපත්‍ර භාවිතා කරන්න:"
"Email:","විද්යුත් තැපෑල:"
"Password:","මුරපදය:"
"Password you set when creating account","ගිණුමක් සෑදීමේදී ඔබ සැකසූ මුරපදය"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","ඔබගේ ගිණුමේ මුරපදය අමතකද? එය නැවත සැකසීමට මෙහි <a href=""%reset_url""></a> ක්ලික් කරන්න."
"When you sign in to your account, you will be able to:","ඔබ ඔබගේ ගිණුමට පුරන විට, ඔබට හැකි වනු ඇත:"
"Proceed through checkout faster","ඉක්මනින් පිටවීම හරහා ඉදිරියට යන්න"
"Check the status of orders","ඇණවුම්වල තත්ත්වය පරීක්ෂා කරන්න"
"View past orders","පසුගිය ඇණවුම් බලන්න"
"Store alternative addresses (for shipping to multiple family members and friends)","විකල්ප ලිපින ගබඩා කරන්න (පවුලේ සාමාජිකයන් සහ මිතුරන් කිහිප දෙනෙකුට නැව්ගත කිරීම සඳහා)"
"Please confirm your %store_name account","කරුණාකර ඔබගේ %store_name ගිණුම තහවුරු කරන්න"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","ඔබට පුරනය වීමට පෙර ඔබගේ ustomer_email විද්‍යුත් තැපෑල %cතහවුරු කළ යුතුය (සබැඳිය වලංගු වන්නේ එක් වරක් පමණි):"
"Confirm Your Account","ඔබගේ ගිණුම තහවුරු කරන්න"
"Thank you for confirming your %store_name account.","ඔබගේ %store_name ගිණුම තහවුරු කිරීම ගැන ස්තුතියි."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","අපගේ වෙබ් අඩවියට පුරනය වී මුරපදයක් සැකසීමට, <a href=""%create_password_url"">සබැඳිය</a>මත ක්ලික් කරන්න:"
"Your %store_name email has been changed","ඔබගේ %store_name විද්‍යුත් තැපෑල වෙනස් කර ඇත"
"Hello,","Hello,"
"We have received a request to change the following information associated with your account at %store_name: email.","%store_name: email හි ඔබගේ ගිණුම හා සම්බන්ධ පහත තොරතුරු වෙනස් කිරීමට අපට ඉල්ලීමක් ලැබී ඇත."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","ඔබ මෙම ක්‍රියාව අනුමත කර නොමැති නම්, කරුණාකර <a href=""mailto:%store_email"">%store_email</a>හිදී වහාම අප හා සම්බන්ධ වන්න"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Thanks,<br>%store_name"
"Your %store_name email and password has been changed","ඔබගේ %store_name විද්‍යුත් තැපෑල සහ මුරපදය වෙනස් කර ඇත"
"We have received a request to change the following information associated with your account at %store_name: email, password.","%store_name: විද්‍යුත් තැපෑල, මුරපදය ඔබේ ගිණුම හා සම්බන්ධ පහත තොරතුරු වෙනස් කිරීමට අපට ඉල්ලීමක් ලැබී ඇත."
"Reset your %store_name password","ඔබගේ %store_name මුරපදය යළි පිහිටුවන්න"
"There was recently a request to change the password for your account.","ඔබගේ ගිණුම සඳහා මුරපදය වෙනස් කිරීමට මෑතකදී ඉල්ලීමක් විය."
"If you requested this change, set a new password here:","ඔබ මෙම වෙනස ඉල්ලා සිටියේ නම්, මෙහි නව මුරපදයක් සකසන්න:"
"If you did not make this request, you can ignore this email and your password will remain the same.","ඔබ මෙම ඉල්ලීම නොකළේ නම්, ඔබට මෙම විද්‍යුත් තැපෑල නොසලකා හැරිය හැකි අතර ඔබගේ මුරපදය එලෙසම පවතිනු ඇත."
"Your %store_name password has been changed","ඔබගේ %store_name මුරපදය වෙනස් කර ඇත"
"We have received a request to change the following information associated with your account at %store_name: password.","%store_name: password හි ඔබගේ ගිණුම හා සම්බන්ධ පහත තොරතුරු වෙනස් කිරීමට අපට ඉල්ලීමක් ලැබී ඇත."
"Checkout as a new customer","නව පාරිභෝගිකයෙකු ලෙස පිටවීම"
"Creating an account has many benefits:","ගිණුමක් නිර්මාණය කිරීමෙන් බොහෝ වාසි ඇත:"
"See order and shipping status","ඇණවුම සහ නැව්ගත කිරීමේ තත්ත්වය බලන්න"
"Track order history","ඇණවුම් ඉතිහාසය නිරීක්ෂණය කරන්න"
"Check out faster","ඉක්මනින් පරීක්ෂා කරන්න"
"Checkout using your account","ඔබගේ ගිණුම භාවිතා කර පිටවීම"
"Email Address","විද්යුත් තැපැල් ලිපිනය"
"Are you sure you want to do this?","ඔබට මෙය කිරීමට අවශ්‍ය බව විශ්වාසද?"
"Are you sure you want to delete this address?","ඔබට මෙම ලිපිනය මැකීමට අවශ්‍ය බව විශ්වාසද?"
"Weak","දුර්වල"
"Medium","මධ්යම"
"Strong","ශක්තිමත්"
"Very Strong","ඉතා ශක්තිමත්"
"Guest checkout is disabled.","අමුත්තන්ගේ පිටවීම අබල කර ඇත."
"All Customers","සියලුම පාරිභෝගිකයින්"
"Now Online","දැන් ඔන්ලයින්"
"Customers Section","පාරිභෝගික අංශය"
"Customer Configuration","පාරිභෝගික වින්‍යාසය"
"Account Sharing Options","ගිණුම් බෙදාගැනීමේ විකල්ප"
"Share Customer Accounts","පාරිභෝගික ගිණුම් බෙදා ගන්න"
"Create New Account Options","නව ගිණුම් විකල්ප සාදන්න"
"Enable Automatic Assignment to Customer Group","පාරිභෝගික කණ්ඩායමට ස්වයංක්‍රීය පැවරීම සබල කරන්න"
"Tax Calculation Based On","මත පදනම්ව බදු ගණනය කිරීම"
"Default Group","පෙරනිමි සමූහය"
"Group for Valid VAT ID - Domestic","වලංගු VAT ID සඳහා කණ්ඩායම - ගෘහස්ථ"
"Group for Valid VAT ID - Intra-Union","වලංගු වැට් බදු හැඳුනුම්පත සඳහා කණ්ඩායම - අන්තර්-යුනියන්"
"Group for Invalid VAT ID","වලංගු නොවන VAT ID සඳහා කණ්ඩායම"
"Validation Error Group","වලංගු කිරීමේ දෝෂ සමූහය"
"Validate on Each Transaction","එක් එක් ගනුදෙනුව මත වලංගු කරන්න"
"Default Value for Disable Automatic Group Changes Based on VAT ID","VAT ID මත පදනම්ව ස්වයංක්‍රීය කණ්ඩායම් වෙනස්කම් අක්‍රීය කිරීම සඳහා පෙරනිමි අගය"
"Show VAT Number on Storefront","වෙළඳසැල ඉදිරිපිට VAT අංකය පෙන්වන්න"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","වෙළඳසැල ඉදිරිපිට VAT අංකය පෙන්වීමට, වෙළඳසැල ඉදිරිපිට VAT අංකය පෙන්වන්න විකල්පය ඔව් ලෙස සකසන්න."
"Default Email Domain","පෙරනිමි ඊමේල් වසම"
"Default Welcome Email","පෙරනිමි පිළිගැනීමේ විද්‍යුත් තැපෑල"
"Email template chosen based on theme fallback when ""Default"" option is selected.","""පෙරනිමි"" විකල්පය තෝරාගත් විට තේමා පසුබැසීම මත පදනම්ව ඊමේල් අච්චුව තෝරා ඇත."
"Default Welcome Email Without Password","මුරපදයකින් තොරව පෙරනිමි පිළිගැනීමේ විද්‍යුත් තැපෑල"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","මුරපදයකින් තොරව පාරිභෝගිකයෙකු නිර්මාණය කර ඇත්නම්, පෙරනිමි පිළිගැනීමේ විද්‍යුත් තැපෑල වෙනුවට මෙම විද්‍යුත් තැපෑල යවනු ලැබේ. <br /><br />
                        ""පෙරනිමි"" විකල්පය තෝරාගත් විට තේමා පසුබැසීම මත පදනම්ව විද්‍යුත් තැපැල් අච්චුව තෝරා ඇත."
"Email Sender","ඊමේල් යවන්නා"
"Require Emails Confirmation","ඊමේල් තහවුරු කිරීම අවශ්‍ය වේ"
"Confirmation Link Email","තහවුරු කිරීමේ සබැඳි ඊමේල්"
"Welcome Email","සාදරයෙන් පිළිගනිමු ඊමේල්"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","ගිණුම් තහවුරු කිරීමෙන් පසු පෙරනිමි පිළිගැනීමේ විද්‍යුත් තැපෑල වෙනුවට මෙම විද්‍යුත් තැපෑල යවනු ලැබේ. <br /><br />
                        ""පෙරනිමි"" විකල්පය තෝරාගත් විට තේමා පසුබැසීම මත පදනම්ව විද්‍යුත් තැපැල් අච්චුව තෝරා ඇත."
"Generate Human-Friendly Customer ID","මානව හිතකාමී පාරිභෝගික හැඳුනුම්පතක් ජනනය කරන්න"
"Password Options","මුරපද විකල්ප"
"Forgot Email Template","ඊමේල් අච්චුව අමතකයි"
"Remind Email Template","ඊමේල් අච්චුව මතක් කරන්න"
"Reset Password Template","මුරපද අච්චුව නැවත සකසන්න"
"Password Template Email Sender","මුරපද අච්චු ඊමේල් යවන්නා"
"Recovery Link Expiration Period (hours)","ප්‍රතිසාධන සබැඳිය කල් ඉකුත් වීමේ කාලය (පැය)"
"Please enter a number 1 or greater in this field.","කරුණාකර මෙම ක්ෂේත්‍රයේ අංක 1 හෝ ඊට වැඩි ගණනක් ඇතුළත් කරන්න."
"Number of Required Character Classes","අවශ්‍ය අක්ෂර පන්ති ගණන"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","මුරපදයේ අවශ්‍ය විවිධ අක්ෂර පන්ති ගණන: කුඩා අකුරු, ලොකු අකුරු, ඉලක්කම්, විශේෂ අක්ෂර."
"Minimum Password Length","අවම මුරපද දිග"
"Maximum Login Failures to Lockout Account","Lockout ගිණුමට උපරිම ලොගින් අසාර්ථක වීම"
"Use 0 to disable account locking.","ගිණුම් අගුලු දැමීම අක්‍රිය කිරීමට 0 භාවිතා කරන්න."
"Lockout Time (minutes)","අගුලු දැමීමේ කාලය (මිනිත්තු)"
"Enable Autocomplete on login/forgot password forms","පුරනය වීමේ/අමතක වූ මුරපද පෝරම වල ස්වයං සම්පුර්ණ කිරීම සබල කරන්න"
"Account Information Options","ගිණුම් තොරතුරු විකල්ප"
"Change Email Template","ඊමේල් අච්චුව වෙනස් කරන්න"
"Change Email and Password Template","ඊමේල් සහ මුරපද ආකෘතිය වෙනස් කරන්න"
"Name and Address Options","නම සහ ලිපින විකල්ප"
"Number of Lines in a Street Address","වීදි ලිපිනයක ඇති රේඛා ගණන"
"Valid range: 1-4","වලංගු පරාසය: 1-4"
"Show Prefix","උපසර්ගය පෙන්වන්න"
"The title that goes before name (Mr., Mrs., etc.)","නමට පෙර යන මාතෘකාව (Mr., Mrs, etc.)"
"Prefix Dropdown Options","උපසර්ග පතන විකල්ප"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semicolon (;) වෙන් කළ අගයන්.<br/>විවෘත පෙළ ක්ෂේත්‍රය සඳහා හිස්ව තබන්න."
"Show Middle Name (initial)","මැද නම පෙන්වන්න (මුල්)"
"Always optional.","සෑම විටම විකල්ප."
"Show Suffix","උපසර්ගය පෙන්වන්න"
"The suffix that goes after name (Jr., Sr., etc.)","නමට පසුව යන උපසර්ගය (කනිෂ්ඨ, ජ්‍යෙෂ්ඨ, ආදිය)"
"Suffix Dropdown Options","උපසර්ග පතන විකල්ප"
"Show Date of Birth","උපන් දිනය පෙන්වන්න"
"Show Tax/VAT Number","බදු/වැට් අංකය පෙන්වන්න"
"Show Gender","ලිංගභේදය පෙන්වන්න"
"Show Telephone","දුරකථනය පෙන්වන්න"
"Show Company","සමාගම පෙන්වන්න"
"Show Fax","ෆැක්ස් පෙන්වන්න"
"Login Options","පිවිසුම් විකල්ප"
"Redirect Customer to Account Dashboard after Logging in","ප්‍රවිෂ්ට වීමෙන් පසු පාරිභෝගිකයා ගිණුම් උපකරණ පුවරුව වෙත හරවා යවන්න"
"Customer will stay on the current page if ""No"" is selected.","""නැත"" තෝරා ඇත්නම් පාරිභෝගිකයා වත්මන් පිටුවෙහි රැඳී සිටිනු ඇත."
"Address Templates","ලිපින සැකිලි"
"Online Customers Options","මාර්ගගත පාරිභෝගික විකල්ප"
"Online Minutes Interval","මාර්ගගත මිනිත්තු පරතරය"
"Leave empty for default (15 minutes).","පෙරනිමිය සඳහා හිස්ව තබන්න (විනාඩි 15)."
"Customer Data Lifetime","පාරිභෝගික දත්ත ජීවිත කාලය"
"Please specify value in minutes.","කරුණාකර මිනිත්තු කිහිපයකින් අගය සඳහන් කරන්න."
"Customer Notification","පාරිභෝගික දැනුම්දීම"
"Assign a Customer Group","පාරිභෝගික කණ්ඩායමක් පවරන්න"
"Are you sure to assign selected customers to new group?","තෝරාගත් පාරිභෝගිකයින් නව කණ්ඩායමකට පැවරීමට ඔබට විශ්වාසද?"
"Customer Grid","පාරිභෝගික ජාලය"
"Rebuild Customer grid index","පාරිභෝගික ජාල දර්ශකය නැවත ගොඩනඟන්න"
"Group","සමූහය"
"Add New Customer","නව පාරිභෝගිකයා එක් කරන්න"
"Are you sure to delete selected customers?","Are you sure to delete selected customers?"
"Delete items","අයිතම මකන්න"
"Subscribe to Newsletter","පුවත් පත්‍රිකාවට දායක වන්න"
"Are you sure to unsubscribe selected customers from newsletter?","Are you sure to unsubscribe selected customers from newsletter?"
"Unsubscribe from Newsletter","පුවත් පත්‍රිකාවෙන් දායක නොවන්න"
"Phone","දුරකථන"
"ZIP","ZIP"
"Customer Since","පාරිභෝගික සිට"
"Confirmed email","තහවුරු කළ විද්‍යුත් තැපෑල"
"Account Created in","ගිණුම නිර්මාණය කර ඇත"
"Tax VAT Number","බදු වැට් අංකය"
"Billing Firstname","බිල්පත් මුල් නම"
"Billing Lastname","බිල්පත් අවසාන නම"
"Account Lock","ගිණුම් අගුල"
"First Name","මුල් නම"
"Last Name","අවසන් නම"
"Last Activity","අවසාන ක්‍රියාකාරකම"
"Type","ටයිප් කරන්න"
"Customer Information","පාරිභෝගික තොරතුරු"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","ඔබේ Magento ස්ථාපනයට වෙබ් අඩවි කිහිපයක් තිබේ නම්, ඔබට පාරිභෝගිකයා නිශ්චිත අඩවියක් සමඟ සම්බන්ධ කිරීමට විෂය පථය සංස්කරණය කළ හැක."
"Disable Automatic Group Change Based on VAT ID","VAT ID මත පදනම්ව ස්වයංක්‍රීය කණ්ඩායම් වෙනස් කිරීම අක්‍රීය කරන්න"
"Send Welcome Email From","වෙතින් පිළිගැනීමේ විද්‍යුත් තැපෑල යවන්න"
"Are you sure you want to delete this item?","Are you sure you want to delete this item?"
"Addresses","ලිපිනයන්"
"Account Dashboard","Account Dashboard"
"Edit Account Information","ගිණුම් තොරතුරු සංස්කරණය කරන්න"
"Password forgotten","මුරපදය අමතක වී ඇත"
"My Dashboard","My Dashboard"
"You are signed out","ඔබ වරනය වී ඇත"
"You subscribe to our newsletter.","You subscribe to our newsletter."
"You don't subscribe to our newsletter.","You don't subscribe to our newsletter."
"Maximum length must be less then %1 symbols","Maximum length must be less then %1 symbols"
"Invalid input","Invalid input"
"Confirm your new password.","Confirm your new password."
"Something went wrong while changing the password.","Something went wrong while changing the password."
"Please enter the first name.","Please enter the first name."
"Please enter the last name.","Please enter the last name."
"Please enter the street.","Please enter the street."
"Please enter the city.","Please enter the city."
"Please enter the phone number.","Please enter the phone number."
"Please enter the zip/postal code.","Please enter the zip/postal code."
"Please enter the country.","Please enter the country."
"Please enter a first name.","Please enter a first name."
"Please enter a last name.","Please enter a last name."
"Please correct this email address: ""%1"".","Please correct this email address: ""%1""."
"Please enter a date of birth.","Please enter a date of birth."
"Please enter a TAX/VAT number.","Please enter a TAX/VAT number."
"Please enter a gender.","Please enter a gender."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' looks like a DNS hostname but we cannot match the TLD against known list."
"You subscribe to ""General Subscription"".","You subscribe to ""General Subscription""."
"Submit","Submit"
"Login","Login"
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Checkout out as a new customer","Checkout out as a new customer"
"Create Account","Create Account"
"Checkout out using your account","Checkout out using your account"
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Last Logged In","Last Logged In"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"You are signed out.","You are signed out."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2."
"Could not authenticate. Please try again later","සත්‍යාපනය කළ නොහැකි විය. කරුණාකර පසුව නැවත උත්සාහ කරන්න"
"Page not found","Page not found"
"Account will be unlocked after provided time.","සපයා ඇති කාලයෙන් පසු ගිණුම අගුළු හරිනු ලැබේ."
"Text","පෙළ"
"Text One Line","එක් පේළියකට පෙළ යවන්න"
"HTML","HTML"
"PDF","PDF"
"The account is locked. Please wait and try again or contact %1.","The account is locked. Please wait and try again or contact %1."
"Provided Zip/Postal Code seems to be invalid.","සපයා ඇති සිප්/තැපැල් කේතය වලංගු නොවන බව පෙනේ."
" Example: "," උදාහරණයක්: "
"If you believe it is the right one you can ignore this notice.","එය නිවැරදි බව ඔබ විශ්වාස කරන්නේ නම්, ඔබට මෙම දැනුම්දීම නොසලකා හැරිය හැක."
"Invalid Form Key. Please refresh the page.","වලංගු නොවන පෝරම යතුර. කරුණාකර පිටුව නැවුම් කරන්න."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","ගිණුමට පුරනය වීම වැරදි හෝ ඔබගේ ගිණුම තාවකාලිකව අබල කර ඇත. කරුණාකර රැඳී සිට පසුව නැවත උත්සාහ කරන්න."
"The password doesn't match this account. Verify the password and try again.","මුරපදය මෙම ගිණුමට නොගැලපේ. මුරපදය තහවුරු කර නැවත උත්සාහ කරන්න."
"The email address is incorrect. Verify the email address and try again.","ඊමේල් ලිපිනය වැරදියි. ඊමේල් ලිපිනය තහවුරු කර නැවත උත්සාහ කරන්න."
"The customer ID isn't defined.","පාරිභෝගික හැඳුනුම්පත අර්ථ දක්වා නැත."
"The quote items are incorrect. Verify the quote items and try again.","උපුටා දැක්වීම් අයිතම වැරදියි. උද්ධෘත අයිතම සත්‍යාපනය කර නැවත උත්සාහ කරන්න."
"The ""%1"" section source isn't supported.","""%1"" කොටසේ මූලාශ්‍රය සහාය නොදක්වයි."
"Confirmation isn't needed.","තහවුරු කිරීම අවශ්ය නොවේ."
"The account is already active.","ගිණුම දැනටමත් සක්‍රීයයි."
"The confirmation token is invalid. Verify the token and try again.","තහවුරු කිරීමේ ටෝකනය වලංගු නොවේ. ටෝකනය තහවුරු කර නැවත උත්සාහ කරන්න."
"This account isn't confirmed. Verify and try again.","මෙම ගිණුම තහවුරු කර නැත. තහවුරු කර නැවත උත්සාහ කරන්න."
"The password needs at least %1 characters. Create a new password and try again.","මුරපදයට අවම වශයෙන් අක්ෂර %1 ක් අවශ්‍ය වේ. නව මුරපදයක් සාදා නැවත උත්සාහ කරන්න."
"The password can't begin or end with a space. Verify the password and try again.","මුරපදය ඉඩකින් ආරම්භ කිරීමට හෝ අවසන් කිරීමට නොහැකිය. මුරපදය තහවුරු කර නැවත උත්සාහ කරන්න."
"The password can't be the same as the email address. Create a new password and try again.","මුරපදය ඊමේල් ලිපිනයට සමාන විය නොහැක. නව මුරපදයක් සාදා නැවත උත්සාහ කරන්න."
"The store view is not in the associated website.","ගබඩා දසුන ආශ්‍රිත වෙබ් අඩවියේ නැත."
"A customer with the same email address already exists in an associated website.","එකම ඊමේල් ලිපිනය සහිත පාරිභෝගිකයෙකු දැනටමත් ආශ්‍රිත වෙබ් අඩවියක සිටී."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" අවශ්‍යයි. ඇතුල් කර නැවත උත්සාහ කරන්න."
"The password token is mismatched. Reset and try again.","මුරපද ටෝකනය නොගැලපේ. නැවත සකසා නැවත උත්සාහ කරන්න."
"The password token is expired. Reset and try again.","මුරපද ටෝකනය කල් ඉකුත් වී ඇත. නැවත සකසා නැවත උත්සාහ කරන්න."
"The transactional account email type is incorrect. Verify and try again.","ගනුදෙනු ගිණුම් ඊමේල් වර්ගය වැරදියි. තහවුරු කර නැවත උත්සාහ කරන්න."
"A valid password reset token is missing. Enter and try again.","වලංගු මුරපද යළි පිහිටුවීමේ ටෝකනයක් අස්ථානගත වී ඇත. ඇතුල් කර නැවත උත්සාහ කරන්න."
"The customer email is missing. Enter and try again.","පාරිභෝගික ඊමේල් අතුරුදහන්. ඇතුල් කර නැවත උත්සාහ කරන්න."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","පාරිභෝගික වෙබ් අඩවි හැඳුනුම්පතක් සඳහන් කර නැත. වෙබ් අඩවියේ විෂය පථය භාවිතා කිරීමට හැඳුනුම්පත සඳහන් කළ යුතුය."
"""regionId"" is required. Enter and try again.","""regionId"" අවශ්‍යයි. ඇතුල් කර නැවත උත්සාහ කරන්න."
"Delete %1","%1මකන්න"
"Are you sure you want to delete a %1 record?","ඔබට %1 වාර්තාවක් මැකීමට අවශ්‍ය බව විශ්වාසද?"
"Customer not logged in","පාරිභෝගිකයා ලොග් වී නැත"
"There is no address id in setting default billing address.","පෙරනිමි බිල්පත් ලිපිනය සැකසීමේදී ලිපින හැඳුනුම්පතක් නොමැත."
"Default billing address has been changed.","පෙරනිමි බිල්පත් ලිපිනය වෙනස් කර ඇත."
"We can't change default billing address right now.","අපට දැන් පෙරනිමි බිල්පත් ලිපිනය වෙනස් කළ නොහැක."
"There is no address id in setting default shipping address.","පෙරනිමි නැව්ගත කිරීමේ ලිපිනය සැකසීමේදී ලිපින හැඳුනුම්පතක් නොමැත."
"Default shipping address has been changed.","පෙරනිමි නැව්ගත කිරීමේ ලිපිනය වෙනස් කර ඇත."
"We can't change default shipping address right now.","අපට දැන් පෙරනිමි නැව්ගත කිරීමේ ලිපිනය වෙනස් කළ නොහැක."
"A total of %1 record(s) have been deleted.","මුළු වාර්තා(ය) %1 ක් මකා ඇත."
"There is no such address entity to delete.","මකා දැමීමට එවැනි ලිපින ආයතනයක් නොමැත."
"We can't mass delete the addresses right now.","අපට දැන් ලිපින විශාල වශයෙන් මකා දැමිය නොහැක."
"Customer address has been updated.","පාරිභෝගික ලිපිනය යාවත්කාලීන කර ඇත."
"New customer address has been added.","නව පාරිභෝගික ලිපිනය එකතු කර ඇත."
"There is no customer with such id.","එවැනි හැඳුනුම්පතක් ඇති පාරිභෝගිකයෙකු නොමැත."
"We can't change customer address right now.","අපට දැන් පාරිභෝගික ලිපිනය වෙනස් කළ නොහැක."
"Street","වීදිය"
"Set as default billing","පෙරනිමි බිල්පත් ලෙස සකසන්න"
"Set address as default billing","ලිපිනය පෙරනිමි බිල්පත් ලෙස සකසන්න"
"Are you sure you want to set the address as default billing address?","ඔබට ලිපිනය පෙරනිමි බිල්පත් ලිපිනය ලෙස සැකසීමට අවශ්‍ය බව විශ්වාසද?"
"Set as default shipping","පෙරනිමි නැව්ගත කිරීම ලෙස සකසන්න"
"Set address as default shipping","ලිපිනය පෙරනිමි නැව්ගත කිරීම ලෙස සකසන්න"
"Are you sure you want to set the address as default shipping address?","ඔබට ලිපිනය පෙරනිමි නැව්ගත කිරීමේ ලිපිනය ලෙස සැකසීමට අවශ්‍ය බව විශ්වාසද?"
"Delete address","ලිපිනය මකන්න"
"Are you sure you want to delete the address?","ඔබට ලිපිනය මැකීමට අවශ්‍ය බව විශ්වාසද?"
"Additional addresses","අමතර ලිපින"
"State","රජයේ"
"Actions","ක්රියාවන්"
"Sorry, there has been an error processing your request. Please try again later.","සමාවන්න, ඔබගේ ඉල්ලීම සැකසීමේදී දෝෂයක් සිදුවී ඇත. කරුණාකර පසුව නැවත උත්සාහ කරන්න."
"Reset password","මුරපදය නැවත සකසන්න"
"Invalidate tokens","ටෝකන අවලංගු කරන්න"
"Update Address","ලිපිනය යාවත්කාලීන කරන්න"
"Name Prefix","නම උපසර්ගය"
"Name Suffix","නම උපසර්ගය"
"Middle Name/Initial","මැද නම/මුල"
"Are you sure to delete selected address?","තෝරාගත් ලිපිනය මකා දැමීමට ඔබට විශ්වාසද?"
"Are you sure you want to delete the selected customers?","ඔබට තෝරාගත් පාරිභෝගිකයින් මකා දැමීමට අවශ්‍ය බව විශ්වාසද?"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","ඔබට පුවත් පත්‍රිකාවෙන් තෝරාගත් පාරිභෝගිකයින් දායක නොවීමට අවශ්‍ය බව විශ්වාසද?"
"The customer does not have default billing address","පාරිභෝගිකයාට පෙරනිමි බිල්පත් ලිපිනයක් නොමැත"
"The customer does not have default shipping address","පාරිභෝගිකයාට පෙරනිමි නැව්ගත කිරීමේ ලිපිනයක් නොමැත"
