"Sign Out","ಸೈನ್ ಔಟ್"
"InputException","InputException"
"Exception message","Exception ಸಂದೇಶ"
"Validator Exception","Validator Exception"
"Localized Exception","Localized Exception"
"some error","ಒಂದು ದೋಷ"
"frontend_label","frontend_label"
"NOT LOGGED IN","ಲಾಗಿನ್ ಆಗಿಲ್ಲ"
"Please enter the state/province.","ದಯವಿಟ್ಟು ರಾಜ್ಯವನ್ನು ನಮೂದಿಸಿ."
"region is a required field.","ಇದು ಅಗತ್ಯವಿರುವ ವಲಯ."
"regionId is a required field.","regionId is a required field."
"Label","ಲೇಬಲ್"
"Select...","ಆರಿಸಿ..."
"Edit","ಸಂಪಾದಿಸಿ"
"Visitor","ಸಂದರ್ಶಕರು"
"Customer","ಗ್ರಾಹಕರು"
"No item specified.","ಯಾವುದೆ ವಸ್ತುಗಳನ್ನು ಸೂಚಿಸಲಾಗಿಲ್ಲ."
"Are you sure you want to remove this item?","ಈ ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?"
"Personal Information","ವೈಯಕ್ತಿಕ ಮಾಹಿತಿ"
"Last Logged In:","ಕೊನೆಯದಾಗಿ ಲಾಗಿನ್ ಆಗಿದ್ದು:"
"Last Logged In (%1):","ಕೊನೆಯದಾಗಿ ಲಾಗಿನ್ ಆಗಿದ್ದು (%1):"
"Account Lock:","ಖಾತೆ ನಿರ್ಬಂಧ:"
"Confirmed email:","ದೃಢೀಕರಿಸಿದ ಮಿಂಚೆ:"
"Account Created:","ಖಾತೆ ರಚನೆಯಾಗಿದೆ:"
"Account Created on (%1):","(%1) ರಂದು ಖಾತೆ ರಚನೆಯಾಗಿದೆ:"
"Account Created in:","ಇಲ್ಲಿ ಖಾತೆ ರಚನೆಯಾಗಿದೆ:"
"Customer Group:","ಗ್ರಾಹಕರ ಗುಂಪು:"
"Default Billing Address","ನಿಯೋಜಿತ ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸ"
"Sales Statistics","ಮಾರಾಟದ ಅಂಕಿಅಂಶಗಳು"
"Web Site","ಜಾಲತಾಣ"
"Store","ಮಳಿಗೆ"
"Store View","ಮಳಿಗೆ ನೋಟ"
"Lifetime Sales","ಆಜೀವ ಪರ್ಯಂತ ಮಾರಾಟ"
"Average Sale","ಸಾಧಾರಣ ಮಾರಾಟ"
"All Store Views","ಎಲ್ಲಾ ಮಳಿಗೆಗಳ ನೋಟಗಳು"
"Change","ಬದಲಾಯಿಸಿ"
"Manage Addresses","ವಿಳಾಸಗಳನ್ನು ನಿರ್ವಹಿಸಿ"
"Default Shipping Address","ನಿಯೋಜಿತ ರವಾನೆ ವಿಳಾಸ"
"Contact Information","ಸಂಪರ್ಕ ಮಾಹಿತಿ"
"Change Password","ಗುಪ್ತಪದವನ್ನು ಬದಲಿಸಿ"
"Newsletters","ಸುದ್ದಿಪತ್ರಿಕೆಗಳು"
"You are subscribed to ""General Subscription"".","You are subscribed to ""General Subscription""."
"or","ಅಥವಾ"
"Default Addresses","ನಿಯೋಜಿತ ವಿಳಾಸಗಳು"
"Change Billing Address","ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸ ಬದಲಿಸಿ"
"You have no default billing address in your address book.","ನಿಮ್ಮ ವಿಳಾಸಪಟ್ಟಿಯಲ್ಲಿ ನಿಯೋಜಿತ ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸವನ್ನು ಹೊಂದಿಲ್ಲ."
"Change Shipping Address","ರವಾನೆ ವಿಳಾಸ ಬದಲಿಸಿ"
"You have no default shipping address in your address book.","ನಿಮ್ಮ ವಿಳಾಸಪಟ್ಟಿಯಲ್ಲಿ ನಿಯೋಜಿತ ರವಾನೆ ವಿಳಾಸವನ್ನು ಹೊಂದಿಲ್ಲ."
"Additional Address Entries","ಹೆಚ್ಚುವರಿ ವಿಳಾಸದ ನಮೂದುಗಳು"
"Delete Address","Delete Address"
"You have no other address entries in your address book.","ನಿಮ್ಮ ವಿಳಾಸಪಟ್ಟಿಯಲ್ಲಿ ಇನ್ಯಾವುದೇ ವಿಳಾಸದ ನಮೂದುಗಳಿಲ್ಲ."
"* Required Fields","* ಅಗತ್ಯವಿರುವ ವಿವರಗಳು"
"Address","ವಿಳಾಸ"
"Street Address","ಬೀದಿ ವಿಳಾಸ"
"Street Address %1","ಬೀದಿ ವಿಳಾಸ %1"
"VAT Number","VAT ಸಂಖ್ಯೆ"
"City","ನಗರ"
"State/Province","ರಾಜ್ಯ"
"Please select a region, state or province.","Please select a region, state or province."
"Zip/Postal Code","ಪಿನ್ ಕೋಡ್"
"Country","ದೇಶ"
"It's a default billing address.","ಇದು ನಿಯೋಜಿತ ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸ."
"Use as my default billing address","ನನ್ನ ನಿಯೋಜಿತ ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸದಂತೆ ಬಳಸಿ"
"It's a default shipping address.","ಇದು ನಿಯೋಜಿತ ರವಾನೆ ವಿಳಾಸ."
"Use as my default shipping address","ನನ್ನ ನಿಯೋಜಿತ ರವಾನೆ ವಿಳಾಸದಂತೆ ಬಳಸಿ"
"Save Address","ವಿಳಾಸವನ್ನು ಉಳಿಸಿ"
"Go back","ಹಿಂದಿರುಗಿ"
"Please enter your email below and we will send you the confirmation link.","ದಯವಿಟ್ಟು ನಿಮ್ಮ ಮಿಂಚೆ ವಿಳಾಸವನ್ನು ಈ ಕೆಳಗೆ ನಮೂದಿಸಿ ಮತ್ತು ನಾವು ದೃಢೀಕರಣದ ಕೊಂಡಿಯನ್ನು ಕಳುಹಿಸುತ್ತೇವೆ."
"Email","ಮಿಂಚೆ"
"Send confirmation link","ದೃಢೀಕರಣದ ಕೊಂಡಿಯನ್ನು ಕಳುಹಿಸಿ"
"Back to Sign In","ಸೈನ್ ಇನ್ ಗೆ ಹಿಂದಿರುಗಿ"
"Change Email","ಮಿಂಚೆ ಬದಲಿಸಿ"
"Change Email and Password","ಮಿಂಚೆ ಮತ್ತು ಗುಪ್ತಪದ ಬದಲಿಸಿ"
"Current Password","ಪ್ರಸ್ತುತ ಗುಪ್ತಪದ"
"New Password","ಹೊಸ ಗುಪ್ತಪದ"
"Password Strength","ಗುಪ್ತಪದದ ಬಲ"
"No Password","ಗುಪ್ತಪದ ಇಲ್ಲ"
"Confirm New Password","ಹೊಸ ಗುಪ್ತಪದವನ್ನು ಖಚಿತಪಡಿಸಿ"
"Save","ಉಳಿಸಿ"
"Please enter your email address below to receive a password reset link.","ಗುಪ್ತಪದ ಮರುಹೊಂದಿಕೆ ಕೊಂಡಿಯನ್ನು ಪಡೆಯಲು ದಯವಿಟ್ಟು ನಿಮ್ಮ ಮಿಂಚೆ ವಿಳಾಸವನ್ನು ನಮೂದಿಸಿ."
"Reset My Password","ನನ್ನ ಗುಪ್ತಪದವನ್ನು ಮರುಹೊಂದಿಸಿ"
"Registered Customers","ನೋಂದಾಯಿತ ಗ್ರಾಹಕರು"
"If you have an account, sign in with your email address.","ನೀವು ಖಾತೆಯನ್ನು ಹೊಂದಿದ್ದಲ್ಲಿ, ನಿಮ್ಮ ಮಿಂಚೆವಿಳಾಸದೊಂದಿಗೆ ಸೈನ್ ಇನ್ ಆಗಿರಿ."
"Password","ಗುಪ್ತಪದ"
"Forgot Your Password?","ನಿಮ್ಮ ಗುಪ್ತಪದ ಮರೆತಿರುವಿರಾ?"
"Subscription option","ಚಂದಾದಾರಿಕೆಯ ಆಯ್ಕೆ"
"General Subscription","ಸಾಮಾನ್ಯ ಚಂದಾದಾರಿಕೆ"
"Sign Up for Newsletter","ಸುದ್ದಿಪತ್ರಿಕೆಗಾಗಿ ಚಂದಾದಾರಾಗಿ"
"Address Information","ವಿಳಾಸ ಮಾಹಿತಿ"
"Sign-in Information","ಸೈನ್ ಇನ್ ಮಾಹಿತಿ"
"Confirm Password","ಗುಪ್ತಪದವನ್ನು ಖಚಿತಪಡಿಸಿ"
"Create an Account","ಖಾತೆಯೊಂದನ್ನು ರಚಿಸಿ"
"Set a New Password","ಹೊಸ ಗುಪ್ತಪದವನ್ನು ಅಳವಡಿಸಿ"
"You have signed out and will go to our homepage in 5 seconds.","ನೀವು ಸೈನ್ ಔಟ್ ಆಗಿದ್ದೀರಿ ಹಾಗು ನಮ್ಮ ಮುಖಪುಟಕ್ಕೆ ಇನ್ನು 5 ಸೆಕೆಂಡುಗಳಲ್ಲಿ ಹಿಂದಿರುಗಲಿದ್ದೀರಿ."
"New Customers","ಹೊಸ ಗ್ರಾಹಕರು"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","ಖಾತೆಯನ್ನು ರಚಿಸುವುದರಿಂದ ಹಲವು ಪ್ರಯೋಜನಗಳಿವೆ: ಕ್ಷಿಪ್ರವಾಗಿ ಚೆಕೌಟ್ ಮಾಡಿ, ಒಂದಕ್ಕಿಂತ ಹೆಚ್ಚು ವಿಳಾಸಗಳನ್ನು ಹೊಂದಿರಿ, ವ್ಯಾಪಾರಾದೇಶಗಳನ್ನು ಅನುಸರಿಸಿ, ಹಾಗೂ ಇನ್ನೂ ಅನೇಕ."
"Company","ಸಂಸ್ಠೆ"
"Fax","ಫ್ಯಾಕ್ಸ್"
"Gender","ಲಿಂಗ"
"Name","ಹೆಸರು"
"Tax/VAT number","Tax/VAT number"
"Phone Number","ದೂರವಾಣಿ ಸಂಖ್ಯೆ"
"Welcome to %store_name","%store_name ಗೆ ಸುಸ್ವಾಗತ"
"%name,","%name,"
"Welcome to %store_name.","%store_name ಗೆ ಸುಸ್ವಾಗತ."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","ನಮ್ಮ ಜಾಲತಾಣಕ್ಕೆ ಸೈನ್ ಇನ್ ಆಗಲು, ಚೆಕೌಟ್ ಆಗುವಾಗ ಅಥವಾ <a href=""%customer_url"">ನನ್ನ ಖಾತೆ</a> ಪುಟದಲ್ಲಿ ಈ ಕ್ರೆಡೆಂಶಿಯಲ್ ಗಳನ್ನು ಬಳಸಿ:"
"Email:","ಮಿಂಚೆ:"
"Password:","ಗುಪ್ತಪದ:"
"Password you set when creating account","ನೀವು ಖಾತೆಯನ್ನು ರಚಿಸಿದಾಗ ನಮೂದಿಸಿದ ಗುಪ್ತಪದ"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","ನಿಮ್ಮ ಖಾತೆಯ ಗುಪ್ತಪದವನ್ನು ಮರೆತಿರುವಿರಾ? ಅದನ್ನು ಮರುನಮೂದಿಸುವುದಕ್ಕಾಗಿ <a href=""%reset_url"">ಇಲ್ಲಿ</a> ಕ್ಲಿಕ್ ಮಾಡಿ."
"When you sign in to your account, you will be able to:","ನೀವು ನಿಮ್ಮ ಖಾತೆಗೆ ಪ್ರವೇಶಿಸಿದಾಗ, ನಿಮಗೆ ಇದೆಲ್ಲವೂ ಸಾಧ್ಯ:"
"Proceed through checkout faster","ಕ್ಷಿಪ್ರ ಚೆಕೌಟ್ ಮೂಲಕ ಮುಂದುವರೆಯಿರಿ"
"Check the status of orders","ವ್ಯಾಪಾರಾದೇಶದ ಸ್ಥಿತಿಯನ್ನು ಪರಿಶೀಲಿಸಿ"
"View past orders","ಹಿಂದಿನ ವ್ಯಾಪಾರಾದೇಶಗಳನ್ನು ವೀಕ್ಷಿಸಿ"
"Store alternative addresses (for shipping to multiple family members and friends)","Store alternative addresses (for shipping to multiple family members and friends)"
"Please confirm your %store_name account","ದಯವಿಟ್ಟು ನಿಮ್ಮ %store_name ಖಾತೆಯನ್ನು ದೃಢೀಕರಿಸಿ"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","You must confirm your %customer_email email before you can sign in (link is only valid once):"
"Confirm Your Account","ನಿಮ್ಮ ಖಾತೆಯನ್ನು ಖಚಿತಪಡಿಸಿ"
"Thank you for confirming your %store_name account.","ನಿಮ್ಮ %store_name ಖಾತೆಯನ್ನು ದೃಢೀಕರಿಸಿದ್ದಕ್ಕಾಗಿ ಧನ್ಯವಾದಗಳು."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:"
"Your %store_name email has been changed","ನಿಮ್ಮ %store_name ಮಿಂಚೆಯು ಬದಲಾಗಿದೆ"
"Hello,","Hello,"
"We have received a request to change the following information associated with your account at %store_name: email.","We have received a request to change the following information associated with your account at %store_name: email."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","or call us at <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Thanks,<br>%store_name"
"Your %store_name email and password has been changed","ನಿಮ್ಮ %store_name ಮಿಂಚೆ ಮತ್ತು ಗುಪ್ತಪದವು ಬದಲಾಗಿದೆ"
"We have received a request to change the following information associated with your account at %store_name: email, password.","%store_name ನಲ್ಲಿ ನಿಮ್ಮ ಖಾತೆಗೆ ಸಂಬಂಧಿಸಿದ ಈ ಕೆಳಗಿನ ಮಾಹಿತಿಯನ್ನು ಬದಲಿಸುವುದಕ್ಕಾಗಿ ನಮಗೆ ವಿನಂತಿ ಬಂದಿದೆ: ಮಿಂಚೆ, ಗುಪ್ತಪದ."
"Reset your %store_name password","ನಿಮ್ಮ %store_name ಗುಪ್ತಪದವನ್ನು ಮರುಹೊಂದಿಸಿ"
"There was recently a request to change the password for your account.","ನಿಮ್ಮ ಖಾತೆಯ ಗುಪ್ತಪದವನ್ನು ಬದಲಿಸಲು ಇತ್ತೀಚೆಗೆ ವಿನಂತಿಸಲಾಗಿದೆ."
"If you requested this change, set a new password here:","ನೀವು ಈ ಬದಲಾವಣೆಯನ್ನು ವಿನಂತಿಸಿದ್ದಲ್ಲಿ, ಹೊಸ ಗುಪ್ತಪದವನ್ನು ಇಲ್ಲಿ ಬದಲಿಸಿ:"
"If you did not make this request, you can ignore this email and your password will remain the same.","ನೀವು ಈ ವಿನಂತಿಯನ್ನು ಮಾಡಿಲ್ಲದೇ ಇದ್ದಲ್ಲಿ, ನೀವು ಈ ಮಿಂಚೆಯನ್ನು ನಿರ್ಲಕ್ಷಿಸಿ ಮತ್ತು ನಿಮ್ಮ ಗುಪ್ತಪದದಲ್ಲಿ ಯಾವುದೇ ಬದಲಾವಣೆ ಇರುವುದಿಲ್ಲ."
"Your %store_name password has been changed","ನಿಮ್ಮ %store_name ಗುಪ್ತಪದವು ಬದಲಾಗಿದೆ"
"We have received a request to change the following information associated with your account at %store_name: password.","%store_name ನಲ್ಲಿ ನಿಮ್ಮ ಖಾತೆಗೆ ಸಂಬಂಧಿಸಿದ ಈ ಕೆಳಗಿನ ಮಾಹಿತಿಯನ್ನು ಬದಲಿಸುವುದಕ್ಕಾಗಿ ನಮಗೆ ವಿನಂತಿ ಬಂದಿದೆ: ಗುಪ್ತಪದ."
"Checkout as a new customer","ಹೊಸ ಗ್ರಾಹಕರಂತೆ ಚೆಕೌಟ್ ಆಗಿ"
"Creating an account has many benefits:","ಖಾತೆ ರಚನೆಯಿಂದ ಹಲವಾರು ಪ್ರಯೋಜನಗಳಿವೆ:"
"See order and shipping status","ವ್ಯಾಪಾರಾದೇಶದ ಮತ್ತು ರವಾನೆಯ ಸ್ಥಿತಿಯನ್ನು ವೀಕ್ಷಿಸಿ"
"Track order history","ವ್ಯಾಪಾರಾದೇಶದ ಚರಿತ್ರೆಯನ್ನು ಅನುಸರಿಸಿ"
"Check out faster","ಕ್ಷಿಪ್ರವಾಗಿ ಚೆಕೌಟ್ ಮಾಡಿ"
"Checkout using your account","ನಿಮ್ಮ ಖಾತೆಯನ್ನು ಬಳಸಿ ಚೆಕೌಟ್ ಮಾಡಿ"
"Email Address","ಮಿಂಚೆ ವಿಳಾಸ"
"Are you sure you want to do this?","ಇದನ್ನು ಮಾಡಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?"
"Are you sure you want to delete this address?","ನೀವು ಈ ವಿಳಾಸವನ್ನು ಅಳಿಸಲು ಬಯಸುವಿರಾ?"
"Weak","ದುರ್ಬಲ"
"Medium","ಸಾಮಾನ್ಯ"
"Strong","ಬಲಶಾಲಿ"
"Very Strong","ಬಹು ಬಲಶಾಲಿ"
"Guest checkout is disabled.","ಅತಿಥಿ ಚೆಕೌಟ್ ನಿಷ್ಕ್ರಿಯವಾಗಿದೆ."
"All Customers","ಎಲ್ಲಾ ಗ್ರಾಹಕರು"
"Now Online","ಇದೀಗ ಆನ್‍ಲೈನ್"
"Customers Section","ಗ್ರಾಹಕರ ವಿಭಾಗ"
"Customer Configuration","ಗ್ರಾಹಕರ ಸಂರಚನೆ"
"Account Sharing Options","ಖಾತೆ ಹಂಚಿಕೆಯ ಆಯ್ಕೆಗಳು"
"Share Customer Accounts","ಗ್ರಾಹಕರ ಖಾತೆಗಳನ್ನು ಹಂಚಿಕೊಳ್ಳಿ"
"Create New Account Options","ಹೊಸ ಖಾತೆ ಆಯ್ಕೆಗಳನ್ನು ರಚಿಸಿ"
"Enable Automatic Assignment to Customer Group","Enable Automatic Assignment to Customer Group"
"Tax Calculation Based On","Tax Calculation Based On"
"Default Group","ನಿಯೋಜಿತ ಗುಂಪು"
"Group for Valid VAT ID - Domestic","Group for Valid VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","Group for Valid VAT ID - Intra-Union"
"Group for Invalid VAT ID","Group for Invalid VAT ID"
"Validation Error Group","Validation Error Group"
"Validate on Each Transaction","ಪ್ರತಿ ವ್ಯವಹಾರವನ್ನೂ ಸಮ್ಮತಿಸಿ"
"Default Value for Disable Automatic Group Changes Based on VAT ID","VAT ID ಯ ಆಧಾರದ ಮೇಲೆ ಸ್ವಯಂಚಾಲಿತ ಗುಂಪು ಬದಲಾವಣೆಯ ನಿಷ್ಕ್ರಿಯತೆಗೆ ನಿಯೋಜಿತ ನಮೂದು"
"Show VAT Number on Storefront","Storefront ನಲ್ಲಿ VAT ಸಂಖ್ಯೆಯನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes."
"Default Email Domain","ನಿಯೋಜಿತ ಮಿಂಚೆ ಡೊಮೈನ್"
"Default Welcome Email","ನಿಯೋಜಿತ ಸ್ವಾಗತ ಮಿಂಚೆ"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Default Welcome Email Without Password","ಗುಪ್ತಪದ ರಹಿತ ನಿಯೋಜಿತ ಸ್ವಾಗತ ಮಿಂಚೆ"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","ಮಿಂಚೆ ರವಾನೆದಾರ"
"Require Emails Confirmation","ಮಿಂಚೆಗಳ ದೃಢೀಕರಣ ಅಗತ್ಯವಿದೆ"
"Confirmation Link Email","ದೃಢೀಕರಣ ಕೊಂಡಿಯ ಮಿಂಚೆ"
"Welcome Email","ಸ್ವಾಗತ ಮಿಂಚೆ"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Password Options","ಗುಪ್ತಪದದ ಆಯ್ಕೆಗಳು"
"Forgot Email Template","ಮರೆತ ಮಿಂಚೆಯ ಮಾದರಿ"
"Remind Email Template","ನೆನಪೋಲೆ ಮಿಂಚೆಯ ಮಾದರಿ"
"Reset Password Template","ಗುಪ್ತಪದ ಮರುಹೊಂದಿಕೆ ಮಾದರಿ"
"Password Template Email Sender","Password Template Email Sender"
"Recovery Link Expiration Period (hours)","Recovery Link Expiration Period (hours)"
"Please enter a number 1 or greater in this field.","ದಯವಿಟ್ಟು 1 ಗಿಂತ ಹೆಚ್ಚಿನ ಅಂಕೆಯನ್ನು ಈ ವಲಯದಲ್ಲಿ ನಮೂದಿಸಿ."
"Number of Required Character Classes","Number of Required Character Classes"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters."
"Minimum Password Length","ಗುಪ್ತಪದದ ಕನಿಷ್ಠ ಉದ್ದ"
"Maximum Login Failures to Lockout Account","Maximum Login Failures to Lockout Account"
"Use 0 to disable account locking.","Use 0 to disable account locking."
"Lockout Time (minutes)","ನಿರ್ಬಂಧದ ಸಮಯ (ನಿಮಿಷಗಳು)"
"Enable Autocomplete on login/forgot password forms","Enable Autocomplete on login/forgot password forms"
"Account Information Options","ಖಾತೆಯ ಮಾಹಿತಿ ಆಯ್ಕೆಗಳು"
"Change Email Template","ಮಿಂಚೆ ಮಾದರಿಯನ್ನು ಬದಲಿಸಿ"
"Change Email and Password Template","ಮಿಂಚೆ ಮತ್ತು ಗುಪ್ತಪದದ ಮಾದರಿ ಬದಲಿಸಿ"
"Name and Address Options","ಹೆಸರು ಮತ್ತು ವಿಳಾಸದ ಆಯ್ಕೆಗಳು"
"Number of Lines in a Street Address","ರಸ್ತೆ ವಿಳಾಸದಲ್ಲಿ ಸಾಲುಗಳ ಸಂಖ್ಯೆ"
"Valid range: 1-4","ಮಾನ್ಯವಾದ ಶ್ರೇಣಿ: 1-4"
"Show Prefix","ಪೂರ್ವಪ್ರತ್ಯಯ ಪ್ರದರ್ಶಿಸಿ"
"The title that goes before name (Mr., Mrs., etc.)","ಹೆಸರಿನ ಮುಂದೆ ಅಳವಡಿಸಲು ಶಿರೋನಾಮೆ (Mr., Mrs., etc.)"
"Prefix Dropdown Options","Prefix Dropdown Options"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Leave empty for open text field."
"Show Middle Name (initial)","ಮಧ್ಯದ ಹೆಸರು (ಇನಿಷಿಯಲ್ಲು) ಅನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Always optional.","ಯಾವಾಗಲೂ ಐಚ್ಛಿಕ."
"Show Suffix","ಅಂತ್ಯಪ್ರತ್ಯಯ ಪ್ರದರ್ಶಿಸಿ"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"Suffix Dropdown Options","Suffix Dropdown Options"
"Show Date of Birth","ಜನ್ಮ ದಿನಾಂಕ ಪ್ರದರ್ಶಿಸಿ"
"Show Tax/VAT Number","Tax/VAT ಸಂಖ್ಯೆ ಪ್ರದರ್ಶಿಸಿ"
"Show Gender","ಲಿಂಗ ಪ್ರದರ್ಶಿಸಿ"
"Show Telephone","ದೂರವಾಣಿ ಪ್ರದರ್ಶಿಸಿ"
"Show Company","ಸಂಸ್ಥೆ ಪ್ರದರ್ಶಿಸಿ"
"Show Fax","ಫ್ಯಾಕ್ಸ್ ಪ್ರದರ್ಶಿಸಿ"
"Login Options","ಲಾಗಿನ ಆಯ್ಕೆಗಳು"
"Redirect Customer to Account Dashboard after Logging in","Redirect Customer to Account Dashboard after Logging in"
"Customer will stay on the current page if ""No"" is selected.","""ಇಲ್ಲ"" ವನ್ನು ಆರಿಸಿದಲ್ಲಿ, ಗ್ರಾಹಕರು ಪ್ರಸ್ತುತ ಪುಟದಲ್ಲೇ ಉಳಿಯುತ್ತಾರೆ."
"Address Templates","ವಿಳಾಸದ ಮಾದರಿಗಳು"
"Online Customers Options","ಆನ್‍ಲೈನ್ ಗ್ರಾಹಕರ ಆಯ್ಕೆಗಳು"
"Online Minutes Interval","Online Minutes Interval"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Customer Data Lifetime","Customer Data Lifetime"
"Please specify value in minutes.","ದಯವಿಟ್ಟು ನಮೂದನ್ನು ನಿಮಿಷಗಳಲ್ಲಿ ಸೂಚಿಸಿ."
"Customer Notification","ಗ್ರಾಹಕರ ನಿರ್ದೇಶಿಕೆ"
"Assign a Customer Group","ಗ್ರಾಹಕರ ಗುಂಪನ್ನು ವಹಿಸಿ"
"Are you sure to assign selected customers to new group?","ನೀವು ಆರಿಸಿದ ಗ್ರಾಹಕರನ್ನು ಹೊಸ ಗುಂಪಿಗೆ ಸೇರಿಸಲು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?"
"Customer Grid","ಗ್ರಾಹಕರ ಗ್ರಿಡ್"
"Rebuild Customer grid index","Rebuild Customer grid index"
"Group","ಗುಂಪು"
"Add New Customer","ಹೊಸ ಗ್ರಾಹಕರನ್ನು ಸೇರಿಸಿ"
"Are you sure to delete selected customers?","Are you sure to delete selected customers?"
"Delete items","ವಸ್ತುಗಳನ್ನು ಅಳಿಸಿ"
"Subscribe to Newsletter","ಸುದ್ದಿಪತ್ರಿಕೆಗೆ ಚಂದಾದಾರರಾಗಿ"
"Are you sure to unsubscribe selected customers from newsletter?","Are you sure to unsubscribe selected customers from newsletter?"
"Unsubscribe from Newsletter","ಸುದ್ದಿಪತ್ರಿಕೆಯ ಚಂದಾದಾರಿಕೆಯಿಂದ ಹೊರಬನ್ನಿ"
"Phone","ದೂರವಾಣಿ"
"ZIP","ಪಿನ್ ಕೋಡ್"
"Customer Since","ರಿಂದ ಗ್ರಾಹಕ"
"Confirmed email","ಖಚಿತಪಡಿಸಿದ ಮಿಂಚೆ"
"Account Created in","ಇಲ್ಲಿ ಖಾತೆ ರಚನೆಯಾಗಿದೆ"
"Tax VAT Number","Tax VAT ಸಂಖ್ಯೆ"
"Billing Firstname","ಬಿಲ್ಲಿಂಗ್ ಮೊದಲ ಹೆಸರು"
"Billing Lastname","ಬಿಲ್ಲಿಂಗ್ ಕೊನೆಯ ಹೆಸರು"
"Account Lock","ಖಾತೆ ನಿರ್ಬಂಧಿಸಿ"
"First Name","ಮೊದಲ ಹೆಸರು"
"Last Name","ಕೊನೆಯ ಹೆಸರು"
"Last Activity","ಕೊನೆಯ ಚಟುವಟಿಕೆ"
"Type","ವಿಧ"
"Customer Information","ಗ್ರಾಹಕರ ಮಾಹಿತಿ"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site."
"Disable Automatic Group Change Based on VAT ID","VAT ID ಯ ಆಧಾರದ ಮೇಲೆ ಸ್ವಯಂಚಾಲಿತ ಗುಂಪು ಬದಲಾವಣೆಯನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ"
"Send Welcome Email From","ಇದರಿಂದ ಸ್ವಾಗತ ಮಿಂಚೆ ಕಳುಹಿಸಿ"
"Are you sure you want to delete this item?","Are you sure you want to delete this item?"
"Addresses","ವಿಳಾಸಗಳು"
"Account Dashboard","Account Dashboard"
"Edit Account Information","ಖಾತೆಯ ಮಾಹಿತಿಯನ್ನು ಸಂಪಾದಿಸಿ"
"Password forgotten","ಮರೆತ ಗುಪ್ತಪದ"
"My Dashboard","My Dashboard"
"You are signed out","ನೀವು ಸೈನ್ ಔಟ್ ಆಗಿದ್ದೀರಿ"
"You subscribe to our newsletter.","You subscribe to our newsletter."
"You don't subscribe to our newsletter.","You don't subscribe to our newsletter."
"Maximum length must be less then %1 symbols","Maximum length must be less then %1 symbols"
"Invalid input","Invalid input"
"Confirm your new password.","Confirm your new password."
"Something went wrong while changing the password.","Something went wrong while changing the password."
"Please enter the first name.","Please enter the first name."
"Please enter the last name.","Please enter the last name."
"Please enter the street.","Please enter the street."
