"Sign Out","Logga ut"
"Password Template Email Sender","Password Template Email Sender"
"Recovery Link Expiration Period (hours)","Recovery länk förfallotid (timmar)"
"Please enter a number 1 or greater in this field.","Skriv in ett nummer 1 eller större i detta fält."
"Number of Required Character Classes","Number of Required Character Classes"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters."
"Minimum Password Length","Minimum Password Length"
"Maximum Login Failures to Lockout Account","Maximum Login Failures to Lockout Account"
"Use 0 to disable account locking.","Use 0 to disable account locking."
"Lockout Time (minutes)","Lockout Time (minutes)"
"Account will be unlocked after provided time.","Account will be unlocked after provided time."
"Enable Autocomplete on login/forgot password forms","Enable Autocomplete on login/forgot password forms"
"Account Information Options","Account Information Options"
"Change Email Template","Change Email Template"
"Change Email and Password Template","Change Email and Password Template"
"Name and Address Options","Namn och adressalternativ"
"Number of Lines in a Street Address","Antal Rader i en Gatuadress"
"Valid range: 1-4","Valid range: 1-4"
"Show Prefix","Visa prefix"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"Prefix Dropdown Options","Prefix Dropdown Options"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Leave empty for open text field."
"Show Middle Name (initial)","Show Middle Name (initial)"
"Always optional.","Always optional."
"Show Suffix","Visa suffix"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"Suffix Dropdown Options","Suffix Dropdown Options"
"Show Date of Birth","Visa födelsedag"
"Show Tax/VAT Number","Visa momsregistreringsnummer"
"Show Gender","Visa kön"
"Show Telephone","Visa telefon"
"Show Company","Visa företag"
"Show Fax","Visa fax"
"Login Options","Inloggningsalternativ"
"Redirect Customer to Account Dashboard after Logging in","Dirigera kunden till kontoöversikten efter inloggning"
"Customer will stay on the current page if ""No"" is selected.","Customer will stay on the current page if ""No"" is selected."
"Address Templates","Adressmallar"
"Text","Text"
"Text One Line","Text One Line"
"HTML","HTML"
"PDF","PDF"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Customer Data Lifetime","Customer Data Lifetime"
"Please specify value in minutes.","Please specify value in minutes."
"Customer Notification","Customer Notification"
"Assign a Customer Group","Tilldela en kundgrupp"
"Are you sure to assign selected customers to new group?","Are you sure to assign selected customers to new group?"
"Customer Grid","Customer Grid"
"Rebuild Customer grid index","Rebuild Customer grid index"
"Update Address","Update Address"
"Name Prefix","Name Prefix"
"Name Suffix","Name Suffix"
"Middle Name/Initial","Mellannamn/Initial"
"State/Province","Län"
"VAT Number","VAT-nummer"
"Are you sure to delete selected address?","Are you sure to delete selected address?"
"Delete items","Ta bort objekt"
"Group","Grupp"
"Add New Customer","Lägg till ny kund"
"Are you sure you want to delete the selected customers?","Are you sure you want to delete the selected customers?"
"Subscribe to Newsletter","Prenumerera på Nyhetsbrev"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","Are you sure you want to unsubscribe the selected customers from the newsletter?"
"Unsubscribe from Newsletter","Avregistrera från Nyhetsbrev"
"ZIP","Postnummer"
"Customer Since","Kund sedan"
"Confirmed email","Bekräftad e-post"
"Account Created in","Konto skapat i"
"Tax VAT Number","Momsregistreringsnummer"
"Gender","Kön"
"Billing Firstname","Fakturering förnamn"
"Billing Lastname","Fakturering efternamn"
"Account Lock","Kontolås"
"Last Activity","Senaste aktivitet"
"Type","Typ"
"Customer Information","Kundinformation"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site."
"Disable Automatic Group Change Based on VAT ID","Disable Automatic Group Change Based on VAT ID"
"Send Welcome Email From","Skicka välkomstmail från"
"Addresses","Adresser"
"The customer does not have default billing address","The customer does not have default billing address"
"The customer does not have default shipping address","The customer does not have default shipping address"
"Add/Update Address","Add/Update Address"
"Edit Account Information","Redigera kontoinformation"
"Password forgotten","Glömt lösenord"
"You are signed out","Du är utloggad"
