"Sign Out","Изход"
"Address Templates","Шаблони на адрес"
"Online Customers Options","Опции за онлайн клиенти"
"Online Minutes Interval","Минути от онлайн интервали"
"Leave empty for default (15 minutes).","Остави празно по подразбиране (15 минути)."
"Customer Data Lifetime","Период на валидност на клиентските данни"
"Please specify value in minutes.","Задайте стойност в минути."
"Customer Notification","Клиентски известия"
"Assign a Customer Group","Присвояване на група клиенти"
"Are you sure to assign selected customers to new group?","Сигурни ли сте, че искате да добавите избраните клиенти към нова група?"
"Customer Grid","Клиентска мрежа"
"Rebuild Customer grid index","Възстанови индекса на клиентската мрежа"
"Group","Група"
"Add New Customer","Добавяне на нов клиент"
"Are you sure to delete selected customers?","Сигурни ли сте, че искате да изтриете избраните потребители?"
"Delete items","Изтрий артикулите"
"Subscribe to Newsletter","Записан за бюлетин"
"Are you sure to unsubscribe selected customers from newsletter?","Сигурни ли сте, че искате да отпишете избраните клиенти от бюлетина?"
"Unsubscribe from Newsletter","Отписване от бюлетина"
"Phone","Телефон"
"ZIP","Пощенски код"
"Customer Since","Клиенти от"
"Confirmed email","Потвърден имейл"
"Account Created in","Регистриран на"
"Tax VAT Number","Данъчен номер по ДДС"
"Billing Firstname","Име за фактуриране"
"Billing Lastname","Фамилия за фактуриране"
"Account Lock","Заключване на профил"
"First Name","Име"
"Last Name","Фамилия"
"Last Activity","Последна активност"
"Type","Тип"
"Customer Information","Информация за клиента"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","Ако вашата Magento инсталация има множество уеб сайтове, можете да редактирате обхвата и да свържете клиента с определен сайт."
"Disable Automatic Group Change Based on VAT ID","Забраняване на автоматичната промяна на група на база на ДДС Идентификатор"
"Send Welcome Email From","Изпрати имейл за Добре дошли"
"Are you sure you want to delete this item?","Сигурни ли сте, че искате да изтриете артикула?"
"Addresses","Адреси"
"Account Dashboard","Табло за управление на профила"
"Edit Account Information","Редактиране на информация за акаунта"
"Password forgotten","Забравена парола"
"My Dashboard","Моето табло"
"You are signed out","Излязохте от профила си"
"You subscribe to our newsletter.","Вие се записахте за нашия бюлетин."
"You don't subscribe to our newsletter.","Не се абонирате за нашия бюлетин."
"Maximum length must be less then %1 symbols","Максимална дължина трябва да бъде по-малко от %1 символи"
"Invalid input","Невалидна стойност"
"Confirm your new password.","Потвърдете Вашата нова парола."
"Something went wrong while changing the password.","Нещо се обърка при смяна на паролата."
"Please enter the first name.","Моля, въведете първото име."
"Please enter the last name.","Моля въведете фамилното име."
"Please enter the street.","Моля въведете улица."
"Please enter the city.","Моля въведете град."
"Please enter the phone number.","Моля, въведете телефон."
"Please enter the zip/postal code.","Моля въведете пощенски код."
"Please enter the country.","Моля въведете държава."
"Please enter a first name.","Моля, въведете име."
"Please enter a last name.","Въведете фамилно име."
"Please correct this email address: ""%1"".","Коригирайте този имейл адрес: ""%1""."
"Please enter a date of birth.","Моля, въведете дата на раждане."
"Please enter a TAX/VAT number.","Моля въведете стойност/ДДС номер."
"Please enter a gender.","Моля въведете пол."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' прилича на DNS хост име, но не можем да съчетаем TLD  с неизвестен списък."
"You subscribe to ""General Subscription"".","Вие се абонирахте за ""Основен бюлетин""."
"Submit","Изпрати"
"Login","Вход"
"The password for your account has been successfully changed.","Паролата за вашия акаунт е променена успешно."
"If you did not request this change, please contact us.","Ако не поискате тази промяна, моля свържете се с нас."
"Checkout out as a new customer","Приключи поръчката като нов клиент"
"Create Account","Създай профил"
"Checkout out using your account","Приключете поръчката през вашия акаунт"
"Recovery Link Expiration Period (days)","Линк за възстановяване на период на изтичане (дни)"
"Leave empty for default (2). Valid range: 1-4","Оставете празно за по подразбиране (2). Валиден диапазон: 1-4"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Стойности, разделени с точка и запетая (;). <br/> Поставя се точка и запетая в началото за празна първата опция. <br/> Оставя се празно в отворено текстово поле."
"Last Logged In","Последно влизане"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Ако вашият Магенто сайт има няколко вариант на изглед, можете да зададете обсега на определен изглед."
"You are signed out.","Излязохте от профила си."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2.","Невалидна стойност на ""%value"" за полето %fieldName. Възможни стойности: %template1 или %template2."
"Could not authenticate. Please try again later","Не може да се удостовери. Опитайте по късно"
"Page not found","Страницата не е намерена"
"Account will be unlocked after provided time.","Профилът ще бъде отключен след посоченото време."
"Text","Текст"
"Text One Line","Текст Един Ред"
"HTML","HTML"
"PDF","PDF"
"The account is locked. Please wait and try again or contact %1.","Профилът е заключен. Моля изчакайте и опитайте отново или се свържете с %1."
"Provided Zip/Postal Code seems to be invalid.","Вписаният пощенски код не е валиден."
" Example: "," Пример: "
"If you believe it is the right one you can ignore this notice.","Ако смятате, че това е правилното можете да игнорирате тази бележка."
"Invalid Form Key. Please refresh the page.","Невалиден ключ. Моля обновете страницата."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Входните данни за акаунта са неправилни или профилът е блокиран временно. Изчакайте и опитайте отново по-късно."
"The password doesn't match this account. Verify the password and try again.","Паролата не съвпада с този профил. Проверете паролата и опитайте отново."
"The email address is incorrect. Verify the email address and try again.","Имейл адресът е невалиден. Проверете имейл адреса и опитайте отново."
"The customer ID isn't defined.","Няма дефинирано ИД на клиента."
"The quote items are incorrect. Verify the quote items and try again.","Квотните единици са некоректни. Проверете и опитайте пак."
"The ""%1"" section source isn't supported.","Източникът за секция ""%1"" не се поддържа."
"Confirmation isn't needed.","Потвърждение не е необходимо."
"The account is already active.","Потребителския профил вече е активен."
"The confirmation token is invalid. Verify the token and try again.","Потвърждаващия ""жетон"" е невалиден. Проверете ""жетона"" и опитайте пак."
"This account isn't confirmed. Verify and try again.","Този профил не е потвърден. Проверете и опитайте пак."
"The password needs at least %1 characters. Create a new password and try again.","Паролата се нуждае от поне %1 знака. Създайте нова парола и опитайте отново."
"The password can't begin or end with a space. Verify the password and try again.","Паролата не може да започва или завършва с интервал. Проверете паролата и опитайте отново."
"The password can't be the same as the email address. Create a new password and try again.","Паролата и Email адресът не трябва да са еднакви. Създайте нова парола и опитайте отново."
"The store view is not in the associated website.","Витрината на Магазина не съществува в асоциирания сайт."
"A customer with the same email address already exists in an associated website.","Клиент със същия имейл вече съществува в асоцииран уебсайт."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" е задължително. Въведете и опитайте пак."
"The password token is mismatched. Reset and try again.","Тази парола е невалидна. Генерирайте нова парола и опитайте отново."
"The password token is expired. Reset and try again.","""Жетонът"" на паролата е изтекъл. Генерирайте отново и опитайте пак."
"The transactional account email type is incorrect. Verify and try again.","Имейлът за транзакционния профил е некоректен. Проверете и оитайте пак."
"A valid password reset token is missing. Enter and try again.","Липсва валиден ""жетон"" за подновяване на парола. Въведете и опитайте пак."
"The customer email is missing. Enter and try again.","Липсва имейл на клиента. Въведете и опитайте отново."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","Не е посочен ID на клиентския сайт. Този ID трябва да се посочи, за да се използва обхвата за сайт."
"""regionId"" is required. Enter and try again.","""regionId"" е задължително. Въведете и опитайте отново."
"Delete %1","Изтрий %1"
"Are you sure you want to delete a %1 record?","Сигурни ли сте, че искате да изтриете запис за %1?"
"Customer not logged in","Клиентът не е влязъл"
"There is no address id in setting default billing address.","Няма Id на адрес при въвеждане на адрес за фактуриране."
"Default billing address has been changed.","Стандартният адрес за фактуриране е променен."
"We can't change default billing address right now.","В момента не може да се промени стандартният адрес за фактуриране."
"There is no address id in setting default shipping address.","Няма Id на адрес при въвеждане на адрес за фактуриране."
"Default shipping address has been changed.","Стандартният адрес за доставка е променен."
"We can't change default shipping address right now.","В момента не може да се промени стандартният адрес за доставка."
"A total of %1 record(s) have been deleted.","Общо %1 записи са били изтрити."
"There is no such address entity to delete.","Не съществува такъв адрес за изтриване."
"We can't mass delete the addresses right now.","В момента не можем да изтрием пакетно адресите."
"Customer address has been updated.","Адреса на клиента и променен."
"New customer address has been added.","Добавен е нов клиентски адрес."
"There is no customer with such id.","Не съществува клиент с този ID."
"We can't change customer address right now.","Не може да се промени клинетския адрес в момента."
"Street","Улица"
"Set as default billing","Задаване на стадартен начин на плащане"
"Set address as default billing","Направи адреса основен за плащане"
"Are you sure you want to set the address as default billing address?","Сигурни ли сте, че желаете да зададете адреса, като стандартен адрес за фактуриране?"
"Set as default shipping","Задаване като стандартна доставка"
"Set address as default shipping","Задаване адреса като основен за доставка"
"Are you sure you want to set the address as default shipping address?","Сигурни ли сте, че желаете да зададете адреса, като стандартен адрес за доставка?"
"Delete address","Изтриване на адрес"
"Are you sure you want to delete the address?","Наистина ли искате да изтриете този адрес?"
"Additional addresses","Допълнителни адресни записи"
"State","Щат"
"Actions","Действия"
"Sorry, there has been an error processing your request. Please try again later.","За съжаление, е имало грешка при обработката на заявката Ви. Моля, опитайте отново по-късно."
"Reset password","Възстановяване на парола"
"Invalidate tokens","Анулиране на ""жетони"""
"Update Address","Промени адрес"
"Name Prefix","Представка на Име"
"Name Suffix","Надставка след име"
"Middle Name/Initial","Бащино име/първоначално"
"Are you sure to delete selected address?","Сигурни ли сте, че искате да изтриете избрания адрес?"
"Are you sure you want to delete the selected customers?","Сигурни ли сте, че искате да изтриете избраните клиенти?"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","Сигурни ли сте, че искате да отпишете избраните клиенти от бюлетина?"
"The customer does not have default billing address","Клиента няма зададен адрес за фактуриране по подразбиране"
"The customer does not have default shipping address","Липсва зададен адрес за доставка по подразбиране"
