"Sign Out","સાઇન આઉટ કરો"
"Save Address","સરનામું સાચવો"
"Go back","પાછા જાવ"
"Please enter your email below and we will send you the confirmation link.","કૃપા કરીને તમારું ઇમેઇલ નીચે દાખલ કરો અને અમે તમને પુષ્ટિકરણ લિંક મોકલીશું."
"Email","ઇમેઇલ"
"Send confirmation link","પુષ્ટિકરણ લિંક મોકલો"
"Back to Sign In","પાછા સાઇન ઇન કરો"
"Change Email","ઈ - મેઈલ બદલો"
"Change Email and Password","ઇમેઇલ અને પાસવર્ડ બદલો"
"Current Password","અત્યારનો પાસવર્ડ"
"New Password","નવો પાસવર્ડ"
"Password Strength","પાસવર્ડ સશક્તતા"
"No Password","કોઈ પાસવર્ડ નથી"
"Confirm New Password","નવાપાસવર્ડની પુષ્ટી કરો"
"Save","સાચવો"
"Please enter your email address below to receive a password reset link.","પાસવર્ડ ફરીથી સેટ કરો લિંક પ્રાપ્ત કરવા માટે કૃપા કરીને તમારું ઇમેઇલ સરનામું દાખલ કરો."
"Reset My Password","મારો પાસવર્ડ રીસેટ"
"Registered Customers","રજિસ્ટર્ડ ગ્રાહકો"
"If you have an account, sign in with your email address.","જો તમારી પાસે કોઈ એકાઉન્ટ છે, તો તમારા ઇમેઇલ સરનામાંથી સાઇન ઇન કરો."
"Password","પાસવર્ડ"
"Forgot Your Password?","તમારો પાસવર્ડ ભૂલી ગયા છો?"
"Subscription option","ઉમેદવારી વિકલ્પ"
"General Subscription","સામાન્ય સબ્સ્ક્રિપ્શન"
"Sign Up for Newsletter","સમાચાર પત્ર માટે સ્વીકૃતિ આપો"
"Address Information","સરનામાંની માહિતી"
"Sign-in Information","સાઇન-ઇન માહિતી"
"Confirm Password","પાસવર્ડની પુષ્ટિ કરો"
"Create an Account","એક ખાતુ બનાવો"
"Set a New Password","નવો પાસવર્ડ સેટ કરો"
"You have signed out and will go to our homepage in 5 seconds.","તમે સાઇન આઉટ કર્યું છે અને 5 સેકંડમાં અમારા હોમપેજ પર જશો."
"New Customers","નવા ગ્રાહકો"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","એકાઉન્ટ બનાવવું એ ઘણા ફાયદા છે: ઝડપી તપાસો, એક કરતાં વધુ સરનામાં રાખો, ઑર્ડરને ટ્રૅક કરો અને વધુ."
"Company","કંપની"
"Fax","ફેક્સ"
"Gender","જાતિ"
"Name","નામ"
"Tax/VAT number","કર / વેટ નંબર"
"Phone Number","ફોન નંબર"
"Welcome to %store_name","%store_name માં આપનું સ્વાગત છે"
"%name,","%name,"
"Welcome to %store_name.","%store_name માં આપનું સ્વાગત છે."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","અમારી સાઇટ પર સાઇન ઇન કરવા માટે, ચેકઆઉટ દરમિયાન અથવા <a href=""%customer_url""> મારું એકાઉન્ટ </a> પૃષ્ઠ પર આ ઓળખપત્રોનો ઉપયોગ કરો:"
"Email:","ઇમેઇલ:"
"Password:","પાસવર્ડ:"
"Password you set when creating account","એકાઉન્ટ બનાવતી વખતે તમે સેટ કરેલ પાસવર્ડ"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","તમારું ખાતું પાસવર્ડ ભૂલી ગયો? તેને ફરીથી સેટ કરવા માટે <a href=""%reset_url""> અહીં </a> ક્લિક કરો."
"When you sign in to your account, you will be able to:","જ્યારે તમે તમારા એકાઉન્ટમાં સાઇન ઇન કરો છો, ત્યારે તમે આ કરી શકશો:"
"Proceed through checkout faster","ઝડપી ચેકઆઉટ દ્વારા આગળ વધો"
"Check the status of orders","ઓર્ડરની સ્થિતિ તપાસો"
"View past orders","ભૂતકાળના આદેશો જુઓ"
"Store alternative addresses (for shipping to multiple family members and friends)","વૈકલ્પિક સરનામાંઓ સ્ટોર કરો (બહુવિધ કૌટુંબિક સભ્યો અને મિત્રોને શિપિંગ માટે)"
"Please confirm your %store_name account","કૃપા કરીને તમારા %store_name એકાઉન્ટની પુષ્ટિ કરો"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","તમે સાઇન ઇન કરી શકો તે પહેલાં તમારે તમારા %customer_email ઇમેઇલની પુષ્ટિ કરવી આવશ્યક છે (લિંક ફક્ત એકવાર માન્ય છે):"
"Confirm Your Account","તમારા એકાઉન્ટની પુષ્ટિ કરો"
"Thank you for confirming your %store_name account.","તમારા %store_name ખાતાની ખાતરી કરવા બદલ આભાર."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","અમારી સાઇટ પર સાઇન ઇન કરવા અને પાસવર્ડ સેટ કરવા માટે, <a href=""%create_password_url""> લિંક </a> પર ક્લિક કરો:"
"Your %store_name email has been changed","તમારું %store_name ઇમેઇલ બદલવામાં આવ્યું છે"
"Hello,","હેલો,"
"We have received a request to change the following information associated with your account at %store_name: email.","અમને તમારા એકાઉન્ટ સાથે સંકળાયેલ નીચેની માહિતી %store_name: ઇમેઇલ પર બદલવાની વિનંતી પ્રાપ્ત થઈ છે."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","જો તમે આ ક્રિયાને અધિકૃત કરી નથી, તો કૃપા કરીને <a href=""mailto:%store_email"">%store_email </a> પર તરત જ અમારો સંપર્ક કરો."
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","અથવા અમને <a href=""tel:%store_phone"">%store_phone </a> પર કૉલ કરો"
"Thanks,<br>%store_name","આભાર, <br>%store_name"
"Your %store_name email and password has been changed","તમારું %store_name ઇમેઇલ અને પાસવર્ડ બદલવામાં આવ્યું છે"
"We have received a request to change the following information associated with your account at %store_name: email, password.","અમને તમારા એકાઉન્ટ સાથે સંકળાયેલ નીચેની માહિતી %store_name: ઇમેઇલ, પાસવર્ડ પર બદલવાની વિનંતી પ્રાપ્ત થઈ છે."
"Reset your %store_name password","તમારા %store_name પાસવર્ડને ફરીથી સેટ કરો"
"There was recently a request to change the password for your account.","તાજેતરમાં તમારા એકાઉન્ટ માટે પાસવર્ડ બદલવાની વિનંતી કરવામાં આવી હતી."
"If you requested this change, set a new password here:","જો તમે આ ફેરફારની વિનંતી કરી છે, તો અહીં એક નવો પાસવર્ડ સેટ કરો:"
"If you did not make this request, you can ignore this email and your password will remain the same.","જો તમે આ વિનંતી કરી નથી, તો તમે આ ઇમેઇલને અવગણી શકો છો અને તમારો પાસવર્ડ જ રહેશે."
"Your %store_name password has been changed","તમારો %store_name પાસવર્ડ બદલવામાં આવ્યો છે"
"We have received a request to change the following information associated with your account at %store_name: password.","અમને તમારા એકાઉન્ટ સાથે સંકળાયેલ નીચેની માહિતી %store_name: password પર બદલવાની વિનંતી પ્રાપ્ત થઈ છે."
"Checkout as a new customer","નવા ગ્રાહક તરીકે ચેકઆઉટ"
"Creating an account has many benefits:","એકાઉન્ટ બનાવવું એ ઘણા ફાયદા છે:"
"See order and shipping status","ઓર્ડર અને શિપિંગ સ્થિતિ જુઓ"
"Track order history","ટ્રેક ઓર્ડર ઇતિહાસ"
"Check out faster","ઝડપી તપાસો"
"Checkout using your account","તમારા એકાઉન્ટનો ઉપયોગ કરીને Checkout"
"Email Address","ઈ - મેઈલ સરનામું"
"Are you sure you want to do this?","શું તમે ખરેખર આ કરવા માંગો છો?"
"Are you sure you want to delete this address?","શું તમે ખરેખર આ સરનામું કાઢી નાખવા માંગો છો?"
"Weak","નબળું"
"Medium","મધ્યમ"
"Strong","મજબૂત"
"Very Strong","એકદમ મજબુત"
"Guest checkout is disabled.","અતિથિ ચેકઆઉટ અક્ષમ છે."
"All Customers","બધા ગ્રાહકો"
"Now Online","હવે ઑનલાઇન"
"Customers Section","ગ્રાહકો વિભાગ"
"Customer Configuration","ગ્રાહક રૂપરેખાંકન"
"Account Sharing Options","એકાઉન્ટ શેરિંગ વિકલ્પો"
"Share Customer Accounts","ગ્રાહક એકાઉન્ટ્સ શેર કરો"
"Create New Account Options","નવું ખાતું વિકલ્પો બનાવો"
"Enable Automatic Assignment to Customer Group","ગ્રાહક જૂથમાં સ્વચાલિત સોંપણી સક્ષમ કરો"
"Tax Calculation Based On","કર આધારિત ગણતરી"
"Default Group","ડિફોલ્ટ ગ્રુપ"
"Group for Valid VAT ID - Domestic","માન્ય વેટ ID માટે જૂથ - ઘરેલું"
"Group for Valid VAT ID - Intra-Union","માન્ય વેટ આઈડી માટે જૂથ - ઇન્ટ્રા-યુનિયન"
"Group for Invalid VAT ID","અમાન્ય VAT ID માટે જૂથ"
"Validation Error Group","માન્યતા ભૂલ જૂથ"
"Validate on Each Transaction","દરેક ટ્રાંઝેક્શન પર માન્ય કરો"
"Default Value for Disable Automatic Group Changes Based on VAT ID","VAT ID પર આધારીત સ્વચાલિત જૂથ પરિવર્તનોને અક્ષમ કરવા માટેનું ડિફૉલ્ટ મૂલ્ય"
"Show VAT Number on Storefront","Storefront પર VAT નંબર બતાવો"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","સ્ટોરફ્રન્ટ પર VAT નંબર બતાવવા માટે, સ્ટોરફ્રન્ટ વિકલ્પ પર VAT પર નંબર બતાવો પર સેટ કરો."
"Default Email Domain","ડિફૉલ્ટ ઇમેઇલ ડોમેન"
"Default Welcome Email","મૂળભૂત સ્વાગત ઇમેઇલ"
"Email template chosen based on theme fallback when ""Default"" option is selected.","જ્યારે ""ડિફૉલ્ટ"" વિકલ્પ પસંદ કરવામાં આવે ત્યારે થીમ ફૉલબેક પર આધારિત ઇમેઇલ નમૂનો પસંદ કરે છે."
"Default Welcome Email Without Password","પાસવર્ડ વિના મૂળભૂત સ્વાગત ઇમેઇલ"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","જો ગ્રાહક પાસવર્ડ વિના બનાવવામાં આવ્યો હોય, તો આ ઇમેઇલ ડિફૉલ્ટ સ્વાગત ઇમેઇલની જગ્યાએ મોકલવામાં આવશે. <br /> <br />
                        જ્યારે ""ડિફૉલ્ટ"" વિકલ્પ પસંદ કરવામાં આવે ત્યારે થીમ ફૉલબેક પર આધારિત ઇમેઇલ નમૂનો પસંદ કરે છે."
"Email Sender","ઇમેઇલ પ્રેષક"
"Require Emails Confirmation","ઇમેઇલ પુષ્ટિ જરૂરી છે"
"Confirmation Link Email","પુષ્ટિ લિંક ઇમેઇલ"
"Welcome Email","સ્વાગત ઇમેઇલ"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","એકાઉન્ટ પુષ્ટિ પછી, આ ઇમેઇલ ડિફૉલ્ટ સ્વાગત ઇમેઇલની જગ્યાએ મોકલવામાં આવશે. <br /> <br />
                        જ્યારે ""ડિફૉલ્ટ"" વિકલ્પ પસંદ કરવામાં આવે ત્યારે થીમ ફૉલબેક પર આધારિત ઇમેઇલ નમૂનો પસંદ કરે છે."
"Generate Human-Friendly Customer ID","માનવ-મૈત્રીપૂર્ણ ગ્રાહક ID જનરેટ કરો"
"Password Options","પાસવર્ડ વિકલ્પો"
"Forgot Email Template","ઇમેઇલ ઢાંચો ભૂલી ગયા છો"
"Remind Email Template","ઇમેઇલ ઢાંચો રીમાઇન્ડ"
"Reset Password Template","પાસવર્ડ ઢાંચો ફરીથી સેટ કરો"
"Password Template Email Sender","પાસવર્ડ ઢાંચો ઇમેઇલ પ્રેષક"
"Recovery Link Expiration Period (hours)","પુનઃપ્રાપ્તિ લિંક સમાપ્તિ સમયગાળો (કલાકો)"
"Please enter a number 1 or greater in this field.","કૃપા કરીને આ ક્ષેત્રમાં કોઈ સંખ્યા 1 અથવા વધુ દાખલ કરો."
"Number of Required Character Classes","આવશ્યક કેરેક્ટર વર્ગોની સંખ્યા"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","પાસવર્ડમાં જરૂરી વિવિધ પાત્ર વર્ગોની સંખ્યા: લોઅરકેસ, અપરકેસ, ડિજિટ્સ, વિશિષ્ટ અક્ષરો."
"Minimum Password Length","ન્યૂનતમ પાસવર્ડ લંબાઈ"
"Maximum Login Failures to Lockout Account","લૉકઆઉટ એકાઉન્ટમાં મહત્તમ લૉગિન નિષ્ફળતા"
"Use 0 to disable account locking.","એકાઉન્ટ લૉકિંગને અક્ષમ કરવા માટે 0 નો ઉપયોગ કરો."
"Lockout Time (minutes)","લોકઆઉટ સમય (મિનિટ)"
"Enable Autocomplete on login/forgot password forms","લૉગિન પર સ્વતઃપૂર્ણ સક્ષમ કરો / પાસવર્ડ સ્વરૂપો ભૂલી ગયા છો"
"Account Information Options","એકાઉન્ટ માહિતી વિકલ્પો"
"Change Email Template","ઇમેઇલ ઢાંચો બદલો"
"Change Email and Password Template","ઇમેઇલ અને પાસવર્ડ ઢાંચો બદલો"
"Name and Address Options","નામ અને સરનામું વિકલ્પો"
"Number of Lines in a Street Address","શેરી સરનામાંમાં લાઇન્સની સંખ્યા"
"Valid range: 1-4","માન્ય શ્રેણી: 1-4"
"Show Prefix","ઉપસર્ગ બતાવો"
"The title that goes before name (Mr., Mrs., etc.)","નામ જે પહેલાં જાય છે (શ્રી, શ્રીમતી, વગેરે)"
"Prefix Dropdown Options","ઉપસર્ગ ડ્રોપડાઉન વિકલ્પો"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","અર્ધવિરામ (;) અલગ મૂલ્યો. <br/> ખુલ્લા ટેક્સ્ટ ફીલ્ડ માટે ખાલી છોડો."
"Show Middle Name (initial)","મધ્ય નામ બતાવો (પ્રારંભિક)"
"Always optional.","હંમેશા વૈકલ્પિક."
"Show Suffix","ઉપસર્ગ બતાવો"
"The suffix that goes after name (Jr., Sr., etc.)","ઉપસર્ગ જે નામ પછી જાય છે (જુનિયર, અધ્યક્ષ, વગેરે)"
"Suffix Dropdown Options","Suffix નીચે આવતા વિકલ્પો"
"Show Date of Birth","જન્મ તારીખ બતાવો"
"Show Tax/VAT Number","કર / વેટ નંબર બતાવો"
"Show Gender","જાતિ બતાવો"
"Show Telephone","ટેલિફોન બતાવો"
"Show Company","કંપની બતાવો"
"Show Fax","ફેક્સ બતાવો"
"Login Options","લૉગિન વિકલ્પો"
"Redirect Customer to Account Dashboard after Logging in","લોગ ઇન કર્યા પછી ગ્રાહકને એકાઉન્ટ ડેશબોર્ડ પર રીડાયરેક્ટ કરો"
"Customer will stay on the current page if ""No"" is selected.","જો ""ના"" પસંદ કરવામાં આવે તો ગ્રાહક વર્તમાન પૃષ્ઠ પર રહેશે."
"Address Templates","સરનામું નમૂનાઓ"
"Online Customers Options","ઑનલાઇન ગ્રાહકો વિકલ્પો"
"Online Minutes Interval","ઑનલાઇન મિનિટ અંતરાલ"
"Leave empty for default (15 minutes).","ડિફૉલ્ટ (15 મિનિટ) માટે ખાલી છોડો."
"Customer Data Lifetime","ગ્રાહક ડેટા લાઇફટાઇમ"
"Please specify value in minutes.","કૃપા કરીને મિનિટમાં મૂલ્ય નિર્દિષ્ટ કરો."
"Customer Notification","ગ્રાહક સૂચના"
"Assign a Customer Group","ગ્રાહક જૂથ સોંપવું"
"Are you sure to assign selected customers to new group?","શું તમે પસંદ કરેલા ગ્રાહકોને નવા જૂથમાં સોંપી શકો છો?"
"Customer Grid","ગ્રાહક ગ્રીડ"
"Rebuild Customer grid index","ગ્રાહક ગ્રીડ અનુક્રમણિકા ફરીથી બનાવો"
"Group","ગ્રુપ"
"Add New Customer","નવું ગ્રાહક ઉમેરો"
"Are you sure to delete selected customers?","શું તમે પસંદ કરેલા ગ્રાહકોને કાઢી નાખવા માંગો છો?"
"Delete items","વસ્તુઓ કાઢી નાખો"
"Subscribe to Newsletter","ન્યૂઝલેટર સબ્સ્ક્રાઇબ કરો"
"Are you sure to unsubscribe selected customers from newsletter?","શું તમે પસંદ કરેલા ગ્રાહકોને ન્યૂઝલેટરમાંથી અનસબ્સ્ક્રાઇબ કરવાનું બાકી છે?"
"Unsubscribe from Newsletter","ન્યૂઝલેટરમાંથી અનસબ્સ્ક્રાઇબ કરો"
"Phone","ફોન"
"ZIP","ઝીપ"
"Customer Since","ત્યારથી ગ્રાહક"
"Confirmed email","પુષ્ટિ ઇમેઇલ"
"Account Created in","એકાઉન્ટ બનાવ્યું"
"Tax VAT Number","કર વેટ નંબર"
"Billing Firstname","બિલિંગ ફર્સ્ટનેમ"
"Billing Lastname","બિલિંગ છેલ્લું નામ"
"Account Lock","એકાઉન્ટ લૉક"
"First Name","પ્રથમ નામ"
"Last Name","છેલ્લું નામ"
"Last Activity","છેલ્લી પ્રવૃત્તિ"
"Type","લખો"
"Customer Information","ગ્રાહક માહિતી"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","જો તમારી Magento ઇન્સ્ટોલેશનમાં બહુવિધ વેબસાઇટ્સ હોય, તો તમે ગ્રાહકને ચોક્કસ સાઇટ સાથે સાંકળવા માટે સ્કોપને સંપાદિત કરી શકો છો."
"Disable Automatic Group Change Based on VAT ID","VAT ID પર આધારીત સ્વચાલિત જૂથ પરિવર્તનને અક્ષમ કરો"
"Send Welcome Email From","સ્વાગત ઇમેઇલ મોકલો"
"Are you sure you want to delete this item?","શું તમે ખરેખર આ આઇટમ કાઢી નાખવા માંગો છો?"
"Addresses","સરનામાંઓ"
"Account Dashboard","એકાઉન્ટ ડેશબોર્ડ"
"Edit Account Information","એકાઉન્ટ માહિતી સંપાદિત કરો"
"Password forgotten","પાસવર્ડ ભૂલી ગયા છો"
"My Dashboard","માય ડેશબોર્ડ"
"You are signed out","તમે સાઇન આઉટ થયા છો"
"You subscribe to our newsletter.","તમે અમારા ન્યૂઝલેટર પર સબ્સ્ક્રાઇબ કરો છો."
"You don't subscribe to our newsletter.","તમે અમારા ન્યૂઝલેટર પર સબ્સ્ક્રાઇબ કરશો નહીં."
"Maximum length must be less then %1 symbols","મહત્તમ લંબાઈ %1 પ્રતીક પછી ઓછી હોવી આવશ્યક છે"
"Invalid input","ખોટું ઇનપુટ"
"Confirm your new password.","તમારા નવા પાસવર્ડની પુષ્ટિ કરો."
"Something went wrong while changing the password.","પાસવર્ડ બદલતી વખતે કંઈક ખોટું થયું."
"Please enter the first name.","કૃપા કરીને પ્રથમ નામ દાખલ કરો."
"Please enter the last name.","કૃપા કરીને છેલ્લું નામ દાખલ કરો."
"Please enter the street.","કૃપા કરીને શેરી દાખલ કરો."
"Please enter the city.","કૃપા કરીને શહેર દાખલ કરો."
"Please enter the phone number.","કૃપા કરીને ફોન નંબર દાખલ કરો."
"Please enter the zip/postal code.","કૃપા કરીને ઝિપ / પોસ્ટલ કોડ દાખલ કરો."
"Please enter the country.","કૃપા કરીને દેશ દાખલ કરો."
"Please enter a first name.","કૃપા કરીને પ્રથમ નામ દાખલ કરો."
"Please enter a last name.","કૃપા કરી છેલ્લું નામ દાખલ કરો."
"Please correct this email address: ""%1"".","મહેરબાની કરીને આ ઈમેલ સરનામાંને સુધારો: ""%1""."
"Please enter a date of birth.","કૃપા કરીને જન્મ તારીખ દાખલ કરો."
"Please enter a TAX/VAT number.","કૃપા કરીને ટેક્સ / વેટ નંબર દાખલ કરો."
"Please enter a gender.","કૃપા કરીને લિંગ દાખલ કરો."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' એ DNS યજમાનનામ જેવું લાગે છે પરંતુ જાણીતી સૂચિ સામે અમે TLD સાથે મેળ ખાતા નથી."
"You subscribe to ""General Subscription"".","તમે ""જનરલ સબ્સ્ક્રિપ્શન"" પર સબ્સ્ક્રાઇબ કરો છો."
"Submit","સબમિટ કરો"
"Login","પ્રવેશ કરો"
"The password for your account has been successfully changed.","તમારા એકાઉન્ટ માટેનો પાસવર્ડ સફળતાપૂર્વક બદલાઈ ગયો છે."
"If you did not request this change, please contact us.","જો તમે આ ફેરફારની વિનંતી કરી ન હતી, તો કૃપા કરીને અમારો સંપર્ક કરો."
"Checkout out as a new customer","નવા ગ્રાહક તરીકે ચેક આઉટ કરો"
"Create Account","ખાતું બનાવો"
"Checkout out using your account","તમારા એકાઉન્ટનો ઉપયોગ કરીને Checkout કરો"
"Recovery Link Expiration Period (days)","પુનઃપ્રાપ્તિ લિંક સમાપ્તિ પીરિયડ (દિવસો)"
"Leave empty for default (2). Valid range: 1-4","મૂળભૂત (2) માટે ખાલી છોડો. માન્ય શ્રેણી: 1-4"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","અર્ધવિરામ (;) અલગ મૂલ્યો. <br/> ખાલી પ્રથમ વિકલ્પ માટે અર્ધવિરામ મૂકો. <br/> ખુલ્લા ટેક્સ્ટ ફીલ્ડ માટે ખાલી છોડો."
"Last Logged In","છેલ્લે લૉગ ઇન"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","જો તમારી Magento સાઇટમાં બહુવિધ દૃશ્યો છે, તો તમે વિશિષ્ટ દૃશ્ય પર લાગુ થવા માટે અવકાશ સેટ કરી શકો છો."
"You are signed out.","તમે સાઇન આઉટ થયા છો."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2.","%fieldName ફીલ્ડ માટે ""%value"" નું અમાન્ય મૂલ્ય પ્રદાન કર્યું છે. શક્ય કિંમતો %template1 અથવા %template2 છે."
"Could not authenticate. Please try again later","પ્રમાણિત કરી શકાયું નથી. પછીથી ફરી પ્રયત્ન કરો"
"Page not found","પેજ નથી મળ્યું"
"Account will be unlocked after provided time.","આપેલ સમય પછી એકાઉન્ટ અનલૉક થશે."
"Text","ટેક્સ્ટ"
"Text One Line","ટેક્સ્ટ વન લાઇન"
"HTML","એચટીએમએલ"
"PDF","પીડીએફ"
"The account is locked. Please wait and try again or contact %1.","એકાઉન્ટ લૉક થયેલ છે. મહેરબાની કરીને રાહ જુઓ અને ફરીથી પ્રયત્ન કરો અથવા %1 નો સંપર્ક કરો."
"Provided Zip/Postal Code seems to be invalid.","પ્રદાન કરેલ ઝિપ / પોસ્ટલ કોડ અમાન્ય લાગે છે."
" Example: "," ઉદાહરણ: "
"If you believe it is the right one you can ignore this notice.","જો તમે માનતા હો કે તે સાચો છે તો તમે આ સૂચનાને અવગણી શકો છો."
"Invalid Form Key. Please refresh the page.","અમાન્ય ફોર્મ કી. કૃપા કરીને પૃષ્ઠ તાજું કરો."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","એકાઉન્ટ સાઇન-ઇન ખોટું હતું અથવા તમારું એકાઉન્ટ અસ્થાયી ધોરણે અક્ષમ કર્યું છે. કૃપા કરીને રાહ જુઓ અને પછી ફરીથી પ્રયાસ કરો."
"The password doesn't match this account. Verify the password and try again.","પાસવર્ડ આ એકાઉન્ટથી મેળ ખાતો નથી. પાસવર્ડ ચકાસો અને ફરી પ્રયાસ કરો."
"The email address is incorrect. Verify the email address and try again.","ઇમેઇલ સરનામું ખોટું છે. ઇમેઇલ સરનામું ચકાસો અને ફરી પ્રયાસ કરો."
"The customer ID isn't defined.","ગ્રાહક ID વ્યાખ્યાયિત નથી."
"The quote items are incorrect. Verify the quote items and try again.","અવતરણચિહ્નો ખોટી છે. ક્વોટ આઇટમ્સ ચકાસો અને ફરી પ્રયાસ કરો."
"The ""%1"" section source isn't supported.","""%1"" વિભાગ સ્રોત સપોર્ટેડ નથી."
"Confirmation isn't needed.","પુષ્ટિ જરૂરી નથી."
"The account is already active.","એકાઉન્ટ પહેલેથી સક્રિય છે."
"The confirmation token is invalid. Verify the token and try again.","પુષ્ટિકરણ ટોકન અમાન્ય છે. ટોકન ચકાસો અને ફરી પ્રયાસ કરો."
"This account isn't confirmed. Verify and try again.","આ એકાઉન્ટ પુષ્ટિ થયેલ નથી. ચકાસો અને ફરીથી પ્રયાસ કરો."
"The password needs at least %1 characters. Create a new password and try again.","પાસવર્ડને ઓછામાં ઓછા %1 અક્ષરોની જરૂર છે. નવો પાસવર્ડ બનાવો અને ફરી પ્રયાસ કરો."
"The password can't begin or end with a space. Verify the password and try again.","પાસવર્ડ જગ્યા સાથે પ્રારંભ અથવા સમાપ્ત થઈ શકતો નથી. પાસવર્ડ ચકાસો અને ફરી પ્રયાસ કરો."
"The password can't be the same as the email address. Create a new password and try again.","પાસવર્ડ ઇમેઇલ સરનામાં જેટલો જ હોઈ શકતો નથી. નવો પાસવર્ડ બનાવો અને ફરી પ્રયાસ કરો."
"The store view is not in the associated website.","સ્ટોર દૃશ્ય સંબંધિત વેબસાઇટમાં નથી."
"A customer with the same email address already exists in an associated website.","સમાન ઇમેઇલ સરનામાંવાળા ગ્રાહક પહેલાથી સંબંધિત વેબસાઇટમાં અસ્તિત્વમાં છે."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" આવશ્યક છે. દાખલ કરો અને ફરી પ્રયાસ કરો."
"The password token is mismatched. Reset and try again.","પાસવર્ડ ટોકન મેળ ખાતો નથી. ફરીથી સેટ કરો અને ફરીથી પ્રયાસ કરો."
"The password token is expired. Reset and try again.","પાસવર્ડ ટોકન સમાપ્ત થઈ ગયું છે. ફરીથી સેટ કરો અને ફરીથી પ્રયાસ કરો."
"The transactional account email type is incorrect. Verify and try again.","ટ્રાન્ઝેક્શનલ એકાઉન્ટ ઇમેઇલ પ્રકાર ખોટો છે. ચકાસો અને ફરીથી પ્રયાસ કરો."
"A valid password reset token is missing. Enter and try again.","માન્ય પાસવર્ડ રીસેટ ટોકન ખૂટે છે. દાખલ કરો અને ફરી પ્રયાસ કરો."
"The customer email is missing. Enter and try again.","ગ્રાહક ઇમેઇલ ખૂટે છે. દાખલ કરો અને ફરી પ્રયાસ કરો."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","ગ્રાહક વેબસાઇટ આઈડી ઉલ્લેખિત નથી. વેબસાઇટ સ્કોપનો ઉપયોગ કરવા માટે ID નો ઉલ્લેખ કરવો આવશ્યક છે."
"""regionId"" is required. Enter and try again.","""ક્ષેત્ર આઇડી"" જરૂરી છે. દાખલ કરો અને ફરી પ્રયાસ કરો."
"Delete %1","કાઢી નાખો %1"
"Are you sure you want to delete a %1 record?","શું તમે ખરેખર %1 રેકોર્ડને કાઢી નાખવા માંગો છો?"
"Customer not logged in","ગ્રાહક લૉગ ઇન નથી"
"There is no address id in setting default billing address.","ડિફોલ્ટ બિલિંગ સરનામાં સેટ કરવા માટે કોઈ સરનામું આઈડી નથી."
"Default billing address has been changed.","ડિફૉલ્ટ બિલિંગ સરનામું બદલવામાં આવ્યું છે."
"We can't change default billing address right now.","અમે હમણાં ડિફોલ્ટ બિલિંગ સરનામું બદલી શકતા નથી."
"There is no address id in setting default shipping address.","ડિફૉલ્ટ શિપિંગ સરનામાંને સેટ કરવામાં કોઈ સરનામું ID નથી."
"Default shipping address has been changed.","ડિફોલ્ટ શિપિંગ સરનામું બદલવામાં આવ્યું છે."
"We can't change default shipping address right now.","અમે હમણાં ડિફોલ્ટ શિપિંગ સરનામું બદલી શકતા નથી."
"A total of %1 record(s) have been deleted.","કુલ %1 રેકોર્ડ કાઢી નાખવામાં આવ્યાં છે."
"There is no such address entity to delete.","કાઢી નાખવા માટે આવી કોઈ સરનામું એન્ટિટી નથી."
"We can't mass delete the addresses right now.","અમે અત્યારે સરનામાંઓ કાઢી નાખી શકતા નથી."
"Customer address has been updated.","ગ્રાહક સરનામું સુધારાઈ ગયેલ છે."
"New customer address has been added.","નવું ગ્રાહક સરનામું ઉમેરવામાં આવ્યો છે."
"There is no customer with such id.","આવા આઈડી સાથે કોઈ ગ્રાહક નથી."
"We can't change customer address right now.","અમે હમણાં ગ્રાહક સરનામા બદલી શકતા નથી."
"Street","શેરી"
"Set as default billing","ડિફૉલ્ટ બિલિંગ તરીકે સેટ કરો"
"Set address as default billing","ડિફૉલ્ટ બિલિંગ તરીકે સરનામું સેટ કરો"
