"Sign Out","Tancar la sessió"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Valors separats de punt i coma (;).<br/>Deixeu buit el camp de text lliure."
"Show Middle Name (initial)","Mostra el nom intermedi (inicial)"
"Always optional.","Sempre opcional."
"Show Suffix","Mostra el sufix"
"The suffix that goes after name (Jr., Sr., etc.)","Sufix després del nom (Jr., Sr., etc.)"
"Suffix Dropdown Options","Opcions del desplegable de sufixos"
"Show Date of Birth","Mostra la data de naixement"
"Show Tax/VAT Number","Mostra número d'impostos/IVA"
"Show Gender","Mostra el gènere"
"Show Telephone","Mostra el telèfon"
"Show Company","Mostra l'empresa"
"Show Fax","Mostra el fax"
"Login Options","Opcions d’inici de sessió"
"Redirect Customer to Account Dashboard after Logging in","Redirigiu el client al tauler de comptes després d'iniciar la sessió"
"Customer will stay on the current page if ""No"" is selected.","El client romandrà a la pàgina actual si selecciona ""No""."
"Address Templates","Plantilles d'adreces"
"Online Customers Options","Opcions de clients connectats"
"Online Minutes Interval","Interval de minuts connectat"
"Leave empty for default (15 minutes).","Deixeu-lo buit per defecte (15 minuts)."
"Customer Data Lifetime","Durada de Dades del Client"
"Please specify value in minutes.","Si us plau, especifiqueu el valor en minuts."
"Customer Notification","Notificació del client"
"Assign a Customer Group","Assigna un grup de clients"
"Are you sure to assign selected customers to new group?","Esteu segur d’assignar els clients seleccionats a un grup nou?"
"Customer Grid","Graella de clients"
"Rebuild Customer grid index","Reconstruir l'índex de la graella de clients"
"Group","Grup"
"Add New Customer","Afegir nou client"
"Are you sure to delete selected customers?","Segur que voleu eliminar els clients seleccionats?"
"Delete items","Eliminar elements"
"Subscribe to Newsletter","Subscrit al butlletí"
"Are you sure to unsubscribe selected customers from newsletter?","Esteu segur de donar de baixa els clients seleccionats del butlletí informatiu?"
"Unsubscribe from Newsletter","Donar-se de baixa del butlletí"
"Phone","Telèfon"
"ZIP","ZIP"
"Customer Since","Client Des"
"Confirmed email","Correu electrònic confirmat"
"Account Created in","Compte creat el"
"Tax VAT Number","Número d’IVA fiscal"
"Billing Firstname","Nom de facturació"
"Billing Lastname","Cognom de facturació"
"Account Lock","Bloqueig de compte"
"First Name","Nom"
"Last Name","Cognoms"
"Last Activity","Darrera activitat"
"Type","Tipus"
"Customer Information","Informació del consumidor"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","Si la instal·lació de Magento té diversos llocs web, podeu editar l’abast per associar el client a un lloc específic."
"Disable Automatic Group Change Based on VAT ID","Desactiva el canvi de grup automàtic en funció de l'ID d'IVA"
"Send Welcome Email From","Enviar correu electrònic de benvinguda des de"
"Are you sure you want to delete this item?","Esteu segur que voleu eliminar aquest element?"
"Addresses","Adreces"
"Account Dashboard","Centre de control del compte"
"Edit Account Information","Editar informació del compte"
"Password forgotten","Contrasenya oblidada"
"My Dashboard","El meu panell de control"
"You are signed out","Heu tancat la sessió"
"You subscribe to our newsletter.","Us subscriviu al nostre butlletí."
"You don't subscribe to our newsletter.","No us subscriviu al nostre butlletí."
"Maximum length must be less then %1 symbols","La longitud màxima ha de ser inferior a %1 símbols"
"Invalid input","Entrada no vàlida"
"Confirm your new password.","Confirmeu la nova contrasenya."
"Something went wrong while changing the password.","Alguna cosa ha anat malament desant la contrasenya."
"Please enter the first name.","Si us plau, introduïu el nom."
"Please enter the last name.","Si us plau, introduïu el cognom."
"Please enter the street.","Si us plau, introduïu el carrer."
"Please enter the city.","Si us plau, introduïu la ciutat."
"Please enter the phone number.","Si us plau, introduïu el número de telèfon."
"Please enter the zip/postal code.","Si us plau, introduïu el codi postal."
"Please enter the country.","Si us plau, introduïu el país."
"Please enter a first name.","Si us plau, introduïu un nom."
"Please enter a last name.","Si us plau, introduïu un cognom."
"Please correct this email address: ""%1"".","Si us plau, corregiu aquesta adreça de correu electrònic: ""%1""."
"Please enter a date of birth.","Si us plau, introduïu una data de naixement."
"Please enter a TAX/VAT number.","Si us plau, introduïu un número d’IVA."
"Please enter a gender.","Si us plau, introduïu un gènere."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' sembla un nom de host DNS, però no podem fer coincidir el TLD contra la llista coneguda."
"You subscribe to ""General Subscription"".","Us subscriviu a la ""Subscripció general""."
"Submit","Enviar"
"Login","Iniciar Sessió"
"The password for your account has been successfully changed.","La contrasenya del vostre compte s'ha canviat correctament."
"If you did not request this change, please contact us.","Si no heu sol·licitat aquest canvi, poseu-vos en contacte amb nosaltres."
"Checkout out as a new customer","Finalitzar la compra com a un nou client"
"Create Account","Crea un compte"
"Checkout out using your account","Finalitzar la compra utilitzar el vostre compte"
"Recovery Link Expiration Period (days)","Restablir Període d'expiració d'enllaços (dies)"
"Leave empty for default (2). Valid range: 1-4","Deixeu-lo buit per defecte (2). Interval vàlid: 1-4"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valors separats per punt i coma (;).<br/> Poseu el punt i coma al principi per a la primera opció buida.<br/>Deixeu en blanc pel camp de text lliure."
"Last Logged In","Últim inici de sessió"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Si el vostre lloc Magento té diverses vistes, podeu definir l’abast per aplicar-lo a una vista específica."
"You are signed out.","Heu tancat la sessió."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2.","Valor no vàlid de ""%value"" proporcionat al camp %fieldName. Valors possibles: %template1 o %template2."
"Could not authenticate. Please try again later","No s'ha pogut autenticar. Siusplau, intenta-ho més tard"
"Page not found","Pàgina no trobada"
"Account will be unlocked after provided time.","El compte es desbloquejarà després del temps previst."
"Text","Text"
"Text One Line","Una línia de text"
"HTML","HTML"
"PDF","PDF"
"The account is locked. Please wait and try again or contact %1.","Compte bloquejat. Espereu i torneu a provar o contacteu a %1."
"Provided Zip/Postal Code seems to be invalid.","Sembla que el codi postal proporcionat no és vàlid."
" Example: "," Exemple: "
"If you believe it is the right one you can ignore this notice.","Si creieu que és correcte podeu ignorar aquest avís."
"Invalid Form Key. Please refresh the page.","Clau de formulari invàlida. Si us plau, refresca la pàgina."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","L’inici de sessió del compte ha estat incorrecte o el seu compte està desactivat temporalment. Espereu i torneu-ho a provar més endavant."
"The password doesn't match this account. Verify the password and try again.","La contrasenya no coincideix amb aquest compte. Verifiqueu la contrasenya i torneu-ho a provar."
"The email address is incorrect. Verify the email address and try again.","L’adreça de correu electrònic és incorrecta. Verifiqueu l'adreça de correu electrònic i torneu-ho a provar."
"The customer ID isn't defined.","No s’ha definit l’identificador de client."
"The quote items are incorrect. Verify the quote items and try again.","Els articles pressupostats són incorrectes. Verifiqueu els articles pressupostats i torneu-ho a provar."
"The ""%1"" section source isn't supported.","L'origen de la secció ""%1"" no és compatible."
"Confirmation isn't needed.","No es necessita confirmació."
"The account is already active.","El compte ja està actiu."
"The confirmation token is invalid. Verify the token and try again.","El token de confirmació no és vàlid. Verifiqueu el token i torneu-ho a provar."
"This account isn't confirmed. Verify and try again.","Aquest compte no està confirmat. Verifiqueu-ho i torneu-ho a provar."
"The password needs at least %1 characters. Create a new password and try again.","La contrasenya necessita almenys %1 caràcters. Creeu una contrasenya nova i torneu-ho a provar."
"The password can't begin or end with a space. Verify the password and try again.","La contrasenya no pot començar ni finalitzar amb un espai. Verifiqueu la contrasenya i torneu-ho a provar."
"The password can't be the same as the email address. Create a new password and try again.","La contrasenya no pot ser la mateixa que l'adreça de correu electrònic. Creeu una contrasenya nova i torneu-ho a provar."
"The store view is not in the associated website.","La vista de la botiga no es troba al lloc web associat."
"A customer with the same email address already exists in an associated website.","Ja existeix un client amb el mateix correu electrònic en un lloc web associat."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" és obligatori. Introduïu-lo i torneu-ho a provar."
"The password token is mismatched. Reset and try again.","El token de la contrasenya no es correspon. Restabliu-lo i proveu de nou."
"The password token is expired. Reset and try again.","El token de la contrasenya ha caducat. Restabliu-lo i proveu de nou."
"The transactional account email type is incorrect. Verify and try again.","El tipus de correu electrònic del compte transaccional és incorrecte. Verifiqueu-ho i torneu-ho a provar."
"A valid password reset token is missing. Enter and try again.","Falta un token de restabliment de contrasenya vàlid. Introduïu-lo i torneu-ho a provar."
"The customer email is missing. Enter and try again.","Falta el correu electrònic del client. Introduïu-lo i torneu-ho a provar."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","No s'ha especificat un identificador de lloc web de client. S'ha d'especificar l'ID per utilitzar l'abast del lloc web."
"""regionId"" is required. Enter and try again.","""regionId"" és obligatori. Introduïu-lo i torneu-ho a provar."
"Delete %1","Eliminar %1"
"Are you sure you want to delete a %1 record?","Segur que voleu eliminar el registre %1?"
"Customer not logged in","El client no ha iniciat la sessió"
"There is no address id in setting default billing address.","No hi ha cap Id d’adreça a l’hora de configurar l’adreça de facturació predeterminada."
"Default billing address has been changed.","S'ha canviat l'adreça de facturació per defecte."
"We can't change default billing address right now.","No podem canviar l’adreça de facturació per defecte ara mateix."
"There is no address id in setting default shipping address.","No heu identificat cap adreça per definir l'adreça d'enviament predeterminada."
"Default shipping address has been changed.","S'ha canviat l'adreça d'enviament per defecte."
"We can't change default shipping address right now.","No podem canviar l’adreça d’enviament predeterminada ara mateix."
"A total of %1 record(s) have been deleted.","Un total de %1 registre(s) s'ha(n) eliminat."
"There is no such address entity to delete.","No hi ha cap entitat d'adreça per eliminar."
"We can't mass delete the addresses right now.","No podem eliminar massivament les adreces ara mateix."
"Customer address has been updated.","L’adreça del client s’ha actualitzat."
"New customer address has been added.","S'ha afegit una nova adreça de client."
"There is no customer with such id.","No hi ha cap client amb aquest identificador."
"We can't change customer address right now.","No podem canviar l’adreça del client ara mateix."
"Street","Carrer"
"Set as default billing","Definiu com a facturació predeterminada"
"Set address as default billing","Definiu l'adreça com a facturació predeterminada"
"Are you sure you want to set the address as default billing address?","Esteu segur que voleu definir l’adreça com a adreça de facturació predeterminada?"
"Set as default shipping","Definiu com a enviament predeterminat"
"Set address as default shipping","Definiu l'adreça com a enviament predeterminat"
"Are you sure you want to set the address as default shipping address?","Esteu segur que voleu definir l’adreça com a adreça d’enviament predeterminada?"
"Delete address","Eliminar adreça"
"Are you sure you want to delete the address?","Esteu segur que voleu eliminar l'adreça?"
"Additional addresses","Adreces addicionals"
"State","Estat"
"Actions","Accions"
"Sorry, there has been an error processing your request. Please try again later.","Ho sento, hi ha hagut un problema progressant la petició. Si us plau, prova-ho més tard."
"Reset password","Restablir contrasenya"
"Invalidate tokens","Invalidar tokens"
"Update Address","Actualitzar adreça"
"Name Prefix","Prefix del nom"
"Name Suffix","Sufix del nom"
"Middle Name/Initial","Nom intermedi/inicial"
"Are you sure to delete selected address?","Segur que voleu eliminar l'adreça seleccionada?"
"Are you sure you want to delete the selected customers?","Segur que voleu eliminar els clients seleccionats?"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","Segur que voleu donar de baixa del butlletí els clients seleccionats?"
"The customer does not have default billing address","El client no té una adreça de facturació predeterminada"
"The customer does not have default shipping address","El client no té una adreça d’enviament predeterminada"
