"Sign Out","Abmelden"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Standardwert für das Deaktivieren der automatischen Gruppen-Änderungen auf Grundlage der MwSt.-ID"
"Show VAT Number on Storefront","USt-IdNr. im Frontend anzeigen"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","Um die MwSt. im Storefront anzuzeigen, setzen Sie die ""Zeige MwSt.-Nummer im Storefront""-Option auf JA."
"Default Email Domain","Standard E-Mail-Domain"
"Default Welcome Email","Standard Willkommens-E-Mail"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Ausgewählte E-Mail-Vorlage basiert auf dem Fallback-Thema, wenn die Option ""Standard"" gewählt ist."
"Default Welcome Email Without Password","Standard-Willkommens-E-Mail ohne Passwort"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Diese E-Mail wird statt der Standard-Willkommens-E-Mail gesendet, wenn ein Kunde ohne Passwort erstellt wurde. <br /><br />
                        Ausgewählte E-Mail-Vorlage basiert auf dem Fallback-Thema, wenn die Option ""Standard"" ausgewählt wurde."
"Email Sender","E-Mail-Absender"
"Require Emails Confirmation","E-Mail-Bestätigung erforderlich"
"Confirmation Link Email","Bestätigungs-E-Mail"
"Welcome Email","Willkommens-E-Mail"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Diese E-Mail wird statt der Standard-Willkommens-E-Mail nach der Kontobestätigung gesendet. <br /><br />
                        Ausgewählte E-Mail-Vorlage basiert auf dem Fallback-Thema, wenn die Option ""Standard"" ausgewählt wurde."
"Generate Human-Friendly Customer ID","Generiere Menschen-lesbare Kunden-Nummer"
"Password Options","Kennwortoptionen"
"Forgot Email Template","Vorlage Passwort-Vergessen-E-Mail"
"Remind Email Template","Vorlage Erinnerungens-E-Mail"
"Reset Password Template","Vorlage für das Zurücksetzen des Passworts"
"Password Template Email Sender","Passwortvorlage für E-Mail-Absender"
"Recovery Link Expiration Period (hours)","Recovery-Link Ablaufzeitraum (in Stunden)"
"Please enter a number 1 or greater in this field.","Bitte tragen Sie eine Zahl größer oder gleich 1 in dieses Feld ein."
"Number of Required Character Classes","Anzahl der erforderlichen Zeichenklassen"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Anzahl der verschiedenen Zeichenklassen, die im Passwort benötigt werden: Kleinbuchstaben, Großbuchstaben, Ziffern, Sonderzeichen."
"Minimum Password Length","Mindestlänge des Passworts"
"Maximum Login Failures to Lockout Account","Maximale Anmeldefehler bis zur Sperrung des Kontos"
"Use 0 to disable account locking.","Verwenden Sie 0, um die Kontosperre zu deaktivieren."
"Lockout Time (minutes)","Sperrzeit (Minuten)"
"Enable Autocomplete on login/forgot password forms","Autovervollständigung aktivieren bei Login/Passwort vergessen"
"Account Information Options","Optionen für Kontoinformationen"
"Change Email Template","Vorlage E-Mail ändern"
"Change Email and Password Template","Vorlage E-Mail und Passwort ändern"
"Name and Address Options","Namens- und Adressoptionen"
"Number of Lines in a Street Address","Anzahl der Zeilen für Straße"
"Valid range: 1-4","Gültiger Bereich: 1-4"
"Show Prefix","Präfix anzeigen"
"The title that goes before name (Mr., Mrs., etc.)","Der Titel, der vor dem Namen steht (Dr., Prof., etc.)"
"Prefix Dropdown Options","Optionen für Präfix-Auswahlfeld"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semicolon (;) getrennte Werte.<br/>Leer lassen für freies Textfeld."
"Show Middle Name (initial)","Mittelname (Initiale) anzeigen"
"Always optional.","Immer optional."
"Show Suffix","Suffix anzeigen"
"The suffix that goes after name (Jr., Sr., etc.)","Der Suffix, der hinter dem Namen steht (Jun., Sen., etc.)"
"Suffix Dropdown Options","Optionen für Suffix-Auswahlfeld"
"Show Date of Birth","Geburtstag anzeigen"
"Show Tax/VAT Number","USt-IdNr. anzeigen"
"Show Gender","Geschlecht anzeigen"
"Show Telephone","Telefon anzeigen"
"Show Company","Firma anzeigen"
"Show Fax","Fax anzeigen"
"Login Options","Login-Optionen"
"Redirect Customer to Account Dashboard after Logging in","Nach Login den Kunden zur Konotübersicht umleiten"
"Customer will stay on the current page if ""No"" is selected.","Der Kunde wird auf der aktuellen Seite bleiben wenn »Nein« ausgewählt ist."
"Address Templates","Adress-Format-Vorlagen"
"Online Customers Options","Online Kunden Optionen"
"Online Minutes Interval","Online Minuten Intervall"
"Leave empty for default (15 minutes).","Für Standard (15 Minuten) leer lassen."
"Customer Data Lifetime","Kundendaten Lebensdauer"
"Please specify value in minutes.","Bitte Wert in Minuten angeben."
"Customer Notification","Kundenbenachrichtigung"
"Assign a Customer Group","Eine Kundengruppe zuweisen"
"Are you sure to assign selected customers to new group?","Sind Sie sicher, dass Sie die ausgewählten Kunden zu einer neuen Gruppe hinzufügen möchten?"
"Customer Grid","Kunden-Raster"
"Rebuild Customer grid index","Kunden-Raster-Index neuaufbauen"
"Group","Gruppe"
"Add New Customer","Neuer Kunde hinzufügen"
"Are you sure to delete selected customers?","Sind Sie sicher, dass Sie die ausgewählten Kunden löschen möchten?"
"Delete items","Elemente löschen"
"Subscribe to Newsletter","Newsletter abonnieren"
"Are you sure to unsubscribe selected customers from newsletter?","Sind Sie sicher, dass Sie die ausgewählten Kunden vom Newsletter abmelden möchten?"
"Unsubscribe from Newsletter","Vom Newsletter abmelden"
"Phone","Telefonnummer"
"ZIP","PLZ"
"Customer Since","Kunde seit"
"Confirmed email","Bestätigte E-Mail"
"Account Created in","Kundenkonto angelegt in"
"Tax VAT Number","USt-IdNr."
"Billing Firstname","Rechnung Vorname"
"Billing Lastname","Rechnung Nachname"
"Account Lock","Kontosperre"
"First Name","Vorname"
"Last Name","Nachname"
"Last Activity","Letzte Aktivität"
"Type","Typ"
"Customer Information","Kundeninformation"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","Wenn Ihr Magento mehrere Webseiten hat, können Sie den Geltungsbereich bearbeiten, um den Kunden einer bestimmten Webseite zuzuordnen."
"Disable Automatic Group Change Based on VAT ID","Automatischen Kundengruppenwechsel basierend auf USt-IdNr. deaktivieren"
"Send Welcome Email From","Begrüßungs-E-Mail senden von"
"Are you sure you want to delete this item?","Sind Sie sicher, dass Sie diesen Eintrag löschen möchten?"
"Addresses","Adressen"
"Account Dashboard","Benutzerkonto Übersicht"
"Edit Account Information","Kontoinformationen bearbeiten"
"Password forgotten","Passwort vergessen"
"My Dashboard","Meine Übersicht"
"You are signed out","Sie sind abgemeldet"
"You subscribe to our newsletter.","Sie abonnieren unseren Newsletter."
"You don't subscribe to our newsletter.","Sie abonnieren unseren Newsletter nicht."
"Maximum length must be less then %1 symbols","Maximale Länge muss kürzer als %1 Symbole sein"
"Invalid input","Ungültige Eingabe"
"Confirm your new password.","Bestätigen Sie Ihr neues Passwort."
"Something went wrong while changing the password.","Beim Ändern des Kennworts ging irgendetwas schief."
"Please enter the first name.","Bitte geben Sie den Nachnamen an."
"Please enter the last name.","Bitte geben Sie den Nachnamen ein."
"Please enter the street.","Bitte geben Sie die PLZ an."
"Please enter the city.","Bitte geben Sie die Stadt ein."
"Please enter the phone number.","Bitte geben Sie die Telefonnummer ein."
"Please enter the zip/postal code.","Bitte geben Sie die Postleitzahl ein."
"Please enter the country.","Bitte geben Sie das Land ein."
"Please enter a first name.","Bitte geben Sie einen Vornamen ein."
"Please enter a last name.","Bitte geben Sie einen Nachnamen ein."
"Please correct this email address: ""%1"".","Bitte korrigieren Sie diese e-Mail-Adresse: ""%1""."
"Please enter a date of birth.","Bitte geben Sie ihr Geburtsdatum an."
"Please enter a TAX/VAT number.","Bitte geben Sie eine USt-ID-Nummer an."
"Please enter a gender.","Bitte geben Sie ein Geschlecht an."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' sieht aus wie ein DNS-Hostname, aber wir können die TLD nicht in der Liste der bekannten TLDs finden."
"You subscribe to ""General Subscription"".","Sie abonnieren ""Allgemeines Abo""."
"Submit","Absenden"
"Login","Anmelden"
"The password for your account has been successfully changed.","Das Kennwort für Ihr Konto wurde erfolgreich geändert."
"If you did not request this change, please contact us.","Sollten Sie diese Änderung nicht angefordert haben, kontaktieren Sie uns bitte."
"Checkout out as a new customer","Als neuer Kunde bestellen"
"Create Account","Account erstellen"
"Checkout out using your account","Mit vorhandenem Konto bestellen"
"Recovery Link Expiration Period (days)","Ablaufzeit des Wiederherstellungs-Links (Tage)"
"Leave empty for default (2). Valid range: 1-4","Lassen Sie das Feld leer für den Standardwert (2). Gültiger Bereich: 1-4"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semikolon (;) getrennte Werte.<br/>Setzen Sie Semikolon am Anfang für die leere erste Option. <br/>Lassen Sie das Feld für ein offenes Textfeld leer."
"Last Logged In","Zuletzt eingeloggt"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Wenn Ihre Magento Website mehrere Ansichten hat, können Sie Scope nutzen, um spezifische Ansicht zuweisen."
"You are signed out.","Sie sind abgemeldet."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2.","Ungültiger Wert von ""%value"" für das Feld %fieldName. Mögliche Werte sind %template1 oder %template2."
"Could not authenticate. Please try again later","Anmeldung fehlgeschlagen. Bitte versuchen Sie es später erneut"
"Page not found","Seite nicht gefunden"
"Account will be unlocked after provided time.","Konto wird nach angegebener Zeit entsperrt."
"Text","Text"
"Text One Line","Text einzeilig"
"HTML","HTML"
"PDF","PDF"
"The account is locked. Please wait and try again or contact %1.","Das Konto ist gesperrt. Bitte versuchen Sie es später nochmals oder kontaktieren Sie %1."
"Provided Zip/Postal Code seems to be invalid.","Die angegebene Postleitzahl ist ungültig."
" Example: "," Beispiel: "
"If you believe it is the right one you can ignore this notice.","Wenn Sie glauben, dass dies richtig ist, können Sie den Hinweis ignorieren."
"Invalid Form Key. Please refresh the page.","Ungültiger Formularschlüssel. Bitte aktualisieren Sie die Seite."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Die Konto-Anmeldung war nicht korrekt oder Ihr Konto ist vorübergehend deaktiviert. Bitte warten Sie und versuchen Sie es später erneut."
"The password doesn't match this account. Verify the password and try again.","Das Passwort stimmt nicht mit diesem Konto überein. Überprüfen Sie das Passwort und versuchen Sie es erneut."
"The email address is incorrect. Verify the email address and try again.","Die E-Mail-Adresse ist falsch. Überprüfen Sie die E-Mail-Adresse und versuchen Sie es erneut."
"The customer ID isn't defined.","Die Kunden-ID ist nicht angegeben."
"The quote items are incorrect. Verify the quote items and try again.","Die Angebotspositionen sind nicht korrekt. Überprüfen Sie die Positionen und versuchen Sie es erneut."
"The ""%1"" section source isn't supported.","Die Quelle ""%1"" des Abschnitts wird nicht unterstützt."
"Confirmation isn't needed.","Bestätigung ist nicht erforderlich."
"The account is already active.","Das Konto ist bereits aktiv."
"The confirmation token is invalid. Verify the token and try again.","Das Bestätigungstoken ist ungültig. Überprüfen Sie den Token und versuchen Sie es erneut."
"This account isn't confirmed. Verify and try again.","Dieses Konto ist nicht bestätigt. Überprüfen Sie das Konto und versuchen Sie es erneut."
"The password needs at least %1 characters. Create a new password and try again.","Das Passwort benötigt mindestens %1 Zeichen. Erstelle ein neues Passwort und versuche es erneut."
"The password can't begin or end with a space. Verify the password and try again.","Das Passwort darf nicht mit einem Leerzeichen beginnen oder enden. Überprüfen Sie das Passwort und versuchen Sie es erneut."
"The password can't be the same as the email address. Create a new password and try again.","Das Passwort kann nicht dieselbe wie die E-Mail-Adresse sein. Erstellen Sie ein neues Passwort und versuchen Sie es erneut."
"The store view is not in the associated website.","Dieser Store-View gehört nicht zu dieser Website."
"A customer with the same email address already exists in an associated website.","Ein Kunde mit der gleichen E-Mail-Adresse existiert bereits in einer zugeordneten Website."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" ist erforderlich. Bitte eingeben und erneut versuchen."
"The password token is mismatched. Reset and try again.","Das Passwort-Token ist inkorrekt. Setze es zurück und versuche es erneut."
"The password token is expired. Reset and try again.","Das Passwort-Token ist abgelaufen. Setze es zurück und versuche es erneut."
"The transactional account email type is incorrect. Verify and try again.","Der Typ der Kundenkonto-Transaktionsemail ist falsch. Überprüfen und erneut versuchen."
"A valid password reset token is missing. Enter and try again.","Ein gültiges Passwort-Reset-Token fehlt. Gib es ein und versuch es erneut."
"The customer email is missing. Enter and try again.","Die E-Mail des Kunden fehlt. Geben Sie diese ein und versuchen Sie es erneut."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","Eine Kunden Webseiten-ID wurde nicht angegeben. Die ID muss angegeben werden, um den Webseiten-Scope zu nutzen."
"""regionId"" is required. Enter and try again.","""regionId"" ist erforderlich. Bitte eingeben und erneut versuchen."
"Delete %1","%1 löschen"
"Are you sure you want to delete a %1 record?","Sind Sie sicher, dass Sie den Datensatz %1 löschen möchten?"
"Customer not logged in","Kunde nicht eingeloggt"
"There is no address id in setting default billing address.","Es gibt keine Adressen-ID in der Einstellung der Standard-Rechnungsadresse."
"Default billing address has been changed.","Standard-Rechnungsadresse wurde geändert."
"We can't change default billing address right now.","Wir können die Standard-Rechnungsadresse jetzt nicht ändern."
"There is no address id in setting default shipping address.","Es gibt keine Adressen-ID in der Einstellung der Standard-Lieferadresse."
"Default shipping address has been changed.","Standard-Lieferadresse wurde geändert."
"We can't change default shipping address right now.","Wir können die Standard-Lieferadresse jetzt nicht ändern."
"A total of %1 record(s) have been deleted.","Insgesamt wurden %1 Einträge gelöscht."
"There is no such address entity to delete.","Es gibt keine solche Adressinstanz, die gelöscht werden könnte."
"We can't mass delete the addresses right now.","Wir können die Adressen momentan nicht massenhaft löschen."
"Customer address has been updated.","Kundenadresse wurde aktualisiert."
"New customer address has been added.","Neue Kundenadresse wurde hinzugefügt."
"There is no customer with such id.","Es gibt keinen Kunden mit dieser ID."
"We can't change customer address right now.","Die Kundenadresse kann aktuell nicht geändert werden."
"Street","Straße"
"Set as default billing","Als Standard-Rechnungsadresse festlegen"
"Set address as default billing","Adresse als Standard-Rechnungsadresse festlegen"
"Are you sure you want to set the address as default billing address?","Sind Sie sicher, dass Sie die Adresse als Standard-Rechnungsadresse festlegen möchten?"
"Set as default shipping","Als Standard-Versandadresse festlegen"
"Set address as default shipping","Adresse als Standard-Versandadresse festlegen"
"Are you sure you want to set the address as default shipping address?","Sind Sie sicher, dass Sie die Adresse als Standard-Versandadresse festlegen möchten?"
"Delete address","Adresse löschen"
"Are you sure you want to delete the address?","Sind Sie sicher, dass Sie diese Adresse löschen wollen?"
"Additional addresses","Zusätzliche Adressen"
"State","Bundesland"
"Actions","Aktionen"
"Sorry, there has been an error processing your request. Please try again later.","Es tut uns leid, bei der Bearbeitung Ihrer Anfrage ist ein Fehler aufgetreten. Bitte versuchen Sie es später erneut."
"Reset password","Passwort zurüksetzen"
"Invalidate tokens","Tokens invalidieren"
"Update Address","Adresse aktualisieren"
"Name Prefix","Namenspräfix"
"Name Suffix","Namensuffix"
"Middle Name/Initial","Zweiter Vorname"
"Are you sure to delete selected address?","Sind Sie sicher, dass Sie die ausgewählte Adresse löschen möchten?"
"Are you sure you want to delete the selected customers?","Sind Sie sicher, dass Sie die ausgewählten Kunden löschen möchten?"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","Sind Sie sicher, dass Sie die ausgewählten Kunden vom Newsletter abmelden möchten?"
"The customer does not have default billing address","Der Kunde hat keine Standard-Rechnungsanschrift"
"The customer does not have default shipping address","Der Kunde hat keine Standard-Lieferanschrift"
